0.0111547-0.00266928j 0.000449595-0.00519473j -0.00358323+0.0045422j 0.0120849-0.00131558j 0.0031423-0.00192875j 0.00114175-0.0029701j -0.0064643+0.00242212j 0.00793857+0.00122014j 0.00952412-0.00425732j 0.000903992+0.00104492j -0.00173821-0.000317381j 0.00270137-0.00300513j -0.0139279+0.00188007j -0.00964482+0.00253298j 0.00468832+0.000651029j -0.00107613+0.00275222j 0.00131167+0.000666238j -0.00534231+0.00071289j 0.00137633+0.000227337j -0.00717669+0.00242328j 0.0095583-0.00141706j 7.70095e-06+0.00122346j -0.000430157-0.00158175j -0.00652536+0.00118596j 0.00709346-0.000879464j -0.00693005+0.00459895j 0.00249758-0.00362814j -0.00300948+0.00039803j 0.00931006-0.000784816j 0.00193534-0.000892124j -0.0141666-0.000971244j 0.00508344-0.00142207j -0.00504356-0.000205959j -0.00179613-0.00105753j 0.0111259+6.45085e-05j 0.00340369+0.000104806j 0.0113532+0.00251727j -0.00170701-0.000385185j 0.0069056+0.00224126j 0.00168799+0.00189566j -0.00372549+0.00103406j 0.00428244+0.000266149j 0.00337262-0.00125082j -0.0108931-0.00346148j 0.00578012+0.00454744j 0.00496671-0.000372141j 0.00966337+9.73418e-05j -0.00237062-0.00300628j 0.008048+0.00208591j 0.00362826+0.00485515j 0.00871442-0.00219713j 0.00866721+0.00654023j 
0.011367-0.00551855j -0.00590775-0.00375797j 0.00484245-0.00134431j 0.000139918-0.00107888j -0.00653445+0.00388429j 0.0122504-0.00103938j -0.00259489+0.00396748j 0.00217426+0.0014077j -0.0025187+0.00221129j -0.0042029+0.00102326j -0.00921132+0.0021789j -0.00484455-0.000405095j 0.0024163-0.00197423j 0.0041576+7.45307e-05j -0.00913576+0.00340881j -0.00646097-0.000240796j 0.00623892-0.00178966j -0.00494169+0.000932012j -0.012482+5.15786e-05j -0.00491534-0.000877581j 0.00179204-0.00218293j -0.0149462+0.00232194j -0.00523453+0.000300901j 0.00249358+2.85977e-06j -0.00857021+0.000570803j 0.00243872-0.00358277j -0.000155688+0.00108363j 0.0069429-0.000260322j -0.00562913-0.00094689j -0.00585852+0.00141554j -0.00833497-0.00175796j -0.00959951-0.00157217j -0.00564654-0.0012005j 0.0123376+0.000378181j 0.00210759+0.00129481j 0.0050769+0.000712341j -0.0124206-0.00248017j -0.00650801-0.00346422j -0.00249739-0.000308997j -0.00468782+0.00133171j -0.000444957-0.000195103j 0.0066885+0.00141424j -0.00485796-0.000339146j 0.00415684+0.0016053j -0.0082161-0.000682178j 0.00272732+0.00426985j 0.00761852+0.00255436j -0.00272075-0.00193489j -0.00878012-0.00214889j 0.000946236-0.00234529j 0.0025708-0.0052849j 0.0119015+0.00437701j 
0.00407209-0.00381621j -0.00628646-0.000391482j 0.00310876-0.00443071j -0.00961304+0.0020308j -0.0008803+0.00190713j 0.00548321+0.000552844j -0.00303289-0.00139462j -0.00828398+0.00412752j 0.0135459-0.00415519j 0.00599984+0.00151748j -0.000498114+0.000719056j -0.00325527-0.00108623j 0.00201935-0.00085086j -0.00873317+0.00223948j 0.00229132-0.00157994j 0.0158839-0.00353389j 0.00074624+0.000789494j -0.00968535-0.000592066j 0.00789521-0.000463795j -0.00293067+0.000316952j -0.00834272+4.23961e-05j -0.00856162+0.000287618j 0.00507523+0.00122602j 0.0101345-2.57135e-05j 0.00719893+0.000307625j 0.00673195-0.00421733j -0.00254099+0.00300904j -0.0111677-0.000361849j -0.00571733-0.0011498j 0.00321163+0.000822496j 0.0051735+9.35985e-05j -0.00642537-6.91772e-05j -0.00506853-0.00244916j -0.00754137+3.74553e-05j 0.00381406+0.000400643j -0.00169365-0.00131814j 0.00374674-0.00186275j 0.00809216+0.00129802j 0.0113695+0.00236908j -0.0126549-0.00228714j 0.00385433+0.00223491j -0.0023957-0.000828226j 0.00369475-0.000870401j -0.010985-0.00515286j -0.00498057+0.000562118j 0.00449924+0.000348535j -0.00349737+0.00224351j 0.00553449+0.0027923j -0.00927701-0.000527699j -0.00466168-0.00387531j -0.00178843-0.0032408j 0.00573547+0.000690867j 
-0.00197926+0.00384983j 0.00524631+0.0130546j -0.0018289-0.014296j -0.00421837-0.00308092j -0.000495442+0.00605443j 0.0042763+0.00666311j -0.000469446-0.000693528j 0.00064239-0.0100107j 0.00151732+0.00553104j -0.00162063+0.000324409j -0.00124912-0.00351805j 0.00308594+0.0108134j 0.000205462+0.00101229j -0.00451868-0.00410805j -0.0016004-0.00410552j -0.00419605-0.0105342j 3.87707e-05-0.000269817j -0.00327405+0.00151425j 0.00046534-0.00190544j -0.0060217-0.00370379j 0.00338049+0.00867427j -0.00138664-0.0133827j 0.00203406+0.00999971j -0.00551461-0.00364941j 0.00155817+0.00842315j -0.00105248+0.00312133j -0.00362108-0.00207028j 0.000490605+0.000817787j 0.00113497+0.00525701j 0.00250556+0.00903015j -0.00539625-0.00640487j 0.00158938+0.00503421j -0.00222704+0.00963423j -0.00235356+0.00512941j 0.00451037+0.00855326j 0.00101971-0.00173643j 0.00271061-0.00769105j -0.00357928+0.00780013j 0.00196194-0.00433421j -0.00015074-0.0069485j -0.00425757-0.00352434j -0.000347356-0.000836154j -0.0036369+0.00943627j -0.0058119+0.00608127j 0.00336624-0.00459459j -0.00100065-0.00303277j 0.00213028+0.00422692j -0.00437869+0.00427451j -0.000960086-0.00930166j 0.00994262-0.00834219j -0.00781167+0.00298719j 0.00783721-0.0158318j 
-0.00236392-0.0108489j -0.00585256-0.00695804j -0.000874651-7.04616e-05j -0.000818527-0.00226171j 0.00150156+0.0072993j 0.00179197+0.0026002j 0.00462608+0.0120587j 0.000291458-0.00138421j -0.000432534+0.0072448j -0.000419141+0.00160315j -0.00293566+0.00147407j -0.00125353-0.0127328j -0.00152458-0.00299005j 0.00231682+0.00755008j 0.0048512+0.00279096j -0.00242092-0.00779039j -0.00353637-0.00738123j 0.00420122+0.0077696j 0.00187473-0.00159746j 0.00166554-0.00858383j -0.00126678-0.00486401j 0.00395798-0.000368696j 0.00151016+0.0103096j 0.00161614+0.000236174j 0.00417047+0.014321j -0.0135221-0.00995478j -0.00035759+0.00741669j -0.00138809-0.00351006j 0.00285177+0.000405466j 0.00227657+0.00131309j 0.00251948-0.00374513j 0.000983035-0.00803318j 0.00601176-0.00277878j -0.00304369+0.00747852j -0.00305324+0.0100734j 0.00055295-0.0150339j 0.000299957+0.000427197j 0.00197759-0.00266295j 0.0011515-0.000107979j -0.00166206+0.0102641j 0.000786609+0.00512363j -0.00563536+0.00754923j 0.00244401+0.00608237j 0.00113575+0.0070143j 0.00491589-0.00328783j -0.00859914+0.00747781j -0.000299225+0.00334166j 0.00292199-0.00633376j 0.00123712-0.00374079j 0.00351513-0.00862244j 0.00766105-0.0118328j 0.00106562+0.00761779j 
0.00277683+0.00878227j 0.00378306+0.00324188j 0.00408762+0.00410035j -0.000538089-0.00470645j -0.00362399-0.00859941j -0.00166447+0.00273118j -0.00269411-0.00821792j -0.00401399-0.00788038j -0.000501642-0.00141362j -0.000515785-0.00153963j -0.00432075-0.00558433j -0.00221109-0.00646947j -0.00255182-0.00373971j 0.00216751+0.0108206j -0.00213492-0.0106052j 0.00128623+0.00962678j -0.00162732-0.00860566j -0.000795277+0.00700096j 0.0014048-0.00265215j -0.00320422-0.0116635j 0.00107828+0.00839559j -0.00298684+0.010056j 0.00142367+0.00686487j -0.000697844-0.00422038j -0.000734674+0.0110317j 0.00687758+0.000151722j 0.00603457-0.00683594j 0.000845543-0.00260518j -0.00311782+0.00697936j -0.00112133-0.0145156j -0.00101548+0.00550295j -0.00421326+0.00717142j -0.00215736-0.00480115j 0.000289883+0.00231462j 0.00226191+0.00124587j 0.00309853-0.0146478j -0.00292097+0.00234428j -0.00233326+0.00621541j 0.00317018+0.00376992j -0.00505271+0.0156422j 0.00220997-0.00584571j 0.00145961+0.00325864j 0.00323212-0.00390955j 0.000491366-0.00234201j 0.00353975-0.0122439j 0.0019235-0.00597542j 0.00110111-0.00709227j -0.00232297-0.000997104j 0.00326099-0.00508822j 0.000493579+0.00793289j -0.00363421+0.00779892j -0.00116233-0.00281776j 
0.00252562+0.00756703j 0.00317938+0.00191259j 0.00220004+0.00510229j 0.00148039-0.000500026j 0.000313439-0.00121718j 0.00120044-0.00504276j 0.00025909+0.00387735j 0.00196248+0.00538205j 0.00438921+0.00927421j -0.00674943-0.0101972j 0.000969142-0.00721644j 3.62274e-05+0.000828734j 0.00324025+0.020296j -0.00100145-0.00950212j -0.000292251+0.00146923j 0.00242214+0.000989599j -0.00215092-0.0121343j -0.00216551+0.00427646j 0.00125403-0.000618015j -0.000480426-0.0118823j -0.00123156-0.00150828j -0.00173841+0.00189681j 0.00035768-0.015526j 0.00217262+0.00203894j 0.00209027+0.00626535j -0.00250296+0.00226263j -0.0054637+0.00977677j -0.000417618-0.00483044j -0.00124326-0.000367814j -0.000667251+0.0073366j -0.0003454+0.0129807j -0.00182448-0.00281804j -0.000286601-0.00281921j -0.00037991+0.00284646j 0.00253015-0.00148279j 0.00180083-0.00782933j -0.00126993+0.010385j 0.00012476-0.00472729j 0.00577371-0.0154161j 0.00186137-0.00934458j 0.0038342-0.0123135j -0.00372932+6.31515e-06j -0.0038269+0.00471431j -0.00381175+0.00849351j -0.00317971+0.00107855j -0.00101726+0.00655867j 0.00411231+0.000627852j 0.00180167-0.00810366j 0.000857071-0.00047083j -0.00168245+0.00675446j -0.00286087+0.00630809j -0.00127024-0.00148354j 
0.00317782+0.00474909j 0.000758658-0.00252733j 0.0057022+0.00813087j -0.000658657-0.00835369j -0.000628189+0.00270168j 0.0011225-0.00175456j 0.00408705+0.00435859j -0.00458081-0.00891088j 0.00209927+0.0108802j -0.0020833-0.00958022j 0.00242192+0.00526144j 0.000469093+0.00152348j -0.00283108-0.00591934j -0.00337458-0.00476748j -0.000867695-0.00269371j 0.00101659+0.00109973j 0.00228902+0.0188552j 0.00014718+0.0128731j 0.00257035+0.00935795j 0.000999796-0.00193178j -0.000419742-0.00322364j -0.00127947+0.00200366j 0.00124596-0.0028727j 0.00205302-0.00511107j 0.00114595-0.00383326j -0.00511344-0.00672629j 0.000435398+0.00720202j -0.00387013+0.0201859j -0.00122093+0.00281893j 0.0021997-0.0110193j 0.000720402+0.00375633j -0.00139807+0.00376651j -0.00275377+0.0146389j -0.00213171-0.00308347j -0.000315544+0.00945121j -0.0033713+0.0110482j -0.00299118+0.00833979j 0.0019044+0.00261652j 0.000601209+0.00447452j -0.00182799-0.00135867j 0.00123735+0.00604242j 0.00338648-0.00535698j -0.00295415+0.00205709j -0.00170572+0.0101729j 0.000369969-0.0068978j -0.00153407+0.00703431j 0.00335603-0.00574337j -0.000141249-0.00544258j 0.00257285-0.00505696j -1.64075e-05+0.00532591j -0.000479052+0.00348776j -0.00145+0.00163095j 
0.00813422-0.00538273j -0.00448632+0.00038324j 0.000593684+0.000732657j 0.0106147-0.00608257j 0.0010654-0.00239793j -0.00193729+0.00483305j -0.00661636+0.0011268j -0.00102215+0.00239591j 0.00336144+0.0005407j 4.67587e-06-0.000898843j -0.000193474-0.00281381j -0.00113784+0.00270723j -0.0066522+0.000738998j 0.00215199-0.00273719j 0.001402-0.000937061j 0.000835329-0.00410942j -0.000348645+1.68909e-05j 0.00240409-0.00213184j -0.00218763-0.000781288j 0.00597638-0.00328911j 0.00147669+0.00118939j -0.00381179-0.00252008j -0.00498283+0.00508965j 0.00902077-0.00406925j -0.00226332+0.00316413j -0.00240491+0.00595348j 0.0068193-0.00297301j -0.00452474+0.00131731j -0.000603713+0.000531451j -0.00658225+0.0068796j 0.00602196-0.00346402j -0.00630895+0.000229575j -0.000654126+0.00705599j 0.00312145-0.000630447j -0.00128694+0.00102597j 0.00153527-0.0024992j -0.000624782-0.00463137j 0.00483799+0.00198275j -0.000222339-0.003053j 0.0036651-0.00311552j 0.00732775+0.0030254j 0.00282102-0.00632862j 0.00580007+0.0070755j 0.00126579+0.00366039j 0.000353954-0.00405935j 0.00163545-0.00427305j 0.00103446-0.00156028j -0.000705167+0.00564104j 0.00244085+0.0065798j -0.0105004-0.00484108j 0.00986147+0.011588j -0.0092712-0.000320165j 
0.00106272+0.00320014j 0.0077985-0.00804888j -0.00311949+0.000703703j 0.00107737+0.00351167j 0.00306372-0.00031032j -0.00708405+0.00214444j -0.00391323+0.00120998j -0.000924166+0.00101767j 0.00176649-0.000927296j 0.00259699-0.00100873j 0.0102035-0.00387334j 0.00614409-0.00140691j -0.000791213-0.00399196j -0.00022409+0.00117604j -0.00535526+0.00514069j 0.00324499-0.00198751j -0.000102727-0.000285195j 0.000106966+0.00286484j -0.00173129+0.00099304j -0.00494684+0.00434634j -0.00166363-0.00179441j -0.00240141+0.00119335j -0.000189045+0.00175373j -0.00180848+0.00398957j -0.00494792+0.00465216j 0.00040883-0.00196812j 0.00812084+0.00834958j -0.00210147+2.07033e-05j 0.00273442-0.000446379j -0.00958571-0.00123711j -0.00372915-0.00119386j 0.0037559-0.00745197j -0.0138217+0.0012194j -0.00140107+0.00367505j -0.00372799+0.00172466j 0.00173796-0.00365962j 0.00482948+0.000594152j -0.00421662-0.00254757j -0.00597869+0.00181271j 0.00120843-0.000253193j 0.00302173+0.0068557j 0.00513499+0.00466238j -0.00282682-0.00318911j -0.0046707+0.00301999j -0.0063967-0.000271874j 0.00798222+0.00953955j -0.00369226-0.00204827j -0.00558979+0.00316948j -0.000546567+0.000697459j -0.00405501-0.0069242j -0.0124423-0.000188248j -0.00627422-0.0086773j 
0.00173229+0.00349453j 0.00479479-0.00884221j 0.00304101-0.00337257j -0.00261811+0.00415722j -0.0027662+0.00210457j -0.0037827+0.00327244j -0.0010515+0.00134713j -2.14268e-05-0.000938962j -0.00630052+0.00180769j -0.00403369+0.00173128j -0.00324656-0.00196258j 0.000341595-0.00255498j 9.68969e-05-0.00201598j 0.000890259+0.00245928j -0.00149804+0.00490012j 0.00110925-0.000448139j -0.00223767+0.000596436j 0.00151564+0.00233713j 0.00742027-0.00437534j 0.00293604+0.00550634j 0.0104968-0.00560214j -0.00658435+0.0026672j -0.00313142-0.00156339j 0.00320649+0.0040679j -0.00108614-0.00152935j -0.00902271+0.00127147j -0.00117733-0.0043171j -0.000157949-0.00247189j -0.0129628+0.000613265j -0.00322362+0.00284775j 0.00033314+0.000440438j -0.0129927-0.00365878j 0.00593376+0.00176433j 0.00253403-0.000267441j 0.0111911+0.0020468j -0.00912371+0.00252513j 0.000812398-0.00229106j -0.00146808+0.000448537j 0.00611815+0.0013276j -0.00278521+0.000927452j 0.00465412+0.00509588j -0.00217231-0.00215029j -4.8825e-05+0.00445609j -0.00270566-0.00233833j 0.0063936+0.00741734j 6.9581e-05-0.00414802j -0.00123782+0.00268128j -0.000627028-0.0013596j 0.00792953-0.000338433j 0.00646864+0.00344369j -0.00909233+0.00480124j -0.00574371-0.00213417j 
0.00266144+0.00299398j 0.000842796+0.00270227j -0.00191407-0.00205688j 0.00434334+0.0061589j 0.00250578+0.00332448j -0.00251955-0.00600623j -0.00151748-0.00615928j -0.00225862-0.0012404j 0.00204731+0.00517089j 0.00206331+0.00470642j 0.00210458+0.01046j -0.0028644+0.00338057j -0.000405215-0.00307587j 0.00221452+0.000477486j -0.000715849-0.00393672j 0.00236839+0.00304497j 0.000546185+0.000979124j 0.000288226+0.000308333j -0.00138977-0.00594831j 0.00228055-0.0025705j 0.00190154-0.00262467j -0.000743559-0.0032328j -0.00578035-0.00222195j 0.00315745+0.00171459j -0.00480451-0.00690931j -0.00427374+0.00402766j -0.00613695+0.00919321j -0.0023038-0.00473283j -0.000648422+0.00481233j -0.00252757-0.0115614j 0.00344376-0.000670513j 0.000957786+0.00243082j -0.00170456-0.0121492j -0.000504736-0.00125739j 0.00069619-0.00609245j 0.00323996+0.00434324j 0.000239472+0.00228926j 0.00268837+0.0009091j 0.00226046-0.00878001j 0.00238453+0.00399473j -0.00226294+0.00695423j -0.00124126+0.00346478j 0.00211168+0.00595439j -0.00255736-0.0025703j 0.00564171-0.00730564j -0.00572269+0.00519901j 0.00417105-0.00266873j -0.00405885-0.00370377j -0.00351004+0.00242604j 0.00474012-0.0118874j -0.000827633+0.00259572j 0.00335892-0.00675371j 
0.00405108+0.00504696j -0.00458015-0.0021592j -0.00171379+0.00234282j 0.00438058+0.00731654j 0.00168965-0.000585065j 0.00220961-0.00297094j 0.00209945-0.00454482j -0.000429868-0.00128429j 0.00108697+0.000318604j -0.00112323-0.000227584j -0.00400926-0.00327269j -0.00342114-0.00371034j -0.00199557-0.00355955j 0.00257873+0.00338603j 0.00404956+0.000686028j -0.000104237+0.000368363j -0.000727939-0.00180242j 0.000213481+0.00185204j 0.000914338+0.00288293j 0.00445514+0.00687541j -0.00382833+0.00967244j 0.00536718-0.00547802j -0.00201888-0.00813419j 0.00346469+0.00950226j 0.00406267-0.000325382j -0.00307643-0.00782652j 0.00369985-0.000810881j 0.00196468-0.00180791j 0.00344642-0.00644378j 0.00183303-0.00439848j 0.00325199+0.00957173j 0.00151436-0.0098556j -0.00234563+0.00736551j 0.00134457+0.00428758j -0.00266175+0.00283755j 0.00390674-0.00193929j 0.000374319-0.00353936j -0.00173653+0.00799666j 0.00413762+0.00455439j 0.00159434+0.00341505j -0.00553482+0.00113897j 0.00390572-0.00314577j -0.00837671+0.00931309j 0.00328679+0.00174775j 0.000231872+0.00311197j 0.00325083-0.00582946j 0.0025157+0.00462853j 0.00184313+0.000649485j -0.00855823+0.00310287j 0.000553091-0.00491423j -0.00198427+0.0108211j 0.000667802-0.000265097j 
