0.030784-0.0110574j 0.00499735-0.0509968j -0.0386952-0.123089j 0.0656544-0.0831962j 0.0490336+0.0186822j -0.126502+0.0493506j -0.00818691-0.0555403j 0.0696362-0.00429701j 0.0558995-0.0433698j 0.00628953-0.0774021j -0.00749324+0.00234519j -0.086208-0.114276j 0.0907067-0.00287397j 0.030053+0.102062j -0.121462-0.037547j -0.100574+0.0434907j -0.0287405+0.0306809j 0.0902038+0.016794j -0.0395124-0.0587749j 0.0330066-0.128811j -0.00660958+0.0392997j -0.0376948+0.1037j 0.276121-0.0346145j -0.10838+0.0928746j -0.209861-0.144783j 0.0589858-0.170628j -0.0958296+0.0498015j 0.0347689+0.0909172j 0.00755453+0.119258j -0.06386-0.0392085j -0.154473+0.148789j 0.0247065+0.0813705j -0.0473339-0.118995j 0.0234143+0.0699552j -0.0271639+0.077045j 0.189299+0.0400958j -0.114434-0.217645j 0.188817-0.00259733j -0.0410528+0.0857326j 0.0713717+0.0168816j -0.03768+0.0265686j 0.0232583-0.0161625j 0.0353812+0.0054402j 0.0293322-0.0537399j -0.00976231-0.0497665j 0.0452221-0.00930286j 0.0104489+0.02428j 0.00838482-0.046172j 0.00439014-0.00184883j -0.0295632-0.00296502j 0.0019109+0.0221843j -0.04862+0.0220085j 0.0485405-0.0101344j 0.0314827-0.0092039j 0.0304449-0.0166787j -0.0109442+0.050858j 0.0240017-0.0160435j -0.0513953-0.0340069j -0.015511-0.00499548j -0.00483051+0.0215276j -0.0177383-0.00554045j -0.00169883-0.0141596j -0.038479+0.00405359j -0.0529763-0.00354019j -2.98872e-05+0.00734323j 0.0382975+0.0542761j 0.0130719-0.0417903j -0.00604436+0.0132422j -0.00756572-0.035321j 0.0800509-0.00609515j -0.0130644-0.0157727j 0.0108575+0.0346001j -0.0248813-0.045204j 0.0165029-0.0551839j 0.0110461+0.0283166j -0.0306124+0.0332722j -0.00418901-0.00144775j 0.0126627-0.000375616j 0.0467286+0.0106511j -0.0173833-0.0326896j -0.0218386-0.0143621j -0.0105395-0.00229208j -0.0299686+0.0110782j 0.033771-0.0619429j -0.010682+0.0341212j 0.00714864+0.0194708j -0.000877904+0.0309512j -0.00835519+0.032197j 0.0508595-0.112404j -0.123944-0.0328164j -0.0226257+0.03443j 0.00246689-0.0333625j 
0.0128985-0.0572384j -0.0462537-0.00155984j 0.0437095-0.087854j 0.0844281+0.109026j -0.0507172+0.0821436j -0.0527332-0.0276021j 0.0601701-0.0796211j -0.0455042+0.0305091j 0.0663954-0.0111998j 0.12765+0.0177337j -0.041881+0.0454429j 0.0824596-0.0326047j 0.0296641+0.0286624j 0.0856768-0.036493j 0.0720418+0.0569163j -0.0104413-0.0318855j -0.136861-0.0154653j -0.0194748-0.0654553j -0.0245291-0.0895375j 0.0768403+0.0746265j -0.0416983-0.168039j 0.0893524-0.118113j -0.0448826-0.182353j 0.104962+0.0967977j -0.172934+0.0309191j -0.126971-0.115741j 0.140509-0.0358349j 0.023366+0.0728897j 0.183896-0.157033j 0.0171503-0.141681j -0.00230455-0.0588999j -0.0881797-0.0108358j 0.161189+0.0390337j -0.0721372+0.0591085j -0.10077+0.0794719j 0.0235403+0.197538j 0.261982-0.0724643j 0.073348+0.202626j -0.0796496-0.0612518j -0.0121601+0.0776341j -0.0487845+0.0233688j -0.0399662+0.0034284j -0.0124827+0.0553813j 0.053794+0.00271742j 0.0516684-0.0136174j 0.0334745+0.0295645j -0.00516083-0.0207366j 0.0208738-0.0118479j -0.0208667+0.0156671j -0.0265679-0.0296381j -0.00155666-0.00889375j -0.0122389+0.0182997j -0.00781311+0.00575105j -0.0125372+0.0316043j 0.00302001-0.0102154j -0.00600359-0.0200909j -0.0146832+0.00217822j 0.0144229-0.00151862j -0.0225149-0.0149607j 0.00897457+0.0430456j -0.0623963+0.0200361j 0.00839726+0.004386j 0.0457782+0.0300064j 0.0185121+0.0353704j 0.0327776+0.00246483j 0.0405405-0.0329501j -0.0170435+0.0311392j -0.0106025-0.0355752j -0.0505297-0.0170483j -0.00887195-0.0542715j -0.00230876+0.0309706j 0.0528856+0.038465j -0.0113661+0.0389009j 0.0179577-0.0370405j 0.0528994-0.0166087j 0.0365938+0.00814361j -0.0263273+0.0406129j -0.0412756+0.0114024j 0.0066056-0.00119072j -0.00556553-0.0247304j 0.00981697-0.00758137j -0.0251274-0.042611j 0.0137191-0.0160928j 0.0152868+0.00545396j -0.0388507-0.00936367j -0.0313124-0.0267951j -0.00759507+0.0364486j -0.00789054+0.0115256j 0.117837+0.0389663j 0.0434111-0.116777j -0.00471335+0.0458377j -0.0297932+0.0355973j 
-0.0198433-0.0279289j -0.00561917+0.0175739j 0.0889632-0.0552792j 0.0788865+0.00866403j -0.0178238+0.11025j -0.0920058-0.0259102j -0.029051-0.012875j 0.0412422-0.00251986j 0.135456-0.00975358j 0.0710364-0.0380522j -0.0844984+0.0249749j 0.127095-0.0667872j 0.0102601+0.00482336j 0.176535+0.182035j -0.064817-0.0826141j -0.105212+0.142987j -0.000119889+0.120589j 0.0340227-0.116676j 0.0290777-0.0422195j -0.121672+0.0381314j 0.00885721+0.0641516j -0.0280775+0.0101227j 0.00313138-0.106293j 0.244085-0.0837322j -0.0478606-0.0268505j -0.084282-0.0931466j -0.289203-0.0735249j 0.0444759-0.331724j -0.127259-0.180591j -0.00516865+0.0907315j 0.0832694+0.0228608j 0.349821-0.05234j -0.133995+0.112575j -0.134929-0.257292j -0.209414-0.0893333j 0.0940877+0.136557j -0.0598947+0.112902j -0.040316+0.0912015j 0.0320053-0.0347328j 0.02808+0.0154115j -0.00480425+0.0160478j -0.0109595+0.0265158j -0.0126695+0.0233059j 0.070012-0.00260015j 0.0328885-0.0213927j 0.0211889+0.0085438j 0.024235-0.00252535j 0.0127605-0.0211872j -0.0238205-0.00398805j -0.0357736-0.0208654j -0.012593-0.01727j -0.0118795-0.00183642j 0.0259322-0.0294419j 0.0195957-0.0101234j 0.0153824-0.0269578j -0.00687934+0.00428673j -0.00983509-0.00727507j -0.0302382-0.00488976j 0.00199947-0.0121586j 0.00139643-0.0167948j -0.0135975-0.000960718j 0.0181576+0.000666431j -0.0112444-0.00883258j -0.00502349+0.0175297j -0.0110498+0.00221201j 0.00614849+0.0188154j 0.0369537+0.0180241j 0.0327725+0.019795j -0.00844521+0.039409j -0.00722052+0.0209401j 0.00842591-0.0196105j -0.0369663+0.0165912j -0.00285964-0.0235472j -0.0136283+0.0280304j -0.00394792+0.00448873j -0.00116939+0.0264938j -0.0309086-0.00217487j -0.0121778-0.00234613j -0.026385-0.0233111j 0.0195256-0.0138533j 0.000841505-0.00887923j -0.01304-0.0251313j -0.00895071-0.0120247j 0.00196617-0.00478073j 0.00661321+0.0370697j 0.0312585-0.0403882j -0.0442258-0.00971237j 0.00390386+0.0353704j 0.0215364-0.00615332j 0.0085086-0.00421981j 0.00986109-0.00566859j -6.1476e-06+0.0136641j 
-0.0171082+0.0122994j 0.00959816+0.0305334j 0.116767-0.0142388j -0.00220655-0.00181224j -0.0470304+0.0972067j -0.0567346-0.0154644j -0.0545359+0.0376659j 0.0560975-0.0534009j 0.0133418-0.00668493j 0.0528727+0.0178848j -0.148377-0.187584j -0.0127052+0.0533506j 0.122748-0.0381228j 0.230653+0.0933293j 0.219879+0.093828j -0.00374718+0.18954j -0.0708405-0.0211526j -0.0687546-0.0285524j 0.119699+0.0322332j -0.0142428+0.0645444j 0.0400138-0.0239423j -0.106196+0.0856061j -0.212622+0.0254475j -0.14868-0.220044j 0.00909957-0.0326858j 0.0859664+0.331623j 0.0567258+0.15065j -0.0964855+0.14136j -0.223003-0.13413j -0.164047+0.0860272j -0.0451917-0.0517677j -0.0909653+0.21084j -0.15031-0.000399262j 0.224657-0.104652j 0.0156245-0.115986j 0.0486457+0.0911402j -0.0220145-0.00688951j -0.0288965+0.0203009j -0.0436849+0.00642052j 0.00471935-0.0298588j 0.0307011-0.00635973j -0.0179762+0.0502137j -0.0452218-0.0138099j 0.0494722+0.02383j 0.0338843-0.00432547j -0.00225071-0.00983453j 0.0325761-0.0100365j 0.00907295-0.00673707j -0.00448647-0.0119502j -0.0237206-0.0129925j 0.00753484-0.0493028j 0.0326603+0.0337778j 0.0137174-0.0203206j 0.0110517+0.0127902j -0.0167524-0.0329518j 0.000422007-0.0461947j -0.0179011+0.0210666j 0.00751577+0.00112201j 0.00036868-0.00837569j 0.00408998-0.0152294j 0.00708032-0.01372j 0.0136582+0.00262217j -0.0224298+0.00170049j 0.00611891-0.0190483j 0.0103304-0.0109132j 0.00340421+0.0270915j -0.00352244-0.00479626j 0.0072185-0.00849608j 0.0151991-0.0140925j 0.00743081-0.0177857j -0.000643963+0.0427481j 0.027563+0.00555465j -0.0238149-0.000686114j -0.0200718-0.0165783j 0.0155464+0.0078605j 0.00171368-0.00330075j -0.0106094+0.00359698j 0.00628791-0.000588905j 0.0255035-0.0160536j 0.00173878+0.00584561j 0.0242874+0.00806651j -0.00662384-0.0184232j 0.0047737+0.015018j -0.00753657-0.00774318j -0.0195266+0.0218267j 0.0200875+0.00149198j -0.0133002-0.0227042j -0.0113332+0.00784033j 0.00443715+0.00619884j 0.0169332-0.0136324j 0.00378482-0.00644484j 0.00345706+0.00348613j 
-0.0050696-0.00750969j 0.0012943+0.00117966j 0.0526193-0.0428484j 0.0426971+0.0604505j -0.0210761+0.0109941j -0.115674-0.0404639j 0.00571103+0.00673084j 0.0279351+0.0178323j 0.112431+0.0326916j 0.105416-0.0245802j 0.127545-0.0576866j -0.0548163-0.0396837j 0.033999+0.0236771j 0.101283-0.0352514j 0.0458966-0.0187164j 0.11783-0.324704j -0.185001-0.0105205j 0.0989448+0.188024j -0.0626589+0.250164j -0.276845+0.0124405j 0.074058+0.215439j 0.012658-0.148385j 0.198866+0.0781342j 0.0942985+0.0761329j -0.0698022+0.0887529j -0.000257678-0.0287213j -0.103831+0.00146912j -0.309193+0.0308148j -0.297649+0.0886451j 0.00223405-0.118203j -0.102276+0.106657j -0.0893865-0.0107766j -0.25758+0.0484624j -0.0497081+0.0879438j 0.0281165-0.129911j -0.0526491-0.0416645j 0.0296354+0.000141865j -0.0713152-0.0635488j 0.0130314-0.030113j 0.0282308+0.00458343j -0.0289583-0.0102028j -0.0167278-0.0205096j -0.0157459+0.0311329j 0.0301246-0.00250368j 0.0106226+0.0025514j 0.028477+0.0295391j 0.0199392-0.0116342j -0.00233047-0.00445738j 0.00884858+0.00966217j -0.0129445-0.0196987j 0.0308053+0.0141297j -0.039598+0.0194745j 0.00212449-0.00930215j -0.00634117+0.0192243j -0.0194617+0.00199198j -0.0404911+0.010512j 0.0076283+0.0242278j 0.00774379-0.0439229j 0.026258+0.039746j 0.0116044-0.00842447j 0.00673213-0.0217504j -0.0314118-0.00775857j 0.0230645+0.0227656j 0.00910909-0.00986563j -0.0125361+0.0235081j 0.0069166-0.0187807j -0.0302598+0.00986786j 0.00809232-0.00655046j 0.0327764+0.00246471j 0.01543-0.00586061j 0.0249322+0.000723222j 0.0094783-0.0116815j -0.0158452-0.0197472j 0.00436953+0.00755653j -0.0100007-0.0049559j 0.0306834+0.0220385j -0.00214758+0.00133942j -0.00754367+0.0184232j 0.0043654-0.0147207j 0.000502251+0.018827j 0.00461283+0.0126683j 0.0280315-0.00200681j -0.0184341-0.026673j -0.00280926-0.00174972j -0.00561807+0.0126729j -0.00195389-0.0106778j 0.000490383+0.00195926j -0.00240992+0.0011304j 0.00852884+0.00191143j -0.00758886-0.0106873j 0.000952588+0.00438346j -0.00232986+0.00467489j 
-0.00396926-6.99934e-06j 0.00749352+0.00907831j 0.0882153-0.030834j 0.00948918+0.0183421j -0.00520564+0.0240753j -0.0892794-0.0470593j 0.0153941+0.0573591j 0.0608528-0.0446157j 0.0623508+0.0374759j 0.189325-0.0137857j 0.0571224+0.142324j 0.0525477+0.0153755j 0.108836-0.0485221j -0.359972-0.166098j -0.154911+0.163415j -0.144661+0.0038968j -0.0540744-0.0650229j -0.160364-0.244221j -0.173399-0.0207048j -0.246809-0.0332837j 0.257217-0.103621j -0.174318+0.0915025j -0.122452+0.0631835j 0.11897+0.0395701j -0.03325+0.0379068j 0.0444488+0.11873j 0.0453633+0.0301541j 0.000100079+0.130626j -0.0193293+0.0708171j 0.0484961+0.00642747j -0.267025-0.197089j 0.339539-0.0616169j -0.0814066-0.105372j 0.0537642-0.00828402j -0.00595759+0.144766j -0.0852956-0.104706j -0.0107672-0.0416435j -0.0650565-0.00678309j -0.000699261-0.00431579j 0.0126809-0.00343296j -0.0122806+0.000978894j -0.0163012+0.00210886j -0.0332852+0.00626944j 0.038862+0.000442904j 0.00930684-0.00167869j 0.0180021+0.0314998j 0.0283623-0.0255712j -0.0130903-0.0162213j 0.0121808+0.0201769j -0.0189406-0.000773543j -0.0132243+0.0229787j -0.0201466-0.0229235j 0.0082498+0.0271376j 0.0250967+0.0310659j 0.0137112+0.0461837j 0.0501281-0.00860465j -0.0108554-0.0137574j 0.00156507+0.0272559j 0.0268655-0.0111694j 0.0115271-0.0429362j -0.0163905+0.00937901j -0.0377995-0.0272733j -0.0221671+0.0219077j -0.00598961+0.00524926j -0.011577-0.0191429j -0.0167422-0.000362216j -0.00658219+0.00112278j -0.0104305-0.00877486j -0.00420451-0.00583538j 0.0118924-0.0153282j 0.0116125+0.00371222j 0.00486005+0.0103395j -0.0114033-0.00774477j 0.0150934-0.022524j -0.00999861+0.000408753j 0.00375983-0.0106304j 0.00526958-0.0178337j 0.00650767-0.0182293j -0.0200562-0.0271655j -0.000139444-0.00555805j 0.00180968+0.00676503j -0.00180648+0.00750396j 0.0190655-0.0206138j 0.00789506-0.0163817j -0.000989089+0.00718971j 0.000589776-0.00636806j -0.00735924-0.00675893j 0.00431896+0.00150585j 0.0100277+0.00337634j 9.74395e-05-0.0103845j 0.00156748+0.00231962j -0.000284765+0.00417816j 
-0.0172319-0.00498177j -0.00356792+0.0385642j 0.0198997+0.0476262j -0.0332747+0.053819j 0.0461234-0.139154j 0.00814754-0.0933884j 0.105157+0.124826j -0.0113531-0.133725j 0.155476+0.0412119j -0.0177353+0.173259j 0.0826019+0.160468j -0.115413+0.0337749j 0.00499572+0.152267j 0.233182-0.0589886j -0.0214068+0.0305925j -0.014466-0.0247274j -0.133534+0.391029j -0.248277+0.081589j 0.0732159-0.000903952j -0.10537+0.0974119j -0.0210556-0.0678301j -0.172754-0.157756j -0.104522+0.0264982j -0.0626463-0.0818058j -0.0513914+0.161622j -0.141249-0.195143j 0.281591-0.172517j -0.00375149+0.083738j 0.00517956-0.0413483j 0.120121-0.0742109j -0.0472579+0.120681j 0.0479336+0.0792124j -0.0232893-0.0322903j -0.0479076-0.03186j 0.0178086-0.0877069j 0.0486322-0.110873j -0.0405377-0.0291225j 0.0175487+0.0229482j -0.0157393+0.0278634j -0.000358246+0.00558466j 0.0479595+0.0297959j -0.0244884+0.0524877j -0.0106994+0.0175352j -0.0105868+0.0310954j -0.026305+0.0374177j -0.00391306+0.0616191j -0.00303718-0.0378337j -0.0244386+0.0141405j -0.0319086+0.0399656j 0.000679578-0.0360134j 0.018382+0.0112335j 0.0163141-0.0188997j -0.0119459+0.00729111j -0.0197297-0.0125335j -0.0044207-0.0115796j -0.0420389+0.00683508j -0.02373-0.00923435j -0.0365518+0.0161643j -0.00231556-0.018332j -0.0193806+0.0369198j 0.00120698+0.00567102j -0.0140684-0.0134274j -0.00764194-0.0159547j -0.000438688-0.0122421j 0.00219943+0.026648j -0.00331458-0.00233091j -0.0123225-0.0051542j 0.019035+0.0197698j -0.0331173-0.00514035j 0.0192827-0.0167338j 0.0264354-0.00382392j -0.00209508+0.0048528j -0.0175878-0.0103689j -0.00193959-0.011849j -0.00632788+0.00757182j -0.0149633-0.0128773j 0.00789759+0.00933064j -0.0109136-0.0233441j 0.00349542-0.00686276j 0.0092013+0.0117625j 0.00712996-0.0049157j 0.0124433+0.029595j -0.00646591-0.00504129j 0.00245076+0.00436376j 0.00359843-0.00895316j 0.0018573-0.00713228j -0.00199109-0.000728323j 0.00429417+0.000822701j 0.00245276+0.00147665j 0.00759634-0.0013913j 0.000556851-0.00752585j 0.00378383+0.00372949j 
-0.00359669+0.00287044j -0.001686-0.00175561j -0.0718642+0.0164337j -0.00426425-0.00344829j 0.0775363-0.0598078j 0.00754817-0.0809541j -0.083097-0.0110605j -0.03136-0.0619303j 0.0481417-0.314151j 0.205857+0.0656742j 0.018346-0.0796081j -0.171137+0.022199j -0.205733+0.0732249j -0.166465+0.11218j 0.103614-0.174928j 0.0908099+0.0868257j 0.0246842-0.0245541j 0.155005+0.030521j -0.182018-0.0767557j -0.0430189+0.0105005j 0.171336+0.160582j -0.0571103+0.128744j 0.0397287-0.247532j 0.0261911-0.199929j -0.00830406-0.216115j 0.0738229-0.0145604j 0.507035-0.154044j -0.0567946-0.133005j -0.128217-0.0384041j -0.0483163-0.128148j 0.0219225-0.0200919j 0.0910731-0.0213284j -0.0127538+0.0645446j 0.0195128+0.0622986j -0.0249748+0.0183294j 0.000663761+0.0590765j 0.0130417+0.0360535j 0.0479503-0.00632948j 0.00674523-0.00334135j 0.000147488+0.00440815j 0.00262829-0.011399j 0.0211615-0.00405087j 0.0229759+0.00123624j -0.0313884-0.00180252j -0.0386822-0.0046781j -0.0196392+0.0292968j 0.0114502+0.0244807j 0.0172662+0.0160228j 0.0241317+0.0509853j -0.0554143+0.0161688j 0.0163715-0.0298432j 0.012083+0.00900556j 0.0263966-0.0399705j -0.0168479-0.0165918j 0.0191044+0.0169211j -0.00455789-0.00905818j 0.0110846-0.00805994j 0.0160562+0.00055489j 0.0180272+0.0071112j -0.0020074+0.00696909j 0.0102024+0.00228348j -0.00466136+0.00887025j 0.00364267-0.00274739j -0.000792668+0.00913638j 0.0192485-0.00743857j -0.0151461-0.00245803j 0.00367773-0.0187974j -0.0207556-0.0234337j -0.00365369+0.00845977j -0.0226015-0.00225461j 0.0179061+0.00100865j -0.00228875+0.0118802j -0.00151462-0.0343191j 0.00781897+0.0122758j 0.00513485-0.0246716j -0.000426824-0.0232499j -0.0444185-0.00322122j 0.00551705-0.0264614j 0.00571203+0.00768161j -0.00322121+0.014142j -0.00197482-0.0129039j 0.0107903+0.0046058j 0.00160272+0.0115135j 0.00404056-0.00684603j 0.00248056+0.00247076j -0.0080094-0.00295935j 0.00832033+0.000133089j 0.00063902-0.00357174j -0.00632784-0.00274606j -0.00511792+0.00459989j -0.00218419-0.00093804j -0.000228362-0.00486643j 
0.0177804-0.00294234j 0.0102767-0.00672979j 0.157768-0.00782925j -0.0541661+0.0930036j -0.180033+0.0282244j -0.0633371-0.0880847j -0.010479-0.118994j -0.0734191-0.0762452j -0.0517777+0.0713086j 0.180331-0.0159564j 0.121186-0.0776953j -0.0127265-0.0585168j -0.325328-0.0925648j 0.218139-0.0586449j -0.0755032+0.268665j -0.0515827-0.0085412j -0.0130635+0.182694j -0.0735108-0.190831j -0.0375175-0.0743898j 0.117212+0.0395579j -0.0964554+0.129399j -0.0299842+0.308364j 0.0602508-0.0514024j -0.244108+0.137767j -0.183594-0.107929j -0.0230543+0.0721577j 0.0264461+0.0955625j -0.055804-0.0368934j 0.0592284+0.0975553j -0.110592-0.149442j -0.00789987+0.0299116j -0.0433637+0.00352591j -0.0540141-0.18675j -0.0209859-0.0288143j 0.0236345-0.0167908j 0.0167942-0.0341532j -0.0492045+0.00618917j 0.0056373+0.0138569j -0.0204162+0.000697184j -0.00126907-0.0281626j 0.0136494+0.0149039j -0.023838-0.00244346j -0.0878231+0.0142899j 0.0458231+0.0137908j 0.0577009+0.0214913j 0.0200429+0.0180508j 0.00743846+0.00801526j 0.0204241+0.0441813j 0.0369798+0.000473491j -0.00131521-0.00905445j 0.00459073+0.00255263j -0.0128115+0.0139986j 0.00530133+0.0117881j -0.0499792-0.0167743j 0.011913+0.00397553j 0.00284708-0.011525j 0.0254403-0.0190298j -0.022351+0.00409656j -0.0183609-0.0250982j 0.0104699-0.0100109j 0.0297233+0.00407446j 0.0110413-0.0344799j 0.0122694+0.00659848j -0.0345446+0.0109827j -0.0031344+0.0128504j 0.0199258-0.0201281j 0.00503149+0.00476987j -0.00617338-0.0151462j -0.00683357-0.0204399j -0.0184421+0.00234078j -0.0174393+0.00425756j 0.0152694+0.0122737j 0.00618872+0.00766939j -0.0199755+0.0186464j -0.0245225-0.000601067j 0.00259496-0.0143873j -0.000929499+0.0176201j 0.0228189+0.00790825j -0.00611473+0.00307059j -0.00747924+0.00247003j -0.00112118+0.00494831j 0.0147193-0.00430157j 0.00176533-0.0128113j -0.00344946+0.000875564j -0.00873009+0.00622976j 0.0102066-0.00265275j -0.00186131-0.0073504j -0.00458294+0.010486j 0.0107021+0.0157955j 0.00969146-0.011106j 0.00451659-0.0034778j 0.00236288+0.0088467j 
0.028488+0.0297296j -0.00378802-0.0188221j 0.0721942+0.176018j -0.208305+0.113841j -0.0390872-0.126517j -0.000953609+0.124932j -0.132591-0.000127603j 0.313127-0.0843662j 0.190891+0.0911826j 0.0708704-0.0906961j -0.0755497-0.115291j 0.0386785-0.00115931j 0.220134+0.244582j 0.0153945+0.0151932j 0.0431811-0.107955j -0.0244649+0.180251j 0.260148+0.0159096j -0.0894555+0.201126j -0.0316483-0.205893j -0.0790934+0.0535036j 0.0725038-0.169777j -0.0486013-0.0186078j 0.107886+0.0268089j -0.0949968+0.00938569j -0.0745167-0.11j -0.00101968-0.122322j -0.0355404+0.0402111j -0.170194+0.00551179j 0.132762-0.0121416j 0.102965+0.0682604j -0.0765024+0.0570662j -0.00798183+0.0354702j -0.0544031-0.0805899j 0.065624+0.139616j -0.0728738+0.0478003j 0.0669104+0.0174631j -0.000312879+0.0342313j 0.0819861+0.0389377j -0.00774942+0.0132238j -0.00647206-0.0107822j 0.0250801-0.0383516j 0.00900587-0.0163329j -0.101367-0.0230133j -0.0318713+0.0817716j 0.00775334+0.0797024j -0.0282115-0.0280923j 0.0729466-0.0125626j -0.0429588+0.0264996j -0.0397018-0.0166283j -0.0371735-0.000146737j -0.0167798-0.0012792j 0.00200883+0.0317002j 0.00908431-0.0209384j 0.0201817+0.0265399j 0.0101803-0.0132325j 0.0104001-0.00680271j -0.018853+0.00742708j -0.012153+0.00223862j 0.000239853+0.00753817j 0.0235525-0.0119065j -0.000830031+0.0213418j 0.00532374-0.00599866j 0.0224444-0.0159214j 0.0194889+0.0113668j 0.00912969+0.000820363j 0.000154539-0.0272195j -0.000280941+0.00602166j 0.0204556+0.00466515j 0.00674529+0.0179798j -0.0234632-0.00731255j 0.000621736-0.0150724j 0.000671034-0.00797816j 0.0092539-0.00758676j -0.00329243-0.00592034j -0.0125743+0.00389872j -0.00584208-0.0111732j 0.0141762+0.0142927j -0.00292619-0.000414135j -0.000243974+8.70355e-05j -0.00437701+0.0140674j 0.00378774+0.00907241j -0.0125902+0.0185901j -0.00560338-0.00517716j 0.00624863-0.00573077j 0.000193118+0.00327462j 0.0056407+0.00271099j -0.00390464-0.0180618j -0.00599662-0.00212671j -0.0135227+0.0166062j 0.00996066+0.00305639j -0.00439505-0.00669256j 0.00243563-0.00320815j 
3.48492e-05-0.000812622j 0.0152041+0.0255509j 0.137371-0.0722224j 0.131959+0.153744j -0.00980221+0.0410155j 0.158403-0.123992j -0.0856983+0.204506j -0.111595-0.211344j 0.068805+0.0266117j -0.325972-0.135912j -0.0504415+0.0361342j -0.0959846-0.138877j -0.187973+0.288037j -0.132695+0.0537421j -0.198131-0.065454j -0.197878-0.00672575j 0.132911+0.0775496j -0.095518-0.0409127j -0.0293489+0.103597j 0.24627-0.00937031j -0.0161436+0.159775j -0.0953478+0.0216002j 0.0252024+0.0691834j 0.0286684-0.158678j 0.110778-0.067244j 0.0408517-0.056641j -0.0495057-0.0191707j -0.11771+0.00546352j 0.0474337+0.0484591j 0.00347+0.0115745j 0.0536572-0.0103905j 0.0180448-0.00567377j -0.0206569-0.0676768j -0.0306008-0.0472967j 0.0539654-0.0338038j -0.0116477-0.0662804j -0.0526116-0.0310875j -0.037194+0.01094j -0.0418538-0.0032849j -0.015186-0.0125182j 0.00405654+0.000591429j -0.020262+0.0248572j 0.0111805+0.0825886j 0.0709638+0.0181792j 0.0386768-0.0260563j -0.0449128+0.0629436j -0.00304921-0.0578073j 0.0390785+0.0165529j -0.0418752+0.00414927j 0.0410581+0.0295477j 0.0188331+0.0392351j 0.0275643+0.00939842j -0.0133016-0.0250149j 0.0106913-0.0119273j 0.0260199-0.0189015j 0.0207552+0.0196617j 0.00723403-0.0324281j 0.00295936-0.00868817j 0.00395554+0.0250637j 0.0091899+0.00861124j -0.0280655+0.0136897j 0.0117667+0.0202428j 0.0217297+0.00463845j -0.00969196+0.0302856j 0.0110832-0.0075429j -0.000898328-0.00191268j -0.00963483-0.000112302j -0.0140453+0.00101983j -0.0140416+0.000966806j 0.00449532+0.000747008j 0.00482072+0.00587527j 0.0021082+0.00922945j -0.00259238+0.0158342j -0.00800154+0.00723433j 0.000625359-0.0100014j 0.00772377-0.00125918j -0.00769394-0.0136491j -0.00736099+0.00409605j -0.00243295-0.00713298j 0.0193735+0.00638254j -0.00814191+0.0155419j 0.000997607+0.00288538j -0.00313023+0.00120602j -0.00701497-0.00205624j -0.00952962-0.000651278j 0.00297286-0.0137252j -0.00592943-0.00161234j 0.00446975+0.00789627j 0.00833187+0.00255548j 0.0115524-0.00997324j 0.0047585-0.00394285j 0.00423508+0.00464155j 
