-0.00371905-0.00876317j 0.00280079-0.00997392j 0.00408957-0.00585547j 0.00271942+0.00741648j 0.00149808+0.000291151j 0.00390851-0.00257825j -0.00234414-0.00918228j -0.00112948+0.0042701j 0.00202574+0.00309843j 0.000736404+0.00485154j 0.00219395+0.00577351j -0.00251416+0.000139387j 0.000368417-0.00424118j 0.0018469+0.00169465j 0.000550833-0.00416004j -0.00255388+0.00028528j -0.00216835-0.00524818j -0.000914348-0.00122795j -0.0018558+0.0031245j 0.000871469-0.00488494j 0.00181625+0.00234739j 0.00314483+0.00561375j 0.00524648-0.00425938j -0.00261717-0.00928507j 0.000338868+0.00136884j -0.00834403-0.00377114j 0.000677809+0.0214381j 0.0178528-0.0401392j -0.00847978-0.0534107j 0.020413+0.0117717j -0.00736075+0.0266378j 0.0106757-0.00822862j 0.00641366+0.00843564j -0.00125057+0.000533291j 0.00707014-0.00566946j 0.00683113+0.00694554j -0.007578+0.00143388j 0.00136071-0.000789066j 0.00087246-0.003343j -0.00113379-0.00463384j -0.00951441-0.00177507j -0.00437623-0.00153754j -0.00210257+0.000236589j -0.00063856-0.000459729j 0.00498368+0.00378464j -0.0044435+0.0018498j 4.30933e-05+0.000391219j 0.0050656+0.00243112j 0.000648099+0.000152878j 0.00104378+0.000713063j 0.00226257-0.00410918j -0.00110659+0.000829149j 0.00553792+0.00171141j 0.00226555+0.00086281j 0.00183422+0.000462748j 0.00293919-0.00177365j 0.00155226-0.00275605j -0.00469179+0.00163388j -0.00144-0.00390678j -0.000263469+0.00290597j 0.00607852+0.00191001j -0.00659663+0.0017274j -0.000511813+0.00683402j 0.0116036+0.00080687j -0.00714809-0.0034777j 0.000365855-0.008238j -0.0220371-0.00232625j -0.00647282+0.0141689j 0.302689+0.00401787j 
-0.00228116+0.0106785j -0.00412979-0.0080145j -0.00356809-0.00850449j 0.00333944-0.00499111j 0.000132924-0.00306439j -0.00200406-0.00760012j -0.00444839+0.00396325j 0.00255747+0.00280158j 0.00178632-0.00300381j 0.00248848-0.00122227j 0.0026378-0.00403793j 0.000271128+0.00473436j -0.00247963-0.00176262j 0.000466004-0.00366608j -0.00208929-0.0010859j 0.000571745+0.00522503j -0.00238789+0.00344881j -0.000318037+0.00173047j 0.00191198+0.00436305j -0.00259411-0.0019101j 0.00100572-0.00323074j 0.00210561-0.00647274j -0.00313693-0.0120535j -0.00386919+0.00602841j 0.000845985-6.24757e-05j -0.000480659+0.0214819j 0.00850387-0.000940398j -0.00513956-0.0566437j -0.0152853+0.0408783j 0.00637868-0.0256613j 0.0239462+0.00847159j -0.0101757-0.0109667j 0.00923802-0.00587639j 0.000283776+0.00166101j -0.00805711-0.00622431j 0.00777435-0.0053207j 0.00329777+0.00626447j -0.00103206-0.00123905j -0.00508119-0.000713219j -0.00635147+0.000449102j -0.00101794+0.00751464j -0.00135244+0.00328006j 0.000877821+0.0016111j -0.000953751+0.000603103j 0.00483189-0.00368832j 0.00386149+0.00349405j 0.000740408-7.91505e-05j 0.00265917-0.00354751j 0.000214777-0.000695331j 0.00118427-0.000720197j -0.00664311-0.00199721j 0.00143792+0.000926983j 0.00106054-0.00401946j 0.00153717-0.00160032j 3.93795e-06-0.00162372j -0.00335815-0.0022888j -0.00473562-0.0013278j 0.00398741+0.00314735j -0.0058735+0.000746663j 0.00500013+0.000798831j 0.00240427-0.00431792j 0.00611199+0.00475034j 0.0133235+0.000713j -0.000881502-0.00810879j -0.00636189+0.00254203j -0.0173564-0.00157008j -0.00285108+0.0105642j 0.310733+0.00455186j 0.00500548-0.0129533j 
0.00202814-0.00768651j 0.00119934+0.00609165j -0.000950219+0.000276078j 0.00124501-0.00379494j 0.00354374-0.00630815j 0.000413548+0.00665653j -8.69885e-05+0.00385418j 0.000311554+9.52554e-06j 0.00165853-0.00441008j -5.11497e-05-0.00944204j -0.00173013+0.00538644j -0.00236436+0.00469734j -2.678e-05+0.0033365j -0.000973978+0.000909038j 0.00128628-0.00251193j -0.000460662+0.00326413j 0.000254308+0.00522239j 0.00149453-0.0151188j -0.000896315-0.00560974j -0.000796158-0.000161751j 0.00112525-0.0152018j -8.32159e-05-0.00550108j 0.000841927+0.0150473j -0.000635074+0.00529178j -0.00370442+0.0270419j -0.00506536+0.0270911j 0.00476784-0.0400903j 0.02043-0.0347625j -0.00602814-0.0708725j -0.0059586+0.0202458j -0.0140734+0.00129205j -0.00292061-0.00309419j 0.00296058-0.00163802j -0.00740349+0.00493346j 0.00323183+0.00494044j -0.00165778+0.00113023j 0.00146526+0.00718596j 0.00192645+0.000272388j -0.000310997+0.00746988j 0.00618576-0.0020095j -0.000254802+0.00246198j 0.000759284-0.000800314j 0.00423928-2.93727e-05j -0.00289686-0.00253918j -0.00287704-0.00219007j -0.000837386+0.00181662j 0.00307989-0.000492027j -0.00381917+0.000412266j 0.00094112-0.00253136j 0.001346+0.00306165j 0.000495957-0.000279287j 0.00463423+0.00256753j 0.00146976+0.00398903j -0.00391092-0.00386163j -0.00347997-0.000694544j -0.00769435-0.00309384j 0.00236614-0.000409311j -0.00902611-0.00744377j -0.00214787-0.00294411j 0.00606651+0.00631018j -0.00334421-0.00571694j 0.0139396-0.00250079j -0.0143879-0.00307726j -0.00508784-0.00191049j -0.0111806-0.00871464j -0.119369+0.00149292j 0.256445+0.0111969j 0.0418038+0.00766176j -0.0689922+0.00513532j 
-0.000994167-0.00572591j 0.00218899-0.00718209j 0.000926988+0.00469678j -0.0014641-0.00662998j -0.00182677-0.0109768j 0.00286148-0.00220774j 0.00111727+0.000453332j -2.29621e-05-0.00422008j -0.000962889-0.00580805j -0.00283736+0.00277402j 0.00175513+0.00410883j 0.000829847+0.00657908j 0.000786146+0.000717663j 0.000229636+0.00455189j -0.000974532-0.00216978j 0.00100953-0.00172632j 0.000941282-0.00231673j -0.00451773-0.00195597j -0.0015905+0.00303144j -0.000669098+0.00652654j -0.00369036+0.000501081j -0.000968939+0.00483344j 0.00223583-0.00235793j 1.21044e-05+0.00169745j 0.00450495+0.0120222j 0.00593388-0.0549232j 0.00483813-0.000251544j -0.0052592-0.066773j -0.0206855+0.0437858j 0.0132957-0.00153678j -0.00710783+0.0195661j -0.00185906-0.000896903j -0.00518791-0.00824357j 0.00804545+0.00891436j 0.0106959-0.00434061j -0.000763771-0.00224681j 0.00929816+0.00168869j 0.000982751-0.00238708j 0.0132473+0.00193799j -0.00149692-0.00366437j 0.00415391+0.00470046j -0.000840924+0.000916759j -0.000402473-0.00300679j -0.00448023+0.0025039j -0.00420422-0.00127871j 0.00252165+0.00211429j -0.00160804-0.00305143j 0.000199203+0.00067203j -0.00534094-0.0015922j 0.00570786-0.000790021j 0.00223354-3.79016e-05j 0.00365482-0.00250979j 0.00604328-0.00154539j -0.00570154+0.000311022j -0.0022929+0.00215137j -0.00261587+0.00419204j 0.000319882-0.0014257j -0.0141568+0.00448815j -0.00317223+0.00109714j 0.00957501-0.00289781j -0.0126556-0.00145712j -0.00740639-0.00718297j -0.0122011+0.00350183j 3.85419e-05-0.00189246j -0.0293944+0.00699332j 0.226768+0.0103502j 0.145371-0.00449712j -0.0671922+0.00444069j -0.0387648-0.00732982j 
-0.00037081+0.0066578j 0.000341623-0.00350527j 0.000982315+0.00171871j -0.00167892-0.00368738j -0.00217125-0.0054531j 0.00159674-0.00892142j 0.000950649-0.000249473j -0.000494478+0.00396658j -0.00124628+0.00227791j -0.000736282+0.000699717j -3.49658e-05+0.00232447j 0.000263715+0.00541069j 0.000415034-0.00270656j 0.000182799+0.00254582j 0.000235739-0.0024954j -0.000626586+0.00114808j -0.00159665+0.000142625j 0.000904338-0.00166002j -0.000130791+0.0072979j 0.00107663+0.00998484j 0.00264325+0.00047096j 0.00083622+0.00429298j 0.00430846-0.0259591j -0.00178789+0.0186625j -0.0113279+0.0235948j -0.0203836+0.0485594j -0.0133725+0.0521072j 0.0016417-0.0186665j 0.0231141+0.0111698j -0.00214762-0.0166294j 0.00314576+0.00327863j -0.000371431-0.00052785j -0.00832299-0.00481701j 0.00953295+0.00331073j 0.00342643-0.00582005j 0.00170701-0.00191727j 0.00631844+0.00314802j -0.00138906+0.000999106j 0.00377567-0.00199903j -0.00110561-0.00024546j 0.000281036+0.00128724j -0.00198477+0.00149056j -0.00119912-0.00118348j -0.00527866-0.00158062j 0.0038117+0.00125638j 0.00679688+0.00366205j -0.00253359-0.00117525j -0.000652612-0.00251923j -0.000574057+0.000923577j 0.00825879+0.00244964j 0.00306699+1.08749e-05j -0.000434459-0.000382263j 0.0063258+0.000164825j 0.00329135-0.0037135j 0.00900226+0.000727104j 0.0033557-0.00206032j -0.00217729-0.00312105j 0.00236649+0.000720684j -0.00294026+0.00238987j -0.00308598+0.00659946j -0.0124048-0.00108957j -0.0260534+0.00618413j 0.0133866+0.00501799j 0.0220551-0.0087252j -0.268074-0.0144856j -0.0365041-0.0165136j 0.0609956+0.00706753j 0.00671304-0.000401437j 0.0203609+0.00116205j 
-0.000857888-0.000229141j 0.00130227+0.0086802j 0.00207405+0.00718659j -0.000853691+0.00508068j -0.00229193+0.0120921j -0.000292917-0.00334796j -0.00165528+0.00576274j 0.00108266-0.00926033j 0.00258651-0.00328018j 0.000705987+0.00252389j 0.00278795-0.00706125j 0.000323557-0.00470619j -0.00168192+0.0102377j 0.00248608-0.00126671j -0.000747695+0.00555195j -0.00179761-0.00263625j -0.00313249+0.0157839j -0.000786682+0.00907959j 0.000826577-0.00988869j 0.0024645-0.00406675j 0.00331406-0.0147425j 0.00445589-0.00797159j 0.00486494-0.00441517j -0.0100895+0.0258415j 0.00383931-0.064094j -0.0164898+0.0284231j 0.00639321+0.0133591j 0.0210186+0.0363771j -0.00871894+0.0331024j -0.000307587-0.00132177j -0.0113946-0.0193899j 0.00991311+0.0114127j -0.00936303+0.00337265j 0.00685046-0.00847538j -0.00720951+0.000382723j -0.00160159-0.006153j -0.000782513-0.00676939j 0.00527046+8.62197e-05j 0.00119228+0.000297937j -0.000628561+0.00322909j -0.000463899+0.000288249j 0.00383203+0.00119964j -0.00770456-0.00221633j 0.00196599+0.00104339j 0.00221888-0.00584584j 0.000220143-0.00378949j -0.0061494+0.00115797j -0.00382139-0.00135289j -0.000160122+0.00244362j -0.00239477-0.00410594j 0.0058908+0.00127689j -0.00530904-0.000133331j 0.00180802-0.00188687j -0.0169375-0.00524758j 0.00251131-0.00342912j 0.00139833-0.00430764j -0.00734758+0.00258797j -0.000829992-0.00468317j 0.0227709+0.00245656j 0.0164265+0.00158015j -0.00580995+0.00285157j -0.0257143+0.00663402j 0.0380241-0.00730941j -0.246134-0.00552985j -0.0396307+0.00914747j 0.0174318+0.00183308j 0.0545186+0.00320892j 0.0113878-0.0018078j -0.0135386+0.000931496j 
0.00154317+0.00702142j 3.94378e-05+0.0033758j 0.000612255-0.00657268j -0.00103815-0.00103433j -0.00134491+0.000863135j 0.00100875-0.00824477j 0.00173657-0.00277842j 0.00165625+0.00291665j -0.00100146+0.00964427j -0.00322007+0.00240928j 0.00021999-0.00315614j 0.000760031-1.41164e-05j 0.000252659-0.0044991j -0.000968667-0.000151856j -0.000104224+0.00407976j 0.00126415-0.00263895j -0.000289675+0.00437619j -0.00312991+0.0127684j -0.000607778-0.00293217j 0.000668637-0.00169108j -0.00213365-0.0017319j -0.00334998-0.00375232j 0.0134758-0.0531908j 0.00604387+0.0156615j 0.00210784-0.00555892j 0.0227992-0.0488689j -0.00674667-0.0585692j 0.00963043-0.0287354j 0.0127137+0.016409j -0.0128771-0.00988451j 0.00109222-0.00710675j -0.00303529-0.00417828j -5.48976e-05-0.00179891j 0.0025685-0.00061146j -0.000522316-0.00432927j 0.00477858-0.000841518j 0.00506816+0.000206966j 0.00260919+0.00477411j -0.00776292-0.00184247j 0.000152321-0.000551696j -0.00568651-9.60423e-05j -0.00175344+0.00317593j 0.00444223+0.000898366j -0.000641085+0.00432833j 0.0108812+0.00208708j 0.00392642-0.00296992j -0.000303671-0.00100491j -0.000565233-0.000342226j 0.00109542-0.00266378j 0.00407877-0.00511772j -0.000159288-0.000463314j -0.00183465-0.00226003j 0.00203749-0.00440838j 0.0134146-0.00276206j 0.0122843-0.0038122j 0.00906318+0.00322811j -0.00299862-0.00208855j 0.0199412+0.00356652j -0.00215547+0.00441034j -0.0205911-0.000173936j 0.00287085-0.000639986j -0.0468579-0.00134276j 0.21016+0.0125761j 0.0502442-0.0066603j 0.00372628+0.0138417j 0.0166227+0.0128761j -0.0726924+0.00661379j 0.0133009+0.00111071j 0.00684849+0.000608662j 
0.00173244-0.00618421j 0.00047115+0.00499266j -0.00285988+0.0040634j 0.00109808-0.0104822j 0.002203-0.0049137j 0.00145597+0.000865867j -0.00106748+0.00122203j 0.00156201-0.0120244j 0.00255383-0.00690872j -0.000453178+0.00114751j 0.000461182-0.00221363j -0.00184653+0.00450371j -0.00144952+0.00544874j -0.00075681+0.00558457j 0.0012851+0.00250628j -0.000999598-0.00422761j -0.00335404+0.012559j -0.00130662-0.00541034j -0.00021902-0.00967875j 0.00119669+0.00659265j 0.00252138-0.018523j 0.00456343-0.0151261j 0.0143754-0.00297214j -0.00304468+0.0419346j 0.00537243+0.036459j -0.0165383-0.0612969j -0.0220436+0.0529232j 0.0129175-5.62169e-05j 0.00356486+0.0183922j -0.00559931+0.0105865j -0.0131968-0.00100862j -0.0130071+0.00375975j 0.00631322-0.00931362j -0.00821541+0.00406782j 0.00327559-0.00105074j 0.00390853-0.00168099j -0.00578545-0.00473443j 0.00788605-0.000587296j -0.00595965+0.00316478j 0.00304091-0.000331563j -0.00362963+0.00257497j 0.00399056+0.00165161j 0.0122676-0.00342811j 0.00768941+0.00157588j 0.00552144-0.00164809j -0.0109322-0.00118942j 0.00405587-0.00251732j 0.00229122+0.000614788j -0.00813574-0.00175106j -0.00661497-0.00223562j -0.00629338+0.000542981j 0.00378561+0.000249102j -0.0108162+0.00260877j 0.00201711-0.00817086j -0.0234928-0.00110557j 0.00346977-0.00137828j 0.0035423-0.00256198j -0.00576117-0.00371921j 0.00782261+0.00330095j -0.00494227+0.00536061j 0.0100656-0.00388551j 0.198133+0.000254196j 0.103587-0.00034904j -0.031688-0.00636168j 0.0196705-0.00466175j -0.122874+0.00255698j 0.00403161-0.0100497j 0.010695+0.000843185j -0.00664249-0.000261617j 
5.06398e-05-0.00276159j -0.000642148+0.00114917j -0.00104789+0.0131632j -0.000187723+0.00122097j 8.24603e-05-0.00312393j 0.000594885-0.00133075j -0.000353506-0.00247757j -0.000504459+0.00431077j -0.00142561+0.0048985j 0.00232881-0.00230101j -0.000122985+0.000186268j 0.000216762-0.0011826j -0.00250084+0.00553416j -0.00191202+0.0110093j 0.000352998-0.00962153j 0.000532795-0.00348531j -0.00322474+0.00333908j 0.00194355-0.00039047j 0.00161822+0.00161088j -0.00914093+0.0446007j -0.00123597+0.0317403j 0.00666986+0.0324605j -0.0036663-0.0188295j -0.0104705+0.0411279j 0.00112515+0.00684336j -0.00295465-0.00435757j 0.0159073+0.0160183j 0.00179859+0.00247525j -0.00180267+0.0128877j 2.11866e-05+0.000583156j -0.00289175-0.000966925j 0.00393729+0.0108209j -0.0090985-0.0014391j 0.00353172+0.00291505j 0.0058336-0.0011723j -0.00398393+0.0017373j -0.0045716-0.00117293j -0.0106625+0.00142897j 0.00192104-0.00326599j 0.0027146+0.00462351j 0.0127439-0.0035424j 0.00445007-0.0010302j 0.00500001-0.00431651j 0.00221586-0.00278585j -0.00477165+0.0021131j -0.00237621+0.00430855j -0.000702502-0.00465512j -0.000324261-0.00133563j -0.000652333+0.0036182j -0.00316311-0.00245543j -0.00265493+0.00460252j 0.00706892-0.000495311j 0.00379587+0.004114j -0.00833292-0.00129544j -0.00687319+0.00749768j -0.00601261+0.00288608j 0.00747425-0.0014508j -0.00708997+0.00292497j -0.0143167+0.00962491j -0.0975521-0.00452841j -0.159078-0.000753209j 0.0449921-0.00936028j -0.0330804+0.00135767j -0.017258-0.00481265j 0.0497918+0.00430471j 0.0249409-0.004162j 0.0333806+0.000972978j -0.00190451-0.00245758j -0.00721306-0.000458728j 
-0.00171211+0.00246086j -0.000834926+0.00163696j -0.00055483+0.00808722j 0.00137596-0.00476357j 0.00128273-0.00455887j -0.000518739+0.00396509j -0.00259687+0.0105306j -0.000324638-0.00313678j 0.00182622-0.013874j 0.00206856+0.000458657j 0.00297337-0.00791579j -0.00216608+0.00512299j 0.000296365-0.00157718j 0.00216401-0.00846187j 0.000115108-0.00124715j -0.00361732+0.0112924j -0.00554443+0.00828211j 0.00307959-0.0084625j -0.00125534+0.00677883j -0.000239275+0.0072134j 0.0110285-0.000303281j 0.0151928-0.0409874j 0.0168197-0.0520849j -0.00576464-0.0494645j -0.0158199-0.000142719j -0.020802-0.00436517j 0.000390878-0.0300976j 0.00341327-0.00986506j 0.00413487-0.00390989j 0.00134701-0.00451498j 0.00266453-0.00260646j 0.000340536+0.00426366j -0.00610351-0.00437655j 0.00297437+0.00277531j -0.00283966+0.00405718j -0.00778071-0.00546307j 0.00214666+0.00111991j -0.00642735-0.00427974j 0.0106857+0.00121413j -0.0112165-0.000854753j 0.00889123+0.00730561j 0.0010169+0.00193921j -0.00437011+0.00307628j 0.0010423+0.00174344j -0.00901478-0.00296005j -0.00207597+0.000815189j 0.00397653-0.000846817j -0.000214144-0.000973325j -0.00333093-0.00182849j 0.0069813-0.00153735j -0.00547683-0.00269081j -0.00360895+0.00418253j -0.00598621+0.000886973j -0.013477-0.00413056j -0.00417636-0.0031892j -0.0169846-0.00226058j 0.000111125-0.00208996j -0.0133782+0.00408176j -0.0557166-0.00103205j 0.165269+0.000945076j -0.104799-0.0135577j 0.0696466+0.0050126j 0.0185559+0.00915721j -0.0521318-0.00208876j -0.0544668+0.00267254j -0.00687822+0.000441557j 0.0272951+0.00101126j 0.00688879+0.000988751j 0.000323139-0.00123898j 
-0.000243315+0.00428552j -0.000317866-0.00381376j -0.00160428+0.00448519j 0.000645501-0.00492342j 0.00176026-0.0091004j 0.000697493-0.00703546j -0.000461192+0.00328692j -0.00301332+0.0061236j 0.00114457-0.0103872j 0.000664465-0.00102144j -0.00330972+0.0130519j -0.000350775+0.0104397j 0.00257534-0.00795691j 0.00115484-0.00121904j 0.00179881-0.00510986j -0.00124943+0.0102782j 0.0061404-0.0102573j 0.00733627-0.0365446j -0.005644+0.0435347j 0.0117394-0.00081895j -0.000289262-0.00304689j -0.00709616+0.0189766j -0.0122687+0.0385095j 0.00896554+0.0280562j 0.0136482-0.0422021j 0.0070874+0.00996218j 0.0084066+0.0539896j -0.00181449-0.00207191j 0.000221862-0.00435082j -0.000929295-0.00780442j 0.00865832+0.00671356j -0.00553806+0.000886933j -2.17837e-05-0.00377461j -0.00297753+0.00410698j -0.00353577-0.0042424j 0.00308437-0.0013825j -0.0100794+0.00520462j -0.00172383-0.00569351j 0.00437667-0.000272401j -0.00579482-0.00234284j 0.00380005+0.00175809j 0.00260456-0.000645325j -0.00209902-0.00187735j 0.00521091-0.00598672j -0.000541866+0.00141011j -0.00663655+0.00360807j 0.0025632+0.00389417j 0.011571-0.00295927j -0.00418688+0.00473641j 0.0103606+0.00909479j -0.00596317-0.00132068j -0.00758764-0.000401144j -0.0133984+0.00265487j 0.0117336+0.00140424j -0.0100778+0.00686637j 0.00843816-0.00637435j 0.0215962-0.000293454j -0.0722168+0.000480471j -0.160691-0.0121269j 0.00520761-0.000240317j 0.0876763+0.00368506j 0.00153238-0.00196078j -0.0136333-0.000816413j 0.0457741-0.00324283j 0.0332782+0.0050984j 0.000734433-0.00708765j 0.00939747-0.00270041j 0.00156242+0.00119087j 0.00512477-0.000685239j 
