0.0621754+0.146303j -0.189578-0.118202j -0.0829768-0.1891j 0.0256262-0.26257j 0.0548115+0.0170272j -0.0870015-0.133042j 0.0470222-0.0694939j 0.0866316+0.0413662j -0.182383+0.00679727j 0.209068+0.167643j 0.159256-0.197262j 0.0563469-0.0392938j -0.0908528-0.200359j 0.275329+0.0667986j 0.0784792-0.0173016j -0.043158-0.00735799j 0.0622434+0.104591j -0.0049692+0.0456194j 0.00677318-0.0483496j 0.03318-0.0368104j 0.00704032+0.0368054j -0.0518056+0.00557409j -0.0181295+0.013357j -0.00693768+0.0191199j -0.0218454-0.029685j 0.016366-0.0288288j 0.0454616+0.0203788j 0.0253564-0.0417411j 0.0312654-0.00311898j 0.00789936-0.00594613j -0.0909177-0.00935253j -0.00822729-0.0199297j -0.00412378+0.0710912j -0.0605976-0.020536j -0.0131104-0.0344929j 0.0448077+0.0129539j -0.0358653-0.0435185j -0.010331+0.0122933j -0.0286735-0.021016j -0.0275476-0.0285612j 0.0105597-0.00184512j -0.00161812+0.0051611j -0.0104244+0.0183247j -0.0110432+0.0207451j -0.0223105+0.00841878j -0.0104134+0.013187j 0.00531609+0.00400172j -0.00415512-0.0117151j -0.0112327+0.00645843j -0.0146644+0.00309526j -0.0419679+0.000851645j -0.000633922+0.00436492j -0.00100689-0.00246809j 0.0085534+0.00410799j 0.017036-0.00530971j -0.00141215-0.0116002j -0.019944-0.00252155j -0.02067-0.00272927j 0.0157892-0.000215533j 0.0220538+0.00410892j 0.00694923+0.00192343j -0.00142897-0.00335762j 0.0219501+0.00331669j -0.0108367+0.00751541j -0.0107999+0.00997239j 0.0159692+0.0103821j 0.00621432+0.00280926j -0.017452-0.0102703j 0.00330797+0.00116005j 0.00422053-0.0159649j -0.0253667+0.00492643j 0.00709465+0.0200322j 0.011348+0.00610693j -0.0003194-0.0150214j -0.0402244-0.0228937j -0.00528034+0.00115599j 0.00506443-0.0271314j 0.00381843-0.0357997j 0.00979718+0.0167644j 0.0163926-0.0127956j -0.0261771+0.0151909j -0.00481471+0.0161114j 0.0266788-0.0174498j -0.0288279-0.0106107j 0.00728758-0.00205492j -0.022201+0.0168287j -0.017098-0.0545196j -0.0617339-0.00432738j -0.00349276-0.00986764j 0.0127318-0.0320888j 0.00154278+0.0172927j -0.00545474-0.00291145j -0.0572808-0.0466896j 0.014911+0.00134338j 0.0515101+0.0656116j 
-0.17901-0.0574304j -0.14575-0.149116j -0.0668497-0.0731519j -0.0387874+0.146086j -0.0390783-0.0721723j -0.0209867+0.0346253j -0.162981+0.0441488j 0.217498-0.185426j 0.0186191+0.102969j 0.102773-0.177897j -0.23707-0.286943j -0.0451988+0.126852j -0.141576+0.162531j 0.137877-0.132008j -0.178953-0.0389878j -0.0633182-0.0861162j -0.0107909-0.00940889j 0.0213402-0.0575837j 0.0221443-0.0454275j -0.0140815+0.0250074j 0.0226556-0.013239j -0.0090699+0.02443j -0.0135818-0.0173746j -0.00826163-0.0207657j -0.036288+0.033431j -0.0225758-0.00194986j -0.0256094-0.042852j -0.0330442-0.0318926j 0.0722037-0.0150021j -0.0197945+0.0217461j 0.00411108+0.0618836j -0.0689484+0.0296453j 0.0588658+0.0349471j -0.00482037-0.0011065j 0.014717+0.0265638j 0.0360998+0.0322338j 0.0317436+0.00736255j -0.0315677-0.0138405j 0.00274464-0.00769776j -0.0153956+0.0035565j -0.0135978-0.0182664j -0.0210581+0.00482911j 0.00692566-0.0227883j -0.0145675-0.00153198j -0.0191776+0.0158336j 0.00600586+0.00157198j -0.0159729+0.0215007j -0.00636433+0.00934395j -0.0263157+0.00959699j 0.00625517-0.00788447j -0.0146098+0.00895761j -0.0255936+0.00475934j 0.0094701-0.0129917j 0.00209812-0.00727299j -0.00785902+0.0131779j -0.00840068+0.000818165j -0.00625434+0.00155794j 0.00639173+0.00647945j 0.00969797-0.00222947j 0.00337314+0.00279515j -0.0174453+0.00861426j 0.0150825-0.0127199j -0.00211884-0.00845411j 0.036927+0.00750626j 0.00435503+0.0144392j 0.00333043-0.00896762j 0.00674781-0.000950865j -0.0089879+0.0114239j 0.0281233+0.0224835j 0.00801445+0.00597439j 0.00159851+0.0196513j 0.00466872-0.0094039j 0.0275686+0.00460941j -0.00485355-0.00305923j -0.000504109+0.0306874j 0.0123747+0.00645456j -0.00244844-0.000547641j -0.0198449-0.00863159j 0.00738528-0.00194053j -0.0101034-0.012254j -0.0033688+0.0480671j 0.0408293-0.00184114j -0.0114042-0.021132j 0.0184643+0.0146869j -0.0209902+0.0408279j -0.0120034+0.00381155j -0.0534137+0.0132536j 0.016351+0.0442085j -0.0106321-0.0246455j 0.000344489+0.0275742j -0.0189491+0.0263236j -0.0296808-0.0165145j -0.0128452+0.0230554j -0.0341258-0.0525597j 0.0309205-0.0177637j 
-0.147281+0.0328205j -0.168122-0.0287956j -0.143838+0.0130337j -0.0804921-0.056142j 0.00540375-0.0494576j -0.194767+0.155658j 0.0757567-0.0457713j -0.00173974+0.19869j -0.0150016+0.236358j -0.057407+0.209722j -0.108901+0.266649j -0.0354851-0.0525167j -0.277345-0.0018123j -0.087416+0.420819j -0.515322+0.253074j -0.0451033-0.00978778j 0.0370814-0.0206873j 0.0329987-0.0209885j 0.00802776-0.00582527j -0.0123346-0.0114727j 0.0258517-0.0163074j -0.0337326+0.0192281j 0.0218089-0.0102556j 0.0276188-0.0317345j 0.00256285-0.0139646j 0.0200194+0.0179341j -0.00112325+0.033756j 0.00125174+0.0181308j 0.00343234+0.00884222j 0.022867-0.0102337j 0.00617044+0.0590545j -0.00578834+0.0110104j -0.0443641-0.0325198j 0.0076452-0.0167649j -0.0101662-0.0069436j 0.0330189+0.00375021j 0.00917711-0.032751j -0.0125732+0.00475856j -0.0109985-0.00578674j -0.0194243+0.0119032j -0.00695276+0.00745254j -0.0149549+0.00215024j 0.00941305-0.0027242j -0.00214862-0.0069795j -0.016625+0.00524612j -0.000203562-0.012151j -0.00879769+0.00604511j -0.00583724+0.00970519j -0.00195627-0.00780975j -0.00127981+0.00605019j -0.025828-0.0048398j -0.00403389+0.00496491j 0.0109899-0.0192871j 0.00155598+0.00527695j 0.00436191+0.00837394j 0.00291586-0.0197739j 0.00193071+0.00851065j -0.00666937-0.0133585j 0.00901002-0.00974897j 0.00317613-0.000493558j -0.00591482+0.00482511j 0.0103611-0.025774j -0.00753842-0.0121936j 0.00894292-0.0170304j -0.00968375+0.0005372j 0.00818247+0.00475424j -0.00278141+0.00302109j 0.000832758-0.0155094j 0.00981477-0.0244661j -0.0256629-0.00378614j 0.00689614+0.00638061j 0.011358+0.00502646j -0.000803529-0.00557103j 0.00535725-0.000708535j -0.0107709+0.00954825j -0.0133463-0.0232211j 0.0210004-0.00180248j 0.0081513-0.00332896j -0.00282098+0.00889472j -0.0219037+0.0169718j 0.0212967-0.0084778j 0.025993+0.0051472j 0.0146481-0.0208698j 0.00924704+0.00588593j -0.00372541-0.0222213j -0.00150564+0.00424762j -0.0127339-0.0085968j 0.0138886-0.00462966j 0.0110288+0.00121739j -0.0272078-0.00660656j 0.00989037-0.0322656j 0.00597329-0.00362293j -0.013131-0.0184379j -0.0324465+0.044252j 0.0487591+0.0160442j 
-0.184045+0.160651j 0.00708521+0.0207605j -0.105988+0.125296j -0.194256-0.116971j 0.142307+0.0975047j -0.0110253+0.0699191j -0.098825+0.142485j 0.0710645+0.107452j 0.281694-0.0609677j 0.384453-0.0810348j 0.0128669+0.178573j 0.267396-0.201128j -0.0914027-0.15835j -0.226233+0.123415j 0.198336-0.207315j -0.0474801+0.0918178j 0.0101026-0.0391458j 0.0339256-0.0186734j 0.0101912+0.0284302j -0.00529882-0.0416222j -0.00443831-0.0444966j -0.0324962+0.00511138j 0.0114938-0.0140611j 0.0018019-0.0286461j -0.026748+0.0112809j -0.0230101-0.000629555j -0.0115212+0.0368373j 0.0235187-0.00652374j -0.0247128+0.0158225j 0.0194017+0.0319082j 0.0443621-0.0308984j 0.0159903-0.0164599j 0.0349229+0.0403423j -0.0393284+0.0202988j -0.0110158-0.0287532j 0.00569395+0.0203731j 0.0227823-0.00391242j -0.0117043+0.00241721j -0.00598916-0.00547463j -0.00702541+0.0124179j -0.0108858+0.0256624j -0.0129958+0.015183j 0.0177572-0.00366857j 0.00151624-0.00203345j -0.0149657-0.00218577j 0.00348109-0.0171442j -0.00993745-0.0080265j -0.00855726+0.0165118j -0.000363737-0.00748111j 0.000654021+0.0141615j -0.0110388-0.0208114j 0.00305521+0.0112045j 0.00159902-0.00515664j -0.00961031-0.0031563j 0.00313028-0.000478037j -0.00261173-0.00288344j -0.00549938+0.0036112j 0.0148386-0.0176974j 0.00618324-0.0107465j 0.000766373-0.000744908j -0.00161024-0.0128002j -0.0151192-0.00312404j 0.00855018-0.0128689j 0.0106742-0.0061736j 0.0158227+0.0092876j 0.0057559+0.013694j 0.00321121+0.0250166j 0.00766635+0.0156749j -0.0037704+0.00927064j 0.000335505+0.0125264j 0.00384848-0.0217748j 0.0011884+0.00060891j -0.00137549-0.00169973j 0.0195175-0.0216984j 0.00258631-0.00399417j 0.000323661+0.00386911j -0.00427203-0.00905108j -0.00469382+0.00660702j -0.0334044+0.00828884j -0.0124062-0.0133237j -0.00920842+0.0294162j -0.0166345-0.012895j 0.00426554+0.0112307j 0.00403096+0.00738276j -0.00529547-0.00920267j 0.0113134-0.00113922j 0.00142276+0.000587299j 0.00886242+0.010293j 0.00171941+0.00294031j -0.00664234-0.0217936j 0.0175974-0.00676079j 1.46721e-05+0.00682805j -0.0245806+0.00814026j -0.035477+0.0133345j 0.00325973+0.0312882j 
-0.132969-0.00229365j -0.0186035-0.0623222j -0.0403216-0.031941j 0.0761957+0.0908812j 0.0100072+0.0229585j -0.0601249-0.183595j 0.157738-0.289916j -0.112576-0.304208j 0.112831+0.0511302j -0.00387633-0.232606j 0.3108+0.0988913j 0.135548-0.18819j -0.0104474+0.0965333j -0.0847147+0.0289868j -0.108593-0.0778112j -0.0459684-0.0213038j -0.0111865+0.00056916j 0.00559459-0.0132317j -0.0094081-0.0272908j -0.00590391-0.00610528j 0.00331836+0.0190641j 0.0317578-0.0142168j -0.0100028+0.0122451j -0.00138779+0.0337151j -0.0305171+0.00940677j 0.00747708+0.00778427j -0.0143485-0.0204189j -0.0318871-0.0503495j -0.00714447+0.0079344j 0.0131364-0.0538851j 0.0334325-0.0141288j 0.025589-0.0141861j -0.00147384-0.00900699j 0.0108174+0.0114955j -0.0117396+0.011753j -0.000352407+0.00286054j 0.00394038-0.00158674j -0.00948059-0.00257753j -0.00144221-0.007283j -0.0015814-0.00179767j -0.0123705-0.00163699j -0.00857262+0.00236707j 0.00090866-0.000694849j -0.00187216+0.00324304j -0.00600913-0.00149061j 0.00924219+0.00628075j -0.0013311+0.0110828j -0.00320108+0.00416673j -0.00264267+0.0039293j -0.00253201-0.00402328j -0.000610278-0.00677601j -0.00228816+9.21115e-05j 0.00842395+0.00735833j 0.00346171-0.0144716j 0.00180846+0.0194168j -0.00274626+0.00151901j 0.00318416-0.0116179j -0.00545795-0.00628483j -0.0208326+0.00329337j 0.00552689-0.0195563j -0.00727171+0.00108931j -0.00893262-0.00226703j 0.0140199-0.0118558j 0.0305555-0.00624311j 0.00300827+0.0129901j 0.0108709+0.00335488j 0.0301197-0.00980738j -0.00857193+0.00721676j 0.00196697-0.0365808j -0.00585492-0.00605277j 0.0104846-0.000439735j 0.023808-0.0103751j 0.0187937+0.0116744j -0.0011106+0.00851073j -0.0192906+0.019801j -0.00675583+0.0205262j 0.00356083-0.0145271j 0.0123629+0.00582653j -0.0137079-0.0192158j -0.00126764+0.0123621j -0.00813341-0.00350033j -0.00136989-0.00258016j 0.00606014-0.00252095j -0.00150121+0.014018j -0.00472643+0.00191166j 0.00319696-0.00141571j -0.00409434+0.00250434j -0.00329092-0.00344133j 0.00469486-0.0064206j 0.00128574-0.000561466j 0.00555808+0.00168326j -0.00277491+0.00108916j -0.00599245+0.00732724j -0.0106187-0.00366622j 0.00487276+0.00240959j 
-0.114504+0.0067482j 0.0220451-0.0253722j 0.0134088-0.0366744j 0.00886098-0.0562306j -0.238305-0.042983j 0.0318495+0.0230948j 0.0295659-0.141444j -0.29547-0.170533j 0.0413931+0.404503j 0.211441-0.177503j 0.220137-0.00617669j -0.00896954-0.1544j -0.0638033+0.0510313j -0.0789859+0.0523186j -0.006772-0.0623126j -0.0282254-9.75362e-05j -0.0196719-0.0221172j -0.00472655-0.00867357j -0.0036556+0.00463265j 0.00660164+0.011821j 0.0147875+0.00863284j 0.0110473+0.0165845j 0.0100293-0.000711166j 0.00924513+0.0162193j 0.00542944+0.0214063j -0.0238557-0.0219967j 0.0112373-0.0143102j 0.0107114+0.0352748j -0.0121754+0.0118305j -0.0434684+0.0253082j -0.0224829+0.00980827j -0.000927241+0.00256478j 0.0110957+0.00180827j -0.00077304+0.0178926j -0.0134406-0.00226934j 0.00351407+0.00326096j 0.00448708-0.00331616j -0.0070893-0.00298975j -0.0010831-0.00256176j 0.00238364+0.00373992j -0.00955157+0.00240718j -0.00581588+0.00418219j 0.00491305-0.000463847j -0.00185849-0.00221867j -0.00615143-0.00414239j 0.00890264-0.00108759j -0.0025404-0.000731675j 0.00280837+0.00703006j -0.000892513-0.000843761j -0.0064798+0.00423334j 0.0034595-0.000175483j -0.00192126+0.000436865j 0.00740186+0.00330327j 0.00648521-0.00031483j 0.00655309+0.0240998j 0.00406428-0.002527j -0.0129924-0.00226066j -0.00697041-0.000461268j -0.00468665-0.0160599j 0.0127235-0.00932316j 0.00366876+0.018094j 0.0307599-0.00287221j 0.00214274-0.0110489j -0.0149021-0.0160808j -0.00134244+0.013433j -0.00583138-0.0441588j 0.0193422+0.0203708j -0.0191369+0.0190631j -0.0108692-0.00154753j -0.00209017-0.00922584j -0.0115146-0.00928701j 0.00863638+0.00255893j -0.0109773-0.0156503j 0.0386839-0.00907826j 0.00640691+0.0140133j -0.0176791-0.00529256j 0.0186786+0.00428191j -0.00742249-0.00424871j 0.0125461+0.00521087j -0.00412508-0.00266472j -0.0142525+0.0013361j 0.00531245+0.00759777j -0.00228683-0.0027207j -0.00864064+0.00788033j -0.00136266-0.000260794j -0.000529177-0.00285468j -0.00519492-0.00208849j -0.00301081+0.00475681j -0.000557505-0.00279512j -0.00150529-0.00157446j 0.00395077-0.00257787j 0.00248364-2.93706e-05j -0.00361942+0.00856177j -0.00913559+0.00447822j 0.0070585+0.00250024j 
-0.00948933-0.158152j 0.163838+0.132591j 0.208603-0.0339508j 0.00941177-0.0209844j -0.120575-0.161171j 0.155393+0.0956477j -0.142865-0.0199739j -0.258479+0.12083j -0.0623227+0.347354j 0.143911-0.0060458j 0.129893-0.00169057j -0.121102+0.0204616j 0.0416328+0.0403195j -0.143868+0.0239309j 0.147227+0.00303388j 0.0147496-0.0528656j -0.0605767-0.0756497j -0.0376837-0.00660028j 0.00558965+0.0291106j -0.00342136+0.0401223j -0.0152913-5.35696e-05j 0.0043551+0.0339457j -0.00366318+0.00564403j 0.051562-0.0418042j -0.0254216-0.00349597j 0.0184992+0.00325055j 0.0118233+0.0319379j 0.000319362+0.00717319j -0.00989764-0.0217184j 0.00971906+0.0272503j -0.0317391-0.0147834j 0.000254098+0.00971005j 0.00709331-0.0290538j -0.00266598+0.0194742j -0.0171763-0.00518613j 0.00629655-0.00213196j -0.0008903+0.000272654j 0.00220272-0.010153j 0.0055405+0.00447207j 0.0194665+0.0139009j -0.00746896-0.0104686j 0.000273121-0.00567912j 0.00436722+0.00458474j -0.000548605-0.0136369j 0.0114547-0.00931095j 0.00427815+0.00649654j -0.00121054-0.00817183j 0.0110949+0.00406744j -0.00510055-0.00508239j 0.013307+0.00167943j 0.0247008+0.0188461j 0.00514253-0.0232495j -0.00240973+0.00992671j 0.0129446+0.0118331j 0.0140131+0.00976801j 0.00320498-0.00314636j -0.0138026+0.00175281j -0.011456+0.00580797j 0.011407+0.0118836j -0.0069148-0.0140261j -0.0228621-0.00375416j 0.00129415-0.0322516j -0.000627322+0.0118244j -0.00313374-0.0160885j 0.0174048+0.00685305j 0.0114926+0.0375752j -0.00419095+0.0178746j 0.00566785-0.0131907j -0.0129321-0.00793763j 0.0122912-0.00608172j 0.0122402-0.0116713j -0.0131375+0.00598207j 0.00603387+0.00418584j 0.00949061-0.00462803j 0.00712551-0.0074549j 0.00658934+0.0112785j -0.00325114+0.000641601j 0.00439038+0.0161337j 0.00276752-0.000294491j -0.00867103+0.00676576j 0.00767689-0.0025734j -0.00164077+0.00133393j -0.0057112-0.010357j -0.00788304+0.00217431j 0.00450158+0.000718281j -0.00722412+0.00514865j 0.00306499-0.00318539j 0.0027978+0.000310508j -0.0009917+0.00726886j -0.000873562+0.00305777j -0.00378278-0.000152559j 0.00415448-0.00753823j 0.0166432+0.00527044j 0.0042943+0.00384626j -0.00409639-0.0124112j 
0.0533843-0.020031j 0.0048882-0.000808782j -0.00758129-0.0944143j 0.0850015-0.0218227j -0.0479768-0.0754367j -0.0663351-0.111746j 0.0994913-0.156127j -0.054511-0.106462j -0.101921+0.0474748j -0.0772057-0.0127201j 0.181035-0.0528246j -0.0221742-0.0448001j 0.0271577+0.0136814j 0.0839888-0.00757881j -0.0290561+0.0234468j 0.0104737-0.0107408j 0.00248387+0.0159885j -0.00213208+0.02099j -0.00754521-0.00351898j 0.00120794-0.00387017j 0.0113549+0.0152865j 0.0132016-0.0234959j -0.0269863-0.019762j 0.0340302+0.0405202j 0.0121572-0.0339906j -0.0136925+0.0313011j -0.00175135-0.00858597j 0.0418155-0.0315228j 0.0181092+0.0102831j 0.0105101+0.0223627j 0.00547343+0.00459179j -0.00252171+0.00140878j 0.0015155-0.0115809j 0.00343165-0.0104549j 0.00629136+0.00593757j -0.00373508-0.00269008j -0.00226057+0.000781431j 0.0052647+0.000825135j 0.000874521+0.00247371j 0.00142414-0.00388457j 0.00294586-0.00374605j 0.00456039-0.00377431j -0.00416675+0.00425804j 0.00437081+0.00185633j 0.00350392+0.000956815j -0.00164573+0.00479189j 0.00615913+0.0024914j -0.00224844-0.00929967j -0.00169888+0.00530089j 0.00326336+0.00611109j 0.00444283-0.00437921j 0.00804399-0.00500804j 0.0013514-0.00434223j 0.0153768-0.00745839j 0.025226-0.0149442j 0.00471158-0.000733167j -0.0112054+0.00941948j -0.000660649+3.16336e-05j -0.0291832-0.00805384j -0.0177707+0.0139984j -0.00351644+0.0101108j -0.0129283+0.00815958j -0.00799607+0.0054892j 0.0060645+0.0239746j 0.0053889+0.0101816j 0.00404228-0.0257622j -0.0255643+0.0414061j 0.0139388+0.00263357j 0.0137327-0.000628045j -0.0197759+0.0116432j 0.0230665-0.00114234j -0.0135087+0.0139084j 0.0117873-0.00562638j -0.00852468-0.0137625j 0.000641115-0.00761182j -0.0060559-0.000146878j -0.000552403-0.00433423j 0.00862673+0.000695992j -0.000930211-0.00283428j 0.00840725-0.000314894j 0.00294467-0.00166687j -0.00188485+0.00333459j 0.00594923-0.000218937j 0.00135922-0.00129533j -0.00113987+0.00321742j -0.00267296+0.00121379j 0.00540937-0.00326033j -0.00256392-0.00298424j -0.00252584+0.00102094j 0.00175556+0.0030625j -0.00287928+0.00249669j 0.00244906-0.00154646j 0.00423916-0.00255869j 0.00920591-0.00305238j -0.00337807-0.00313108j 
-0.172337+0.0608373j 0.0566546-0.130249j -0.0118534+0.306966j 0.051053+0.0165424j 0.0868923-0.0136844j -0.168702+0.304121j -0.34516-0.0657686j -0.0870904-0.202032j -0.0884812-0.290615j 0.0753249+0.168505j 0.0481909-0.145296j 0.00237417-0.215256j 0.0394941-0.0704148j -0.136456+0.00946106j 0.0768904-0.0266152j -0.0432298+0.0455964j -0.0281179+0.0138699j 0.00264485-0.0653256j -0.0276951-0.00168631j -0.0303448+0.00761558j -0.00437155-0.0138757j -0.00610816+0.0454484j -0.0372284-0.00878103j 0.0247497+0.0336125j 0.0335714-0.017467j 0.0233288+0.00422734j 0.0529157+0.00502553j 0.00899499+0.00325161j 0.00784339-0.0192501j -0.0252509-0.0278691j 0.014932+0.0165145j 0.00902051+0.0102375j -0.00157085-0.00529475j -0.0278275+0.00729164j -0.00874479-0.0105369j 0.00673285+0.00728119j 0.00698496+0.0011607j -0.0170969-0.00269938j 0.00385274-0.0096245j -8.12076e-05-0.0059953j -0.0145869+0.0131882j -0.00985514+0.00799289j 0.0118302-0.0142079j -0.000985581-0.00465581j -0.00560948-0.0158157j 0.017126-0.00688499j -0.00546049+0.00323327j -0.0114065+0.0204987j -0.000665866+0.00478473j 0.00244203-0.00237003j 0.00874749-0.0141934j -0.0218169+0.000718476j 0.0195631-0.0068375j 0.00606508-0.0167309j 0.0107756+0.00913251j -0.00682146-0.00899228j -0.00473204-0.000619043j 0.0198096-0.00373778j 0.00973832-0.00403585j -0.012459-0.00652134j 0.0104928+0.0103702j -0.00306934-0.0109215j 0.00472218+0.00270723j -0.00959444-0.00944978j 0.00592205-0.0203806j -0.0132203+0.00175053j 0.00481688-0.0121797j 0.0177207-0.00956167j 0.0285769+0.00473838j -0.00757999-0.021298j -0.00288296-0.00177649j 0.00152945-0.00145882j -0.00819005-0.0012018j -0.00539728+0.00863084j -0.00121707+0.00870832j -0.0049651-0.00670775j 0.00351276+0.0055727j -0.000989573+0.00339441j -0.00183709-0.00976109j -0.00637736+0.00137051j -0.00340881+0.000542188j 0.00217777-0.0108384j -0.00352184+0.00134008j 0.00401504+0.00116654j -0.000121917-0.0066532j 0.00756641+0.00380294j -0.00917276+0.00800245j 0.00565413+0.00236838j 0.000723916-0.00493181j -0.000260855-0.00879339j 0.00724545+0.000311231j -0.0057908+0.00873959j -0.00758264+0.00681652j -0.0218646+0.00162255j -0.00208199+0.00950946j 
0.212846+0.312776j -0.0271068-0.0513909j -0.235193+0.0522675j -0.0440691-0.253553j -0.424711+0.172786j -0.0853829+0.0703144j 0.276273+0.173822j -0.169544-0.109592j -0.0279002+0.0397287j -0.0557017-0.0245022j -0.0682785+0.00251647j -0.0160565-0.126079j 0.0161862-0.145714j 0.161323-0.0743077j 0.0767286-0.0389725j 0.113681+0.182745j 0.0109391+0.0126286j 0.0287467+0.00375366j -0.0160727+0.034845j 0.0168087-0.00992603j 0.0340318-0.0275212j -0.00115219-0.0170022j -0.0302645+0.0280242j -0.0243353-0.026055j 0.0344237+0.00752102j -0.0042212-0.0057402j 0.00884968-0.0170122j -0.0161131-0.00361058j 0.0235891-0.0215969j 0.00751683+0.00471242j -0.0145319-0.00160212j 0.0152333+0.0149207j 0.00380912+0.00178476j -0.0358451-0.00672907j 0.0171277-0.0169268j -0.00230972+0.00724586j 0.0208743-0.000929225j -0.00520941-0.0077787j 0.0215128+0.00688427j 0.00776798-0.0172009j 0.00729116+0.0244025j 0.0223458+0.00692562j 0.014033+0.00412878j 0.0233087+0.00297886j 0.0165559-0.000326295j 0.0224227-0.0131203j 0.00609989-0.0369991j -0.0332417-0.0040075j 0.0016916-0.014521j 4.30335e-05+0.0254766j 0.0038175-0.00783541j 0.00634096+0.010501j 0.0211283+0.0088411j 0.00252804+0.00677827j 0.00820431+0.0119645j 0.000697578+0.000438647j 0.00513538-0.0261932j -0.00542421-0.014233j -0.0362731-0.0135136j -0.00712505-0.00256595j -0.00285509+0.00498069j -0.00946455+0.0185875j -0.00650661+0.0172839j -0.00034238-0.0154495j 0.00505876+0.0043776j 0.0150491-0.0026953j 0.00309304-0.0158074j 0.00633494-0.00560618j 0.0141219-0.00305177j 0.0143047-0.00283427j -0.0061331+0.00466211j -0.00994925-0.00832382j -0.00407408+0.00792192j -0.00346603-0.00348473j 0.00219277+0.00150203j -0.00979251-0.00088184j -0.00171513-0.00276567j -0.010175+0.00738789j -0.00101256+0.00132051j 0.015071+0.00695448j -0.00147926+0.00118705j -0.00601171-0.00598739j 0.00217681-0.00200927j 0.000972593-0.00560408j -0.0011913+0.000220792j 0.00477421-0.000586772j 0.00729333+0.00558507j 0.00398208-0.00749875j -0.0069988+0.00446952j 0.00364292-0.00766467j 0.0104919+0.0032456j 0.00513611+0.0107774j -0.00202929+0.00950498j -0.0103269+0.00409312j -0.0145256+0.0136703j 
0.156102-0.00758193j 0.263327+0.372241j -0.195938-0.0780011j -0.130274-0.0642479j -0.0977164-0.467102j -0.289806-0.0349982j -0.0426855+0.0946333j 0.145109+0.202573j -0.00362813-0.00220157j -0.17397-0.0446228j 0.0279218+0.0394841j -0.0417385-0.110858j 0.0355593-0.0247623j -0.0578804+0.0258181j 0.0821287-0.0567024j 0.0395976-0.023828j -0.132488-0.175143j 0.033569+0.00503161j 0.0176142+0.00578758j 0.0210522+0.00374656j 0.0391408+0.0197597j -0.00618913-0.0364112j -0.0314869-0.00767039j 0.0285768+0.010941j -0.00262466+0.0285957j -0.0289908+0.0099257j 0.0175895+0.00361011j -0.00892656-0.00251298j -0.0280681+0.00614688j -0.00666363-0.00590275j 0.000598711+0.0117806j 0.021563-0.0172794j 0.00484602-0.00347683j -0.00813549+0.0119743j -0.0174998+0.000802088j 0.0153881-0.00328449j 0.00414953-0.00702848j -0.0162525-0.0108672j -0.004503-0.00624292j 0.0147509+0.028361j -0.00196468+0.014104j -0.0146465-0.00185965j 0.0278715+0.00561379j 0.00901136-0.0209888j -0.0170026-0.0103708j -0.0128223-0.0114824j -0.0301221-0.0109662j -0.0202476+0.0249807j -0.00651132-0.00737771j 0.018543+0.00646402j -0.00655475+0.0282247j 0.0100352+0.00889516j -0.00526585-0.0124947j -0.00634486+0.0115516j -0.0167546+0.0123446j -0.0120709-0.00314498j 0.0175184-0.00440618j 0.00609323+0.0130163j 0.00856932-0.0256073j 0.00680882+0.00132807j 0.00801956+0.00159986j -0.0262561-0.00202422j 0.012701+0.00184503j 0.00386434+0.0158099j 0.00822062-0.00256877j 0.0013735-0.000468994j 0.00425602-0.00029268j -0.0106932+0.01009j 0.00224565+0.00199522j 0.0182877-0.00587631j 0.00477831-0.0105668j 0.00664211-0.00595534j 0.000883504-0.0077266j -0.000214394+0.000621866j 0.00804322-0.00587763j -0.00772276+0.00266282j 0.00216142+0.0013009j -0.00317774+0.00412747j -0.00622894+0.000989315j -0.0132497-0.00354716j -0.00239154-0.00126001j 0.00100042-0.00385107j -0.0122089+3.14348e-05j -0.00202986+0.00743543j -0.00105284-0.00115982j -0.00823869+0.00538522j -0.00286953+0.000272623j 0.00374318+0.00645221j 0.00463541+0.00648895j -0.00920637-0.00148255j 0.00329188-0.0038167j 0.000582942-0.00792756j 0.0035076+0.00552481j -0.00932094+0.00755876j 0.0071924-0.00262779j 
