-0.0750979+1.25316e-14j 0.148624+0.00951598j -0.00233465-0.0618156j -0.0937582-0.10574j -0.00115355+0.0102462j 0.00398096-0.0101573j -0.00331043+0.00355817j -0.00100608+0.0316815j 0.0200803+0.0455747j 0.0314087-0.0441907j -0.0314196-0.121286j -0.00979343-0.159669j 0.127809+0.0362777j 0.118457-0.0652482j 0.0106035-0.0681866j 0.0509458+0.00290895j 0.155918+0.0433256j 0.00801491+0.0252018j 0.094296+0.108158j 0.0148317-0.101973j -0.0310333-0.0375091j -0.0270564-0.0548585j -0.00492783+0.0771195j 0.0202277+0.00270438j -0.00161022+0.000647427j 0.0208875-0.0282269j 0.0127068-0.0126065j 0.0460539+0.00213583j 0.00915202-0.00451253j -0.0930791-0.0367688j 0.0376823+0.0233887j -0.0441113-0.0143719j -0.0839579+0.0151382j 0.00330703-0.120302j -0.0460657+0.0526j -0.055686-0.0163931j 0.00867225-0.0327751j -0.0332296-0.0107961j -0.0639462-0.0407074j -0.0621689+0.00851654j -0.0325414+0.022632j 0.0472904+0.0463002j -0.0799086-0.0771001j 0.0123165-0.00971988j 0.00441432-0.00873943j 0.013687+0.0478559j -0.0378693+0.00364898j 0.018194-0.00243818j 0.0147784-0.0261148j -0.00820895-0.0252877j -0.0338449+0.0264131j -0.00452447-0.0233904j 0.00324844-0.0085216j 0.00511145-0.00763164j -0.0248193+0.0523826j -0.011882-0.0209211j -0.0150917+0.0136285j -0.0271673-0.0222126j 0.0228147+0.0463628j 0.0129346-0.00626294j -0.00291854-0.0187692j -0.00724518+0.0362951j 0.0194366+0.00124616j -0.000245499+0.00698596j -0.020461+0.0123365j -0.00866711+0.0323257j 0.033604+0.00250872j -0.00678035+0.0505263j 0.00197952+0.062725j -0.0213726+0.00477073j -0.021262+0.0302363j -0.0353008-0.00994459j 0.00460053+0.0262686j 0.0372328+0.00132577j -0.0493771+0.0140347j -0.0159631+0.00381931j 0.00123585+0.0221677j -0.00618855+0.00906169j -0.0285777+0.0108873j 0.0217425-0.0405459j -0.0360099+0.0638062j -0.01987+0.0305751j -0.0580521+0.0331994j 0.00090618+0.0122512j 0.0212618-0.0824674j 0.0525025-0.0622208j 0.0124922+0.0636648j -0.0572937-0.0385874j -0.152969-0.16788j 0.187299+0.0119256j 0.0561837-0.123658j -0.0193403+0.0466634j -0.00783153-0.0502103j -0.0518681+0.144362j -0.023261-0.0288725j 0.0217657+0.017799j 0.153727+0.0970744j 
0.148624-0.00951598j 0.100983+4.08007e-15j 0.0953518+0.0521448j 0.00773774-0.0138643j -0.00895118+0.0667368j 0.0026859-0.105691j -0.00555869-0.100567j 0.033718-0.0493038j 0.0525373-0.0301268j -0.0246161-0.00573747j -0.103075+0.0856794j -0.13055-0.00433932j -0.0414297-0.128099j 0.0281689-0.0443544j 0.0115967-0.0777526j -0.165149-0.0511769j 0.0517136+0.0282939j -0.0981191-0.106517j 0.0310485+0.0415409j -0.00191587+0.0528454j 0.0189429+0.0328393j -0.0349413+0.016921j -0.0023852+0.018211j 0.0256827-0.0132992j -0.00748132+0.0497728j -0.0439318-0.0195731j 0.0405617-0.0579565j 0.0513613-0.0817553j -0.00139653-0.0106609j -0.0263784+0.0519258j 0.000701985-0.0352825j -0.0168419+0.0360475j 0.0231052+0.130057j -0.118232-0.00483785j 0.0721665+0.0444965j -0.0168221-6.2774e-05j 0.0352484+0.0301446j 0.0487488-0.00873746j -0.0406745+0.0394801j 0.0168911-0.0183448j -0.0782636+0.00732783j -0.075241-0.0248548j -0.0195461-0.0428499j 0.0289152-0.00348231j 0.00782548-0.0918563j 0.00666832-0.0305869j -0.00657578-0.0600292j -0.0472603-0.0292474j -0.00490674-0.041713j -0.00483382+0.0681999j 0.0444213+0.00351469j -0.00350587+0.0126529j 0.0249671-0.0158541j -0.00675172-0.0133338j 0.00889261-0.000185956j -0.0228467+0.00367873j -0.010441-0.0164291j 0.00851535+0.0284987j 0.0133135+0.00365433j -0.00759172+0.00494397j 0.00505002+0.0136537j 0.0355788+0.00163526j -0.0122145-0.00707753j -0.016564+0.0773306j 0.0177344-0.0204041j 0.0300171-0.000999944j 0.0295068-0.00734266j -0.00269523-0.0139204j 0.0354425+0.00992857j -0.0279765+0.00915526j 0.00224074-0.0188786j -0.0115646-0.00840414j 0.0208829-0.0152386j -0.026354-0.0282463j 0.00197186+0.0217767j -0.0169025+0.0264217j 0.00442272-0.0202918j 0.0258769+0.0348493j 0.0196675-0.00569825j -0.0435008+0.0312685j -0.00397147-0.0338893j 0.0329988+0.0618786j 0.0574964+0.0186519j -0.0562296+0.00206768j -0.0583135-0.00407418j 0.0171855-0.0252317j 0.0418512-0.0221094j -0.0523626+0.0400933j -0.196988+0.0842799j -0.100348-0.18099j -0.0481507-0.166499j 0.00687964+0.0447951j -0.0152998+0.0440087j 0.0319356-0.049742j 0.0545984-0.0785042j 0.16878+0.102777j -0.025424-0.00732667j 
-0.00233465+0.0618156j 0.0953518-0.0521448j 0.42045-8.32667e-16j 0.0979499-0.0078047j -0.0960249-0.0178738j 0.343573-0.0806533j 0.113119-0.0498943j 0.237632-0.113565j -0.0639867-0.0187725j -0.0033137+0.0429474j -0.303328+0.111335j 0.0486493+0.0471772j -0.00922701-0.0647368j -0.30129+0.241493j -0.142655+0.0451922j 0.146491-0.102326j 0.0917165-0.0520564j 0.0679808-0.0278454j 0.0316838+0.0220138j 0.0317816+0.0210184j -0.0559366+0.0131754j -0.0316928-0.00528528j -0.015886+0.0207985j 0.0384621-0.0151505j 0.067156-0.0214762j -0.00413266-8.13734e-05j -0.0188549+0.0341091j 0.0224016-0.031171j -0.00466113-0.0175987j -0.00969526-0.00837691j -0.0941192+0.0337197j -0.0398961-0.0119242j -0.0327842+0.0113389j -0.0106807+0.0309469j 0.0120039-0.0343571j -0.00798104-0.0251412j -0.0244903+0.00534479j 0.0053596-0.00654633j 0.0141978-0.00785533j -0.0307897+0.0301138j -0.0153955-0.0136312j 0.0169476+0.00780005j 0.0112499-0.0144899j 0.0256752+0.0169292j 0.00979402+0.005711j 0.00573537+0.00321657j -0.00137774+0.00971096j 0.0131694+0.00758505j 0.0158491-0.00559145j -0.00761888+0.000592747j -0.00632832-0.012872j -0.000571554+0.0136097j -0.00504933+0.00734961j 0.0133038-0.00588703j -0.00880923+0.0307432j 0.00871808+0.0011303j 0.00454893-0.0108456j -0.00161621-0.0106723j -0.0188455+0.00307613j 0.00346838+0.00206655j -0.0280847+0.0169444j 0.0213352+0.00577722j 0.00165342-0.0171411j -0.0332703+0.0142106j -0.025826-0.00217405j -0.0130267-0.0332409j -0.000639405-0.0098437j -0.00200307+0.00610903j -0.0226729+0.0111614j 0.0139812+0.00877275j 0.00342436-0.020851j 0.00553587+0.0156907j 0.00823612+0.00934431j 0.0183561-0.0236852j 0.030861-0.00398946j -0.00755036+0.00934045j 0.0260187-0.0301904j 0.0184579-0.0088699j -0.00511525-0.0117919j -0.000975787-0.00333455j -0.000291156-0.0306336j -0.0266139+0.00966867j -0.0407585+0.04688j 0.0378644-0.0121406j 0.00357282+0.0139178j -0.0171123-0.011392j 0.0228148-0.010142j 0.00977201-0.0226498j 0.0486045-0.00141146j 0.0294431+0.0295425j 0.0226148+0.026087j -0.0277707-0.00534411j -0.000526575+0.0439772j -0.0141253-0.00695881j -0.0251113+0.0175562j -0.044752-0.0066018j 0.0277446-0.034039j 
-0.0937582+0.10574j 0.00773774+0.0138643j 0.0979499+0.0078047j 0.0322557-3.05311e-16j -0.0354657+0.0529406j 0.0724378-0.00815763j 0.106528-0.0586688j -0.0440625+0.0431292j -0.00819116-0.106581j 0.0388338+0.124792j 0.190545-0.132864j 0.0584232+0.119662j 0.0879676-0.176732j 0.0592046-0.171142j 0.105618-0.257338j 0.148723-0.111931j -0.103847+0.14004j 0.0180883-0.000739115j -0.0367143-0.00731775j 0.0900877+0.0370739j -0.00506285-0.011184j 0.0184475-0.00558812j -0.0819301+0.0603171j 0.0103945-0.0183704j -0.0201966+0.0558322j 0.0330932+0.0206803j -0.00580295-0.0207399j 0.0133719-0.072983j 0.0261024-0.0361162j 0.00994765-0.0423505j -0.0135392-0.0844252j -0.00385391-0.0596096j 0.0262148+0.0243714j 0.00289153+0.00961128j -0.0523708+0.0758707j 0.0603115+0.0309458j -0.0350407+0.00365464j -0.00320199-0.0280961j -0.012414+0.0312212j -0.0192773+0.00726394j 0.0279214-0.0266402j 0.0141514+0.000730851j 0.0281318-0.00121612j 0.00732436-0.0113137j -0.0158624+0.00220585j -0.0239005+0.012318j 0.00754974-0.0166144j 0.0138884+0.0167819j 0.0311135-0.0161264j 0.0010331+0.0263618j -0.029796-0.00707871j 0.0140213-0.000507383j -0.00359616-0.00774783j 0.0247614-7.4864e-05j -0.0250455+0.0138j 0.0104679+0.0180641j 0.0134822-0.03045j -0.0270273+0.0141152j -0.0214241-0.0459856j -0.0114455+0.0232019j 0.00175506-0.0129252j -0.0160323-0.00622044j 0.0081681-0.0285858j -0.00596151-0.0241414j -0.0066864-0.0210141j 0.00894679-0.0372275j 0.00384153-0.0364881j -0.00697533+0.00746404j -0.0171662-0.0318776j 0.0200816-0.0308131j 0.0140031-0.0337397j -0.0352551+0.0249514j -0.0236619+0.0219603j 0.0333201-0.0111559j 0.00255863+0.00342492j -0.00241725-0.000643018j -0.00821089+0.0106865j 0.008927+0.0537269j 0.0118645+0.0104484j 0.0278487+0.00961796j 0.0409589-0.0179868j -0.0178936+0.0139545j -0.0225983-0.015213j 0.00588457+0.0180456j 0.0241308-0.0148992j 0.0240449-0.0705066j -0.00698388+0.0406462j 0.0142891+0.0145045j 0.040391+0.0290135j -0.0542902-0.0244652j 0.0117773+0.0272324j 0.00103024+0.0678515j 0.0441586+0.00602149j 0.0196286-0.0518022j 0.0109457-0.0300222j -0.0316384+0.0358548j -0.0253964-0.00659559j 
-0.00115355-0.0102462j -0.00895118-0.0667368j -0.0960249+0.0178738j -0.0354657-0.0529406j -0.00673514+2.0553e-14j -0.0884424-0.125036j -0.0430886+0.0491014j -0.046127-0.0995927j -0.0551291-0.126899j 0.0673727+0.0788996j 0.0607548-0.0774782j 0.118949+0.0699436j 0.0472587-0.281411j 0.213859-0.0822874j 0.070626-0.318707j -0.0267053-0.178634j 0.0381626-0.0557303j 0.00634925-0.0505065j -0.0361683+0.0337162j 0.0408973+0.00782636j 0.0262744+0.0108459j -0.0310629+0.0391157j -0.00388493+0.0797277j 0.00672918-0.00747436j -0.0249905+0.0682606j -0.0437965+0.00472571j 0.00346901+0.0620233j -0.0258981-0.0601231j -0.0131602-0.00120767j 0.0260098+0.0402937j -0.0025216-0.0707498j 0.0157665-0.0292199j -0.0310585+0.016984j 0.0398085+0.0104348j -0.012716+0.0205851j -0.0225739-0.0195601j 0.00871917+0.0234408j -0.028299+0.0180653j 0.0236235-0.0215867j -0.00997237+0.0250368j -0.00810091+0.013974j -0.00174605+0.00222463j 0.00560466-0.0335579j -0.00151037+0.0181539j 0.0107904-0.018538j -0.0095567-0.00874159j -0.0168905-0.0139652j 0.00982852-0.000799407j 0.0130894-0.00985326j 0.0016333+0.00416436j -0.0303324+0.00302449j -0.00465257+0.0018916j 0.00620502-0.0166745j 6.41819e-05+0.0147425j -0.0157598+0.0142265j -0.00560071+0.0405073j -0.0242227-0.0127608j -0.0118679+0.0189424j -0.00233223+0.0197082j 0.000781162+0.00741172j -0.0105576-0.0347847j -0.0134215-0.00679057j 0.0155274-0.00624978j -0.0164805+0.011341j -0.0122495+0.00116289j -0.00521236-0.00576358j 0.0104877-0.0342623j -2.14554e-05+0.00693667j -0.0149897-0.00989477j 0.0050563+0.00424962j -0.0115705-0.0127977j -0.0222665+0.0464848j -0.0128315-0.0191753j 0.00491081-0.0503953j -0.0248009+0.00581976j -0.0102194-0.0042505j 0.0154835+0.00955639j 0.00101656+0.0120338j -0.00630865-0.00962869j 0.0232535-0.00408933j 0.0171145-0.0243894j 0.00191851+0.0182613j -0.0222626-0.000863941j 0.00389439-0.00328951j 0.0166886+0.00410425j 0.015109-0.0558004j 0.000392928+0.0275973j -0.00178457+0.00991812j -0.00634687-0.0256363j 0.0345961-0.00969531j 0.0385678-0.00634806j -0.0165695+0.0261474j 0.0241715+0.0184524j -0.0227078+0.00326377j 3.35454e-05-0.032638j -0.0195498+0.0272249j 0.0164901-0.00968199j 
0.00398096+0.0101573j 0.0026859+0.105691j 0.343573+0.0806533j 0.0724378+0.00815763j -0.0884424+0.125036j -0.138836+1.89007e-14j 0.0552418+0.0597848j 0.211285+0.123967j 0.00237904+0.0461722j -0.1742+0.160533j -0.0864371+0.0562251j -0.208431-0.181738j 0.0999559+0.148434j 0.0847466-0.068583j 0.0557839-0.0911565j -0.105588-0.00784458j -0.132109+0.237098j -0.0435122+0.0422294j 0.141837+0.0656628j -0.0571817-0.044383j 0.0072237-0.0235134j 0.00868791+0.017536j -0.0080687+0.0152719j 0.0223419+0.0433523j 0.013399+0.0306708j -0.0556882+0.00840622j -0.0114483-0.0315275j 0.0380069+0.0282237j 0.0110813+0.0628897j -0.00774543-0.0302488j 0.0151415-0.0153254j 0.0697717+0.00412264j 0.0363529-0.0319914j -0.00803775-0.0217834j 0.0103838-0.0229117j -0.0170567+0.000719157j 0.00236754-0.0340562j 0.0322398-0.0245714j -0.000791213-0.0132089j 0.0266267-0.0314623j 0.00176317-0.0308571j 0.00178326+0.0181556j -0.0120282+0.000698574j 0.030483-0.0022617j -0.043693+0.0145312j -0.00341997+0.0229885j 0.0130432-0.0025555j -0.00224918-0.00754449j -0.0263022-0.0122741j -0.000339624-0.0121605j 0.0445648+0.0238822j 0.0492468-0.00732793j -0.0291406-0.0132327j 0.00755746-0.026568j -0.00475558+0.0181394j -0.0195594-0.0191086j 0.012449-0.0119877j 0.00131064+0.0018147j 0.00269035+0.0250711j -0.019104-0.00923001j 0.0219451-0.0210667j 0.0130756+0.0108418j -0.00827789+0.0168331j 0.0169451-0.00929674j 0.000386212-0.0141609j 0.0284899+0.00876428j 0.0264384+0.00208563j 0.00115393-0.00580657j -0.00904984+0.0250605j 0.0005557-0.0133924j 0.0327446-0.00588379j -0.000837681-0.00868056j -0.00366657-0.0121053j -0.0191548+0.00411802j 0.0041821-0.00506312j 0.00165157+0.0118248j -0.00327285+0.0283727j -0.0263889-0.00545973j -0.00508938+0.0244399j 0.00251539+0.0162925j -0.00962227+0.0305319j 0.00322198-0.00725235j 0.0389271-0.0205495j -0.0113762+0.0122051j -0.00766024-0.00486438j 0.0188725+0.0331403j -0.0340607-0.00648336j -0.0150531+0.0121163j -0.0118381-0.0340578j -0.0154246+0.0054389j -0.0264145-0.00643881j 0.0313374+0.00782313j 0.00377966-0.0396524j 0.0173508+0.00305599j 0.0269487+0.00173418j 0.0321351+0.015224j -0.0295582+0.0532065j 
-0.00331043-0.00355817j -0.00555869+0.100567j 0.113119+0.0498943j 0.106528+0.0586688j -0.0430886-0.0491014j 0.0552418-0.0597848j -0.105693+6.64746e-15j -0.0960532+0.136709j 0.051821-0.359291j -0.294967-0.00137643j -0.0557254+0.0529205j 0.138995+0.195266j -0.168688-0.0345472j 0.0321289+0.105793j 0.103509-0.183647j 0.0698938-0.0314583j -0.209239-0.0275006j -0.0719095-0.0406441j 0.0234277-0.0106945j 0.0123691+0.0320955j -0.0236989-0.0117671j 0.00562453-0.00641492j 0.0157551+0.036294j 0.00701381-0.0260574j -0.0111633+0.0329789j -0.0091275+0.0315339j -0.0233191+0.01225j -0.0319912-0.0126289j 0.020663-0.0119507j 0.0286412+0.0727415j 0.0274538-0.032438j 0.0068462-0.0225303j -0.0442518-0.00580767j 0.0278912-0.0242269j 0.0220675+0.00108581j 0.000886029-0.0191136j 0.026175-0.0196671j 0.0304373+0.0120142j 0.00829774+0.0115731j 0.0263326-0.0179738j 0.0132973-0.01242j -0.0107839-0.0139761j -0.0056934-0.00505956j 0.00803519-0.0123012j -0.0143632-0.0189504j -0.0224581-0.0189163j 0.0130971-0.0132445j -0.0102818-0.00848147j -0.00183401-0.00625639j 0.00371803+0.00801046j 0.00829368+0.0190954j 0.0175383+0.0173583j -0.0105072+0.00824389j 0.0019381+0.012644j 0.0151383+0.00947787j 0.0225426-0.0077944j 0.00643058-0.00414218j 0.00781006+0.0189377j 0.00560704-0.0215365j -0.0356598+0.00713139j 0.0286827-0.0121458j 0.0144301+0.0330962j -0.00578047-0.00981159j 0.00233832+0.0226532j -0.01368-0.0122479j -0.00187069+0.00615754j -0.0172695+0.0121761j -0.0301197+0.0207526j 0.00149112-0.019532j 0.0164335+0.000526886j -0.00625376-0.0179226j 0.00701359-0.00161657j 0.00503645+0.0289086j -0.015874+0.00841833j 0.0172036+0.0104657j -0.00548649-0.0106575j 7.90805e-05+0.0270117j -0.0104698+0.0090141j 0.0136322+0.0049518j -0.0144595+0.0177414j -0.017316+0.0115231j 0.00349392+0.00875135j 0.0265854-0.0122096j -0.017173-0.00476164j -0.000533399-0.00498567j 0.00555965-0.00894529j -0.0138681-0.00785847j -0.0115613+0.012835j -0.0400692-0.00949336j 0.00218608-0.0455086j 0.00241475-0.0260811j -0.0126761+0.00851149j 0.00649418+0.00666776j 0.0135527+0.00194993j 0.0102377-0.0184091j 0.00794444+0.0320471j -0.0236657-0.00662946j 
-0.00100608-0.0316815j 0.033718+0.0493038j 0.237632+0.113565j -0.0440625-0.0431292j -0.046127+0.0995927j 0.211285-0.123967j -0.0960532-0.136709j -0.0521428+7.25635e-15j 0.139228+0.104971j 0.14486-0.153821j 0.244005-0.0942657j -0.0283712+0.186614j 0.00906628-0.0100976j -0.0480001-0.159734j 0.125237-0.103875j 0.0808895+0.127525j 0.074872+0.0286475j 0.0440383+0.0581222j 0.0583244+0.0718286j 0.0267111-0.0756345j -0.0278986-0.0268367j -0.042961+0.0092469j 0.00479479-0.00496429j -0.001914-0.0236456j 0.0242709+0.0300515j 0.0213547+0.00388618j -0.00171814+0.0146185j 0.00456524+0.0250526j -0.0570366+0.00693893j 0.0179684-0.00423992j 0.0389133-0.0113855j -0.00547177+0.057818j 0.0167776-0.00617793j 0.0153932-0.00694552j -0.0217063-0.0129854j -0.0125489+0.0327783j -0.0225914-0.0164064j 0.00685074-0.00371273j 0.00153597+0.00629849j -0.00464477-0.00741901j 0.00564077+0.00334914j 0.0230244+0.0196562j -0.00188028+0.0166035j 0.00895005+0.0117779j -0.0216621+0.0118051j 0.00406495+0.0234996j -0.00215727+0.0161141j 0.0124456+0.0096158j 0.00593514-0.0199231j 0.00399469-0.0192477j -0.0129401+0.0141391j 0.0284113-0.00940354j -0.0105233-0.0110609j 0.0025775-0.031323j -0.0150372+0.0197434j 0.0270094+0.00267943j 0.0030885+0.00681616j -0.0115977+0.0141374j 0.00302551+0.0399269j 0.00143842-0.0144684j -0.0106156+0.00255043j -0.00951967+0.00496505j 0.0120081+0.0050791j -0.00951847+0.00622832j -0.00041362+0.0133947j 0.011541-0.000984893j -0.00855237+0.00707278j -0.0129873+0.00931445j 0.0128254-0.0412386j -0.00490541+0.00844967j -0.00469685+0.00784516j 0.0114874+0.000581741j -0.0204651+0.00667769j 0.00651077-0.00233969j -0.0280629+0.00899095j 0.0127561+0.00490399j -0.0190668+0.00312233j -0.00785335-0.000797666j -0.00239235+0.00523799j 0.0148905-0.00805779j 0.00350565-0.00354254j 0.00961395-0.00444935j 0.0110041-0.0246104j -0.00181519+0.000841269j 0.017426-0.00356052j 0.00102415+0.022638j -0.0222693+0.0141969j 0.0126493+0.0119304j 0.0213373-0.00230702j -0.00152259+0.037638j -0.000886863+0.00913483j 0.00657133-0.0161677j -0.00982003-0.01123j -0.0197086+0.0173353j -0.0043567+0.00151841j -0.0176782-0.0354177j 0.012898+0.0160422j 
0.0200803-0.0455747j 0.0525373+0.0301268j -0.0639867+0.0187725j -0.00819116+0.106581j -0.0551291+0.126899j 0.00237904-0.0461722j 0.051821+0.359291j 0.139228-0.104971j -0.096449-1.46352e-13j 0.0892677+0.0313387j -0.00679507-0.0705209j 0.378571+0.0441014j 0.0594086+0.000900368j -0.0329721+0.189515j 0.0185385-0.0601198j 0.0890455+0.0671468j 0.0180313-0.0781523j 0.00561884-0.0581066j -0.0541212-0.0167549j 0.0225026+0.00338167j 0.026016-0.00128939j -0.0310763+0.039972j -0.019239-0.0524111j -0.00183389-0.038182j 0.0615429-0.00399816j 0.0596242+0.0262024j 0.00576763-0.0645388j -0.000987035-0.0139004j -0.00493144-0.00365019j -0.00142336+0.0322603j 0.0296469-0.0202927j -0.0195886+0.0450065j -0.0226893+0.0076151j 0.00257736+0.00553207j 0.0157052+0.00671271j 0.0149083-0.00964567j 0.00821275-0.00357459j 0.00797023+0.0146771j 0.00219917+0.0116072j -0.00947124-0.00827755j -0.00308102+0.0171831j -0.00551163-0.011953j 0.00174261+0.00193653j -0.00829677-0.00700416j 0.0178368-0.0236211j -0.00196983-0.0283622j -0.0110585-0.00683505j -0.00404141-0.00212426j 0.0030816-0.00117541j -0.000536944+0.00198933j -0.0074041+0.0021882j -0.000281261+0.0011718j 0.00893285-0.0143412j -0.00145565+0.0172164j 0.00152652-0.0156162j -0.0068332+0.0174191j -0.0140643+0.0139642j -0.00636506+0.00255358j 0.011807+0.00457511j 0.00171337-0.0133534j -0.0379689+0.00845837j -0.0209635-0.0226228j -0.0187309-0.0249983j 0.00346327+0.00825781j 0.00432811+0.0318209j -0.0138535-0.0110677j 0.0253411+0.0228458j 0.0240282+0.00285616j -0.0376366-0.0255053j 0.0338732+0.000363447j 0.00345434+0.00774374j 0.00856961+0.0063974j -0.0218885+0.0114794j -0.0197592-0.00568981j 0.0122457+0.0104115j -0.0104793+0.013382j 0.0119437-0.00740124j -0.0101814+0.0132551j 0.00479128+0.0127177j 0.00118966-0.00516861j -0.00318907-0.0152182j -0.00659011+0.0280769j 0.0145704-0.00304336j -0.0106936-0.00940099j 0.0101181+0.00475434j -0.00536887-0.00530118j 0.00436932-0.00198387j -0.00205672+0.00489773j -0.0361918+0.00757268j -0.000284143-0.0306959j 0.015145-0.03363j -0.0162746-0.00772559j -0.0107217+0.0118634j -0.00945742+0.00124245j -0.00348868-0.0228637j 0.00575323+0.00120545j 0.0144735-0.0202117j 
0.0314087+0.0441907j -0.0246161+0.00573747j -0.0033137-0.0429474j 0.0388338-0.124792j 0.0673727-0.0788996j -0.1742-0.160533j -0.294967+0.00137643j 0.14486+0.153821j 0.0892677-0.0313387j -0.214125-9.10383e-15j -0.02604-0.163506j 0.0130671+0.0175269j 0.0232304+0.263187j -0.0726101+0.10331j 0.0443238+0.0857642j -0.0240612-0.0317143j 0.0693086+0.0524082j -0.0180889+0.077285j 0.0805512+0.0114927j -0.0651506-0.0334699j -0.0020711+0.0311864j -0.0248386-0.0193155j 0.00542702+0.0117641j 0.0355083+0.0571074j -0.0543428-0.00890962j -0.0230004-0.0168814j 0.00788344-0.00244079j 0.00484849+0.0460878j 0.0217974-0.0368655j 0.00766119-0.0186279j -0.00465931+0.0290984j -0.0150425-0.0147343j 0.0251657+0.00659362j -0.0355014-0.0016352j 0.000103193-0.0115983j -0.00843406+0.00340045j -0.00662675-0.00132828j -0.0274565-0.015811j 0.00116083-0.00647124j -0.00866556+8.05402e-05j -0.00914438-0.0022114j 0.0102732+0.0176159j -0.0151067-0.0076454j 0.0040542-0.00276367j -0.00127357+0.0207016j 0.0102561+0.0258402j -0.00347825+0.00798203j 0.00465839-0.0061427j -0.0102679+0.00811879j -0.00180621-0.0103926j 0.0105398-0.000214651j -0.00846321+0.00565731j -0.0148879+0.00152674j -0.0146376-0.0308218j -0.0115988+0.00370481j -0.0398505-0.0115613j -0.00670938+0.00447246j -0.0277194+0.00213926j 0.015108+0.0490847j -0.0024515-0.026389j -0.00921462-0.010549j -0.0140027-0.0130459j -0.0259669+0.00437575j -0.0119847-0.0219419j 0.0151521+0.00768934j -0.00319085-0.0188449j 0.0218758+0.0026621j 0.00692928+0.00837747j 0.015452-0.00784866j -0.0185863+6.68524e-05j 0.00428673-0.0190522j -0.00280547-0.0226893j -0.00179764+0.0319461j 0.0231973+0.00810886j 0.0132891+0.0107986j 0.0199028-0.00099039j -0.0270516+0.00511954j 0.0127912-0.0170202j 0.0101613+0.00193283j -0.000685871-0.00514976j -0.0117587+0.00996498j -0.00508556-0.000597307j 0.00426594+0.00586564j 0.0173438+0.00749113j -5.19005e-05-0.00779407j 0.0112079+0.00460487j 0.00350931-0.00451114j -0.0111755-0.0106856j 0.00969133-0.0421649j 0.0165085+0.0344306j -0.00262105+0.00611321j 0.00898853-0.0150687j -0.0117771-0.0159411j 0.00010408+0.016498j 0.00596338+0.0151567j -0.00072905-0.0195637j 0.0357842+0.0276477j 
-0.0314196+0.121286j -0.103075-0.0856794j -0.303328-0.111335j 0.190545+0.132864j 0.0607548+0.0774782j -0.0864371-0.0562251j -0.0557254-0.0529205j 0.244005+0.0942657j -0.00679507+0.0705209j -0.02604+0.163506j 0.107868-5.06539e-15j -0.129908+0.281865j -0.0725932-0.135152j -0.144857+0.0604792j 0.0226326+0.011257j -0.136945-0.120642j 0.0482998+0.161973j -0.144303-0.0766941j -0.00737782+0.00658414j -0.0171962+0.0212j 0.0203502+0.0155174j 0.0127486-0.0249371j -0.00254989+0.0364987j -0.0172123-0.0277104j -0.0077924+0.0438089j 0.0168361-0.00712874j 0.0227811+0.00926667j 0.0495802-0.0301492j -0.0107145+0.0280571j -0.0091432-0.028741j -0.01268-0.0296884j 0.0318047+0.0058872j -0.0150387-0.00377876j -0.00722146-0.0330651j 0.00151487-0.0084676j -0.027782-0.0311496j 0.0228436+0.00455002j -0.0383935-0.0507002j 0.00674063-0.0296432j -0.00128885+0.00980363j -0.00531597-0.0128018j -0.00881933+0.00848203j -0.0189824-0.0387604j 0.00352271+0.00177898j 0.0109334-3.11591e-05j -0.0220455-0.0105467j -0.00924037-0.00647098j -0.0105592-0.00767219j 0.000139933+0.0160856j -0.0123819-0.00886881j -0.0155889+0.0202934j -0.0399965-0.000819969j -0.0105586-0.00166037j -0.0202232+0.00513925j 0.00336729-0.000163965j -0.0016022-0.00371748j -0.00488339-0.00830906j -0.0118913-0.00409464j 0.0145245+0.0146081j -0.0314349-0.00465264j 0.0193219-0.0215932j 0.0220998-0.00824067j -0.000762161-0.00538892j -0.0190702-0.013967j -0.0241734-0.00411328j 0.0133078-0.0184898j 0.00611687-0.0146084j -0.0210173+0.0384579j 0.00677089-0.00713695j 0.00659829-0.00850011j 0.00376058-0.026279j -0.000703516-0.00790181j -0.0218171+0.0252001j 0.0171793-0.012462j 0.0173135+0.00741963j 0.00373221+0.0113078j 0.00751653+0.00798177j -0.0109015+0.00649217j -0.000345728+0.011097j 0.00306848+0.00852281j -0.00583233+0.00641526j -0.0278578+0.0174745j -0.00807641+0.0116766j 0.0166019+0.0178016j 0.00253787-0.00250108j 0.019454-0.0116013j -0.0144625+0.000447353j -0.0133632-0.00124608j 0.00490223-0.0542051j 0.0217642+0.00992825j 0.0148966+0.00171949j 0.00699415+0.0110647j 0.00909392-0.0169215j -0.00289835+0.0090633j 0.0115555-0.00566211j 0.00258222+0.0153377j 0.0251996+0.0372947j 
