0.00361179+0.00891926j -0.00958587-0.00461124j -0.00625721-0.0095932j -0.00389589-0.0112475j 0.000472112+0.00235339j -0.00117257-0.00109935j -0.00264164-0.00206868j -0.00205497-0.0100398j -0.00186771-0.00290366j -0.00165725-0.000239938j 0.00341493+0.0115393j 0.00576697+0.0102455j -0.00595628-0.00958408j -0.00455454-0.0135179j 0.00181828+0.0131939j 0.00540541+0.000799714j 0.000531898-0.000603699j 0.00168429+0.00436999j 0.00365828+0.0120392j 0.00276327+0.0067249j -0.00293109-0.0101505j -0.00401098-0.00520975j -0.00362552+0.000853067j -0.00247876-0.00345119j 0.002937-0.00479423j 0.0028844+0.0177779j 0.00071832-0.00555299j -0.0024909+0.00296226j 0.00257253-0.00855002j 0.000349523+0.00459136j -0.000246792-0.0134807j -0.00190634+0.00985456j 0.00484014-0.00321459j 0.000312508-0.00262854j -0.00255389-0.00783206j 0.000896608-0.00230432j 0.0052829+0.00658795j 0.00734706-0.00996419j -0.021716+0.0153129j -0.00176188-0.0178518j -0.00197105+0.0116504j -0.00553549+0.00754632j -0.00887287+0.00161909j 0.00595311-0.00351437j -0.00305797-0.00116281j -0.00739266+0.00407144j 0.000253732+0.00319332j -0.00675356+0.000818868j 0.00538964-0.00312788j 0.00134006+0.0016509j -0.00480707+0.00211057j 0.00875474-0.00476048j -0.00312867+0.0020857j 0.00433809-0.00427432j -0.00441873+0.00248192j 0.00967475-0.00441655j -2.90507e-05+0.000779494j 0.000267793+0.0025563j 0.00201485+0.000709137j -0.00478037+0.00557028j 0.00461274-0.00366168j -0.0154528+0.00400001j 0.00740915+0.000739041j 0.00714489-0.00480126j 0.00738592-0.00167754j -0.00427325-0.00203178j 0.00143209+0.00297808j -0.00248527-0.000576331j 0.00612312-0.0019828j -0.00841567+0.00200702j -0.00851852+0.00448952j -0.00397475+0.0012676j 0.010508+0.00200713j -0.00310349-0.00166888j 0.00902286-0.00405949j -0.000361072-0.00157239j 0.0086817+0.00253296j -0.00829462-0.00215659j 0.00679641+0.00146821j 0.00596893-0.000590396j -0.00465315+0.00204546j 0.00313375-0.000819332j 0.0124609+0.00318955j 0.00488766+0.00317873j -0.00584398-0.00313489j 0.00579425+0.000657429j 0.00384898-0.00139993j -0.00586191-0.00261946j -0.00755526-0.000665162j -0.00774783-0.00555207j 0.00905635+0.00498339j -0.0156617-0.00234502j 
-0.00313889+0.00306513j -0.00891726-0.0071279j 0.000384798-0.000952811j 0.00177962+0.0036901j 0.00116416+0.000956314j 0.004667+0.009438j -0.0060317-0.0107386j 0.00115097+0.00702492j -0.000444772+0.000493945j -0.00134027-0.000558803j -0.000871194-0.00362317j 0.00121756+0.00862705j -0.00310498-0.00900645j -0.00612958-0.0103823j -0.00299138-0.0118623j -0.00084754-0.000639545j 0.00380306+0.0180431j 0.000647292+0.00230309j 0.00441488+0.00109139j 0.000984928-0.0113898j 0.0019919+0.00941211j 0.00393426+0.00583369j 0.00145038+0.025051j -0.00392981+0.00589709j 0.00319231-2.00629e-05j -0.00322972-0.000378338j 0.00224359-0.00849176j -0.000939324+0.00175801j 0.000851184+0.0143472j 0.00366572-0.00460378j 0.000313452+0.00202032j -0.00401537+0.000720954j -0.00244718+0.0107975j 0.00758424-0.00755648j 0.00253046-0.0118454j 0.00394033+0.00295512j -0.00866559+0.0101049j 0.000828363+0.0128334j -0.00460238+0.0140282j -0.0129613+0.00602535j 0.0050462-0.00151397j -0.000870643+0.00787359j 0.00167065-0.00072628j -0.00046431+0.00400416j 0.00558793-0.00162099j 0.00283111-0.0024944j -0.0104855+0.00638443j 0.0020623+0.000254958j -0.00690429-0.00160194j -0.000650834-0.000222624j 0.000115807-0.00119637j 0.0109637-0.000378374j -0.00726529+0.00218642j 0.0039156-0.00151589j -0.00337829+0.00484847j -0.00742791+0.00301866j 0.00676842-0.0031748j -0.00903427+0.00487207j -0.00210067-0.000902314j 0.00745873+0.00120789j 0.00341506-0.00075202j -8.75604e-05+0.00451444j -0.00946073+0.00297173j -0.00200964-0.000301355j -0.0160193+0.0042674j -0.0157973+0.00147982j -0.00758253+0.000269785j -0.00301225+0.00174358j -0.002024+0.00355258j 0.000851731-0.000257411j 0.00301655+0.00132454j -0.0100581-0.000584921j 0.000665972+0.00482748j 0.00912113+0.00378607j -0.0116836-0.00320101j 0.0146482-0.000658429j 4.17491e-05-0.00029062j -0.00381884-0.00164783j 0.00170398+0.000675192j 0.0090551+0.00172007j -0.00752229+0.000838373j 0.00766748+0.00339516j -0.00594675+0.00117744j -0.00766146-0.000189486j 0.00357639+0.00391132j 0.00923758+0.00540472j -0.00279184-0.000776426j -0.00569869-0.00136997j 0.0064918+0.00048638j 0.00955599+0.00206736j 0.0132039+0.00234999j -0.00298943+0.00160291j 
0.00389615-0.0014134j 0.00578348+0.00525274j -0.0030401-0.00399714j 0.00179515+0.00101787j -0.00443864-0.00759739j -0.0048907-0.0100452j 0.0047863+0.00941167j 0.00388439+0.00464514j -0.000264781-0.0020179j 0.00062939-0.00146671j -0.00480881-0.00785594j 0.00534185+0.0144482j -0.00150582-0.00840873j 0.00216847-0.00279906j 0.00304936+0.0165098j -0.00136327-0.00689318j 7.92843e-05+0.00930538j -0.00225476-0.0154416j -0.0016814-0.0086262j -0.00213503-0.00911079j 0.0029196+0.00382017j -0.00165866+0.0182208j 0.000298249+0.00221192j 0.00286867-0.0135906j -0.00366412+0.00929639j 0.00274142+0.000948662j -0.00156131-0.000500685j -0.00535222+0.00690854j -0.00164161+0.00545638j -0.000645725-0.00453102j 0.00638657-0.00694719j -0.00232245+0.016959j 0.000543677+0.010827j 0.00246187-0.00740528j -0.00320724+0.00273034j 0.00493031-0.0135481j 0.00397599-0.0162952j -0.00942692+0.00215085j 0.0018241-0.00503794j 0.00461952-0.00276818j -0.000302279+0.00144003j 0.000132956-0.00358928j -0.00483085+0.00516336j -0.00352052-0.00273681j -0.00771925+0.0050252j 0.00220038+0.00185477j 0.00788127-0.00353669j 0.00616651-0.00490016j 0.00169684+8.88634e-05j -0.000124773+8.71048e-05j 0.00398951-0.00628029j 0.00663297-0.00321949j -0.00967065+0.00430802j 0.00769727-0.000724172j 0.00873692-0.00215311j 0.0100586-0.00163671j 0.00782886-0.00177396j -0.00641703-0.000906076j -0.00162874-0.00158717j 0.0120467-0.00353266j -0.0105881-0.000107008j -0.00608634-0.00347145j -0.00567102+0.000933027j -0.00720336+0.0011179j -0.0105757-0.000570145j 0.00592704-0.00155388j 0.00968656+0.00117809j -0.00390083-0.00158664j -0.00356418-0.00319049j -0.0154321-7.85445e-05j -0.00448615-0.000209684j 0.00803037+0.00323689j 0.00510931-0.00289379j 0.00325144-0.000717843j -0.00258826+0.00145734j 0.0140231+0.00350944j 0.00187813+0.00271272j 0.00675845+0.00182781j 0.00809173-0.00195016j 0.0150742+0.00481912j 0.00571118+0.000971634j 0.00345101-0.00134573j 0.00448689+0.00279909j 0.00312542+0.00106335j 0.0125984+0.00207566j -0.00802165-0.00139583j 0.00661841+0.000973523j -0.00120328+0.00155734j 0.00353016+0.00204451j -0.0085658+0.000442011j -0.00785186-0.00102513j 0.000697957-0.000422301j 
-0.00411088+0.000679649j -0.0051785-0.00511928j 0.00312588+0.00418996j 0.0017186+0.00489698j 0.00120925+0.000108367j -0.000709887-0.000546292j -0.00147598+0.00232994j 0.000647875+0.00811833j -0.0064-0.0147205j -0.00867495-0.0232321j 0.000920665+0.00223611j 0.00142208+0.00788516j 0.000861883+0.00471894j -0.0014908-0.00640393j 0.00141752-0.00040617j -0.00106023-0.00303699j 0.000471259-0.0124358j 0.00325694+0.00598836j -0.00102054-0.011112j 0.00121811+0.0046067j 0.00149277-0.000800018j 0.00168099+0.00666706j -0.0016761-0.00726362j -0.00182751-0.00402589j 0.000459202-0.0140408j 0.000528585-0.0138753j 0.00258494-0.0150108j 0.00480967-0.018598j -0.00069621-0.00221186j -0.00468543+0.0067117j 0.00156613-0.0115235j -0.00364762+0.00999892j -0.00493583+0.0109243j 0.00301629+0.012234j -0.00987323+0.0117644j -0.00274981-0.00280594j -0.0030097+0.00756711j 0.00213725+0.00504311j -0.00124796+0.00520158j -0.0045684+0.00429185j -6.31203e-05-0.0016644j -0.000943137+0.00239103j 0.00530621-0.00202465j -0.000186878+0.0044851j 0.00100292-7.01334e-05j 0.00440832+0.00208686j 0.00420121+0.000816137j 0.00604645-0.00302207j 0.00879277-0.00633318j -0.00801382+0.0077364j -0.00722276+0.000517637j -0.00228118+0.00149434j -0.0214322+0.00391993j -0.000789183+0.000685268j 0.000975424+0.000355844j -0.00130395+0.00259086j -0.0124339+0.00218352j 0.00537147+0.00175796j -0.000618649+0.001664j -0.0118373+0.00113295j -0.00126561+0.00187103j 0.00175147+0.00182774j -0.01476-0.000739482j -0.00581525+0.00160437j 0.00570939-0.00159749j 0.000267674+0.00104047j 0.0115665-0.00235837j 0.00305179-0.000137349j 0.00126286+0.00126607j -0.00644438+3.00017e-05j 0.0140078+3.46459e-05j 0.000194045-0.00102877j -0.00296565+0.000818902j -0.0034528+0.000175026j -0.00132975-0.00262504j -0.00850612-0.00215835j -0.00989607-0.000841487j 0.00567237+0.000306654j 0.0167842+0.00565798j 0.00447885-0.00011432j -0.014221-0.00273242j -0.00145531-0.00326885j 0.00479898+0.00292915j 0.00812085+0.00289171j 0.000199128+0.00263693j -0.00501524-0.00116355j 0.000558266-0.00347552j 0.00854102+0.00146745j 0.00095099-0.000491618j 0.00755037+0.000883437j 0.00690338+0.000853567j 7.46577e-05+0.000517572j 
0.00455551+0.00173091j 0.0010755+0.00277229j -0.00598354-0.00976401j 0.00279704+0.00142163j -0.00390829-0.00284588j 4.17461e-06-0.00155791j -0.00234903-0.00792005j 0.00854483+0.0151267j 0.000332819+0.00903644j 0.00311803+0.00491821j 0.00258305+0.00459751j 0.000107392+0.00114033j 0.00426492+0.0173134j 0.000740071-0.00568329j -0.000703546+0.00470539j 0.00147905-0.000253684j -0.00284821+0.00695664j -0.0022051+0.0164618j 0.00331432-0.0149826j 0.00118977+0.0184139j 0.00207793-0.00876215j 5.31546e-05+0.0102j 0.000933982-0.00505306j -0.000382452+0.0144784j -0.00040987+0.00701313j 0.00221009+0.00262342j 0.00297526-0.00634849j -0.00387771-0.0092751j 0.00109371+0.00823735j -0.0067545+0.0193907j -0.00391679+0.00653331j -0.000965041-0.0021439j 0.00313204-0.00244613j -0.00203017-0.00953046j 0.00362966-0.0102247j 0.00367454-0.00813598j 0.00114765-0.00880775j -0.00499566+0.00283126j -0.00190295+0.00020623j 0.000460839-0.00276122j 0.000563342+0.00102788j 0.00119226-0.000766171j -0.00918749+0.00825405j -0.00532023-0.00324748j 0.00218554+0.00285516j -0.00119512-0.00335649j -0.00562048+0.00632551j 0.00796142-0.00532812j -0.0114066+0.00330003j 0.00807566-0.00168281j -0.00538052+0.00308822j -0.00191468-0.000182587j -0.00307507+0.000507447j -0.00629067+0.00506674j 0.00391332-0.00149708j 0.000377453-0.00124398j -0.0194159+0.00280387j -0.0112393-0.000648479j 0.00842806-0.00262268j 0.000639189+0.00161411j 0.0015693-0.000486682j -0.00235224-0.00114032j 0.00439129+0.00196592j -0.00378474-0.00101046j 0.00381266+0.000650293j -0.0119047-0.00246089j -0.000221607+0.00311428j 0.0196524+0.00300082j -6.25667e-05-0.000628749j -0.0125543-0.00205224j -0.00319858+0.00115613j 0.00321796+0.00140975j -0.014659-0.00274781j -0.00336412+0.00219616j -0.00857442+0.00043157j -0.0112796-0.00311495j 0.00941062+0.00261993j 0.00306858-0.0019507j 0.00421752-0.000333063j -0.00338676+0.00208217j -0.00473484+0.000693511j -0.0044351-0.00319544j -0.00228454-0.00283655j -0.0104056-0.00151158j 0.00831002-0.000324153j 0.00630836+0.00139843j 0.00570564+0.00267937j -0.00648232+8.30105e-05j 0.00439133+0.0013081j -0.00647417-1.25213e-06j -0.00301771+5.86072e-05j -0.00239436-0.000231605j 
0.0146034-0.00273809j 0.00749943-0.00816489j 0.0058856-0.00782458j -0.0162385+0.00359408j 0.005309-0.00119461j 0.00383365+0.00185593j 0.00834546+0.000954017j 0.00810192-0.00241526j -0.00465561+0.000755416j -0.0017645+0.00268975j -0.00739954+0.00318991j 0.00750907-0.00290974j -0.00598005+0.00564634j -0.0115199+0.00970221j -0.0062798-0.00202525j 0.00846043-0.00595752j -0.000190917-0.00475358j 0.007783-0.00525934j 0.00312005-0.00264625j 0.0120387-0.0127776j -0.00138491+0.000723071j -0.0117529+0.00295853j 0.00367287-0.00249701j -0.0105436+0.000569025j 0.00155685-0.000587131j 0.00365339-0.00303188j -0.00168577+0.00474226j -0.00188769-0.00124321j 0.00998656+0.0022073j -0.000173323+0.0077942j 0.00298042+0.00376113j 0.00359863-0.00368594j 0.00860675+0.00985401j 0.00450567+0.00720211j -0.00308625-0.00151969j 0.0166447+0.00398447j 0.00172376+0.00642514j 0.00935959-0.000175362j -0.0188181-0.0186153j 0.00305918-0.00426173j 0.000139064+0.0173698j -0.0184353-0.0104118j 0.00259435+0.00747348j -0.00778586+0.00120602j 0.0016388+0.000894579j -0.00270333-0.000427186j -0.002662+0.00233814j 0.00576116+0.00147379j 0.000518655-0.00123734j 0.000405538-0.00189206j -0.000661968+0.000397093j -0.00278861-0.000811323j 0.0029747-0.000376549j 0.00236352+1.9862e-05j 0.0010561+3.92116e-05j -0.00157741-0.000114288j 0.00145722+0.000558901j -0.00277374-0.00115725j 0.000854017-0.0013426j -0.00279555+0.00145962j -0.00207196-0.00090517j 0.000661008+0.00168913j -0.000360924+0.00148385j 6.74069e-05-0.000329742j -0.000695187+0.000258659j 0.00191758+0.000336979j -3.91403e-05+0.0018046j 0.000440759-0.000811337j -0.000202275-0.00125096j 0.00159874+0.00115706j -0.00275563+3.45369e-05j 0.0026963+0.0029365j -0.000130268-0.00236518j 0.00288499-0.00304779j -0.000136821+0.000296209j -0.000137402-0.00167273j 0.000680238+0.00205129j 0.000350617+0.00217252j 0.00187915+0.000255898j -0.00153088-0.00185784j -0.00102026-0.00263018j -0.000965059+0.00181667j -2.39166e-05+0.00437766j -0.00684661-0.00375701j -5.22279e-05-0.00494773j 0.0022857+0.00538727j -0.00196962+0.00392484j 0.000542131+0.00311466j 0.00558208+0.0062036j -0.00386384+0.00269905j 0.011232+0.00816009j -0.000313223+0.0153694j 
0.0107464-0.00836262j -0.00925764+0.000783829j -0.00658527+0.000472193j 0.00390147-3.12726e-05j -0.0126684+0.00520675j 0.00956518-0.004257j -0.00549342-0.000434216j -0.010111+0.00576167j 0.00457636+0.000977493j -0.00223203+0.00394372j -0.00889165+0.00521177j 0.00478398+0.00398658j -0.00406134+0.00047973j -0.00211398+0.00529898j -0.00559608+0.0014296j -0.0013797-0.00126308j 0.000252611-0.00308438j 0.00362352-0.00349643j 0.0105951-0.00232263j 0.00894389+0.00325053j 0.00694003-0.00414634j 0.0140156-0.00152544j -0.0024732-0.0098329j -0.00630918-0.00568945j -0.0115854+0.00912206j -0.023618+0.00218861j 0.0109812+0.0061513j 0.00184685+0.00800346j 0.00517346-0.00404285j -0.00109385-0.000631673j 0.00225738+0.00112707j -0.00755181+0.00149215j -0.0130813+0.00321893j 0.00278481+0.00505412j 0.00670364-0.00040256j -0.000792547+0.0052786j -0.00944837-0.0163244j -0.00369931+5.09416e-06j 6.76964e-05+0.00843871j -0.0120313-0.0074562j 0.0201317+0.014576j -0.00210218+0.014334j 0.00542042-0.000598095j 0.00206738+0.00432751j -8.31187e-05-0.00136161j -0.00341362+0.00241166j 0.00386553+0.00150104j 0.000961169-0.00202638j 0.000649814+0.000307676j 0.000677067-0.00024079j 0.000735284+0.00133186j -0.00330666+0.00164485j 0.000454884+0.000198481j -0.00300003+2.35406e-05j -0.000940204-5.31333e-05j 0.00269517-0.000377464j -0.00107104-0.00039719j -9.12425e-05+0.00222139j 0.00067994+0.000399127j -0.00064121+0.00122375j -0.00183344-0.00116766j -0.00233582+0.000456062j 0.000646369+0.00192857j -0.000721697+0.000594183j -0.000398989+0.000490581j 0.00130778-0.000423342j -0.000738476+0.00211142j 0.00100439-0.000753765j -0.00127092+0.000462318j -0.00264178-0.000285146j 0.00130598+0.000434174j -0.00145285+0.000817689j -0.00110354+0.00418917j 0.000766142+0.00187616j 0.00270688-0.00138552j 0.00356468-0.00223149j 0.00156969+0.00157014j -0.00270851-0.00195763j -0.00194064+0.00396474j -0.000450551+0.000120053j -0.000309465-0.00169123j -0.00356862-0.00317569j -0.00422709-0.00126236j 0.00267536-0.000836446j 0.00207742-0.00149911j 0.00285197-2.13596e-05j 0.00520588+0.00168372j -0.00269016+0.00741054j -0.00121806-0.00797618j 0.00579102+0.00156015j 0.00227053-0.0113413j 0.0108221+0.00838422j 
0.0081594-0.00430763j -0.00372964-0.000208631j 0.00806255-0.00441573j 0.00142051-0.00372432j 0.00107429+0.00112519j 0.0107217-0.00565487j -0.00180395+0.00231163j 0.00772877+6.98925e-05j -0.0107029+0.00343756j -9.93328e-05+0.00101002j 0.00383007-0.000964251j -0.00431403+0.000293605j -0.00507736+0.00164802j -0.00455406+0.00383464j 0.00197367+0.00165655j 0.00246226-0.00335342j 0.00318035+0.00147798j 0.0101064-0.0045319j 0.0127183-0.00182543j -0.0161796+0.00631057j -0.009754+0.00574547j 0.00828481+0.00611995j -0.0177331-0.00038125j 0.010378-0.0017065j 0.0243667+0.00193447j -0.00802116+0.000965839j -0.00568364+0.00435079j 0.000304192+0.00267037j -0.0317727-0.00373608j -0.0102237+6.78801e-05j -0.013436-0.00456092j -0.00604139-0.00316093j -0.00727863+0.000127756j -0.0110555-0.00703738j -0.00216276-0.00113342j -0.00898166-0.0102102j -0.00496357+0.00504599j 0.0226827+0.0131418j -0.00279205-0.00567168j 0.00527762+0.00456879j 0.00647143+0.00387604j -0.00103181+0.00433344j 0.000626224+0.000327715j 0.00051844-0.000831693j -0.000726645-0.000204629j -0.00207859+0.00228229j 0.000510606+0.00066785j 0.00174631+0.000433372j 0.00128833-0.0012827j 0.00182485-0.0011425j 0.00130596+0.000115801j -0.000463458+0.000743831j 0.000764424+0.000394669j 0.000748048+0.000426885j 0.000520683+0.000743391j 0.000348492-0.000572677j -2.83176e-05+0.000131772j -0.00159255+0.00041763j 0.000131146-0.0011972j -1.68198e-05+0.00113306j -0.000212262-0.000684768j -0.000919314+0.00106984j -5.25863e-05+0.000590747j 3.41862e-06+6.30723e-05j 0.000229128-9.53399e-05j -3.28316e-05+0.000684689j 0.000287224+0.000461232j -0.000422274+0.000247026j -0.00068486+0.000594732j -0.000555009-0.000279752j 0.000365904-0.000462176j -0.000216976-0.00080962j 0.00013135+0.000510179j -0.00218289+0.000901765j -0.000868849-0.000294513j 0.00114996+0.00176262j 0.000126688+8.50041e-05j 0.000455988-0.00104264j -0.0020562-0.000302365j 0.00146022+0.00110043j -0.00110508-0.00107065j -0.0013471-0.000701242j -0.00108662+0.000226281j 0.00163159-0.000407403j -0.00125432-0.00186937j -0.000932188-0.00290735j 0.0010009+0.00112517j -0.000317368-0.00122392j -0.00285985-0.000545714j -0.00230015-0.00406878j 0.00138035-0.00134098j 0.0026919+0.00373624j 
-0.0029284+0.00132665j 0.00109525+0.000457724j 0.00341794-0.000930206j -9.74104e-05-0.00132887j 0.00268356+0.000984741j 0.0202377-0.00631476j 0.00589729-0.0052019j 0.00625601-0.00388792j 0.0105004-0.00605777j 0.00486917-0.000352479j -0.00130807+0.000156691j -0.00832195+0.00546515j 5.3939e-07+0.000492259j 0.00165004-0.000140214j 0.0135955+0.00181531j -0.0241141+0.00425635j 0.0116964-0.00221718j -0.00391048+0.000855103j 0.0118751-0.0051818j 0.00697984-0.000734886j -0.0223059-0.000569717j -0.00532741+0.00172832j 0.013783-0.00167661j -0.0140501-0.00388819j -0.00957888-0.00257984j 0.00969161-0.0014232j -0.000476611+0.00195378j -0.00770124-0.0040301j 0.00360865-0.000997437j 0.0131025+0.00618843j 0.00649606+0.000416117j -0.00433884+0.00328162j 0.0103996+0.00178441j -0.00469615-0.00703815j 0.0293222+0.0125606j 0.000631891+0.0059642j -0.000269308+0.00195451j 0.00845337+0.00397651j 0.000803723+0.00140257j 3.79296e-05-0.000301736j -0.00185087-0.00171461j 0.00119015-0.000378109j -0.0019525-0.000112311j -8.84456e-05-0.00154859j -0.000813082-0.00036096j -0.00142782+0.00157965j -0.000875714+0.000655649j 5.6504e-05+0.000958975j 0.000428013+9.38151e-05j -0.000967856+0.000509624j 0.00075829-0.000664517j 0.000463145+8.60159e-05j 3.12498e-06-0.000593645j 0.000786404+0.00010497j -0.000104366-9.14064e-05j 0.000333115+2.92565e-05j -0.00050262+3.21514e-05j -0.000364288+0.000385091j 0.000619842-0.000229395j -0.000223657-0.000626232j 0.000748698+0.000316012j 0.00107142-3.87968e-05j -0.000456487-0.000596416j 0.00010185+0.000405987j 3.55712e-05-0.000105187j -0.000118978+0.000866849j 0.000202321-0.000466823j -2.77052e-05+0.000485306j -0.000496081+0.000575171j -0.000180519-1.3886e-06j 0.00028183+0.000677198j 0.000707576-1.13945e-05j 0.000213344+0.000240696j 0.000175845+4.56548e-05j 0.000618725+0.000887328j -0.000454245-6.18392e-06j 0.000652293+0.000672105j 0.000799682+0.000692571j -0.000231442-0.000371233j -0.00020239-3.96275e-05j -0.0001005-0.000492502j 0.00150855+0.00182177j 0.000641035-0.00044222j 0.000262287-0.000160679j -0.000859407+0.000319763j -0.000182964-0.000721016j 0.0019396+0.00241875j -8.04986e-05+2.53067e-05j -0.000477361+0.000694323j -0.000739377-0.000686941j -0.000861866+0.000162294j -0.000545947-0.00142327j 
0.00396385-0.00306683j -0.00529201+0.00113446j 0.00798332-0.00374j 0.00189522-0.00282937j 0.000460965-0.000673959j 0.00939985-0.00549414j -0.00166612-0.00095439j -0.012064+0.00580432j -0.0048675+0.00493083j -0.0090849+0.00165554j 0.0158519-0.00724061j -0.00814016-0.000250989j 0.0100555-0.0026332j 0.00747367-0.000465126j -0.00694051+0.00489415j 0.00366745+0.000875719j 0.0167987+0.000185356j -0.0156415+3.23946e-05j -0.0225543-6.42479e-05j 0.0143687+0.000370121j -0.0112412-0.00303437j 0.00316517+0.00536912j 0.000714114+0.000635739j -0.0153377+0.000852211j 0.00235303+0.00167923j 0.0250615+0.00280488j -0.0027151+0.00275867j 0.00209051+0.00276663j 0.0235342+0.00668708j -0.00962884-0.00129166j -0.000686291-0.0027212j 0.0110123-3.60358e-05j -0.0186931-0.00612419j 0.00909172+0.00560678j 0.00471032+0.00286534j -1.04496e-05-0.000112761j 0.00315437+0.00266917j 0.0100057+0.00283567j -0.00178927-0.00259121j 0.00257594+0.000599492j 0.00421641+0.00160114j 0.0016646+0.00443698j -0.00039051-0.000264276j 0.00123462-0.00111041j -0.000738824+0.000208538j -0.000851189+0.00162294j 0.0001779+0.000925862j 0.00194479-0.000265242j 0.000105552-0.00123791j 0.00165247-0.00116127j 0.0016686-0.000300363j -0.000749505+0.0012389j -0.000163861+0.000583382j -0.000603557-0.000119808j -0.000455998+0.000300585j 0.00106969-0.000152067j -0.000723692-0.000281866j -0.000360267+0.00106415j -0.000714745+0.000369668j 0.000613513+0.000299659j 0.00106281-1.37967e-05j -0.00113007+0.000362543j -0.000690398+0.000114998j 0.000227663-6.43488e-05j -2.32868e-05-0.000265634j -0.000303939+0.000531139j -0.00021106-0.000332972j 0.000386965+7.35007e-05j 0.000479068+0.000310355j 0.000486414+0.000363853j 0.00125808+0.000317275j 0.000632983-0.000290048j -0.000141658+0.000980736j -0.000715888-0.000653664j 0.000851379-0.000139713j 7.35597e-05-0.000184015j -0.000479986-7.93693e-05j -0.000191236-0.000762754j -0.000670987+0.000643618j 0.00141828+0.00122426j 0.000514983+0.000426483j -0.000140155-0.000125918j -0.000489846+4.59981e-05j -0.000263618-0.00115821j 0.000532508+0.00113427j -0.000305427-0.000530853j 0.000995459+0.000875085j -0.0010814-0.000515066j -0.0011538-0.000257138j -0.000737084-0.00195998j 0.00025775-0.00211606j 0.00213303+0.00158536j 
0.00102315-0.00219894j -0.00635792+0.00259787j 0.00574217-0.000889258j 0.0100028-0.00419552j 0.000604918-0.00351044j -0.011961+0.00264827j -0.0046856+0.00482274j 0.00117975+0.000728042j -0.0161494+0.0043176j 0.00213766+0.00270533j -0.00887718+0.00131248j -0.0226575+0.00296919j -0.0170294+0.00637465j 0.00060545-0.00096526j 0.0178122-0.00137628j -0.00877471+0.00173922j 0.015717+0.00336134j -0.00988743+0.00301885j -0.0175676-0.00237309j 0.0144587+0.00496962j -0.00142317+0.000695338j -0.0341201+0.000527522j 0.00947115+0.00125197j -0.0184959+0.000103693j -0.00728228-0.00295446j -0.00519374-0.00199367j 0.00324704+0.000511225j -0.0013003+0.00474156j 0.00554218-0.0021343j 0.0205893+0.00518243j 0.00725844+0.00697126j -0.000198318+0.000845603j -0.00308811+0.000167057j 0.00646603+0.00386936j -0.0159144-0.00436923j -0.00507657-0.00386835j -0.00140141-0.00106599j 0.00627267+0.00354775j -5.54006e-05-0.00138226j 0.00408612+0.000485938j 0.00341177-8.26354e-05j 0.00232954+0.00463537j 0.001174-0.00206578j 0.00313122-0.000973975j -0.000792882+0.000705397j 0.00133345+5.329e-05j 0.00171955-0.00122489j -0.000507919+1.29323e-05j 0.00130635-0.000629j 0.00174274-0.000522784j 0.00047618+6.83524e-05j 0.00128843+8.68349e-05j 0.00079293+0.000666694j -0.00129887+1.48078e-05j 0.00016513+0.000189546j -0.000440181+2.40249e-05j -0.00160014-0.000636835j -0.000111779+0.000360595j -0.00071887-0.000339426j 0.000645882+0.000730095j 0.00127329+5.39415e-05j -0.000811629-4.65547e-05j -0.00109903-0.000527832j -0.00137393-2.16926e-05j 0.000520974+0.000572808j -0.000187802-0.000346165j -0.000370309-0.000816957j 0.000426574-1.63777e-05j -0.000168878+0.000211305j 0.000343494-0.000231997j 0.000725353-0.000239668j 0.000939405+0.000405501j 6.83625e-05+0.000451344j 5.83583e-05+0.000685538j 0.000154115-0.000625263j 3.575e-05+0.000720236j -0.000362662-0.000456076j -0.000218505-0.000656867j -0.000641115-0.000617603j 0.000545692+0.000329299j 0.000370216-3.95466e-05j 4.71604e-05-9.59771e-05j 0.000369903+0.000843091j 0.000613322-0.000558612j 5.08767e-05+0.000568866j -0.000598345-0.000661811j -0.0006231-0.00109422j -0.000381282-0.00100549j -0.00147476-0.00118016j -0.000174374-0.00164914j -0.0008879-0.00215706j 0.00166537+9.40417e-05j 
