0.0653679+4.66294e-15j 0.228125+0.0173592j 0.157082+0.11984j 0.00968577-0.0406423j -0.014405+0.0237561j 0.0810746+0.15449j 0.0459493+0.0940785j -0.0206761+0.112588j 0.125274+0.00689894j 0.0364544+0.102767j 0.0961588-0.116901j -0.0874635-0.247499j -0.254461+0.0767329j -0.0579723+0.0919058j -0.0582699-0.259106j 0.12272+0.0280546j 0.0215176+0.0076943j -0.0182437-0.0223201j -0.0413036-0.0812223j 0.0248731-0.0220917j 0.00602791-0.0134464j -0.0126262-0.040157j -0.00724048-0.0510937j 0.0138361-0.0259649j 4.65529e-05-0.00659476j -0.0146865-0.0150134j 0.0095196-0.0047879j 0.0120147-0.00226311j 0.0621423-0.00609604j 0.0381566+0.0148335j -0.0859669-0.0333414j 0.0210497+0.00982685j 0.0332465-0.106015j -0.0221048-0.0130217j -0.0144023+0.0533228j -0.058674-0.0429227j 0.0276729-0.00999253j -0.0488649-0.0061373j -0.00392376-0.0163395j 0.0200513+0.0153676j 0.0452706+0.0184559j -0.0122298+0.0162075j -0.00158439+0.0160379j 0.00290603+0.0397346j -0.0273526-0.013916j -0.00475295-0.0182964j -0.00672725-0.0184105j -0.00422077+0.00461904j -0.00126069-0.0356758j -0.00238206+0.00664073j 0.00374457-0.00481596j 0.00522043-0.0193586j -0.0128775+0.000192498j -0.00147215+0.00291313j -0.0142317-0.0068486j 0.00105154-0.00786897j 0.00305044-0.00835775j -0.00678558-0.0181419j 0.00171577-0.0207132j -0.00555123+0.00471905j 0.00485761-0.0184396j -0.00115726+0.0138097j 0.00368558+0.0115672j 0.00364473-0.0166083j 0.00222899-0.0156932j 0.0116644+0.000144716j 0.00996482+0.0288139j 0.00259209+0.00108785j -0.0191555+0.0295177j -0.0274899+0.00891942j 0.0285921-0.00498302j -0.0219821+0.0133841j -0.0105015-0.0134453j -0.0149068+0.0234178j 0.00397224+0.00232028j 0.0048996+0.0128878j -0.00542448+0.0387982j 0.00787545+0.00834595j 0.00176819+0.0119714j 0.014105+0.00867526j 0.0150985-0.0090562j 0.00999409-0.00914977j 0.0020324+0.0417643j 0.0113062-0.00862626j -0.0104607+0.0249391j -0.00907815-0.0353719j -0.0170825-0.0469334j -0.0969979-0.0390408j -0.0141941+0.0569988j -0.000828105+0.0297767j 0.00552658+0.0311127j -0.0142835+0.0553489j -0.00582494+0.00714536j 0.0155771-0.00252155j 0.0641778+0.0445727j 
0.228125-0.0173592j -0.0258993+9.88098e-15j -0.00531894-0.0395079j 0.162086+0.167395j -0.00295889-0.0153256j -0.00291202-0.0449243j 0.0166119+0.0748641j -0.0399608+0.100677j -0.0337924-0.0646987j 0.0353217-0.0769513j -0.109497-0.223665j -0.301448+0.215429j 0.104603+0.107421j -0.121317-0.205586j -0.0240586-0.113105j 0.0257918+0.00412975j -0.11411-0.0282845j -0.0483271-0.0602132j -0.00166305+0.0024432j -0.00970548+0.044392j 0.0132773+0.0294426j -0.00867535+0.0277439j -0.0136764+0.0386254j -0.00535229+0.0157802j -0.030833-0.000251829j 0.00626745-0.0135426j 0.0252505-0.0125331j 0.00694168-0.00296195j 0.0536206-0.0459942j -0.0136336-0.0157589j -0.00256272+0.0742464j -0.0410768-0.043236j -0.0711544-0.0711948j -0.0552387+0.0599388j 0.0499653-0.0286053j 0.0141573-0.00636141j 0.0537383+0.0391248j -0.0117361-0.0122366j 0.0451912+0.0078396j -0.0455874-0.0119229j 0.0173675+0.00771208j -0.000436765+0.00931501j -0.0052493-0.0349213j -0.000882336-0.0157016j 0.00367237+0.00800334j 0.0175593+0.00419873j -0.0098662-0.0198894j 0.0124509+0.015303j -0.00946677-0.0171291j -0.000385794+0.0246938j -0.0217074-0.0165564j 0.00124789-0.00915395j -0.00358595-0.0144535j 0.00602027+0.00234972j 0.00464149+0.0317882j -0.0211088+0.0063049j -0.00708446-0.000500861j -0.00918686+0.000375959j -0.0111815+0.00273719j 0.0144675-0.015271j -0.00677019-0.0179847j -0.00387699+0.023726j 0.00978857-0.00595988j 0.00300601-0.00901291j -0.00590481-0.0109003j 0.00517027-0.0102183j 0.0263119-0.00808064j 0.000290916+0.000441223j 0.0146752-0.00860126j 0.000119107+0.0173174j 0.00965786-0.0063355j 0.000226761+0.0113679j 0.00910818+0.0324657j 0.0181289+0.0122745j -0.0133026-0.000509502j 0.0176378+0.00349354j 0.0217638-0.00603483j -0.0157388+0.000100794j 0.0132612-0.00568774j 0.0258099+0.0210362j 0.00351039-0.029934j -0.0478142-0.00276748j 0.0238024-0.0100665j 0.0148231-0.0160613j 0.0208253+0.0066479j -0.0220801+0.0190712j -0.0811978-0.00445416j 0.000764633+0.0724387j 0.0232294+0.0606827j -0.00110701-0.032263j -0.00467844+0.0386165j 0.00890085+0.00294652j 0.0272901-0.0484452j -0.069593-0.0394614j 0.00820277+0.0100744j 
0.157082-0.11984j -0.00531894+0.0395079j 0.0460991-2.97817e-14j 0.0599586-0.0248325j 0.0106591-0.00729597j 0.067185+0.0297878j 0.116255+0.0343254j 0.0624223-0.068862j 0.0259191-0.122198j -0.0385451+0.297115j -0.0404346-0.000133514j -0.179034-0.182472j 0.277197-0.397646j 0.0442174+0.0688628j -0.224048+0.253547j 0.0526476-0.0249735j -0.0547634+0.0299082j -0.0273429-0.00263342j -0.0324484-0.0213884j -0.0118146-0.0379001j 0.00014777-0.0164018j -0.0118358-0.0105813j -0.0435749-0.00158318j -0.0280074+0.00937481j 0.005987-0.0218327j -0.0333193+0.0107371j 0.010218-0.0281831j 0.0223677-0.00461631j -0.0153402+0.0718823j 0.0185944-0.0276805j -0.0192732+0.0273049j -0.00950372+0.0703138j -0.0199785+0.0288396j 0.00253581-0.0236356j 0.0240719+0.00646761j 0.0395709-0.023888j 0.0253524+0.0223429j -0.0153531+0.00206518j 0.00771749-0.00905298j -0.0131523+0.0130231j 0.0210251-0.00728809j -0.00134452+0.0075268j 0.00692779-0.00256244j 0.0114942+0.00930398j -0.00293072+0.00341257j 0.000338605-0.00370002j -0.0111123-0.000137543j 0.00552412+0.00463363j -0.0161929+0.00170194j 0.00331903+0.000842522j -0.0159107-0.0192835j -0.00921171+0.00455646j 0.00464772+0.00593273j 0.00580801-0.00110836j 0.000849483-0.00509591j -0.00327673-0.0242737j -0.00414543-0.00120995j -0.00995394-0.0281753j -0.005392-0.0234981j 0.00852044+0.00460975j -0.00492926+0.00121019j -0.00175892+0.0120279j 0.00558336+0.014358j -0.0104745-0.0149442j 0.0108429-0.0196697j -0.00556406-0.00303259j 0.00307771+0.0129323j 0.0023389+0.00761136j -0.0172472+0.0120965j 0.0260455-0.0235695j 0.0149564-0.0211109j 0.00547718-0.00661046j 0.0186416-7.58647e-05j -0.00419467-0.00362918j 0.0127382-0.000459653j 0.00366253-0.0265112j -0.0209145-0.000782567j -0.0167978+0.00897457j 0.0195031-0.00288794j -0.0015126-0.00220589j -0.00826581-0.00194795j -0.00197826-0.0185666j 0.00681797-0.0109443j -0.0110481+0.0345381j -0.00284598-0.007444j -0.00842157+0.00743705j -0.00546196-0.00214887j -0.0134436-0.0036862j 0.0100051+0.0186871j 0.019208-0.0140097j -0.0189679-0.029816j -0.00632988+0.0209801j -0.00154304+0.01289j -0.0124372+0.0169953j 0.0157046-0.00313711j 
0.00968577+0.0406423j 0.162086-0.167395j 0.0599586+0.0248325j -0.0323628+4.34375e-15j -0.134457-0.0129686j -0.137943-0.0618278j -0.0960118-0.132734j -0.190253+0.127434j 0.135491+0.0388762j -0.255084+0.0850751j 0.247561+0.0326935j 0.000276995+0.149147j 0.276357+0.0188424j 0.350348-0.224317j -0.164578+0.250573j 0.0487725-0.0363602j 0.0965673-0.05557j 0.049945-0.0143188j 0.021483+0.0132859j 0.0242984+0.0282955j 0.000267608+0.0163225j -0.0160533-0.00620134j 0.0155846+0.00916485j 0.0204999-0.00123612j 0.0271395-0.0192757j -0.0272801+0.0209894j -0.00446484+0.0359016j -0.0110418+0.0195731j -0.0258253-0.021908j 0.0250395-0.0325702j -0.0393843-0.00914746j -0.0572938+0.0107077j 0.022526+0.00563436j -0.0361906+0.0276499j -0.00702415-0.0215159j -0.00156263-0.00499845j 0.0100919-0.00173189j 0.00123281+0.0029086j -0.0143701+0.00743085j 0.0239123-0.0159792j 0.00932347-0.00728298j -0.0157287+0.00951186j -0.000221873+0.0139553j -0.0080971+0.0027287j -0.0176573+0.000989644j 0.00104108-0.000313718j 0.0091855-0.00415702j -0.00597643-0.00372399j 0.00782322+0.00741113j -0.0136806-0.00378259j 0.0290576+0.0167328j -0.00350991-0.00276541j -0.0174188+0.00340003j -0.0158366+0.00256674j -0.00843665+0.00622615j 0.0177297+0.00103457j -0.0066328+0.0139219j 0.00375567+0.0142656j 0.0170224+0.0123156j -0.015266+0.000491142j 0.000815368-0.0106469j 0.00224947-0.0034718j 0.00938104-0.0227596j 0.00451775-0.00835875j 0.0180259+0.00730183j 0.00609422+0.00384162j -0.00766849+0.000690546j 0.00627144+0.0199729j -0.0017349-0.00571906j 0.00797809-0.00112944j 0.0128024-0.00129234j 0.0076659-0.0048018j -0.0193981+0.0272855j 0.0124391+0.00602535j -0.010962-0.00892433j 0.00947169-0.00533221j -0.00395671-0.0210635j 0.00750086-0.00507001j 0.015684+0.00850333j -0.00926124-0.00567805j 0.0126424-0.0184152j 0.0369947-0.0169744j -0.00462366-0.00428694j -0.00665177-0.024787j 0.00759707-0.0133722j -0.00217437-0.0169611j 0.0224997+0.00745869j -0.00827136+0.00397538j -0.0203141-0.00791405j -0.0147752-0.0308718j -0.0205926+0.0179401j -0.00583053-0.000980145j -0.0174435+0.00407856j 0.0297775-0.00669254j 0.00696085-0.0263572j 
-0.014405-0.0237561j -0.00295889+0.0153256j 0.0106591+0.00729597j -0.134457+0.0129686j -0.0479736+8.59035e-15j -0.145338+0.0701905j 0.0946949+0.208142j -0.0795672-0.0163134j 0.136922-0.00763457j -0.0645852+0.180464j -0.173362+0.197679j 0.198266+0.0237845j -0.119095-0.107581j 0.110802+0.265013j -0.121222+0.178307j 0.0102151-0.0213441j 0.0241065+0.0305682j 0.0212578+0.0184249j 0.0130794+0.00309877j -0.00294343-0.0308045j 0.00502254-0.00646004j -0.00736755-0.0152096j 0.00133149+0.0192279j 0.0129159+0.0146457j 0.0359042-0.00799801j 0.0270354+0.0330505j 0.0127107-0.0395566j -0.0140238+0.0491827j -0.00201972+0.02996j -0.0343348+0.00373712j -0.0397606+0.00501046j -0.00184463+0.0145154j -0.0190889-0.0120259j -0.00310572+0.00347812j -0.0019796+0.00512631j -0.0285304+0.0137968j -0.015495-0.0290527j 0.000334433+0.0046528j -0.00393575-0.00364764j 0.00948589+0.00533083j -0.000757123-0.00635901j -0.00176336+0.000772336j 0.0001704+9.72902e-05j 0.000440862+0.0024237j -0.00513633-0.000568434j 0.000458922-0.00243501j 0.0089553+0.00434582j -0.00438282-0.00638005j 0.00572545+0.010406j -0.0109351-0.00471621j 0.00325245-0.0024686j -0.00588829+0.00503034j 0.00011275+0.0088744j -0.00534314-0.0103715j -0.00670654-0.0143199j 0.0063142-0.0110015j 0.00546123-0.00504944j -0.00249708-0.0116602j 0.015818-0.014643j -0.00117404-0.000854716j -0.00478178-0.000465411j -0.00760185-0.0165115j 0.00240395-0.00811253j -0.0183235-0.0145842j -0.00859149+0.00207001j 0.00793941+0.0169588j 0.00641058-0.0135371j -0.000972091-0.00171835j -0.0113666+0.00680922j 0.00727535-0.0176128j -0.0146468+0.0160635j -0.0144381-0.00830079j 0.0213129-0.00917981j 0.0119651+0.0188308j 0.0045233-0.00821403j 0.0092879+0.00215359j 0.00626617+0.00577439j -0.00843753+0.00260888j -0.00632557+0.0113084j 0.00656133+0.00077585j -0.00609939-0.000144251j -0.00142356+0.00310188j -0.00381703+0.000694594j -0.00396857+0.0112212j 0.00566395+0.00095402j -0.00312847-0.00473081j 0.00444052+0.014262j 0.00464983-0.008974j 0.00160818-0.000987648j 0.0113155-0.00267078j -0.00615468-0.0165499j -0.00268852+0.0065344j -0.00791394+0.00781508j 0.011406+0.0246744j 0.01409-0.00969451j 
0.0810746-0.15449j -0.00291202+0.0449243j 0.067185-0.0297878j -0.137943+0.0618278j -0.145338-0.0701905j -0.121729+2.9976e-15j 0.013578-0.117891j 0.102194+0.198281j 0.188116-0.181401j 0.0744398-0.0585167j 0.065629+0.0936049j 0.307817+0.232512j -0.125186+0.340745j -0.0700718-0.0951748j 0.204322+0.0148619j 0.0181574-0.078138j -0.00855613+0.0231036j 0.0135281-0.0313979j 0.0431847-0.000517112j 0.0210166+0.0112604j 0.0285408-0.00719557j -0.0166102-0.00793083j 0.00826031+0.00803315j 0.0045658-0.015334j -0.0149126+0.0443689j -0.0133735+0.00145796j 0.00308372+0.0258881j 0.00185147-0.0105551j -0.0391434-0.0410597j -0.0281662-0.0481207j -0.0207715+0.0466489j 0.0445294-0.01941j 0.0376039+0.00972545j 0.0129906-0.00844174j 0.00257546-0.00196855j 0.0227334+0.0161171j -0.0122559+0.025224j -0.00752154+0.00554587j 0.00152739+0.00200362j -0.00761336+0.00548817j 0.00111248-0.0137253j -0.001946+0.0134046j 0.00388637-0.0130179j -0.0103007-0.00436711j -0.00021757+0.00930745j 0.00870857-0.011323j 0.00953141-0.00738612j 0.00240993+0.00561042j 0.00996523+0.00214411j -0.0103259+0.00702423j 0.0105521+0.00270194j -0.011726+0.00700821j -0.00947666+0.0122719j -0.00873614-0.001971j 0.00548205+0.028553j 0.00902216+0.00729248j 0.0049715+0.0104771j -0.000572779+0.00268808j -0.00150864-0.000544034j -0.0167973+0.00474229j 0.00705676-0.00683209j -0.00978594-0.000975864j -0.00395674+0.0087784j 0.00470004-0.00456934j 0.00442412-0.011633j -0.0117619+0.00218204j 0.00483748-0.0301002j 0.0118623-0.00972098j -0.00636921+0.0178864j 0.000800729+0.0154839j -0.00236517+0.00418185j -0.00348442+0.00396588j 0.00325585+0.00529953j -0.0137507-0.00780655j 0.00961199-0.00205482j -0.000371342+0.00476403j 0.010962-0.00905173j -0.00312208+0.000239761j -0.0126474+0.00992182j 0.0198724+0.013865j 0.00915311+0.0140792j -0.0152601+0.00844799j 0.00635327-0.00720671j -0.00747135-0.0118017j 0.00124335+0.0094228j 0.00503949+0.00670377j -0.0115136+0.00628952j -0.0143259+0.011371j -0.0113878+0.00641163j -0.00682166-0.0140326j -0.0144941+0.00738538j -0.00531344+0.00791656j -0.0062836-0.015864j 0.00794821-0.0120465j -0.00889876-0.0193412j 
0.0459493-0.0940785j 0.0166119-0.0748641j 0.116255-0.0343254j -0.0960118+0.132734j 0.0946949-0.208142j 0.013578+0.117891j -0.16673-9.17148e-14j -0.126779+0.00208799j 0.275362+0.155973j -0.185512+0.240117j 0.0100807-0.176705j 0.00418317+0.064529j -0.250431+0.0845217j -0.123317+0.140317j -0.112493-0.0554547j 0.0726732-0.0537897j 0.012602+0.00849028j 0.0432276-0.0189792j 0.011932-0.018316j -0.0111586-0.0109669j 0.0220882-0.0247118j 0.00564592+0.0158759j 0.00346607+0.00752499j 0.00529696-0.0139587j 0.0145752+0.00207933j 0.0079141-0.00225687j 0.00892878+0.00443508j 0.041056+0.00855302j -0.00302729+0.0119627j -0.0199318+0.0345625j -0.00168801+0.0256194j 0.000706298-0.00260322j 0.00316123+0.00899287j -0.000525043+0.0118453j -0.011041-0.00913323j -0.0120839-0.00722489j 0.00730367-0.00964078j -0.00318575-0.000943498j -0.0053714+0.00367464j 0.00181355+0.00423586j 0.0141262-0.0111047j -0.0141944+0.0149699j 0.000472763+0.00123602j -0.00432638+0.00760662j -0.0175463-0.00343173j 0.005097-0.0108751j 0.00349712-0.0105769j -0.00914052+0.00226394j 0.00799045+0.00157985j -0.0150196+0.010394j 0.00140405+0.00861046j -0.0115434+0.0122313j -0.00992028+0.00883894j 0.00319542-0.0031669j -0.00764265-0.00204294j 0.0113831+0.00405525j -0.00116655+0.00354531j -0.000919724-0.00271074j 0.0120361+2.90808e-05j 0.00308594-0.00817412j 0.00649754+0.0089389j 0.00499924-0.0109577j 0.0111385+0.00397009j -0.00581418-0.00260378j -0.0056602-0.0103565j 0.0194686-0.0138928j -0.0206627-4.94936e-05j -0.00725598-0.0143481j 0.00293406+0.00274181j -0.0135898+0.00497401j 0.00620071-0.0355494j -0.00461518+0.00191244j -0.00391389+0.0310129j -0.0317582-0.0228762j 0.00858358+0.0110499j 0.000829587-0.00150011j -0.00174164-0.00664036j 0.0170826-0.00664049j -0.0144812+0.0102969j 0.00850993+0.00615056j 0.0074873+0.00787834j -0.000312504+0.00216749j -0.00182773-0.00924984j -0.00224383-0.00724948j 0.00238621+0.00489067j 0.00209592-0.000880975j 0.000881537+0.00641774j -0.00893729-0.00826257j -0.00930762+0.00489786j 0.00370737+0.000114508j -0.00258078-0.00520016j -0.0144053+0.00785207j -0.00531224-0.00522908j 0.00490288+0.0129977j 0.0168205-0.00172917j 
-0.0206761-0.112588j -0.0399608-0.100677j 0.0624223+0.068862j -0.190253-0.127434j -0.0795672+0.0163134j 0.102194-0.198281j -0.126779-0.00208799j 0.247459+2.25098e-14j 0.114199-0.121525j 0.1063+0.118196j -0.0936998-0.144992j 0.0546976-0.108421j -0.0464594-0.0713555j -0.178342+0.149412j -0.055812+0.0880084j 0.0034976-0.0796858j 0.00629858-0.01682j 0.0385516+0.0119081j 0.0422666+0.0320878j -0.000892596+0.00128788j -0.0190241+0.0160497j 0.0141991-0.00670611j 0.00236519-0.00998346j -0.0233048+0.0241221j -0.042977-0.0441773j 0.0304652+0.000345446j 0.0189945+0.01161j -0.0263174+0.0108682j -0.0185071+0.0172287j 0.00438826-0.0254776j 0.00437756-0.023889j 0.00580387-0.0107773j -0.00193703+0.00861594j -0.00589402+0.0108793j -0.00134727-0.00089338j -0.0102535+0.0101638j -0.0115795-0.00542713j 0.00482656+0.00255526j -0.00399499+0.0122752j -0.00381065-0.00398378j -0.00217661-0.0136251j -0.000412474+0.0124154j 0.00225813-0.000238749j -0.00337373-0.00229867j 4.3317e-05-0.00456085j 0.00865703+0.00212175j 0.010427+0.00696185j -0.000330151-0.00685637j 0.00423159+0.0119665j -0.0189652-0.01159j 0.00662247+0.0175685j -0.00840359+0.00361134j -0.00276499+0.00188068j -0.00642094-0.0102305j 0.00711736-0.00122965j -0.00372769+0.000694531j -0.00323281-0.0029734j -0.00456894+0.00633937j 0.0124228+0.0113006j 0.00671619+0.0147488j -0.00115356+0.0124355j 0.0059434+0.0177683j -0.00404414+0.00837061j -0.0197739+0.00570773j 0.00492249-0.0077246j -0.00718053-0.0252484j 0.0183717+0.0176483j -0.00131076-0.00774516j -0.0284792+0.000544385j -0.00173851-0.0125609j 0.018879-0.0100393j -0.0182022-0.0208152j 0.00366503-0.00268493j 0.00967959-0.0138j 0.0117594-0.00719083j 0.0211419-0.00717504j 0.0168451-0.00471616j -0.000430228+0.0185061j 0.00230779+0.012516j 0.016846-0.0121819j 0.00269521+0.00557598j 0.00839911+0.00998484j 0.00825055+5.52312e-05j -0.00217311-0.005849j 0.0116629-0.00377269j -0.0106363-0.00655919j 0.00590684+0.0146195j -0.00331231+0.00425444j 0.000597465-0.00536659j -0.00431125+0.00106715j -0.00208171-0.001233j 0.0041327-0.000218385j -0.00517838+0.00828403j -0.00102323+0.00275043j -0.00442137-0.00819648j 
0.125274-0.00689894j -0.0337924+0.0646987j 0.0259191+0.122198j 0.135491-0.0388762j 0.136922+0.00763457j 0.188116+0.181401j 0.275362-0.155973j 0.114199+0.121525j 0.0237062-1.54043e-14j 0.0650835+0.101819j 0.181733+0.13819j 0.0691996-0.260693j 0.00982698-0.0482529j -0.0387158-0.0697795j 0.0457605-0.00282913j 0.041586+0.00550927j -0.0338629+0.0222423j -0.00706724+0.0208983j -0.0225072-0.00146668j -0.0339398-0.00985694j 0.00579697-0.00730785j -0.00371037+0.0256067j -0.0127774-0.0280939j 0.0140374+0.0330675j -0.0379842-0.00880486j 0.0011741+0.00672134j 0.000458223-0.0255878j -0.0368108+0.0175031j 0.00096772+0.00500823j -0.00862366-0.021204j 0.00705928-0.00778277j -0.00309642-0.00814491j -0.0246008+0.00160638j -0.00161706+0.00476921j 0.0058479+0.000344375j 0.00401037+0.00384516j -0.00354144+0.00577795j -0.0068419-0.00215327j 0.00350867-0.0032437j -0.00849021+0.00890644j 0.0126879+0.00055781j -0.00270564+0.000841359j 0.0017864-0.00112351j 0.00375407+0.00253371j 0.000889833-8.8791e-05j 0.00249805-0.00198839j -0.00505716+0.00309216j 7.24089e-05-0.000641614j -0.00853443-0.00116109j 0.00104968+0.00881911j -0.0220669-0.00463726j 0.0039573+0.000368811j -0.00558663+0.00419085j 0.0149924+0.000253124j -0.0233091-0.00934611j -0.0124391+0.00120177j -0.020131-0.00385085j -0.0057882-0.00915719j 0.0173914-0.00303173j 8.26212e-05-0.0200971j -0.0218152+0.00435285j -0.00173059-0.0184211j 0.00218918+0.00297331j -0.0252809-0.00345849j -0.0117978-0.0016252j 0.0370883+0.0014705j -0.0184121+0.0116034j -0.00883903+0.00111449j 0.00889007-0.00043854j -0.00791022+0.00464908j -0.000851961-0.0118443j 0.00867131+0.00217086j 0.00113484+0.00474685j 0.000716317+0.000736515j -0.00390885+0.00240359j 0.00135325-0.0080574j 0.000759918+0.00446812j -0.00462534-0.0033656j -0.00512564-0.000369464j 0.000727688+0.00291218j -0.00448197-0.00116227j -0.0118199-0.00528746j 0.00265464-0.00164253j 0.00167052+0.00333915j 0.000953405+0.00113685j -0.00908959+0.00375888j -0.0068717-0.00804281j -0.00472939-0.0042873j 0.00419023+0.00665601j 0.00538764-0.00152266j -0.00159203-0.00513025j 0.00174607+0.00282778j 0.00551802-0.00167262j -0.00446018+0.00191815j 0.00681785-0.000871523j 
0.0364544-0.102767j 0.0353217+0.0769513j -0.0385451-0.297115j -0.255084-0.0850751j -0.0645852-0.180464j 0.0744398+0.0585167j -0.185512-0.240117j 0.1063-0.118196j 0.0650835-0.101819j -0.0782626+1.19887e-14j 0.206232-0.0839957j 0.0685445-0.0060796j 0.0918407-0.0483081j -0.0121628-0.0539774j 0.0296823+0.0984762j -0.0289632-0.0446797j 0.0302659+0.0211904j 0.0108854-0.0481704j 0.0495537+0.0404964j -0.011059+0.0111502j 0.0251727-0.00554162j 0.0377406-0.00165634j 0.0320818+0.0498851j -0.0056626+0.0225475j 0.0446598+0.0152779j -0.0104389+0.033261j 0.00949985-0.0555079j -0.0203105-0.0272366j 0.00995247-0.0186067j 0.00802569+0.0107536j -0.0204301+0.00744194j 0.0090717+0.0128853j -0.0033218+0.00796356j 0.00511281-0.00146768j 0.00392626+0.0102063j 0.0049532+0.0197116j -0.0210915+0.00521441j 7.24929e-05+0.00408433j 0.00378995-0.00359316j 0.00197749-0.00288666j -0.0138004-0.00584491j 0.00429862+0.00134848j 0.00118259-0.0146319j -0.00792096-0.0159415j 0.00584542+0.0105829j 0.00377094-0.00715991j 0.00907149+0.00328766j 0.00714813+0.0124884j 0.00986434+0.0122588j -0.0124411-0.00400116j -0.000373138+0.017397j -0.0111571+0.023485j 0.00256587+0.00657749j -0.00945917-0.0109078j 0.0230845+0.0127719j -0.00430792-0.00602716j 0.00505985+0.00130831j -0.0130673+0.0163472j -0.00783141+0.0198984j 0.000130569+0.0254103j -0.00879478-0.00510527j 0.00393298+0.0109712j -0.00252007-0.00873273j -0.0136783-0.00506778j 0.000432678-0.0137895j 0.00483676+0.011838j -0.0271184+0.00466945j 0.00873417-0.0116345j 0.0214074+0.00961726j 0.0090186-0.00482353j -0.00150918-0.0053221j 0.0170114-0.0155329j -0.000565195+0.00635483j -0.00722051+0.00363677j -0.00400948-0.00447549j -0.0045511+0.0100003j -0.00415213+0.00555693j -0.00696424+0.00181356j -0.0048478+0.0032236j 0.00506754+0.00351142j 0.00773529+0.0013606j -0.0117239+0.00469389j 0.00349364-0.00696609j -0.00427354+0.00512612j 0.00686512+0.00198205j 0.00196253+0.000643254j -0.00776717+0.0106238j 0.00153696+0.0147861j -0.00238357+0.000633665j -0.005314-0.00643822j -0.00661008+0.00316629j 0.00415694-0.00125812j -0.00832654-0.00560591j 0.00188906-0.00737602j -0.0170704-0.0163157j 
0.0961588+0.116901j -0.109497+0.223665j -0.0404346+0.000133514j 0.247561-0.0326935j -0.173362-0.197679j 0.065629-0.0936049j 0.0100807+0.176705j -0.0936998+0.144992j 0.181733-0.13819j 0.206232+0.0839957j -0.0900647+1.93734e-14j -0.0956079-0.0369138j 0.105415+0.0475241j 0.0827827-0.0195081j 0.0474249+0.00179415j 0.023794+0.0516415j -0.0368872+0.0747735j -0.0156608+0.00620627j -0.0455192+0.000547532j -0.00665071+0.0194825j -0.0256165-0.0328599j 0.0216996-0.000729427j -0.0185734-0.0170271j 0.0372205-0.0051465j 0.0108824+0.0174942j 0.00069165+0.0296369j -0.0226604-0.00816683j -0.0210955+0.0261838j -0.00465498+0.00318947j -0.0114983+0.0104987j 0.0101364-0.0237061j -0.0125131-0.00608562j -0.00268364+0.00102273j 0.00100161-0.00673638j -0.00306371-0.00129246j -0.00566196+0.000473645j 0.00257702-0.00789271j -0.00225869+0.000636007j 0.0047319-0.00700261j -0.00409284+0.0131876j -0.00018056+0.0082576j -0.000205375-0.0106504j 0.00130214-0.00700428j 0.0061767-0.0023805j 0.00830778-0.00135002j -0.00653643+0.00370218j -0.00976865-0.00040895j -0.00373182+0.00670358j -0.00149109-0.00367766j 0.0169532-0.0058396j -0.0138397+0.00436057j 0.00607389-0.00163687j 0.0237411-0.0111338j 0.00857682+0.00196902j 0.0241989+0.00406938j -0.00469433-0.0134872j 0.0091734-0.00649385j 0.000545157+0.0100632j -0.023119+0.00837802j 0.0173282+0.0211202j 0.0051779+0.00236126j 0.0104054+0.0287855j -0.00886215+0.00468445j 0.00207412+0.0124725j 0.0021952+0.00265095j -0.0114539-0.014528j -0.00594425+0.0232328j -0.00494918-0.00371382j 0.0190959-0.0105208j -0.00466829+0.00420013j 0.00880797-0.00823846j 0.00510257-0.0087081j -0.00204652-0.00294073j -0.00612747-0.00932117j -0.00737568+0.00683137j 0.00028744+0.00113383j -0.00575976+0.00263377j -0.00198626-0.00176344j 0.00534612-0.00729766j -0.00240332-0.0016989j -0.00522122+0.00242555j -0.00701299+0.00383891j -0.00817674+0.00381184j 0.00250651+0.00386519j -0.000519911-0.00133767j 0.00593429+0.00101269j -0.0036508-0.00131201j 0.00325718-0.00115821j 0.00674908+0.000825092j 0.00425658+0.00232063j 0.00309708-0.0040189j 0.0020989-0.000976041j 0.000979504-0.00030099j -0.00257319+0.0040313j -0.00124466+0.00282296j 
