0.448996-0.00552081j -0.0968782-0.526927j 0.190498-0.29275j 0.275684-0.152276j 0.106693-0.160891j 0.181675+0.140055j 0.103708-0.0300259j -0.334339-0.00718302j -0.0998658-0.0347575j 0.190937-0.129533j 0.101376+0.16681j 0.269061+0.164743j 0.173001+0.304598j 0.12853-0.517392j 0.445134+0.0347082j 
-0.00712381+0.232256j 0.216331-0.0165227j -0.0829724-0.000169232j 0.0458464-0.154112j 0.125654+0.0359985j -0.0444889-0.115069j -0.0252737+0.0519171j -0.192309-0.00269022j 0.0252275+0.0533117j -0.0469712+0.113646j 0.127397-0.0305482j 0.0386877+0.154601j -0.0796038-0.00332686j -0.216869-0.0277619j 0.00415848-0.232066j 
0.0135333-0.0218069j 0.0214478-0.0320177j 0.136856+0.0689698j -0.0535412+0.122902j -0.07266+0.00648527j 0.00520281-0.00397983j -0.0161705-0.00669439j 0.0182505+0.0198724j 0.0209648-0.107382j -0.0556297-0.0112888j -0.0485512-0.000276889j 0.0388255+0.0333j -0.0612447-0.015833j -0.0708679-0.051294j 0.0733289-0.0902005j 
-0.0160841+0.086539j 0.0759286-0.0220458j 0.0864515-0.0700672j 0.090987+0.122606j -0.0805843+0.019153j -0.0452058-0.0348896j 0.04075-0.0817884j 0.0516727+0.000167278j -0.0393006-0.0818035j -0.0443902+0.0336642j -0.0792865-0.0230807j 0.0959121-0.120733j 0.0864914+0.0739465j -0.0742825-0.0249514j -0.0125452-0.0853087j 
-0.084897-0.0465535j -0.0697617+0.0549811j -0.00310756-0.12658j 0.0671586-0.0127692j 0.0789007+0.0217177j 0.0325177-0.0184788j 0.0399358+0.0837128j -0.0101558-0.00200046j -0.0733717+0.0578348j 0.0216237+0.0316703j 0.0808427+0.0158807j 0.0521033+0.0418404j -0.0592409+0.110353j 0.0351289+0.0823456j -0.0983486+0.00240781j 
-0.0697953-0.0925349j -0.072647+0.0469312j 0.0626611-0.0161487j -0.0383409+0.0336268j 0.0490298+0.00070837j 0.0555834-0.0110316j 0.0192623+0.106918j -0.0183463+0.0200246j -0.0170655+0.00574094j -0.00539011-0.00287293j 0.0729647+0.00950988j 0.0488835+0.124076j -0.138807+0.0650494j 0.0184155+0.0331052j -0.0141804-0.023196j 
-0.00618697-0.00225878j 0.0116016-0.0160818j 0.0332485-0.000646386j -0.0301337-0.0191347j -0.0318939+0.0300806j 0.0305601-0.075602j -0.0189186-0.000442657j -0.0620807-0.00220749j 0.00036951-0.0520616j -0.0262842-0.0249022j 0.0228634+0.010746j -0.0169718+0.00143072j 0.041624+0.0186006j 0.0247711+0.018188j -0.0492684+0.0113021j 
0.00898598+0.0147629j -0.00657912+0.0309604j -0.0544294-0.0178739j 0.0619881+0.00380526j -0.0110043-0.0825677j 0.0270429+0.0720885j 0.0245404-0.0243352j 0.0384943-0.0355783j 0.0544959+0.0111395j 0.0502344-0.0231234j -0.0603885-0.000451848j 0.0151067+0.0234038j -0.0640158-0.0275935j -0.0437167+0.0203814j 0.0295467-0.0345508j 
0.00384884+0.024685j -0.0125154+0.00181173j -0.0419451-0.0720765j 0.00658721+0.00239285j -0.0523205-0.00191496j -0.0388652-0.0969264j -0.00603897-0.0178361j -0.0761788+0.0557367j -0.023949-0.104612j -0.0364105-0.040687j -0.0372775-0.00125786j 0.0109986+0.0706164j -0.0058894-0.0676754j 0.0263368+0.0315029j -0.0307777+0.0592869j 
-0.0304152+0.0207678j 0.0241964-0.0251056j 0.112344-0.0142615j -0.0593493+0.0409788j 0.0683162+0.0155196j 0.0757138+0.00374262j -0.0381283+0.0575676j 0.016176+0.0019822j 0.0361398+0.0557039j 0.0770185-0.00496217j 0.0677061-0.0149802j -0.058565-0.0395073j 0.114092+0.0146478j -0.0225447-0.0258267j -0.029539-0.0192166j 
-0.00559867+0.0469238j 0.037944+0.0341659j -0.0162136-0.00755293j 0.018616-0.00559627j -0.0320679-0.0560899j 0.106904+0.0639446j -0.0530045-0.00565357j 0.0224466+0.000105749j 0.0531015-0.00619848j 0.108269-0.0637416j -0.0325621+0.0562377j 0.0183237+0.00607531j -0.0162876+0.00670973j -0.0385383+0.0330608j -0.00447029-0.0471125j 
