0.0327825-0.0852753j 0.11739-0.0576952j -0.0510733-0.0041669j -0.118609-0.000859372j -0.0512708+0.00336283j 0.115441+0.0599307j 0.0289576+0.0841759j 0.0751672+0.000294059j -0.0725794-0.0910999j 0.0229547+0.0797193j 0.0187563+0.103622j 0.00401446-0.00674553j -0.0190713-0.000699118j -0.00409526-0.00598596j -0.0200817+0.10326j 0.0244047-0.0795117j -0.0738179+0.088573j 0.0730025+0.00249156j 
0.149923+0.0586622j 0.0115931+0.0762698j 0.0395233+0.131526j -0.0409621+0.000285835j 0.0407522-0.129177j 0.0152969-0.079459j 0.14991-0.0557377j -0.00552803+0.0259904j 0.0165706-0.00731654j 0.0122629-0.00646534j -0.00309821+0.0101658j -0.0114592-0.000181789j 0.0252189-0.000238985j 0.011628+0.000176735j 0.00272287+0.010004j 0.0119749+0.00637416j 0.0167838+0.00745221j -0.00583596-0.0257669j 
-0.0250942-0.0307837j 0.00677017+0.108838j 0.0959083-0.145245j 0.0289948+0.0649418j 0.00538298-0.0244004j 0.00628664-0.0610216j 0.128747+0.0852391j -0.0145663-0.0327511j -0.0249387-0.0557756j -0.0359848+0.111279j -0.0360063-0.0469283j 0.0121044-0.0238106j 0.0096015+0.00713699j -0.0731778+0.0441388j 0.0149325-0.0108484j 0.0251076-0.0153429j 0.0249986-0.0345116j -0.0840093-0.0665269j 
0.0455567+0.0984475j 0.0339811+0.0109681j -0.111047-0.0739557j 0.0948296+0.000884362j -0.112656+0.0746049j 0.0340557-0.0129244j 0.045126-0.0993516j 0.0294985+0.0655294j 0.0658537-0.042996j -0.0748259+0.00931851j 0.00592611-0.040817j 0.0873894-0.0359904j -0.00330594+0.000523644j -0.0872646-0.0372034j -0.00355191-0.0398613j -0.0758726-0.0106108j 0.0640271+0.0454314j 0.0312329-0.063972j 
0.0920449-0.0267603j -0.0095457+0.120175j 0.0558736-0.096023j 0.0678056+0.0171414j 0.00967603+0.111329j 0.0457488-0.111125j 0.0718901+0.0663222j 0.0839336+0.00101023j 0.00794719+0.0119921j 0.0200117-0.0960315j 0.0298619+0.0476103j -0.0505989-0.0330656j -0.0151212-0.00254097j 0.0587729-0.00747931j -0.0490627+0.0287907j -0.0232002+0.0964543j 0.0106437-0.00765164j 0.076134+0.0345325j 
-0.128386+0.0832223j -0.00237966-0.0617256j -0.00521184-0.0243064j -0.0298879+0.0627135j -0.0968599-0.147377j -0.00784674+0.107722j 0.0257647-0.0332188j 0.0840878-0.0646836j -0.0219319-0.0351696j -0.0251676-0.0145957j 0.0137362+0.009394j -0.0734195-0.0451238j -0.00925223+0.00837573j 0.0112701+0.0247947j -0.0364786+0.0453558j 0.0345038+0.111577j 0.0254117-0.0530149j 0.015131-0.0342315j 
-0.0143046+0.0019081j -0.0165693+0.0527705j -0.0168775+0.00802014j -0.12436+0.0687678j 0.088296+0.0861203j -0.004665+0.116547j -0.0427401-0.126578j -0.0131834+0.0062509j 0.0193056-0.0519725j 0.00482071-0.008381j 0.107734-0.103682j -0.0591403-0.00787106j 0.146077+0.0240427j -0.0728574-0.0110394j -0.0098239+0.0575592j -0.0223411+0.0457817j -0.0484747+0.075604j 0.0158691+0.142767j 
-0.00782911-0.0160707j -0.00608045+0.0885667j 0.0160031+0.0885694j 0.0907944+0.17305j 0.0448975-0.0441672j 0.160951+0.0784973j -0.101764+0.0464015j 0.00399086-0.0319687j 0.0362699-0.0720786j -0.0725535-0.0109862j -0.0216881+0.00777228j -0.0628934+0.031146j -0.0669927+0.00280258j 0.122532+0.0457114j -0.0128867-0.0866018j -0.067041-0.0235422j 0.0392037+0.0634341j -0.0277111-0.0405171j 
0.0185738+0.0388344j 0.0573018-0.0851579j -0.0484472-0.0390654j -0.0280557+0.10416j 0.119343-0.136484j 0.0204643+0.000561666j -0.167319+0.0186214j -0.00476652+0.0266238j -0.0312719+0.0702826j 0.053163+0.0198422j -0.0002289+0.033113j 0.0630278-0.0220593j 0.0019928+0.0140481j -0.069117-0.0508945j 0.00248971+0.0539355j 0.0490169+0.008696j -0.0187302-0.0785452j -0.00227154-0.00354225j 
-0.0217882+0.0800874j 0.106849+0.0784501j 0.118866-0.0933345j -0.00682994+0.00287977j 0.121449+0.0906311j 0.109009-0.0814009j -0.0263637-0.0787824j -0.0112269+0.0288888j 0.00198118+0.0385789j 0.00458362+0.0149407j -0.0146691+0.0204285j 0.001434-0.0079373j -0.0675339-6.20605e-05j -0.00203159-0.00752542j 0.0151603+0.0205561j 0.00605325-0.0131082j 0.00312099-0.0388991j -0.0116049-0.0289959j 
-0.00454094+0.0767212j -0.0900213-0.0756231j -0.0085555-0.0587891j -0.220256+0.000637289j -0.0050431+0.0566236j -0.0933152+0.0744386j -0.00473392-0.0792435j -0.0346576+0.0631962j 0.046176+0.00457996j -0.0642926+0.0346437j -0.0369801-0.00310445j -0.0983631+0.0291502j -0.209218+0.000302582j 0.0974353+0.0284674j 0.0372392-0.00230503j -0.0651382-0.0349812j 0.0458723-0.0030449j -0.0332432-0.0629224j 
0.0711277+0.0675925j -0.0802734+0.0147539j 0.0276254-0.094769j -0.00502546-0.000871662j -0.0798443+0.0585035j -0.011623-0.0787981j 0.0887206+0.0465418j 0.0450426+0.0828296j 0.0355498-0.0062612j 0.0169753+0.00429967j -0.062515-0.111881j -0.0602192+0.063337j -0.0247976-0.0177941j -0.0401569+0.0785568j 0.126737+0.0229822j 0.0110802+0.0135053j 0.00240442+0.0351587j 0.093442+0.0162554j 
0.165383+0.0164328j -0.0237305+0.00185522j -0.122357-0.13237j 0.0325919+0.106963j 0.0462451-0.0407579j -0.0585576-0.0841447j -0.0170721+0.0427891j 0.00284179-0.00194217j 0.0201085-0.0781715j -0.0465865+0.00717422j 0.00221554-0.0553577j -0.0692293+0.0515803j -0.000684436+0.0140687j 0.0615399+0.0215749j -0.000716384-0.0328042j -0.0539682+0.0184919j 0.0298933+0.0701434j 0.00615154+0.0286511j 
-0.101229-0.0367487j 0.151968-0.0921076j 0.0511416+0.0383129j 0.074004-0.183461j 0.00687426-0.0879692j -0.0149492-0.0909024j -0.00521564+0.0188942j -0.0248749+0.04384j 0.0317833-0.0649232j -0.0631518+0.0287672j 0.00429609-0.0872615j -0.11876+0.0597609j -0.0678502+0.00321719j 0.0644378+0.0246681j 0.0221603+0.00704593j -0.0714473+0.0168319j 0.041772+0.0675936j 0.00847599+0.0333787j 
-0.0419007+0.12343j -0.00396181-0.116815j 0.0866321-0.0887595j -0.125997-0.0676053j -0.0159849-0.00822686j -0.0187383-0.0543007j -0.0146818-0.000961245j 0.0172387-0.139795j -0.0464729-0.0774824j -0.022449-0.045283j 0.0108807+0.0561775j 0.0731309-0.0112888j 0.145523-0.0233265j 0.0596968-0.00867161j -0.108002-0.104169j 0.00235017+0.00736678j 0.0202483+0.0528824j -0.0125853-0.00553582j 
0.00975433-0.000949218j 0.00474974-0.0190689j 0.046739+0.0217566j 0.0753116+0.00564188j 0.0193541+0.0555283j 0.100547+0.155529j -0.00619563-0.139305j 0.0129789-0.00727965j 0.00684938+0.0176447j -0.0540365+0.0079414j -0.0629199+0.0236616j 0.00488706+0.00796252j 0.0502279-0.0129315j 0.0428167-0.0316684j 0.154977+0.0598628j -0.067933+0.151299j -0.111905+0.118579j -0.0587569+0.10585j 
0.0102506+0.00486459j 0.0298749-0.0250544j 0.0863377+0.00493148j 0.059265-0.044366j 0.144845+0.0983541j 0.183392-0.00915532j -0.115356+0.0341261j 0.0192826+0.00161724j -0.0285576+0.0281071j -0.0549265+0.0352045j -0.0325974+0.0150742j -0.00131899+0.016072j 0.0811808-0.0925497j -0.0328402-0.0905561j -0.0167086-0.12073j -0.00530856+0.0381286j 0.0500736+0.0926815j 0.0640331-0.0602521j 
-0.018066-0.0192158j -0.0653627+0.0466858j -0.0935082-0.0387848j -0.0384975-0.0613916j -0.165653+0.0050893j 0.121448-0.0838789j -0.247892-0.0720574j -0.0208352-0.00261319j 0.0375999-0.0465586j 0.0671957-0.0336766j 0.0426869-0.00937685j 0.00860044-0.0179188j -0.0428951+0.0820102j 0.018707-0.000158497j 0.0455313-0.0475856j 0.102873-0.0579962j 0.0476657+0.0012232j 0.0809563+0.0644291j 
-0.00202911+0.00595407j 0.0155586+0.0360222j -0.0963245+0.0801842j -0.00721773+0.128412j -0.17217+0.15214j -0.181535+0.148167j 0.0516275+0.0301697j 0.00844546+0.00658371j 0.000445756-0.006353j 0.0104503-0.0671496j -0.0509264-0.0668023j -0.00624074-0.00785841j 0.0648209+0.0365555j -0.00401878-0.114419j -0.0293886-0.0280516j -0.0848077-0.0988974j -0.0260656+0.0108991j 0.0413982-0.0702886j 
0.00474556+0.0310545j 0.0847562-0.0222281j 0.157253+0.00548276j -0.0141299+0.0221033j -0.00131843-0.0242675j -0.0325323+0.107569j 0.0257551-0.153266j 0.000775967+0.0199382j -0.0597874+0.0313059j -0.0449682+0.0576566j 0.090719+0.00188673j 0.0323754+0.0535786j 0.0288319-0.0539032j 0.0879687+0.0719455j -0.0544367-0.0634944j 0.0751752-0.0148887j 0.038518-0.0295629j 0.0684717-0.0496184j 
-0.00328934+0.0311948j 0.0725404+0.0166217j 0.066812+0.0363503j -0.123499+0.0459757j -0.0272846+0.129349j -0.136834-0.0512715j -0.0744229+0.137604j 0.00460473+0.0110362j -0.0263398+0.0156174j -0.0588796+0.00854844j 0.0506482-0.0170089j 0.0696561+0.05648j 0.0323448-0.00102583j 0.140961+0.107443j 0.050029+0.100696j -0.0219122+0.0602768j -0.0885012-0.0142713j -0.0362495+0.0363705j 
0.00757882-0.0327949j -0.119109+0.0208253j -0.0469472+0.0181102j -0.13528-0.0546471j 0.0875794+0.0725469j -0.00208893-0.0993517j -0.0248401+0.138995j 0.00882601-0.0159043j 0.0632744-0.0448351j 0.00226291-0.0598589j 0.02866-0.0452737j 0.144671+0.0397571j -0.000325134+0.0126727j 0.0468125+0.0623299j -0.000203921+0.0894095j -0.00377352+0.0129887j 0.0247037+0.00206688j -0.00828404-0.000947245j 
0.0193732-0.0496664j -0.166975-0.000504787j -0.0160168+0.00561401j -0.0376908-0.0754812j 0.0681225-0.0828389j 0.0881802+0.102921j 0.106225-0.197422j 0.0107283-0.020547j 0.0754375-0.0382138j 0.0214983-0.0624109j 0.010382-0.0472229j 0.131521+0.0353106j -0.0055199+0.00863932j 0.0164031+0.0198503j -0.0152715+0.0691053j -0.00871668-0.00317367j 0.0378473+0.0170753j -0.00262819-0.0138123j 
0.0274183-0.00748475j -0.0206224-0.0397748j 0.0797073-0.169267j -0.0907679+0.0522873j 0.0619649-0.151077j -0.00980139-0.0434941j -0.025627-0.00378419j 0.0139785-0.00393177j 0.00348194+0.0308619j 0.0063335-0.00114555j -0.0582317-0.0797394j 0.030397-0.0439207j 0.0344501-0.00419928j 0.0865004-0.156825j 0.0460626+0.00417226j -0.0541654-0.0377931j -0.070467+0.0497621j 0.00179097-0.0218347j 
0.0239504-0.0133935j -0.010163-0.0485847j 0.0661166-0.148635j -0.0163668+0.118851j 0.108622-0.0577996j 0.016161+0.0892358j 0.0263284+0.000574876j -0.00985636-0.00819737j 0.0135101-0.0110799j 0.0285342+0.0505229j 0.0292159+0.00867335j 0.0202712-0.0638091j -0.0804326-0.0149186j 0.00608887+0.0173663j 0.00685989-0.00571434j 0.0945019+0.00496067j 0.0555919-0.0337426j -0.010772+0.0234418j 
-0.148834+0.082787j 0.0834202+0.0755228j -0.0564354+0.0113024j -0.0474342+0.0031125j -0.0596646-0.00859849j 0.0730983-0.079645j -0.153576-0.0767122j -0.0802419+0.0397545j -0.00711772+0.0480068j -0.0909638-0.0190656j 0.0258174+0.0810429j 0.0598364+0.0133247j -0.0297881-0.000159224j -0.0599655+0.015894j -0.0220765+0.0794275j -0.089602+0.022073j -0.00536887-0.0476906j -0.0799886-0.0390888j 
0.150079-0.0556894j -0.0702639+0.0035463j 0.0928956+0.0131515j 0.00365213-0.0386912j -0.0940573-0.0112261j 0.062649+0.0175558j -0.132582-0.091989j 0.0919884-0.0311515j 0.0237894-0.0498548j 0.0545052+0.00895472j -0.068709-0.08394j -0.0421308-0.0498745j 0.00479237-0.0361148j -0.056273+0.0367714j -0.0860049+0.0638583j -0.0559218-0.0039472j -0.0071275-0.052319j -0.0813569-0.0544843j 
0.0336861-0.00878748j 0.0464035-0.229522j 0.0349779-0.15437j 0.173392-0.00369673j 0.0354493+0.14586j 0.0545774+0.232071j 0.0336738-0.00134332j -0.0245997+0.00439901j 0.0226276+0.0302318j 0.0236673+0.015325j 0.0360881+0.0242593j 0.0191597+0.0161473j -0.0638034+0.000121157j -0.0191031+0.0163502j -0.0367767+0.0243605j 0.0240032-0.0144788j 0.0237805-0.0294361j -0.0248192-0.00578644j 
-0.0442773-0.00706981j 0.0181683+0.141167j -0.0296261+0.088861j 0.00482802+0.198752j 0.0305082+0.0855374j -0.0115399+0.145966j 0.043998-0.0119586j -0.00739889+0.00650491j -0.0226907-0.0328899j -0.0277714+0.0057066j 0.0155966+0.00664439j 0.0060298-0.0404766j -0.000151227+0.0046791j 0.00807852+0.0410162j 0.0145643-0.00807348j 0.0278218+0.00568872j 0.022074-0.0333037j 0.00783101+0.0051963j 
0.00383155-0.00395905j 0.0152571-0.0545848j -0.0390875-0.0347463j 0.0858334-0.00164412j -0.0400663+0.0342426j 0.0166109+0.0551246j 0.00398094+0.00151456j 0.00058493+0.0139337j -0.00745507+0.0113134j -0.0461204-0.0430495j 0.0657597+0.0488584j 0.0194953+0.166606j 0.0532418-0.000254446j -0.0189825+0.168311j -0.0657296+0.0479692j -0.0470501+0.042878j -0.00845022-0.0101562j 8.09622e-05-0.0142573j 
0.0263656-0.00331787j 0.0115352-0.0882418j 0.108574+0.0514974j -0.0199056-0.119984j 0.0701513+0.146897j -0.00723873+0.0495228j 0.0238683+0.00984392j -0.0125953-0.0247108j 0.0530812+0.033376j 0.0936262-0.005185j -0.00821689-0.00261097j -0.00651896+0.0178452j -0.0812828+0.0147641j -0.0225155-0.0636652j -0.0295076+0.0102615j 0.0289918-0.0497148j 0.0146996+0.00996997j -0.0102807+0.00849918j 
0.0262471-0.000513154j 0.0157119-0.0403915j -0.0382431-0.156088j 0.0839797+0.0630037j -0.0552999-0.180987j 0.0269113-0.0401888j -0.0264506-0.00976901j -0.000221987-0.0241315j 0.0602625+0.0595808j 0.0596845-0.0282148j 0.0452373+0.00594573j 0.0624745+0.166748j -0.0348449-0.0106813j 0.024135+0.0493895j -0.0695424+0.0712617j -0.00563493-0.00255809j -0.00785747+0.0292559j -0.0140455-0.00449162j 
-0.114594-0.194592j -0.0835164+0.115505j -0.0716011-0.0796464j 0.0302037-0.0747876j 0.0115206+0.00475794j 0.168476-0.0077946j -0.0264283-0.0514807j 0.00203136-0.0165126j -0.0384373+0.0165555j 0.00866171-0.00440355j -0.0181175-0.0660253j 0.0140359-0.0171548j 0.00503017+0.00784606j 0.129498-0.0359056j 0.00791095+0.0496392j -0.022714-0.0620366j -0.0752915-0.0384494j -0.0135321-0.0212591j 
0.025949+0.136873j -0.00124578-0.103913j -0.0860537+0.0725838j 0.133125-0.0596512j 0.0439532+0.0202157j 0.121756+0.0186358j -0.0115155-0.0332087j 0.00928656-0.000858428j -0.0249214+0.00260243j 0.00343207+0.0132444j -0.00258484-0.0899142j 0.043641-0.0633976j 0.00028034+0.0124536j 0.143856-0.0425836j 0.0275563+0.0459017j -0.0025045-0.0589694j -0.0635745-0.0449108j -0.0108739-0.0167572j 
0.0795753+0.132025j 0.129731-0.0603351j 0.0320924+0.125783j 0.128242+0.0403091j -0.0638297+0.039516j -0.0694987+0.0216241j 0.00754464+0.0310576j 0.0350124+0.0368793j 0.087808-0.0127546j 0.0235331+0.0595901j 0.0513543-0.103794j 0.139706-0.106933j -0.0336179+0.000166765j 0.0733268-0.0592606j 0.0500441+0.0174276j 0.0595266+0.00689971j 0.025438+0.0151281j -0.0032923+0.0111337j 
0.0313974+0.148767j -0.0389406-0.1098j -0.00292965+0.0207432j -0.0151303-0.0216083j 0.154271-0.0135566j 0.0885287+0.0178326j -0.00058716-0.0316862j 0.0699091+0.0456912j 0.0414154+0.0304811j 0.0778833+0.0116171j 0.0494782-0.0651183j -0.0837641+0.0775875j 0.0302866+0.0515597j -0.032009+0.0554985j -0.0922793+0.00748863j -0.0470833-0.0560505j -0.0611126-0.0287423j -0.00267882-0.0206072j 
0.0453463-0.0368715j -0.1832-0.140191j -0.176663-0.153994j -0.012035-0.130095j -0.100248-0.0822838j 0.0138506-0.040292j -0.00276016-0.00652302j 0.0420627+0.0703767j -0.0227684-0.00931227j -0.0835263+0.0997584j 0.030795-0.0321645j 0.00195136-0.112529j 0.0656809-0.0357254j 0.00845214-0.00893518j 0.0499992-0.068258j 0.00939116+0.0656308j 8.97905e-05+0.00845502j 0.00925223-0.00664538j 
0.244831-0.0779972j -0.133941-0.0780084j 0.160406+0.00175279j 0.0361673-0.0644971j 0.0944738-0.0405114j 0.0712737+0.0441415j 0.0167861-0.0210717j -0.0784564+0.0641608j -0.047827+0.00431894j -0.103104-0.056058j 0.0473736+0.0473669j 0.0169449+0.000418617j 0.0433166+0.0821411j 0.0102672+0.0188072j 0.0422291+0.00898096j -0.0660346-0.0341008j -0.0401368-0.0468191j 0.0197499-0.00349171j 
-0.11097-0.0357213j 0.184432+0.0116862j 0.148732-0.0958816j 0.0606336+0.0434447j 0.0884992-0.0064142j 0.0321787+0.0243497j 0.00987554-0.00556122j 0.0617646+0.0628223j 0.0522195-0.0889424j -0.00431627-0.0386576j 0.0199578-0.122738j 0.0332565-0.088294j 0.0786699+0.0947173j 0.00189897+0.0151878j 0.0330687+0.0165065j -0.0542611-0.0370581j -0.0300575-0.0282141j 0.0190327-0.00169925j 
-0.00191428+0.136316j 0.0964471-0.161858j 0.0210562-0.0608176j 0.0757603-0.00882618j 0.0467626-0.0245968j 0.00656443+0.018987j 0.00988492+0.000313721j -0.0564638-0.102843j -0.112737-0.119299j -0.0718876-0.151884j -0.153567+0.0611954j -0.0414427-0.0341231j 0.0523419+0.0141507j -0.00480996+0.00934682j 0.0642671+0.0216326j -0.0547403-0.00675255j 0.00588928-0.017708j 0.0134539+0.00683203j 
