0.0176825+0.051356j -0.0730219-0.0953026j 0.0199329+0.0461314j 0.0589682-0.117202j -0.0421171+0.0386025j -0.100274+0.149844j 0.0414006+0.00697011j 0.0897067-0.0239694j -0.145845+0.151786j 0.0191829+0.0579467j -0.183957-0.0541421j -0.0391557+0.010065j -0.100773+0.0872215j 0.0757484-0.0879317j 0.0132336+0.140622j 0.228491+0.196405j -0.167181+0.0351154j -0.0448982+0.483761j 0.220414+0.0434899j -0.117339-0.00914233j -0.303053+0.312093j 0.276369-0.258555j 
-0.0916841-0.111961j -0.0297664-0.0602635j 0.0252317+0.159928j -0.0302141+0.205081j -0.041603-0.0590488j 0.0579449-0.0723028j 0.0251846-0.0553481j 0.0173223-0.0434658j -0.106277-0.0559492j -0.0485464-0.0315628j -0.013425+0.0623857j 0.0858864+0.0964017j 0.0498828+0.0983672j 0.373391-0.0816639j 0.125017+0.0229946j 0.169308-0.20834j 0.192992-0.00130765j 0.335645+0.245542j -0.0794852+0.09401j -0.0723789+0.257808j -0.000418008+0.176169j -0.214622+0.202343j 
-0.0271256+0.00540159j -0.189647-0.114655j 0.0849583+0.110248j 0.0187885-0.0730993j -0.0757886-0.0208654j 0.054999+0.146332j 0.0760058-0.0927523j 0.0442852-0.136453j -0.00454065+0.0903115j 0.072453-0.0526886j 0.239737-0.19237j -0.23836+0.0195776j -0.116221-0.0991464j -0.201244+0.187589j 0.12335-0.0655595j 0.329966+0.0810066j 0.190237-0.190158j 0.0977096-0.0170788j -0.0969075+0.309762j -0.0439618-0.267507j 0.128222-0.26867j -0.502009+0.0865868j 
0.17133-0.00225614j -0.150353-0.000571523j -0.0690737+0.00399694j -0.0597758-0.0146131j -0.125565-0.149768j -0.019535-0.187886j -0.0920373+0.0903016j -0.0259994+0.158374j -0.196634+0.0979702j 0.0741138+0.00478596j -0.0127426+0.168255j -0.118+0.174326j 0.167309+0.139142j -0.218925-0.181266j -0.0111475-0.312405j -0.00222901+0.153932j 0.0820171-0.027201j 0.0116485+0.130964j -0.38526-0.173427j 0.030221+0.316533j -0.316807+0.141152j -0.0910171+0.306946j 
-0.0480669-0.0144332j -0.0363149-0.0724236j 0.0880019+0.0873302j 0.0609657+0.0731033j 0.0462837+0.0651425j 0.0892216+0.0381983j 0.00910184+0.176878j 0.0460804+0.0674618j 0.0554923+0.109111j -0.210144-0.139347j -0.0429048+0.111463j -0.160515-0.140532j -0.166435+0.327558j -0.0507396-0.132778j 0.255861+0.108376j -0.244558+0.0746954j 0.214611+0.03691j -0.171523-0.220097j 0.151084+0.028168j 0.135117+0.110667j 0.115429+0.0759373j -0.0689359-0.0409674j 
0.192634+0.000204924j -0.0653579+0.053333j -0.0263386-0.106608j 0.0130882-0.125502j 0.101525+0.0369838j 0.091275-0.146597j 0.12095+0.0902882j 0.050226-0.0308068j 0.051946-0.231429j 0.0778599-0.130491j -0.119741-0.304075j 0.116897-0.231461j 0.147052-0.370977j 0.145687-0.167172j 0.303378+0.221213j -0.11231+0.290609j 0.207129-0.0316521j 0.196696+0.0733638j -0.0598708+0.301024j 0.0807842-0.16309j -0.168419+0.0620168j 0.0261418+0.141155j 
0.0289901+0.0707888j -0.113747+0.0350953j 0.0302302-0.0127694j -0.123011+0.0815095j 0.18704-0.05817j -0.0483119+0.108518j -0.0351476-0.0203791j 0.0139907+0.187084j -0.195264+0.0775627j 0.424979+0.179613j 0.25128-0.125j -0.0347871-0.0748292j -0.175293-0.0752688j 0.045838-0.0440601j -0.289741+0.227959j 0.0204958-0.215265j -0.081505+0.0690782j 0.0630667-0.0524732j -0.0202438-0.0150285j -0.0533508+0.0669459j -0.0674941-0.0359678j -0.0996964+0.0637023j 
-0.103241+0.0669262j -0.00854305+0.159483j -0.0918061-0.0793462j -0.190423+0.0389318j -0.0266896-0.158033j -0.072599-0.230666j 0.0265413+0.0520005j 0.194118-0.142566j -0.146778-0.0639904j -0.139058-0.168411j -0.279756+0.00572142j 0.0522065+0.00106984j 0.144191-0.168661j -0.139927+0.0628539j -0.198677-0.146129j -0.0268939+0.049852j -0.0581644+0.22813j 0.0292897-0.150742j -0.203875-0.0263743j -0.0857735+0.0946626j -0.00581251-0.155418j 0.0980395+0.0854657j 
-0.104547-0.0607003j 0.0574164-0.0429632j 0.0548976+0.0676453j 0.0151766-0.0179966j 0.0584364+0.0575333j 0.0765071+0.0722756j 0.0255241+0.21002j -0.291235-0.230271j -0.0437335-0.0421812j -0.174336+0.0774213j -0.246228-0.121215j 0.0403906-0.0705265j 0.416312-0.182734j 0.198187+0.0814516j 0.0147962-0.187311j -0.0218246+0.0156485j 0.0459678+0.105241j 0.195072+0.0641191j 0.122604+0.084108j -0.0392272-0.0152682j 0.115804+0.0298389j 0.0171864-0.0727113j 
-0.00667152+0.148702j -0.173908-0.0537738j 0.0740624+0.146569j -0.0691442-0.312137j -0.191538+0.0828216j 0.211206+0.0260731j 0.118153+0.298133j -0.297902+0.229648j 0.14307+0.147367j -0.145112-0.370279j -0.118416+0.2986j 0.120051+0.219608j -0.0780974-0.14657j 0.055487+0.222612j -0.0490282-0.0158226j -0.12255+0.10365j 0.0951191+0.139749j -0.0942705+0.0416455j 0.0140222+0.137703j -0.0213808+0.098143j -0.0845485-0.048316j -0.186441+0.00547386j 
0.0645493-0.0302646j 0.116149-0.0756757j 0.139674-0.1213j 0.13244-0.0156237j 0.176385-0.218239j 0.218542-0.0358982j 0.244923+0.0735064j -0.258195+0.105167j -0.0515894+0.13894j 0.169188+0.331805j -0.0463499-0.121993j -0.15456+0.132616j 0.210286-0.145238j 0.0605052-0.109489j -0.0535448+0.0704138j -0.0081689+0.168888j 0.0847124-0.0271463j -0.0391236+0.0525328j 0.0677928-0.0815543j 0.0834031-0.088191j -0.0292471+0.0689545j 0.051074-0.0231169j 
