-0.0100529-0.0202553j 0.00811082-0.0493132j -0.00446994+0.0554923j 0.00703232-0.00481167j 0.000689631-0.0295045j -0.00393446-0.0113433j -0.00442261-0.0051855j 0.00261067-0.0557252j -0.00101416-0.0468589j -0.00435118+0.0147684j 0.00384481+0.0603239j 0.00376852+0.0166127j 0.00135217+0.0234791j -0.000407304-0.0501064j 0.000207424+0.0460033j -0.000817441-0.0443815j -0.00279842-0.0311428j 0.00253677+0.0078241j 0.000289494-0.0783248j -0.00146316-0.0740718j 0.00163573-0.0883878j -0.00312389+0.00636675j 0.00250022+0.0859697j 0.000621818+0.0552424j 0.00396897+0.0598313j -0.000728101-0.0111791j -0.0023357-0.0208467j -0.00145778-0.0637078j 0.000494661+0.0550399j 0.000416401-0.0241884j 0.000956216-0.103986j -0.0011335+0.036101j 0.00158282+0.117901j -0.0018429-0.0636168j 0.000149416-0.012523j 0.0015716-0.0295595j -0.000530494+0.0514429j -0.000710027+0.0289751j -0.000757573+0.0429775j 0.00228826+0.0675855j -0.000516398-0.0197063j -0.000928027-0.0334562j -0.000996556+0.0234288j 8.63966e-05+0.0473897j 0.000768037-0.0242338j -0.00205592-0.0124636j -0.000153576+0.0422358j 0.00334832-0.0220912j 0.00357239-0.0283413j 0.0035907-0.0563478j 0.00137054+0.0159115j -0.00170856-0.0127012j -0.00100615+0.0467571j 1.8408e-05+0.0288415j 0.00386092-0.0535788j -0.000292709-0.0166012j -0.00473091-0.00348367j -0.00254431+0.073374j -0.000781481-0.0182008j 0.00245186-0.0454182j -0.00214261-0.00812314j -0.00608897-0.0221979j 0.00103449+0.021693j -0.00228154-0.0370165j 0.00101953+0.0704697j -0.000434798-0.0142803j 0.000681448+0.0929252j -0.000277971-0.369249j 0.00139267-0.227853j 0.000180015+0.210526j 2.16895e-05-0.0682773j -0.00223774-0.149658j -0.000228797+0.146992j -0.00425211-0.3725j 0.00384067+0.205417j 0.00235477-0.0405845j 0.0022342+0.107507j 0.000587499+0.0183791j 0.00400101+0.24454j 0.00209561+0.0207736j -0.0038189+0.0838774j 0.00830977-0.0257423j -0.00246945+0.0480138j -0.00993469-0.0588015j 0.00720964-0.00835555j -0.0166747-0.0254047j -0.00195993-0.102435j -0.0158306+0.102009j -0.0409056+0.0234853j 0.00574675+0.131935j -0.0374558-0.0181585j -0.0123556+0.342416j 
-0.00697541+0.0480131j -0.00940919-0.0233858j 0.00707735+0.00324554j 0.00509195-0.0488965j -0.00451097-0.0147434j -0.00322136+0.00414703j 0.00133904+0.0722289j -0.00280223+0.00216973j -0.000176428-0.00845698j 0.00316756+0.0634965j 0.000820312-0.0364074j 0.00246915-0.0345327j 0.00282396+0.0440434j -0.00261243+0.0366007j 0.00359458-0.0247419j 0.00142377+0.0292952j 0.000131975+0.0513015j 0.000619158-0.0090619j -0.00209921-0.0130616j -0.00110956-0.0019797j -0.00282823-0.0538015j 0.00175079+0.0424459j 0.000391738-0.0406763j 0.00327971+0.0261984j 0.00222444-0.00071237j -0.00244448-0.019856j -0.00128679-0.0319095j -0.000173885-0.0497102j 3.45495e-05+0.0419852j 0.00103669+0.0679111j -0.00225065-0.108682j -0.00185949-0.0721409j -0.00241132-0.0955292j 0.000997527-0.0826357j -0.000169587-0.0238667j -0.00112009+0.0687793j -0.00243304-0.00996168j 0.00076342+0.0344574j -0.0015084-0.0329534j 0.00128573+0.0928275j 0.00181479-0.0308445j -0.00308904-0.00850375j 0.00198185-0.0409579j 0.000670751+0.0483892j 0.00152015-0.0618542j 0.00138922+0.0458511j 0.0016123+0.0587141j -0.00114525+0.0138575j -0.000925358+0.0574303j -0.00084811-0.0318029j -0.00161844+0.0141606j 0.00142883-0.0647j -0.000251995-0.0219818j -0.00260894+0.0379502j 0.00284025-0.0711065j -0.00702246-0.0121808j 0.00130871-0.043591j 0.0017876+0.175729j -0.00113075+0.0301727j -0.00493035-0.034622j -0.00173736-0.0440114j 0.00120823-0.0799975j -0.00222493+0.100611j -0.00284259-0.00229168j 0.000765066-0.0438826j -0.00358823-0.0513535j 0.000621878-0.083433j 0.00208241+0.259204j 0.00094731+0.154592j -0.00168935-0.00645942j -0.000945963+0.245263j 0.00301132-0.0886897j -0.00249139-0.00745987j -0.00116788-0.462196j -0.00229443-0.145114j 0.00235142+0.207942j -0.00192594-0.0293092j -0.00195901+0.178602j 0.000300467-0.0534923j 0.00129975-0.0891885j -0.00849031-0.0936776j 0.000316592+0.114326j -0.00745574-0.077092j -0.00442415-0.0355187j -0.00329488-0.0141472j -0.00383353-0.119928j 0.0365252-0.035592j -0.00234678-0.0686303j 0.00507885+0.143228j 0.034144-0.0325916j -0.0129584+0.337925j 0.0367871+0.0227564j 
0.0044572-0.0336977j 0.0101845+0.000351561j 0.00428793+0.000955266j -0.00267315-0.0216391j 0.00223501+0.0459854j 0.00509346+0.0175357j -0.00650703+0.0626524j -0.00506147-0.0539597j 0.00215234+0.165108j -0.0022552-0.00361657j -0.00367378+0.0397594j 0.00372629+0.0684252j -0.00478995+0.025349j 0.000857277-0.0117507j -0.000229725+0.0251381j -0.00104469-0.0243445j 0.0021673-0.0257205j 0.00104228-0.0535953j -0.00201458+0.0327887j 0.007456+0.0228921j -0.00127783-0.0244481j 0.003122-0.0762376j 0.00093352-0.0276532j -0.00138987-0.0456473j -0.00250852-0.0925184j 0.00169315-0.0277782j -0.0032735-0.0178036j -0.000977748+0.0995476j -0.00386672-0.181422j 0.00301412+0.0814036j -0.00232548-0.0863276j 0.00474223-0.128976j -0.0025357-0.222955j -0.00107425+0.0916801j -0.000823778+0.0295841j -0.00244386+0.0722802j 0.00218868-0.0723885j 0.00120328+0.051621j 0.00271279-0.188967j -0.00336163-0.0175746j -0.0023099+0.0890456j 0.00245434+0.00521077j -0.000187632-0.0225136j -0.00360552+0.00473538j -0.000778571+0.0153142j 0.000508074+0.0946318j -0.00517831+0.0659031j -9.3016e-05+0.0470865j 0.00224715+0.071264j -0.00106628+0.0914853j -0.00251588-0.124988j -0.00261583+0.155433j 0.00348792-0.0222462j 0.00390874+0.115206j 0.00107227+0.309435j -0.00550644-0.19556j 0.0022503+0.0822527j -0.00737586-0.0902257j -0.00117599+0.048548j -0.00917355-0.118692j 0.00791186-0.0761162j 0.00788959-0.0353856j -0.00413812-0.150461j -0.00324505-0.0661623j 0.00817676-0.0746734j -0.000675791-0.0323214j -0.00104372-0.109481j 0.00229206-0.0152826j 0.00600597+0.0214623j 0.0071938+0.044095j 0.000705533-0.0683379j 0.000493074+0.0722704j 0.011781-0.0345604j -7.36458e-05-0.175285j 0.000969775+0.0213589j -0.0101263-0.120812j 0.00125583+0.0841953j 0.0152261-0.0547747j -0.000298921+0.160414j 0.00592743+0.0343132j 0.00862398-0.0218128j 0.014827-0.0635618j -0.0176007-0.0258078j -0.00196723-0.0881041j 0.028594-0.140009j 0.0250355+0.130996j 0.00329883-0.114455j -0.00793964-0.077708j 0.0444392-0.0310128j 0.0115247-0.220386j -0.00533591-0.0258008j -0.00614226+0.0974685j 
-0.00664133-0.00123719j 0.00558132-0.0211248j -0.000258146-0.00877251j -0.00865464-0.00119364j 0.00344034-0.00235355j 0.0018863-0.057759j -0.00141991+0.0133719j -0.0105989+0.0434502j 0.00329463-0.0388159j 0.000674069-0.0214023j 0.000823987+0.071411j -2.1868e-05-0.0133852j -0.00116735+0.053694j 0.00184441+0.00755892j -0.00395506+0.0162003j -0.00353014+0.0169303j -0.000834272-0.0104115j 0.000262686-0.0429138j 0.000370306+0.0534088j 0.00307055+0.0187086j -0.00315437-0.0704028j 0.00103097-0.0632489j 0.000659822-0.0273696j -0.00416825-0.080224j -0.00490456-0.0856975j -0.00181069+0.0409273j -0.000984376-0.0290099j -0.00378389+0.0828881j 0.00560638-0.0761906j -0.00158772-0.139105j 0.00456466+0.156091j 0.00361307+0.152825j 0.00216961+0.0963454j -0.000195683+0.152408j -0.00128369+0.0614146j -0.00345142-0.116191j -0.00327382+0.0427693j -0.00161318-0.0328486j 0.000239605+0.0327426j -0.00159899-0.0726139j 0.0016374+0.0700215j 0.0034996-0.0406255j -0.00149536+0.0835415j 0.000377154-0.0124636j -0.00470249+0.0770943j -0.000611254-0.0986666j -0.0025002-0.0145559j -0.00233374-0.094572j -0.00382741-0.160692j -0.00679346-0.13763j 0.00371252-0.0664108j 0.00478916+0.188326j 0.00526309+0.0341559j 0.00932371-0.0578646j -0.00297917-0.187583j -0.000108103-0.136721j -0.00496499+0.149731j 0.0070936-0.216255j 0.0122223+0.164828j 0.0170617-0.0172581j 0.000761406+0.0239941j -0.00808954+0.217823j 0.00491315-0.0124719j 0.00604419+0.0317716j 0.0114198-0.039725j 0.00620923-0.0639188j 0.00294558-0.0789737j -0.00822909+0.0762321j 0.000420902-0.0186743j -0.0022495+0.0414529j -0.00401193+0.0454164j -0.00933571-0.0363971j -0.00791069+0.0147819j -0.00646616-0.190128j -0.0100222-0.079207j -0.0141977-0.0178238j 0.00272737-0.0842441j -0.00124513+0.0825334j -0.00357925+0.0230166j 0.0100263-0.134123j -0.0150796-0.0225019j 0.0207348+0.0864228j 0.015012-0.0760349j 0.0295084+0.0486688j -0.0172865-0.0855693j 0.037409-0.106578j -0.0258732-0.0144175j -0.040951+0.0131473j 0.0102857-0.243297j -0.0243549-0.00097938j -0.00511744+0.0954716j 0.00072392+0.0205189j 
0.00163828-0.00787371j 0.0032593-0.00573413j 0.000315644-0.0209688j -0.0117887+0.0175049j -0.000410939-0.00151205j -0.00249482+0.0362405j -0.00500636+0.0926284j -0.00628995+0.0337028j 0.00390647+0.176567j -0.00409885+0.0369066j 0.000446652+0.0700132j -0.00484125+0.113873j 0.00199908-0.0162189j -0.00732485+0.00145073j -0.00424286+0.0883361j 0.00290472-0.0217075j 0.0038283-0.147149j -0.000672709+0.0684307j 0.00553904+0.0486691j 0.00800585+0.159293j -0.00460747+0.0664353j -0.00461017-0.13559j 0.00132409+0.234124j 0.00637779+0.0817197j -0.00370892-0.290289j -0.00275245-0.0898649j -0.000967141-0.000599757j 0.00589249-0.0675546j -0.00148287-0.0350569j 0.00151078+0.00846412j 0.00154353-0.0992875j -0.00625493+0.107273j 0.00148215-0.0383008j 4.55689e-05+0.0316068j 0.000743806+0.0292298j -0.00159156-0.0415964j -0.00107027-0.0347292j -0.00829599+0.0616791j 0.00688649+0.0259342j -0.00727709+0.0703114j -0.0054008+0.0453806j 0.0120068-0.035298j 0.000310331+0.051487j -0.00368245-0.0767446j -0.00613101+0.00505948j -0.00311881+0.0223637j -0.0025394-0.0790014j -0.0136191-0.103917j -0.0117175-0.126244j -0.00463384+0.0625121j 0.0151091+0.098261j -0.00664855-0.157725j -0.00166216+0.0776804j 0.0143845+0.181694j 0.00730074+0.0722394j -0.00871556+0.206289j -0.00411286+0.183946j -0.00575672+0.0508843j 0.0100835+0.0115829j 0.00392887-0.0607756j -0.00222212+0.0436052j -0.00518803+0.0523334j -0.00781894+0.0911384j 0.010208+0.1436j 0.00686301-0.123488j -0.00664673+0.164931j 0.00400312-0.010342j 0.00109908+0.0177068j -0.00557307-0.073855j -0.0149118+0.0552864j -0.0134215+0.0924088j -0.00228405-0.0596716j -0.00287731+0.0275062j -0.00239794+0.0114558j 0.0126068-0.0317233j 0.0287989+0.0110481j -0.00711285-0.012177j -0.0125642+0.0173181j -0.00146086+0.0013278j -0.00282023-0.079237j -0.01178+0.0551707j -0.0112258+0.0253551j 0.000966348+0.084959j -0.00766748+0.0216811j 0.0303774-0.00495925j -0.00895957-0.0379273j -0.0307484+0.113739j 0.00630752-0.173204j -0.00579623-0.0379844j -0.0130554+0.0904912j 0.00406032+0.00545659j 0.000885444+0.00938446j 
0.00684005-0.0062255j 0.00222754+0.000327082j -0.00101753+0.0299503j 0.00493879+0.0155183j 0.00546509-0.000349468j -0.00887122-0.0210949j 0.00568368+0.0246187j -0.00449071+0.00518555j -0.0020486-0.0283357j 0.00738957-0.019856j -0.00645499+0.000975168j -0.000513919+0.0265333j -0.0082657+0.0317267j -0.00664244+0.00583255j 0.00365345-0.0800182j 0.00174504+0.0957622j -0.00221127+0.0198627j -0.000294337-0.038301j 0.0052877+0.0499591j 0.00441331-0.0880044j 0.000562658+0.0877675j 0.00312676-0.020096j -0.000211613-0.0734055j 0.00828945-0.0144478j -0.00578919-0.168012j -0.00146211-0.204331j -0.00057566-0.0157131j 0.0033635-0.12083j 0.00485669+0.310263j -0.00532248-0.05287j -0.00224766+0.0254778j -0.00126601+0.169663j -0.00823938-0.0442242j 0.0018491-0.193572j -0.00237807+0.00615624j -0.0190851+0.0557507j -0.00335322-0.111646j -0.00226437-0.0919485j 0.0084666+0.0627708j -0.0035033+0.0529085j 9.21987e-05-0.0752864j 0.0144398-0.0290193j -0.000480679-0.0273988j 0.00374905-0.0811167j -0.00743523-0.0925358j -0.011512-0.0376197j 0.0149363-0.137508j 0.00224247+0.100021j 0.000423493-0.0360574j 0.00047492-0.117879j -0.00899045-0.0452212j 0.00858331+0.153629j -0.00050239+0.0632825j 0.0142747+0.0932523j -0.00340765+0.00541191j 0.0199744+0.116651j 0.00735059-0.142441j -0.000434709-0.0710722j -0.0135004+0.0740945j 0.00563248-0.00974354j -0.0118754-0.0444656j 0.00816538-0.0883334j -0.0262257-0.024854j -0.00550006-0.0995607j 0.00763186-0.0128612j -0.00763897-0.0564766j 0.0268515-0.0857768j -0.00637798+0.0528671j 0.00783538+0.019812j -0.00606767-0.0302591j -0.00771229-0.000424629j -0.00734826-0.0368062j 0.00913834+0.0358933j -0.00570181+0.00825097j -0.0199431+0.0881861j 0.0239524-0.0352815j -0.000470878+0.00250768j -0.0137278-0.00453883j -0.00235034+0.128908j 0.0237989+0.0655229j -0.0133736+0.0374077j -0.017669-0.0829381j 0.029049-0.0657844j 0.00366676-0.121024j -0.0299252-0.0686163j -0.0186612+0.010411j -0.00569508+0.132271j -0.0217886+0.0888654j 0.0140145+0.0290519j 0.00391066-0.0560689j 0.00632598-0.0134498j -0.00207663+0.0465143j 
0.0126051-0.0153301j -0.00362417+0.00965268j 0.00834295+0.0171668j -0.0073318+0.00406936j 0.00200941-0.0842227j 0.00425095-0.0348143j -0.00453911-0.116151j -0.00876513-0.000257086j 0.00503987-0.254767j 0.00358626-0.146913j -0.00440722-0.053853j -0.00847039-0.248131j 0.000658163-0.0552432j -0.00716191+0.0284176j -0.00363896+0.0452654j 0.000182763+0.0478804j 0.00503635+0.0111809j 0.00274804+0.089331j 0.0108206-0.0984542j 0.00584102+0.0247494j -0.00457501-0.240613j 0.00199193-0.00974572j -0.000168464-0.0401479j 0.00690374+0.0235912j 0.000882127-0.0146193j 0.00217312+0.146531j 0.00727641-0.103233j 0.00501535-0.119909j 0.00847652+0.0894184j 0.00317406-0.0896044j 0.000661589+0.0792818j -0.000333222+0.0636625j -0.00677571-0.0125661j -0.000206471+0.0427908j -0.00733853-0.0140061j -0.0245328-0.0314898j -0.000390633+0.0650941j -0.00120835+0.0120411j -0.000414166+0.12424j -0.0160433-0.100218j 0.00522033-0.0214832j -0.00237114-0.0100408j 0.00254171-0.00786052j -0.00372741-0.0327677j 0.00679872+0.0976986j -0.00419508-0.108645j -0.000697599-0.0947625j 0.00493496-0.00501544j -0.00495915-0.0773463j 0.0173698+0.157095j -0.00171083-0.0395859j 0.0086213-0.0219381j 0.000720868-0.00726617j -0.00472379+0.048007j 0.00249162+0.0486819j -0.00735581-0.116737j 0.00122072-0.00161102j 0.00329025+0.149036j 0.0123804-0.029203j 0.00785319-0.100031j -0.00608289+0.0795868j -0.00771467+0.140322j 0.00369854+0.0326025j 0.0030254+0.088859j -0.00357912-0.107427j -0.00481573-0.0291553j 0.00296642-0.0204211j 0.00422362-0.0334619j 0.00316157+0.00127517j -0.000358276-0.051499j 0.0100831-0.049022j -0.0125292+0.0178458j 0.00553168-0.0266481j 0.0128332-0.036956j 0.0243735+0.000348119j -0.001588-0.0561858j -0.00426672+0.0543192j 0.0184251-0.0264525j 0.00514591+0.0435385j 0.00661379+0.0693044j -0.0100829-0.0656601j 0.0110965-0.0887498j 0.0057481-0.0136627j 0.0228009-0.0426699j -0.000660305+0.05845j 0.0111014-0.100423j 0.00403715-0.0394276j 0.0179402-0.0590982j 0.0332079-0.0197195j 0.0237847-0.0273831j 0.00859274-0.0535264j 0.0172326+0.0306624j 
0.000245523-0.00847029j 0.00554562-0.0161994j 0.0024037+0.0175811j -0.00362495-0.0117309j 0.00880868-0.0240552j 0.00010453-0.0237511j -0.00434179-0.0465495j 0.00169995-0.0300101j -0.00572482-0.0771224j 0.00637971-0.0280849j 0.00763936-0.0146296j -0.0119469-0.0414355j 0.00122004-0.0429848j -0.00470265+0.0239879j 0.00617088+0.00599974j -0.000355377+0.0154747j -0.00421052+0.000645017j -0.000836429+0.0867645j -0.011817-0.0857548j 0.00849634-0.000158636j -0.00129578+0.120779j -0.000686949+0.104146j 0.00039908-0.00160531j 0.00165233+0.0427838j -0.00198796+0.0391588j 0.00414018+0.0333072j 0.0080704+0.0961587j 0.0109448-0.0258661j -0.00421754+0.027143j -0.0147583-0.0549614j -0.0113534+0.0968359j -0.00841256-0.0145281j -0.00674556+0.151334j 0.0111255+0.0336331j 0.0101477-0.0157865j 0.0321769-0.0791634j 0.00879069-0.0522618j 0.000129817+0.0149291j 0.0157908+0.0330946j 0.00844362-0.0344835j -0.0173841+0.00676928j -0.00543275-0.0257292j 0.00589447+0.0408741j 6.13998e-05+0.0105729j -0.0100362+0.0389114j 0.0144955+0.0823374j -0.00564616+0.0711795j -0.0161326-0.0537313j -0.00491017-0.150501j -0.0173383-0.0862882j -0.00242041-0.057505j -0.00657787+0.0947233j 0.0130005+0.0262318j -0.0123761-0.0513706j 0.00734587-0.0732655j 0.00729674+0.033322j 0.00826752-0.0556663j -0.0130249-0.00709287j -0.0260099-0.0596922j -0.0297921+0.123265j 0.0128951+0.0859792j 0.0242124+0.000154389j -0.00567322-0.0730312j -0.0139961+0.0182092j -0.00267135+0.036741j -0.0141003+0.0322748j 0.00133724-0.0620899j 0.00208903-0.0112133j 0.00330663-0.069412j 0.00418341+0.022109j -0.0144123+0.0305262j 0.0241965-0.0155648j 0.00692298+0.0510506j -0.0016329-0.0612201j 0.00576608-0.00468047j 0.00707331+0.0511238j 0.00383826-0.0604928j 0.0190751+0.0467029j -0.0215638+0.0325142j -0.00547267-0.0365681j 0.0224756+0.0157232j -0.0379904+0.03439j -0.0384829-0.0105594j -0.0143419-0.00505923j 0.02417+0.0891207j -0.00452928+0.0177098j 0.0147345+0.0217138j 0.0143111+0.0211999j 0.0380683-0.0501749j 0.0037415+0.0457255j 0.0160575+0.0278847j 0.0101867+0.0447786j 
0.00192392+0.00367159j 0.00400399-0.00679251j -0.00614241+0.0274795j -0.000385626-0.0143125j 0.00397633-0.0365189j -0.00505364+0.0269756j -0.00437274-0.0122697j 0.00746891-0.0337652j 0.00139023-0.0362596j 0.0107902+0.0171945j 0.00630008-0.0323381j -0.0127056-0.0480172j -0.000671542-0.0614149j -0.00519058+0.0135096j 0.00182624+0.0652046j 0.00542909-0.0156014j -0.00853022-0.0157615j 0.00310194+0.113739j -0.00655412-0.0646282j 0.00879578+0.0383564j 0.00711666+0.00522886j 0.000804009+0.128787j 0.000692159+0.0953616j 0.0042505+0.044859j -0.00449124+0.0402976j -0.00462327+0.0713775j 0.0111876+0.0136325j 0.0162061-0.0753617j 0.00959342+0.0181088j -0.0151188+0.0776999j -0.00451671-0.0508597j -0.00659108-0.119331j -0.00212533-0.0227835j -0.00430105-0.024996j 0.00555767-0.0165899j 0.0152186+0.048431j 0.00804786-0.0277714j 0.00678315+0.0408842j -0.00106858-0.00863187j -0.000572737+0.0177519j -0.0115865-0.0271623j -0.000303062-0.0153607j -0.00141271-0.0558775j 0.00811045+0.0132344j -0.0140106+0.0519253j 0.00562568+0.0235011j 0.00205154+0.0403643j 0.00531721+0.00724023j 0.00103638+0.00439821j 0.00366087+0.0804669j 0.0036215+0.0395221j 0.00342593-0.131532j 0.0140387+0.0331677j 0.00580989+0.0374314j -0.00225978+0.123573j 0.0136893+0.0351452j 0.00170062-0.0188342j 0.011982+0.154514j 0.00236889-0.0784884j 0.0197184-0.000274588j -0.00655436+0.0283458j 0.000520582-0.0451298j 0.0090741+0.00934349j 0.00620688+0.0284081j -0.0061875-0.0184003j 0.00364249+0.0430836j 0.00726412+0.0167655j -0.0141514+0.00922568j -0.00041155+0.00651402j 0.00418121+0.00613851j -0.00420735+0.0210058j 0.00266535-0.00395257j -0.0149348-0.00281961j -0.00962562-0.0422734j -0.00216935-0.00922707j -0.0264309+0.0271306j 0.0110107+0.0358336j 0.0117165-0.0124973j -0.015334+0.0300229j -0.00653816+0.0411671j 0.00298785+0.000897122j -0.00655825-0.0513146j 0.00510037+0.0284685j 0.0362879+0.00339514j -0.0302435+0.0483896j 0.0244344+0.00972691j -0.0394879-0.0135296j -0.0104077-0.0683802j 0.0167621+0.108352j -0.0393374-0.0168348j 0.0247029+0.0333397j -0.0184622+0.0342617j 
-0.0034081-0.00612483j -0.000379918+0.0157891j 0.00870181-0.020981j 0.0168739-0.0228947j -0.00291002+0.0121602j -0.00664174+0.000712443j -0.00409696+0.0503861j 0.0275291-0.0127724j -0.00252878+0.0517196j 0.00145307-0.0246464j 0.00429767-0.0716682j -0.0024524+0.00249874j 0.00323602-0.0268087j -0.0133727+0.0514205j 0.00195221-0.0274962j 0.00337325+0.00981092j -0.0108071-0.022272j -5.76813e-05+0.10672j -0.0074439-0.0443779j -0.00300381+0.0829156j 0.0104148+0.0705326j -0.00392629+0.108393j -0.000908656+0.0402309j 0.0185249+0.00418845j -0.0012817-0.114954j -0.00278237+0.0449157j -0.00270431+0.114392j 0.0136581-0.0209543j 0.00479769-0.0105344j -0.016799-0.0192358j 0.00281388+0.138833j -0.0326712-0.0248423j -0.00615575-0.0672727j -0.00494459+0.0637295j 0.0105576+0.00521272j 0.00309057+0.0169942j -0.00126069-0.0992764j -0.00162235+0.019841j 0.00102185-0.0110633j 0.00464132-0.0449339j -0.0153664+0.0626356j 0.00672273-0.0363206j 9.95285e-05+0.00757379j 0.0073562-0.0294412j -0.0124324+0.0380221j -0.00281162+0.0547j 0.0165889+0.0308279j 0.0013686+0.0125667j -0.00319507-0.137124j 0.0089482+0.0693795j 0.00783164-0.0705764j 0.00803611+0.0572349j 0.00194195-0.0462836j -0.00286041-0.0732326j 0.000423578+0.0632266j 0.00882594-0.136948j -0.00978396-0.0424092j -0.00879509-0.0150594j -0.0199554-0.0250545j 0.00200843+0.0119301j -0.0218983+0.0408095j 0.0106898+0.0882966j -0.00477517-0.0973372j 0.0143794+0.0189784j -0.0356627-0.0160307j -0.0326998-0.00847873j 0.0148974-0.0710193j 0.00315462+0.0401621j 0.0155516+0.0159963j -0.00444734-0.0114123j -0.0100697+0.000827173j -0.0109008+0.0258816j 0.0125651-0.0112846j -0.00164342-0.0607074j 0.0169787-0.0590448j 0.000385745-0.031488j -0.0105999-0.017051j 0.011598+0.0100867j -4.09011e-05+0.076676j -0.00547027+0.0309529j -0.0172337-0.00354437j -0.0139376-0.0259912j -0.00526333+0.00321465j 0.015886-0.0478541j -0.011759+0.032686j -0.0343084+0.00943831j -0.00390515-0.0450843j 0.00158082-0.0285667j -0.0456379-0.0585164j 0.00819152-0.0942999j -0.0248075+0.00349063j -0.00805438-0.0275863j 
0.00691728-0.0147678j -0.00313629+0.00654834j 0.0125696-0.016814j 0.00654375+0.00774259j 0.000662386+0.0419461j -0.0015621+0.0132323j -0.00519879+0.0697541j 0.00461706-0.00686425j 0.00105707+0.134661j -0.00591523+0.0707049j -0.000818777+0.0709761j -0.0075998+0.0476926j 0.0133784+0.0514328j -0.00256523+0.0310369j 0.0043209+0.039712j 0.00758781+0.0228315j 0.00321569-0.0266235j 0.00266596-0.0292622j -0.00710779-0.00430231j 0.015577+0.0704911j 0.00787065+0.162748j 0.00189675-0.12049j 0.000404544-0.00402221j -0.00187753+0.0204574j 0.0156227-0.0143862j 0.00511546+0.00803189j 0.0153739-0.146705j 0.0100935+0.0328169j 0.0145777+0.000480569j 0.00383573-0.0519889j -0.0131114+0.0732605j 0.00445385+0.0590563j -0.0127659-0.0124018j 0.000935084+0.0133807j -0.000514082-0.0183854j 0.00949221-0.047756j 0.0178347-0.00778642j 0.0163811+0.00158165j 0.0012358-0.00331676j -0.0128634+0.00393471j 0.00342584-0.060618j -0.0233072-0.00902075j 0.0194807+0.0104823j -0.0118326+0.03371j 0.0161925+0.0533651j 0.0219239-0.00190211j -0.0266167+0.0422108j 0.0117549-0.0595975j -0.0014949-0.0276057j 0.0117911-0.111271j -0.0120602-0.0129354j 0.00988321+0.108081j 0.0266889+0.0705067j -0.0172045+0.0507785j 0.00144867+0.0235269j -0.005826+0.107521j 0.0166254+0.0166523j 0.00829747-0.00903092j 0.0137029-0.013874j 0.0215154+0.0312325j -0.010689+0.0238484j -0.00653733-0.081154j 0.036129-0.0308528j -0.0336383-0.0225223j 0.0124494-0.0293373j 0.0144223+0.0399223j 0.00248875-0.0602485j -0.00288718+0.0473987j -0.011704-0.0270757j 0.00568961+0.00450363j 0.0171015+0.00507971j 0.020221+0.0124382j -0.0322119+0.0199385j -0.00104568+0.00264737j 0.00498504+0.039112j -0.000540252-0.0209306j 0.0225563+0.00297339j 0.00678287+0.0132639j -0.0195615+0.0879211j 0.0035093-0.0220421j 0.0246093+0.0142159j -0.0112494+0.000803503j -0.0114663-0.0497769j -0.0187687-0.00311511j -0.0227328+0.00295851j -0.0286419+0.0427425j 0.0130698+0.0695854j 3.42342e-05+0.00130886j -0.0114324-0.0278365j 0.0147962-0.0209563j -0.00720816-0.021103j 0.0083607+0.014647j 
