0.0230979-0.0404041j -0.0584326-0.0285802j 0.0526942+0.0345101j 0.0309498+0.0608311j -0.0206748-0.0351696j -0.00154351-0.0452749j -0.00191067-0.0101992j -0.00434206-3.51134e-06j -0.0111718-0.0713828j -0.000494206-0.0200021j 0.0157483+0.000756696j -0.00636413-0.000254855j 0.00116847-0.0201847j -0.0130862+0.0708648j 0.00418391+0.00139303j 0.00231039-0.0100026j -0.00313411+0.0457016j 0.0215701-0.0342147j 0.033009-0.0593765j 0.0525271-0.0310247j -0.0583257+0.0245197j -0.0192073-0.0418787j 
0.0120277+0.0862922j 0.0707151-0.0527512j -0.00655091+0.0206263j 0.0237834+0.00981985j 0.0312117-0.0510944j -0.0620945+0.0185482j 0.0227651+0.000828401j 0.0467471+0.00180852j 0.00636869-0.0496215j -0.015217+0.00366053j -0.0714016-0.000578895j 0.0488634+0.000490537j 0.0141318+0.0036824j 0.00674474+0.0496241j -0.0469843+0.00120084j -0.0237581-8.99922e-06j -0.0597663-0.0191255j -0.0300392-0.0512758j 0.0220759-0.00941969j -0.00849169-0.0214974j 0.0692239+0.0569039j -0.0169572+0.0827282j 
0.0531083-0.00973983j 0.0182812-0.0303012j -0.0670389-0.0156526j -0.0290606-0.0428529j -0.0566773+0.0246999j 0.0234083-0.00748604j -0.0145095-0.00787768j -0.00706753+0.00197644j -0.026182-0.00752827j 0.0566238+0.0379606j -0.00438338-0.0312101j -0.0340599+0.00489995j 0.00257525+0.00647076j -0.00607447+0.0200034j 0.0216902+0.0382346j 0.0187652+0.0661283j 0.016036-0.0156551j -0.00402652-0.00715126j 0.0211316-0.0317389j 0.0349395+0.00733108j 0.0119072+0.042451j -0.0639542+0.0505256j 
-0.0347144+0.0107182j 0.00910088-0.00843097j -0.00836456+0.0703476j -0.0537753+0.0333954j 0.0167189+0.0443702j -0.0130891-0.00399201j -0.0553003+0.00118932j -0.0284188-0.00778633j 0.00600177+0.012194j 0.026249-0.0378674j -0.04404+0.000330867j 0.0014524-0.000339463j -0.0262494-0.0381174j 0.00681893-0.0123937j 0.0280161-0.00686083j 0.0545247+0.00210826j -0.012257+0.00484262j -0.0190773+0.0433489j -0.0536643-0.0365143j -0.00700512-0.0694185j 0.01055+0.00764832j 0.0340185+0.0101635j 
-0.0590715-0.04682j -0.0354561+0.0432171j 0.0249884-0.00111452j 0.0236035+0.00182948j 0.0356579-0.0199346j -0.0216146-0.0092379j 0.0483753-0.0302385j 0.0339918-0.0181536j 0.0159969+0.0185825j -0.03998-0.0279814j 0.0188805+0.00478212j 0.0448081+0.0103001j 0.0476204-0.0074723j 0.0226236-0.0093536j -0.0222923-0.0305967j -0.0301937-0.0483243j -0.0237093-0.00039697j -0.0222245-0.0319347j 0.0228491+0.00912849j 0.0208858+0.012635j -0.00932716-0.0552596j 0.0740917-0.0140094j 
-0.063044-0.0532804j -0.0146117+0.0392862j -0.035552+0.00742427j -0.0195943-0.0323939j -0.00409195+0.00530065j -0.0167119-0.0157846j 0.0196236-0.0664747j 0.0227777-0.0387111j 0.00556659+0.0197555j 0.00248567-0.0070428j 0.00380074-0.0303254j 0.0343745+0.00519622j 0.0565774-0.0373535j 0.0266611-0.00646795j -0.00714123-0.00177485j -0.014783+0.007421j -0.0239333-0.00644867j -0.0552155-0.0258336j 0.0319801-0.043092j 0.0659756-0.0135733j -0.0143243-0.0304998j 0.0539662+0.0114754j 
-0.00243834+0.000439583j 0.0286368+0.010811j -0.00471059-0.0181115j 0.0374106+0.0324107j -0.0357508-0.0144987j 0.0117708-0.0622038j -0.000976126+3.14931e-05j -0.00132613+0.0213523j 0.0196086-0.0112733j 0.0326843+0.0536004j -0.00228622-0.0137858j -0.0176601-0.0199395j 0.00465799+0.00899329j 0.00432996-0.00777796j 0.0155922-0.0285486j -0.0138769+0.0212568j -0.0177085+0.0122605j 0.00824271-0.0154294j -0.0264385+0.0257058j -0.0239967-0.02837j -0.0104075-0.0249581j 0.0625726+0.00704604j 
-0.0229445-0.0145402j -0.0469959+0.025165j 0.0255902+0.0310513j -0.0541072+0.0310247j 0.0122441-0.0480243j 0.0374088+0.00232633j -0.0104459-0.0230466j -0.0214765-0.00256562j 0.0323455+0.0159187j -0.0592552+0.0504215j 0.0134485-0.000121463j 0.0100109+0.0198829j -0.0173945+0.000147495j -0.00560706-0.0042866j 0.032538+0.0164231j -0.0415737+0.00869125j 0.0109639-0.00270651j 0.0213292+0.0135154j -0.00161587-0.0265604j 0.00330387+0.00441595j 0.0647454-0.0100323j -0.0194861+0.0720427j 
-0.0340772+0.00390885j -0.0194192-0.00106858j 0.0114183+0.0265018j 0.019774-0.0201707j -0.0362032+0.0198987j -0.0891163-0.0230678j -0.0278169-0.0100838j 0.0213821+0.0044354j 0.0116821-0.0418601j 0.0708833+0.00508433j -0.014398+0.000918007j -0.00879713+0.053985j -0.00640832+7.45257e-05j -0.0257465-0.00282007j -0.0210635-0.0257618j 0.0146802+0.0572445j 0.0359359+0.0217597j -0.000555805-0.0104116j 0.0443099+0.0176081j -0.0398022+0.0616238j 0.0117922-0.0251269j 0.0214439-0.0421422j 
0.00117249-0.0203006j 0.0112619-0.0574551j -0.0647521+0.0378616j 0.00139917-0.033381j 0.00281701-0.010669j 0.00061448-0.066059j 0.0521761-0.026211j -0.0123465+0.00444244j 0.0226458+0.035767j -0.0205499+0.0124107j -0.00060363+0.000784307j -0.0788936+8.56842e-05j 0.0206163+0.0127573j 0.0235814-0.035266j 0.0118937+0.00381908j -0.0517617-0.0258444j 0.0018456+0.0669411j -0.00287793-0.0103261j -0.000810319+0.0325084j -0.0653126-0.0388102j 0.0100426+0.0558705j -0.00219541-0.0236401j 
-0.0475435+0.025767j 0.0112945+0.0543483j 0.00940643+0.0012484j -0.00610993+0.0305536j -0.0348825-0.026206j 0.00743064-0.0285479j -0.000526354+0.0207072j -0.0214334-0.00265596j 0.0157272-0.00968712j 0.0163702+0.0528338j 0.00404403+0.000168423j 0.00717623+0.000630192j -0.0162907+0.0524505j 0.0150526+0.0103683j 0.0220812-0.00277045j 0.000937137+0.0207446j 0.00739658+0.0285791j 0.0342818-0.0261035j -0.00570363-0.0293144j 0.00872961+0.00114365j 0.0145052-0.0536251j 0.047186+0.0284511j 
-0.00711817-0.0412772j -0.0165567+0.0059533j 0.00999354-0.0304578j 0.0519956+0.00653097j -0.0222526+0.000277778j -0.023213-0.0343998j -0.0510118+0.00447383j 0.0379326+0.00811075j 0.00503867-0.035472j 0.0491341+0.0238967j -0.0177919-0.0123869j -0.00033324-0.000285129j -0.038359-0.0393945j -0.0328542+0.0146315j -0.0207784-0.0329852j 0.0112682+0.0489576j -0.0401286-0.0115117j 0.00637156+0.0218285j 0.0215633+0.0478337j -0.026995+0.0182542j 0.00211622-0.0174254j 0.0409046-0.00590084j 
0.0224317+0.0437868j -0.0112424-0.0238404j 0.0384158+0.0608679j -0.0450712+0.0146057j -0.000699919+0.0115057j -0.0358446+0.0227447j 0.0153706-0.0575992j -0.0203968+0.0263045j 0.0251285-0.00216642j -0.00622199-0.000789231j 0.0157118+0.000473767j 0.00928771+0.0540087j 0.0711979-0.00450495j -0.00988415-0.0417126j 0.0211956-0.00463708j -0.0267678+0.00965295j 0.0900886-0.0233634j -0.0357039-0.0203626j -0.0189303-0.0198889j -0.00981247+0.0271939j 0.0171132-0.000968211j -0.0351345-0.00382685j 
0.0231467+0.069007j 0.0660752+0.00749642j 0.00365158-0.00436751j 0.00164602+0.0268013j -0.020195+0.0163823j 0.0110636+0.00125483j 0.043227+0.00427866j -0.0304383+0.0193812j -0.00537927+0.00471317j 0.0178503-0.00151849j 0.0133249-0.00138799j 0.00864213-0.0206767j 0.0635914+0.0444341j 0.0316747-0.0175948j 0.0217974-0.00553881j 0.00866476-0.0240657j 0.0366737-0.00488405j -0.0170427-0.0464481j -0.0548007-0.0264014j 0.025005-0.0322737j -0.0481883-0.0221093j 0.0242726-0.0161499j 
-0.0620508+0.00559563j -0.0135113+0.0243631j -0.0245033+0.027987j -0.0254314-0.0262511j -0.00895404-0.0158018j -0.0177755-0.0122029j 0.0139006+0.0219596j -0.0159214-0.0280805j 0.00412463+0.00767732j -0.00470584+0.00928707j -0.00194467+0.0144574j -0.0179427+0.0204161j -0.0329154+0.053366j 0.0185959+0.0121068j 0.00165022+0.0219285j 0.000959699+0.000746044j 0.0112746+0.0622329j 0.0358728-0.0142308j 0.0371408-0.0307111j -0.00625732+0.019679j 0.0289563-0.0107424j 0.00116403+0.00118218j 
0.00630303+0.0108337j -0.00489852-0.00147395j -0.00483-0.0163968j -0.00414087-0.0291932j 0.00881288+0.00308564j -0.0140697-0.0133503j -0.0101834+0.00541104j -0.0156894+0.0123759j 0.00940286-0.0472706j -0.0129222-0.0301526j 0.0417105-0.0098927j -0.0248816+0.0246654j -0.00562891-0.00579552j -0.0137359-0.0165362j -0.0357187+0.0264494j -0.00456655+0.00496543j -0.00120204+0.00631925j 0.0049325-0.00809091j -0.0166539+0.0132887j -0.00302139-0.0398614j -0.00684523-0.0355073j 0.0262623+0.0287166j 
