0.151003+0.178964j 0.272977-0.0833091j -0.616416-0.505654j 0.382026-0.288822j -0.0992558-0.060788j 0.130269-0.258689j 0.203628+0.519631j -0.0361778+0.0427203j -0.0658019-0.0721249j -0.0844683+0.330136j -0.215585-0.13683j 0.0999093-0.0327358j -0.00444716-0.00926983j -0.186702-0.0696368j 0.0244096-0.0426271j 0.0487625+0.0762585j 0.0455061+0.156996j 0.241329-0.0176236j 
0.204751-0.516728j 0.123279+0.264846j -0.0851785+0.0679386j 0.3728+0.295793j -0.621295+0.50414j 0.271566+0.091473j 0.14528-0.18644j 0.241595+0.0196868j 0.0505506-0.156382j 0.0495986-0.0827839j -0.0201811-0.0417374j 0.186476-0.0675747j -0.00656716+0.00927167j -0.0953633-0.0365217j 0.21691-0.132255j -0.0818971-0.331262j -0.0672523+0.0678683j -0.0400904-0.0409708j 
0.0525225+0.0344671j 0.146937+0.0227622j -0.115674-0.117768j -0.00130642+0.205322j 0.243016+0.0416743j 0.0522293+0.115216j 0.172335-0.0722481j 0.0131841-0.0582627j 0.0399967+0.139603j 0.0533009-0.203065j -0.229296+0.128061j -0.0714993+0.122721j -0.120882-0.513131j -0.0469421+0.310821j 0.300699-0.154421j 0.157444+0.138229j -0.0725374+0.125817j -0.0355943+0.320072j 
0.14275-0.148628j -0.155609-0.0925429j -0.0366913-0.0464442j -0.00135105+0.0586546j 0.0308146-0.0486307j 0.151659-0.0961159j -0.148029-0.145714j -0.215995-0.0563461j 0.0435821-0.175205j -0.294389-0.143893j 0.0152797-0.089452j -0.304841-0.333606j 0.0044157+0.088386j -0.303167+0.329599j 0.0116248+0.0849143j 0.29429-0.148099j -0.0421531-0.176051j 0.215654-0.061238j 
0.175879+0.0707465j 0.0443501-0.114776j 0.243578-0.0461442j -0.0054811-0.205007j -0.113314+0.116818j 0.148844-0.0252551j 0.0486594-0.0359275j -0.0351842-0.319865j -0.0751855-0.13024j 0.15022-0.139151j -0.300352-0.148354j 0.0470717+0.309655j -0.121824+0.51462j 0.0701844+0.131934j 0.230672+0.128991j 0.056994+0.201665j 0.0402277-0.139821j 0.0157165+0.0561117j 
-0.00745152+0.000292857j -0.0244079+0.0324285j 0.0594219-0.0202209j 0.0390475-0.0631467j -0.0683032-0.00931872j 0.118887-0.0223473j -0.0487165+0.0142495j -0.019144+0.0134933j -0.0572376-0.056352j 0.0598761+0.140919j 0.147873+0.0916668j 0.0546811-0.0497981j -0.037113+0.185784j 0.137159-0.122328j 0.016821-0.245512j 0.188681+0.0964847j 0.106752+0.162972j -0.154597-0.0355332j 
-0.00291631-0.028971j -0.00583206+0.0116123j 0.0119976-0.119851j -0.0347804-0.14784j -0.02206+0.0959046j 0.00584099-0.187057j 0.00379463+0.109798j -0.0739124-0.0226874j 0.128356-0.0395593j -0.0494457-0.041505j 0.0413457+0.09076j -0.00725092-0.0755488j -0.0761435-0.0478495j -0.204272-0.0434247j 0.00929129+0.160345j -0.0801118+0.061618j -0.19246-0.0607583j 0.00982316-0.162712j 
0.0172641+0.0616054j 0.0851529+0.0806589j 0.029954-0.0123496j -0.0235307+0.0474472j -0.0965136+0.0481571j 0.11488-0.0942494j -0.0600006-0.00116858j 0.0812109+0.0257602j -0.103134+0.0344209j -0.0365897+0.0043145j -0.147345-0.0906566j 0.00437996+0.126159j 0.0205103-0.0490542j 0.208181+0.188692j 0.0939752-0.0440975j -0.0388415-0.0307671j 0.0939314+0.0527287j 0.0599654+0.135787j 
-0.0685214-0.0240269j -0.103389+0.0214219j -0.0728248-0.0520186j -0.14319-0.124807j 0.0380774-0.0424571j -0.0855511+0.00331608j 0.0884409+0.00880354j 0.081817-0.0712888j -0.023179+0.0533484j 0.011052+0.0349492j -0.138784-0.0934808j 0.0982874+0.0133148j 0.0366943-0.0668796j 0.286405+0.13999j 0.0201762-0.0461221j -0.0372499-0.0292397j 0.0895642-0.0621987j 0.125974+0.070828j 
0.0721778-0.0224753j -0.0418992-0.0105277j 0.0236076-0.032592j -0.00998434+0.0528679j -0.0855779+0.0509192j -0.0262583-0.0571293j -0.0545338+0.0428311j -0.00259914-0.0448939j 0.0722793-0.0594511j 0.00623971+0.0323228j 0.0762506-0.100615j 0.140308-0.164155j 0.0111428-0.036702j 0.00085407+0.22427j -0.0104397+0.118873j -0.0154384+0.0309307j -0.0573365-0.0514064j -0.00932686-0.0656878j 
-0.0583407-0.0411719j -0.0197444+0.0607843j -0.0868136-0.0530102j -0.00384341-0.0556614j 0.0254616+0.0320403j -0.035282+0.0100436j 0.0749599+0.0210117j -0.0131968+0.0680231j -0.0613057+0.0497251j -0.0161587-0.0326528j 0.0112432+0.124602j 0.011236+0.219308j 0.0107245+0.0345519j -0.137876-0.16333j -0.0796952-0.0940872j 0.00465149-0.0304402j 0.0736887+0.0610618j -0.00524032+0.0430559j 
