-0.0203612+0.0466157j 0.051101+0.015268j -0.000875459+0.0228425j -0.120152+0.046831j -0.0683537-0.0186061j 0.0578079+0.0403035j 0.0662215+0.0560619j 0.0594672+0.027793j 0.0082994+0.058024j 0.0231008-0.00895576j 0.0600772+0.053964j -0.00128145+0.101125j -0.0315055+0.103191j 0.0210757-0.0150925j -0.0184766+0.0341012j 0.0797102+0.099512j 0.00525469-0.0618077j 0.0977092-0.0350681j -0.0253165+0.00877202j -0.0373376-0.016081j 0.00803317+0.00905498j 0.0311275-0.0338719j -0.0585618+0.153223j -0.0354595+0.0612563j -0.012822+0.0494434j 0.0469026-0.00773675j 0.0282669+0.165075j 0.0207596-0.038499j -0.0824978+0.00886423j 0.0969275-0.164568j -0.0704831+0.0392321j -0.0342234-0.00543621j -0.131254+0.026948j 0.0985663+0.177973j 0.144331-0.10598j 0.102494+0.164783j -0.0329189-0.00357154j 0.0459237+0.0495762j 0.131501-0.104796j 0.0913432+0.00261803j -0.0748846+0.0418964j 0.00920644+0.00948734j 0.0589265+0.143848j 0.173871+0.141482j 0.154777-0.0207353j -0.14591+0.106173j 0.0870157-0.0333679j -0.00938506+0.0686512j -0.278169-0.0903274j -0.044769+0.3133j 0.0273627+0.043987j 0.0854225+0.0167868j 
0.0516633+0.0235006j 0.028548-0.0599326j -0.121419+0.0600655j -0.0224364-0.0157847j 0.0102582-0.0188942j 0.0597888+0.0210937j -0.10436-0.0441196j 0.0979953+0.00793988j -0.0183793-0.0532187j 0.051928+0.0268002j 0.012757+0.0132583j 0.0756963+0.0842742j 0.00952939-0.0790172j 0.0265555+0.0741536j 0.0362657+0.029984j -0.0299291-0.0248747j -0.00258521+0.0263295j -0.00642182+0.0315985j -0.0477972+0.0114579j -0.0943694-0.00465638j 0.0185852-0.170947j -0.0465907-0.0226668j 0.0939603-0.0542094j 0.0335007+0.0648207j 0.0399911-0.0712721j -0.0142641-0.00901685j 0.0808563-0.0866032j 0.0824905-0.0309758j -0.103973+0.11913j -0.0824897-0.0564107j 0.0805993+0.0213978j -0.199911+0.0429637j 0.0945687+0.0576045j 0.0947441+0.0393451j -0.0155913-0.18829j 0.137227-0.117714j 0.0294754+0.0394412j -0.00365349-0.213046j -0.0456982-0.0771994j 0.0441981+0.00600924j -0.0432167-0.00960439j 0.15784-0.0213508j -0.0591961-0.0875406j -0.0115341+0.0942318j -0.0113473+0.212316j -0.0440583-0.134162j 0.150521+0.0424435j -0.120609+0.00641547j 0.0874165-0.302165j -0.298258-0.0531449j 0.118629+0.0244788j -0.0336869-0.0655863j 
0.048036-0.0140306j -0.0140431-0.0315725j -0.0243699+0.0390829j -0.0441316-0.0592779j 0.0425011-0.0239048j 0.0311513-0.00135544j -0.0278314+0.0377159j 0.0155841+0.00588753j 0.0250569+0.0385216j 0.0967418+0.0482508j -0.0842063+0.0103816j 0.0123772-0.0124628j -0.0127751+0.0878518j 0.045735+0.0333704j 0.0171714+0.0697286j 0.0810177-0.00998692j 0.0222251+0.04717j 0.0547925+0.12369j 0.0311398-0.0756925j 0.0336734-0.0160625j -0.0254006-0.102565j 0.100476-0.00292219j -0.00491342-0.00736862j -0.0571629+0.0209049j 0.0949276+0.018792j 0.0536315-0.136748j -0.242786+0.0457284j -0.126879+0.00457878j 0.152335+0.188216j 0.0854614+0.00712641j 0.0379038+0.00804709j -0.0545844-0.0691218j -0.0864722+0.0662167j 0.00334774-0.0537744j -0.0172493-0.142544j 0.0971978-0.0950797j 0.21019+0.160722j -0.0440673+0.163468j -0.195865+0.12458j 0.156799-0.0392142j 0.0206241+0.172133j -0.0181027-0.0167822j 0.0101857+0.141409j -0.0301026-0.189306j 0.0415677-0.0899706j 0.246647+0.0252724j 0.00145951+0.245715j -0.167363+0.14298j 0.0277374-0.0347155j -0.0255998-0.0283995j -0.0225505-0.0210997j -0.0477024-0.00780822j 
-0.0232227+0.0386362j 0.0402511+0.0252318j 0.0366917+0.00549145j -0.00655151+0.0629001j -0.11947+0.0435028j 0.00293944-0.00791371j 0.0165998-0.0373466j -0.0182037+0.0140698j -0.0148376+0.000628001j -0.0666482-0.0530559j 0.132462+0.0443823j -0.00330323+0.0669596j 0.0245223-0.0688064j -0.0407876-0.00840781j -0.0233021-0.154756j 0.0144646+0.107108j -0.0469307-0.0403787j -0.07239-0.0976909j -0.128878+0.0159428j -0.124745-0.0905651j -0.0941656-0.0976025j -0.0136267-0.0675423j 0.069865-0.142849j 0.065098-0.0844485j -0.0206441+0.110631j -0.0809774-0.107845j -0.0681251-0.107255j 0.0105592-0.126157j -0.0699476+0.0526801j 0.119493-0.0386202j -0.197948+0.0317532j 0.129514-0.0869294j -0.0257527-0.0736601j 0.0343001-0.0199675j -0.101698-0.0583898j 0.149842+0.00676715j 0.0224777+0.0828661j -0.0227877+0.026967j -0.0693689+0.0682028j 0.000701375-0.257907j 0.127064+0.0591264j -0.00881945+0.111943j 0.0521111-0.125162j -0.177224+0.0255969j -0.0356902-0.0192657j 0.000716978-0.218292j 0.225573-0.0822399j 0.131694+0.0688726j -0.0170677+0.0126793j 0.0104907+0.0524485j 0.0397454+0.0505616j 0.0326477-0.0227781j 
-0.00733181+0.00131905j -0.0138698-0.00967716j 0.0444981-0.0171242j 0.0027395-0.0311527j 0.0168139+0.0170165j -0.000530203-0.0604759j 0.0110381-0.00780979j -0.0500388+0.0222589j 0.0263154-0.0241804j -0.000173585+0.00123347j -0.0273375+0.000253325j 0.0141148-0.0603002j 0.0122582+0.0644912j 0.00716218+0.0389851j -0.0199058-0.0800901j 0.0730412-0.0300192j -0.0228667+0.0112214j 0.0358757-0.114984j -0.17735-0.0565782j 0.119975-0.0516978j 0.0587471-0.0684338j -0.0944261+0.154165j 0.0910537+0.117655j -0.0977685-0.134267j 0.0157378-0.00758599j -0.346115+0.0701743j 0.0459998+0.0277502j 0.00931675+0.0929487j 0.0744717-0.00832283j 0.264326+0.0430965j 0.017854+0.00321009j -0.0132725+0.0485699j 0.120731-0.262339j 0.183013+0.00494756j 0.0998053+0.202561j -0.297564+0.0108846j -0.0845629-0.014825j 0.143762-0.0985581j -0.145032-0.0706656j 0.0359524+0.05403j -0.158421+0.12445j -0.176566-0.0292084j -0.0883704-0.0604763j -0.104471-0.0402099j 0.0617354+0.0662394j 0.0200316+0.098137j 0.090943+0.0175754j 0.0446303+0.0217867j -0.0443674-0.0233968j 0.00119246-0.0280018j -0.0267486-0.0230059j -0.00944075+0.0220771j 
0.0345377-0.0136224j -0.00346813-0.0229013j -0.0267029+0.0356062j 0.00525493-0.0581712j 0.00245723+0.000163073j 0.0187447+0.0249995j -0.0575242+0.0156988j 0.00411557+0.0197703j -0.0360371+0.0223557j 0.0848115+0.0926593j -0.0614042+0.0758j -0.0226434-0.132726j -0.0268947+0.00203158j 0.0215902-0.0536421j -0.107423-0.0422297j -0.135784+0.238928j -0.0216281-0.0623382j -0.100458+0.119751j -0.031396+0.0483433j -0.0082891+0.192343j -0.0464292-0.149276j 0.0158006-0.146636j 0.0729372-0.0139019j 0.101382-0.112049j -0.0997398+0.0877082j -0.164999-0.0351286j 0.0628631+0.0751602j -0.0760425+0.10746j -0.00709015+0.118254j 0.0162958-0.150949j 0.164416+0.11548j -0.0769195+0.0310723j -0.232745+0.328046j -0.0398944+0.00953687j -0.112734+0.180846j -0.106223-0.0553801j -0.283432-0.107141j 0.0314714+0.018726j -0.0411629+0.171589j 0.116237+0.14439j 0.0725367+0.0848974j -0.0334448+0.173516j -0.0873887+0.214934j -0.0339243-0.0302176j 0.0176157-0.105407j 0.0177474-0.0049327j 0.0244512+0.0542534j 0.0490415-0.0752956j -0.0359118-0.00701284j 0.00650654-0.0279581j 0.0207608-0.019906j -0.0178643-0.0174213j 
0.0244641+0.0258646j 0.0372337-0.0192962j 0.0297966-0.000126311j -0.0168271+0.0499559j -0.0523296-0.011069j -0.00403539-0.111994j -0.0288289-0.0446591j 0.00392329+0.014631j 0.017882-0.0772283j -0.00843527-0.11059j -0.122979+0.0188782j 0.0790995-0.0732417j 0.0300124-0.0269276j -0.0429914-0.0615365j 0.0109661-0.259638j 0.0532807+0.158896j 0.00777354+0.0527867j 0.0160947-0.0680227j 0.0312552+0.0773474j 0.0411409-0.250686j -0.0592271+0.102774j -0.170293-0.138841j 0.0362082+0.0571284j -0.0858421+0.216097j -0.0370069-0.0566512j 0.119096+0.0848022j -0.031235-0.00133804j -0.158276-0.151578j 0.0380015+0.108873j 0.0472074-0.0103626j -0.00242284+0.0706127j -0.239259-0.12604j -0.16267-0.0462548j -0.0831139+0.143164j 0.0162727+0.119901j 0.0462882-0.0398727j -0.0977959-0.0932661j 0.201817-0.0178801j 0.198065-0.204218j 0.225281+0.184682j 0.0385006+0.00374078j 0.0250112-0.0713193j 0.0684694-0.06936j -0.0143586-0.112048j -0.0252775+0.043142j 0.0054883-0.0504436j 0.0504293-0.00256034j -0.0115163+0.0438372j -0.0263322+0.00191597j 0.026411-0.00239421j 0.0236262+0.00642287j -0.00547384-0.00231283j 
0.0368962+0.00224481j -0.0138836-0.0420853j 0.0504849+0.0550524j 0.0562087-0.0196904j -0.0243095+0.0296543j -0.0197288-0.0724362j -0.0399901-0.0330736j -0.0580967-0.0110777j 0.0681269-0.0326007j -0.0412427-0.0808897j -0.000539356+0.0559317j -0.0497965+0.0130911j 0.155364+0.0967169j -0.109413-0.115762j 0.0965353+0.041939j -0.144015-0.0368078j 0.036925+0.0200032j -0.147144-0.11963j -0.0458619-0.150234j -0.0429233+0.0185616j -0.0020311+0.127329j 0.0673218-0.0810804j -0.334045-0.0527704j 0.193522+0.108182j 0.163221+0.0291181j -0.000534266+0.317806j -0.194515-0.0164352j -0.0400953+0.159614j -0.157436+0.177867j 0.194672-0.0892868j 0.187824-0.178367j -0.0339196-0.123129j 0.0838133-0.0271686j -0.0542221+0.0380931j -0.160089+0.111321j 0.0309505-0.0468509j -0.0173356-0.00479887j -0.230365-0.193762j 0.053502-0.0445947j 0.123792-0.0651167j -0.074515+0.0387132j 0.0520254+0.0810989j 0.0561973-0.0426769j 0.0211308-0.0409678j -0.0584739-0.0232315j 0.0478343+0.00198524j -0.0317332-0.0639797j -0.0109415+0.0385985j -0.0515041-0.0325871j 0.0319596-0.0178597j -0.0223981-0.0446429j -0.0383857+0.0181864j 
0.0137542-0.00128505j 0.0174932-0.0197964j -0.0209389+0.0155004j -0.00763046-0.04493j 0.0407216-0.020958j 0.0601755+0.00920829j -0.0144679+0.0303602j -0.0453213+0.0401904j -0.0402259+0.0478518j 0.00872787+0.0621872j -0.0232681+0.0932018j -0.0731654-0.0203758j -0.0764077+0.109634j 0.132069+0.173032j 0.311046-0.138763j 0.0690961-0.0978852j -0.0130172+0.0477717j -0.126877+0.00265755j 0.0129824+0.105551j -0.126844+0.102521j 0.103934+0.00515329j -0.213622-0.100463j -0.00829034-0.0737268j 0.0962471+0.0473161j -0.10228+0.238129j 0.0275711+0.087601j -0.106463-0.0116045j -0.102798+0.0254628j -0.189623-0.175475j 0.204995-0.0324196j -0.260101+0.0133707j 0.120292+0.0574867j 0.109903+0.176565j -0.0271019+0.117197j -0.0939602-0.0280533j -0.0115805+0.0556632j -0.146043+0.126861j -0.0259879+0.286297j 0.0248954-0.0304489j -0.0101276-0.103084j -0.0789998-0.0775849j -0.0898111-0.00044656j -0.0117706+0.014692j -0.0390515+0.0468938j -0.0312119+0.0180422j 0.0227966+0.0200197j -0.0209795+0.0139501j -0.00826777+0.000291457j -0.033365-0.0189971j 0.0217864-0.0615531j 0.0294337-0.0229311j -0.0115644-0.018234j 
-0.00112537-0.0212672j -0.03774+0.0181815j -0.0388853-0.050912j 0.0400643-0.0506509j 0.00434706-0.00910909j -0.0711134+0.0927321j 0.0216874-0.0418593j 0.0290867+0.0804297j -0.0130094-0.0319063j 0.00605075+0.198771j -0.0340834+0.140632j 0.0964431-0.0702315j 0.217761-0.148678j -0.0264277+0.10926j -0.0324134-0.0182388j -0.149174+0.0781701j 0.0659056+0.075909j -0.0617555-0.0969327j -0.0478941-0.0640693j 0.318765+0.304108j -0.208438+0.0930035j -0.190273+0.151885j 0.00518896-0.170078j -0.0271022+0.256452j 0.103859+0.0345375j 0.0263739-0.113773j -0.0508361+0.0155288j 0.0642542-0.00528968j -0.0754386-0.0356161j -0.0296596+0.0102973j -0.124927-0.220423j -0.0310736+0.135518j 0.0343424+0.0319352j 0.00876471-0.0245844j -0.0141094-0.170437j 0.02483+0.110272j -0.0718246-0.27582j 0.131133+0.0111242j 0.0364371-0.112507j -0.0321469-0.0339617j 0.0240439+0.0721581j 0.062491+0.057427j -0.0661253+0.0432896j 0.0480738+0.0269751j 0.0781648-0.0376016j 0.0569271+0.030516j -0.0383873-0.0167925j 0.0477768+0.012027j -0.00933606+0.00806708j -0.011407-0.00288866j -0.0285395-0.0258889j -0.0336776+0.0166999j 
-0.0141835-0.00730927j -0.013883+0.0287849j -0.0118593-0.0662409j -0.0237158+0.00826293j 0.0649929+0.033952j 0.0885606-0.0165113j 0.024143-0.071418j -0.0340929+0.0349968j -0.139364+0.0457052j -0.125577+0.00989429j -0.174541-0.0220417j 0.10911+0.128549j -0.0132807+0.0734225j -0.182165-0.0349224j 0.118207+0.0728007j 0.163679-0.00784078j 0.336-0.0306774j -0.0485145+0.257957j -0.164652-0.028238j 0.057051+0.147051j -0.0246634+0.06414j 0.0626868-0.0654058j 0.222219-0.0263275j 0.085606+0.0101864j -0.00299193-0.113077j -0.320922+0.0921509j 0.226625-0.0781271j -0.0378246-0.0331973j -0.0640741+0.229459j 0.146755-0.108204j -0.0893823-0.104942j -0.0493433-0.135047j 0.070024-0.0124331j 0.179889-0.0144917j 0.00455122-0.0685719j 0.0619964-0.00450187j -0.0292879+0.0202748j -0.0566244+0.0873597j 0.0275098-0.022283j 0.0240156+0.0291307j 0.0199158-0.0946616j -0.023533+0.0109915j 0.0243425-0.0245656j 0.00486083+0.0263454j 0.0653068+0.0107203j -0.0178876-0.00757505j 0.0185682+0.0329934j 0.0375048-0.0140715j -0.0015451+0.0458807j -0.0346333+0.0104085j -0.0139264+0.0154352j 0.00150962+0.0077942j 
0.0442652+0.010634j 0.0252827-0.0354837j -0.0543938+0.0347798j -0.0162957-0.0919831j 0.204053+0.0628673j 0.0988497+0.158583j -0.0863102+0.153268j 0.0147136-0.052024j -0.115032-0.12077j 0.00156101+0.0616621j -0.0216977-0.136645j -0.15103-0.0705366j 0.158162-0.205769j -0.00358106-0.128471j -0.0380031-0.103787j 0.110981+0.00708874j -0.0563079+0.0796485j 0.0833381-0.016626j -0.00379331-0.0404915j -0.00794084-0.0364339j -0.25119+0.0358358j -0.230575-0.0331478j -0.00554657+0.0336198j -0.114348+0.105225j 0.0591637+0.0955149j -0.138951+0.0762757j -0.0788539-0.0846692j -0.127155-0.137692j 0.116379+0.126948j 0.115871+0.15151j -0.0505733+0.053774j 0.114917-0.0537543j -0.127831-0.0912567j 0.0743211+0.0684464j 0.0966697-0.0156778j 0.0171012-0.0613554j 0.025273+0.0861911j -0.034073+0.133927j -0.0154518+0.0178363j 0.00519846-0.108474j 0.0567497+0.041685j 0.125454-0.019808j -0.0784648-0.00328805j -0.071396-0.0405141j 0.0300285-0.0179812j 0.0522401+0.0241539j -0.0190206-0.0703413j -0.0495001-0.0481904j 0.00504423-0.01036j 0.0136432-0.027637j 0.0144784-0.0549705j -0.0471147-0.0117304j 
-0.0125866+0.00854876j 0.0123409+0.0262474j -0.0354556-0.140301j 0.089147-0.03586j 0.0331382+0.185495j -0.140129+0.107858j -0.102017-0.0133195j 0.113086+0.0698408j 0.0333626-0.039157j -0.0527405+0.062369j 0.0379966+0.0399726j 0.0135789-0.156346j 0.120819+0.207818j 0.138144+0.0398088j 0.0180718+0.129266j 0.210899-0.132828j 0.172089-0.0483762j 0.0560425+0.199329j 0.0989391-0.021811j 0.0467764-0.093841j 0.031739+0.0758665j 0.138359-0.0190506j -0.21435-0.0358371j -0.0477779+0.167675j 0.0456744-0.0601719j -0.143-0.0533387j -0.0655575+0.213501j -0.0929148+0.0595427j 0.037768+0.0220703j 0.0364841-0.0338816j -0.094886+0.031547j -0.0748496+0.0823212j -0.0173533-0.0642505j -0.0665555+0.115327j 0.084574-0.016974j 0.0464297+0.0279333j 0.126867-0.0328433j 0.0097584+0.0216129j 0.0102232+0.0125368j 0.0488066-0.0881971j 0.0118097-0.0746154j -0.0402327+0.0542501j -0.00996879+0.0267358j 0.00138534+0.0683786j 0.0539876-0.0288325j -0.0518569+0.0355075j -0.0109141+0.0139031j 0.050784+0.0277785j 0.0394045-0.00720297j -0.00263084+0.0245395j -0.0159796+0.0106945j 0.00272754+0.0283531j 
0.0225781-0.0629121j -0.0990202+0.0376089j -0.234384+0.105058j -0.163643-0.232121j 0.0808022+0.0135312j -0.18547+0.0339976j 0.0300338-0.218614j -0.0956561-0.225437j 0.113427+0.0546014j 0.0231597-0.211768j -0.129677-0.0268014j -0.00210119+0.0138874j 0.00420217+0.070175j 0.097645-0.0620411j 0.00995379-0.247308j 0.08866-0.0778418j 0.152913+0.160853j -0.0678562+0.143241j 0.0720421+0.0363231j -0.135251-0.0274825j -0.161662+0.0429024j -0.0418366+0.0298689j 0.0772021+0.0187355j 0.0664678+0.0963546j -0.096927-0.0551798j 0.117868+0.0529891j 0.115551+0.0774751j -0.0396427-0.0880558j -0.032027-0.0232668j -0.116301-0.11107j 0.0131286-0.0248489j 0.0629969+0.181909j 0.113882-0.109207j -0.0729364-0.0136727j -0.0157067+0.019998j -0.0419471-0.00127796j -0.0389392+0.0418821j -0.0305753+0.00923545j 0.0177041+0.0756598j -0.0182841+0.112994j 0.0794543-0.091835j -0.0562988-0.00903143j -0.00250997-0.0139635j 0.0190664-0.0691611j 0.0680381-0.0242621j 0.0979378-0.0522202j -0.0509337-0.0423571j 0.0414719-0.0100431j -0.0340906+0.0471887j -0.0447839-0.0298446j -0.0328221-0.0496616j -0.0297791+0.0275401j 
-0.0664624+0.0110832j -0.0397031+0.038128j -0.116197-0.245983j 0.195451-0.139402j -0.037856+0.00558633j -0.0935163-0.115838j 0.257468+0.0751397j 0.138464-0.100492j -0.172224+0.244347j -0.0214194+0.0134445j -0.0417392+0.00657635j -0.120262+0.067826j 0.0160549-0.0285232j -0.190941-0.205897j -0.0763499-0.139788j -0.0900962+0.109291j 0.0564961-0.173422j 0.164779+0.0752051j 0.123453-0.196588j -0.021602-0.0555088j -0.0865067-0.0604155j 0.0379537-0.0115715j -0.0453438-0.13588j 0.162989-0.0288674j -0.117316-0.00893536j 0.0815545-0.0851978j -0.0372038-0.16256j 0.0179208-0.0341371j -0.00892072+0.0948118j 0.0641142+0.104178j 0.0136109+0.0169779j 0.0251276-0.0332253j 0.0179187-0.00195052j -0.0446186+0.0086499j 0.0842996+0.0567883j 0.0504337+0.077809j 0.0263606-0.0423658j 0.0150241+0.0340502j 0.0148318-0.0126337j 0.016773-0.0528124j 0.0301255-0.105704j -0.0737902+0.0507201j 0.0270844-0.00696339j 0.0176227+0.0335033j 0.0957689-0.0208026j -0.0565229+0.0094653j -0.0128192+0.0273219j 0.0644592+0.0119714j 0.0427213+0.0359158j -0.0394408+0.0294542j -0.0384238+0.0127185j 0.0287815+0.0478565j 
0.00934669+0.0139974j 0.00729163-0.00751094j -0.00179084+0.0447154j -0.0513855+0.0149731j -0.0212333-0.0155553j 0.0308694+0.014712j -0.00875494+0.0299406j 0.0204069+0.00377411j -0.00466771+0.013858j 0.0183505-0.00413728j 0.013927+0.0149975j 0.0193773+0.0319094j -0.0337526+0.0270313j 0.0302069+0.00908221j -0.00406701+0.00694246j 0.0210144+0.0470612j -0.0154366-0.00697591j 0.012018-0.0104107j -0.0152139+0.0256182j -0.0410202+0.00372094j -0.0138607-0.017035j 0.0105921-0.0238578j -0.0128919+0.0583827j -0.0210398+0.00947368j -0.0054344+0.0339136j 0.0312462-0.0138283j -0.00486502+0.0471545j 0.00414485-0.0224718j -0.0173735+0.020012j 0.0377212-0.0597343j -0.00882676+0.0323817j 0.00974977-0.000921128j -0.0572486+0.0328723j 0.0422178+0.0866002j 0.0503941-0.0614966j 0.0497003+0.0701174j -0.01391+0.00505764j 0.0365643+0.0356848j 0.0640995-0.0176798j 0.0466704+0.00856772j -0.0218939+0.0126341j 0.0132022+0.0011465j 0.0176859+0.0687546j 0.0492387+0.0351345j 0.0503774-0.00623293j -0.0484829+0.0163477j 0.034072-0.00462488j -0.0185858+0.0512112j -0.0588178-0.0074384j -0.00332755+0.068437j -0.0152773-0.000579671j -0.0131745-0.0335346j 
0.0113008-0.00515756j -0.00660554-0.0201707j -0.0532855+0.0192833j -0.0058667-0.0431396j 0.0311809-0.00770092j 0.000120285+0.0272972j -0.0459703-0.0148506j 0.0114652-0.00533824j -0.0106684-0.0216184j 0.0198021+0.019443j -0.0231582+0.0108845j 0.00477165+0.0127824j -0.00088605-0.0344878j 0.0268121+0.0273557j 0.00486299+0.00386983j -0.0177486-0.0179906j 0.0259364+0.0312876j 0.00765494+0.0446211j -0.00373136+0.00051489j -0.0214318+0.0290475j -0.0158948-0.0521476j -0.0352057-0.00268988j 0.0206931-0.0256877j 0.00357122+0.04039j 0.0198793-0.025161j -0.0193245+0.00653141j 0.0331959-0.0120606j 0.0239777-0.00659934j -0.0243438+0.0392257j -0.021247-0.0159163j 0.0301535-0.00814173j -0.0790744+0.0109276j 0.0461327+0.0282753j 0.0432083+0.0118244j -0.0114014-0.0788782j 0.0676789-0.0478636j -0.0146416-0.00335364j 0.00895786-0.0830008j -0.0277614-0.0359562j 0.00139459-0.00280821j -0.0156801-0.0178834j 0.0578317+0.0107079j -0.0275968-0.0208919j -0.00717233+0.0260572j -0.00633581+0.0588416j -0.00654558-0.0453655j 0.0344816+0.0415681j -0.057419-0.00781043j 0.0150889-0.0672608j -0.0666062+0.00495938j -0.00441485-0.0383674j 0.00800977-0.0077798j 
0.00307324+0.0101794j 0.0105617-1.23511e-05j 0.015018-0.00183287j 0.00652983+0.0264083j -0.0165821+0.00818908j 0.0110922-0.0223478j 0.00720009-0.00437782j -0.0113506+0.00765944j 0.00261627-0.0143633j -0.00788105-0.0155498j 0.036739-0.0116932j 0.00321088-0.0038075j -0.00411077-0.016824j -0.0060144-0.0144278j 0.00140133-0.00770015j -0.0168787-0.00115761j -0.0184492-0.0153772j 0.00644998-0.0418587j -0.0237934+0.0168604j -0.0122499-0.00394746j 0.000333349+0.0169937j -0.0267118-0.00704643j 0.00120052-0.0130254j 0.0254741-0.00312612j -0.0170478-0.0129508j -0.0138784+0.025603j 0.0234012-0.000969801j 0.0209556-0.00345497j -0.0164863-0.0406777j -0.00872769+0.000812151j -0.0306292-0.0243645j 0.020752-0.0101161j 0.0137338-0.0200633j 0.00554806+0.00810943j -0.015527+0.00934826j -0.020816+0.0267828j -0.0268287-0.0448852j 0.0299252-0.0455514j 0.0385643-0.0060585j -0.0193654-0.00262277j 0.0123441-0.00400527j -0.00118033+0.00672138j 0.0045154-0.0287895j -0.0114572+0.0357602j 0.0217701+0.0123529j -0.0136126+0.00852337j 0.00998821-0.00199628j 0.0107898-0.0071556j -0.0028413-0.00903871j 0.0306039-0.003735j 0.00977384-0.00429306j 0.000521661-0.00741597j 
