0.0236101+0.0331292j -0.0374895+0.0205525j 0.0449969+0.029882j 0.0274432-0.0430516j 0.0284924-0.00347532j 0.00745202+0.0386523j -0.00700419+0.0159313j -0.0175488-0.00649111j -0.000550376-0.0246525j -0.0163184-0.0013454j -0.0285102+0.00719345j -0.0110543-0.0161066j 0.00935818-0.028251j 0.0138425+0.0149156j -0.0032446-0.00986756j -0.0094556-0.0122083j 0.00148376-0.000623858j 0.011074+0.000613384j 0.00895017-0.0108758j 0.0123701-0.0139885j 0.0160975-0.00515076j 0.0115485-0.00586099j 0.00552112-0.000844247j 0.011105-0.0130454j 0.00877763-0.0215885j 0.000439808+0.00194792j 0.000655428+0.00213221j 0.0167658-0.0186128j -0.0104612-0.0233787j 0.0238307-0.00582521j 0.0031902+0.000182516j 0.0163411-0.00487859j -0.0076125-0.00649147j 0.00103418-0.00750234j 0.00952686+0.000344929j -0.00431572-0.00328906j -0.0113016+0.00719309j 0.0305336-0.00469475j 0.00447097+0.0155576j -1.55762e-05+0.0169325j -0.006856+0.00890087j 0.00716958+0.0239402j 0.000500568+0.0175458j 0.0274314-0.021334j -0.0118442+0.0146106j -0.0047572+0.0149985j 0.00201731+0.0123914j 0.0165992+0.0144528j 0.049785+0.01151j -0.00974516+0.0444153j 0.0131899-0.0373432j -0.0395101-0.0206964j 
-0.0468797+0.0170557j -0.0128264-0.0408922j -0.0134374-0.0235687j -0.0164931+0.00293045j 0.0222619-0.0278716j 0.0351583+0.0176875j 0.00203448-0.0159076j 0.00955487+0.00674667j -0.0195621-0.0151355j 0.00531469+0.0115291j -0.0136169+0.00787729j 0.00483998+0.0324537j 0.0132016+0.000172427j 0.0109908+0.00209552j 0.0041505-0.00493808j 0.0170333+0.0109851j 0.0118064-0.0159527j -0.00135308+0.00521029j 0.00457064+0.00148854j 0.00228133-0.00547502j -0.00462097+0.0043714j -0.000583283+0.0138298j 0.00574309-0.0272083j -0.00894272+5.66125e-05j -0.0136865+0.0109031j 0.00752792-0.0235402j 0.00894616-0.00542288j 0.00786528-0.00272595j -0.012228-0.00703926j -0.0159632+0.0049744j -0.0163665-0.00251835j 0.00651572+0.00813726j -0.00564128+0.00340102j 0.0193753+0.0109284j -0.00182074+0.00408094j -0.000416556-0.0021j 0.00244619+0.0185179j 0.00933472+0.0130299j -0.0042513-0.000669931j 0.0124273+0.0129038j 0.0159547+0.00535764j 0.0108847-0.00226446j 0.00901476-0.0074496j 0.00391746-0.0178621j 0.00500007+0.0211458j -0.00507693-0.00171294j 0.00391803+0.0168145j 0.0261098+0.00449972j 0.016001-0.0297969j 0.0192652+0.0105369j 0.0289549+0.0496373j 0.0501799-0.0286692j 
0.0891082-0.164565j 0.160528+0.0841477j -0.151108-0.000414587j -0.0197673+0.169025j -0.196974+0.0516993j -0.0681374-0.20466j 0.00724425+0.0329125j -0.0236896+0.0127792j 0.0272552+0.151801j 0.0680462+0.0102245j 0.147905+0.0103618j 0.00013002-0.0786634j -0.0899509+0.181427j -0.0974823-0.0812745j -0.0185693+0.0800216j -0.0610815+0.0429246j -0.0707624+0.0958501j -0.0428241-0.0515766j -0.0989347+0.0214682j -0.0681498+0.0515705j -0.0683705+0.00481338j -0.054498-0.0538683j -0.0281992+0.102899j -0.0488619+0.00626637j 0.00421997+0.0602006j 0.00541807+0.0995452j -0.0309984+0.00854378j -0.11301+0.107301j 0.105939+0.171801j -0.014786-0.0392809j 0.0457641+0.0408384j -0.132596-0.00895017j 0.0860792+0.0293946j -0.138584-0.0293892j 0.0513449-0.0259829j -0.0274765+0.0397613j 0.0361221-0.106691j -0.167636-0.0559731j 0.00527822-0.087072j -0.0673442-0.150242j -0.069445-0.0304272j -0.105104-0.0778341j -0.00219933-0.060285j -0.0915378+0.23268j 0.00194008-0.116555j 0.0526988-0.0366554j -0.0140971-0.0875069j -0.16563-0.0490843j -0.240765+0.0931922j -0.072909-0.170627j -0.123305+0.0022315j 0.0126053+0.152957j 
-0.10589+0.00383094j 0.0216994-0.0812993j -0.046518-0.190578j -0.145536+0.0389246j 0.0266033+0.0427659j -0.0506963-0.0525023j 0.102083-0.110866j 0.0502114+0.0830055j -0.061267-0.0194919j -0.0270271-0.034781j 0.078901-0.0190884j 0.0459722+0.062619j 0.0243467+0.0524268j 0.00238261-0.0111242j 0.0237654+0.0169821j 0.06812+0.0179622j 0.0416773-0.0875073j -0.0275171+0.0208352j -0.00996655+0.0630463j -0.00339445-0.0136274j -0.0361128-0.0159086j -0.00182205+0.0763685j 0.0209131-0.0194399j -0.0444754+0.0354687j 0.0404525+0.0214905j -0.0199064-0.0451174j -0.000402331-0.0236204j -0.0248663+0.0472816j -0.015143+0.0395103j -0.0972216+0.0525872j 0.0227328-0.060579j 0.0134221+0.0183099j -0.0258311+0.0256326j 0.0622668+0.0552952j -0.067533+0.0107661j 0.076905-0.0514589j 0.0961337+0.0396795j -0.0235145+0.0724478j -0.00485607-0.0471502j 0.0668583+0.0179906j 0.0196312-0.0774252j 0.0551383+0.00676773j -0.00889193-0.00540622j -0.0336501-0.0552824j -0.0221234-0.089041j -0.0254885-0.0944167j -0.0627+0.0642875j 0.0590941+0.0229728j -0.0622244-0.126158j 0.060518-0.0764066j 0.0743452+0.118587j 0.129245-0.0567774j 
0.209508+0.0544645j -0.082937+0.16289j 0.146007+0.150764j 0.100338-0.0952848j -0.0269715+0.0974165j -0.18594+0.0144791j -0.0484551+0.0793756j -0.055175-0.039316j 0.0541068+0.0110464j -0.0542835-0.116726j -0.0074006+0.0118919j -0.00803204-0.180394j 0.00493184-0.0812709j 0.0350272+0.0229171j -0.0333045-0.0141407j -0.126659-0.0628647j -0.0420113+0.0117221j 0.0452291+0.00391415j 0.0187998+0.00420927j 0.0242478-0.0385667j 0.0890505-0.0227445j 0.000254933-0.0769302j -0.000268057+0.116029j 0.041587-0.038784j 0.0895668-0.139938j -0.0313997+0.106614j -0.0153616+0.0133469j 0.0104971-0.0289201j 0.00194113-0.0266599j 0.130286-0.0183961j 0.0881724-0.0111285j 0.0157539-0.0638603j -0.00696456-0.0264479j -0.0719481-0.056364j 0.0447621-0.0173822j 0.0521917+0.0139485j -0.0101493-0.0466507j 0.0371611-0.0829076j 0.02696+0.0238186j -0.0264434-0.0178281j -0.11726+0.00983544j 0.0202836+0.0779119j -0.0166036+0.108659j 0.0814259-0.0494701j -0.0598383-0.0550226j -0.0103856+0.0184625j -0.0612249-0.0323599j -0.0496495+0.0568374j 0.0669098+0.0998004j -0.0226724+0.0820531j -0.0893094-0.209747j -0.239551+0.0718165j 
0.0241978-0.00396533j 0.000684658+0.0183979j 0.0446858+0.0389192j 0.0327444-0.0334747j 0.0054686+0.0235598j -0.0248516+0.0198034j -0.0195287+0.0133972j 0.00361264-0.0290217j 0.0324105-0.00364073j -0.00435614-0.0105626j -0.0110749-0.0228115j -0.00828905-0.00496877j 0.00636046-0.0510738j 0.00860884+0.00340842j -0.00411609-0.0119558j -0.000502702-0.0240675j -0.00621508-0.00126004j 0.0142147+0.00884363j 0.0243464-0.00218376j 0.010741+0.00158827j 0.0203095+0.00311829j 0.0069051-0.000625054j -0.0111952-0.00499664j 0.0322679+0.0126975j -0.000722183-0.0141785j -0.0162143+0.00966538j -0.00752094+0.00667225j 0.0183487-0.0314294j -0.010418-0.035919j 0.0210945+0.00785871j -0.0122134+0.00189302j 0.0249256-0.0053897j -0.0126505-0.014034j 0.0164631-0.00793929j -0.0150405+0.00536072j 0.00852775+0.0012067j -0.0276843+0.00390554j 0.020765-0.00910108j 0.00641183+0.0269809j -0.00420398+0.0149611j 0.00296719+0.00356401j 0.0117507+0.00128985j -0.00764559+0.0181306j 0.00697726-0.039057j 0.0203219+0.0183256j -0.0103309+0.0179766j 0.0136327-0.0162323j -0.00423647-0.0107767j 0.0178949+0.0221142j -0.00685758+0.00860932j -0.0251272-0.0520809j -0.056125+0.0191852j 
0.0178139+0.0432017j -0.0334783+0.0229728j 0.0793187-0.134087j -0.116154-0.0268461j -0.0417005+0.159153j -0.251189-0.0974681j 0.0877079-0.0453893j -0.0105712+0.0680329j -0.0402566-0.0251975j -0.0672168-0.189487j 0.128949+0.0179479j 0.0438285-0.0814084j 0.0804876+0.0431703j 0.0935582-0.0382487j 0.0230893+0.0441008j -0.0364062-0.022708j -0.00743187-0.155868j 0.0017407+0.0872931j -0.018486+0.156176j 0.0184374-0.0985887j 0.0247711-0.0532078j -0.0383128+0.0426764j 0.00729517+0.0696475j -0.0410751+0.000651051j 0.163512-0.107497j -0.0787825+0.062578j -0.0143621-0.0064387j -0.0463964+0.0669596j -0.0238637+0.108265j -0.0214457+0.0897363j 0.0937722-0.0887013j 0.00673016-0.0484005j -0.0318104+0.0192224j 0.0207611+0.0221577j 0.0109635+0.0158282j 0.278734-0.0444283j 0.140694+0.0619094j -0.0352371+0.0205048j 0.0272309-0.0923097j 0.0794123-0.0315041j -0.149217-0.11055j 0.141056+0.0442206j -0.0344823+0.163435j 0.0303358-0.154321j -0.117724-0.195657j -0.0509163-0.0951239j -0.10419+0.111298j 0.049106+0.0528709j -0.0456561-0.0644627j 0.0316826-0.041606j 0.0104446-0.0115183j -0.0147259-0.000436848j 
0.0483821-0.00431803j -0.00730302+0.0326138j 0.0136178+0.0811869j 0.0537059+0.00175178j -0.0320663-0.0112077j -0.0103514+0.0047427j -0.0462934+0.0533986j -0.00719575-0.0326778j 0.0400099+0.0190945j 0.00324215-0.00726615j -0.0254203-0.00907905j -0.00324341-0.0435604j -0.00833669-0.0418446j -0.00538772+0.0101473j 0.00197756-0.0124978j -0.03996-0.0126464j -0.0238211+0.0299026j 0.00991336+0.00165284j 0.0114624-0.028069j 0.0049735+0.00443246j 0.0261997+0.0105425j -0.00166384-0.0391651j -0.00908112+0.0234555j 0.0295393-0.00388461j -0.00513016-0.0208409j 0.00830901+0.0351688j 0.00260192+0.0224491j 0.0183872-0.0205045j 0.00227639-0.0234109j 0.0389435-0.00913076j -0.00766238+0.0103945j 0.00140676-0.015632j -0.00419934-0.0204824j -0.0185303-0.0246847j 0.0187381-0.00712732j -0.0165431+0.0267625j -0.0484947-0.0229824j 0.0045944-0.0278042j 0.00455929+0.0210131j -0.0372026-0.00046996j -0.0148596+0.0412889j -0.0137219-0.00394458j 0.00394641+0.0190369j 0.00629145+0.0111328j 0.0057144+0.030456j 0.0140313+0.0390468j 0.00592884-0.0393398j -0.0253269-0.00659874j 0.0186352+0.0304278j 0.000595021+0.0232481j -0.0488293-0.0432633j -0.05648+0.0411832j 
-0.0405664-0.0130532j 0.0219933-0.0209319j -0.0311235-0.0476008j -0.0265596+0.0272725j -0.00203257-0.0207294j 0.0563401-0.0100806j 0.0321488+0.00359178j -0.00181057+0.0233227j -0.00617879-0.0199396j -0.0110588+0.0294185j 0.00466843-0.0146363j 0.00190424+0.0329123j -0.00760563+0.0149375j -0.024644+0.00650934j 0.0345955+0.00257323j 0.0319629+0.0149111j 0.0124166+0.000414j -0.0225654+0.00624863j -0.00774118-0.0148288j 0.00346724+0.0086995j -0.0258999-0.00102315j 0.00704643+0.0166698j 0.00502132-0.0177106j -0.00296093+0.0166874j -0.00236604+0.0366312j 0.00961378-0.0129787j 0.00182399+0.0164471j 0.00947373+0.0142554j -0.00396906+0.0158611j -0.0445966+0.0184155j -0.0208137-0.0116435j 0.004006+0.0199572j -0.0151472-0.00222837j 0.027968+0.0101288j -0.0144753+0.00395977j -0.0120249-0.00764003j -0.00520697+0.01325j -0.0126011+0.0395686j -0.0039546-0.00696555j -0.00784911+0.0184583j 0.0234824-0.000330118j -0.0124779-0.0124616j -0.00152537-0.00864275j -0.0291324+0.0320626j -0.0111187-0.00162467j 0.0152041+0.00238631j 0.0211178+0.0281868j 0.0274253-0.0190181j -0.0134477-0.0401036j 0.00261882-0.0140299j 0.0313759+0.0326063j 0.0468567-0.0271118j 
0.00801895+0.0106726j -0.0134283+0.00422144j -0.00975964+0.00164958j -0.00491724+0.0050407j 0.0140986+0.00092606j -0.00892441+0.00421755j 0.0030924-0.00334134j -0.0101991-0.0201573j 0.0152064-0.0455734j 0.0120609-0.0233598j -0.0144465+0.0104128j -0.00293828+0.0135708j 0.0115717-0.0252719j 0.0345465+0.00945484j -0.00300329+0.000565114j -0.00383257-0.00194348j 0.0259654+0.00551302j 0.00670923+0.00960842j 0.013571+0.0054549j 0.0228143+0.00821229j 0.0260801+0.00739325j -0.00834634-0.014774j -0.00467187+0.0108789j 0.0065288+0.00351889j 0.000815509-0.0345653j 0.00251949-0.00640093j 0.00336929-0.0263215j 0.00303905-0.014846j -0.00145058-0.00776304j 0.000870231+0.00274046j 0.0248503+0.0170413j 0.0128661+0.0103301j 0.0108329+0.00607061j 0.0141476+0.0168633j -0.000910197+0.0040356j 0.0008985+0.0178683j 0.00417539-0.000563416j 0.00631943-0.00177826j -0.00818725+0.0138943j 0.028609-0.00593508j -0.00630938+0.0218382j -0.0335766+0.0190773j 0.00579101+0.0162137j 0.00553584-0.0104558j -0.0148118-0.00315701j 0.00445625+0.00516547j 0.00493658+0.0207617j 0.0281027+0.00520253j 0.0138132-0.0159598j 0.0124403+0.0169309j 0.00227453-0.00373612j -0.00604373-0.00223465j 
0.005365-0.0168016j 0.0219283+0.00860894j -0.0109244-0.0154937j -0.00853138+0.00686339j 0.00048761+0.0244005j -0.014534-0.0204757j 0.0138112-0.0100421j -0.0166636-0.00747062j 0.00879574-0.00766707j 0.013671-0.00470648j 0.0317241-0.00888094j -0.00525634+0.016407j -0.000326604+0.0118106j 0.0070534-0.0166599j -0.0158043+0.0168388j 0.0103799+0.00461503j 0.0055109+0.000922909j -0.00331339-0.00472041j -0.00111494+0.0166169j 0.00577189+0.00967239j -0.000145558-0.000157485j -0.0147659+0.0132015j -0.0162736-0.00280927j 0.00780208+0.01312j 0.00436691+0.000497066j -0.00576179+0.0158242j -0.0106674-0.0193721j -0.012639-0.00756416j 0.00913203+0.0214738j -0.00347388+0.00458975j -0.000117767+0.0147688j 0.00177167+0.00371507j 0.0123402+0.0175783j -0.00137853+0.0116479j -0.0112843+0.0104415j 0.00448553+0.013321j 0.0127034-0.00424267j -0.0216779-0.00487102j 0.00328217-0.00511465j 0.0194202-0.0137689j -0.0167155-0.00615917j -0.0128188+0.0021104j 0.000723409-0.00330728j 0.00189705-0.00591046j 0.00516969-0.0202982j -0.0116232-0.00817092j 0.0180013-0.0038093j -0.00544959-0.00545019j -0.02755-0.000207425j -0.00112354-0.0293584j -0.00241904+0.00308386j 0.00927889+0.00638467j 
