-0.133461+0.112329j -0.205245-0.00145488j -0.130226-0.11266j 0.110992+0.0805218j 0.0429764+0.173092j 0.0147945-0.000115403j -0.0441255+0.172626j -0.110556+0.0784058j -0.0385472+0.0633793j -0.0787956+0.0354311j -0.0908704-0.0392708j 0.0322847-0.0824945j 0.0374669+0.071833j 0.0499436+0.0121654j 0.0612593+0.0643534j 0.062827-0.0640164j 0.050354-0.0109352j 0.0384604-0.0727705j 0.0320479+0.0803349j -0.0898651+0.0366991j -0.0789559-0.0356137j -0.0369387-0.0627266j 
-0.203178-0.202804j 0.130234+0.00295485j -0.204992+0.204044j -0.0213511+0.0364513j -0.0118372-0.00524703j -0.0388386-0.000184505j 0.011358-0.00487239j 0.0214954+0.0357681j 0.0911115+0.0026103j 0.0212359+0.0803505j 0.0409296-0.100766j 0.0639052+0.00773129j 0.0401349+0.0366391j -0.0872119+0.0712045j 0.00866175-0.0152377j 0.00685989+0.0153984j -0.0867216-0.0715699j 0.036835-0.0367858j 0.0651466-0.00573957j 0.0401849+0.100742j 0.0232031-0.0797404j 0.09063-0.00099986j 
0.0378515+0.0648371j 0.249377-0.236284j -0.333765+0.100859j -0.0249071-0.0299548j -0.022707+0.162519j 0.127061-0.104556j -0.077081-0.0983448j 0.175241+0.0391736j 0.0201254-0.0256258j -0.0446234+0.0497042j -0.038575+0.018196j 0.123505+0.0429059j 0.0808019-0.0576189j 0.0561965+0.124435j -0.0317464-0.00756972j -0.0488382+0.0141969j -0.0258699-0.00816786j 0.00877494-0.00466236j 0.0107227+0.0458755j -0.0674572-0.0236666j 0.0853206+0.0235489j -0.0629234+0.117734j 
0.0891476-0.261754j -0.292164+0.00499065j 0.0953952+0.262553j -0.034094+0.113023j -0.166002-0.046617j 0.263447-0.000603125j 0.169832-0.0444822j 0.032694+0.112903j -0.0634423+0.0378149j -0.0605265-0.0898285j 0.0222633+0.0130014j -0.0543974+0.0775747j 0.0481547+0.0717474j -0.0639767+0.0381731j -0.023174+0.00268748j -0.0215305-0.00325448j -0.0632004-0.037975j 0.0490748-0.0698913j -0.0515929-0.0810692j 0.0241163-0.0142201j -0.0607403+0.0881377j -0.0624149-0.0390518j 
0.142744+0.138189j -0.244457-0.0563077j 0.191782-0.0643517j -0.146138-0.0403107j 0.0525296+0.0698811j 0.163156+0.0362672j -0.0748677+0.0417247j 0.150887+0.0253321j -0.0222621-0.0889444j -0.00157536-0.010288j -0.0707372+0.0437638j 0.0456022+0.0328762j 0.106571+0.0113952j -0.0398714+0.091021j -0.0489682-0.00796679j -0.047202-0.0130718j 0.00317237-0.100584j 0.100315+0.0356402j 0.0567413-0.00998487j -0.0457201-0.0694995j -0.00677204+0.00906342j -0.0574137+0.0718519j 
0.329948+0.0962302j -0.256368-0.237716j -0.0350686+0.0693384j 0.171299-0.0392087j -0.0784067+0.0976928j -0.126423-0.105127j -0.0212421-0.16297j -0.0241557+0.0322242j 0.0624702+0.116905j -0.088791+0.0216319j 0.0666476-0.0227018j -0.0134132+0.0460448j -0.00799681-0.00349823j 0.0258609-0.006875j 0.0485806+0.014943j 0.0323467-0.00880601j -0.0558279+0.125232j -0.0780622-0.0588141j -0.124911+0.0407744j 0.0390189+0.0164761j 0.0438895+0.0497588j -0.0211791-0.0263624j 
0.00882752+0.00508895j 0.0388639-0.0113161j 0.0245115-0.376427j -0.0200296-0.0121017j -0.0835268+0.0771991j -0.0464402-0.0726578j 0.351115+0.0358743j -0.278938-0.166351j -0.00816272-0.0045469j -0.0329632+0.0190252j -0.0178572+0.00315391j -0.0246192-0.00832341j -0.0158405+0.00398202j -0.0439906+0.000560388j -0.097888-0.0157163j -0.024336+0.00222732j -0.00496375+0.094026j 0.00318403+0.0399725j 0.0762666-0.0254295j -0.0379295+0.0805449j 0.0116443+0.0324866j -0.00928991-0.0707529j 
0.000715703-0.00341679j 0.0562878-0.199553j 0.398262-0.0713664j -0.00914375+0.0626603j 0.232529-0.00372591j 0.206212-0.0117039j -0.0798141-0.109676j -0.166239+0.0100745j -0.00928429+0.0218156j 0.0887062-0.00565796j 0.0219093+0.00416693j 0.0245821+0.0439001j 0.0181293-0.0429614j 0.00565061+0.00756455j 0.00739209+0.0431081j 0.0209039-0.0449698j 0.140184-0.0180528j 0.00310192-0.0569666j -0.0555349-0.0649223j 0.0767642+0.0339127j -0.00903838-0.114004j -0.036272+0.054045j 
-0.0234988-0.005021j -0.134602-0.297183j -0.421385-0.249927j -0.0196505+0.0522882j 0.203199-0.0109282j 0.17831+0.0216984j -0.150292-0.0635042j -0.0303389+0.00753927j -0.0204435+0.0118215j 0.0612209+0.000167067j 0.0186655-0.0168611j 0.0130166-0.00172954j 0.0431102-0.0512672j -0.0187738-0.0829603j 0.0386798-0.0915346j -0.0876789-0.0222622j -0.0850753+0.0380472j 0.0656473-0.011108j 0.0312344+0.103018j -0.102648-0.0258629j -0.0161402+0.0102955j 0.00369355-0.0860163j 
0.188572+0.100504j 0.496808-0.00350616j 0.176942-0.104317j -0.0669859+0.0214174j 0.106378-0.00888295j 0.0445293+0.00019273j -0.108266-0.00987625j 0.0669384+0.0209615j -0.0178188-0.0124395j -0.0162859-0.0819023j 0.024462-0.0486058j 0.0616888-0.0425826j -0.0900551+0.0137784j 0.0041428+0.043978j -0.0478879-0.0869954j -0.0509367+0.0852599j 0.00270564-0.0454511j -0.0922302-0.0169804j 0.0600388+0.0449268j 0.0210086+0.0476988j -0.0187357+0.0831714j -0.0176382+0.0112262j 
0.0639815+0.251419j -0.0888358-0.00620633j 0.0634069-0.252776j -0.216723+0.00769987j 0.0500115+0.0392811j -0.137518+0.000169124j -0.0450009+0.0395376j 0.217408+0.00747743j -0.0777311+0.00142083j 0.057212+0.0305373j 0.011063-0.0405171j -0.00452072+0.0969326j 0.0468261+0.0327321j 0.0283562-0.0329714j -0.0115294+0.00961479j -0.0125912-0.0109898j 0.0281695+0.032494j 0.0475459-0.0312163j -0.00379659-0.0971091j 0.0100593+0.0420692j 0.05636-0.0314756j -0.0770479-0.0019258j 
-0.351219-0.119042j -0.201331-0.144511j -0.22358-0.28914j 0.0844049-0.185088j -0.163259+0.0967712j 0.0783023+0.0572152j -0.0325701+0.183268j 0.149017-0.143692j 0.0559558-0.0630828j -0.0106443+0.0189518j 0.042858+0.0529242j -0.0579652+0.0202416j -0.0674893+0.00429775j 0.0137155+0.122183j 0.0489069+0.0735255j 0.0863331+0.0223868j 0.119309-0.0277465j -0.0191066-0.0639267j 0.000922099-0.0629218j 0.0644818+0.0246084j 0.014223-0.013997j -0.0401911+0.073036j 
0.421612-0.258298j 0.124678-0.293994j 0.0181615+0.00332062j -0.0331206-0.00415564j -0.147315+0.0640114j -0.17673+0.0215458j 0.206646+0.00923658j -0.0241793-0.052691j -0.00279654-0.0858329j 0.0135534+0.0122523j 0.101701-0.022946j -0.0329533+0.102586j -0.0655372-0.00738121j 0.0856211+0.038103j 0.0892052-0.0204194j -0.0365924-0.0940187j 0.0188166-0.082905j -0.0397883-0.0507961j -0.0144925-0.0029791j -0.0180406-0.018883j -0.0602662-0.000188328j 0.0224399+0.0112407j 
0.40627+0.0328406j 0.0686264+0.191628j -0.000393159-0.00127055j 0.165067-0.00782459j 0.0613453-0.119164j 0.205871-0.00978038j -0.234023+0.0217382j 0.0198709+0.0611686j -0.0384238-0.0489684j 0.00238152+0.112505j 0.0723301-0.039669j -0.0480412+0.069286j 0.00894018+0.0573785j 0.141724+0.00387168j 0.0257906+0.043147j 0.00435662-0.0423442j 0.00424329-0.00770376j 0.0217264+0.0423032j 0.0201189-0.0467145j 0.020119-0.00515663j 0.0879054-0.00384857j -0.0126965-0.0203204j 
0.0283522+0.377199j 0.0384076+0.00285452j 0.00862809-0.00577485j 0.272647-0.168889j -0.354891+0.0398427j -0.0485998+0.0733927j 0.0880536+0.0767609j 0.0197838-0.0127059j -0.00750084+0.0677884j 0.00766422-0.0316495j -0.0363371-0.0788968j 0.0753041+0.0276191j 0.00437711-0.0391024j -0.0042843-0.0950211j -0.0230563-0.00283481j -0.0979975+0.0149974j -0.0436209-0.000176805j -0.0141087-0.00556717j -0.0253837+0.00880591j -0.0176426-0.00300635j -0.0336712-0.0181591j -0.00746904+0.00454508j 
-0.00419358+0.00978707j -0.00961173-0.0635765j 0.0817494+0.191242j 0.00766299+0.000923352j 0.010947-0.0148479j 0.0245412+0.0222104j -0.00355813-0.0623928j -0.268198+0.302885j 0.00819596+0.00152843j 0.0109465-0.0177645j 0.00247482+0.00094382j 0.0267354+0.0336341j 0.0200805+0.0285372j 0.0623612+0.00786101j 0.0282975+0.0323611j 0.0997982-0.0546883j 0.000562594+0.0152193j 0.00549388+0.105623j 0.0748534-0.0319544j 0.0185874+0.0748111j 0.228768+0.17067j -0.0819689-0.20409j 
-0.0221337-0.038875j 0.15801+0.12894j -0.280906+0.0218093j -0.00236341-0.011285j -0.0164181+0.0232961j 0.0132354-0.00632805j -0.15639+0.139582j -0.336936+0.0365796j -0.00367791-0.025561j -0.0598307-0.0107656j -0.00422824-0.0057578j 0.0270949-0.0846863j 0.00488674-0.0646764j -0.0581099-0.0721464j 0.0523662-0.0526062j -0.0835817-0.032298j 0.0115304-0.0671754j -0.0762838-0.0778895j -0.182096-0.0924015j 0.0195177+0.00932927j 0.0717647-0.203287j -0.207173-0.0613408j 
-0.0695046-0.0322527j 0.216078+0.00272957j 0.126938+0.076894j -0.0169457-0.0151757j 0.0414538-0.00319905j 0.0374979-0.0445822j -0.0201618+0.16047j 0.123713+0.235271j 0.0166883-0.0196055j -0.0455302-0.0560161j -0.00248235-0.00827325j 0.0543009-0.0545949j -0.0178568-0.0570641j -0.0651268-0.0349363j 0.0385522+0.00969672j -0.0335623+0.0144642j 0.0598867-0.0861638j -0.137332-0.132112j -0.000627132-0.0640493j -0.105463-0.0577409j 0.0213092+0.0411569j 0.0712044-0.13791j 
-0.0886399+0.00332079j 0.237794-0.14632j -0.146258+0.215566j -0.00600627+0.000992098j 0.124743-0.0413649j 0.0645352-0.0509929j 0.306552-0.0535845j 0.218316-0.0994062j 0.0274156-0.00986885j -0.0170329-0.0885376j -2.21581e-05-0.021496j 0.0802204-0.00384226j 0.0366249-0.0521007j -0.0139462-0.0307685j 0.093645-0.00803702j -0.0017415-0.045522j 0.161597+0.0138749j 0.145509-0.0442025j 0.00758951-0.0103086j 0.0816237-0.0338057j 0.12724+0.0732424j 0.0784571-0.00883154j 
-0.110546+0.0455428j 0.0763437-0.0812336j 0.112869-0.136566j -0.0300738-0.00527646j 0.0487978-0.0827463j 0.154329-0.165899j 0.022512-0.173853j -0.235997+0.0159309j 0.0306577-0.00304019j -0.00870799-0.0918761j 0.00384044-0.0137461j 0.0548419-0.0322728j -0.0193461-0.0849551j -0.117932-0.0313816j 0.103853+0.105333j 0.0320164+0.00751462j -0.0108719-0.013895j -0.0317281+0.0557975j 0.0265431-0.183456j -0.0598452+0.131877j 0.0278498-0.07089j 0.0224975+0.0749017j 
0.0135083-0.0397841j 0.00334489-0.0939168j -0.0623989+0.00385884j 0.0234517+0.00971531j -0.0138394+0.0226086j -0.155301+0.219872j -0.0749968+0.151496j -0.191676+0.121507j -0.00261468+0.00390551j 0.00290153+0.0107939j 0.00628562-0.0171731j -0.00291703+0.0282002j 0.0598985+0.0870291j 0.101306+0.0199176j 0.0296388-0.0515107j -0.104077-0.0430519j -0.0378945-0.0303418j 0.114562+0.124278j 0.0226358-0.157015j -0.136605+0.141016j 0.00289308-0.152995j 0.0693066+0.0471387j 
