-0.0861349-8.43769e-15j 0.012781+0.00523756j -0.154318-0.104593j 0.117657+0.133794j 0.019651-0.0812664j -0.117442+0.214891j -0.0307348-0.142042j -0.0102801-0.0985741j 0.408478-0.169984j -0.221284+0.143272j 0.358435-0.522287j -0.02396-0.0376121j -0.0188401-0.00782395j 0.0052696-0.0434562j -0.0394591+0.0935679j -0.010125-0.0156755j -0.0700759+0.0556912j -0.00498941+0.0377627j -0.071513+0.0688866j -0.0443423-0.0589355j 0.157683-0.00628864j 0.0128308-0.233996j 0.0653852+0.0250622j -0.0170247+0.0188108j 0.172668-0.18994j 0.15156-0.143981j 
0.012781-0.00523756j 0.27254+8.54872e-14j -0.177579-0.14047j 0.142458-0.0585049j 0.0497285+0.0792004j -0.161304-0.141582j 0.248545-0.0338738j -0.0774014+0.445217j 0.115355+0.0943591j -0.0437768+0.236504j 0.217086-0.114785j -0.0231823-0.0130172j 0.0574921+0.0758759j -0.0244011-0.109278j 0.0156501+0.057838j -0.0474144-0.0291361j -0.0144747+0.00329089j -0.0463787-0.00972982j 0.162397-0.0936586j 0.0118394-0.045018j 0.0190552+0.0725885j 0.215109+0.0992123j 0.0695183-0.108522j -0.0645922+0.174132j 0.033768+0.0850812j 0.106015-0.0490871j 
-0.154318+0.104593j -0.177579+0.14047j -0.231927+6.69464e-14j 0.0646451+0.0513063j -0.0506449-0.102423j -0.0163347-0.140495j -0.0340582-0.217104j 0.212733+0.330884j 0.120929+0.317876j 0.138499+0.0908196j -0.40317+0.176833j -0.066639-0.0400774j -0.116553-0.0218773j -0.00687485-0.0343274j 0.0320986+0.126618j 0.0140234+0.0538887j 0.110206-0.0429814j -0.0421476-0.0532871j 0.0116651-0.0865859j -0.158376+0.0410038j 0.0207692+0.207461j -0.0861823-0.0490209j -0.014189+0.0865613j 0.158978+0.0926653j 0.0200583+0.15099j -0.191929+0.0846872j 
0.117657-0.133794j 0.142458+0.0585049j 0.0646451-0.0513063j -0.014702-1.23701e-12j -0.242268-0.251938j 0.0326704-0.189061j -0.319697+0.146678j -0.223773+0.0881727j 0.210979+0.322782j -0.0720102+0.445527j 0.000390675+0.125356j 0.0733008+0.00469802j 0.0494163+0.0371233j 0.00210586-0.0406476j 0.0601088-0.000372232j -0.0224333+0.0640105j -0.0264528-0.0786883j 0.0235133-0.21203j -0.114726-0.0989336j 0.0623632+0.00911613j 0.165365+0.0090035j -0.0951462+0.0503702j 0.0938443+0.0186994j 0.0436724+0.12585j -0.049443+0.0647519j 0.0751369-0.0380609j 
0.019651+0.0812664j 0.0497285-0.0792004j -0.0506449+0.102423j -0.242268+0.251938j -0.127312-1.15167e-11j -0.159809+0.114881j 0.566854+0.412542j -0.322954+0.144303j -0.0512422-0.221919j 0.248196-0.0474739j 0.0412998+0.139449j -0.0344898+0.032148j 0.0388924+0.00925535j -0.0478018+0.0213625j -0.0729395+0.0183012j 0.107201+0.0195178j -0.0764118-0.0281751j 0.0876946+0.0234604j 0.109589-0.0111025j 0.0270811+0.122634j 0.00332586+0.00790272j -0.0416164-0.0785125j -0.127626+0.00701785j -0.0237481-0.0528522j 0.0574466-0.0471638j 0.0363882+0.0348731j 
-0.117442-0.214891j -0.161304+0.141582j -0.0163347+0.140495j 0.0326704+0.189061j -0.159809-0.114881j 0.124232+2.24172e-11j -0.158973+0.108553j 0.0315378-0.180393j -0.00293017-0.140051j -0.163658-0.131075j 0.106895-0.223185j 0.0789913-0.0791065j -0.0798705-0.0580992j 0.0737961+0.00332068j 0.0671196+0.121936j 0.109384-0.0251184j 0.101862+0.0771837j -0.0644051+0.226917j 0.064126-0.00311513j 0.0634878+0.226129j 0.100404-0.0747498j 0.108709+0.0211802j 0.064713-0.118085j 0.0767642-0.00555233j -0.0724302+0.0633913j -0.0850085-0.0751245j 
-0.0307348+0.142042j 0.248545+0.0338738j -0.0340582+0.217104j -0.319697-0.146678j 0.566854-0.412542j -0.158973-0.108553j -0.135634+9.23531e-12j -0.243177-0.254618j -0.0606853-0.106523j 0.0476569+0.0715799j -0.0164293+0.0812925j -0.0329717+0.0381853j 0.0613949+0.0430702j -0.019426+0.054098j -0.129163-0.00853755j -0.0453703+0.0784454j 0.00478697-0.0095041j -0.0246959+0.124285j 0.109655+0.0124525j -0.0857989+0.0208753j -0.0773094+0.0276263j 0.109414-0.0198419j -0.0689765-0.0192263j -0.049571-0.0207121j 0.0353681-0.0116555j 0.03572+0.030475j 
-0.0102801+0.0985741j -0.0774014-0.445217j 0.212733-0.330884j -0.223773-0.0881727j -0.322954-0.144303j 0.0315378+0.180393j -0.243177+0.254618j -0.0174476+6.29032e-13j 0.0721903+0.0617278j 0.149923-0.0422265j -0.110661-0.138844j -0.0804794-0.0430552j -0.0463442-0.0615563j 0.038329-0.131938j 0.0991894-0.0182832j -0.0905425-0.0498103j 0.164396-0.00774156j -0.0656546+0.0024433j -0.115987+0.0983947j -0.0237605-0.211977j -0.0237575+0.0766632j -0.0241583-0.0580731j 0.0623278-0.00211105j 0.00028135+0.0448031j 0.0521734-0.0373157j -0.0671685+0.00355374j 
0.408478+0.169984j 0.115355-0.0943591j 0.120929-0.317876j 0.210979-0.322782j -0.0512422+0.221919j -0.00293017+0.140051j -0.0606853+0.106523j 0.0721903-0.0617278j -0.225513-4.96547e-14j -0.19339-0.149673j 0.144945+0.0944942j 0.198018+0.0791521j 0.00800127-0.154556j 0.164348-0.0924354j -0.00848895-0.0928114j -0.0917305+0.0492459j 0.0237091-0.20218j 0.154392+0.0444219j 0.00496996+0.0866587j 0.0405676-0.0520955j 0.109119+0.0404819j 0.0131219-0.0539325j 0.0306937-0.12637j 0.000626788+0.0294419j -0.1185+0.0271741j 0.0557064-0.0408133j 
-0.221284-0.143272j -0.0437768-0.236504j 0.138499-0.0908196j -0.0720102-0.445527j 0.248196+0.0474739j -0.163658+0.131075j 0.0476569-0.0715799j 0.149923+0.0422265j -0.19339+0.149673j 0.259273+5.05568e-14j 0.00759327-0.00258316j -0.106436-0.0558527j 0.0465417-0.0784909j -0.0624318-0.178044j 0.0676158+0.10167j 0.212617-0.0864169j 0.0223067-0.0763027j -0.00334193-0.0457026j 0.160213+0.0872034j 0.0519128-0.00483797j -0.0116696-0.00848306j -0.0453663+0.0321746j 0.0139266-0.067016j -0.0224382+0.110547j 0.0490583-0.0719356j 0.0283444-0.0189552j 
0.358435+0.522287j 0.217086+0.114785j -0.40317-0.176833j 0.000390675-0.125356j 0.0412998-0.139449j 0.106895+0.223185j -0.0164293-0.0812925j -0.110661+0.138844j 0.144945-0.0944942j 0.00759327+0.00258316j -0.0878867+1.02141e-14j 0.144144+0.141805j -0.175788-0.198348j 0.0123359+0.00771388j -0.0629836+0.0318555j -0.00604299-0.235327j -0.154413-0.00974584j -0.043325+0.0552621j 0.078073+0.0711105j -0.00255184-0.0406364j 0.0681222+0.0551328j 0.00810584-0.0156624j 0.039633+0.0887232j -0.00605778-0.0360944j 0.0208883-0.0131405j -0.0215375+0.0371292j 
