-0.105344+0.244221j 0.242986+0.107908j -0.00920365-0.0320384j -0.000286764-0.0104531j 0.0290835+0.0478211j -0.00367699+0.0321925j -0.0430386-0.0240055j 0.0051895+0.0716367j 0.0235315+0.0181301j -0.0914826-0.0040463j 0.0812388-0.00254702j 0.0143709-0.0153925j 0.0285193+0.0368226j 0.05922+0.027925j -0.0274036+0.00800719j -0.0124985+0.0988545j -0.0196464-0.0112602j -0.0437901-0.0145876j 0.0197271-0.0180974j 0.0177324+0.0745071j -0.123142+0.122597j 0.07132-0.148583j -0.107464-0.081607j -0.0396258-0.137075j -0.0645325+0.00719618j -0.156937-0.0235239j 0.0629542-0.0327115j 0.0158165+0.0143514j 0.256932-0.0666119j -0.035349-0.0453329j -0.0562652-0.0311026j -0.132301-0.286102j 0.039825+0.0402474j -0.044706+0.0831708j 0.250775+0.00574685j 0.0244246-0.0957405j 0.0370251+0.172956j -0.209787+0.0704455j 0.0121243+0.00218115j 0.0923336-0.0263531j 0.0240491+0.0313851j -0.0130704+0.013035j -0.0359063+0.0108414j -0.0557313+0.0572978j 0.0722432+0.0232994j 0.0832071+0.0769043j -0.0353404-0.0855429j 0.00242963+0.0806849j 0.0740629+0.121054j 0.0494635-0.0440358j 0.0146433+0.0482879j -0.0646299+0.0534509j -0.0495406+0.0571682j -0.0842491+0.197389j 0.00578599+0.151408j -0.000486101-0.0264227j -0.00269455-0.0345533j 0.0150724-0.0422767j 0.0140966-0.030564j -0.00328778-0.012241j -0.0867935-0.0237855j -0.00113406-0.0216378j 0.0427986-0.0396354j 0.00105985+0.00765276j 0.0207726+0.0255168j -0.00354504+0.0150121j 0.0199291+0.0126241j 0.0113125+0.000926399j 0.0232079+0.0144025j -0.00430232-0.0225708j -0.000979967-0.00290618j -0.0127316+0.010176j 0.025308+0.0346623j 0.0219933+0.0205632j 0.0216307+0.0502067j 0.00660843+0.0470264j 0.0011713+0.0279631j 0.00191823+0.00886604j -0.0148749+0.00265654j -0.018334+0.0185603j -0.0130775-0.0247281j 0.00282004+0.0310612j 0.0318417-0.0274942j 0.0212653-0.0104578j -0.0136257-0.0269052j 0.00808992+0.0205196j 0.00643692+0.0233304j 0.000793493+0.00280251j -0.0113205+0.0228706j -0.0498267+0.00626087j -0.0164199+0.0309936j 0.0140684-0.00135511j 0.0165291-0.021168j 0.124635+0.0523577j -0.0604589+0.113084j 
-0.0590923+0.0673447j 0.0610615+0.0567272j -0.283711+0.120351j 0.179353+0.242992j 0.072191-0.0902261j -0.0265907+0.0754501j -0.181878-0.295315j 0.201183+0.158561j 0.10384-0.110118j 0.0341334+0.112387j 0.024255+0.198508j -0.0222948-0.0611722j -0.0128856-0.17217j -0.0841801+0.0252083j -0.00932683+0.0536143j -0.268155+0.322612j -0.0320945+0.108562j -0.0295643-0.14296j 0.119428-0.148987j 0.184332-0.0611284j 0.0275374+0.0509846j 0.0721193+0.00234582j 0.0434698+0.102132j 0.029695+0.0579959j 0.0439366+0.0219408j 0.0369903+0.0064992j -0.216932-0.00193153j 0.311973+0.0479722j 0.0547718+0.0941941j 0.0144111+0.0180335j -0.0153544+0.0491624j 0.0264867+0.0786604j -0.0542491-0.0227205j 0.00847529+0.04907j -0.0321978+0.00312287j -0.0404239+0.0217984j -0.049858-0.0283192j 0.0432739-0.00886684j 0.00240038+0.00654504j -0.000477053+0.0165913j 0.0116719-0.0108372j 0.00885875-0.0339905j 0.00438668-0.00746446j 0.0113208-0.00264968j 0.0069997+0.0190218j 0.0134279-0.0193641j -0.00497933+0.000679614j 0.00920796-0.0145131j -0.000472128-0.0138552j -0.00138816+0.00634898j 0.00146467-0.00598459j 0.011902-0.00425513j 0.0248348-0.025521j 0.0354439+0.00415956j 0.00456703-0.0104064j -0.00496187-0.000320803j -0.00127978+0.00356419j 0.00501199+0.00338807j 0.00214159-0.0135113j -0.00435791-0.000543572j 0.010688+0.00192717j -0.00162067+0.00823717j 0.00961294-0.0202422j -0.0122383+0.00936263j -0.00773122-0.00506089j -0.00183399+0.00389573j -0.0151792+0.0218204j -0.000234939+0.0220471j 0.00089025+0.0121227j -0.0144067+0.00251008j -0.00316695+0.000939798j -0.00340239-0.0066304j -0.0202929+0.000708216j 0.00884373-0.00671393j 0.00765733-0.00827274j 0.00277688-0.0097291j 0.015085-0.00651796j -0.0145168+0.00253385j -0.00109944+0.00460719j -0.0125277-0.00313651j -0.00355545-0.0126106j -0.0295025+0.0112091j 0.00180571-0.00551511j -0.0133699+0.00530192j -0.00318496-0.00233454j 0.0182651-0.00184833j -0.00874173-0.0199514j -0.00147389-0.00528894j 0.00595958-0.0018165j -0.00334629-0.0115906j -0.0272439+0.00112274j 0.00674374-0.00474955j -0.00561271-0.010571j 0.00205759-0.00336844j 0.00494902+0.00128667j 
-0.0396308-0.00584415j -0.0153727+0.040475j -0.0182008+0.0346405j 0.0186591+0.0211355j -0.0494512+0.0167036j -0.00600154-0.0292413j -0.0379731-0.0339601j 0.0379395-0.0229728j -0.00638357-0.0196995j -0.0259044+0.0132376j -0.00406647-0.0241783j 0.0199944-0.00479911j 0.0202332+0.0344809j 0.0587325+0.000495959j -0.0289191+0.0296758j 0.0044433+0.0478922j -0.0317903+0.0164331j 0.00770587-0.0285179j 0.00212086+0.044747j 0.0241906+0.0462272j -0.0647949+0.0263932j 0.0206572-0.0628756j -0.0612503-0.0630807j 0.001106-0.0332117j -0.0249535+0.00262869j -0.0578737+0.00670691j 0.0452319-0.0071594j -0.00362964+0.0472171j 0.112113-0.0811589j -0.0153859-0.0416037j -0.0576906+0.0146572j -0.0815766-0.14334j 0.0121419+0.0154778j -0.0266664+0.0215671j 0.090089-0.0350589j 0.00812014-0.0692403j 0.0622056+0.126331j -0.124195-0.00203815j -0.0392682+0.0144527j 0.102126+0.0141536j -0.0575822+0.0631955j -0.0371237-0.0192904j 0.00457049+0.014315j -0.0436992+0.0620377j 0.0301175+0.0419549j 0.0531336+0.0264906j -0.065036-0.0283065j 0.0343141+0.0154267j -0.0275025+0.0474115j -0.0638339-0.000434867j -0.0197344+0.0351843j -0.019692+0.0177435j -0.0523709+0.0312066j -0.03036+0.0958001j -0.010474+0.0370681j -0.000406136+0.0149207j -0.0240048+0.0493337j 0.0105912-0.0204716j 0.0249779+0.00144341j -0.00187877+0.0127123j -0.00711967-0.0061401j -0.0415348-0.0203668j 0.0153311-0.0170239j -0.0172424-0.0308785j -0.00998227-0.0524844j -0.00902432-0.0829386j 0.017068+0.052959j -0.00577359-0.0254609j 0.00147483-0.02938j 0.0124495+0.0608285j 0.00189734+0.0466859j -0.0103269-0.0341411j 0.010993-0.0308341j -0.00228371+0.0191308j 0.0220509-0.0232245j 0.0436254-0.0443887j -0.0103408-0.0396965j 0.0217408-0.0123143j -0.0364892+0.0166666j -0.0149527-0.0169682j 0.0281193-0.00386175j -0.00666569-0.0122239j -0.0771881-0.00674655j 0.0310599+0.00731199j 0.0116556-0.0163885j -0.0177856+0.0149889j -0.027357-0.0507057j 0.021572-0.0165868j 0.0291939-0.0267676j -0.0495344+0.0161676j -0.0623158+0.0585405j 0.0316459+0.00231503j -0.0502166-0.0696933j -0.110989-0.0357592j 0.0428626-0.105829j 
-0.0156647+0.050309j 0.0532789+0.0120923j 0.00521549-0.017519j -0.00749116-0.0106469j -0.0126005-0.0317035j 0.0309565-0.0212022j 0.0226008+0.0137572j 0.00884734-0.00148227j 0.00388268-0.00488986j 0.00349843+0.0024784j -0.00508006-0.00122704j -0.00208201+0.000177776j -0.00372779-0.00822099j -0.00519357+0.00467156j -0.00357371+1.03457e-05j 0.00207005-0.00375346j 0.000900833-0.00162822j 0.0149659-0.00346569j -0.0175351-0.00351909j 0.0108389-0.0105265j 0.0324049-0.0413017j -0.0132273-0.00291508j -0.00804184+0.0191239j 0.0399684+0.0412063j 0.00553803-0.0142872j 0.0086024-0.00117901j -0.00163605-0.0142666j 0.00770031+0.00554444j -0.00385751-0.00211017j 0.00147272-0.00673324j 0.00294596+0.0281512j -0.0101951+0.00530879j -0.00357696-0.0123819j -0.0576938-0.0235122j -0.00244723-0.0142901j 0.00955276-0.0472928j 0.00311997-0.00447416j 0.0366191+0.00341732j 0.0377888-0.045676j -0.0317636-0.00628766j -0.0557112-0.0310624j -0.0405279+0.0209603j -0.0045561+0.00295593j -0.0149194-0.0149651j -0.00232743+0.0428148j -0.00338196+0.000677444j -0.0236197-0.0122634j 0.0268776-0.0137522j 0.010192-0.0154281j -0.0188126+0.0102126j -0.0128887+0.0590257j -0.0257414-0.0107075j -0.0297118+0.00474456j 0.0101315-0.0121415j 0.0277017+0.0211363j 0.0213505+0.00479496j -0.00560476+0.069928j -0.00797599-0.000398714j 0.0582991+0.0168715j 0.0492578-0.0127754j 0.0167485+0.0368288j 0.0289078+0.0432639j -0.0113226+0.00167723j 0.0257819-0.00901532j 0.00342289+0.0264463j 0.0194492-0.0206132j 0.00177902+0.0310951j -0.0207008-0.020127j -0.047506-0.00314555j 0.0167531+0.00454655j 0.00155998-0.0192627j 0.0067875+0.0107768j 0.0201841+0.0225171j -0.0288567-0.0333676j 0.018998-0.00272032j -0.0128724+0.0163852j -0.00209713+0.0144055j -0.0261069+0.00793279j 0.0277621-0.0553342j 0.00864692-0.00641937j 0.0201661+0.00412326j 0.0619227-0.0223523j 0.0169418+0.0185559j -0.0428158+0.029661j 0.00975813+0.0494609j -0.0465437-0.012796j -0.0320176-0.0513817j 0.0229749+0.0120204j 0.0191164-0.0117774j -0.0238561-0.0461007j -0.0802062+0.0311545j -0.00626815-0.0187541j 0.0043591-0.064922j 0.0201324+0.0649833j -0.0620769+0.0228836j 
0.00715135+0.0540209j 0.061632-0.00658576j 0.0227785-0.0143801j -0.00993259-0.0245204j 0.0470331+0.0590334j -0.0586273+0.05037j -0.0050018-0.00194411j -0.0366633+0.0528631j 0.0291339+0.0106489j -0.00952951+0.00131059j -0.00619116+0.00882817j -0.000826869-5.00265e-05j -0.0218818-0.013443j -0.0271879+0.0160037j 0.022306-0.0112291j -0.00417311-0.0148605j -0.00243323-0.0242119j -0.0262565+0.0115807j -0.00643893-0.0243536j -0.0180944-0.0402533j -0.0567756+0.000242768j 0.0324513+0.0438066j 0.00675376+0.00992247j -0.00739619-0.0602215j 0.0371822-0.0428024j 0.00347124-0.0254263j -0.0507586+0.0202506j -0.00721095-0.0138748j -0.0052908+0.0492252j -0.0257212+0.000896782j 0.0665656-0.0652036j 0.048322+0.053607j 0.0170149+0.0436361j 0.0578047+0.00797588j 0.0209688-0.00977864j -0.0279808+0.0248084j -0.00510891-0.00573053j 0.00824632+0.0490033j -0.046115-0.0326535j -0.026713-0.00381245j 0.0227608-0.00652244j -0.073613-0.0822257j 0.0976505+0.0515387j -0.0083068+0.0508013j -0.0769148+0.0843809j 0.00186956-0.00738709j 0.0397884+0.0207861j 0.0104898-0.033895j 0.0967454-0.0204133j 0.0316661+0.0130112j -0.00555308+0.0473983j 0.00872257-0.0543836j -0.0454077-0.0233006j 0.00819672+0.0727449j 0.0437652-0.0413316j 0.0779433-0.0514198j -0.0524522+0.0237503j 0.0783624+0.0120306j 0.0303885+0.113169j 0.0271374+0.0308113j 0.021948+0.0498826j 0.0512926-0.0131849j 0.0208644+0.00630919j 0.02668+0.0518544j 0.000631997-0.00215309j 0.0482819+0.0717612j 0.0363606-0.0277133j -0.0411742-0.0288235j 0.0122011-0.0996841j -0.0406023+0.0364476j 0.0324016-0.0571697j -0.000397063+0.0309888j -0.0606889+0.114073j -0.0647594-0.0259025j 0.0484445+0.0527554j 0.0553529+0.0136725j -0.0936614-0.0243631j -0.019838-0.0158714j 0.0237514-0.0109537j -0.00456624+0.0436073j 0.0164732+0.036642j 0.0490907-0.0515817j 0.0301804-0.0451708j 0.101207+0.0191062j 0.0381915-0.0201921j -0.0140211+0.110541j 0.0274552+0.0875451j -0.0413755+0.00871628j -0.0311253-0.0185797j 0.157385+0.0312421j 0.0288604-0.0503601j 0.0349979-0.0981267j -0.0323365+0.0417211j 0.102125-0.00216013j -0.00429524+0.0949551j 
0.0392822+0.0325948j 0.0334462-0.0348674j -0.00556348+0.0414011j 0.0198065+0.00557377j -0.015604+0.0900889j -0.12213-0.0256682j -0.010675-0.0494895j 0.0148532+0.0128222j 0.00613261-0.0364203j 0.0101054+0.0149814j -0.0373001+0.00330473j -0.00263162+0.0144672j 0.0142833+0.00642452j 0.0103565+0.00874778j 0.00887954+0.0144525j -0.00222877-0.0134948j -0.0279536-0.0115701j -0.0102082+0.0150079j -0.0318227+0.0217554j -0.0054928-0.0230426j -0.135392-0.0348823j 0.0357794+0.0311043j 0.0414096+0.0167162j 0.0485501-0.119524j 0.0255032-0.0684921j 0.0384363-0.0570454j -0.0273753+0.0744264j -0.0248841+0.067184j -0.00943967-0.0138967j -0.00364366-0.0164807j -0.00327329-0.028937j 0.0279167+0.0197511j 0.1218-0.0139793j 0.0194632-0.15703j -0.0465463-0.015302j 0.0375651-0.042747j 0.111776+0.0230936j -0.00729165+0.0613415j -0.127458-0.0748193j 0.0169348+0.029668j 0.00254368+0.0750478j -0.0575751-0.111803j -0.00166881-0.0186107j 0.0206106+0.104198j -0.0909751+0.00696532j 0.0488792+0.00262398j 0.0754128+0.0309127j 0.0456129-0.0297212j 0.0869815-0.050854j -0.0459053+0.0453284j -0.0886137-0.00817407j -0.0685695+0.041872j -0.0305304-0.0652612j 0.0320022+0.0407319j 0.00501053-0.0772026j 0.124078-0.0233205j -0.11082+0.0420909j 0.0044357+0.0108058j -0.018537+0.157733j -0.0213846+0.052475j 0.0497343+0.0816017j 0.0415157-0.0738601j 0.0467951-0.0279208j -0.0106762+0.0600035j -0.00663278-0.0229552j 0.0573798+0.00140616j 0.0766187-0.0228989j -0.0896684-0.0424776j -0.0372615-0.125063j -0.0362536+0.0955337j -0.0714913+0.0526639j 0.0149092-0.00168268j -0.0229369+0.0739246j -0.0848257-0.0594604j -0.0181334-0.00755101j 0.0641513-0.0806602j -0.0746777+0.0402835j 0.125486+0.0251085j 0.00754282+0.00461385j 0.0215324-0.0854364j -0.00476632+0.0457904j -0.000611331+0.0667089j 0.00985258-0.0939493j 0.125193+0.0983875j 0.0382564-0.00718322j 0.076801+0.217122j -0.0648543-0.00438736j -0.053143-0.0161687j -0.000236941-0.069598j 0.224053-0.0146537j -0.144057-0.0391447j 0.116167-0.205359j -0.109144-0.0247949j 0.00309966-0.0109467j 0.0212565-0.0042868j 
3.56962e-05-0.0441577j -0.0544625-0.00277335j 0.0200444-0.00693818j -0.0183912-0.0131727j 0.0120285+0.00683677j -6.03119e-05+0.0325255j -0.00560328-0.00684188j -0.0145011+0.00578866j 0.00467061+0.0347836j -0.0510921+0.00611415j -0.0154615-0.0369922j 0.0127438-0.0324935j -0.0291931+0.015352j -0.0015309+0.0130549j -0.0153701+0.0110984j 0.0146634+0.0193097j -0.0305064+0.00105976j -0.00773738-0.0347608j 0.00306708+0.0179657j 0.0164705-0.0181026j -0.019774+0.00982135j 1.88762e-05-0.013533j 0.0159756-0.0243574j -0.0292662-0.00533396j 0.00679477+0.0141167j -0.00864063+0.00433041j -0.0104945-0.00157805j 0.0384686+0.0132846j -0.00416329+0.00233678j -0.00839189-0.00425536j 0.0220124+0.0356155j -0.0297305+0.0157312j -0.111186+0.0596039j 0.0436279+0.130039j 0.0571072-0.017416j -0.0917195+0.0715024j -0.0980586+0.0216832j -0.0200947-0.0323912j 0.019217+0.0330044j 0.0627546+0.0143087j -0.0609476-0.0500514j -0.164144-0.0770443j 0.212175+0.158684j -0.0307586+0.0278973j -0.0249238+0.191809j -0.0171401-0.0675462j -0.0488424+0.0272274j 0.0190163-0.0588249j -0.0090369+0.0348231j 0.00707517-0.0685624j -0.0128987+0.0709383j 0.116212-0.180715j -0.0674024+0.0265957j -0.0353341+0.0784675j 0.0953313-0.0609786j -0.0104321-0.0282024j 0.0116889+0.0390104j 0.159367-0.008706j 0.0735667+0.0344667j 0.036073+0.0101271j 0.0174571-0.00709986j 0.00332066+0.0343851j -0.0418104+0.0241325j 0.0734061-0.0264613j -0.039227-0.121771j 0.0063532+0.124108j -0.00773822+0.0807323j -0.0439222-0.0331433j 0.177188-0.134544j -0.0637569+0.0585592j 0.194929-0.0332052j -0.0128566-0.0223028j -0.0350039+0.0110373j -0.098236-0.00230944j 0.118678+0.0453503j 0.0413186+0.0412637j -0.165615-0.20922j -0.206085-0.00323003j -0.0929372+0.0269398j 0.0624535+0.164852j 0.0980338-0.0258843j 0.0634786-0.233402j -0.0675634+0.0253339j 0.0880827-0.0866469j -0.0181539-0.0384092j -0.0877394+0.0101666j 0.050849+0.0492232j 0.0125393+0.0423443j -0.0236761-0.0162139j 0.0375053+0.0444841j 0.113861-0.00709521j -0.0206312+0.0308286j -0.0126943+0.030831j -0.0513122-0.023314j 0.0292256-0.040725j 
0.078668+0.0751973j 0.0729664-0.0770359j -0.0138551-0.0287102j -0.0282079-0.00306319j -0.0608377+0.0101268j -0.0260042-0.0751718j 0.0536645-0.0126933j -0.0135376-0.0170168j -0.00943456-0.0170355j 0.0326242-0.0112534j -0.00558861+0.02984j -0.00388771-0.0068536j -0.0192919-0.0192465j 0.00643751-0.00338053j 0.00976526+0.0055871j 0.01399-0.00308962j -0.00459824-0.00111245j -0.00205171-0.0346716j -0.00924233+0.0288147j 0.00883806-0.0338603j -0.0507895-0.113456j 0.0101071+0.0504473j 0.0154249+0.0175831j 0.10628-0.0402582j -0.0375711-0.0395254j 0.0024056-0.00370074j -0.0490237+0.00363896j 0.0256329-0.00715921j -0.0369288+0.00649396j -0.0250015-0.00800903j 0.0545286+0.0424613j 0.0155021+0.0196966j -0.0319361-0.0261224j -0.120745+0.120496j -0.00971343-0.0106466j -0.110399-0.0566517j -0.00837572-0.00252463j 0.0460881-0.038727j -0.0770056-0.15601j -0.0235651+0.0960702j -0.127156+0.086221j -0.00867598+0.134772j -0.00831262+0.015496j -0.0567278+0.0348873j 0.105966+0.0531939j -0.0527617-0.00865039j -0.0720943+0.0161276j 0.019488-0.0705583j -0.0172871-0.0666353j 0.0461231+0.0244454j 0.130535+0.096776j -0.0655744+0.0478357j -0.00077119+0.0532803j -0.0300588-0.0490663j 0.103022-0.0320221j 0.0444221-0.0292315j 0.135234+0.0691676j -0.0169819-0.0201195j 0.0863684-0.126415j 0.0091877-0.148644j 0.071129-0.00520082j 0.132693-0.0820484j 0.0201318+0.00640988j -0.00410766-0.0583427j 0.10958+0.0151231j 0.000436873-0.064382j 0.0974689+0.0275659j -0.0906165+0.0546605j -0.0456351+0.122999j 0.0196226-0.0621691j -0.0396254-0.0457239j 0.0451854+0.0147798j 0.0714676-0.0807773j -0.114698-0.000227663j -0.0146628-0.0566753j -0.00586052+0.0977611j 0.0466985+0.024577j -0.0214654+0.0747654j -0.101033-0.112587j -0.0407906-0.029718j -0.00703615-0.0528475j -0.0283153-0.152503j 0.130278-0.0425748j 0.108087+0.1459j 0.0855436-0.0246308j -0.0415391+0.0961491j -0.157077+0.0757748j 0.0461241-0.0417441j -0.0179632-0.0570307j -0.144643+0.00970935j 0.020839+0.189357j -0.0286434+0.0178241j -0.138279-0.0376385j 0.120553-0.03135j 0.0577787+0.113518j 
-0.0102592+0.134884j 0.154773+0.00657735j 0.0438238-0.0661169j -0.029187-0.0494157j 0.0946389+0.0335813j -0.0127082+0.0687721j 0.0242948+0.0536509j -0.0734949+0.0680655j 0.0169886+0.0472364j -0.00817455-0.0187989j 0.0437362+0.0338881j -0.0204521-0.00854747j -0.00937062-0.0295439j -0.0526039+0.00380351j 0.0372454-0.0369704j 0.00552389-0.022234j 0.0372362-0.0298212j -0.0422198+0.0316693j 0.0186475-0.069825j -0.0216214-0.0311069j 0.0131652+0.038845j 0.000734708+0.0338258j 0.0234154+0.0528301j -0.0288834-0.0367179j 0.0133684-0.00128343j -0.00215934-0.0270538j -0.0365421-0.00756905j 0.00963303-0.0662729j -0.0362507+0.0817589j 0.000485941+0.0337197j 0.0705649-0.0504026j 0.0511663+0.0511148j -0.000682369+0.00426371j 0.01544+0.0281418j -0.0067593+0.0441887j -0.026001+0.053221j -0.0589341-0.100874j 0.0502581+0.0319886j 0.0724061-0.00543204j -0.0859414-0.0642616j 0.0869477-0.0512621j 0.0259066+0.0380335j -0.0141141-0.00306011j 0.00687122-0.0422926j -0.00815315-0.0294146j -0.0220955-0.00475147j 0.101741+0.00869276j -0.0738706+0.0121182j 0.0774635+0.0254686j 0.147988+0.000980475j 0.0692409+0.00167253j -0.00520268-0.0142955j 0.0253284-0.00518996j -0.00756938-0.0230158j 0.0344496+0.0251118j 0.00331313-0.0145051j 0.0243072-0.0552518j 0.00675301+0.00491202j -0.0238011-0.0021483j 0.0365089+0.00181322j -0.047976-0.0342306j 0.0547284+0.032299j -0.00976141+0.0179453j 0.024688+0.0689486j 0.0100174+0.110394j 0.00119289+0.155938j -0.024283-0.0714876j 0.0246418+0.0406291j 0.00799731+0.0562792j -0.0231748-0.120481j 0.0295074-0.0933561j 0.0217969+0.0642535j -0.00753079+0.095264j 0.0158918+0.00287361j -0.0146545+0.096889j -0.0451683+0.11813j -5.03818e-05+0.0715608j -0.0470395+0.0209115j 0.0441846-0.0234813j 0.0264585+0.0673388j -0.0546262+0.00351704j 0.0396675+0.0151393j 0.13323-0.026682j -0.0218136-0.023201j 0.0369284+0.00295231j -0.00216088+0.0086038j 0.0931741+0.0965477j -0.017264+0.0330127j -0.0336293+0.0652394j 0.0307482-0.0130564j 0.0584383-0.0761755j -0.0199226+0.000370688j 0.101912+0.0380619j 0.239907+0.0258495j -0.0520578+0.218955j 
0.013236-0.0292851j -0.0341319-0.0162663j -0.00782888-0.00249214j -0.00304937+0.0106551j 0.0075791-0.0267253j 0.0163335+0.00275788j 0.0034696-0.00115438j 0.0153837-0.0102619j -0.0028551-0.000374772j 0.00698274+0.00397191j 0.00232946-0.0125762j -0.00527004-0.00114843j 0.0032179-0.00323677j 0.00251256-0.0088766j -0.0107812+0.00108317j 0.00911117+0.00420456j -0.00264353+0.0100203j 0.00991582+0.00279858j 0.00148363+0.0042548j 0.0186737+0.00929603j 0.01323+0.0123202j -0.00721389+0.00583969j 0.00922898-0.0193432j -0.0166403+0.0110195j -0.00871756+0.00910069j -0.013882+0.00349388j 0.0190236+0.00760071j 0.00150946+0.00569423j 0.00259484-0.00571655j 0.00475073-0.0110985j -0.0356774+0.0161754j -0.00600037-0.0236137j -0.00970538-0.00621721j -0.00996023+0.0121188j 0.0179694-0.0126163j -0.0127971+0.00285229j -0.0134236+0.00955298j -0.00102918-0.0147854j -0.00394478+0.0161671j -0.00150546+0.0364484j -0.0426243-0.00411942j -0.00240918+0.0311849j 0.00320745-0.00689187j -0.00181632-0.0303294j 0.028609+0.00260185j 0.000889346-0.0102007j -0.0445695+0.00783569j -0.0146998-0.013312j -0.0542493+0.0242348j 0.00235028+0.0234857j 0.00198495+0.00828725j 0.0292652-0.0139039j -0.00567207+0.00704346j -0.00193915-0.00935713j -0.0306872+0.00544988j -0.0230802-0.00237708j 0.00729908+0.0197953j -0.0247029-0.0214635j 0.00121013-0.0255636j -0.00564774+0.00276625j 0.0128139-0.0305117j -0.00918395+0.0206891j -0.0046141-0.00711763j -0.018516-0.0330639j -0.0200367-0.00337068j -0.0282476-0.0298256j -0.0285453+0.024382j 0.0265375+0.00644595j 0.0102354+0.0362933j 0.0494453-0.00992596j 0.0247424+0.0325456j -0.0111251-0.016689j 0.0205266-0.0531023j 0.0395107+0.0441838j -0.00519428-0.0300478j -0.00310249-0.0249971j 0.0111957-0.038181j -0.024148-0.00954598j -0.022177+0.0364008j -0.0138128+0.0158641j -0.0168328-0.0131753j 0.00299904-0.012013j -0.0500245+0.0451192j -0.0456414+0.0053505j 0.0232184+0.0208101j -0.0232224-0.039821j 0.00655533-0.0299677j 0.0208201-0.00637892j 0.0209985+0.00424515j -0.0326202+0.0398255j 0.010048+0.00604682j 0.0230541+0.0207059j -0.0235272-0.0305398j -0.0341584-0.00844317j 0.00496983-0.0291697j 
0.00418428-0.00470531j -0.00177665-0.00274885j 0.00890053-0.0025254j 0.0102691-0.00308598j 0.00264725+0.00822602j 0.0112551+0.0102513j -0.00829754+0.0108501j -0.0189496+0.0051856j 0.0261056+0.0158808j -0.00570376+0.00710559j 0.00163536+0.0128167j -0.00716372+0.0122221j 0.00470154-0.000897873j 0.00988827+0.018836j 0.0108517+0.0150663j 0.000115093-0.00378769j 0.00700393-0.0205807j 0.0131021-0.0204981j 0.00417279+0.000453003j 0.0132446+0.00634234j 0.00724046-0.00180092j 0.0100114+0.00396277j -0.00535554+0.016537j 0.0161177+0.0189246j -0.000623596-0.0126322j -0.0159166-0.0137441j 0.00625263-0.00967148j -0.00226952-0.0156583j -0.00353383-0.00213688j 0.017541-0.0166975j -0.00617155+0.0165913j 0.0059783-0.0147147j -0.0139849-0.012569j -0.00167829+0.00178104j 0.00322929-0.00211269j 0.00722668-0.00723618j -0.00146326+0.00375183j 0.00109908+0.00577131j 0.00215102+0.00193532j -0.00722012-0.00492255j 0.00510267-0.012397j -0.00220858-0.0253224j 0.0101986-0.0350148j -0.00429781+0.00284192j -0.0100155+0.00201791j 0.0223133-0.00668001j 0.00458338-0.00160389j 0.0184156-0.00363539j -0.00685651-0.000283708j 0.0071964+0.00131573j -0.00335929+0.000349297j -0.0194741-0.00867864j 0.0238622+0.0240074j 0.0185408-0.00219857j -0.00755383-0.00636359j -0.0070146+0.00123979j -0.00829725-0.00784572j 0.000701874+0.000654959j 0.00417247+0.016072j 0.00497671+0.0117499j -0.00178707+0.0127589j -0.00177699+0.00586794j -0.00378671-0.00524338j -0.00251298+0.0123202j -0.00994987-0.0067052j 0.00870484+0.00335403j 0.0034909+0.0154439j 0.00538391-0.00292726j 0.00523321+0.00172376j 0.0100709+0.00637103j -0.00629538-0.00518449j 0.00875153+0.0139325j 0.000277963-0.00672451j 7.20857e-05+0.013419j -0.00618892+0.00760627j 5.75101e-05-0.0078541j -0.00913396+0.0012725j -0.0131205+0.0104262j 0.0141309-0.0139279j 0.00199912+0.00967296j -0.00935896+0.0112212j 0.012053+0.0160303j -0.00845732+0.00542253j 0.0016587-0.00168032j -0.00604858+0.000647995j -0.00047615-0.013033j 0.00182147-0.00555661j 0.0324364-0.00882568j -0.0148213-0.00171145j -0.00119374-0.00132948j -0.0024639+0.0032874j -0.000611344-0.00246743j 0.00129202-0.00663832j -0.00203868+0.00351996j -0.00418232-0.00141578j 
