-0.322799-0j -0.357273-0j -0.124627-0j -0.168938-0j -0.107953-0j -0.076079-0j -0.0360874-0j -0.0972305-0j -0.0595412-0j -0.0461205-0j -0.0282429-0j -0.0931968-0j -0.0442071-0j -0.0421108-0j -0.0199749-0j -0.055386-0j -0.0321763-0j -0.00881186-0j -0.0685367-0j -0.0559599-0j -0.0398162-0j -0.0619363-0j -0.0109041-0j -0.0325098-0j -0.0536384-0j -0.0359817-0j -0.00890317-0j -0.0484728-0j -0.0311611-0j -0.0169655-0j -0.00985401-0j -0.0281602-0j -0.00853382-0j -0.00771198-0j -0.00985606-0j -0.00269919-0j 
0.385899-0j -0.272408-0j 0.148989-0j 0.0365762-0j -0.187993-0j 0.0909508-0j 0.0431417-0j 0.0210511-0j 0.0711802-0j 0.00998539-0j 0.0337637-0j -0.0710592-0j -0.0337063-0j -0.114558-0j -0.0543398-0j 0.0662127-0j 0.0384661-0j 0.0105344-0j 0.0148387-0j 0.0668989-0j 0.00862048-0j -0.0472242-0j 0.00236082-0j 0.0388647-0j 0.0116131-0j -0.0274348-0j 0.0106435-0j -0.0844123-0j 0.00674659-0j -0.0627617-0j -0.00751333-0j -0.0490391-0j 0.00184763-0j -0.0134299-0j -0.0364613-0j -0.00998533-0j 
-0.192186-0j 0.33084-0j 0.115407-0j -0.100581-0j 0.0999659-0j 0.0704502-0j 0.0334174-0j 0.0900367-0j -0.126035-0j 0.0427081-0j -0.0597835-0j -0.055487-0j -0.0263198-0j 0.0389951-0j 0.018497-0j -0.161365-0j -0.0937449-0j -0.0256731-0j 0.0634658-0j -0.0333171-0j 0.0368703-0j 0.0573538-0j 0.0100974-0j -0.0193555-0j -0.11354-0j 0.0333196-0j -0.00530072-0j -0.0288595-0j -0.0659606-0j 0.0157103-0j 0.00912494-0j -0.0167658-0j -0.0180641-0j -0.00459151-0j 0.00912684-0j 0.00249949-0j 
-0.33084-0j 0.342152-0j -0.127732-0j 0.110431-0j -0.0121888-0j -0.077974-0j -0.0369863-0j 0.0635573-0j -0.0610243-0j 0.0301479-0j -0.0289464-0j 0.0892524-0j 0.0423361-0j -0.107723-0j -0.0510974-0j 0.178599-0j 0.103757-0j 0.0284149-0j 0.0448008-0j -0.0573538-0j 0.0260269-0j 0.059315-0j 0.00712777-0j -0.0333196-0j 0.0350622-0j 0.0344589-0j -0.00912494-0j -0.005473-0j 0.0203693-0j -0.108203-0j 0.00943695-0j -0.00317953-0j 0.00557836-0j -0.000870749-0j -0.0628603-0j -0.017215-0j 
0.272872-0j 0.302014-0j -0.155095-0j 0.142808-0j 0.0912559-0j -0.148342-0j -0.0703646-0j -0.121-0j 0.050332-0j -0.0573955-0j 0.0238746-0j 0.0787821-0j 0.0373696-0j 0.0355975-0j 0.0168854-0j 0.0468195-0j 0.0271996-0j 0.00744893-0j -0.133635-0j -0.0696405-0j -0.0776351-0j -0.0770779-0j -0.0212613-0j -0.0404575-0j 0.0453422-0j -0.0447782-0j -0.0110797-0j 0.0409756-0j 0.0263414-0j 0.0143414-0j -0.012263-0j 0.0238046-0j 0.0072139-0j 0.00651917-0j 0.00833163-0j 0.00228171-0j 
0.237818-0j 0.261107-0j -0.142808-0j 0.0225409-0j 0.180194-0j 0.201084-0j 0.0953824-0j -0.0201777-0j 0.15596-0j -0.00957114-0j 0.0739783-0j -0.0437917-0j -0.0207722-0j 0.109806-0j 0.0520855-0j -0.0634658-0j -0.0368703-0j -0.0100974-0j 0.0328069-0j 0.0412278-0j 0.0190591-0j 0.0452651-0j 0.00521954-0j 0.0239512-0j 0.0254449-0j 0.0262966-0j 0.0065593-0j -0.0520208-0j 0.0147822-0j 0.060158-0j 0.00720163-0j -0.0302214-0j 0.00404826-0j -0.00827646-0j 0.0349487-0j 0.00957108-0j 
-0.246593-0j 0.174071-0j 0.375523-0j -0.0233726-0j 0.120129-0j -0.0581184-0j -0.027568-0j 0.0530586-0j -0.0454849-0j 0.0251679-0j -0.0215754-0j 0.0454075-0j 0.0215387-0j 0.0732039-0j 0.0347237-0j -0.0423106-0j -0.0245802-0j -0.00673157-0j -0.00948204-0j 0.168617-0j -0.00550857-0j -0.119027-0j -0.00150858-0j 0.0979574-0j -0.00742087-0j -0.0691486-0j 0.0268267-0j 0.0539403-0j -0.00431114-0j 0.0401054-0j -0.0189371-0j 0.0313365-0j -0.00118065-0j 0.00858184-0j 0.0232991-0j 0.00638072-0j 
0.236363-0j 0.0288197-0j 0.0912559-0j -0.180194-0j 0.190162-0j -0.128494-0j -0.0609503-0j -0.103709-0j 0.0435979-0j -0.0491934-0j 0.0206803-0j 0.0075178-0j 0.003566-0j 0.065834-0j 0.0312278-0j 0.0405553-0j 0.0235605-0j 0.00645231-0j 0.16862-0j 0.0409756-0j 0.0979592-0j 0.00499614-0j 0.0268272-0j 0.0238046-0j -0.0572123-0j 0.0029025-0j 0.00651917-0j 0.085386-0j -0.0332373-0j -0.0496484-0j 0.000794882-0j 0.0496048-0j -0.00910242-0j 0.0135848-0j -0.0288431-0j -0.00789902-0j 
0.488165-0j -0.236363-0j 0.121381-0j 0.255483-0j -0.0714191-0j -0.050332-0j -0.0238746-0j 0.0946978-0j 0.00682438-0j 0.0449191-0j 0.00323709-0j 0.14094-0j 0.0668539-0j -0.0278595-0j -0.0132149-0j -0.036642-0j -0.0212871-0j -0.00582971-0j -0.0453422-0j -0.124586-0j -0.0263414-0j 0.060323-0j -0.0072139-0j -0.072378-0j 0.00614782-0j 0.0350445-0j -0.0198215-0j 0.0733048-0j 0.00357156-0j -0.011224-0j 0.00959733-0j 0.0425863-0j 0.000978112-0j 0.0116627-0j -0.00652053-0j -0.00178572-0j 
-0.214916-0j -0.345698-0j -0.189991-0j 0.0717366-0j 0.0123151-0j 0.0787821-0j 0.0373696-0j 0.0945367-0j -0.14094-0j 0.0448427-0j -0.0668539-0j 0.0579789-0j 0.0275018-0j 0.108839-0j 0.0516269-0j 0.0573538-0j 0.0333196-0j 0.00912494-0j -0.0452651-0j 0.0548492-0j -0.0262966-0j 0.0882266-0j -0.00720163-0j 0.0318645-0j 0.0809788-0j 0.051255-0j 0.00872646-0j -0.0035553-0j 0.0470444-0j 0.109324-0j 0.0140368-0j -0.00206544-0j 0.0128836-0j -0.000565644-0j 0.0635117-0j 0.0173934-0j 
-0.656641-0j -0.117981-0j 0.0645277-0j -0.0622377-0j -0.0814204-0j 0.039391-0j 0.0186848-0j 0.00911727-0j 0.226216-0j 0.0043247-0j 0.107304-0j 0.120913-0j 0.0573543-0j -0.0496156-0j -0.0235347-0j 0.0286769-0j 0.0166598-0j 0.00456247-0j 0.00642666-0j -0.113834-0j 0.00373355-0j -0.0204529-0j 0.00102248-0j -0.0661318-0j 0.0369072-0j -0.0118821-0j -0.0181109-0j 0.143635-0j 0.0214412-0j -0.0271823-0j -0.00325404-0j 0.0834443-0j 0.00587191-0j 0.0228522-0j -0.0157915-0j -0.00432468-0j 
