-0.0314023-0.0494453j -0.0815431-0.0314422j 0.0494829-0.00273618j -0.0310304+0.00156605j -0.0141225+0.0584726j -0.000822093-0.00326962j -0.0047766-0.0639024j 0.00386344+0.0127499j 
-0.116206+0.245374j 0.0264645-0.0144196j 0.0375628+0.0112546j 0.0449038+0.0799162j -0.0248226-0.00308336j -0.00689311+0.0133687j -0.0136711+0.00527332j 0.0127463-0.00888809j 
-0.206286+0.195711j 0.0507153-0.115916j 0.00345446-0.072763j 0.0553453+0.0471949j -0.0522977-0.0279503j -0.0185601+0.0182426j -0.0430035+0.00130754j -0.00559116-0.0120921j 
-0.210547-0.103253j -0.0299034+0.155311j 0.023807+0.087237j -0.0893347-0.0851758j 0.0493604+0.0237785j 0.0356851+0.0609918j 0.0167939-0.0404679j -0.0208828+0.00808103j 
-0.102903-0.102705j 0.0862085-0.0978951j 0.0178023-0.0906755j -0.0662081-0.0568539j -0.0353308-0.00626649j 0.0734342-0.0300734j -0.0688946+0.014452j -0.00190085-0.0128623j 
0.00833579-0.00830601j -0.141151-0.0702603j -0.080229+0.0384673j 0.00763633+0.0067685j -0.0537039-0.0457924j 0.0651937+0.0542124j -0.0109689-0.0205183j 0.0458807+0.0140785j 
0.0747711-0.25418j 0.0156698+0.000131515j 9.08132e-05-0.043046j -0.104106-0.13931j 0.11037-0.0051708j 0.020158+0.0207373j 0.0730189-0.046269j 0.0326294-0.0361162j 
-0.348914+0.192581j 0.153343+0.205506j 0.0319325+0.0126134j -0.0737321+0.0192433j 0.0754117+0.0157183j 0.0191034-0.0602084j 0.0235565-0.0507876j 0.0139145-0.078771j 
-0.356896-0.258479j -0.189258-0.346886j -0.0146793-0.0473801j -0.0993389-0.0556235j -0.0896447-0.0764658j -0.0607014+0.0120133j -0.0742855+0.00828269j -0.0392196+0.0435288j 
0.14817+0.200208j 0.118166+0.0290902j -0.000788207+0.381737j -3.83655e-06+0.148821j 0.0162911+0.0250757j -0.0275414-0.00372708j 0.00689895+0.0509404j 0.0921422-0.000833796j 
-0.318929+0.124276j -0.258491+0.0370108j 0.357585+0.0216352j -0.171068-0.0394802j 0.0140695+0.0213445j -0.0459084-0.00143825j 0.0147745-0.0115518j 0.0131334-0.0715367j 
-0.111864-0.0230061j 0.623689-0.0464525j -0.107275+0.0210385j -0.095443-0.0060479j 0.0810193-0.0165188j -0.0222398+0.0149481j -0.0876714-0.00454688j -0.013901+0.00208919j 
0.0400054-0.158106j 0.0331931+0.258774j 0.420118-0.357273j 0.0682113-0.0695281j -0.0385872+0.00685181j -0.0407966+0.00879883j -0.0516242-0.047876j -0.0605603+0.0370712j 
-0.0632381+0.129429j 0.115765-0.267143j 0.42489+0.0269458j -0.0696614+0.0468588j 0.149585-0.0202839j 0.0644793+0.00685456j 0.06086+0.0436363j -0.106249-0.00625502j 
-0.00585854-0.0576589j 0.041648+0.169499j 0.139973+0.392787j 0.0036563-0.0336662j -0.0458204+0.0695105j -0.0211565-0.00510141j -0.0993683-0.0087737j -0.209392-0.0619375j 
