0.210472-0j 0.11162-0j 0.0911373-0j 0.0432302-0j 0.0374384-0j 0.0144998-0j 0.00217498-0j 0.211987-0j 0.110151-0j 0.0870824-0j 0.0580549-0j 0.0413068-0j 0.047697-0j 0.0168634-0j 0.0130624-0j 0.0138547-0j 0.00379427-0j 0.000464701-0j 
0.110151-0j -0.20203-0j 0.047697-0j -0.179116-0j -0.0677628-0j -0.0939104-0j -0.0242365-0j 0.0200925-0j -0.0361072-0j 0.00825383-0j 0.00550255-0j -0.0309956-0j -0.0156349-0j 0.00159835-0j -0.0153215-0j -0.0103962-0j -0.00605388-0j -0.00113419-0j 
0.054903-0j 0.0291167-0j -0.18888-0j 0.0112768-0j -0.164947-0j -0.0300506-0j 0.000567356-0j 0.0552979-0j 0.0287337-0j -0.180476-0j 0.015144-0j 0.0107751-0j -0.0988509-0j -0.113645-0j 0.00340739-0j -0.0610413-0j -0.00786354-0j 0.00012122-0j 
-0.0607665-0j -0.0322263-0j 0.209052-0j -0.0124812-0j 0.182563-0j 0.0332599-0j -0.000627947-0j 0.0390351-0j 0.0202832-0j -0.127399-0j 0.0106902-0j 0.0076062-0j -0.0697793-0j -0.0802226-0j 0.00240529-0j -0.0430893-0j -0.00555091-0j 8.55698e-05-0j 
-0.0260428-0j 0.109342-0j -0.0112768-0j -0.122609-0j 0.0366744-0j -0.167779-0j -0.0952599-0j -0.0262301-0j 0.107903-0j -0.0107751-0j -0.00718341-0j -0.117154-0j 0.0467235-0j -0.00208659-0j -0.151145-0j -0.0392945-0j -0.0957106-0j -0.0312699-0j 
0.0288241-0j -0.121019-0j 0.0124812-0j 0.135703-0j -0.0405911-0j 0.185697-0j 0.105433-0j -0.018516-0j 0.0761695-0j -0.0076062-0j -0.0050708-0j -0.0826993-0j 0.0329823-0j -0.00147294-0j -0.106694-0j -0.0277382-0j -0.0675625-0j -0.0220735-0j 
0.0364872-0j 0.0193502-0j -0.196854-0j -0.0933761-0j 0.00649027-0j 0.00251367-0j 0.000377051-0j 0.0367497-0j 0.0190957-0j 0.0150965-0j -0.260859-0j 0.00716088-0j -0.103024-0j 0.00292342-0j -0.0282144-0j 0.00240183-0j 0.000657769-0j 8.05599e-05-0j 
-0.0211971-0j 0.0388779-0j 0.0729234-0j 0.0344685-0j -0.220244-0j -0.143579-0j 0.00466397-0j -0.0213496-0j 0.0383664-0j 0.0696789-0j -0.00584683-0j 0.0329349-0j -0.13199-0j 0.0438765-0j 0.0162802-0j -0.186577-0j -0.0511069-0j 0.00120515-0j 
-0.04946-0j -0.0262301-0j 0.266845-0j 0.126575-0j -0.00879785-0j -0.00340739-0j -0.000511109-0j -0.00902188-0j -0.00468791-0j -0.00370612-0j 0.0640397-0j -0.00175797-0j 0.025292-0j -0.000717686-0j 0.0069265-0j -0.000589639-0j -0.000161479-0j -1.97771e-05-0j 
0.0316054-0j 0.0167613-0j -0.170516-0j -0.080883-0j 0.00562191-0j 0.00217736-0j 0.000326603-0j -0.0463703-0j -0.0240947-0j -0.0190486-0j 0.329149-0j -0.00903552-0j 0.129995-0j -0.00368874-0j 0.0356006-0j -0.00303061-0j -0.000829966-0j -0.00010165-0j 
0.00580507-0j -0.0380986-0j 0.00251367-0j 0.111502-0j -0.0127787-0j -0.08521-0j -0.251387-0j 0.00584683-0j -0.0375974-0j 0.00240183-0j 0.00160122-0j 0.106541-0j -0.0162802-0j 0.000465113-0j -0.0767624-0j 0.0357348-0j -0.153193-0j -0.114392-0j 
0.0287337-0j -0.0527006-0j -0.0988509-0j -0.0467235-0j 0.29855-0j 0.194627-0j -0.00632222-0j 0.00524124-0j -0.00941878-0j -0.0171059-0j 0.00143537-0j -0.00808537-0j 0.032403-0j -0.0107715-0j -0.00399671-0j 0.0458038-0j 0.0125465-0j -0.00029586-0j 
-0.0183611-0j 0.0336762-0j 0.0631667-0j 0.0298568-0j -0.190777-0j -0.124369-0j 0.00403996-0j 0.0269387-0j -0.0484103-0j -0.0879201-0j 0.00737747-0j -0.0415569-0j 0.166543-0j -0.0553629-0j -0.0205421-0j 0.235421-0j 0.0644861-0j -0.00152065-0j 
-0.00786903-0j 0.0516444-0j -0.00340739-0j -0.151145-0j 0.017322-0j 0.115506-0j 0.340766-0j -0.00143537-0j 0.00923-0j -0.000589639-0j -0.000393093-0j -0.0261552-0j 0.00399671-0j -0.000114183-0j 0.0188448-0j -0.00877274-0j 0.0376082-0j 0.0280827-0j 
0.00502839-0j -0.0330013-0j 0.00217736-0j 0.0965833-0j -0.011069-0j -0.0738094-0j -0.217753-0j -0.00737747-0j 0.04744-0j -0.00303061-0j -0.0020204-0j -0.134432-0j 0.0205421-0j -0.000586874-0j 0.096858-0j -0.0450898-0j 0.193297-0j 0.144338-0j 
0.0272795-0j -0.245979-0j 0.0118124-0j 0.00560311-0j 0.00485243-0j 0.00187934-0j 0.000281901-0j 0.0274758-0j 0.0142768-0j -0.191905-0j 0.00752455-0j -0.0910287-0j 0.00618205-0j 0.00218569-0j 0.00169302-0j 0.00179572-0j 0.000491779-0j 6.02304e-05-0j 
-0.0348638-0j 0.314366-0j -0.0150965-0j -0.00716088-0j -0.0062015-0j -0.00240183-0j -0.000360275-0j -0.00635942-0j -0.00330445-0j 0.0444176-0j -0.0017416-0j 0.0210691-0j -0.00143087-0j -0.000505889-0j -0.00039186-0j -0.00041563-0j -0.000113825-0j -1.39407e-05-0j 
-0.0149416-0j 0.0274046-0j 0.0806125-0j -0.302724-0j 0.00919177-0j 0.0127386-0j 0.00328758-0j -0.0150491-0j 0.027044-0j -0.00618205-0j 0.106822-0j 0.0232154-0j -0.145907-0j -0.00119715-0j -0.142983-0j 0.00778669-0j 0.00453431-0j 0.0008495-0j 
-0.0213496-0j 0.192509-0j -0.00924466-0j -0.00438513-0j -0.00379763-0j -0.00147082-0j -0.000220622-0j -0.0215032-0j -0.0111734-0j 0.15019-0j -0.0058889-0j 0.0712412-0j -0.00483822-0j -0.00171057-0j -0.001325-0j -0.00140538-0j -0.000384878-0j -4.71378e-05-0j 
-0.00914984-0j -0.00485243-0j 0.0669174-0j -0.00187934-0j -0.203841-0j 0.0106465-0j -9.45525e-05-0j -0.00921566-0j -0.0047886-0j 0.0639401-0j -0.00252381-0j -0.00179572-0j 0.0350215-0j -0.313327-0j -0.000567858-0j -0.0754346-0j 0.00278594-0j -2.02019e-05-0j 
0.0334174-0j -0.301325-0j 0.0144702-0j 0.00686381-0j 0.00594423-0j 0.00230219-0j 0.000345329-0j -0.0214666-0j -0.0111544-0j 0.149934-0j -0.00587888-0j 0.0711201-0j -0.00482999-0j -0.00170766-0j -0.00132275-0j -0.00140299-0j -0.000384224-0j -4.70576e-05-0j 
0.0061379-0j -0.0257703-0j -0.0211159-0j 0.0288971-0j 0.145989-0j -0.314165-0j 0.0224513-0j 0.00618205-0j -0.0254312-0j -0.0201764-0j 0.00169302-0j 0.0276114-0j 0.0874898-0j -0.012705-0j 0.0356227-0j -0.156419-0j -0.179218-0j 0.00736985-0j 
0.0190957-0j -0.0350236-0j -0.103024-0j 0.386887-0j -0.0117473-0j -0.0162802-0j -0.00420159-0j 0.0034832-0j -0.00625949-0j 0.00143087-0j -0.0247247-0j -0.00537334-0j 0.033771-0j 0.000277087-0j 0.0330941-0j -0.00180227-0j -0.00104949-0j -0.000196621-0j 
-0.0150996-0j 0.136153-0j -0.00653832-0j -0.0031014-0j -0.00268589-0j -0.00104024-0j -0.000156036-0j 0.0346076-0j 0.0179826-0j -0.241717-0j 0.00947767-0j -0.114657-0j 0.0077867-0j 0.00275301-0j 0.00213248-0j 0.00226183-0j 0.000619428-0j 7.58641e-05-0j 
