-0.0154068-0.00154814j -0.00103115+0.0177387j 0.00280716-0.0144171j 0.011485-0.00149155j 0.00422356-0.00365844j -0.000613441-0.00641228j -0.00373222-0.00650088j 0.00837991+0.00488917j 3.41023e-05+0.000542843j -0.00828014+0.00450835j -0.00312292+0.00366048j -0.00706264+0.00503973j -0.000682088+0.00229195j -0.00639213+0.00846199j -0.00348068+0.00371065j -0.003245-0.00981377j -0.00156533-0.00345073j -0.0011744-0.0025302j 0.00341364+0.00255227j -0.0099492+0.00287605j 0.00701367-0.00222791j 0.00237129+0.00719814j -0.00233315+0.00245915j 0.0125319+0.00240074j 0.0031104-0.000156543j -0.00592959+0.00349097j -0.00693807-0.00958797j -0.00884088-0.00674537j 0.00547056+0.00596323j -0.00969479+0.0110216j 0.00291249-0.00119861j 0.00231017-0.00139736j -0.00914199+0.00848101j 0.00227542-0.00151563j 0.00536785+0.00050995j -0.00298782+0.00932294j 0.00062336-0.000226699j 0.0030138-0.00467048j -0.000727769-0.0113451j 0.00234185-0.00191154j -0.00512092+0.00401971j -0.00109638+0.000900416j -0.00217387+0.0028272j 0.00160054-0.00392051j -0.000811844+0.00925601j 0.00287074-0.00471565j 0.0082111+0.00944737j -0.00109-0.0107878j -0.0180737+0.00529421j -0.00491099-0.0163436j 0.0136689-0.00839098j -0.00962449-0.0121017j 
-0.00154631+0.00885206j 0.0115048+0.000714508j -0.0106676-0.012872j 0.0119687-0.0161868j -0.00847678-0.00325344j 0.00640575-0.00752277j 0.00420575+0.0106107j -0.00159027-0.00148327j -0.00586339+0.00857911j 0.00388982-0.00218909j -0.00305199-0.0099808j -0.00594318+0.00450438j -0.0126838+0.0002381j 0.00379447+0.000485606j 0.0104048-0.000128452j 0.0133348-0.00305207j -0.00580908+0.00186349j -0.00298817-0.00964759j 0.000108839+0.00301609j 0.00235689-0.0121457j 0.0067284+0.0061185j -4.95219e-05-0.000923813j 0.00391891-0.0102224j -0.000810457-0.00924362j -0.0101438-0.00649457j 0.0017007-0.0064623j -0.00670931+0.00230297j -0.00173521+0.0133856j 0.00700848-0.006009j 0.0054072+0.000548889j -0.000176644-0.00144998j 0.00343683-0.00337427j 0.00617803+0.00521386j -0.00265535-0.00424726j -0.00195897-0.000128553j -0.00042039+0.00719891j 0.000623949-0.00213936j -0.00011159+1.71289e-05j -0.00175073+0.00204609j 0.0100585-0.00197943j -0.00437888+0.00462687j 0.00815178+0.00257535j -0.00460722+0.00259764j -0.00431833+0.000324769j -0.00277714-0.00518304j -0.0147051-0.0057737j 0.00813709-0.00505147j 0.00275394+0.00131824j 0.00709115+0.0143755j -0.00938625+0.00657407j -0.00836428-0.0148693j -0.0140013+0.00892841j 
-0.00256696+0.00703777j -0.001571-0.00204398j 0.00472648+0.0160407j 0.00019655+0.0172486j 0.00148988+0.0018143j -0.0112768+0.0157206j 0.00962966+0.000294295j 0.00771235-0.00502097j -0.0171469+0.00549214j -0.0108124+0.0042513j 0.00354375+0.00312754j -0.00523056+0.00283998j 0.0155202+0.00179166j 0.0103898-0.000879709j 0.000588329+0.00346807j 0.00482378-0.00355603j 0.00103315-0.00123706j 0.00501315-0.00702044j 0.0116026-0.004123j 0.0124358+0.00319836j 0.0102557+0.00593885j -0.00383733+0.000867594j -0.0177311-0.00296242j -0.0157681-0.00817445j -0.00474529-0.000840628j 0.000562958+0.000701749j 0.00298932+0.00567178j 0.00339529-0.00527526j 0.00282151+0.00089419j 0.00527264+0.00199505j -0.00103044+0.00359867j -0.00135151-0.000795904j -0.000505287+0.00298207j 0.000268537+0.00138797j -0.000274393+0.00210955j 4.18649e-05-9.60953e-05j -0.00159334-0.00180769j -0.00201843+0.00366038j 0.000670268+0.000535288j 0.000818679-0.00210708j 0.00238227-0.000315714j 0.00428427+0.00408668j 0.000287713-0.00393486j 0.00133834+0.00410459j -0.00404061+0.00073853j -0.00490171-0.0016602j -0.00396666-0.00475059j 0.00104135-0.00299664j -0.00355556-0.00227117j -0.00304187-0.00226066j -0.0016916-0.00581731j -0.0065866+0.000339468j 
0.00328603-0.00129467j 0.00461577+0.00223614j -0.00452797-0.0122299j 0.00112916-0.0114142j -0.00820729+0.00400203j -0.00505432-0.00489914j 0.0118404+0.000286351j -0.00922105+0.00410378j 0.00368615+0.00109649j 0.00121505-0.000348466j 0.000126421-0.00451106j 0.00391355-0.000410285j 0.0218101-0.00632307j -0.00212335+0.000862254j 0.00744735-0.000821241j -0.00796373+0.00179259j 0.028054-0.0013964j 0.0162386+0.00222255j 0.00780989-0.000998231j -0.000756625-0.00215603j 0.0024447+7.81718e-05j -0.00261491-0.00303271j 0.00377134-0.00185549j -0.00430004-0.00160155j 0.0174509+0.00413947j -0.00414709-0.00741948j -0.00413509-0.0028095j -0.0159051-0.00361499j 0.00660486+0.00147399j 0.000347879+0.00176256j -0.00124548-0.00140565j -0.00567951-0.00268317j -0.00249556+0.000626605j 0.00350459+0.00243778j 0.0021351+3.38003e-05j -0.0010053-0.00121404j -0.00223409-0.000923179j -0.0044549+0.00235945j -0.00074367-0.00289517j 0.00182841+0.00512912j -0.0052356-0.000795118j -0.000802132-0.00163673j -0.00243853-0.00313277j 0.00153+0.00239229j 0.000977694+0.000977903j 6.9823e-05-0.00141083j -0.0015032-0.00187718j 0.00227394+0.000859205j -0.00691237-0.000412617j -0.000771305+0.000728685j 0.000738966-0.00219626j -0.00225038+0.00133669j 
0.000495704-0.000527978j -0.00114005+0.00167516j 0.00189319-0.00371435j 0.00657073-0.00516514j -0.00214731+0.00603871j -0.0102023+0.00235123j 0.00729934-0.00195795j 0.00132278-0.000233293j -0.0128096+0.00386676j 0.021-0.00176197j -0.000489392-0.00128654j 0.0173248-0.00421875j 0.00213849-0.000553967j 0.000158058-0.00113044j -0.0199599+0.00403545j 0.00992819+0.000650019j -0.00175648+0.00102028j -0.0202249-0.000984025j 0.00775886+0.00229374j -0.00748629+0.000597652j -0.0209911-0.00669765j -0.00923635-0.00170489j 0.000641992-0.00191964j -0.00516706-0.00355418j 0.000245535-0.000946354j -0.0136984-0.00438706j 0.000498123+0.00200091j -0.00703708-0.00301191j 0.00162328+0.00238062j 0.00452459-0.000802346j 0.00627952+0.00331437j 0.00182929+0.00207561j 0.000228054-0.000189894j 0.000419582+0.0030909j -0.00275872-0.00106798j -0.000888097+0.00222108j -0.000966303+8.79122e-05j -0.0023959+0.00134417j -0.00108574+0.00198676j 0.000152999+0.00167755j 0.00192821+0.00486372j -5.6755e-05+0.000931078j 0.00012771+0.000715485j -0.00379681-0.00497914j -0.00093674-0.000106167j -0.0033684-0.00165735j -0.00363509-0.000766493j 0.000517379-0.00139862j -0.00340879-0.00126415j 0.000459686-6.45097e-05j 0.000219554-9.26229e-05j 5.55065e-05+0.000248529j 
0.00272204-0.0110274j 0.00223804+0.00444632j -0.00487198-0.014876j 0.00160451-0.0159034j -0.00860269+0.00851873j -0.00387158-0.00899435j -0.000564056-0.00696874j 0.0106293+0.00171473j -0.00354678+0.00115888j 0.00471739-0.00383489j 0.0159075-0.00203006j -0.012633+0.00536946j -0.00269973-0.0015207j 0.00542983+0.00108652j 0.0110214-0.00284159j 0.008144+0.00132467j -0.00586822+0.00321665j 8.9456e-05+0.00532141j 0.00230339+0.00252268j 0.018802+0.000812508j 0.00885974-0.00237141j -0.0143018-0.00149308j -0.0012437+0.00821673j -0.00691926-0.00355217j -0.00233962-0.00297092j -0.00508337-0.000975617j 0.00867492-0.000905697j -0.00302039+0.00305236j -0.0105879+0.00313193j -0.00281031-0.00142721j 0.00424045-0.00135841j -0.00183232+0.00125833j -0.00103543-0.00168638j 0.0015851+0.000737175j 0.00353043+0.0046012j -0.00331598+0.000974538j -0.00478346-0.000255149j -0.00228819+0.000613219j -0.000686109-0.00361294j -0.00647616-0.00578681j 0.000384048+0.00133818j -0.00262513-0.000423114j 5.48014e-05+0.00135031j 0.000624837-0.00435572j 0.000304548+6.12271e-05j 0.00305335+0.00555878j -0.00715456+0.00075317j 0.00506162+0.000596697j -0.00143756-0.00346272j 0.0102069+0.00140846j 0.0040147+0.00923932j 0.0128859-0.00187441j 
0.00896632-0.00281814j -0.00611731-0.00161499j 0.0015968-0.00797672j -0.00089992-0.00574807j 0.000864882-0.0014175j -0.0121546+0.00027466j -0.00120586+0.00389778j 0.0194893-0.00690995j 0.0157084+0.00132453j -0.00513034-0.0019385j -0.00404049+0.000590936j 0.00299254+0.00265422j 0.00678385-0.00334581j -0.0128572+0.000431046j -0.00267705+6.77649e-05j 0.00839014+0.0030861j -0.0188377-0.00273292j 0.00342763+0.00106412j 0.0207497+0.00476819j -0.0013624-0.00240059j 0.00368806+0.000835578j 0.0145601-0.00039359j 0.00837869-0.00193113j -0.00704152-0.000466525j -0.00156218-0.00173122j 0.0168167-0.000270436j 0.00442246+0.00331253j -0.0092218-0.00062615j 0.0105759-0.00147173j 0.00486961+0.000936415j 0.00186982+0.000404201j 0.000983974-0.000647756j 0.000635376+0.000133625j -1.22089e-05+0.00166387j -0.000223353+0.00334378j -0.00324379+0.00222609j 0.00269134+0.00413742j -0.0034338+0.000983858j -0.00445077-0.0039808j 0.00177116-0.00036705j -0.00346055-0.00127113j 0.000479586+0.000873456j -0.00111162+0.0002843j -0.00210097-0.00321942j 0.00391935+0.000631749j -0.00580973-0.00663875j 0.00375255+6.25353e-05j -0.00151+0.00121944j -0.0038517+0.000923982j -0.00507798+0.00209041j -0.00228546-0.00108641j -0.00379124+0.00263815j 
-0.00804021-0.00269962j -0.0151888+0.0021772j -0.00107965-0.0102226j -0.0057933-0.0199151j 0.00780754+0.000383457j 0.00656956-0.0133606j 0.00859763-0.00189422j -0.00206005+0.00134114j -0.0126205+0.00487091j -0.0102861+0.00167194j -0.00653484-0.00343187j -0.00709864-0.003094j 0.00116846-0.00568287j 0.00109043+0.000489939j -0.00708628-0.00382598j -0.00353171+0.00449464j 0.00568723+0.00541088j -0.0148754+0.00485754j -0.0022494-0.00420979j -0.00517569-0.00212893j 0.00730955-0.00312822j 0.00203663+0.00126218j -0.01649-0.00595084j -0.00279723+0.000223768j 0.00933227-0.00638127j 0.0132922-0.00244722j 0.0105232+0.00826622j 0.00118924+0.00226812j 0.00175227+0.0025294j 0.0134969-0.000596324j -0.00439623-0.00370761j 0.00268916+0.00340828j 0.00616884-0.00354561j -0.00388464+0.000933054j -0.00168227+0.00172162j 0.00262554+0.00134226j 0.000228228-0.00146458j 0.00556163+0.000115693j -0.00290878-0.00148451j 0.000753062-0.000511148j 0.00140326+0.00308934j 0.000684855+0.00301634j -8.47202e-05-0.000563674j 0.000695242+0.000265466j 0.00101129-0.00459117j -0.00342849-0.00132597j -0.00580149-0.00113809j -0.0126524+0.00304888j 0.00772643+0.00188868j -0.0059827+0.00423416j -0.00499312+0.00806515j 0.00266984+0.000619391j 
0.000473956+0.00178658j -0.00496862+0.0014541j -0.00586512+0.0116233j 0.00219782+0.00289585j -0.0166891-0.022889j 0.00486029-0.00725585j -0.000441827-0.00324201j 0.0085587-0.00681826j -9.73703e-05-0.00868029j 0.0056393-0.00455816j -0.000548856-5.89322e-05j -0.00206171-0.01019j 0.000904042-0.00484986j -0.0028612+0.00780258j -0.00230331-0.00885038j -0.000607288-0.000226588j 0.00111771-0.00271842j 0.000180036-0.00224821j 0.00321126+0.0127239j -0.00146992-0.0138088j -0.00222831+0.00761793j -0.00898793+0.00905563j -0.00818022+0.00393136j -0.00185334+0.00183707j -0.00224572+0.00730683j -0.00226482+0.00176337j 0.00957307-0.0156638j -0.0127202+0.00449017j 0.00247691-0.00293946j 0.00445986+0.00903672j 0.00441618-0.00423727j -0.00209497+0.00458232j 0.00892372-0.00544432j -0.0031803+0.000678186j 0.000232443-0.000157263j 0.00369453+0.00222527j -0.00125695+0.000883783j 0.0022948-0.00327917j -0.000973055-0.00306949j 0.00303488-0.000228526j 0.000505785-0.000917892j 0.00551992-0.00130951j -0.00581353+0.00195469j -0.0027419-0.00380657j -0.00313099+0.00479689j 0.00298481+0.00683476j 0.00228908+0.00603424j -0.0078115+0.00989304j 0.00172826+0.00793064j -0.00149327+0.0026175j 0.0135492+0.00864674j 0.0050739-0.00465181j 
-0.00261957+0.0031746j 0.00651858+0.00470997j 0.003125-0.00890877j -0.00166143-0.0111988j -0.00146258-0.00443076j -0.0080586-0.00752682j -0.0076647-0.00711586j -0.00467117+0.00198545j -0.00390304-0.00957296j -0.00466044+0.00458191j 0.0022605-0.00511581j 0.00273854-0.014324j 0.00376569+0.0120962j -0.000460985+0.00613874j -0.00371046-0.0185999j 0.00477264-0.00251846j -0.0032962-0.0136935j -0.00363383+0.0035759j 0.00927455-0.0087057j 0.00357346+0.00371977j 0.00236723+0.0021088j 0.00453954+0.00177034j -0.00092016+0.000958868j -0.000680197+0.00433996j -0.0168852+0.0105952j -0.00127688-0.00157619j 0.00891585-0.0129628j 0.00474796+0.00330011j 0.00190185-0.00717775j 0.00117483+0.00431827j -0.00339867+0.00248058j 0.00842468-0.00207756j -0.00334076+0.00657174j -0.00138236-0.00256949j 0.003134-0.00909515j 0.00150185-0.020999j 0.00130914+0.00121137j 0.00669849+0.00291747j 0.00612574+0.032515j -0.0109849+0.0126862j 0.000772997-0.0113876j -0.00646495+0.00193682j 0.00448267-0.00499316j -0.0022986+0.00896948j 0.000187977+0.00258131j 0.0046612+0.00140201j -0.00037721-0.00103157j -0.00482793+0.00325507j -0.00167755-0.00145715j -0.000181902-0.00219754j -0.00684029-0.00759226j -0.00382596+0.00113884j 
0.00133438-0.00268875j -0.00216729+0.00530351j 0.000348162-0.000783501j -0.000694801-0.00138954j -0.000872273+0.0020999j 0.00554955-0.00164024j 0.00204684-0.000160033j -0.0030358-0.00648794j 0.0062312+0.00866159j 0.00136144+0.00162901j -0.00170909+0.00178782j -0.00215261-0.00202197j 0.00582571+0.0281194j -0.000673196-0.00207337j -0.0070294-0.00777849j -0.000236591+0.0133544j 0.00136063-0.0216968j -0.00400935-0.00460447j 0.00598562-0.0306269j 0.0076265-0.00564713j -0.00791889+0.0129507j 0.000969279-0.0040047j 0.00350332+0.00250554j 0.00543913-0.00724184j -0.00561869+0.00532546j 0.00572244-0.0034966j -0.00128519-0.000626236j 0.00352602-0.00164934j -0.00293035+0.00191555j -0.000993143-0.00785203j -0.000704813-0.00845703j -0.00297437+0.00161923j 0.0044618-0.00211276j -0.00075319+0.00329015j -0.000464022+0.00330393j 0.00440581+0.0235169j -0.000337058-0.00506261j -0.00358473-0.00648279j 0.0031449-0.0150863j 0.000341106-0.00713306j -0.00478416+0.00835053j 0.00713307+0.000350766j 0.00182329+0.000605414j -0.00195351-0.000366063j -0.00319196+0.00365298j -0.00132087+0.00451636j 0.00377623-0.00386955j 0.00154492-0.000666294j 0.00230834+0.000391783j 0.000482728+0.000720262j 0.00685516+0.00247275j 0.00207237-0.00141955j 
