-0.11162-0j -0.0870824-0j -0.0413068-0j -0.0501193-0j -0.0554719-0j -0.0291167-0j -0.0322263-0j -0.00797394-0j -0.00882553-0j 0.600677-0j 0.814244-0j -0.0193502-0j 0.52031-0j -0.0118496-0j -0.0262301-0j -0.00794892-0j -0.0160626-0j -0.0167613-0j -0.0015393-0j -0.0102642-0j -0.0107751-0j -0.0068854-0j -0.00208659-0j -0.00133335-0j 
-0.211437-0j 0.047697-0j -0.179116-0j -0.342034-0j -0.378563-0j -0.0551546-0j -0.0610449-0j -0.0540491-0j -0.0598214-0j 0.0193502-0j 0.0262301-0j 0.456699-0j 0.0167613-0j 0.00649027-0j 0.619075-0j -0.0344685-0j 0.00879785-0j 0.395595-0j -0.0141927-0j 0.00562191-0j -0.0467235-0j -0.0298568-0j -0.0192388-0j -0.0122938-0j 
0.0374384-0j -0.493324-0j 0.0138547-0j 0.0168105-0j 0.0186059-0j -0.164947-0j -0.182563-0j 0.00267454-0j 0.00296017-0j 0.0118496-0j 0.0160626-0j 0.00649027-0j 0.0102642-0j 0.497775-0j 0.00879785-0j -0.0450308-0j 0.674756-0j 0.00562191-0j 0.000516298-0j 0.431176-0j -0.0610413-0j -0.039006-0j 0.000699864-0j 0.00044722-0j 
0.198828-0j 0.155669-0j -0.213033-0j -0.0112768-0j -0.0124812-0j -0.412066-0j -0.456073-0j -0.167779-0j -0.185697-0j -0.00794892-0j -0.0107751-0j 0.0344685-0j -0.0068854-0j 0.0450308-0j 0.0467235-0j 0.325704-0j 0.0610413-0j 0.0298568-0j -0.0706068-0j 0.039006-0j 0.441506-0j 0.282126-0j -0.0957106-0j -0.06116-0j 
-0.081869-0j 0.00379427-0j 0.36691-0j 0.00218375-0j 0.00241697-0j -0.021356-0j -0.0236368-0j -0.508592-0j -0.562908-0j 0.0015393-0j 0.00208659-0j -0.0141927-0j 0.00133335-0j 0.000516298-0j -0.0192388-0j 0.0706068-0j 0.000699864-0j -0.0122938-0j 0.156667-0j 0.00044722-0j 0.0957106-0j 0.06116-0j 0.212369-0j 0.135706-0j 
0.110151-0j 0.0155636-0j 0.00738245-0j 0.04946-0j -0.034914-0j 0.0287337-0j -0.0202832-0j 0.00786903-0j -0.00555479-0j 0.0348638-0j 0.00855891-0j 0.0190957-0j -0.0439908-0j 0.0116937-0j 0.00468791-0j 0.00784435-0j 0.00287074-0j -0.0240947-0j 0.00151905-0j -0.0147549-0j 0.00192575-0j -0.00989792-0j 0.000372921-0j -0.00191672-0j 
0.20203-0j -0.00825383-0j 0.0309956-0j -0.0262301-0j 0.018516-0j 0.0527006-0j -0.0372016-0j 0.0516444-0j -0.036456-0j 0.314366-0j 0.0771755-0j 0.0350236-0j -0.396664-0j -0.0062015-0j 0.00859813-0j 0.0329349-0j -0.00152244-0j -0.0441924-0j 0.0135612-0j 0.00782499-0j 0.00808537-0j -0.0415569-0j 0.00332922-0j -0.0171114-0j 
-0.047697-0j 0.0535425-0j -0.00319669-0j 0.266845-0j -0.188367-0j 0.0988509-0j -0.0697793-0j -0.00340739-0j 0.00240529-0j -0.0150965-0j -0.00370612-0j 0.103024-0j 0.0190486-0j 0.0855218-0j 0.025292-0j 0.0269865-0j 0.0209952-0j -0.129995-0j -0.000657769-0j -0.10791-0j 0.00662507-0j -0.0340513-0j -0.000161479-0j 0.000829966-0j 
-0.179116-0j 0.00319669-0j 0.0347564-0j -0.126575-0j 0.0893502-0j -0.0467235-0j 0.0329823-0j 0.151145-0j -0.106694-0j 0.00716088-0j 0.00175797-0j 0.386887-0j -0.00903552-0j 0.00240183-0j 0.094979-0j 0.036931-0j 0.000589639-0j -0.488169-0j 0.0636069-0j -0.00303061-0j 0.0090664-0j -0.0465992-0j 0.0156152-0j -0.0802585-0j 
-0.0677628-0j -0.0467581-0j -0.0103962-0j 0.00879785-0j -0.00621044-0j 0.29855-0j -0.210748-0j -0.017322-0j 0.0122277-0j 0.0062015-0j 0.00152244-0j -0.0117473-0j -0.00782499-0j 0.260512-0j -0.0028839-0j 0.186577-0j 0.0639546-0j 0.0148226-0j -0.00454857-0j -0.328711-0j 0.0458038-0j -0.235421-0j -0.00111666-0j 0.00573934-0j 
0.0939104-0j 0.00851857-0j -0.0475608-0j -0.00340739-0j 0.00240529-0j -0.194627-0j 0.137388-0j 0.115506-0j -0.0815361-0j -0.00240183-0j -0.000589639-0j 0.0162802-0j 0.00303061-0j 0.0136064-0j 0.00399671-0j 0.401509-0j 0.00334032-0j -0.0205421-0j 0.153193-0j -0.0171685-0j 0.0985688-0j -0.50662-0j 0.0376082-0j -0.193297-0j 
