0.977537-0.0196103j 0.230308+0.0615802j -0.0467252+0.0602873j -0.0149881-0.0478753j -0.0736472-0.0615571j -0.0509938+0.0445555j 0.0201287-0.0049821j 0.00755484+0.0141559j -0.00695119-0.0515998j 0.0145306-0.0125789j -0.0535173+0.00533231j 0.0560531-0.00069691j -0.0150657+0.0346332j 0.0245247+0.00249977j -0.00636053-0.00789335j 
0.230308+0.0615802j -0.0930852-0.245804j -0.169448-0.273845j 0.148861-0.148575j -0.154491+0.117558j 0.043068-0.0568868j -0.117045+0.103709j 0.0147844+0.0874309j -0.0876354+0.0621207j -0.0168191+0.0555634j -0.0668769-0.0512147j -0.0517452+0.012631j 0.0466026+0.0264791j 2.85417e-05+0.00473932j -0.0224234+0.0124643j 
-0.0467252+0.0602873j -0.169448-0.273845j -0.203218-0.312643j 0.21611-0.158914j -0.153693+0.0984114j 0.0435353-0.0312272j -0.0169101+0.124672j 0.165007+0.0360718j -0.124682+0.0281869j -0.0890393-0.0209824j 0.0122462-0.0387067j -0.118272+0.00839294j 0.00207665+0.0375745j 0.0451833+0.035443j -0.0212204-0.0130894j 
-0.0128748-0.0484864j 0.155231-0.141906j 0.222869-0.149286j -0.0753036-0.0839489j -0.170274-0.397702j 0.349634-0.102327j 0.0152183-0.17139j 0.025012-0.16121j 0.131461-0.0708228j -0.00396388+0.0835878j -0.0950709+0.0268278j -0.103052+0.0404713j 0.0597577-0.000191054j 0.0918842-0.0220613j 0.0359996-0.037257j 
-0.0736472-0.0615571j -0.154491+0.117558j -0.153693+0.0984114j -0.187546-0.389855j 0.207341-0.197564j 0.285342-7.52288e-05j -0.099328+0.176868j 0.0341048+0.171813j -0.0831416-0.0710471j 0.0233117-0.0807011j 0.0593501+0.0199361j -0.0891334-0.0212104j -0.0384664+0.0309983j -0.001461+0.0605301j -0.0330952-0.00882932j 
-0.0509938+0.0445555j 0.043068-0.0568868j 0.0435353-0.0312272j 0.344811-0.117557j 0.285342-7.52288e-05j 0.10122+0.434381j 0.0411691-0.164112j -0.165885-0.0537459j -0.0451605+0.00663905j 0.0138684-0.0212293j 0.0241744-0.0100456j 0.0725944+0.103453j 0.0297815+0.0337106j 0.0243156-0.0809757j 0.0999453-0.00663667j 
0.0201287-0.0049821j -0.117045+0.103709j -0.0169101+0.124672j 0.00768978-0.171893j -0.099328+0.176868j 0.0411691-0.164112j -0.314205-0.396906j -0.284163-0.0652387j 0.20751-0.138429j 0.0607017-0.00918733j 0.0288741+0.0301789j 0.114642-0.0752188j 0.0346037-0.0154654j -0.0484674+0.0217281j -0.0257319-0.0576339j 
0.0144681-0.00693814j 0.0879865-0.0110051j 0.0431451-0.1633j -0.16123-0.0248876j 0.173122-0.0266732j -0.0608406+0.163416j -0.077417+0.28109j -0.13825-0.205927j -0.1801-0.346692j 0.082796+0.105552j -0.104117+0.0880114j -0.30128+0.170853j -0.0526196-0.032736j 0.0563465-0.116234j -0.00276269-0.00932999j 
-0.00695119-0.0515998j -0.0876354+0.0621207j -0.124682+0.0281869j 0.12823-0.0765181j -0.0831416-0.0710471j -0.0451605+0.00663905j 0.20751-0.138429j 0.338613-0.194864j 0.150732-0.271358j 0.125596-0.257366j 0.200486+0.0424876j -0.15995-0.0853464j -0.0687119-0.00892004j 0.0749601+0.00584056j 0.0437052-0.0387068j 
-0.0420475+0.0256519j -0.0936209-0.0262827j -0.000230512-0.0654664j -0.0983985+0.0626337j 0.0842658+0.00110711j 0.0253244-0.014023j 0.0416227+0.0347283j -0.146102-0.0848414j 0.274703-0.00437396j 0.364555+0.158281j -0.484381+0.111627j -0.149187+0.041303j 0.157838-0.110978j -0.15796+0.080863j -0.010708+0.0800863j 
2.85063e-05-0.0289117j 0.00642371+0.0311242j -0.0753174+0.00760404j 0.00563335+0.0558915j -0.00182951-0.0622148j 0.0115942-0.0188663j 0.0480571-0.016297j -0.0509856+0.073753j 0.0472536-0.215169j 0.607712+0.135686j 0.377908-0.158281j -0.0672087-0.048699j 0.0780306+0.291098j -0.0332164-0.148093j -0.0963078-0.0406911j 
0.0560531-0.00069691j -0.0517452+0.012631j -0.118272+0.00839294j -0.101178+0.0449503j -0.0891334-0.0212104j 0.0725944+0.103453j 0.114642-0.0752188j -0.18367-0.293642j -0.15995-0.0853464j -0.0407482-0.0206052j -0.169604-0.000996581j -0.232502+0.00860991j -0.224763+0.0663372j -0.351572+0.0800957j -0.115414-0.0204252j 
-0.0150657+0.0346332j 0.0466026+0.0264791j 0.00207665+0.0375745j 0.0596919-0.00281069j -0.0384664+0.0309983j 0.0297815+0.0337106j 0.0346037-0.0154654j 0.0304393-0.0539807j -0.0687119-0.00892004j -0.0476386+0.236056j 0.263296-0.0271873j -0.224763+0.0663372j 0.0509931+0.330157j 0.224738+0.338755j -0.282625-0.132111j 
0.0208789+0.0131065j -0.00207412+0.00426145j 0.0248042+0.0517927j 0.0929774+0.0168704j -0.0281271+0.0536181j 0.0576745-0.0618221j -0.0530775-0.00199377j 0.0835606+0.0985037j 0.0646143+0.0384464j 0.0713677-0.0700375j -0.192973-0.0853697j -0.350671-0.0839548j 0.0513956+0.403263j -0.191451+0.289876j 0.309499+0.197275j 
-0.00636053-0.00789335j -0.0224234+0.0124643j -0.0212204-0.0130894j 0.0343317-0.0387995j -0.0330952-0.00882932j 0.0999453-0.00663667j -0.0257319-0.0576339j 0.00920234-0.00316197j 0.0437052-0.0387068j -0.0510535-0.0605183j -0.0596648+0.0873535j -0.115414-0.0204252j -0.282625-0.132111j 0.364867+0.0397364j -0.222576+0.670738j 
