-0.0522885-0j -0.0303769-0j -0.00831906-0j -0.0499621-0j -0.0273654-0j -0.0167578-0j -0.0112415-0j -0.0021769-0j -0.0314997-0j -0.0348638-0j -0.0167052-0j -0.0184893-0j -0.0136398-0j -0.0150965-0j -0.00646991-0j -0.00560311-0j -0.00716088-0j -0.0062015-0j -0.00217007-0j -0.00240183-0j -0.000325511-0j -0.000360275-0j 
0.0271699-0j -0.0545889-0j -0.0534948-0j 0.0259611-0j -0.049177-0j 0.00870761-0j -0.0462443-0j -0.0190415-0j -0.353118-0j -0.39083-0j -0.0300202-0j -0.0332263-0j 0.00708743-0j 0.00784435-0j -0.0266154-0j -0.0100691-0j -0.0294579-0j -0.0111444-0j -0.0139544-0j -0.0154447-0j -0.00360137-0j -0.00398598-0j 
0.0214797-0j -0.0991413-0j 0.0034174-0j -0.348962-0j 0.0112415-0j -0.116269-0j -0.0366889-0j 0.000894254-0j 0.0129398-0j 0.0143218-0j -0.116678-0j -0.129139-0j -0.0445162-0j -0.0492704-0j 0.00265779-0j -0.0388755-0j 0.00294163-0j -0.0430273-0j -0.00708249-0j -0.00783888-0j 0.000133717-0j 0.000147998-0j 
-0.371158-0j 0.00831906-0j 0.00227827-0j 0.0136827-0j -0.194247-0j 0.00458931-0j 0.00307861-0j 0.000596169-0j 0.00862655-0j 0.00954784-0j 0.00457492-0j 0.00506351-0j -0.0968187-0j -0.107159-0j -0.0459251-0j 0.00153447-0j -0.0508298-0j 0.00169835-0j 0.000594299-0j 0.000657769-0j 8.91449e-05-0j 9.86653e-05-0j 
-0.0101887-0j 0.0468608-0j -0.151589-0j 0.165527-0j 0.0422151-0j -0.00326535-0j -0.0502087-0j -0.0864753-0j -0.0061379-0j -0.00679341-0j -0.438161-0j -0.484955-0j -0.00265779-0j -0.00294163-0j -0.0288971-0j 0.00864361-0j -0.0319832-0j 0.00956672-0j -0.0395429-0j -0.043766-0j -0.0224513-0j -0.0248491-0j 
0.146586-0j -0.187799-0j 0.0231639-0j -0.0112415-0j -0.265318-0j 0.0636832-0j -0.159092-0j 0.00824521-0j -0.00708743-0j -0.00784435-0j 0.0129991-0j 0.0143874-0j -0.303796-0j -0.336241-0j -0.143594-0j -0.0736403-0j -0.15893-0j -0.0815049-0j -0.0480067-0j -0.0531337-0j 0.00155944-0j 0.00172598-0j 
-0.00415953-0j 0.0624288-0j -0.000661777-0j -0.00397446-0j -0.0021769-0j -0.569756-0j 0.0231028-0j -0.000173172-0j -0.00250579-0j -0.0027734-0j -0.00132889-0j -0.00147082-0j 0.0280317-0j 0.0310254-0j -0.000514678-0j -0.190502-0j -0.000569645-0j -0.210848-0j 0.00445981-0j 0.00493611-0j -2.58943e-05-0j -2.86597e-05-0j 
-0.0401443-0j -0.0231639-0j -0.10922-0j 0.00307861-0j 0.26-0j 0.0010326-0j 0.0647765-0j -0.196359-0j 0.00194097-0j 0.00214826-0j -0.0127386-0j -0.014099-0j -0.0104719-0j -0.0115902-0j -0.464511-0j -0.00427265-0j -0.51412-0j -0.00472896-0j -0.0284906-0j -0.0315334-0j -0.0840532-0j -0.0930298-0j 
0.0034174-0j 0.265467-0j 0.0508446-0j 0.00326535-0j -0.0141594-0j 0.137171-0j -0.284433-0j 0.0290047-0j 0.00205871-0j 0.00227858-0j -0.00864361-0j -0.00956672-0j -0.0150564-0j -0.0166644-0j 0.00969237-0j -0.3631-0j 0.0107275-0j -0.401878-0j -0.224012-0j -0.247935-0j 0.00753041-0j 0.00833464-0j 
-0.000935894-0j -0.0727165-0j 0.217968-0j -0.000894254-0j 0.00824521-0j 0.00506597-0j 0.325891-0j -0.0910153-0j -0.000563802-0j -0.000624014-0j 0.0050333-0j 0.00557084-0j 0.00193962-0j 0.00214676-0j -0.0236079-0j -0.0285138-0j -0.0261292-0j -0.0315589-0j -0.451733-0j -0.499977-0j -0.165708-0j -0.183406-0j 
0.000114623-0j -0.00171473-0j -0.16276-0j 0.000109523-0j -0.00154474-0j 3.67352e-05-0j 0.0134014-0j 0.492359-0j 6.90513e-05-0j 7.64258e-05-0j -0.000942986-0j -0.00104369-0j 2.99001e-05-0j 3.30934e-05-0j 0.00771302-0j -0.000316287-0j 0.00853675-0j -0.000350066-0j -0.042457-0j -0.0469912-0j -0.469282-0j -0.5194-0j 
0.0534118-0j 0.0310294-0j 0.00849776-0j 0.00924275-0j 0.00506246-0j 0.00310011-0j 0.00207962-0j 0.000402717-0j 0.0321763-0j -0.0227134-0j 0.0170641-0j -0.0120456-0j 0.0139328-0j -0.0098352-0j 0.00660889-0j 0.00572347-0j -0.00466525-0j -0.00404022-0j 0.00221669-0j -0.00156477-0j 0.000332503-0j -0.000234716-0j 
-0.0273654-0j 0.0549816-0j 0.0538796-0j -0.0047355-0j 0.00897027-0j -0.00158834-0j 0.00843532-0j 0.00347331-0j -0.0164855-0j 0.0116372-0j 0.0302362-0j -0.0213438-0j -0.00713842-0j 0.00503904-0j 0.0268069-0j 0.0101415-0j -0.0189231-0j -0.00715894-0j 0.0140548-0j -0.00992135-0j 0.00362727-0j -0.00256051-0j 
-0.0211971-0j 0.097837-0j -0.00337244-0j -0.0036681-0j -0.0020091-0j 0.0207799-0j 0.00655712-0j -0.000159823-0j 0.275492-0j -0.194471-0j -0.0067721-0j 0.00478045-0j 0.0439306-0j -0.0310108-0j -0.00262282-0j 0.0383641-0j 0.00185146-0j -0.0270814-0j 0.00698931-0j -0.00493379-0j -0.000131958-0j 9.31499e-05-0j 
0.0100547-0j -0.0462443-0j 0.149595-0j 0.00173993-0j -0.00754478-0j 0.000583592-0j 0.00897341-0j 0.0154551-0j -0.130677-0j 0.0922456-0j -0.0254312-0j 0.017952-0j 0.00262282-0j -0.00185146-0j 0.0285169-0j -0.0085299-0j -0.0201302-0j 0.00602129-0j 0.0390227-0j -0.0275463-0j 0.022156-0j -0.01564-0j 
0.241096-0j -0.0112415-0j -0.00307861-0j 0.0569333-0j 0.0228515-0j -0.00112312-0j -0.000753414-0j -0.000145898-0j -0.011657-0j 0.00822872-0j 0.105111-0j -0.0741983-0j 0.0628913-0j -0.0443953-0j 0.029832-0j -0.00207352-0j -0.0210585-0j 0.00146371-0j -0.000803072-0j 0.000566892-0j -0.000120461-0j 8.50338e-05-0j 
0.0112415-0j 0.179444-0j -0.0221333-0j -0.0330752-0j -0.00368491-0j -0.0110202-0j 0.0275304-0j -0.00142681-0j 0.0067721-0j -0.00478045-0j 0.211185-0j -0.149077-0j -0.0232977-0j 0.016446-0j -0.011012-0j 0.0703639-0j 0.00777345-0j -0.0496702-0j 0.0458708-0j -0.0323804-0j -0.00149005-0j 0.00105184-0j 
-0.194247-0j -0.0150573-0j -0.0147555-0j 0.00129687-0j 0.0636733-0j 0.000434984-0j -0.00231011-0j -0.000951206-0j 0.00451473-0j -0.00318697-0j -0.00828051-0j 0.00584525-0j -0.0506704-0j 0.0357684-0j 0.190282-0j -0.00277737-0j -0.134321-0j 0.00196056-0j -0.00384907-0j 0.00271707-0j -0.00099337-0j 0.000701224-0j 
