-0.272574-0j -0.142652-0j -0.0711025-0j -0.0337269-0j -0.078696-0j -0.0373288-0j 0.588753-0j 0.79808-0j -0.0274515-0j -0.0075179-0j 0.509981-0j -0.0372117-0j -0.0101908-0j -0.0237786-0j -0.00651205-0j -0.0353286-0j 0.241096-0j -0.0451506-0j -0.0118496-0j -0.027649-0j -0.00794892-0j -0.0432775-0j 0.308126-0j -0.0015393-0j -0.0195548-0j 0.188688-0j -0.015144-0j -0.00927375-0j 0.295343-0j -0.0101589-0j -0.0145157-0j -0.00622102-0j -0.00196726-0j 0.13345-0j -0.00120469-0j -0.00973743-0j -0.00655889-0j -0.00439984-0j -0.00188565-0j -0.000852025-0j 
0.158351-0j -0.286612-0j -0.328179-0j -0.155119-0j -0.363228-0j -0.171686-0j 0.0274515-0j 0.0372117-0j 0.438199-0j -0.0540491-0j 0.0237786-0j 0.593997-0j -0.073266-0j 0.37957-0j -0.0468177-0j 0.020524-0j -0.0388779-0j 0.0262301-0j -0.116269-0j 0.0160626-0j 0.290461-0j 0.0251419-0j -0.0496866-0j -0.0150536-0j 0.0113603-0j -0.0304267-0j -0.148594-0j -0.090995-0j -0.0476254-0j 0.371214-0j -0.14243-0j 0.227321-0j -0.0192388-0j -0.0215194-0j -0.0117813-0j 0.355814-0j -0.0643566-0j 0.160774-0j -0.0184407-0j -0.00833239-0j 
-0.0433662-0j 0.280868-0j -0.0113123-0j -0.501793-0j -0.0125205-0j -0.555383-0j -0.0075179-0j -0.0101908-0j 0.0540491-0j 0.254846-0j -0.00651205-0j 0.073266-0j 0.345456-0j 0.0468177-0j 0.220749-0j -0.00562074-0j 0.0380986-0j -0.00718341-0j -0.00188525-0j -0.00439892-0j -0.118265-0j -0.0068854-0j 0.0486908-0j 0.358501-0j -0.00311116-0j 0.0298169-0j -0.00240939-0j -0.00147544-0j 0.0466708-0j -0.151145-0j -0.00230944-0j -0.0925572-0j 0.458171-0j 0.0210881-0j 0.280571-0j -0.144875-0j -0.00104351-0j -0.0654614-0j 0.439163-0j 0.198435-0j 
0.260446-0j 0.0246856-0j 0.067939-0j 0.0322263-0j -0.0479584-0j -0.0227487-0j 0.0451506-0j 0.0110843-0j 0.0262301-0j 0.00718341-0j -0.0569705-0j 0.00643938-0j 0.0017635-0j -0.0330969-0j -0.00906395-0j -0.573952-0j 0.0184893-0j -0.132844-0j 0.0113223-0j -0.449188-0j 0.00759526-0j 0.448424-0j 0.00427945-0j 0.00147082-0j 0.72293-0j 0.0144702-0j 0.00262062-0j 0.00886114-0j -0.0144456-0j 0.00175797-0j -0.00884607-0j 0.00594423-0j 0.000340428-0j -0.0232885-0j 0.0011511-0j -0.00593412-0j -0.0142612-0j -0.00956673-0j -0.00114914-0j -0.00185259-0j 
-0.142652-0j 0.0467609-0j -0.0372117-0j 0.139741-0j 0.0262679-0j -0.0986438-0j 0.308126-0j 0.0756435-0j 0.0496866-0j 0.0486908-0j -0.38879-0j 0.0121979-0j 0.0119534-0j -0.0626941-0j -0.0614375-0j -0.0184893-0j -0.436379-0j -0.00427945-0j -0.0062015-0j -0.0144702-0j 0.0329349-0j 0.0144456-0j -0.101002-0j 0.0135612-0j 0.0232885-0j -0.341521-0j -0.00143537-0j -0.00485344-0j 0.34094-0j 0.00762296-0j 0.00484519-0j 0.0257756-0j 0.00313882-0j 0.549648-0j 0.0106133-0j -0.0257318-0j 0.0078112-0j -0.0414836-0j -0.0105953-0j -0.0170813-0j 
-0.0873564-0j -0.0082798-0j 0.384876-0j -0.010809-0j -0.271685-0j 0.00763014-0j -0.015144-0j -0.00371778-0j 0.148594-0j -0.00240939-0j 0.0191085-0j 0.0364792-0j -0.000591495-0j -0.187495-0j 0.00304014-0j -0.0113223-0j -0.0062015-0j -0.00262062-0j -0.475628-0j -0.00886114-0j 0.0430273-0j 0.00884607-0j -0.00143537-0j -0.000493327-0j 0.0142612-0j -0.00485344-0j -0.110087-0j -0.372238-0j 0.00484519-0j 0.00995891-0j 0.371605-0j 0.0336742-0j -0.000114183-0j 0.0078112-0j -0.000386089-0j -0.0336169-0j 0.599085-0j -0.0541957-0j 0.000385433-0j 0.000621377-0j 
0.0586004-0j -0.0439723-0j -0.121448-0j 0.166202-0j 0.0857308-0j -0.117322-0j 0.0101589-0j 0.00249396-0j 0.371214-0j 0.151145-0j -0.0128184-0j 0.0911315-0j 0.0371055-0j -0.468394-0j -0.190713-0j 0.00759526-0j -0.0329349-0j 0.00175797-0j -0.0430273-0j 0.00594423-0j -0.311212-0j -0.00593412-0j -0.00762296-0j 0.0674653-0j -0.00956673-0j -0.0257756-0j -0.00995891-0j -0.0336742-0j 0.0257318-0j -0.0720318-0j 0.0336169-0j -0.243562-0j 0.0156152-0j 0.0414836-0j 0.0528-0j 0.243148-0j 0.0541957-0j 0.391992-0j -0.0527102-0j -0.084977-0j 
-0.0113479-0j 0.018106-0j -0.00296017-0j -0.286252-0j 0.0020896-0j 0.202066-0j -0.00196726-0j -0.000482953-0j 0.0192388-0j 0.458171-0j 0.00248227-0j 0.00472305-0j 0.112479-0j -0.0242753-0j -0.578115-0j -0.00147082-0j 0.0135612-0j -0.000340428-0j -0.000493327-0j -0.0011511-0j -0.0674653-0j 0.00114914-0j 0.00313882-0j -0.149697-0j 0.00185259-0j 0.0106133-0j -0.000114183-0j -0.000386089-0j -0.0105953-0j -0.0156152-0j 0.000385433-0j -0.0528-0j -0.0346481-0j -0.0170813-0j -0.117156-0j 0.0527102-0j 0.000621377-0j 0.084977-0j 0.116957-0j 0.188553-0j 
0.164204-0j 0.0859367-0j -0.0275396-0j -0.0130632-0j 0.0474081-0j 0.0224876-0j 0.0284662-0j -0.0248094-0j 0.0165373-0j 0.00452894-0j 0.0246576-0j -0.0144129-0j -0.00394714-0j 0.0143247-0j 0.00392299-0j 0.0212827-0j 0.011657-0j 0.0271996-0j 0.00713842-0j -0.0380745-0j 0.0047886-0j -0.0167623-0j 0.0148979-0j 0.000927308-0j 0.0117802-0j -0.0208542-0j 0.00912304-0j -0.0127706-0j -0.00918111-0j 0.00611992-0j -0.00562226-0j -0.00856675-0j 0.00118512-0j 0.00645231-0j -0.00165894-0j -0.00377153-0j 0.00395121-0j 0.00265055-0j -0.000730353-0j 0.000513278-0j 
-0.181741-0j 0.0606631-0j -0.0474081-0j -0.0224876-0j 0.0490292-0j 0.0232566-0j -0.0315063-0j 0.0272388-0j -0.0183035-0j -0.00501262-0j -0.00300649-0j 0.0158243-0j 0.00433367-0j -0.00174661-0j -0.00047833-0j -0.0235556-0j -0.0129019-0j 0.0192003-0j -0.00790078-0j -0.0184352-0j -0.00530001-0j 0.0269627-0j 0.0105165-0j -0.00102634-0j -0.0325425-0j -0.0100974-0j 0.00643999-0j -0.00618334-0j 0.0147681-0j 0.00432008-0j 0.00904357-0j -0.00414791-0j 0.00083658-0j -0.0178243-0j -0.000803239-0j 0.00606661-0j -0.0109151-0j -0.00732207-0j 0.00117479-0j -0.00141791-0j 
-0.0870824-0j 0.157617-0j 0.0146051-0j -0.0548464-0j -0.0251419-0j 0.0944154-0j -0.0150965-0j 0.0131571-0j 0.0303313-0j 0.0297234-0j -0.0130766-0j -0.0264349-0j -0.0259051-0j 0.0262731-0j 0.0257466-0j 0.191905-0j 0.0213802-0j 0.245259-0j -0.00378572-0j -0.343317-0j 0.0201052-0j -0.151146-0j 0.0273243-0j 0.00827847-0j 0.106222-0j -0.0382489-0j -0.00483822-0j 0.00677261-0j -0.0168392-0j 0.0256948-0j 0.00298165-0j -0.0359679-0j 0.01058-0j 0.0118342-0j -0.0148101-0j -0.0158349-0j -0.00209545-0j 0.0111285-0j -0.00652017-0j 0.00458225-0j 
