-0.0553733-0j -0.0262659-0j -0.0498837-0j -0.0289798-0j -0.00793645-0j -0.0304516-0j -0.0337037-0j -0.016679-0j -0.0102138-0j -0.0184603-0j -0.0113046-0j -0.00685161-0j -0.00758334-0j -0.00132681-0j -0.00146851-0j -0.0221689-0j -0.030051-0j -0.0192029-0j -0.0117569-0j -0.00959943-0j -0.0159369-0j -0.00455341-0j -0.0101839-0j -0.0130125-0j -0.00394337-0j -0.00617235-0j -0.00831508-0j -0.00152726-0j -0.00534541-0j -0.000229089-0j -0.00394419-0j -0.00207027-0j -0.00341577-0j -0.00132292-0j -0.00031054-0j -0.000198438-0j 
0.0280794-0j -0.105446-0j 0.0252957-0j -0.0508232-0j -0.0498045-0j 0.0154418-0j 0.0170909-0j -0.0292507-0j 0.00517933-0j -0.0323746-0j 0.00573247-0j -0.0275063-0j -0.0304439-0j -0.011326-0j -0.0125355-0j 0.0112417-0j 0.0152386-0j 0.00973763-0j -0.0206185-0j 0.0048678-0j -0.0279493-0j -0.01828-0j -0.0178599-0j 0.00659852-0j -0.00691566-0j -0.0247794-0j 0.00421652-0j -0.00958419-0j -0.00937448-0j -0.00247349-0j -0.0158343-0j -0.0129918-0j -0.00599038-0j -0.00830188-0j -0.00335293-0j -0.00214256-0j 
-0.170387-0j 0.0101727-0j 0.0193199-0j -0.0891724-0j 0.00307377-0j 0.0117938-0j 0.0130534-0j 0.00645976-0j -0.0668124-0j 0.00714964-0j -0.0739478-0j -0.0210828-0j -0.0233343-0j 0.000513871-0j 0.00056875-0j 0.00858599-0j 0.0116387-0j 0.00743724-0j 0.00455341-0j -0.029538-0j 0.00617235-0j 0.00176353-0j 0.00394419-0j -0.04004-0j -0.0257952-0j 0.00239054-0j -0.025586-0j -0.00469946-0j -0.0349665-0j 8.87258e-05-0j 0.00152758-0j -0.00637033-0j -0.0223439-0j -0.0040707-0j 0.000120272-0j 7.68548e-05-0j 
-0.0101727-0j -0.110604-0j -0.00916422-0j 0.0421488-0j -0.136347-0j -0.00559431-0j -0.00619177-0j 0.0242583-0j -0.00187639-0j 0.026849-0j -0.00207678-0j -0.0288517-0j -0.031933-0j -0.0496918-0j -0.0549987-0j -0.00407269-0j -0.00552072-0j -0.00352779-0j 0.0170994-0j -0.00176353-0j 0.023179-0j -0.0191741-0j 0.0148116-0j -0.00239054-0j 0.00573531-0j -0.0259914-0j -0.00152758-0j -0.026238-0j 0.00777447-0j -0.0148972-0j -0.0166088-0j -0.0355668-0j 0.00496796-0j -0.0227275-0j -0.0201938-0j -0.012904-0j 
0.0191819-0j 0.00909877-0j -0.215304-0j 0.0100389-0j 0.00274927-0j 0.0105487-0j 0.0116753-0j -0.0719888-0j 0.00353815-0j -0.079677-0j 0.00391602-0j 0.00237347-0j 0.00262695-0j 0.00045962-0j 0.000508706-0j -0.165679-0j -0.224585-0j -0.143512-0j 0.00407269-0j -0.0414324-0j 0.00552072-0j -0.0196531-0j 0.00352779-0j -0.0561634-0j 0.00136602-0j -0.0266407-0j -0.035889-0j 0.000529059-0j 0.0018517-0j 7.93588e-05-0j -0.0170236-0j 0.000717162-0j 0.00118326-0j 0.000458274-0j 0.000107574-0j 6.8741e-05-0j 
0.0131329-0j 0.0062295-0j 0.011831-0j 0.00687317-0j 0.00188229-0j -0.252815-0j -0.279815-0j 0.00395578-0j 0.00242241-0j 0.00437824-0j 0.00268112-0j 0.001625-0j 0.00179855-0j 0.00031468-0j 0.000348287-0j 0.00525783-0j 0.00712722-0j 0.00455436-0j -0.0976079-0j 0.00227671-0j -0.132312-0j 0.00107994-0j -0.0845485-0j 0.00308617-0j 0.000935252-0j 0.0014639-0j 0.0019721-0j 0.000362222-0j 0.00126778-0j 5.43332e-05-0j 0.000935447-0j 0.000491007-0j 0.000810121-0j 0.000313758-0j 7.36511e-05-0j 4.70638e-05-0j 
0.0885355-0j 0.0418478-0j -0.0100389-0j -0.160247-0j 0.0197656-0j -0.00612826-0j -0.00678275-0j 0.0116085-0j 0.0347167-0j 0.0128483-0j 0.0384244-0j -0.0867286-0j -0.0959909-0j 0.00449485-0j 0.00497489-0j 0.0962507-0j 0.130472-0j 0.0833729-0j 0.00818272-0j 0.0153484-0j 0.011092-0j 0.00725466-0j 0.00708792-0j 0.0208054-0j -0.0463553-0j 0.00983402-0j 0.0132948-0j -0.0302194-0j -0.0628366-0j 0.000981638-0j 0.00628403-0j -0.0409637-0j -0.0401532-0j -0.0261762-0j 0.00133065-0j 0.0008503-0j 
0.00305182-0j 0.135373-0j 0.00274927-0j -0.0197656-0j -0.0931963-0j 0.00167829-0j 0.00185753-0j -0.0113759-0j 0.000562917-0j -0.0125908-0j 0.000623035-0j 0.0353128-0j 0.0390841-0j -0.107045-0j -0.118477-0j -0.0263593-0j -0.0357313-0j -0.0228326-0j -0.00801871-0j 0.000529059-0j -0.0108697-0j 0.023468-0j -0.00694585-0j 0.000717162-0j -0.00268956-0j 0.0318119-0j 0.000458274-0j -0.0179344-0j -0.00364581-0j -0.05291-0j 0.0203281-0j -0.0243108-0j -0.00232971-0j -0.0155348-0j -0.0717218-0j -0.0458309-0j 
-0.0101727-0j 0.0382016-0j 0.114182-0j 0.0184124-0j 0.0180434-0j 0.0951178-0j 0.105276-0j -0.132035-0j -0.00187639-0j -0.146136-0j -0.00207678-0j 0.00996511-0j 0.0110294-0j 0.00410322-0j 0.00454143-0j -0.00407269-0j -0.00552072-0j -0.00352779-0j -0.127005-0j 0.0219728-0j -0.172161-0j -0.0825145-0j -0.110013-0j 0.0297852-0j 0.00250544-0j -0.111852-0j 0.019033-0j 0.0034722-0j 0.00339623-0j 0.000896109-0j -0.0714746-0j 0.00470673-0j 0.00217022-0j 0.00300764-0j 0.00121471-0j 0.000776214-0j 
0.105215-0j -0.00295491-0j -0.00561192-0j 0.0550647-0j -0.00089285-0j 0.0582475-0j 0.0644682-0j -0.00187639-0j -0.143911-0j -0.00207678-0j -0.15928-0j 0.0130188-0j 0.0144091-0j -0.000149266-0j -0.000165207-0j -0.00249401-0j -0.00338073-0j -0.00216032-0j 0.0224884-0j 0.0182399-0j 0.030484-0j -0.000512259-0j 0.0194796-0j 0.024725-0j -0.0555616-0j -0.000694389-0j 0.0157995-0j 0.00290196-0j -0.0753162-0j -2.57725e-05-0j -0.000443721-0j 0.00393373-0j -0.0481278-0j 0.00251369-0j -3.49358e-05-0j -2.23243e-05-0j 
0.0466623-0j -0.00278592-0j 0.137138-0j 0.0244209-0j -0.000841787-0j -0.00322988-0j -0.00357482-0j 0.045853-0j 0.0182973-0j 0.05075-0j 0.0202514-0j 0.00577375-0j 0.00639037-0j -0.000140729-0j -0.000155759-0j -0.00235137-0j -0.00318739-0j -0.00203677-0j -0.001247-0j -0.209668-0j -0.00169037-0j 0.012518-0j -0.00108016-0j -0.284214-0j 0.0070643-0j 0.0169687-0j -0.181616-0j 0.001287-0j 0.00957597-0j -2.42986e-05-0j 0.0108432-0j 0.00174459-0j 0.00611914-0j 0.00111481-0j -3.29378e-05-0j -2.10476e-05-0j 
