-0.0908514-0j 0.163265-0j -0.037321-0j -0.0248807-0j 0.140151-0j 0.0706957-0j -0.00722718-0j 0.0692787-0j 0.0470082-0j 0.0273736-0j 0.00512843-0j -0.092803-0j 0.164439-0j -0.03683-0j 0.138308-0j -0.0336211-0j 0.0675503-0j 0.0450335-0j 0.0661964-0j -0.0112768-0j 0.059889-0j 0.0130811-0j 0.0246598-0j 0.0222029-0j 0.00810366-0j 0.00119009-0j 
0.0708794-0j 0.03683-0j -0.23133-0j 0.0194111-0j 0.0138113-0j -0.126704-0j -0.145667-0j 0.0043675-0j -0.0782411-0j -0.0100793-0j 0.000155377-0j 0.0131124-0j 0.00671808-0j -0.0413438-0j 0.00246838-0j 0.0047504-0j -0.0219259-0j 0.00183982-0j 0.000755784-0j -0.0269111-0j -0.00849185-0j -0.0138066-0j 0.00020698-0j -0.00428153-0j -0.000427238-0j 5.56624e-06-0j 
-0.0336211-0j 0.138308-0j -0.0138113-0j -0.00920751-0j -0.150164-0j 0.059889-0j -0.00267454-0j -0.193734-0j -0.0503667-0j -0.122679-0j -0.0400809-0j -0.00621974-0j 0.0252284-0j -0.00246838-0j -0.0268377-0j -0.00225331-0j 0.0103636-0j 0.00690908-0j -0.0335251-0j -0.000755784-0j -0.0116211-0j 0.00200691-0j -0.0200152-0j -0.0112447-0j -0.0090289-0j -0.00204212-0j 
0.0407939-0j 0.0211971-0j 0.0167578-0j -0.289566-0j 0.00794892-0j -0.114362-0j 0.00324513-0j -0.0313193-0j 0.00266615-0j 0.000730155-0j 8.94254e-05-0j 0.0416702-0j 0.0213496-0j 0.0165373-0j 0.00784435-0j -0.188096-0j 0.00877025-0j -0.151545-0j 0.00240183-0j -0.0630892-0j -0.0423215-0j 0.00169835-0j -0.00819553-0j 0.000805599-0j 0.000170893-0j 1.76891e-05-0j 
-0.0451506-0j -0.0234609-0j -0.0185475-0j 0.320491-0j -0.00879785-0j 0.126575-0j -0.00359171-0j 0.0346641-0j -0.00295089-0j -0.000808134-0j -9.89758e-05-0j 0.0294152-0j 0.0150708-0j 0.0116738-0j 0.00553736-0j -0.132778-0j 0.00619096-0j -0.106976-0j 0.00169546-0j -0.044535-0j -0.029875-0j 0.00119887-0j -0.00578526-0j 0.000568676-0j 0.000120634-0j 1.24868e-05-0j 
-0.0236991-0j 0.0425886-0j 0.077347-0j -0.00649027-0j 0.0365593-0j -0.146515-0j 0.048705-0j 0.0180718-0j -0.207109-0j -0.0567311-0j 0.00133778-0j -0.0242082-0j 0.0428949-0j 0.0763294-0j 0.0360784-0j -0.00877025-0j -0.139996-0j 0.0117473-0j 0.0172677-0j 0.0496837-0j -0.124119-0j -0.0881551-0j 0.00643265-0j -0.097822-0j -0.0167946-0j 0.000310442-0j 
0.00649027-0j -0.041735-0j 0.00266615-0j 0.00177743-0j 0.118265-0j -0.0180718-0j 0.000516298-0j -0.08521-0j 0.0396674-0j -0.170052-0j -0.12698-0j 0.00662969-0j -0.0420352-0j 0.00263108-0j 0.116709-0j 0.00240183-0j -0.0172677-0j -0.0115118-0j -0.0814188-0j 0.000805599-0j 0.0505366-0j -0.00334388-0j -0.153193-0j -0.0273087-0j -0.113938-0j -0.0455888-0j 
0.0262301-0j -0.0471369-0j -0.0856074-0j 0.00718341-0j -0.0404638-0j 0.162163-0j -0.0539066-0j -0.0200018-0j 0.229228-0j 0.0627899-0j -0.00148065-0j -0.0170887-0j 0.0302797-0j 0.0538813-0j 0.0254679-0j -0.00619096-0j -0.0988241-0j 0.00829244-0j 0.0121894-0j 0.0350719-0j -0.0876158-0j -0.0622291-0j 0.00454084-0j -0.069053-0j -0.0118554-0j 0.000219142-0j 
-0.00718341-0j 0.0461921-0j -0.00295089-0j -0.00196726-0j -0.130896-0j 0.0200018-0j -0.000571437-0j 0.0943102-0j -0.0439037-0j 0.188213-0j 0.140542-0j 0.00467993-0j -0.0296728-0j 0.00185729-0j 0.0823857-0j 0.00169546-0j -0.0121894-0j -0.00812624-0j -0.0574739-0j 0.000568676-0j 0.035674-0j -0.00236046-0j -0.10814-0j -0.0192773-0j -0.0804292-0j -0.0321814-0j 
0.0287552-0j 0.0149416-0j -0.200841-0j 0.00787493-0j -0.0952674-0j 0.00646991-0j 0.00228746-0j 0.00177186-0j 0.00187934-0j 0.000514678-0j 6.3035e-05-0j 0.0293729-0j 0.0150491-0j 0.011657-0j 0.0055294-0j -0.18093-0j -0.105111-0j 0.00412137-0j -0.0287858-0j 0.00356921-0j 0.0023943-0j 0.00119715-0j 0.000463654-0j 0.000567858-0j 0.000120461-0j 1.24689e-05-0j 
-0.0389789-0j -0.020254-0j 0.272249-0j -0.0106748-0j 0.129139-0j -0.00877025-0j -0.00310075-0j -0.00240183-0j -0.00254753-0j -0.000697669-0j -8.54467e-05-0j -0.00721091-0j -0.00369449-0j -0.00286174-0j -0.00135744-0j 0.0444176-0j 0.0258043-0j -0.00101178-0j 0.00706679-0j -0.000876225-0j -0.00058779-0j -0.000293895-0j -0.000113825-0j -0.000139407-0j -2.95726e-05-0j -3.06106e-06-0j 
-0.0157499-0j 0.0283033-0j -0.00646991-0j 0.111797-0j 0.0242964-0j -0.152701-0j -0.00125289-0j -0.14964-0j 0.00814927-0j 0.00474544-0j 0.000889056-0j -0.0160882-0j 0.0285069-0j -0.0063848-0j 0.0239768-0j 0.0726207-0j 0.0117104-0j -0.20235-0j 0.0114757-0j 0.0243577-0j -0.129359-0j 0.00226771-0j -0.0532646-0j 0.00384907-0j 0.00140484-0j 0.000206312-0j 
0.0249079-0j 0.0129425-0j -0.17397-0j 0.00682131-0j -0.0825211-0j 0.00560428-0j 0.00198141-0j 0.00153479-0j 0.00162789-0j 0.000445817-0j 5.46013e-05-0j -0.0370624-0j -0.0189888-0j -0.0147087-0j -0.00697693-0j 0.228296-0j 0.132628-0j -0.0052003-0j 0.0363216-0j -0.00450359-0j -0.0030211-0j -0.00151055-0j -0.000585034-0j -0.000716517-0j -0.000151996-0j -1.57331e-05-0j 
-0.00964478-0j -0.00501157-0j 0.0669174-0j -0.00264133-0j -0.00187934-0j 0.0366522-0j -0.327917-0j -0.000594299-0j -0.0789471-0j 0.00291566-0j -2.11426e-05-0j -0.00985195-0j -0.00504762-0j 0.0660371-0j -0.00185462-0j -0.00356921-0j 0.0350215-0j -0.00138235-0j -0.000567858-0j -0.149935-0j 0.0135638-0j -0.171616-0j -0.000155514-0j -0.0238545-0j 0.000682413-0j -4.18219e-06-0j 
0.00646991-0j -0.0266154-0j -0.0211159-0j 0.00177186-0j 0.0288971-0j 0.0915636-0j -0.0132966-0j 0.0372814-0j -0.163703-0j -0.187563-0j 0.00771302-0j 0.00660889-0j -0.0268069-0j -0.0208381-0j 0.0285169-0j 0.0023943-0j 0.0874898-0j -0.00734136-0j 0.0356227-0j -0.0135638-0j -0.0981053-0j 0.0550919-0j 0.0212675-0j -0.201803-0j -0.0762221-0j 0.00216989-0j 
0.0213496-0j -0.0383664-0j 0.00877025-0j -0.151545-0j -0.0329349-0j 0.206993-0j 0.00169835-0j 0.202844-0j -0.0110467-0j -0.00643265-0j -0.00120515-0j 0.00394958-0j -0.00699832-0j 0.00156744-0j -0.0058862-0j -0.0178281-0j -0.00287486-0j 0.0496759-0j -0.00281723-0j -0.00597971-0j 0.031757-0j -0.000556713-0j 0.0130762-0j -0.000944929-0j -0.000344881-0j -5.06487e-05-0j 
0.0130739-0j 0.00679341-0j -0.0907095-0j 0.00358044-0j 0.00254753-0j -0.0496837-0j 0.444506-0j 0.000805599-0j 0.107016-0j -0.00395231-0j 2.86597e-05-0j 0.00241861-0j 0.00123917-0j -0.0162118-0j 0.0004553-0j 0.000876225-0j -0.00859762-0j 0.000339361-0j 0.000139407-0j 0.0368084-0j -0.00332984-0j 0.0421311-0j 3.81781e-05-0j 0.00585618-0j -0.000167529-0j 1.02671e-06-0j 
-0.00125289-0j 0.0109591-0j -0.000514678-0j -0.000343119-0j -0.0497699-0j 0.00474544-0j -9.9667e-05-0j 0.113012-0j -0.0166933-0j -0.0523829-0j -0.283372-0j -0.00127981-0j 0.011038-0j -0.000507907-0j -0.0491152-0j -0.000463654-0j 0.00453431-0j 0.00302287-0j 0.107984-0j -0.000155514-0j -0.0212675-0j 0.000878065-0j -0.0471897-0j 0.036219-0j -0.14928-0j -0.142526-0j 
