0.0901194-0.00430829j 0.0322141-0.00501481j -0.0111973-0.00211155j 0.139504-0.00250972j -0.0638282-0.00518881j 0.0533179+0.00233484j -0.0155135+0.00918431j 0.0150494+0.00159837j -0.025557+0.00444546j -0.0464935-0.00105941j 0.0322933-0.000308531j 0.0017305-7.56232e-05j -0.0236024-0.00190103j -0.0180683+0.00177135j 0.0419559-0.0043524j 0.00843685+0.00554592j 0.0290313-0.00544102j -0.0674768+0.0112106j 0.112989-0.0116201j 0.177477+0.00902865j 0.0122257-0.013319j 0.0092341-0.00240873j 0.0215943+0.00741512j -0.0450835-0.00203271j 0.0270063+0.00299309j -0.00257728-0.00391968j 0.0238139+0.000350255j 0.00248399-0.00221289j 0.0459589+0.00240152j 0.00610598+0.000641117j 0.00563397-0.000659603j 0.0090557-0.00290298j -0.0231296-0.000262347j 0.0283903-0.00378515j 0.0653692-0.00174147j 0.0660064+0.0137722j 0.106748-0.000789781j -0.0395807-0.0169767j 0.0323261+0.00374513j -0.0113573+0.0139685j 0.0298223-0.00406764j -0.0557923-0.0243657j 0.00306737+0.00359714j 0.0690995+0.00629019j 0.0197433+0.0010456j -0.00682474+0.00109496j -0.0267353-0.00484847j 0.0356356+0.0100768j 0.0167392-0.0071669j 0.00946233+0.00895559j 0.0292029+0.0102313j -0.0131197-0.0263149j -0.00543955-0.0278521j 0.0143212+0.0202816j 0.0510439+0.00717354j 0.0124432-0.0219003j -0.0233005+0.0364961j -0.0379659+0.00928256j -0.0136742+0.0059404j -0.0109486-0.00960779j -0.0217334-0.010777j -0.0101259-0.00540378j 0.000101858-0.000886505j 0.023492+0.0140701j -0.0135167+0.00758312j -0.0136613-0.00690942j 0.0391653-0.0140765j 0.0261905-0.00471749j 0.00254856-0.000901842j -0.00724597-0.0129456j 0.000389286-0.0183951j -0.0111305+0.000616531j -0.00760153-0.00436342j 0.00323394-0.00745727j 0.0256765+0.0075256j 0.00456669-0.000225218j 0.00310303-0.00184981j -0.0141378-0.00389438j 0.00950888-0.00317328j -0.0246864+0.00607774j -0.0151481-0.00100558j 0.0207461+0.0211602j -0.0211856+0.006214j 0.0240049-0.0289413j -0.0265229+0.00122036j 0.0116521+0.0664783j -0.031434-0.0432459j 0.00723667+0.0253917j 0.00351712+0.0119107j -0.127693-0.0462167j 0.0896051-0.190974j -0.00816187-0.0461791j -0.120383-0.00105553j 0.099643+0.211696j 0.202565-0.0978283j 
0.0333044+0.00140596j -0.0527956+0.0072438j 0.0799499-0.00438212j 0.0463369+0.00281066j -0.0101282-0.00236579j -0.0238566-0.00727889j 0.000287491+0.00168504j -0.0849183+0.00270621j 0.0313219+0.00880218j 0.0140242-0.000142739j 0.0018916-0.00611608j -0.00444091+0.00102093j 0.00617097+0.00784567j -0.00118831+0.00807124j 0.0284769-0.0029164j 0.0396008+0.00742823j 0.00366602-0.00772252j -0.178423+0.0035353j -0.141482+0.000930204j -0.0379501+0.0200076j 0.0414654+0.00506757j -0.045668-0.00120445j -0.0152331-0.0064154j -0.0132073-0.0140281j 0.0250702-0.00807008j 0.0282913-0.00371361j 0.00456571+0.00832751j 0.00348325+0.0078752j 0.0211405-0.00421239j 0.00724744-0.00400723j -0.0303063+0.004161j -0.0219679+0.00386652j -0.0193339+0.000796655j 0.00308223-0.000196796j -0.0112497+0.00468314j -0.0137128+0.0121503j 0.0913723+0.0214298j 0.127613-4.9045e-05j 0.0173512+0.00632881j -0.100982-0.0198318j 0.00467526-0.00138746j 0.0271219-0.0169556j 0.00491672+0.00386441j 0.0108788+0.00999444j -0.00480782+0.00438335j -0.0149625-0.00320962j -0.0103448-0.0131575j -0.019441+0.00784568j 0.0102949-0.00186054j -0.0310003-0.00746163j -0.0125491+0.00604878j 0.0382884-0.0023955j 0.0264266+0.00735815j -0.0286629-0.0103859j 0.00278003+0.0102945j 0.00499131-0.0011638j -0.00234681-0.00310472j -0.0340658-0.0326982j 0.00389163-0.0328629j -0.00499569-0.0142571j 0.0476023-0.0103004j 0.0292349-0.00522012j -0.0392791+0.00308129j 0.00507882+0.00290599j -0.00213635-0.00596307j -0.00361636+0.00725066j 0.014042+0.00425345j -0.010476+0.0167992j -0.00403828+0.00716755j 0.0171459+0.00069916j -0.00881524+0.0107328j 0.00567719-0.00235726j 0.0043891-0.0128525j 0.00457032-0.00441719j -0.0199311-0.00272897j -0.000568408+0.00817356j -0.0100875+0.00229742j -0.00917076+0.0124217j 0.0118546+0.0010768j 0.0162737-0.0103828j -0.0124967-0.014597j -0.00537592+0.0225575j -0.00855764-0.0160452j -0.00888482+0.0145802j -0.0384879+0.0243475j -0.0525549+4.8155e-05j 0.0264542-0.0552066j -0.0304671+0.00969456j -0.0183416-0.000679977j 0.10051-0.155292j 0.17369+0.0757165j 0.0237773-0.0673004j -0.00444545-0.113778j -0.209245+0.105578j 0.0981143+0.210849j 
0.029803-0.010477j 0.0506373+0.00676265j 0.0730911-0.00879261j 0.234343+0.000141381j 0.00749849-0.0466693j 0.0452041-0.000344317j -0.0124363+0.0255204j 0.0162048+0.00392035j 0.0517627+0.022239j -0.0257122+0.0353388j 0.0104077-0.035783j 0.00894056-0.00614676j -0.0474353-0.0478389j -0.00415888-0.0393514j -0.0212975+0.00729667j -0.0524495+0.016228j -0.0541966-0.00318912j -0.0184992+0.0359987j -0.0388054-0.0450992j 0.0273633+0.0510728j 0.00810497-0.0172192j -0.00230198+0.0200274j 0.0100493+0.0209518j -0.0028088-0.0462634j -0.0192782-0.00106042j -0.0206228-0.0201684j 0.0169449-0.000443299j 0.0502543+0.011462j 0.00250356-0.0202671j -0.00337932-0.0139392j 0.0175578+0.00184839j 0.0451004-0.0143256j 0.0134513+0.0160024j 0.0323039-0.000504936j -0.0268644+0.0211776j -0.00864503+0.0105196j -0.00114771-0.0144125j -0.00132848+0.00108218j 0.00807453+0.0101364j 0.0327765+0.00926732j -0.0329123+0.0124101j 0.020981+0.0245934j 0.00617741+0.0134227j 0.000669381-0.00651659j 0.00905676+0.0242489j -0.00354361+0.00333452j -0.0109085+0.0136651j -0.00656422+0.00842446j 0.0129181-0.000366169j 0.00992486-0.000621299j -0.00458462-0.00209942j 0.0202867+0.0138136j -0.00122173-0.0446948j 0.00916697+0.0220404j -0.00074562+0.00669882j -0.0322182+0.0145106j -0.0232886+0.00941869j -0.00439454-0.0337142j -0.0230325-0.025869j -0.0148135-0.0142155j 0.0135873-0.0244284j 0.0149743-0.0138488j 0.0273006+0.0102721j -0.00548926+0.000871145j -0.00475559-0.00376328j -0.00130097+0.00975093j 0.035256-0.0158596j 0.017951+0.0131321j 0.0114361+0.00512985j 0.00614298-0.00593534j 0.0153953-0.00646737j -0.011671-0.00132008j 0.00503791-0.00992919j -0.00572995-0.00788916j -0.0192876-0.000667576j -0.0104934-0.0150809j 0.000737633+0.0174911j 0.00288659-0.00261971j 0.00576822+0.00381991j 0.00503389-0.00825171j -0.0170081-0.014221j 0.0187809-0.029953j -0.0234543-0.00339298j 0.0289197-0.0168548j -0.0165971-0.00808841j -0.0113712-0.0232989j -0.0433593+0.000981091j -0.00536864+0.00161129j -0.0235516+0.0134519j 0.0286516-0.0308394j -0.0130657-0.00652727j 0.00237964+0.0668079j -0.0305738-0.00582221j 0.00180976-0.0203052j -0.0210486+7.65312e-06j 
0.0295909-0.00131789j 0.11714-0.0046213j -0.0262834+0.0046927j 0.504206-0.00243146j 0.111238+0.0225961j 0.0465009+0.00764934j -0.0131215+0.00451358j -0.0156994-0.00314875j 0.0826054-0.00740252j -0.0486888-0.00788337j 0.00696838+0.0115172j 0.040397-0.000835909j -0.098203+0.0145556j 0.0297533+0.00945444j -0.0451872-0.00186187j -0.122559+0.00809292j -0.172571+0.00263347j -0.0236999-0.00440893j -0.116815+0.000463114j 0.151515+0.00649909j 0.0385647-0.00330737j -0.0127115+0.0111306j -0.0109689-0.00326341j -0.0499146+0.0080544j -0.09178+0.00893088j -0.0480331+0.00045991j 0.0722674-0.00699923j 0.0985417+0.00631456j -0.0564072-0.0199516j -0.047915+0.00356925j 0.0488176+0.0046343j 0.0668987-0.00249196j 0.0189065+0.0161673j 0.0724951+0.000205932j 0.0159219+0.0145703j -0.0118389-0.00965214j -0.0282517-0.0132516j -0.00742571+0.0280714j -0.00488161+0.000208717j 0.0180621-0.0107466j -0.0259794-0.0473506j 0.0121246-0.0142161j 0.0092996-0.0119139j -0.0475823-0.000868614j 0.0469818+0.00357287j 0.016239+0.000407425j -0.0296273-0.0275169j -0.00172006-0.00304643j 0.0113055-0.00306887j -0.0328007-0.00905687j -0.00489104+0.00529661j 0.0578238+0.00507781j 0.0200856+0.0109917j 0.0341743+0.00359176j 0.00848029-0.0224408j 0.0312131-0.00403405j -0.024561+0.011125j -0.0223998+0.0116335j -0.0560721-0.00996692j -0.0267549+0.00531846j -0.0105403-0.0300629j 0.011995-0.0293376j 0.0203094-0.00387118j -0.00989651+0.00276943j -0.00137811+0.0104288j 0.0243947+0.00484504j 0.0125563-0.0267859j 0.0475707-0.00213277j 0.0138736-0.00363033j 0.00786512-0.0240812j 0.0162554-0.0117255j -0.00135989+0.00970668j -0.0182274+0.00412875j -0.00998994-0.00863293j -0.030826-0.00254048j -0.0143119-0.0109333j 0.0213313+0.0252383j -0.00704279+0.0172115j 0.00540842-0.0342511j -0.0093177+0.0104827j -0.0569116-0.00479061j 0.00302186-0.0525446j -0.0551696+0.00798478j 0.0449176-0.0695544j -0.0245084+0.0263486j -0.0367227-0.012097j -0.0881052+0.0275906j -0.00315028+0.0188227j -0.0207886+0.0401951j 0.0476298-0.0869193j -0.0713376-0.0231913j 0.0369561+0.10524j -0.0803182+0.0217512j 0.0163178-0.0550427j -0.0376397-0.0126j 
0.118009-0.000452799j -0.0179348+0.0110542j 0.32728-0.00158261j -0.0777239+0.0126536j -0.0931815-0.00269179j 0.129351-0.0154566j -0.0420881-0.00244764j 0.0108093-0.0046565j 0.0968088-0.00434638j -0.0164938-0.0162137j 0.0312838+0.00812727j 0.0450154+0.00569877j -0.0725276+0.0138977j 0.0315929+0.0215543j 0.0598706-0.00233914j 0.181142+0.00666172j -0.0632918-0.0177222j -0.144883-0.00287029j 0.0270587-0.00263487j -0.130673+0.0190142j 0.0516766-0.0196936j -0.0846868+0.0137658j 0.0015751+0.0078542j 0.0163744-0.0484981j -0.089258-0.014482j -0.0188907-0.00775292j 0.0371081+0.0243394j 0.0472135+0.0283905j 0.074906-0.0244445j -0.00158581-0.029166j -0.00371015+0.027092j 0.0518627+0.0187845j -0.0234351-0.0475487j 0.00884533+0.0162661j -0.127925+0.0050097j 0.0367573+0.0336375j 0.0446832+0.0310024j -0.0336703+0.0177969j -0.00532764+0.00819957j -0.0069521-0.00545418j 0.0107252-0.0352407j 0.0133921-0.00517831j -0.0436688-0.0135745j 0.000431887-0.00875702j -0.0259922-0.0116243j 0.00811804+0.00800129j 0.00511415-0.0316083j -0.0012039+0.0359555j -0.00685131+0.0032487j -0.0104263-0.0267436j -0.0186604-0.0122905j 0.0129521-0.0287474j -0.0122976+0.0324586j -0.0305174-0.000509088j 0.0113453+0.0308661j 0.0408585+0.0190438j -0.0503673+0.00277709j 0.0244722-0.0429453j -0.0138998-0.0401833j 0.0248887-0.0243276j 0.00985635+0.00590613j 0.0181561+0.0247568j 0.00147747+0.000878247j -0.0187798-0.000211318j -0.00620078-0.0166511j -0.0154232+0.0114124j 0.0540668+0.00613014j -0.00807973+0.0301104j -0.00352184+0.0112951j 0.0183609+0.0118728j 0.022314+0.00444089j -0.0186156-0.00826499j 0.0165395-0.00765411j 0.0175572-0.0101089j 0.00184639-0.00284922j 0.0121723+0.00576511j -0.0287304+0.0183244j 0.0326787+0.0172793j 0.00503785-0.000657021j 0.0341773-0.00849276j 0.0298646-0.0534675j 0.0663125+0.038024j -0.0226263-0.0144631j 0.0555966+0.02689j 0.0183139-0.0370516j -0.00565752-0.0367857j -0.00970629-0.0776953j -0.009685+0.00122072j -0.0218692-0.00148432j 0.0656519+0.0701976j 0.0448287-0.0188341j -0.0774327+0.104143j -0.00781685-0.085051j 0.0246187-0.00808062j -0.0236467-0.010264j 
0.0394048-0.0248523j -0.0103299-0.00366584j 0.101722+0.00254083j -0.103964-0.00358628j -0.0397904+0.00753445j 0.0806086+0.0148885j -0.0272022+0.00682172j 0.0506813+0.00968777j 0.027231-0.019423j -0.0269767-0.0122098j 0.00388579+0.0189517j 0.0454924-0.00239468j -0.0762378-0.00417692j 0.0176453-0.00697987j 0.0337164-0.0128576j 0.0386505-0.0158813j 0.0356504+0.0211247j -0.0485735+0.0191747j 0.248722-0.016636j 0.0223016-0.00723549j 0.0171257-0.0600638j 0.0248995+0.000738081j 0.0479615+0.0560341j 0.0437377+0.0372394j -0.0297307+0.00956469j -0.0022756-0.00529603j 0.00350859-0.0121691j 0.00675001-0.00758533j 0.0333196-0.00869905j 0.00825227+0.00207563j -0.00430487-0.0286597j 0.0475331-0.00666134j 0.0322831+0.00683363j 0.0223424-0.0297825j -0.00774788-0.0208823j 0.00714224+0.0229945j 0.0139939-0.0406688j 0.0299708-0.0382113j -0.00908433-0.00294814j -0.0103487+0.0788924j -0.0134528+0.000586126j -0.0174716-0.0166265j -0.0252601-0.00978632j -0.0175702-0.0227025j -0.00250439-0.00502839j 0.00956421-0.0127767j -0.0101189+0.0137832j -0.00181139+0.00528544j -0.0244414-0.00353282j 0.00101048+0.0243359j -0.0154382-0.000277394j 0.0172019-0.0260664j -0.00993423+0.00406845j 0.00178671-0.00485906j -0.00231411+0.0101777j 1.88632e-05-0.0152947j -0.031147+0.000218011j 0.00753738-0.000870397j -0.018824-0.0211247j 0.0238948-0.0168519j 0.0165745-0.0308629j 0.00565332-0.0138358j -0.0144479+0.0184514j -0.0036984+0.00629726j 0.0013583+0.00403211j -0.00262869+0.017832j 0.0201666-0.00428687j 0.00715161+0.0197922j -0.00251556+0.0152813j -0.0159842-0.000151873j 0.0151311+0.0152955j -0.00977374-0.0182144j -0.00563188+0.00102664j 0.0162711-0.00505619j 0.0184374+0.00339185j -0.02034-0.00260592j -0.00114576+0.00940731j 0.00768096+0.0400725j 0.00250089-0.0259793j -0.00118508-0.0235296j -0.0130502-0.00352955j 0.0210375+0.0175206j -0.0357799+0.0255783j 0.0517994+0.0166709j 0.0295265+0.0054971j 0.0342438-0.0105001j -0.0162073-0.0240978j -0.000729052+0.0120675j -0.00716277+0.00733959j -0.0174923-0.0670015j 0.0120602+0.00549999j -0.0547171+0.0362885j -0.0410105+0.00346639j 0.000477805+0.0500828j 0.0312262-0.035284j 
0.0269544-5.80741e-05j -0.0132995-0.0119721j 0.15394+0.00234605j -0.0490527-0.0067683j -9.70559e-05-0.0104347j 0.0251686-0.00113399j -0.0147295-0.0100143j -0.0276028-0.00314064j 0.119846-0.00763211j 0.00319026+0.015755j -0.0111319-0.0140997j 0.0328249+0.00511191j -0.0206345-0.0440875j 0.0301116-0.0262471j 0.0185209+0.0102741j 0.0856506-0.0329979j -0.199433+0.0109757j 0.162232-0.00693123j 0.103293+0.0157653j -0.106765-0.0583496j 0.000185899+0.0122129j -0.0335539+0.00739449j -0.0250837+0.000130114j 0.0191923+0.00497806j -0.0243499+0.00620524j 0.0126119+0.0114514j 0.0137419-0.0223026j 0.0135811-0.0136275j -0.052429+0.0006669j -0.0174526-0.00421013j -0.001679-0.00262214j 0.0224064-0.0049544j -0.000410654+0.00279285j 0.00277082+0.00379637j 0.00486864-0.0428258j -0.00314342-0.0180567j -0.0090376-0.0119768j -0.0148575+0.04056j -0.0158052-0.00505522j -0.0244349-0.0315241j -0.000398985-0.0224636j 0.0358992+0.00768173j -0.0261287-0.012543j 0.0224765-0.00610938j -0.00520152+0.0130218j 0.00584841+0.00608246j -0.0114584+0.0165504j -0.00507934+0.011606j 0.0154766-0.0196906j -0.0121864-0.00459836j 0.00213549-0.00977247j 0.016716-0.021946j -0.00169391-0.00135938j -0.0303559-0.00293239j 0.00799284-0.00987266j 0.0228776+0.00291172j -0.0298158+0.00978621j -0.000422143-0.0192396j -0.0137128-0.0126799j -0.0194132+0.00734176j 0.024316+0.0246428j 0.0326576+0.015003j -0.00711019-0.0182172j -0.0175982+0.00785294j -0.00584432-0.00254405j 0.00932542+0.00229356j -0.00110529-0.00491011j 0.00719007-0.00393351j -0.00798567-7.28161e-05j -0.00788483+0.00231455j 0.00794695+0.0123636j -0.0027204-0.018822j 0.00341623-0.00847266j -0.00125293-0.00497747j -2.86431e-05+0.00264272j -0.00220065-0.016889j 0.0273166+0.0114544j 0.00330084+0.047222j 0.013836-0.0216784j 0.00342707+0.021998j 0.0181032+0.0051074j -0.00234589+0.0101763j 0.00441536+0.0285966j 0.0345647-0.0263669j 0.0559943+0.0317484j 0.0236545+0.00650841j 0.00631912-0.0315625j -0.00222508-0.00248659j 0.00310996+0.000302994j 0.0226718+0.0130644j -0.0429068-0.0224676j 0.00575718-0.0205064j -0.0120459+0.00564699j 0.0285219-0.0284001j -0.00466595-0.029087j 
-0.0709085-0.00561198j -0.0190252+0.00464704j -0.256578-0.0030242j -0.0251363+0.00264268j 0.0886997-0.00679639j 0.0100191+0.000379531j 0.01186-0.00410108j -0.0894146+0.00187812j -0.0587989-0.0147876j 0.0200077-0.0222047j -0.0202288+0.0061518j 0.0421892+0.00955891j -0.0363028+0.00318981j 1.33613e-05+0.0116154j 0.0753152-0.00181504j -0.00717784-0.00500799j -0.0748984-0.0116765j -0.00107311-0.00769043j 0.0145444+0.00327069j 0.00543524-0.0155042j -0.0400853-0.00150489j -0.0142682-0.00675921j 0.0139519+0.0299748j 0.00243689-0.0451069j 0.0277797+0.0357639j -0.00250251-0.0689757j -0.0109503+0.00758965j -0.0280896+0.0338368j -0.0158997-0.0393816j -0.0113467+0.0358026j -0.012056+0.0473343j -0.024352-0.0499827j -0.0114666+0.0156007j -0.0445997-0.00823768j 0.0173197+0.00758889j 0.00303282+0.0136071j -0.0201853+0.00888062j 0.003808-0.00717109j 0.00311138-0.00561054j -0.00915212+0.0051684j 0.00501419+0.00187172j -0.00956993-0.00999461j -0.00739731-0.0084717j -0.016963+0.00215602j -0.0127796-0.00680516j 0.00769061-0.0103013j 0.0304557+0.0078063j -0.00313342+0.0258587j 0.0213554+0.0353812j 0.018779-0.0463734j 0.0083691+0.00190593j 0.00468846-0.0142876j 0.00376925-0.00419966j -0.00570405-0.00592297j 0.0203669-0.0121148j 0.0115605+0.00791509j -0.00409533-0.00911556j -0.00570575-0.023554j -0.00576495-0.0011571j -0.00601658-0.00170873j 0.00954656+0.000427995j -0.00149871+0.00330652j -0.0105945+0.00273431j 0.00553507+0.00276143j 0.00281118+0.00716856j 0.00318672-0.00194005j 0.00240062+0.00733089j 0.003638+0.00419575j -0.00891271+0.000495739j 0.00546824-0.00762918j 0.00558338+0.015344j 0.00225331-0.00494037j -0.0110076-0.00940622j 0.00872978+0.012623j -0.00454513+0.00337234j -0.0141325+0.00578633j 0.00621037-0.000572189j -0.00828862+0.00812549j 0.00631833+0.0107454j -0.00977309-0.00376363j 0.0131596+0.00305136j -0.019054+0.000102934j 0.0246745-0.00232654j 0.00989474-0.0190274j 0.0055723+0.00451553j 0.00228615-0.00674034j 0.00854769+0.00250188j -0.00298861-0.00132089j 0.00162127+0.00130264j -0.0101995+0.00427927j 0.0102249+0.00320143j 0.00918008-0.0168106j 0.0104339-0.000487782j -0.00943967+0.0131497j 0.00590418+0.0134957j 
-0.0893247-0.00602108j 0.0120141+0.0165919j -0.454274-0.00453142j 0.167621+0.00386307j 0.119662-0.0212472j -0.00432263-0.023669j 0.032671-0.00566701j -0.120597+0.00431669j -0.107994-0.013969j -0.00230222-0.00714655j 0.0351759+0.00587646j 0.0202378+0.00230428j -0.0261294-0.00392129j -0.0260589+0.0115724j 0.0867261-0.00124394j 0.0411308-0.00868315j -0.0274154-0.0147664j 0.0241203-0.00361457j 0.00385529+0.0096916j 0.0116823-0.0180112j -0.0452013-0.022485j 0.0183781+0.0101094j 0.0219781+0.020701j -0.00637806-0.0286529j 0.029053-0.0220655j -0.0243204+0.00449372j -0.0192391+0.02267j -0.0235828+0.00332453j -0.00417874+0.00280632j -0.00638037-0.0326846j -0.0136983-0.0198674j -0.00981278+0.0231305j 0.00434885-0.0402728j -0.0432607+0.00102129j 0.0248419-0.0128055j -0.011662+0.0359923j -0.00638125+0.00803254j 0.0219776-0.0128628j 0.0179595+0.0616622j 0.0309812+0.0130307j -0.00664741+0.00119117j -0.0281026+0.0184308j 0.0201271+0.00516345j 0.00368927+0.0111572j 0.00754186-0.0209553j 0.00529311+0.0209328j 0.0224965-0.00215755j 0.0306203+0.0248688j -0.00121788-0.00957105j -0.00147213-0.001211j 0.0081186+0.00241302j -0.000466982-0.0157998j 0.00387594+0.0140336j -0.0142997+0.0117436j 0.0118559-0.00890859j 0.0136169-0.0165776j -0.00474078-0.0109361j -0.0112181+0.000610752j -0.00694798+0.0171441j 0.0133766+0.00264631j -0.0012893-0.019865j -4.01727e-05-0.00667642j -0.0207996+0.00752963j 0.0104137+0.00882882j 0.0111272+0.00888807j 0.010456+0.00830224j -0.00888227+0.0278838j 0.00950881-0.00164927j -0.00635887+0.00188074j 0.00185681-0.00904836j 0.00650711+0.0079693j 0.00192371-0.00350278j -0.00170758+0.0126342j 0.0194901+0.00276566j -0.00620885+0.0027645j 0.00287688-0.00306604j 0.00311479-0.00179063j -0.00434997-0.00575956j -0.00125248+0.0100059j -0.00922925+0.0127355j -0.000353183+0.0121535j -0.00900464+0.0187253j 0.0142344-0.00408953j -0.00663418-0.00696848j 0.00872286-0.00923067j -0.00592076-0.0193275j 0.0154515+0.00889374j 0.000976724+0.0044176j 0.00749343-0.000360194j -0.0195933-0.0147384j 0.0228072+0.0238944j -0.00159826-0.00229471j 0.0162068-0.000615296j -0.0249568+0.0278676j 0.00570724+0.0247954j 
0.100644+0.00498225j 0.0177699+0.0105684j 0.191762+0.00591275j 0.137366-1.54328e-05j -0.0924669-0.00338349j 0.00449894-0.0298641j 0.0198456+0.00926798j 0.0257732+0.00348847j 0.00531273+0.00595586j -0.0701825+0.0146269j 0.0672103-0.0191675j -0.0631866-0.00828877j 0.0460972+0.00130874j -0.057018-0.0120855j 0.0387749-0.000423701j 0.0649691-0.00370966j 0.0765542-0.00573652j 0.051269-0.002526j -0.0195271+0.0203468j -0.0488732-0.00549714j 0.0615675+0.0430269j 0.00156531-0.0411086j -0.00641064+0.0114161j -0.00531585+0.036058j -0.0396436-0.000389391j -0.0290001-0.00873344j 0.00144807+0.0280046j 0.0123806+0.00592008j 0.0434399+0.0242725j 0.00849787+0.0284014j -0.00010002-0.00359932j 0.0267161-0.00996571j 0.0348375+0.00698159j 0.0425362-0.00608645j -0.0479397+0.00128952j 0.0100612-0.00601934j 0.0381686+0.00162801j 0.00413107-0.00855277j 0.0173391-0.0214259j -0.00306658+0.0389444j -0.0397879+0.0140455j -0.0133776-0.0124877j 0.00595385+0.0164861j -0.00908627-0.0157595j 0.022871+0.014447j 0.00143616-0.013639j 0.00437507+0.0147584j 0.00819696+0.00309931j -0.00580939+0.00855703j 0.0127253+0.00655294j 0.0078274-0.0227558j -0.0319577-0.0255589j 0.00164635+0.00406874j 0.00343966+0.0157514j 0.00609632-0.00853781j 0.00329074-0.0197927j -0.0120532+0.00584931j -0.00576877+0.0252999j -0.00731961+0.00531399j 0.0137907-0.00609493j 0.00128307-0.0139541j -0.0184087-0.0173786j 0.00797106+0.0138869j 0.0083711+0.00247478j -0.0103422-0.00224915j -0.0045424-0.0107847j 0.0056835-0.00853996j 0.00458504-0.000634502j 0.00114963+0.00639904j 0.00654056+0.00589256j 0.00798781-0.0154304j -0.00520419+0.00158695j -0.000471845+0.00230948j -0.00390429-0.00741261j -0.0136298+0.00275131j 0.0144834+0.00889414j -0.013897-0.0113434j 0.0118453-0.00932042j 0.000623303+0.00011801j 0.0177053+0.0133526j -0.015663-0.0206041j 0.0342637+0.00490931j -0.00755185-0.0204674j -0.0109317+0.0105636j 0.00262045-0.0236739j -0.0221129-0.00660629j -0.0230152+0.000732471j 0.00189979+0.00645445j -0.00724643+0.00306922j 0.00476448-0.0201707j 0.0139349+0.00686905j -0.0338327+0.0440656j -0.0151634-0.00973866j 0.000394+0.0141157j 0.000622235-0.0125102j 
-0.0219981+0.0198572j -0.0236584+0.00210485j -0.109233+0.0162602j 0.0888836-0.00189994j 0.0183644+0.0326699j -0.0630998-0.00553136j 0.0356274-0.0219681j -0.0230579-0.00859738j 0.061378+0.0116487j -0.102922+0.00699421j 0.0730892-0.00670868j -0.00329616-0.00192668j -0.0342302-0.00774988j -0.0310992-0.02602j 0.0360416+0.00613608j -0.00301461-0.00211352j 0.0203799+0.0312852j 0.0239392+0.0211967j -0.0045757-0.00217427j 0.0048438+0.020367j 0.00205795-0.0246837j 0.0131102-0.0403429j 0.0175829-0.00981455j -0.00936763-0.0112677j 0.0143768-0.0119805j 0.00727217-0.0120546j -0.00922707+0.00865295j -0.0342504+0.01061j -0.0315573-0.00870425j 0.000219403-0.00272063j -0.0444411+0.0129214j -0.0341411-0.0160919j -0.00420797-0.0294611j -0.041713+0.0061741j -0.00514048+0.0045341j 0.00621268+0.0168696j 0.00244097+0.0116905j 0.0058921-0.00343874j -0.0209415+0.0167129j 0.00327604+0.00114407j -0.000833072-0.00821984j -0.0079984-0.00658064j 0.00516804-0.0431173j 0.0182608+0.0055468j 0.0202283-0.00219031j 0.0128173+0.00247918j 0.0153987-0.00515695j 0.0095759+0.0334726j 0.00333187-0.00816467j -0.000662922-0.00447106j 0.0136498-0.00620894j -0.00417327-0.0108949j -0.00547005-0.00846611j -0.00858282-0.000285924j 0.00157903+0.00555249j -0.0047456-0.001062j -0.00506105+0.00316812j -0.00750772-0.0131007j 0.0135749+0.0124734j 0.0053544-0.00515943j -0.000730931-0.0107862j 0.0029566-0.00244491j 0.0228825+0.0149164j 0.0119301-0.00168163j 0.00425043-0.00127724j 0.00520911-0.00141224j 0.00548583+0.00106808j 0.0066779-0.0157979j -0.000462708-0.0165577j 0.0041206+0.000500695j -0.000769369+0.000933203j 0.00810069+0.00104872j 0.0028786-0.00413587j -0.00393775+0.00607177j -0.0150254-0.000426969j 0.00441239+0.00612894j 0.00588353-0.00567294j -0.00676618-0.0111753j -0.00168081+0.0188323j -0.0089455+0.0148354j 0.00726106-0.000890548j -0.0134768+0.0105915j 0.0249157-0.00922033j -0.0128665-0.00486505j 0.00601877-0.00547663j -0.0103561-0.013035j 0.0158527+0.011813j -0.00114532-0.00271086j 0.00251874-0.00272515j -0.00994628+0.0141828j 0.02161+0.0179483j 0.00602095-0.0116795j 0.0222663-0.00430827j -0.0169517+0.0122908j -0.00030093+0.0257574j 
