0.473597-0j 0.369486-0j 0.175262-0j 0.212654-0j 0.235364-0j 0.123541-0j 0.033833-0j 0.136734-0j 0.0374462-0j 0.149897-0j 0.203192-0j 0.082102-0j 0.129842-0j 0.050277-0j 0.0337269-0j 0.111293-0j 0.0681527-0j 0.00653118-0j 0.0711173-0j 0.0435503-0j 0.0457182-0j 0.0088533-0j 0.0292144-0j 0.00565734-0j 
-0.857201-0j 0.0350205-0j -0.131512-0j 0.111293-0j -0.0785622-0j -0.223606-0j -0.219124-0j 0.157844-0j 0.154681-0j 0.0784492-0j 0.0192589-0j -0.148603-0j -0.0989863-0j 0.0263126-0j -0.139741-0j -0.0364814-0j 0.00645964-0j -0.0575395-0j 0.187506-0j -0.033201-0j -0.0343058-0j -0.0141257-0j 0.176324-0j 0.0726028-0j 
0.123541-0j -0.765751-0j 0.0457182-0j -0.0356653-0j 0.0613962-0j 0.164616-0j -0.00567432-0j -0.283379-0j 0.00976807-0j 0.0391015-0j -0.0340785-0j 0.0214168-0j 0.03387-0j -0.221511-0j -0.0698982-0j -0.0186656-0j 0.193055-0j 0.0017037-0j 0.0185514-0j -0.191874-0j 0.0609189-0j -0.00148484-0j -0.0605462-0j 0.00147575-0j 
0.463931-0j -0.0457182-0j -0.497076-0j 0.0169175-0j -0.0291228-0j -0.0778085-0j 0.251702-0j 0.133944-0j -0.433293-0j -0.0185475-0j 0.0161649-0j 0.0804264-0j -0.0160659-0j -0.00622102-0j -0.0956555-0j -0.0700947-0j 0.00542186-0j -0.164749-0j 0.0696658-0j -0.00538868-0j 0.0833675-0j 0.143585-0j -0.0828574-0j -0.142707-0j 
-0.136734-0j -0.540547-0j 0.0322727-0j -0.0613962-0j 0.0634955-0j 0.283379-0j -0.00976807-0j -0.293069-0j 0.0101021-0j -0.0432775-0j 0.0374157-0j -0.0237041-0j -0.00412976-0j 0.245168-0j 0.0773631-0j 0.0204934-0j -0.211961-0j -0.00188565-0j -0.00226196-0j 0.0233952-0j -0.0668845-0j 0.00163024-0j 0.00738239-0j -0.000179938-0j 
-0.513478-0j -0.0322727-0j -0.350888-0j 0.0291228-0j -0.0301186-0j -0.133944-0j 0.433293-0j 0.138524-0j -0.448108-0j 0.0205283-0j -0.0177478-0j -0.0890157-0j 0.00195892-0j 0.0068854-0j 0.105871-0j 0.0769588-0j -0.0059528-0j 0.182344-0j -0.00849435-0j 0.000657041-0j -0.0915313-0j -0.157646-0j 0.0101028-0j 0.0174002-0j 
0.082102-0j 0.0640535-0j 0.0303832-0j -0.459326-0j -0.508381-0j 0.0214168-0j 0.00586523-0j 0.0237041-0j 0.00649162-0j -0.0382557-0j 0.0352251-0j 0.261072-0j 0.0225092-0j -0.0128314-0j -0.00860753-0j -0.24039-0j 0.0118149-0j -0.00166684-0j -0.153612-0j 0.0075498-0j 0.00792564-0j 0.00153479-0j 0.00506456-0j 0.000980748-0j 
-0.111293-0j -0.0157248-0j -0.00745895-0j -0.400321-0j -0.439522-0j 0.0186656-0j 0.00511178-0j 0.0204934-0j 0.00561235-0j -0.0352251-0j 0.00555992-0j 0.24039-0j 0.0444466-0j -0.0118149-0j -0.00792564-0j -0.0379431-0j 0.00186485-0j -0.00153479-0j -0.303322-0j 0.0149079-0j 0.00125098-0j 0.000242252-0j 0.0100005-0j 0.00193659-0j 
0.164957-0j 0.295644-0j 0.139741-0j -0.0214168-0j -0.0237041-0j -0.341869-0j 0.0421675-0j -0.37838-0j 0.0466708-0j 0.0222246-0j -0.0204639-0j -0.0420991-0j -0.0130766-0j -0.125903-0j 0.314527-0j 0.038764-0j 0.115929-0j -0.0163009-0j 0.0247706-0j 0.0740795-0j -0.28961-0j 0.0150095-0j -0.185064-0j 0.00959123-0j 
-0.16165-0j 0.0101908-0j 0.452046-0j 0.00586523-0j 0.00649162-0j -0.0421675-0j -0.198823-0j -0.0466708-0j -0.220057-0j -0.00608645-0j 0.00560428-0j 0.0412553-0j 0.00358119-0j -0.00204146-0j -0.128064-0j -0.037987-0j 0.00187973-0j 0.388204-0j -0.0242741-0j 0.00120117-0j 0.117919-0j -0.35745-0j 0.0753513-0j -0.228414-0j 
0.0711173-0j -0.080822-0j -0.0383372-0j -0.397871-0j -0.0485124-0j 0.0185514-0j 0.0050805-0j 0.00226196-0j 0.000619465-0j 0.0225092-0j -0.0444466-0j -0.153612-0j 0.0469052-0j 0.0075498-0j 0.00506456-0j 0.303322-0j -0.0149079-0j 0.000980748-0j -0.3201-0j 0.0157325-0j -0.0100005-0j -0.00193659-0j 0.0105537-0j 0.00204371-0j 
-0.223606-0j -0.0725793-0j -0.0343058-0j -0.0186656-0j -0.0204934-0j -0.297952-0j 0.0367506-0j -0.327129-0j 0.0403494-0j 0.0204639-0j -0.00323002-0j -0.038764-0j -0.0258212-0j -0.115929-0j 0.28961-0j 0.0061185-0j 0.0182981-0j -0.0150095-0j 0.048912-0j 0.146277-0j -0.045712-0j 0.0023691-0j -0.365427-0j 0.0189389-0j 
0.219124-0j -0.00250181-0j -0.110975-0j 0.00511178-0j 0.00561235-0j -0.0367506-0j -0.173282-0j -0.0403494-0j -0.190251-0j -0.00560428-0j 0.000884578-0j 0.037987-0j 0.00707142-0j -0.00187973-0j -0.117919-0j -0.00599587-0j 0.000296697-0j 0.35745-0j -0.0479316-0j 0.00237182-0j 0.0186123-0j -0.0564199-0j 0.148789-0j -0.451027-0j 
0.142886-0j -0.37304-0j -0.176324-0j -0.0185514-0j -0.00226196-0j -0.296129-0j 0.0365257-0j -0.036107-0j 0.00445357-0j -0.0130766-0j 0.0258212-0j 0.0247706-0j -0.0272495-0j 0.0740795-0j -0.185064-0j -0.048912-0j -0.146277-0j 0.00959123-0j 0.0516176-0j 0.154369-0j 0.365427-0j -0.0189389-0j -0.385641-0j 0.0199865-0j 
-0.140023-0j -0.0128587-0j -0.570387-0j 0.0050805-0j 0.000619465-0j -0.0365257-0j -0.172222-0j -0.00445357-0j -0.020999-0j 0.00358119-0j -0.00707142-0j -0.0242741-0j 0.00746258-0j 0.00120117-0j 0.0753513-0j 0.0479316-0j -0.00237182-0j -0.228414-0j -0.050583-0j 0.00250302-0j -0.148789-0j 0.451027-0j 0.157019-0j -0.475976-0j 
0.0613834-0j 0.0478894-0j 0.0227159-0j 0.0275622-0j 0.0305058-0j 0.0160122-0j 0.00438513-0j 0.0177223-0j 0.00485344-0j -0.330332-0j -0.447779-0j 0.0106413-0j -0.286135-0j 0.00651646-0j 0.00437137-0j 0.0144248-0j 0.00883334-0j 0.000846512-0j 0.00921758-0j 0.00564459-0j 0.00592559-0j 0.00114748-0j 0.00378651-0j 0.000733254-0j 
0.116276-0j -0.0262301-0j 0.0985018-0j 0.188096-0j 0.208184-0j 0.0303313-0j 0.0297234-0j 0.0335706-0j 0.0328977-0j -0.0106413-0j -0.0144248-0j -0.251153-0j -0.00921758-0j -0.00356921-0j 0.0189553-0j -0.34045-0j -0.00483822-0j 0.00780502-0j -0.217551-0j -0.00309167-0j 0.0256948-0j 0.01058-0j 0.0164192-0j 0.00676075-0j 
-0.0784492-0j -0.0110843-0j -0.00525773-0j -0.0352251-0j 0.0248655-0j -0.0204639-0j -0.00560428-0j 0.0144456-0j 0.00395608-0j -0.621506-0j 0.103641-0j 0.0200212-0j -0.53269-0j 0.0122605-0j 0.00822457-0j -0.0033387-0j -0.00204453-0j 0.00159268-0j 0.0171601-0j 0.0105084-0j -0.00137151-0j -0.000265592-0j 0.00704923-0j 0.00136508-0j 
