0.0156637-0.00577957j -0.0157487-0.00242355j 0.00748456+0.00374638j 0.0386685+0.00163682j 0.00219099+7.12619e-05j -0.00066385-0.00191846j 0.000189772+0.00109758j -0.00821536+0.000944118j 0.00158556+0.000812305j -0.0126658+0.000655842j 0.0055979+0.00130531j 0.00325245+0.00196796j -0.00739683-0.000475233j 0.004755+0.000393965j 0.00145945-0.00179387j 0.00219957-0.000463214j 0.000323433-0.00183777j -0.00647978+0.000905076j -0.0047874-0.00103039j -0.0119202+0.00158262j -0.0127969-0.000562031j -0.002556+0.000865592j -0.0157043-0.0019606j 0.0250819-1.30395e-05j -0.0352078+0.00117318j -0.000981217-0.00158998j 0.0502944+0.00446906j 0.0534019+0.00136995j 0.0133124+0.00295829j -0.0158661-0.00471547j -0.00256622+0.00152552j 0.0131742+0.00149561j 0.0050023-0.00182088j 0.00152737+0.000626964j 0.00789067-0.000927475j -0.000635559+0.000425508j 0.0119654+0.000864581j 0.0264625+0.000211369j -0.00154453+0.00115888j 0.00573565+0.0026135j 0.00854174+0.000596324j -0.0117668+0.00195553j 0.00543012+0.00175221j -0.00784929-0.00218214j 0.00843823-0.000508619j 0.00337283-0.00347132j -0.00939561-0.000343235j -0.028604-0.000382571j -0.0397115+0.0044182j -0.102485-0.00745701j 0.12435-0.0273873j 0.222458+0.0235307j 
-0.0149061-0.00175522j -0.0174067+0.00618728j 0.0205321-0.000757154j -0.000675071-0.00470396j 0.00806479-0.00218936j 0.0047593+0.000329393j -0.00442107+0.00192416j -0.000563234+0.000972361j 0.00520817-0.00264484j -0.00233787+0.00187497j 0.00682445+0.000218446j 0.00384297-0.000823188j -0.00039987+0.00147351j 0.000491765+1.94227e-05j 0.000281345-0.000183137j -0.00954155-0.000594326j -0.00612597+0.000184632j 0.00632466+0.00176651j -0.000910664+0.0017649j -0.000774021+0.00162194j 0.00860036+0.00195049j 0.00568125+5.43273e-05j -0.0121871-0.00070873j 0.00179248-0.0017799j 0.00891398+0.00453332j -0.0117031-0.00100486j 0.00347836-0.00626058j -0.0188306-0.0030597j 0.0322192-0.00324785j -0.0507858-0.00209107j 0.0141972+0.00109194j 0.0106869-0.000184687j -0.0444521-0.000791856j 0.0185398+0.000137702j -0.019316-0.00147482j 0.00809569+0.000175172j 0.00217546-0.00128604j -0.0085876-0.0024526j 0.00621491+0.000663113j 0.0120406+0.000245662j -0.00706676-0.00141001j 0.0205529+0.00205201j 0.00604324+8.65561e-05j -0.00480486+0.0016972j -0.0226601-0.00188481j 0.00171681+0.00287409j -0.0155723-0.00327278j -0.0221029+0.00454215j 0.110614+0.00342142j -0.0743778+0.00680892j -0.212669-0.0248865j 0.108622-0.0275292j 
0.00328806-0.00616878j -0.0102098+0.000660343j 0.0104917-0.00230106j -0.0637395-0.00445158j 0.0142678+0.00428759j 0.0309247+0.00223337j -0.0147542-0.00148391j 0.00794623+0.00165667j -0.00144576+0.0017724j -0.00570886-0.000574588j 0.0067068-0.00066419j 0.0128955+0.00196443j 0.000775262-0.00144207j 0.00101609-0.000939396j 0.00555929+0.00134448j 0.00151406-0.00304969j -0.00531508+0.000773584j 0.00129026+0.00411171j -0.0228022+0.000914243j -0.0144723+0.000754148j 0.036053-0.00104961j 0.0047273+0.00104894j -0.00794981-0.00521003j 0.0173527-0.000275052j -0.0556288-0.00172027j 0.0421823+0.00288823j 0.0101115-0.00191725j -0.0730241-0.0126166j -0.0114491-0.00381608j 0.00586569+0.00895024j 0.0123062-0.000935875j 0.0070949-0.00115418j -0.0171751+0.00454441j 0.0183047+8.72633e-05j -0.0117311+0.00106906j 0.0181946-0.000718795j 0.0067141-0.00205703j 0.0110301-0.00210541j -0.00738852-0.00136746j -0.00523624-0.00433958j -0.0200838-0.000892615j 0.00503799+0.000712381j -0.0294436-0.00470531j -0.00874112-0.00251389j 0.0315046+0.000484858j -0.00522188-0.0106733j -0.0153479+0.00900059j -0.0157188+0.00711786j 0.079049+0.00643942j 0.0304933+0.0195247j 0.167651+0.00200264j 0.00288904+0.00495308j 
0.0304911-0.00268089j 0.0129323-0.00466058j 0.0274849-0.00120343j 0.0485407-0.00212806j -0.0585628-0.000196909j -0.0167259+0.00271859j 0.026879+0.00288093j -0.0229183+0.00571344j -0.0252866+0.00247639j 0.0105052-0.00095983j 0.00702525+0.0025812j -0.0189246+0.00256696j 0.0282001+0.00233887j 0.00461857-3.93867e-05j -0.0144086-0.00349637j 0.0294257+0.00407597j 0.00146564-0.00126992j 0.00100561+0.000356474j 0.00259059+0.000963248j -0.0179136+0.00241979j 0.0333531+0.000707272j -0.0228384-0.00142088j 0.036564-0.00175773j 0.0125798-0.000995577j -0.0103299+0.0033472j 0.0131126-0.000968558j -0.0464274-0.000159527j 0.060707-0.00288327j 0.038817+0.0037559j -0.0349806-0.00524977j 0.00105532+0.000824329j 0.0280136-0.000972231j -0.0260602-0.00775491j 0.0145689+0.0029266j -0.00427712-0.00295744j 0.00563741+0.00111675j 0.0144305-0.000239543j 0.0172244-0.000530097j 0.0119004+0.000117635j 0.0277243+0.00319028j 0.00941826-0.00107674j 0.00383882+0.00330264j 0.0236089+0.00157125j -0.0171768+0.00268442j 0.0158452-0.00364671j 0.0731687+0.0103783j -0.0755735+0.00356533j -0.0707744-0.00377104j -0.0101377+0.0283123j -0.0219482-0.00390035j 0.00144517+0.000980138j -0.157262-0.00451511j 
-0.0168767-0.00217944j 0.00359477-0.00071697j -0.050969-0.00271688j -0.0153942-0.00571437j 0.0247259+0.00153802j -0.0273323+0.0018347j -0.0152493-0.00685007j 0.0137261+0.000575767j 0.0226124+0.00330893j -0.00315217-0.00316014j -0.0193623-0.00640115j -0.00513386+0.00818007j -0.0098926-0.00602167j 0.00407572-0.00208443j -0.0173783+0.000445749j -0.0397473-0.00233089j 0.0339491+0.00174386j 0.0086375+0.00439402j -0.0456915+0.000449945j 0.0245573-0.00123303j 0.0421687-0.000336105j 0.00556228-0.00200741j -0.030633+0.00134087j -0.00133754-0.00187369j -0.0405849-0.00256021j -0.0647684-0.00684167j -0.075371-0.00235108j 0.00595306-0.0040634j 0.00709731-0.00178209j 0.0407234+0.00108199j -0.00423084+0.000265931j -0.00277683-0.00112424j 0.0210901+0.000961588j -0.00760917+0.00100897j 0.010361+0.000524766j -0.0131426+0.000328701j -0.000292725+0.000511422j 0.0153629-0.000123548j 0.0103653-0.00155639j -0.0238613-0.00610532j 0.00077135-0.000946112j 0.00978237-0.00281974j -0.000599043-0.00394966j 0.0138564+0.00146161j 0.0411985-0.00799565j -0.031912-0.011497j 0.0119683-0.0032521j -0.0524161-0.00661581j -0.0662139-0.00253345j -0.0303376-0.012061j -0.0492284-0.00625033j 0.00151926+0.00206073j 
-0.00864852+0.00149603j 0.001601-0.00225718j -0.00459777-0.00480565j 0.0320089-0.00738124j 0.00606653+0.00405525j -0.00777665-0.00170171j 0.0173895-0.000906797j 0.00504121+0.00115122j 0.0109922+0.00563373j 0.0103685+0.000641664j 0.00111271-0.00217133j -0.00911359+0.00308914j 0.000226241-0.000877886j -0.00551237-0.0024608j -0.000632507-0.000932955j 0.0206845-0.000380271j -0.0278685+0.000826618j 0.0509686+0.000456828j -0.0191744+0.00436802j -0.00313407+0.00310541j 0.058031+0.00146441j -0.0252439+0.0051128j 0.0316595-0.00358285j -0.0160471+0.00133405j -0.0239185-0.00582715j -0.0195737-0.000729432j 0.0716544+0.00617552j 0.00267297-0.00879314j -0.0470876-0.00846977j 0.0026385-0.000916936j -0.0209226+0.000416913j 0.00135949-0.00158191j 0.00626968-0.00159341j -0.011197+0.00306992j -0.0136681-0.00134264j -0.015293+0.00442533j -0.000321802-0.00126772j -0.0240076+0.00461367j -0.0130745-0.000827019j -0.0245492-0.000158157j 0.00101429-0.00451423j -0.0204319+0.000701725j -0.0455026-0.00444254j -0.0330296+0.000667687j -0.00128674+0.011676j 0.0400304+0.00285006j 0.0258992+0.00424104j 0.107111+0.000549658j -0.0732789-0.011637j 0.0249879-0.00817298j -0.0864726+0.00885769j 0.0494811+0.00428769j 
0.00439658-0.000941654j 0.00955333+0.0014775j -0.00315886-0.00339163j 0.0858862-0.00197085j -0.0455859+0.0045472j -0.0332403+0.00145061j 0.00888759+0.00244193j 0.000476297+0.000696481j -0.0122149+0.00258863j -0.0205365+0.00447971j -0.00683179+0.000233975j -0.0375667+0.00450975j -0.00680024-0.00404992j 0.0299368-0.000418874j -0.0434069-0.00436206j 0.0177468+0.00157695j 0.0194598-0.00239439j -0.021745-0.00320808j -0.0179095-0.00362042j 0.00613643+0.00193903j -0.00875404+0.000877819j -0.0101799-0.00538514j 0.0109414+0.00862083j 0.0580904-0.000155593j 0.0241457+0.00103383j -0.0187947-0.00728587j 0.0340428+0.00793368j -0.0154333-0.000662552j -0.0150691-0.00305921j 0.00775486-0.00321841j 0.0105455+0.000360428j -0.000515571-0.00212912j 0.00926994-0.000689745j 0.0050875+0.00143477j -0.00131091-0.00220148j -0.0233576-0.000764713j 0.00310657+0.00109669j -0.0136423-0.0040107j -0.00911489+0.00159453j 0.00286018-0.000425591j 0.0391398+0.00154591j -0.000154025-0.00349819j -0.0237656-0.00430056j 0.0222706-0.000938808j -0.031557-0.00103662j -0.0372408+0.00691192j -0.0497028-0.000268641j 0.0588261+0.0139483j 0.0851468-0.0059262j 0.0313209+0.0134058j 0.0400297+0.00624974j 0.021561-0.00673388j 
0.0222126+0.00194723j -0.00969263-0.00346379j 0.068862+0.00367108j -0.00596826+0.00109116j -0.0120509-0.00150668j 0.0485329-0.000258056j 0.018242+0.00496541j -0.0250553+0.000532179j -0.018033-0.00713329j 0.0067955+0.00292407j 0.0246941+0.00562156j 0.00966367+0.00275855j 0.0544827-0.00138921j -0.0216159+0.000711497j -0.0268209-0.00235857j -0.0141494-0.00237582j 0.044129-0.000915164j -0.0473862+0.00224702j -0.0417398-0.00452638j 0.014876-0.00995565j -0.00202106-0.00498725j -0.0347131-0.00107593j -0.0213268-0.000947559j -0.011026-0.00483324j 0.00324898-0.00393667j -0.0136086-0.00822052j 0.0341737-0.00664404j -0.00743877-0.000839034j -0.00490514+0.00162339j -0.0366629+0.00225425j -0.0110927-0.00112408j -0.0109918-0.00200893j -0.0115116-0.00190609j -0.000772841+0.000568089j 0.0112131+0.00111034j -0.00844149+0.00297468j 0.000800174-8.47058e-05j -0.0186553+0.00142477j 0.0134796+0.0016798j -0.0133507-0.00101808j 0.000515135-8.23718e-05j 0.0185226-0.00239388j -0.0121963-0.000444254j -0.00952469-0.000626357j -0.0169763+0.00518147j 0.065214+0.0083607j 0.00740654+0.00633156j 0.0579372-0.00238679j -0.00742299-0.00416711j 0.016149+6.32764e-05j 0.000602366+0.00755503j -0.0054671+0.00208292j 
0.0267174-0.00401694j -0.00937812-0.0025401j 0.0863718-0.00735676j -0.00733112-0.00190267j -0.0179075+0.00550732j 0.0454963+0.0015125j 0.0017808+0.00362924j -0.03237-0.00144339j -0.0403917-0.00115969j -0.0196708+0.0037053j 0.0173917+0.00681143j -0.0271671-0.00331106j -0.0430712-0.000447762j -0.0123114+0.00679279j 0.00104592+0.00233062j -0.000135691+0.00141662j -0.00209289+0.00250268j -0.0345069+8.06121e-05j 0.0362515-0.000167385j -0.0437549-0.00236869j 0.0540841+0.000897802j 0.00367886+0.00212865j -0.0467691-0.00641579j 0.0326263-0.00220148j 0.000794894+0.000913268j -0.00198874-0.00870249j 0.00923108+0.00322245j 0.0149399-0.00528178j 0.004058-0.000154924j 0.0364621+0.010918j 0.0129377-0.0035724j 0.00130461-0.00571598j 0.0188027+0.00351675j -0.0189703-0.000361304j 0.0147761+0.000532142j 0.00774669-0.00221511j 0.00517274-0.00141649j -0.0113566-0.00246429j -0.00391289-0.00175286j -0.00728902+0.000909728j 0.00038863+0.00132036j -0.00483196+0.00334482j -0.0222143-0.00327776j 0.0256577+0.00242691j 0.0159767-0.000998827j -0.0522858-0.00492746j -0.0203825+0.0015681j -0.0185332+0.00460483j -0.0960601-0.00888819j -0.0387189-0.0126466j -0.0756025-0.00348866j -0.0221254-0.000203082j 
0.00551186-0.00533934j 0.00276077+0.00133763j -0.0149042-0.00803014j -0.000762723-0.00480966j -0.00193027+0.0030401j -0.00558032+0.000633943j 0.0445351-0.00416511j 0.0312904-0.001722j 0.00659975+0.000541755j -8.59291e-05+0.000457626j 0.0219349+0.000768632j -0.0461708+0.00145795j -0.0416584-0.00494642j -0.0118772+0.0070931j -0.0534051+0.0027835j 0.0235515-0.00121594j -0.0154496-0.000194054j -0.0298867-0.00264524j 0.0125464-0.0017025j 0.0407582+0.00483706j -0.0107911+0.00377616j -0.00835393-0.00428465j -0.0085642+0.00186667j -0.0695954-3.8508e-05j -0.0237487+0.00697983j 0.0140378-0.00256229j 0.00686787-0.004107j -0.0062605-0.000475426j -0.00248715+0.00148451j -0.0289482+0.00145346j 0.0181648+0.000179903j -0.00728326-0.0011137j -0.0435343+0.00299316j 0.0085385-0.000966911j -0.0142486-0.000402911j 0.021686-0.00109176j -0.0110954-0.000358106j 0.0164255-0.000816679j -0.00148046+0.000869717j 0.0147918+0.00356446j -0.0038332+0.00109836j 0.0194403+0.00353642j 0.0174181+0.0011876j 0.00483642+0.00025601j 0.0820779-0.000539604j 0.121533+0.000870217j 0.0561734+0.00764805j 0.0121389-0.00566199j 0.0109498+0.00908058j 0.0201906+0.00322783j 0.0173872+0.00246305j -0.00337065+0.00660039j 
-0.00469158-0.00346311j 0.000919713-0.000428183j -0.0234689-0.00129312j -0.0394839-0.000661696j 0.0273149+0.00617117j 0.00212265+0.00108546j -0.0242606-0.0016297j 0.00382009-0.00294073j 0.0160503-0.000900432j -0.00661354-0.00461523j -0.03353-0.00438496j 0.00488637-6.11658e-05j -0.0511121-0.00292825j -0.0236602-0.000712547j 0.0102587+0.00453347j -0.0118502-0.00388294j 0.0119069+0.00166456j 0.00144382+0.00160149j 0.00478607-9.57306e-05j -0.0129046-0.000250271j -0.0142608+0.000320501j -0.0811471-0.000149338j 0.0434958+0.00123598j -0.00460469+0.00194122j 0.0155583-0.00149463j -0.0962169+0.00170292j 0.0405282+0.00637769j -0.0228975-0.000257958j -0.0121356-0.00246863j -0.0567078+0.000180094j 0.0233054+0.000412486j -0.0136451+0.000662033j -0.0233887+0.00466915j 0.00419502-0.00103699j -0.0256903+0.00101873j 0.00491732-0.0013324j -0.00333768+0.000468064j -0.0101013-0.00098705j 0.00724595-0.00145586j -0.000561307-0.00361414j -0.00536865+0.00121969j -0.0136985-0.00426825j -0.0505683-0.00485878j 0.0122694-0.00056948j -0.0889736-0.000685331j 0.0222739-9.54756e-05j -0.0531329+0.0121515j -0.0594939-0.00735123j -0.0323463-0.00652922j -0.108503-0.00985641j 0.0297547-0.000714184j -0.098413-0.003169j 
