-0.0164495+0.00046557j -0.00666906-0.0205595j -0.0140712-0.0247664j -0.02903-0.00896486j -0.0123611+0.0130919j 0.0219784+0.0140802j 0.000698052+0.0165559j 0.00320729+0.0133201j -0.0439606-0.00305688j -0.0161399-0.0141443j 0.0272747-0.00572803j 0.00633291-0.00385725j -0.00464263-0.0124128j 0.026363+0.00867543j -0.0214009+0.0140442j 0.00837365+0.00121417j 0.00926006-0.0334746j 0.0289632+0.00218474j 0.0625256-0.0165664j 0.00480221+0.00772858j -0.00063252-0.00318011j 0.0215459+0.000719668j -0.00137264+0.0154484j 0.00394575+0.0114141j 0.0115308-0.0082582j -0.00450011-0.0313671j -0.0224372+0.0266163j -0.0146907-0.0054562j -0.00103173+0.00257527j -0.0375319-0.0340407j 0.0149435+0.0195615j 0.00596484+0.00464361j -0.0329123+0.00679213j 0.0096842-0.00654965j 0.0336885+0.0026504j 0.0170366-0.0135566j -0.0147611+0.0212583j -0.00805548-0.0245188j -0.0243374-0.00791171j -0.0382965-0.00352173j -0.0219343+0.0597071j 0.0210102-0.0118621j -0.0280718+0.023292j -0.00336716+0.0184597j -0.0289871-0.00572863j -0.041811+0.0241153j 0.0341162-0.0233667j -0.033142-0.0177959j 0.0258624+0.00272166j -0.0221206-0.0569027j -0.0296227-0.0269212j 0.00171669+0.0120743j -0.000777265+0.0248851j -0.00962642+0.0183441j -0.0206444+0.0201896j 0.0338653-0.0308439j -0.0338801-0.00546477j -0.0529746+0.0243482j 0.0051286+0.00558859j 0.0321134+0.053678j -0.0155174+0.0103771j -0.024218-0.00714215j 0.0137615-0.0457867j 0.010608-0.00641397j 0.0297342+0.00624041j -0.00114746-0.00825119j 0.0302988+0.00164606j -0.00937661+0.028336j 0.00529211-0.0210424j 0.00851231-0.00974555j 0.0151211-0.00293837j 0.00230369-0.0267529j 0.0167451+0.00876748j -0.0438031-0.000188886j 0.0364954-0.0229474j -0.0210611-0.0306937j -0.00108066-0.0624543j -0.0133297-0.0231782j -0.0465412-0.00955794j -0.0352187-0.0248321j -0.0554965-0.0068537j -0.0195815-0.0184726j 0.0354887+0.0110576j -0.0438052+0.0408191j 0.0251292+0.0281353j 0.016912-0.00610769j -0.00885862+0.00349419j 0.0167737-0.0209091j -0.000829518+0.0157457j 0.0026534+0.0117571j 0.0199596+0.0145129j -0.0266923-0.0474624j 0.0677378-0.0190539j -0.00685304+0.0103635j -0.0288645-0.015891j 0.0374881-0.0832149j -0.0991323-0.0386951j 
-0.0024573-0.0189607j 0.0215626+0.00242908j 0.0243064-0.00734389j 0.00516977-0.0218804j -0.00936533-0.0177475j -0.0208069+0.0148591j -0.0241805+0.00248181j -0.014654+0.00184799j 0.00268668-0.0392368j 0.0176435-0.00430203j -0.00538705+0.0201297j -6.79451e-05+0.0106653j 0.0105381-0.00658262j -0.0106628+0.029676j -0.0123088-0.0239771j 0.000847242+0.00478997j 0.033696+0.0212377j -0.00559409+0.0194205j 0.0108293+0.0499573j -0.0158543+0.0105518j 0.000696098-0.00953983j 0.000864383+0.0144655j -0.0178741-0.00413238j -0.0162879-0.00680055j 0.00613811+0.00392004j 0.0331854+0.00219681j -0.0216194-0.0186848j 0.0112671-0.00743317j -0.0042187+0.0082341j 0.0388995-0.0258579j -0.0238255+0.00283049j -0.00303588+0.00211272j -0.00756671-0.0293188j 0.00550813+0.00818254j -0.00619834+0.0291246j 0.0155507+0.00968355j -0.0235558-0.0181878j 0.0283503-0.00538601j 0.00895407-0.0215113j 0.00924804-0.0329462j -0.0617856-0.0231963j 0.010994+0.0212749j -0.0252478-0.0258174j -0.025809-0.0134524j 0.0107614-0.0212915j -0.0177874-0.0348603j 0.0276858+0.0321027j 0.0196197-0.0426737j -0.00219222+0.0249282j 0.0621789-0.0296255j 0.0312001-0.0325138j -0.0117425+0.00111946j -0.0346283-0.00685312j -0.0184011-0.0112195j -0.0222621-0.0261698j 0.0328655+0.0365556j 0.00806114-0.0372486j -0.0236579-0.0533844j -0.0113088+0.00488942j -0.0643246+0.0331218j -0.00851194-0.0109878j 0.0129335-0.0157553j 0.0495177+0.00822337j 0.0098551+0.00630033j -0.0104707+0.0323874j 0.00342469+0.000171263j -0.00424206+0.0379001j -0.0315546-0.0050196j 0.0246676+0.0122239j 0.0106654+0.0011845j 0.00383973+0.0197634j 0.0271004+0.00549515j -0.00897572+0.0130804j 0.00346452-0.0421659j 0.0289609+0.037284j 0.0426624-0.00630252j 0.0667514+0.0150143j 0.0284021-0.00732496j 0.0106016-0.0397579j 0.0249745-0.0282131j -0.00582876-0.0534386j 0.0168533-0.00706176j -0.0281189+0.0356254j -0.0434704-0.0387364j -0.0335819+0.0208151j -0.00602755+0.00877375j -0.0059614+0.000107116j 0.0122372+0.00351202j -0.0119592-0.0169389j 0.0208406+0.00887091j 0.00324522-0.00757231j 0.0624447-0.0158809j 0.0285294+0.058249j -0.0185812+0.00700564j -0.0193133+0.00988456j 0.0910355+0.0384709j 0.0354336-0.0900198j 
0.0109946+0.00913999j -0.0146446+0.0203019j -0.0200717+0.0261704j -0.0136159+0.0102267j 0.0187257+0.0161898j 0.018835-0.0274857j 0.00481846-0.0194959j 0.0165113-0.0128914j -0.0230054+0.0207012j -0.0271648+0.0168216j 0.00913257-0.0314414j -0.00888586-0.0218792j -0.00335123+0.00858681j 0.000995084-0.0241791j -0.0168898-0.0026224j -0.00647549-0.00433971j -0.025227+0.0124094j 0.0178617-0.0268807j 0.0174212-0.0493876j -0.0160879-0.0357744j 0.015611-0.008352j 0.00594173-0.0231418j -0.00449647-0.00548778j 0.0397733-0.00601086j 0.000140203-0.0123547j -0.0244906+0.0260452j -0.0116836+0.0153835j -0.0200721+0.010171j -0.0252183-0.00121723j -0.00935419+0.0616654j 0.0248243-0.0332464j 0.0322363-0.00380824j -0.00403316+0.0337689j 0.000802647-0.00448619j 0.0163224-0.0499389j 0.008385-0.00991484j 0.0106027+0.00610085j -0.00371695+0.0145988j 0.0192464+0.0196285j 0.0105584+0.0395669j 0.0144974+0.00109858j -0.0253573-0.0254418j 0.0208825+0.0124159j 0.0473555-0.0309523j -0.0122866+0.0351083j -0.00673482+0.0646838j -0.0245829+0.0078295j 0.0402182+0.0147395j -0.000450078-0.00495104j 0.00827144+0.0157805j -0.00131728-0.00132425j 0.00820561+0.00526393j 0.0227786-0.0506447j 0.00940647+0.00708079j 0.0251528-0.0248812j -0.0380614-0.0145624j 0.0083603+0.0336191j 0.0247011+0.0380559j 0.00533934-0.0320736j -0.00399338-0.0551772j -0.00321718+0.0138245j -0.0129964+0.0214758j 0.013685+0.0127322j 0.0345155+0.00777209j -0.0167301-0.0343857j 0.00273004+0.0166383j -0.0517897-0.0219569j -0.00618529-0.0210802j -0.0338329+0.0142745j 0.0216224-0.0159679j -0.0208819-0.0153388j -0.0109383+0.0130818j 0.0204382-0.00409414j 0.00534693+0.0329631j 0.00152649+0.00521901j -0.0343913+0.0448358j -0.033329+0.0497006j -0.0274008+0.0370809j 0.0156251+0.0245039j 0.000579235+0.0381767j -0.0215354+0.0297481j 0.00468602+0.0186853j 0.0012168-0.0290019j 0.0151537-0.00818622j 0.00948025-0.023697j -0.0077108-0.0051658j 0.00699223+0.00393044j 0.0318577-0.0284768j -0.00697126-0.0162058j 0.0125026-0.0138928j -0.00636265+0.00374087j -0.023994+0.0463056j -0.0069644-0.0572045j 0.0114304-0.0256681j -0.115522-0.00421797j 0.0118352+0.0532601j -0.0147178+0.0355631j 
-0.00779073+0.0208227j -0.00585726-0.019282j 0.00144633-0.0203019j 0.00427329+0.00479417j -0.0152219+0.0207574j 0.00990556+0.0266161j 0.00871102+0.0141393j -0.00210993+0.00601954j -0.00502593+0.0135139j -0.00251611-0.0321198j 0.0136307+0.0118511j 0.0170551-0.00286588j -0.00560665+0.00318242j 0.0117508+0.00358862j -0.00603288+0.0174223j 0.00179945-0.011117j -0.00459474-0.0513253j 0.0117931+0.0142272j 0.0261909+0.00238944j 0.018259+0.0111281j 0.00471075+0.00578996j 0.0125229+0.000652885j 0.0068248+0.00487716j -0.0109224+0.0366198j -0.00360701+0.00229126j -0.0104499-0.0376702j -0.0120277+0.00696417j -0.00558739-0.016504j 0.0225146-0.0195505j -0.0437145-0.0205053j 0.0154049+0.030006j -0.0121181+0.0316075j -0.0264891+0.0169168j 0.00274591-0.0102915j 0.0268908+0.021062j 0.00454985-0.00664429j -0.00658656+0.0204839j -0.0116095-0.0182772j -0.0157466+0.00906742j -0.0359874+0.00710957j -0.00336271+0.033634j 0.0221372-0.0393875j -0.0100873+0.0457042j 0.00820478+0.0708148j -0.0215972-0.0028017j -0.0412442+0.00768755j -0.00518738-0.0400427j -0.0179509+0.01515j 0.0118401-0.00229844j -0.0234634-0.0130941j 0.00492687-0.0193439j 2.43687e-05+0.0160864j 0.0262422+0.0568976j -0.0127194+0.0270948j 0.0224052+0.0382892j 0.00954034-0.050707j -0.032467+0.00210147j -0.036625+0.0379605j 0.032933+0.0269489j 0.0443634+0.0336141j -0.00932624-0.00232618j -0.0124169-0.0137724j 0.00133333-0.0186184j -0.00513593+0.0135844j 0.030887-0.0107841j 0.00243829-0.00160475j 0.0371471-0.0307312j 0.0100186+0.0118583j -0.000397965-0.0432796j -0.0118918-0.00156108j 0.00370654-0.0261328j -0.0036912-0.0335786j 0.00532915+0.0133091j -0.024738+0.0243004j -0.00156048-0.0263827j -0.0188821-0.0321548j 0.0037693-0.0397735j -0.00369093-0.0249366j -0.022299+0.0423273j -0.0272855+0.00370038j -0.0159941+0.00964932j 0.00751321+0.0121942j 0.0273947-0.0205478j -0.0182766+0.0367245j 0.0150005+0.011374j 0.0143432-0.0163667j -0.0235548+0.00194803j -0.000566137+0.0131864j -0.0181986+0.0194953j 0.0249479-0.0137125j -0.0124077-0.016526j 0.000569924-0.0611931j 0.056082-0.0387126j 0.0610833+0.0198233j -0.0137552-0.0296603j 0.00153213-0.0281366j 0.0171782+0.036541j 
0.00304512-0.00114959j -0.0154233-0.0220587j -0.0157221-0.0339158j -0.00734278-0.0466458j 0.0092212+0.0124503j 0.0213694+0.010645j 0.0121067-0.013614j 0.00975199+0.0175722j -0.0155776-0.0505804j -0.0194184-0.0227638j 0.0157845+0.0321819j 0.00726006-0.017674j -0.000385805+0.00741613j 0.0176615+0.00123819j -0.0085002-0.0211012j -0.00693086+0.00111278j -0.0119205-0.00909864j 0.0313442+0.0377745j 0.0483224+0.0647212j 0.0121024-0.0185605j 0.0143661+0.0424393j 0.00622994+0.0274156j -0.0122825-0.012256j 0.0267359+0.0486093j 0.017351+0.0270383j -0.0149841-0.00514159j -0.0315745-0.0361386j -0.0145289-0.022891j -0.0199553-0.0396972j -0.0184804-0.0210556j 0.038604+0.03288j 0.0187751+0.0365203j -0.0265771-0.0272828j 0.00715349+0.0170001j 0.0449029+0.023688j 0.022147+0.03624j -0.00507962-0.00969906j 0.00876353-0.000445933j 0.0158353-0.015806j -0.0116944-0.0114801j -0.0265931-0.0397183j 0.00950619-0.000398617j -0.0143397-0.0244472j 0.0518354+0.0185105j -0.0334785-0.0155791j -0.0706117-0.0374957j -0.0116606+0.0370486j 0.0496598+0.0196778j -0.0114002+0.0124871j 0.0642733+0.0544357j 0.0456493-0.0271772j -0.014902-0.0150625j 0.0415905+0.00591731j -0.0176156-0.0122173j 0.0350653-0.0181053j 0.0031249+0.0227132j 0.00193361+0.00141268j -0.0184662-0.0375619j 0.0173994-0.00295594j -0.0190506-0.0190758j -0.0177859-0.0227148j -0.000276136-0.0381277j 0.0295742+0.0428082j 0.0152138+0.0357431j 0.00956509+0.000188667j -0.0130883-0.0105175j -0.0456632-0.00855425j 0.00489943-0.0281409j -0.0130322-0.0160519j 0.0503055+0.0692448j 0.005887+0.00353805j 0.00518051-0.00223199j -0.00999106+0.00345209j -0.0133561-0.0175133j 0.00272614+0.0435762j -0.0400033-0.0393188j -0.0144113+0.0034667j -0.0275794-0.0313955j 0.0131766-0.00705114j 0.00930059-0.0221816j -0.0153894-0.0277866j -0.00670777-0.00797431j -0.00196862-0.00464369j 0.0103384-0.0330458j 0.00417508+0.0369706j -0.00366313+0.018567j -0.0157023+0.0124921j 0.0576744+0.0571455j 0.00316642+0.0012639j -0.00246062+0.00284156j -0.0191809-0.00761295j 0.0112801+0.0238456j -0.0136578+0.0641497j 0.0170925-0.0458563j -0.0205644-0.0944097j -0.0305369-0.00141946j -0.00584776-0.0498227j 
-0.0108157-0.000143249j 0.0059743+0.000279369j 0.0185867-0.00417039j 0.019536-0.00608149j -0.02003+0.0150245j 0.00265201+0.0122576j 0.0100633+0.00112842j -0.00768585+0.00626278j 0.0176976-0.0238454j 0.0113584-0.00922824j -0.0106123-0.00127763j 0.0105142+0.00200097j -0.0104037-0.00290849j 0.002003+0.0065915j 0.0145163-0.0275168j 0.000338976-0.00937882j 9.25144e-05+0.00637918j -0.0263771+0.0344259j -0.0266736+0.0282924j 0.0170942-0.0109703j -0.026323+0.00843446j 0.000756711+0.00411575j 0.00953795-0.0240841j -0.0366636+0.0274968j -0.0201088+0.0047225j -0.0127862-0.00523638j 0.0175043-0.0383621j 0.0177636-0.0216981j 0.0330488-0.0264651j -0.0155563+0.0145762j -0.00672153+0.0239469j -0.0256247+0.0332954j -0.00129334-0.0243003j -0.0156652+0.0144123j 0.0113509+0.0256636j -0.020417+0.0148775j 0.00954194-0.00886755j 0.0032552+0.0191867j 0.0107972+0.038616j -0.00652815+0.014293j 0.029891-0.0294219j 0.0204037-0.012761j 0.0205952-0.0074251j -0.000364027+0.0467541j -0.00817324-0.0222603j -0.012599-0.0446317j -0.0370506-0.0205547j -0.0107384+0.0784655j -0.00690361-0.0177871j -0.050521+0.0765496j 0.0305094+0.0530841j 0.00864065-0.0131129j 0.0124145+0.00374697j 0.0029085-0.0199789j 0.0348135+0.0393207j -0.017194-0.0191131j -0.0177894+0.0156843j 0.00821934+0.00258141j 0.0164168+0.0060601j 0.0401984-0.0510091j 0.0103956-0.0060847j 0.0244494+0.0194448j -0.030484+0.0470632j -0.016077+0.041816j 0.0075826-0.014702j 0.00433044+0.0107482j 0.00427129-0.0745011j 0.0332557-0.0108104j 0.00404121-0.00990872j -0.0473551+0.036828j 0.0129761-0.00418928j 0.00340412+0.0244386j -0.00167254+0.000810226j 0.00122062-0.00308907j -0.039665+0.0196932j 0.0029869-0.00993986j -0.0224842+0.0166303j 0.00446438-0.0177546j -0.0124618+0.0216984j -0.0118733+0.0177762j -0.0123967-0.0135397j 0.021696-0.00547565j 0.0430791-0.011129j 0.034762-0.0389819j 0.00212876-0.0086987j -0.0184433-0.0113712j -0.0238529-0.0125995j -0.0356805+0.0783698j 0.0279569+0.00360481j -0.00165667+0.00584318j 0.0143933-0.0307429j -0.0589055+0.0445345j -0.010046-0.0267387j 0.00754018+0.0296002j 0.04502-0.063508j 0.000848331+0.031024j 0.00223671-0.0146157j 
-0.0186713-0.0147443j 0.0182216+0.00853333j 0.0173843+0.0241179j -0.00884579+0.0187756j -0.0161426-0.0154936j -0.0326038-0.00681894j -0.016381-0.0049296j -0.00698204-0.00264379j -0.0179174-0.000466189j 0.0392217+0.0207518j -0.0324354-0.0245207j -0.00601329+0.012405j -0.00916362-0.0101867j -0.00233689-0.00161391j -0.0259039-0.0159935j 0.0210504+0.00135304j 0.0549824+0.0177739j -0.0192842-0.0029863j -0.0161062-0.00707152j -0.0183992-0.00259748j -0.0321361-0.0176179j -0.0019734-0.00099029j -0.00253604-0.00874645j -0.0418709-0.0327019j -0.0192437-0.0227237j 0.0433833-0.00245718j -0.00317923-0.0152107j 0.0298508-0.000592172j 0.0179175+0.0383871j 0.0427525-0.0145993j -0.048032+0.01554j -0.030427-0.0328506j -0.0111678-0.0294313j -0.00654258+0.0115017j -0.0222591+0.00480324j 0.00926721-0.00254335j -0.0173644+0.000670907j 0.0375887+0.0107705j 0.0173271+0.0186334j 0.0202244-0.00869606j -0.0118786+0.00448137j 0.0559132+0.0193734j -0.0303934-0.0238369j -0.0934558-0.00280943j -0.00115403-0.0273547j -0.00101425-0.0240152j 0.0132182-0.0191656j 0.015416+0.0119259j -0.00414531-0.00176834j -0.00939185-0.0117261j 0.0495746+0.0476117j -0.00333435+0.00495659j -0.0883337+0.00752492j -0.0140518-0.0163863j -0.0327774+0.0310565j 0.0263169-0.00445835j 0.00616479-0.0216503j 0.00429325-0.0219764j -0.0433788+0.032259j -0.0687572+0.00897569j 0.0128693-0.00498702j 0.0186582+0.0140324j 0.0213368+0.0310849j 0.0144508+0.011512j -0.0199124+0.0241936j 0.00440171+0.00913637j -0.0135836+0.000924748j -0.0159426+0.00663562j 0.0412518+0.0129814j -0.024387-0.0186575j 0.0153837-0.00686446j 0.0282531+0.0125526j 0.00806741+0.00578022j -0.0031945-0.0108594j 0.0181445-0.0190247j 0.0471233+0.00381748j 0.0408331+0.0213563j 0.0297726+0.000532806j -0.0204038+0.016968j 0.00955139+0.008449j -0.0211051+0.0181494j 0.0121082+0.0115042j 0.00156114+0.0151543j -0.0282818-0.00160944j -0.0324302-0.0366973j 0.0119129+0.00190537j -0.026852-0.0340485j -0.0099344+0.00612636j -0.0499574+0.0112314j -0.0346902-0.0125055j 0.020057-0.00726377j 0.0596277+0.0170072j 0.0199991+0.00501248j 0.032959+0.0449273j 0.0039091-0.00134232j 0.0439223+0.0262577j -0.0480841+0.0134904j 
-0.0136961-0.0178306j -0.0108051+0.0144356j -0.0256561+0.0193156j -0.0328107-0.00494001j -0.0216178-0.0175895j 0.00544772-0.00506672j -0.020015-0.00996757j 0.00371027-0.00563502j -0.0136304-0.0226719j -0.00723307+0.0229386j 0.038311-0.0174303j -0.00618983-0.007535j 0.0292318-0.0180787j -0.019595+0.00608292j 0.0320271-0.026336j 0.0214922+0.0234101j 0.000174158+0.0274624j 0.0138838-0.0186305j 0.020683-0.00311888j -0.0086431-0.0182295j 0.044978-0.020146j 0.0308826+0.0160449j 0.00801311+0.0143472j 0.0039285-0.0372057j 0.059691-0.0369388j -0.00589501+0.00817363j 0.00615443-0.00374306j -0.00590928+0.0170794j -0.0074838+0.0320859j -0.0540852-0.00702081j 0.0232916-0.015478j -0.0164592-0.00604993j -0.00715976-0.0396383j 0.0193435-0.023758j -0.0272454+0.0231889j 0.012058+0.0311214j 0.0159567-0.00719227j 0.000825508+0.0264622j -0.0632109+0.0113487j -0.00973194+0.00536402j 0.0352565-0.0121186j 0.0807104+0.0482725j -0.0345881+0.0340027j -0.0220747-0.0330138j -0.0201993+0.00511372j -0.00784267-0.0438221j 0.0630481-0.0253416j -0.0594603+0.0301698j 0.0153289+0.00780083j -0.0107896-0.0364187j -0.0420275+0.0515175j -0.0069202+0.00626994j 0.0093486-0.0324647j -0.00286947-0.0135827j -0.0194988+0.0341127j 0.0377273-0.00417391j -0.0113504-0.014791j -0.0552074-0.0098669j -0.00587646-0.00600478j 0.0459221-0.0147859j -0.0119643-0.000645623j -0.021884+0.0128057j 0.016376+0.0120742j -0.0131569+0.0199045j 0.0265313+0.00716879j -0.00847283+0.000295409j 0.0856223+0.00684209j -0.0255473-0.00114957j 0.0140569+0.00102676j 0.060794-0.0205678j 0.0345984+0.00738243j -0.00396192+0.025546j -0.00743183+0.0177661j -0.0398047-0.00603289j 0.0330734+0.00848914j -0.0111544+0.00729113j -0.0323204+0.0142503j -0.0165962-0.00105746j -0.0447604-0.0104879j -0.0533119-0.0151695j 0.00450079-0.0293489j -0.0359284+0.023432j 0.00878995+0.0161166j 0.0115366-0.0429965j 0.0476098-0.0210272j 0.0322253-0.00612645j 0.0105258-0.0499435j -0.0255814+0.018978j -0.00900818+0.0111679j 0.0759682-0.00439712j 0.0101974+0.0240607j -0.0322411+0.0119818j 0.0672533+0.0207124j -0.0138351+0.0199552j -0.0038288-0.0111732j -0.0593084+0.0373731j -0.0396988-0.0333157j 
0.000814748+0.00312331j -0.0137906+0.00202276j -0.0318944+0.000207764j -0.0221101-0.010018j -0.00578046+0.00191539j 0.00220144-0.0143688j 0.0359088-0.000787437j 0.0194486+0.000912228j -0.0496722-0.0163239j -0.012986-0.000410571j 0.0335025+0.00367166j 0.0148581+0.00326598j -0.0485999-0.000306249j 0.0457616+0.00280561j -0.0318701-0.00883148j -0.00147164-0.0142792j -0.00251859+0.0189497j 0.0146014+0.0116458j 0.0753768+0.00310026j 0.0383601-0.00796634j -0.00129923+0.00840158j 0.0345171-0.00299099j 0.0159283-0.0192443j 0.0166719+0.00152866j -0.0259887+0.0117547j 0.00758101+0.000861702j -0.0139694-0.00831364j 0.0269125-0.00781516j -0.0198571-0.0061976j -0.010737+0.0116047j -0.0166976-0.0221276j 0.0266926-0.0217784j -0.0355586+0.0278645j -0.0189791+0.0201775j 0.0761925-0.021364j 0.0339265-0.0352326j -0.0493546-0.00748864j -0.0191167+0.00481688j -0.0128328+0.0213988j -0.0605176-0.00271686j -0.0808098+0.0155548j -0.0155032-0.000430987j -0.0271815-0.05884j -0.0288068-0.00865885j 0.00130063-0.0324238j -0.0582745+0.015864j 0.019896+0.00747894j -0.0209007-0.0235946j 0.0228315-0.00371758j 0.013841-0.00542241j -0.0224416-0.0114709j -0.0140414+0.000898278j -0.0118432-0.0121017j -0.0205062+0.00790477j -0.0566849-0.0352397j 0.0785796+0.00203306j -0.0282468-0.00561711j -0.0557907+0.00661308j -0.00744354+0.0104715j -0.0230667+0.0012467j -0.0177905+0.0106335j -0.0496234-0.00759694j -0.0254906+0.0156979j -0.020522+0.0101331j 0.0107696-0.0076031j -0.0371316+0.0279974j 0.0127275+0.00441258j 0.011256-0.0160521j 0.000613008+0.0165893j 0.010984-0.0214401j 0.0309949-0.0114321j 0.00738985-0.00497129j -0.0143185+0.00479114j -0.0188823-0.015154j 0.0183873+0.0244268j -0.0147097+0.0180992j -0.0181104+0.0350575j -0.0132374+0.0125399j -0.0357855-0.0130283j -0.0358893+0.0191673j -0.0421127-0.00971664j -0.00967163-0.00519465j 0.0375245+0.00972817j -0.0730887-0.0207203j 0.0285578-0.0202175j 0.00396912-0.00301281j 0.0156707-0.00590078j -0.0183524-0.00559895j -0.0142005-0.0511341j -0.0581866-0.00251721j -0.0307193-0.0207206j -0.0198957+0.00381775j 0.056053+0.0208943j -0.0134612-0.00117534j 0.0107083+0.00827625j -0.0316777+0.0315584j -0.0577739-0.0146418j 
0.00892089-0.0163958j -0.017975-0.00136958j -0.0236376-0.00311015j 0.00650897+0.000865028j 0.0014921-0.0248586j 0.0224564-0.0127968j 0.0283928+0.0256773j 0.00246199+0.017003j 0.0120319-0.0235842j -0.0210357+0.0168537j 0.0166146-0.0144637j -0.00926225+0.011286j -0.0102702-0.0346145j 0.0136588+0.0108208j 0.0107631-0.000784651j 0.00317519+0.00124878j -0.0402385+0.0204494j -0.0124753-0.0193552j 0.0121919-0.0108177j 0.0244238+0.0107374j -0.0322357-0.0368016j 0.0165976+0.00920831j 0.038513-0.00847698j 0.0162551-0.0382962j -0.0140389-0.0235791j -0.000504546-0.0058952j 0.0256065+0.00873027j 0.013828+0.0352787j -0.00950108+0.0243575j -0.00935431+0.006388j -0.00416356-0.0102763j 0.0385747-0.0466138j 0.00528422-0.00262203j -0.0432718-0.00434755j 0.0499231+0.0135944j 0.0107-0.0243774j 0.00110303-0.00361872j -0.0235503+0.0121087j -0.0139607+0.0344302j -0.0244161-0.00904501j 0.00122864+0.022003j 0.000194545+0.00828912j 0.0802947-0.0395722j 0.0191888-0.0528062j 0.0244762-0.037055j -0.0243788-0.00766925j -0.0369444-0.0312244j -0.0166649-0.0109318j 0.0206669-0.0102046j -0.0600287-0.0680008j -0.0253397+0.0347342j 0.0236422-0.00162504j 0.0335259-0.0325687j 0.0206912+0.00769926j 0.0135859-0.00893225j -0.00584288+0.00976935j -0.0280367-0.0248131j 0.000356359+0.0124222j 0.0159624+0.0121848j 0.0351051+0.0122622j -0.0134082+0.0185306j -0.0401803-0.00269889j -0.0502395-0.0267356j -0.0165105-0.00498472j -0.00256753+0.0134218j -0.0307769-0.000515858j 0.0208399-0.00386398j 0.00752002+0.0201802j -0.0370973+0.0149169j -0.0298508-0.0495072j -0.00189343+0.004567j -0.0272514+0.00271411j 0.0113553+0.0115124j 0.0288692-0.0278604j -0.0448759-0.0227713j -0.024696-0.00757328j -0.0440995-0.0268528j -0.0142-0.00776836j 0.0104081-0.0264224j -0.0511103-0.020938j -0.00951683-0.025376j 0.0187757-0.0150702j -0.0154464+0.0575454j 0.0176311+0.0103564j 0.00722775+0.0126024j -0.0116462-0.00548302j 0.00939214-0.018026j 0.00271335-0.0334443j -0.0129303-0.00724492j -0.0321363-0.0213527j 0.0286157+0.000498514j -0.0554491-0.00724044j -0.0285236-0.0062492j 0.0270726+0.0311206j -0.019437+0.0146417j -0.0436347-0.021581j 0.0371726-0.030339j 
0.0145441-0.00670565j -0.00170552+0.00787758j -0.0234759+0.00467268j -0.00859776-0.0163101j 0.0234333-0.0083391j -0.00229893-0.00397649j 0.00950143-0.0366621j 0.00744957-0.0164145j 0.00591722+0.0116378j -0.0198552+0.0137758j 0.0217433+0.00776681j 0.00163509-0.0194639j 0.00386114+0.0471171j 0.00499941-0.0362814j 0.019898+0.025552j -0.00890658+0.0123744j -0.00277087+0.0222032j 0.0175578+0.00365504j 0.00193499-0.0176195j 0.00555732-0.027804j 0.0314884+0.0347418j -0.017695+0.00718558j -0.0102606-0.00335726j 0.0360366-0.0121991j 0.0280564+0.0494182j -0.00255814+0.014826j 0.0145084-0.0105002j -0.016465-0.0221665j -0.0414793+0.0120705j 0.015557-0.0074523j -0.0271838+0.0183784j 0.00428044-0.0183246j 0.0537941+0.00726033j 0.00719649+0.0123067j -0.0217388-0.0452671j -0.032899+0.00163698j 0.010312+0.0364614j -0.0137546+0.0347244j -0.0124893-0.0125104j -0.014517+0.0302042j 0.0271324+0.0498243j -0.0211486+0.0949185j -0.0217106+0.00133414j 0.0232253-0.000600041j -0.0145949-0.0167225j 0.0429144-0.0132096j 0.0371225+0.0172495j -0.0361101+0.0185678j -0.00785439-0.0232688j 0.0268968+0.0233152j -0.0615241+0.0245537j 0.00432083-0.00806708j 0.0158583+0.0138565j 0.0316055+0.00191217j -0.0539845+0.0371623j 0.0045981-0.0317373j 0.0132909+0.00856896j 0.0201486-0.0030997j -0.00885396+0.00425908j 0.0220792+0.0102911j 0.00366191+0.00278283j -0.0103536+0.0298617j -0.0248107+0.0389452j -0.0123644+0.0207163j 0.000512187-0.0037219j -0.00406804+0.0189676j 0.00532015+0.026348j 0.00608205-0.00963931j -0.00476793-0.00666546j 0.00372237+0.0311729j -0.000597794-0.0016301j -0.0205975-0.000580237j -0.00433651-0.00821437j -0.00434216-0.00473774j 0.0155566+0.00952852j 0.00168426-0.00389675j -0.00751086+0.00584131j -0.00198988-0.00781158j -0.00616374+0.0144911j -0.00683185-0.0231193j 0.0030318+0.0443608j -0.0109739-0.0145132j 0.011254-0.0325229j 0.00369318+0.0636431j 0.0337231-0.0226248j 0.0174263+0.000398171j 0.0472367+0.0153392j -0.0418435+0.0298606j -0.01757+0.0193571j -0.00657732+0.0333462j 0.0138776+0.034749j -0.00873643+0.0266029j -0.00960436+0.0283369j -0.0213076-0.00666227j -0.0014882-0.00692735j -0.00929219+0.0122877j 0.00941823+0.00498215j 
