0.0064822-0.00113811j -0.00113127-0.00616206j 0.00259429+0.00371983j 0.00526061-0.00213861j -0.00143937-0.00250762j 0.000880756+0.00367755j -0.00498035+0.00134478j -0.00124172-0.000848694j 0.00110713-8.89487e-05j -0.00142355+0.0029881j -0.00304439-0.00352425j -0.00325248-0.00453662j 0.0053629-0.00372993j 0.000637724+0.00185589j 0.00154538+0.00274334j 0.000914268-0.00205432j -0.000299216+0.00137083j -0.00238348+0.000580604j 0.0049837+0.0046877j -0.000525711-0.00248639j -0.00122938-0.000648597j -0.00224157-0.00174912j -0.0013454-0.00266932j -0.00118567-0.000732045j 0.00249467-0.000975753j 0.00387677+0.000808263j 0.0043778+0.000814052j 0.00200559+0.00156995j -0.00129476+0.000208526j 0.00373328-0.000175919j -0.00306831-0.0016151j 0.00096829+0.00154499j 0.000414826+0.000693518j 8.81866e-05+0.00435827j -0.00180129-0.00233215j -0.00462765+0.00187134j 0.00123448-0.00111935j -0.000614153+0.000430389j -0.00208297+0.000545321j 0.00444106-0.00510361j 0.00213173-0.00150197j -0.00240176+0.00299734j 0.00137114+0.001093j 0.000292069-0.000542307j -0.00279602-0.00113353j 0.0010404+0.00141614j 0.00294959+7.09073e-05j 0.00196447+0.000137229j 0.000123623-0.000702653j -6.72277e-06+0.000115494j 0.000539375+0.00197235j -0.00184055-0.0017345j 0.000662557-0.00246207j 0.000665135-0.00212891j -0.000336551-0.000627206j 0.000954098+0.00202407j -0.00115049-0.00206758j -0.00254055+0.00195825j 0.000987031-0.00942919j 0.0127167+0.00374249j -0.00482165+0.0079693j -0.00161537+0.00311545j -0.00135229-0.00500782j -0.00360999-0.00437486j 0.000633245+0.000684858j -0.00143518+0.00139601j -0.00498887-0.00207417j -0.000387919-0.00824049j 0.00658447-0.00101736j -0.00203958-0.00072051j -0.00818676-0.0231374j -0.0227771+0.00582271j 
-0.00558602+0.00335837j 0.00322294+0.00602436j -0.00376027-0.00305922j -0.00360022+0.004246j 0.00308151+0.00361709j 0.000380083-0.00230773j 0.00121096-0.00116606j 0.00297608-0.00124667j -0.00319761-0.000529609j 0.00138853-0.00388805j 0.000963164+0.00546377j 0.00497658+0.00313929j -0.0044834+0.00422395j -0.00123608-0.000692764j -0.00191692-0.00367803j -0.000351215+0.00120304j -0.00108345-0.00186048j 0.00201845+0.00017982j -0.00516861-0.00467708j 0.00112772+0.00137306j 0.00200466-0.00127731j 0.00149802+0.00193428j 0.00187086+0.00335389j 0.00191068-0.00147332j -0.00205293+0.00108386j -0.00480224-0.000866533j -0.00303617-8.11331e-05j -0.00137929+0.000452569j 0.00184511+0.000289438j -0.00386701+0.00160609j 0.00345355+0.000585644j -0.000145812-0.0013733j -0.000836838-0.000726573j -0.00108732-0.00493146j 0.00278535+0.00187579j 0.00488472-0.00196644j -0.00135018+0.000341511j -0.000174403-0.00147371j 0.00326329-0.00072297j -0.00147609+0.00477573j -0.00262599+0.00175576j 0.00154054-0.00288452j -0.000975108-0.00141001j 0.00179451-0.000970487j 0.00146764+0.000579672j -0.000805837-0.00140928j -0.00398838+0.000667037j -0.00380443+0.000355184j 0.000866467+0.00124906j -0.00125491+6.10236e-05j -0.0025706-0.00372384j 0.00503321+0.00165033j 0.000413039+0.00345742j -0.00134885+0.00146826j 0.00153759+0.00215555j -0.00113926+8.05973e-05j 0.000866695+0.00337743j 0.00126112-0.0039833j -0.000329783+0.011716j -0.0134891-0.00372733j 0.00487066-0.00786318j 0.00434617-0.00282832j 0.00129701+0.00424726j 0.00266768+0.00505241j -4.92395e-05-0.00144272j 0.00488418-0.00166199j 0.00461762+0.00520795j -0.000903257+0.00702203j -0.00413795+0.00438855j 0.00626495-0.000906231j 0.00430401+0.0227757j 0.0226218-0.00381274j 
-0.00413944-0.000299291j -0.000961009+0.00398795j 0.000767472+0.000288269j 0.00229366+0.000471922j 0.00391642-0.00189732j -0.00297552-0.00273312j -0.00205476-8.4473e-05j -0.000492751-0.00238887j -0.0011561+0.000447406j 0.00140403+0.00164592j -0.00474+0.00614561j 0.000955195+0.0051443j -0.00618568+0.00428482j -0.00581238-0.00201046j 0.00290436-0.00304822j 8.45653e-05-0.00241588j 0.00140493-1.99522e-05j -0.00344244+0.000345613j -0.000403461-0.0044212j -0.00430853+0.00214185j -0.00179154+0.00117647j -0.000484567+0.00150521j 0.000500816+0.00108556j 0.000710976-0.000750804j -0.00314421-0.000277288j -0.000109498-0.00243428j 0.000471679-0.00188219j 0.00193517-0.00215932j -0.00144964+0.00194572j -6.15003e-05+0.000253j 0.000560306+0.00179555j -0.0033304-0.000856756j 0.00172933-0.000660409j -0.000600653-0.00346835j -0.0017627+0.00108271j 0.0017629-0.00237033j 0.00107254+0.000145753j 1.85276e-08-0.00230176j 0.00112218-0.00146252j -0.000508835+0.00126584j 0.0016511+0.00231908j 0.00416561-0.00382118j 0.000209249-0.00241972j -0.00239622-4.89316e-05j 0.00510569+0.000110351j -0.00273259-0.00234095j 0.0022843-0.00134663j -0.00272107-0.00103423j 0.000158486+0.00392448j -0.004691+0.000473756j -0.000840422+0.000342092j 0.0011004-0.00114928j -0.00502408+0.00337894j -0.0052163+0.00185691j -0.00299596-0.00191105j 0.00564459-0.000976729j 0.00126493+0.00484169j -0.000857386-0.0060222j -0.00161234+0.00323073j 0.00185749-0.00468582j 0.00493176-0.00120846j 0.00742814-0.00329138j -0.00388072+0.00114184j 0.00507448+0.00284087j 0.00510258-0.00619715j 0.00155242-0.00482178j 0.00434411+0.00310536j 0.00141685+0.0052319j 0.0154951+0.0046428j 0.00808815-0.0115067j -0.00521273+0.00781709j 0.00395002+0.00417857j 
7.83143e-05-0.00193187j -0.00276366+0.000228295j -0.000513183+0.00129375j 0.00309371+0.00256535j 0.00385394+0.00104309j 0.00091605-0.000732105j -0.00387895-0.00180289j 0.00276078-0.0024846j -0.00225816-0.00236458j 0.000722102+0.000558134j -0.00580415-0.000653287j 0.00140637+0.000892319j -0.00324804+0.0011985j -0.000892325-0.000457394j 0.000966495+0.00105558j -4.78198e-05-0.000495222j -0.000915212+0.00258482j 0.00112887-0.00237298j 0.000289244+0.00065939j -0.00305276-0.00337088j -0.000588881-0.00260824j 0.00119051+0.00113411j 0.000887408+0.00355586j 0.00259278+0.000684688j -0.000554898+0.00180266j -0.00153373-0.000318122j -0.00074176+0.001839j -0.00301746+0.00125699j 0.00201809-0.001108j -0.00211308+0.00289704j 0.000176889-0.00189872j -0.00117183-0.00345915j -0.0017188-0.000968773j 0.000866555-0.00255028j 0.00184062-0.000434919j 0.00261633-0.00462958j 0.0004278+0.00407451j 0.00172274+0.000428213j 0.00158701-0.00173778j -0.001261+0.0040366j -0.00250051+0.00424825j 0.00167512+0.00167916j -0.00127642-0.00115385j -0.000174962-0.00113165j 0.000917159+0.00474199j 0.000883092-0.00252241j -0.00214488+0.00180184j 0.00051766-0.00158963j -0.000450435+0.00148066j 0.00158007-0.00633816j -0.0028786+0.00167556j 0.00487064-0.000558489j -0.00278304-0.00720311j -0.00196408-0.00282991j 0.000159223-0.00213298j -0.000798431+0.00315695j 0.000306797+0.00282589j 0.0069489-0.00953588j 0.000931916+0.00787121j -0.0122436+0.0047662j 0.00619881-0.00532521j 9.63663e-05-0.000777377j 0.00825125-0.00165381j 0.0027224-0.00179383j 0.00679032+0.00482629j -0.00134477+0.00182763j -0.000985655-0.00336938j -7.18638e-06+0.00120221j -0.00410164+0.02079j 0.017769+0.00570329j 0.000384494+0.000877369j 0.00315382-0.00407063j 
0.00279229-0.003452j -0.00329924-0.00231707j -0.000664642+0.000678803j -0.00234654+0.000715928j -0.000581167+0.00226311j 0.00173442-0.00230486j 0.00424038-0.00262107j 0.000500841+0.00110312j 0.00152238+0.000762013j -0.00550952+0.00181031j -0.000113686-0.00846157j -0.00640718-0.00212211j -0.000371664-0.0079531j 0.00532509-0.0058369j -0.00170044+0.00684982j 0.00131896+0.00194713j -0.000515892+0.000711021j 0.00152044-0.0037971j 0.00200665-0.000308943j -0.000405567-0.00375083j -0.000943753-0.000999126j 0.000232972-0.00169664j -0.002419-0.0014109j -9.36595e-05+0.00206951j 0.00308711-0.00243083j 0.00226254+0.000644447j -0.000740009+0.00255443j -6.1994e-05+0.00183702j -0.00160207-0.00196682j 0.000102535-0.00149277j -0.00120735-9.00033e-05j 0.00260389-0.00367887j -0.000914074+0.00232362j 0.00514993+0.000941035j -0.00035825-0.00177989j 0.00257435+0.00224886j -0.0012247+0.000977987j 0.000780957+0.00215757j -0.000178601+0.00239585j -0.00110482-0.000822634j -0.00119918+3.17204e-05j 0.0010263+0.0050132j -0.000395176+0.00116143j 0.000596045-0.00148922j -0.00339672+0.0061472j 0.00491067-0.000603259j 0.000502351+0.00294111j 0.000852611-0.00184198j 0.00173709-0.000469518j 0.000781548-0.00152679j -0.00240958-0.000424075j 0.00186008+0.00502422j 0.000858411-0.00726148j 0.00613118-0.00477103j 0.00478826-0.00450937j -0.00197105+0.00189508j -0.00152123-0.000567757j 0.00497022+0.00392336j 0.00139943-0.0030253j 0.0043626+0.00319571j -0.00515221+0.000473794j -0.0028075+0.00698132j -0.00478631-0.00704954j -0.00122001+0.00247941j 0.00264865+0.00309945j 0.00302377+0.00635212j -0.000513349+0.00267408j -0.00127599+0.00514442j -0.0150317+0.00547914j -0.000530241+0.0127878j -4.49984e-05-0.00861605j -0.00271884+9.13738e-05j 
-0.001809+0.00401883j 0.00337963+0.00128831j 0.000323236-0.00203118j -0.00236218-0.00173957j -0.00293473+0.000209591j -0.000370942-0.00125977j 0.00353711+0.00203404j -0.00261185+0.00309293j 0.000582338+0.00335991j 0.000395776-0.00566156j 0.00375873-5.86781e-05j 0.000572769+0.00144718j 0.00346993+0.000582578j 0.000376415+0.00186958j 0.00214198-0.00347738j 0.00208837+1.86311e-05j 0.00285145-0.000851838j -0.00241922+0.00169036j 0.0015695+0.000448592j 0.00106011+0.00287007j 0.00173173+0.00260487j -0.00259958-0.00140268j 0.00111005-0.00403229j -1.43975e-05+0.000757648j 0.000370756-0.000371998j 0.0015511+0.000902456j 0.00104389-0.00671423j 0.000936336-0.0038662j -0.00365605+0.000267238j 0.000528726-0.00236662j 0.00011792+0.0029573j 3.44721e-06+0.00443028j 0.000714503-0.000938282j -0.00196035+0.00338773j -0.00296977+0.000383402j -0.0030314+0.00259424j 0.000712722-0.00358756j -0.00106344-0.0017267j -0.00213051+0.000696483j -0.000304539-0.00122011j 0.00242294-0.00111782j -0.00198262-0.0030678j 0.0028379-0.00268906j -0.00106503+0.00307946j 0.00200631-0.006403j -0.00107633+0.00227082j 0.000219736-0.00270609j -0.000615906-0.00354893j -0.00295337+0.0017505j -0.00129887+0.00258384j 0.00681607-0.00320823j -0.0104535-0.00127365j -0.00150985+0.00749134j -0.00385558+0.00836201j -0.00167296+0.00422091j -0.000930656-0.00205186j -0.00364372-0.00344284j -0.00594842+0.0068282j -0.00170561-0.00904748j 0.0125752+0.00348848j -0.00466116+0.00903468j 0.00113985+0.00454142j -0.00391338+0.00191768j -0.00707059+0.0044923j -0.00508576+0.000864971j 0.000286092-0.0018307j -0.00415358+0.00144979j -0.00498293-0.00568697j 0.0094096-0.0140178j -0.00965843-0.00666143j -0.00161164+0.000806741j -0.0032134+0.00187281j 
0.00228644-0.0014677j -0.00082402-0.00172784j -0.000370421-0.00334628j -0.00168082-0.00389714j -0.00324831+0.00162635j 0.0022982+0.00589707j -0.00202261+0.00385766j -0.000118309-0.000719945j -0.00178185-0.000658057j -0.002661-0.00167511j 0.00114267+0.00169146j 0.00159125-0.00256789j 0.00232731-0.00232982j 0.000517579+0.0059082j -0.00595207-0.000774512j -0.000875697+0.000596807j -0.00246998-0.00304901j 0.000993019+0.0055255j -0.00152553-0.000438694j 0.00357237-0.000521838j 0.00271683-0.00393952j -0.000948073+0.00162333j -0.00411252+0.00334474j 0.000475783-0.000167094j 0.00203427+0.0011781j 0.000112135-0.00178939j -0.00186467+0.000229767j -0.000127258-0.00121564j 1.32846e-05+0.00137239j 0.000343848+0.0013089j 0.00199782-0.0013428j 0.00409454+0.000481907j 6.5462e-05-0.00138192j 0.000508117-0.000535513j 0.00123197+0.00236758j -0.000865265-0.00194274j 0.00121233+0.00183802j -0.000110204+0.00044431j 0.00128713+0.00169418j 0.00227838+0.000303259j -0.000251507-0.00306926j -0.00185943-0.00244656j -0.000203751+0.000611016j 0.00426301+0.00200559j -0.00207254+0.000451958j 0.00399094+0.00520493j 0.00605839+0.000379045j 0.00572746+0.00360016j 0.00213411-0.00111297j 0.000791907+0.00315236j 0.00228085-0.00173828j -0.000737085+0.00344359j 0.00489722-0.00163088j 0.00446181+0.000839681j -0.00177452-0.0025325j -0.00513727-0.00330165j 0.00199346-0.00322274j 0.00122136-0.000960274j 0.00285718+0.00624318j -0.00560805-0.00129153j -0.00841702-0.0112426j -0.00624696-0.00171429j -0.000281282-0.00543706j 0.0100435-0.00233506j 0.00164483-0.00194369j -0.00700508+0.00617653j -0.00162269-0.000768402j 0.0113933+0.0122888j -0.00560643-0.00208046j -0.00351883+0.000344193j 0.00258279+0.00524267j -0.00253044+0.00261103j 
0.000749795+2.76056e-06j 0.00147404+0.000480276j 0.00263309-0.00336366j -0.000233472-0.00531152j -0.00352001-0.000635965j -0.00107927-0.000888011j 0.000835503+0.00262569j -0.00188482-0.000508767j -0.000550449+0.00314467j -0.00400941-0.00618007j 0.00173221-0.000269946j -0.00188182-0.003622j 0.00372819-0.0029849j 0.00173742-0.00222656j -0.000469403-0.00341922j 0.000203972+0.00279883j 0.00450045-0.00311217j -0.00389718-0.00179737j 0.00111029-0.000556193j 0.00124593+0.00235217j 0.00251391+0.000543942j -0.00255029-0.0042537j -0.00209197-0.00408685j -0.00170756-0.00129999j 0.00322785-0.000822857j 0.00274662+0.00277693j 0.000293712+0.000538224j 0.00403687+0.00481037j -0.00343251-0.00302283j 0.00130772+0.00134242j -0.00155175+0.00124781j 0.00129941+0.00362813j 0.000997357+0.00218952j 0.00382339+0.0021618j -0.00314864-0.00165261j -0.000365115+0.00264596j -0.00351915-0.000625016j 0.00109128-0.00189903j -0.00179542+0.00310116j -0.000275516+0.00355153j 0.00243809-0.00151689j 0.00420955+0.000916267j 0.000251011+0.00120892j -0.00140077+0.00240431j -0.000775192-0.00105718j -0.000564329+0.00379395j -0.00154346+0.00799279j -0.00569018+0.0039403j -0.00120541-0.00234034j -0.00303993-0.00400453j 0.00301622-0.00100049j -0.00551144+0.00282601j -0.000345542+0.00231081j 0.00484388+0.00244454j 0.00728044-0.00145604j 0.00025506+0.000858824j -0.00217423-0.00319197j 0.00132549+0.000931232j -0.00394352-0.00223744j 0.00860539+0.0130607j 0.00367786-0.00746638j -0.00297609+0.00482023j 0.004851-0.00744522j -0.00227076+0.0102935j 0.00568812+0.00563061j -0.000737728+0.00345668j -0.00926644+0.00307833j -0.0206959+0.00984121j -0.000582036-0.00217165j -3.54977e-05-0.00573801j -0.00225471+0.00291754j -0.00353972-0.0066514j 
-0.00271396-0.00199477j -0.00241239+0.00157929j 0.000836483-0.00242977j -0.00485382-0.000689797j -0.00384131+0.00193673j -0.00138866+0.00165644j 0.000422134-0.00253128j 0.000564955+0.00373473j 0.00494877-0.000726465j 0.00226971+0.00368228j -0.00278329-0.00118801j 0.00174476+0.00492808j -0.00315856+0.000912654j -0.00230669-0.00235282j 0.00357661+0.000330558j -0.000750633-0.000386479j -0.00108358-0.00193236j 0.000323143-0.000244059j 0.0013001-0.00142284j -0.000154634+0.00130762j -0.000271665-0.00120701j -0.000851447+0.0034389j -0.00362034-0.000754129j 0.00152972+0.00132914j -0.00158399-0.00132928j 0.00373736+0.00194338j 0.000292836+0.000888911j -0.00299807-0.00107037j 0.000543641+0.000276165j -0.00366336+0.00256717j 0.000961358+0.00300234j -0.00083533-0.00171755j -0.00153251+0.0020031j -0.00437849-0.00400056j -0.00186955+0.000567312j -0.00145372-0.00538466j 0.00301887+0.00670721j -0.000526885+0.00302609j 0.00127499+0.00132304j -0.0017202-0.000227991j -0.00193885+0.00105643j 0.000487196+0.0021024j -0.00042115+0.00583805j 0.00221446+0.00436541j 0.00465341+0.00334516j -0.000128817+0.0035225j -7.92543e-05+0.0045212j 0.00639606+0.00654036j 0.00200683+0.000961493j -0.0019004-0.00255468j 0.000320784+0.00550856j 0.00288884-0.000193257j -0.00191518-0.00195243j 0.00126589-0.00210269j 5.29991e-06-0.0026455j 0.00236105-0.000696655j 0.00525939+0.0016496j -0.000743356-0.00557882j 0.00359714+0.00559995j 0.00300044+0.00620887j -0.00274584-0.00732458j 0.00294331-0.0013832j 0.00134931-0.00654143j 0.00172872+0.00106953j 0.00184366-0.00296492j -0.00861353-0.00676624j 0.00636455-0.0065776j 0.0045765+0.0118667j -0.00292879+0.00333679j -0.000210804-0.00105731j 0.00333116+0.00221818j 0.00439459-0.00503587j 
0.000679529+0.00145389j 0.00316194-0.00185967j -0.00183283+0.000745258j -0.00160616+0.000666122j -0.000468495+0.000920595j 0.00253672-0.000473099j -0.000208663+0.00481319j 0.0002734+0.000193688j 0.000577307-0.00285505j 0.00177772-0.00063574j 0.00306879+0.00490271j 0.000190743-0.00429678j 0.00430814+0.000817427j 0.000338639+0.00449729j -0.00128203-0.0033365j -0.000856804+0.001033j -0.00380725+0.00322851j 0.000763521+0.00138181j -0.000829307+0.000990736j 0.000609933-5.28535e-05j 0.00086379+0.00112712j -0.00172842+0.0031298j -7.93408e-05+0.00560401j -0.00244067-0.000345156j 0.00177398+0.0010569j 1.61604e-05-0.0047135j 0.00340488-0.000278911j 0.000177631+0.00325006j 0.00342294+0.00103232j 0.00285379+0.000602333j 0.000794268-0.00318702j -0.000207733-0.000579294j -0.000603367+0.00147013j 0.000621787+0.005118j -0.000431178+0.00286249j -0.0023356+0.00304901j 0.00216835-0.00141496j 0.000183961+0.000576892j 0.0023491-0.00156885j 0.0025112+0.00432683j 0.000914038+0.00293001j -0.000151731-0.00094462j 0.00358362-0.0036438j 0.000620846-0.00438247j -0.00189221-0.00233893j 0.00823104-0.00619374j -0.000250972+0.00292274j 0.00321138-0.00327974j -0.000917415-0.00696941j -0.00238664-0.00252977j 0.000809427+0.00052428j 0.00498465-0.00182195j -0.00613215-0.00353344j -0.000762996-0.00310483j 0.00105392-0.00310551j -0.000993044+0.00210021j -0.00171452-0.00105301j -0.00613145-0.0106233j 0.00115991+0.00463027j 0.0112214-0.00403362j 0.00345617-0.00360629j 0.0027807-0.00213135j -0.0012945-0.00489791j -0.00161179-0.00267994j 0.00345081-0.00441851j 0.00166477+0.0139553j -0.0124226+0.0043116j 0.000991064+0.00471149j -0.000843728+0.00466443j -0.00106669-0.00132578j -0.00414233+0.00336642j -0.00251802+0.00529822j 
0.00244545-0.00239306j -0.00235721-0.00353516j -0.00119992+0.0012969j -0.000736394-0.000689779j 0.00111124-0.00237657j -0.00439723+5.77269e-05j 0.00338504-0.00143265j -0.00323067-0.000135762j 0.00189694+0.000492868j -0.00345962+0.0065859j -7.14961e-05-0.000889182j -0.00384265+0.00285453j -0.00211196-0.00285515j -0.000834843-3.18567e-05j -0.00427092+0.00261163j -0.000203701-0.00070835j 0.00143471-0.000718009j -0.000584231+0.00265297j 0.00190138+0.00280295j -0.00241545+0.000974725j -0.000850159-0.00272374j -0.000265757+0.00490539j 0.00349921+0.000754416j -0.00121315+0.00381903j 0.000695554-0.000703728j -0.00334875-0.00221074j 0.0009658-0.000465832j 0.000297831-0.00386435j 0.00239159-0.000142475j 0.000969264-0.00223408j -0.00399322+0.000383333j 0.000336535+0.00025701j -0.000732297-0.00200744j 0.00452374-0.00725251j 0.00205024+0.00280194j 0.00333773-0.00386183j -0.000125609+0.00651315j -0.00317877-0.000404485j -0.00109193-0.000470938j 0.00639379+0.00123938j 0.000691729+0.000778525j -0.00200903-0.000793718j -0.00646886+0.000485709j -0.0036185+0.00428727j -0.0031991+0.00325466j -0.00398599-0.00420828j 0.000838594+0.00343749j 0.000935584+0.00508775j -0.00342558+0.00470931j -0.00415555-0.000652863j -0.00193947+0.00421926j 0.0032833-0.00128164j -0.00178352-0.000795672j -0.00194369-0.00348264j -0.00480283-0.00672322j 0.00271117-0.000155097j 0.00295439+0.00539113j -0.00885411-0.00758758j 0.0049032+0.00748095j 0.000383198-0.0034815j 0.00014803-0.0143314j -0.000998993-0.00674728j 0.00350349-0.00470583j 0.0026986-0.00588809j 0.00417319-0.0069856j 0.00905316-0.00416037j 0.00492146+0.00928774j 0.00499369+0.0127034j 0.00540798+0.0041281j -0.00065718-0.00465245j 0.00451311-0.00138593j -0.00425096+0.000374734j 
