0.00206396-0.00506627j 0.00457496+0.00189646j 0.00378042-0.000239156j -0.000270339+0.00598671j -0.00248414-0.00155315j 0.00387775+0.00143622j -0.0001397+0.00624062j -0.00344729-0.000729299j -0.000805833+0.000620161j -0.00150806-0.000863151j -0.00213767+0.00377964j -0.00468699-0.00284947j 0.000638028-0.00245598j 0.00340939+0.00191088j -0.00242959+0.000289009j 6.96742e-06-0.000579224j 0.00215092-0.000491882j -0.000193554-0.000763148j 0.0012378-0.00016917j -0.00154122+0.000915696j 0.000455788-0.00165223j 0.000223885+0.00296511j -0.00290866+0.000510023j 6.94976e-05+0.0010407j 0.000721244+0.000557505j -0.00120003+0.000789336j 0.00086805+0.00113948j -0.000789163-0.000392998j -0.000400231-0.000765224j 0.000819724+0.000711237j 0.000715767-0.000654245j -0.00122517-0.000702316j -0.000987945+0.00061474j -0.000424313+8.82434e-05j -0.00210343-0.000775766j -0.000446753-0.000943687j -0.00109682-0.000962282j 0.000335634+6.25251e-05j 0.000718827-0.00023309j -0.0014476+0.00104256j -0.000177681-0.000369115j -0.000222045+0.000599846j -0.00111773-0.000585565j -0.000890483+0.000884731j 0.00488939+0.000258864j -0.00106336-0.00646973j 0.00264773+0.00347791j -0.0057806+0.00230558j 0.00159163-0.00163552j 0.000520285+0.00385545j -0.00227169+0.00316181j -0.00554898+0.0024486j -0.00321134-0.00558277j -0.0020697+0.000804071j -0.0123457+0.00976757j 0.00855798+0.0131782j 
0.00454631+0.00156287j -0.00117804+0.00463459j 0.00137221+0.00399809j -0.0053996+0.000630565j 0.000302534-0.00371126j -0.00312977+0.00335933j -0.00465451-0.000729937j -0.0009226-0.00231285j 0.000997954+0.000431338j 6.79012e-05-0.0015909j -0.00198173-0.00327286j 0.00313693-0.00420271j 0.00278198-0.000441993j -0.000525116+0.0012689j -0.000408042-0.000394477j 0.00116142+0.000729982j 0.00106028+0.00224417j 0.000548717-0.000264038j -0.000677263+0.000580202j -0.000928412-0.00115566j 0.00143336+0.00125541j -0.000779912+0.00230263j 0.000489612-0.00240515j 0.000263028+0.000633429j -7.08087e-05-0.000175137j -0.00192688-0.000603975j -0.000540295+0.000557248j -0.000872994+0.000181231j 0.0014542-0.00105449j -4.78927e-05-0.00127626j 0.000758511+0.00100718j -0.00130948-0.00114637j -0.00135222-7.42883e-05j -0.000605353+0.000874348j 0.000461911-0.000668184j -0.000107207-4.18023e-05j -0.00118995-0.00168455j -0.000444712-0.00115003j 0.000240589+0.000283544j -0.00153362-0.00136503j -0.0001423-0.00073032j 0.000140364+0.00148933j -0.000830237-0.00108328j -1.00322e-05-0.00187674j 0.000745172+0.00621741j 0.00809754-0.00163077j -0.00316653+0.00117349j -0.00166961-0.00702338j 0.000363609+0.00166764j -0.00570578+0.00105815j -0.00348358-0.00468811j -0.000530386-0.00548827j 0.00230315-0.00523649j -0.00378953+0.000346528j -0.00648195-0.0135806j -0.0138717+0.00654141j 
-0.00635478+0.001123j -0.00249979-0.00564542j -0.00166332-0.0020307j 0.00513656-6.78115e-05j -0.000788269-0.000446595j -0.00121982-0.00293527j 0.00470337-0.00109341j -0.00185253+0.000516841j 0.00170656+0.00439643j 0.000485381-0.000179632j 0.00393796-0.0013165j 0.00123638+0.00225493j 0.000658657+0.00133592j 0.000347531-0.00174351j 0.000212127+0.000299117j -0.000737688-0.00079044j 0.000681634+0.00162789j -0.00154845-0.00126152j -0.00125612-0.000861824j -0.000845756-0.000865576j -0.000676074+0.00186841j 0.000715921-0.000719608j 0.00159129-0.000755044j -0.000408832+0.000321028j 0.000697516-0.000793577j -0.000285245-2.80114e-05j -0.00187483-0.00137555j -0.00123644+0.000493906j 0.000499131+0.00140473j -0.000616814-0.00160239j 0.000569801+0.000818108j -0.000266569-0.000469535j -0.000868424-0.00034001j -6.81115e-05+0.00012488j 0.00237999-0.00179122j 0.00130999+0.000709757j -0.00221903+4.40011e-05j 0.00126237+0.000163099j -0.00164739-4.9686e-05j 0.0033552-0.00125354j -0.00200689-3.62173e-05j -0.00244682-0.00242351j 0.003591+0.00333002j 0.00351217-0.00145964j -0.00317507-0.000821323j -0.00352406+0.00489675j 0.00135808-0.00265758j 0.00342292-0.00106698j -0.00650242-0.00500379j 0.00281617-0.00252123j 0.002397-0.00141536j 0.00511417-0.00165105j 0.00150505-0.00600331j -0.00616899-0.00568253j 0.0113416+0.00655953j 0.00722811-0.00835506j 
0.000870288-0.00524449j 0.00607875+0.00066665j 0.00257541-0.00151121j 0.000238055+0.00339884j -0.00144041+0.0015962j 0.00527704+0.00111735j 5.21212e-05+0.00524893j -0.00178955-2.36917e-05j -0.00296255+1.29302e-05j -0.000569735+0.00142107j -0.00123656+0.00391571j -0.00397576-0.00102928j -0.00114084-0.00194285j 0.000830392+0.000594461j -0.000306532-0.0011884j -0.00145151-0.00141937j 0.00172629-0.00156836j -0.00106384-0.00020953j 0.000673581-0.00072181j 0.000727112-0.00108317j -0.00122478-0.000184209j 0.000164766+0.00140305j -0.00158662+0.00161941j -0.000136483+0.00013239j 0.000101946-8.94558e-05j 0.00189437+0.00180566j 0.000292596-0.000432918j -8.73776e-05-0.00096596j -0.00145706-0.000481463j -0.000223704+0.00125685j -0.000880685+8.87526e-05j -0.000221602+0.000992961j 0.000840059+4.28146e-05j 0.000650382+0.00162258j -0.00496501-0.000589267j -0.000518339+0.00138881j -0.0041718-0.000350241j -0.000468608+0.000762137j 0.00117978+0.00120431j 0.000448031+0.00109115j -0.00017416-0.000549018j 0.00425184-0.000234957j -0.00228802+0.000425658j -0.0029429+0.000504103j 0.00503388-0.00511821j -0.00571237-0.00173011j 0.00263216-0.000746258j -0.00317954+0.00100621j 0.000209464-0.000800234j 0.00262263+0.000339469j -0.000333482+0.00179472j -0.00176068-0.000803659j -0.00106528+0.00402423j 0.00586509+0.00122319j -0.00821114+0.0106963j 0.0106451+0.00725237j 
0.000187669-0.00291882j 0.00171478-0.00170648j -0.000568505+0.00156087j -0.00442127+0.00304219j 0.00433697-0.00308343j 0.000291799-0.00102839j -0.00185792+0.00270889j 0.000426107-0.00556308j -0.00543712+0.00435935j 0.00305097-0.000712008j 0.00132738+0.000900546j 0.0022611-0.000607657j 0.000632281+0.00332343j -0.000427986+0.0031459j -0.000789209-0.00318712j 0.000725956-0.000997267j -0.00256714+0.0029166j 0.00141568-0.00181604j 0.000639323-0.000601348j -0.00160286-0.00405224j -0.00159718+0.00172903j -0.0015176-0.000418237j 0.00116736-0.00217562j -0.00236064-0.000347787j 0.00103122+0.000893348j -0.000549785-0.00199538j -0.00123473-0.00171948j -0.00088078-0.00224694j -0.00072544+0.00190928j 0.000194816-7.58179e-05j -0.000804904+0.00138389j 0.00108391-0.00217402j -0.000247907-0.00202304j 0.00148259+0.000337384j 0.00319179+0.000355696j 0.00130084+0.00158946j -0.00136896-0.00154979j -0.000844456+0.00175222j 5.63529e-05-0.000802672j 0.0010725+7.17539e-06j -0.000662391-0.00104935j 0.00267597-0.00608127j -0.00181268+0.0044202j 0.00102483+0.00291605j -0.00456066-0.000626248j 0.00254965+0.00205413j -0.00428767+0.000112313j 0.00054582-0.00437952j 0.00514353-0.0056994j -0.000483528-0.000470693j -0.00128673-0.00149711j 0.000940073-0.0035423j 0.0185536-0.00175014j 0.0055038-0.0151052j -0.00455051-0.000967239j -0.00659182+0.00411342j 
-0.000545977-0.00295432j 0.00334057-0.000473667j -0.00111594-0.00206611j 0.000300456-0.00173334j 0.00215935+0.00368741j 0.00186393-0.000229543j -0.000844303+0.000382064j 0.00484211-0.00102876j -0.00486136-0.0034031j 0.00039497+0.00143158j 0.00163143+0.00198323j 0.000601925+0.00398508j -0.00263879+0.00294181j -0.000836942-0.000294051j 0.00365139+3.8727e-06j 0.000287468-0.00186471j -0.0040502-0.000715258j 0.00105479+7.33253e-05j 0.00108961-0.000779829j 0.00374062-0.00104437j -0.00549224-0.000220308j -0.00254035-0.00284918j 0.00156664+0.00268772j -0.00101493-0.00147908j 0.00168998+0.000953672j 0.0011509+0.00191945j 0.00163546-0.00243535j 0.0026194-0.00171248j -0.00214359+0.00233756j 0.000619287+0.000973072j -0.00477829-0.000912498j 0.000246293+0.000705156j 0.00247318-0.00183416j -0.000133426-0.00101946j 0.000780619-0.00094169j -0.00329027+0.00275128j 0.00303256-0.00528091j -0.00062446+0.00106456j -0.0013764+0.00219866j 0.0028809+0.00386558j 0.00304214-0.00122303j 0.00292943+0.00281995j -0.00300894+0.000854002j 0.000572323+0.00103348j -0.000668914-0.00213588j -0.0054311+0.00133455j 0.00269549-0.00119673j 0.00934209+0.00107495j 0.00515494-0.00368246j 0.00333187-0.00044558j 0.00558129-0.000604597j 0.0101978+0.00470958j 0.00487589+0.0133008j 0.0110131-0.000743085j 0.00445072+0.00227154j 0.000904845-0.00538476j 
0.00370308+0.00287457j -0.00109812+0.00524065j -0.00151964+0.000166425j 0.00115021-0.00433103j -0.00134017+0.00252883j 0.000762034+0.00374429j -0.00182807-0.00105204j 0.00266088+0.00134717j 0.00227599-0.00527681j -0.00144817-0.000484589j -0.00361406-0.00153658j -0.000156298-0.00304627j -0.000103243-0.000279785j -0.00040768+0.00129868j 0.000223869+0.000312687j 0.0010085-0.000239693j 0.000231645-0.00133403j 0.000692369+0.000676654j 0.00113084-0.000102921j -0.000375798-0.00196837j -0.00054856+0.000396345j 0.000477295+0.000398547j 0.000167972-0.00132553j -0.000937223-0.000602209j 0.000578714+0.00151689j 0.000409017+0.00219509j -0.00128485+0.000320195j 0.00215388-0.00200828j 0.00109657-0.00150317j -0.00170344+0.00258291j 0.00049032-0.000263586j 0.00194689+0.000266598j -0.000326246-0.00154591j -0.000427488+0.00303788j -5.18838e-05-0.000554798j 0.000363712+0.00305028j 0.00381343-0.00324778j 0.00263078+0.000605338j -0.0027445+0.00296139j 7.81989e-05+0.00130184j 0.000492942-0.0024512j -0.000273297+0.0026177j -0.000411991-0.00304953j -0.00420894-0.00111018j 0.00211108+0.0024028j -0.00100478-0.00247492j 0.00170109+0.00395956j 0.000820834-0.0102855j 0.00370146+6.41696e-05j 0.00142368+0.00337509j 0.000648123-0.00249201j 0.00724599-0.00435846j -0.00545056+0.00273043j -0.000193582+0.00792356j -0.000593638-0.0120215j -0.0071658+0.00414215j 
0.00204892-0.00102281j -0.000436836+0.00448861j 0.00306374+0.000826824j 0.00195101+0.00508684j -0.00460004-0.00479919j -0.00253767+0.00229184j -0.000677831+0.00108119j -0.00345836+0.000925045j 0.00184949+0.00114664j -0.00292164-0.000320384j -0.000758869-9.66636e-05j 3.49722e-05-0.00106325j 0.0010774-0.0035816j -4.662e-05-0.00293142j -0.00299117+0.000190643j -0.00147131+0.00049288j 0.0018745+0.00182616j 0.000553789-0.000263356j 0.00247224-0.00316955j 0.00461222+0.00248128j 0.000197124-0.00172101j -0.000363612+0.00362022j 0.00037351+0.00478719j -0.000717842+0.00150046j -0.00304036-0.000404101j -0.00113825+0.0027433j 0.00316207-0.00214315j 1.21031e-05+0.000215868j 0.000871495-0.00100946j 0.00156535+0.000789187j 0.00137525-0.000621459j 0.00094845+0.00134754j 0.00289066+0.000516716j -0.00248595+0.00148875j -0.00084457-0.00180691j -0.00374547-0.000774679j 0.00498965-0.00120509j -0.00117721+0.00281662j -0.00291242-0.000965192j -0.00196731+0.00476626j 0.00323535+0.00123992j -0.00208504-0.000105024j -0.002138-0.000916816j 0.000934679+0.00191498j 0.00179016+0.00165259j -0.00154815-0.00999451j -0.00247976+0.00549436j 0.00571872+0.00671254j 0.00368889-0.00393612j 0.000692759-0.00318915j 0.00828878+0.0068739j 0.00248305+0.0156403j -0.00444723-0.00469429j -0.00409066+0.00138483j -0.00216013+0.00546323j 0.000942114+0.00817731j 
-0.00254983-0.000284595j -0.00128338-0.00150921j -0.00016305-0.000765731j 0.00268266+0.00348208j -0.00120989+2.24849e-05j 0.00176225+0.00322004j 0.00048201+0.00428226j -0.00184453-0.000465516j 0.00242665+0.00310787j 0.001533-0.00275927j -0.00114109-0.000598796j 0.000765944-0.00385955j 0.00117697+0.00117311j 0.00205334+0.00380437j 0.00210694+0.00155611j 0.0029692-0.00173808j 0.000975911+0.00113571j 0.00015571-0.00280549j -0.00184721+0.00288123j -0.00137979-0.000769382j 0.00141685-0.000297216j -0.00048848+0.000134043j -0.000124267-0.00335763j 0.00306592-0.00127099j 0.000868044+0.00150093j -0.000678185+0.000185369j -0.00153301+0.000123206j 0.00185953+0.00148541j 0.00195257+0.00147579j -0.00374471-0.00185002j 0.000669675+0.00362314j -0.000805122+0.00239743j -0.00247924-0.000588587j -0.00330409-0.00339576j 0.000367266-0.000599529j 0.00104482+0.00134726j 0.00108153+0.00263924j -0.000101598+0.00165334j 0.00175519-0.0021938j 0.000715051+0.00234641j -0.000250443-0.00554051j 0.00181302+0.000854156j 0.00485677+0.002773j 5.49245e-05-0.00600258j -0.00129471+0.00261609j 0.000287522-0.00742579j 0.000664296+0.00596149j 0.00449307+0.000301099j 0.00117981-0.000298726j -0.00247533+0.0158355j -0.00962545-0.000916314j 0.00351746+0.000570254j 0.000641937-0.0066664j -0.00430381-0.00182312j -0.00336946+0.00242692j -0.00186594+0.0094709j 
-0.00183657-0.00149474j -0.00178821-0.00211082j 0.000556756-0.0021383j 0.00320739+0.00230404j -0.00196681+0.00137589j -0.000398155+0.0011185j -0.00110962+0.000906916j 0.000894736+0.0017436j 0.00266971-0.000572916j 0.00044693-0.00234074j 0.000816301+0.00149679j -0.00131183+0.00124889j -0.00104352+0.00231114j 0.00208396+0.00195658j -0.000188856+0.00664158j 0.00347882+0.000725949j 0.000573702-0.00059102j 0.000680669-0.00155377j -0.000575806+0.00137827j 0.00187769+0.00325805j 0.000548458-0.00162281j -0.000774567-0.00388115j 0.000396639+0.000276839j 0.00318306+0.000746143j -0.000321249+0.00241576j -0.00101777-0.00132382j 9.09233e-05+0.000946098j 0.00174739+0.00156642j -0.000258044-9.2302e-05j -0.000362753-0.000571007j -0.000198948+0.0004747j -0.000777774+0.000171543j -0.00174846-0.00350143j 0.000145989-0.00317684j 0.000565737+0.00187709j 4.11987e-05+0.00178098j 0.00471082+0.0035081j 0.00265318-0.00183104j -0.000571658-0.000323691j -0.00610381+0.00190579j 0.00428193-0.00100421j -0.00449228+0.00153013j -0.00138487+0.00191002j 0.000270548+0.00164163j -0.00358915-0.0060239j 0.0039766+0.00295463j 0.00191248+0.0010139j -0.00159716+0.00814831j 0.00746273+0.000698815j -0.00719167+0.00531736j -0.00113143-0.00417952j -0.00246382+0.0105095j -0.00746553+0.000101101j -0.00206325+0.00239849j 0.00139506+0.00812183j 0.00229023-0.00274156j 
0.00171403+0.00316048j -0.00431959+0.00122653j 0.000426369+0.00251328j -0.0014337+0.00150161j 0.00351892-0.00274756j 0.000555158-0.00373881j 0.00282393+6.75542e-05j -0.000137902+0.000674062j 0.0007982-0.000304731j -0.00200643-0.0029024j -0.000806578+0.00222484j -0.00319219-0.000364469j 0.00112877-0.000949072j 0.00426923+0.000318638j -0.000755574-0.00278378j -0.00148357+0.000468011j -0.00155198-0.000828797j 7.21762e-05+0.000331488j 0.00322481+0.00187067j 0.00114957+0.00463626j 0.000323521-0.00320932j -0.00385704+0.00116919j -0.00459768+0.00268829j -0.00169273-0.00229329j -0.00158665+0.000665952j -0.00220606-0.00181968j 0.00459285+0.000517836j 0.000144875+0.000488219j 0.00248834-0.000169232j 0.000418145+0.00535327j 0.00252183-0.000484579j 0.000538312+0.000243156j 0.00143612+0.00165076j -0.00424241+0.00013056j -0.00100383+0.00225366j -0.00133055-0.00379413j 0.00712959+0.00164835j -8.08376e-05+0.0013189j -0.000445809-0.00248566j -0.00266488-0.000990324j -0.0025095+0.00217054j 0.00114091-0.00234129j 0.00216321-0.00548031j -0.00519657+0.0017966j -0.000905423+0.00168876j -0.00234971-0.000351296j 0.000303248+0.00192506j 0.00323971+0.00110229j 0.00713306+0.00501049j 0.0103552+0.00237669j 0.000202115+0.0118799j -0.00604281+0.00605992j 0.00143608-0.00205209j 0.000409142-0.00084487j 0.00238877+0.00249449j 0.00154823-0.00146495j 
