-0.161795+0.137798j -0.0724366-0.0149849j -0.507747-0.265088j -0.172567+0.147363j 0.0481006-0.0113245j 0.235767-0.351863j -0.0739866+0.168568j 0.0179686+0.153817j -0.127216+0.0771321j -0.197391+0.11053j 0.160978-0.185472j -0.154734-0.420051j 0.10145+0.0194796j -0.137054-0.00464356j 0.0137762-0.00629639j 0.00653502-0.000308571j 0.00386739+0.0795491j -0.00586203-0.0321006j 0.0280202+0.0400391j 0.0705213+0.000229849j -0.000156088+0.00360456j 0.00986187+0.0233053j 0.000214589-0.0213468j -0.0101595-0.0271801j 0.00492792+0.0541545j -0.0775636-0.0541783j 
-0.182966+0.296194j -0.228508-0.2249j 0.118262+0.13339j 0.0518268+0.111375j -0.0459315+0.0287683j 0.198543+0.408715j 0.137752+0.170575j 0.0194871+0.0506604j 0.538817-0.245667j 0.0235629-0.0596871j 0.133631-0.237059j -0.159048-0.146748j 0.172818+0.0828089j 0.0173169+0.0488953j -0.0192948+0.0417921j 0.0165074+0.0299619j -0.0100058-0.0370231j 0.0112763+0.0100984j 0.0288694+0.00709782j -0.0141842+0.0390631j -0.0288144+0.0539693j -0.013064-0.00628933j 0.0283386-0.0234108j 0.0120168+0.0336078j -0.00439236+0.00745914j -0.0450671-0.0181365j 
0.101456+0.00888551j 0.0318275-0.0277248j -0.078287+0.0833774j 0.0277966-0.0102692j -0.00735998-0.0190575j 0.0416358-0.00553979j -0.0667934+0.023771j 0.0309646+0.050115j 0.0105016-0.0397721j 0.0343201+0.000396566j 0.133176-0.063321j 0.0281051-0.0895477j 0.0748041-0.0444847j -0.101422-0.403663j 0.126309-0.16825j 0.0997496+0.0454071j 0.0132101-0.0807696j 0.0317638+0.0885423j 0.125919-0.210007j -0.302344+0.00897975j 0.154217-0.298137j -0.211931-0.193151j -0.0802057-0.065026j -0.083337+0.136033j 0.101621-0.178703j 0.336948+0.336195j 
-0.133051+0.0273689j -0.0310129+0.0325099j -0.0742075-0.032153j -0.0606709-0.0420243j -0.0615011-0.0497391j -0.0204201-0.0192697j 0.000708855-0.017184j 0.0362466-0.0591521j -0.00916741-0.0269621j -0.0724797+0.0184044j -0.131456+0.0770427j 0.000418932+0.0152712j -0.046341+0.0234343j 0.332133+0.0715756j -0.320975-0.106038j 0.245473+0.0788891j -3.58899e-05-0.151577j 0.084378-0.245905j 0.205499-0.0501859j 0.045434+0.255656j 0.0293364-0.184912j -0.341162+0.062354j 0.26793-0.0748693j -0.369743+0.15801j -0.0466047-0.0726913j -0.181133-0.0329846j 
0.208013-0.204453j 0.0281615+0.0543358j -0.0497633-0.0366538j 0.0409093-0.0244218j -0.0909345+0.0465123j 0.00173815-0.0230468j -0.0178581+0.016792j -0.0285077-0.0193607j 0.0309998+0.0156443j 0.0993508-0.0785036j 0.170985-0.259664j 0.0041593+0.0144289j 0.10384+0.194385j 0.129489+0.163479j -0.0285294-0.0299499j 0.227886-0.193797j -0.161772-0.334054j -0.322039-0.0627093j 0.132675+0.231407j 0.0551881-0.0597541j -0.038897-0.107783j -0.115368+0.0907519j -0.0993977-0.181964j 0.0509492-0.414741j 0.0553489+0.0668394j 0.138064+0.0126662j 
0.0302443-0.0232642j -0.000817821-0.00881175j 0.0033525+0.0289955j 0.007327-0.00592553j -0.000890096-0.00111378j 0.0117001-0.00271086j -0.0166664+0.00653125j 0.0151813+0.00614551j 0.00395379-0.00398304j 0.00361544-0.00742382j 0.0300718-0.0350856j 0.0217331-0.00754731j -0.0119091-0.0214659j -0.0697411-0.088206j -0.00115205-0.0355967j 0.0179931-0.00786872j 0.0101133-0.0470366j -0.0311952+0.0642058j 0.0202449-0.0703449j -0.102842+0.0248708j 0.0498571-0.0850105j 0.017124-0.0170117j 0.0140796-0.0489765j 0.020039-0.0288437j 0.0187269-0.0584536j -0.00645617+0.0725639j 
0.0189205+5.37769e-05j 0.0242324-0.00362101j -0.0247325+0.00459553j 0.014678-0.0142508j 0.00251636+0.00394586j -0.00589024+0.0263332j 0.000484618-0.0123594j -0.00672424+0.0391507j -0.0169128-0.0134971j 0.0248894-0.01875j -0.00608658-0.00641785j -0.0064777-0.0234659j -0.00850963+0.00623707j -0.0203009-0.0188155j 0.00512631-0.00106499j 0.00632388-0.00401843j -0.000369189-0.0152041j -0.000906265+0.0203821j 0.00553726-0.0165473j -0.0192287+0.00927454j 0.00936632-0.0296103j 0.00607948-0.021551j -0.00774748-0.0140587j 0.00447206-0.0112611j 0.0196232-0.0196353j 0.0051445+0.0151944j 
-0.00659616-0.0330218j -0.0109236+0.00522262j 0.0114662-0.00717345j 0.0134197-0.00430815j 0.0128814-0.00981298j -0.0144454-0.0048139j 0.00488417+0.00403825j 0.0128066+0.0133866j -0.00137133-0.00631931j 0.00629748+0.00097332j -0.00881012-0.0342912j 0.0179067-0.0128166j -0.0295043+0.00100769j -0.0315314+0.0343241j 0.0184103-0.00434763j -0.037668+0.0135507j -0.0617489-0.0385261j -0.0346482-0.0164381j -0.0373437+0.0155061j 0.00902086-0.0474525j 0.00971748+0.0343114j -0.0162738-0.0102513j -0.0164338-0.0120659j -0.00595051+0.0103575j -0.036774-0.0123907j -0.0086927+0.0416398j 
0.0150117-0.00585053j 0.0139305-0.0120406j -0.00335255+0.0132371j -0.0205457+0.000746273j -0.012095+0.0246363j 0.0289749-0.0125363j -0.0010703-0.00737096j -0.0514466+0.0104441j 0.0108413+0.0197405j -0.00698028-0.0252367j -0.00596051-0.00954007j -0.0246036+0.00438982j -0.00829972+0.00684363j -0.0166559+0.00785728j 0.0250728-0.0212109j -0.0194987+0.0357478j -0.0192318-0.017294j -0.00318739+0.012481j -0.0191997+0.00598867j 0.0141748-0.0346098j -0.00520968+0.00979437j -0.00092117+0.0252267j -0.0223512-0.023386j -0.00490451-0.0121838j -0.00940467-0.0112383j -0.00830229+0.0237254j 
0.00142897+0.00319409j 0.00457358-0.000574617j -0.00470675-0.0117625j 0.00240218+0.0173554j 0.0238614+0.0497678j 0.0144578+0.0116616j -0.00694337+0.00153801j 0.0167841-0.0256589j -0.00535803+0.0226524j -0.00424417-0.00807616j -0.0053185-0.00684365j -0.0135065+0.00627858j -0.00644687+0.00338859j -0.0223541+0.021544j -0.0122015+0.0435462j 0.0068212-0.053891j -0.0330275+0.0073991j -0.0431983-0.0333111j 0.00843071+0.00542565j -0.033616+0.0137071j 0.0161549+0.0256459j -0.0102133-0.069057j 0.00413139+0.0324935j 0.0129101+0.0134394j -0.00811971-0.00359567j -0.00778959+0.00352229j 
0.031069+0.0196217j -0.00133962-0.0288657j 0.0116821-0.0183585j -0.0146972+0.0117276j -0.0147496-0.00769448j -0.0274954+0.00490536j -0.00891592+0.0224171j 0.00413687-0.0309576j -0.00552432-0.0146864j -0.016822+0.00184171j 0.0165759+0.00617273j -0.00425708+0.00811131j 0.0241969-0.0118634j -0.03553-0.0271607j 0.0209459+0.00523781j -0.0253793+0.0153401j 0.00460026-0.027491j 0.000151996-0.00641803j 0.00559518-0.0103214j 0.014352-0.0241849j -0.0323637+0.0301488j -0.0162326-0.0137615j -0.0140788-0.00976129j -0.0238346-0.0166675j 0.0169469-0.0154751j 0.0102974-0.000827464j 
