0.00738723-0.0474821j -0.00381763+0.0866514j -0.00232136-0.246428j -0.00019341-0.0136332j 0.00595938+0.0912837j -0.00110997-0.00913048j -0.00658271-0.181822j -0.0093778-0.854478j 0.00902447-0.0990648j 0.012833+0.0117237j -0.0258868+0.122383j 0.0531878+0.0419504j -0.00812784-0.00641063j 0.0575303-0.0556741j 0.0143244-0.00156471j -0.0150326-0.00151606j 0.0353722+0.0806944j 0.0106378+0.018034j -0.106147+0.03568j -0.00899892-0.0516629j -0.114683-0.0840868j -0.03816+0.306848j 
0.00280308+0.103706j -0.0123306-0.139998j 0.0219924-0.00226366j -0.00636604-0.0838497j -0.00769518-0.370029j -0.000541783-0.024578j 0.0032277+0.79011j -0.00330367-0.295453j -0.0157129+0.136196j -0.0476001-0.0261524j 0.0294889-0.0896932j -0.0927908-0.0266053j 0.00667282-0.00647374j -0.049812+0.00751066j -0.00462407+0.0110797j -0.0538117-0.0133011j -0.047781+0.00901613j 0.0159836-0.0313218j 0.0727143+0.0489623j 0.0386597-0.231022j -0.0768534+0.00734999j -0.00438409-0.125518j 
0.00959394-0.0396456j 0.00233458-0.0630636j -0.0083977-0.0284199j -0.000212959+0.0112512j 0.00157773+0.0323278j -0.000277128+0.983918j -0.000103195+0.044305j 0.00256256-0.014778j 0.00462837-0.00254003j 0.00687899+0.00426351j -0.00209944-0.00173361j 0.00852502+0.00282976j -0.05305-0.043601j 0.0216439+0.0127639j -0.0658745+0.0213147j -0.0588905-0.0677562j 0.010093-0.00688068j 0.045976-0.0918387j 0.00275055-0.00659104j -0.00058608+0.00829052j -0.000283329-0.000603316j -0.00161034+0.0121539j 
0.00860485+0.0908162j -0.0150145-0.0540683j 0.00761131-0.0124978j -0.00644105-0.174736j -0.00233243-0.799458j -7.7248e-05+0.0578227j -0.000378067-0.507747j -0.0049439+0.00423446j -0.0167243+0.137727j -0.0586052-0.0319803j 0.038535+0.0342797j -0.120607+0.0124866j -0.0257054-0.0483582j -0.0014831-0.0675448j -0.0457398+0.0258616j 0.0106596+0.0237122j -0.0192796+0.0929456j -0.011267+0.0134189j -0.0375899+0.0281944j 0.00909433-0.112891j -0.0409717+0.00353784j -0.00222356-0.0734107j 
-0.0319968-0.150867j 0.00660689-0.0390757j -0.00200931+0.0132755j 0.00251755+0.900223j -0.000382323-0.269574j -0.000890298-0.0120568j 0.00491628-0.0108132j 0.00563707-0.0761392j 0.0571589-0.00227457j 0.198093+0.0102848j 0.0297414-0.131234j 0.00627357-0.0481859j 0.00230683-0.0556671j -0.0192537+0.0690134j -0.0202686+0.0165355j -0.00406725+0.00415501j 0.00244223-0.0933565j 0.00267032+0.00562106j 0.0411294-0.0258844j -0.00455322+0.105151j 0.0425368+0.00115309j 0.00547211+0.0655995j 
0.019169-0.0397405j -0.0265319+0.0170999j 0.0545745+0.00990115j -0.0113192+0.155881j 0.00177234+0.138064j -0.00163528+0.00579685j -0.00945781-0.0924428j -0.0275494-0.0355133j 0.0155866-0.0407952j 0.0062622+0.00263965j -0.0240328+0.0200248j 0.0164721-0.0113271j 0.00427679-0.0148933j 0.0402402-0.0199422j 0.0201928+0.00329842j 0.00803367-0.00651877j 0.00589392+0.00209747j -0.00853722-0.00688508j -0.156781+0.0289084j 0.0333462-0.0982234j -0.614869+0.0668013j -0.0940761-0.570756j 
-0.0139024+0.00224292j 0.00401493+0.0240431j 0.072387-0.0404141j -0.00991368-0.108603j -0.0244496+0.0119432j -0.00185029+0.00209244j 0.0197666-0.0797701j 0.0136822-0.18468j -0.00766228+0.00479993j -0.0217538+0.0175255j 0.0336479-0.0574632j -0.106486+0.0053466j -0.00202804+0.0164063j -0.122177+0.0711155j -0.0388689-0.0116266j -0.0291977+0.0133113j -0.110376-0.0929512j -0.0357752+0.0120233j 0.520598-0.0846887j 0.126778+0.520114j -0.212406+0.0907846j -0.0277003-0.156409j 
0.0116562-0.0129172j -0.052124+0.0288008j -0.0149152-0.0257263j -0.0150358-0.0257574j -0.0131495+0.0996558j 0.000524946+0.00944355j 0.000613646-0.115806j -0.0096882-0.0386311j -0.00943044+0.00504163j -0.0446047+0.0243456j 0.0537257-0.133492j -0.20421-0.0293875j -0.0114612+0.0207j -0.428621+0.290774j -0.0701521+0.00504111j -0.185321+0.0994767j -0.291045-0.483245j 0.0975462+0.120531j -0.30677+0.0505654j -0.0441555-0.237816j 0.0393803-0.0114893j 0.0096711+0.0471159j 
-0.0450972-0.0109832j 0.0355682+0.00344869j 0.0704792-0.0202681j 0.00387702-0.0142754j -0.00779406+0.00911565j -0.00089376-0.0227595j 0.0103262-0.0231729j -0.0139221-0.0417594j -0.00658477-0.00215315j -0.00300133+0.00884042j 0.0214823-0.0226772j -0.0375738+0.00858445j 0.037894-0.0333036j -0.170998+0.111457j -0.0487106+0.0077085j 0.54828-0.351599j -0.0889943-0.0998068j -0.369679-0.548713j -0.0822762-0.0241253j -0.0118216-0.0486167j 0.0038477+0.0136732j 0.00406936+0.01493j 
-0.0671515-0.00134554j -0.0566389+0.00150203j 0.0267384-0.0109968j 0.00417529-0.0321813j -0.011179+0.0112335j -0.00142721+0.0344484j -0.00516275-0.00453568j -0.00965847+0.00471306j -0.0131532+0.0103694j -0.000471682+0.00991495j -0.00312571+0.0129841j -0.0135923-0.0030623j 0.384097-0.555671j -0.0829343-0.0444022j 0.570764+0.368755j -0.0321491+0.0619064j -0.0366605-0.0453855j -0.00598563+0.0154833j 0.0174266+0.00671167j 0.00726181+0.0268499j 0.0138001+0.00277145j 0.00161438+0.0140716j 
0.0108429-0.026596j -0.0377686+0.0326364j -0.00438726-0.0118872j -0.0181915+0.0310341j -0.00197836+0.156304j 0.000440963+0.00166417j -0.00576566-0.0595099j -0.00366716-0.019948j -0.0137846+0.0213448j -0.0907257+0.0368733j 0.184474-0.534749j -0.516169-0.216551j 0.00872387-0.0223984j 0.314031-0.142729j 0.0568056+0.00150461j 0.0528272-0.00893656j 0.170602+0.225978j -0.0108044-0.0184128j -0.081324+0.0295973j -0.0105543-0.0624508j 0.0415016-0.00909817j 0.00509011+0.0452888j 
