-0.00860977-0.0161877j 0.0232767-0.0150764j 0.026121-0.0297932j -0.0143413+0.0225514j -0.00600193-0.040199j 0.0428626+0.0248622j -0.00488133+0.0217748j -0.0058889-0.0348146j -0.0180369+0.0117775j -0.0196264+0.00610089j -0.0531957+0.0311116j -0.0086135+0.012684j 0.0166129-0.00361754j -0.0057074+0.010539j 0.020838-0.019014j 0.00825173+0.0142403j -0.00276217+0.0165169j -0.0324479-0.0108117j 0.00679944+0.0136514j -0.0254326-0.0404747j -0.00194986+0.00106671j -0.0015842-0.00870074j 0.0147236+0.000980926j 0.00453732+0.0248324j -0.00675255-0.00262812j -0.0214914-0.0111108j -0.000362845+0.00779028j -0.000489181+0.00235821j -0.00797486-0.000489187j 0.0091173-0.013862j -0.0119899-0.00340028j -0.0092222-0.00646752j 0.00238953-0.00859642j -0.00271536+0.000214859j -0.00877058-0.000308876j -0.00773878-0.000394177j -0.0111131+0.00891288j 0.00241353-0.0203005j 0.00216908-0.0226633j 0.00754156+0.0107222j 0.0148271-0.0195225j 0.0161338+0.0113525j -0.00969862-0.00906884j 0.0152718-0.0298191j 0.000305511+0.00600052j -0.0162807-0.0179018j -0.00232278+0.0190536j 0.0100851+0.01332j 0.00564083-0.0166054j 0.00270146-0.000939995j -0.00733951+0.00598083j 0.00902125+0.0134025j 0.0089191+0.0198218j 0.00387754+0.00329442j 0.0166521-0.00385275j 0.0192268+0.00230889j 0.0213883-0.0306662j -0.00241935+0.00698353j 0.0272612+0.0437023j -0.0183707+0.0014978j -0.00422808+0.0165347j -0.0186949+0.012808j 0.0130546+0.000752093j 0.0289934+0.0271664j 0.0211167-0.0261624j -0.005868-0.00230855j 0.0124296-0.00143269j 0.00300611+0.0241241j 0.0415222+0.016763j -0.00791183+0.0100638j 0.00361463+0.0230869j 0.045178-0.0440709j 0.00408766-0.00807188j 0.0232314-0.0249828j -0.00738298+0.00357214j -0.0270633-0.0287135j -0.00694591+0.00514444j -0.0139293+0.00351342j -0.00799367-0.0241608j -0.00876793+0.0120647j 0.0472331+0.000606314j 0.0313497-0.00253663j 0.0435395-0.0279161j -0.00455195-0.00604146j 0.000272515-0.0135374j -0.000573627-0.0183549j -0.00204434-0.0215683j -0.00973156-0.00676013j -0.0102796+0.00964104j 0.0393778-0.0221152j 0.0442901+0.0452676j -0.0436485-0.037981j -0.0256457-0.0287646j 0.0811084-0.0608139j 0.0345805+0.0164675j 0.0976648-0.0386418j 0.000615224-0.00543848j -0.0203266+0.0117185j 
-0.0249033+0.0118787j -0.00327709-0.0208416j 0.0385828-0.0162808j 0.00812756-0.00947257j 0.0509406-0.00230302j 0.00828842+0.0194266j 0.00932984+0.0246774j 0.00851318+0.0117315j -0.0190699-0.00104115j -0.0159799-0.0319888j -0.013643-8.70616e-05j 0.00830478-0.0104345j 0.0117022+0.0104161j 0.00664689+0.00309533j -0.00746863+0.0124972j -0.0280174-0.0117091j 0.000455089+3.81942e-05j -0.0158621+0.000687544j 0.0115359+0.00879612j -0.00185189+0.00100846j -0.00259553+0.0102008j 0.00269183+0.00238723j -0.0129329-0.00233547j -0.0295867+0.000562587j -0.00527392+0.00275218j 0.021917+0.00421396j 0.000195138-0.0128713j -0.00387133-0.0273664j 0.00188978+0.00290932j -0.0129135-0.00839304j -0.00370199+0.0199917j -0.0155786+0.00496949j -0.00712793-0.00161271j -0.0113711+0.00302735j 0.0167301+0.0211537j -0.0167075-0.00633568j 0.0138889+0.00460664j -0.011716-0.00775366j 0.00772382-0.00781012j -0.00907943-0.0179048j 0.00612189-0.00405962j -0.00692526+0.000796387j -0.012426+0.00484737j -0.00538203-0.005971j -0.00275886+0.0018193j -0.00807319+0.00936348j 0.0227649-0.00795262j 0.0196629+0.0209475j 0.00278486-0.0179271j 0.0115649+0.0115161j 0.0103461+0.00957755j 0.018783-0.0108715j -0.00824086-0.0100744j 0.00665668-0.00911986j -0.0120053-0.000614373j 0.00785264+0.00296227j -0.020244-0.0174344j 0.000956471-0.011969j 0.0319706-0.00451454j -0.0148766+0.0181204j -0.016343+0.035565j 0.0014381-0.0349159j -0.00567668-0.0311277j 0.0304653-0.0270944j -0.00813386-0.0126879j -0.00148273+0.0108948j -0.0117958-0.0171079j -0.00259186-0.0128364j -0.0131161-0.0239629j 0.00269465+0.00805991j 0.0225781-0.0101166j -0.0262255+0.0015439j -0.0291918-0.000469376j 0.0217922-0.0290597j -0.0105979-0.0272253j 0.0325006+0.015144j 0.0174201+0.014737j -0.00389919+0.00585932j 0.0267986-0.0235392j 0.00477679-0.0571331j 0.0289158+0.0128794j -0.0171769+0.0110195j -0.000204081+0.0213331j 0.0238471+0.0158347j -0.00661224+0.00417831j 0.0101288+0.00916899j -0.00642086-0.0124194j -0.0444621+0.0131759j 0.0182051-0.00661423j 0.0182096+0.0275278j -0.0640597+0.0162066j 0.00661785-0.0364108j 0.0121487-0.0684249j 0.0512292+0.0798678j -0.0519926+0.0207049j 0.050997+0.0577872j -0.0134365+0.00894857j -0.00491677-0.00222785j 
0.0173043-0.0096323j 0.00278023+0.0123269j -0.0683521-0.00719868j 0.00675203-0.0107053j -0.064027+0.00977561j 0.0107175-0.0218234j 0.029078-0.0219784j 0.0236818+0.01195j 0.0362572-0.0112724j 0.0288221+0.0184981j 0.0245188-0.0151299j 0.0117285+0.0117763j -0.0149685-0.00540429j 0.00285882-0.00550472j -0.00711335+0.0337081j 0.0275819+0.00476004j 0.012308-0.00811033j 0.0428514-0.010623j -0.00514707-0.0271651j 0.0226201+0.00927525j -0.00697111-0.0374469j 0.0113999-0.000584659j -0.0089183+0.00119891j 0.00547017+0.0237672j 0.00772851+0.00463866j -0.000479021+0.00548911j 0.0119808-0.00442217j 0.0225814+0.0200369j -0.00590171-0.00299265j 0.0117415+0.0010262j 0.00311786-0.026278j 0.0192405-0.0141272j -0.00769977+0.00172592j 0.0194109+0.0140985j -0.0347705-0.00115612j 0.0158903-0.00565051j 0.00150222-0.0123635j 0.0106805+0.0173264j -0.0184671-0.00195405j -0.00930147+0.00183226j -0.0235107+0.0191866j 0.00284476+0.0143289j 0.0250386-0.00258547j -0.00859406+0.00224241j -0.0126745+0.0105561j -0.0107987-0.0062248j 0.00547197+0.00965477j -0.0307476+0.00840511j -0.00438592+0.0112699j -0.0171875+0.00292033j -0.0218014-0.0304549j -0.0144814+0.0213432j -0.0134719-0.0129393j -0.011629+0.0230083j -0.0132432+0.00721108j -0.0122162-0.00134715j 0.011054+0.0145061j -0.00164836+0.010745j -0.00112262+0.0104786j 0.0122323-0.0275772j 0.00607142-0.0142825j 0.0173208+0.00338052j -0.00273151+0.00548298j -0.0141885-0.0035127j -0.000612953+0.000214452j -0.0181161-0.0242147j -0.0190158+0.00601255j -0.00270252-0.0308598j 0.000762893-0.00107862j 0.00124556-0.0156236j -0.0161347+0.00349029j -0.0177499+0.0191008j -0.0463898-0.00501336j 0.0183046-0.0204175j 0.00179765-0.0218955j -0.00969403+0.0113179j -0.00672508+0.002317j -0.00390746+0.0192171j -0.00469333-0.000212493j -0.0304705-0.0124756j -0.0151568+0.0277835j -0.0214613+0.0261827j -0.00379462+0.0105931j -0.020433-0.00885169j 0.00238351+0.0209418j 0.0360284+0.00541231j 0.0245154-0.03154j 0.0706075+0.0336006j 0.0881431-0.0110504j 0.00160513-0.000363784j -0.0077+0.0729366j -0.00432632-0.017837j -0.0564784+0.00236008j -0.0367524-0.0510708j 0.00601257+0.0403439j -0.0538261-0.00808641j -0.00644714+0.0103749j 0.0130627-0.0025877j 
0.0105713+0.00821938j -0.0128822+0.0128589j 0.0143661+0.0291642j 0.00763085+0.0140892j 0.00542513+0.0275174j -0.0298996-0.031358j -0.0219819-0.0221421j -0.0380053+0.00378826j 0.00333877-0.00187236j -0.00798602+0.0105693j 0.0188262+0.0231717j 0.0034798-0.0143758j -0.00100624-0.0192157j 0.00138713+0.00346122j -0.0060407-0.0175578j -0.0196173-0.0199092j -0.0127911-0.0099891j -0.014996+0.00844585j 0.000635392+0.0037116j 0.00265539+0.0192481j -0.0035811+0.0216018j -0.00767072+0.0207167j -0.00243939+0.0106351j 0.0267276-0.0298744j 0.0222986-0.00767187j -0.00796644-0.0118946j -0.00651041+0.0109268j -0.0150199-0.0197352j -0.0116167+0.0019055j 0.0145598+0.0208118j 0.0150391+0.0155938j 0.0213816+0.0139863j -0.00777042+0.00972758j 0.00420258-0.0215569j 0.0181132-0.0228151j 0.0122871-0.010017j 0.000140402+0.000383761j -0.0135177+0.020117j -0.00781513+0.0313138j 0.0127584-0.00365504j -0.00554678-0.00566552j -0.00332877-0.0164477j 0.00720723-0.00297306j 0.00158639+0.0154398j -0.0163804-0.02529j 0.0220714-0.00437794j -0.0288652-0.0194088j -0.00452097-0.0281755j -0.00427803+0.012365j -0.000864259-0.0127146j 0.0123208-0.0166195j -0.011434-0.0158829j -0.00629897-0.0252424j -0.00860187-0.00657923j 0.0222709-0.00452978j -0.0115161+0.0009797j -0.0106702+0.020687j -0.0278379+0.00156531j -0.0476598-0.0117488j 0.0105892-0.00248275j 0.00794601-0.036483j 0.00938197-0.00230214j 0.00281522+0.0266426j -0.0299327+0.010631j -0.00504585+0.0328458j 0.023468+0.00361049j 0.00508016+0.0147857j -0.000972905+0.00882554j -0.0248496+0.000238071j -0.000313882+0.0067672j -0.00802115+0.00424402j -0.0267933+0.0180196j 0.0311845+0.00498961j -0.0262912+0.0467889j 0.00600768+0.0219918j -0.0200375-0.0113775j -0.00510474-0.013175j -0.011877-0.0161849j -0.0344237-0.00244221j 0.00951742+0.00755626j 0.0123548-0.0149812j 0.0112207+0.00827764j -0.0154975-0.027574j 0.0212741+0.00464175j 0.0242376+0.0132011j -0.0217012-0.0247507j -0.0268938+0.0198717j 0.0145624-0.0550735j -0.0385632-0.0329794j 0.016797-0.0193802j 0.0522303-0.0610942j -0.0105421+0.0371506j 0.0156656+0.0711479j -0.0611163+0.00508223j -0.0107982-0.0157592j -0.024457+0.0108143j -0.0052998+0.00712167j -0.011266-0.0116982j 
-0.00735972+0.0130241j -0.0166462-0.0055781j -0.027347+0.00554095j 0.0178242-0.0256112j 0.0117939+0.0354714j -0.0137999-0.00690342j 0.0139855+0.00562784j 0.0236825+0.0461766j 0.00659402-0.0157137j 0.0276778-0.0203797j 0.0326347-0.0283569j 0.0170922+0.00843975j -0.00743805+0.0134748j 0.0118822-0.0170643j -0.0352843+0.0251802j -0.00493321-0.0109772j 0.00855283-0.00450329j 0.0223988+0.0171204j 0.0251996-0.0150125j 0.0107371+0.0303092j 0.00225886-0.0105605j 0.00473611+0.0125418j -0.0107546+0.0107996j -0.00610255-0.0125862j 0.00333975-0.001292j 0.0306756+0.00212253j -0.00691873+1.76181e-05j 0.0050332-0.0434433j -0.0121904+0.012846j -0.00462831-0.0183039j 0.0043841-0.0016018j -0.00403884-0.002774j -0.00851936-0.0142202j 0.00427065+0.0236983j 0.0087673+0.00133552j -0.008546-0.000453401j 0.040056-0.0109527j -0.0067703-0.00915388j 0.0176029+0.0282301j -0.00146446-0.00820721j 0.00141845+0.025204j -0.0226992-0.00162855j 0.00717591+0.00618823j -0.0153814+0.0227944j 0.0310496+0.0101346j 0.032768+0.0373958j 0.0379339-0.0163988j 0.000245867-0.0116217j -0.00286071+0.00348883j 0.0116954-0.0333797j 0.00884406+0.031631j -0.000824737-0.0130715j -0.0142711-0.00116476j 0.0208517-0.00692146j -0.0140783+0.00429991j -0.0216723+0.00443892j -0.0203207+0.00796427j 0.0176491-0.0155678j 0.00292566-0.0456203j 0.0156216+0.00507772j 0.00192593+0.0195342j 0.0259491-0.0295953j -0.0334678-0.00527298j -0.00483501-0.0361267j -0.00310989+0.00515081j -0.0202435+0.00416141j -0.0122675-0.00643347j -0.0303264-0.0238149j -0.0339627-0.0139001j 0.00330935-0.0029803j 0.0108725-0.0420814j -0.0681849+0.0584193j -0.0334381-0.0234132j -0.0123216-0.0283948j 0.00974137-0.0510068j 0.059927+0.0520773j -0.0041354-0.0062082j -0.00981534+0.0201258j 0.0238141+0.0284646j 0.0112881-0.042183j -0.0414505+0.0124758j -0.0168286+0.00507734j -0.00627858+0.0243358j -0.00560829-0.00520608j -0.0247227+0.0164994j 0.0145362+0.0143918j 0.0152915+0.00876903j -0.017716+0.0398126j 0.0210333+0.0239463j -0.0169643+0.0165391j -0.0564965-0.00388421j 0.0316451-0.00633971j 0.0249978-0.0329217j -0.043184+0.0738886j -0.0240127+0.0536922j -0.0126106+0.0429413j 0.00416633+0.0346052j -0.00589175+0.00121836j 
0.0113634+0.00463171j -0.00544058+0.00820247j -0.0365475-0.00261528j -0.00980647-0.00778792j -0.0230134-0.00430662j -0.00166038-0.0114255j -0.0051026-0.007335j 0.000331173+0.00645322j 0.000289295+0.00758086j 0.0107495+0.00527138j 0.0182234-0.0185966j 0.000456827+0.0123931j 0.00166292-0.00597355j -0.00949366-0.0282304j -0.00930263-0.0115071j -0.000289119+0.024332j 0.0012923+0.00182194j 0.00276074+0.0147934j -0.000521917-0.0120335j 0.00556059-0.00320703j -0.00167377-0.0262787j 0.00977786+0.000829508j 0.0148202+0.00360217j 0.0231558-0.00534355j 0.0252724+0.0217926j 0.00329537-0.00309145j -0.00815817+0.00688959j 0.00414179+0.00193854j -0.00929193-6.68231e-05j 0.0209919-0.00146875j -0.00177118-0.0165394j 0.0156203-0.0160179j -0.00274001+0.00649082j 0.016176-0.00878872j -0.0117411-0.0123586j 0.00246234-0.00238952j 0.0102769-0.018706j 0.000760321+0.0122727j -0.00612541+0.011038j 0.00974856+0.0205047j -0.00573769+0.00508558j -0.00149684+0.00325678j 0.0151306-0.00352432j 0.00595648+0.00863096j 0.000289818-0.00803304j 0.0250837+0.00306576j -0.00775376-0.0124712j -0.00378209-0.0129784j 0.0114045+0.00796574j -0.00160938-0.019425j -0.000633293-0.00816601j -0.0184202+0.00113671j 0.000930163+0.0092141j -0.00726953+0.00069573j 0.00956141+0.000618409j -0.0263548-0.00924893j 0.0150267+0.0204439j -0.0105196-8.60898e-05j -0.0271818-0.0107871j 0.010038-0.00458901j 0.0110793-0.0267622j 0.011189+0.00518537j -0.00196397+0.0297458j -0.0194546+0.0204495j 0.000694059+0.026719j 0.00578092+0.00480482j 0.0089948+0.0204558j -0.0187036+0.00985079j -0.0310171+0.00215564j -0.000821228+0.00623517j 0.0147169-0.0120505j -0.00730358-0.0183547j 0.0506544+0.00148394j -0.00936528+0.0172479j 0.0271208+0.0357569j 0.00016303-0.00556048j -0.00308197-0.00534406j -0.00296223+0.0110358j 0.0088501+0.0467945j -0.0124052+0.0200047j -0.0096429-0.00969437j 0.0309669-0.0256787j -0.0154294+0.00712074j -0.0372933-0.0133616j -0.00676892-0.00114599j -0.0265462+0.00400088j 0.00489868+0.00202435j -0.00625427+0.0140597j -0.0298304+0.0210994j -0.0300506-0.0134435j 0.00140276-0.0170298j 0.0233066+0.0298449j 0.0155679+0.0107919j -0.0321718-0.0292253j -0.0223695-0.0130282j -0.0320706+0.0190189j -0.0121945-0.00136571j 0.00574568-0.0279557j 
-0.0113573+0.0120201j -0.0114112-0.0023761j 0.0238674+0.0242629j 0.00912875-0.0202144j 0.0229691+0.0643468j 0.00210075+0.0512439j -0.0465981+0.0213909j -0.0149914+0.0331652j 0.00415121-0.0120013j -0.000835847-0.00620912j -0.0170644-0.0671787j 0.00273674+0.0492908j -0.00979954-0.0252561j -0.0178036+0.00473374j 0.0145435+0.0193451j -0.00131914+0.0365313j -0.00710966+0.0352213j 0.00381001-0.00434548j 0.00286129-0.00201711j -0.0096712-0.00185091j 0.0162921-0.00174345j 0.0023411+0.0206104j 0.0389579+0.0499923j 0.0320319-0.0361291j 0.0195552-0.0160807j 0.00952172+0.00668292j -0.0393122-0.0186166j -0.0413947-0.0107332j 0.00206229-0.00888135j -0.026325+0.00694333j 0.00939054+0.0255639j -0.0219553+0.017769j -0.0013007-0.0263061j 0.022908+0.01647j 0.0266141-0.0094794j -0.0172912-0.0298584j 0.0473608+0.0289498j -0.013036-0.0143858j 0.0134029-0.00348624j 0.0122074+0.00526459j -0.0027505-0.00965247j -0.000909464-0.000963217j -0.0100545-0.013543j -0.0414118-0.0237507j 0.032889-0.00247808j 0.00344224+0.0120937j 0.00939012-0.0239392j 0.00542646-0.0337735j 0.0110245+0.028667j -0.00612969-0.017968j -0.0174217+0.0161668j -0.0165469-0.0247869j 0.0123248-0.0026562j -0.00673848-0.0257416j -0.0219291-0.00522886j -0.0218738-0.00142037j -0.00820704-0.00822404j 0.00178556+0.0315836j -0.0412322-0.0268517j 0.0385335-0.0179327j -0.00856815+0.0214087j 0.0280514-0.0180987j 0.00361971+0.0256333j -0.0184521+0.0164198j 0.00735715+0.00582393j -0.00775086+0.0339177j 0.000579207+0.0201321j -0.0297746+0.014081j -0.00112172-0.00352113j 0.0174344+0.0146649j 0.022614-0.0657198j 0.0394158-0.0305297j 0.032273+0.0120405j -0.0227202+0.0585839j 0.0235303+0.0290322j 0.0138613+0.000398558j -0.0732515-0.0107502j 0.00711744-0.0143495j -0.00149543+0.0292229j 0.0178429-0.0108511j -0.0320359-0.0510987j 0.0227676+0.047366j -0.0316641+0.0185418j 0.0185464-0.00874534j -5.66624e-05-0.0327175j -0.0186863-0.00869983j -0.0325274-0.0138919j -0.0390515+0.0425647j -0.070374+0.034185j 0.0272134-0.0119826j 0.0265422-0.0690354j 0.00119611-0.00231389j 0.0657641-0.0389177j -0.0790412-0.0271709j 0.00152172-0.00906893j -0.0427276-0.00380067j 0.0131637-0.00679922j 0.0095695-0.00573361j 
0.0108979+0.000307698j -0.00335316+0.00926859j -0.0288963+0.000264836j 0.0198457-0.0109405j -0.0433476+0.048822j 0.0256627+0.00425563j -0.00665959-0.0224017j -0.000478219+0.0132634j 0.0340147-0.0216924j -0.0103171+0.00541657j -0.0215853-0.0247234j 0.0210492+0.0312544j 0.0028439-0.0425124j -0.0202026+0.00710979j -0.0119297+0.0228065j -0.00378735+0.00678839j -0.0224864+0.0046121j 0.0096813-0.0247168j -0.000400977-0.0430979j 0.025274-0.00011369j 0.00817637-0.0286482j 0.0145267+0.0159418j 0.00820207+0.0212185j 0.0339605+0.0205671j 0.0564362-0.0103249j -0.00897964+0.000865954j -0.0207927-0.00862768j -0.00211011-0.0096325j -0.026738-0.00330217j 0.016565-0.00284178j 0.0116786-0.0131746j 0.0179488-0.00344267j -0.0223391+0.00313365j 0.0359+0.00250065j -0.0291801-0.0360935j 0.00380401-0.0338514j 0.0452995-0.0011547j 0.00526722+0.00646237j -0.0130798+0.0205494j -0.0193447-0.00964234j -0.0494052-0.0135891j 0.00525904+0.0302634j 0.0204751-0.00259538j -0.0276699-0.0168259j -0.00755754+0.00795771j -0.017276-0.0224376j -0.00686071+0.00319982j -0.0330028-0.00279186j -0.00481136+0.0249305j -0.037747+0.013535j -0.0534079-0.0374177j -0.0255099+0.00494235j -0.00226706-0.0318409j -0.0324362-0.0109204j 0.00476404+0.00716544j 0.00194628-0.0170825j -0.00875207+0.0239716j -0.0259773+0.0194524j -0.000838905+0.00760669j 0.0122139-0.0497865j 0.0182381-0.0133891j 0.0309178+0.0165823j -0.0224278+0.00700358j -0.0189616-0.0226527j 0.00296924-0.00826292j -0.0149372-0.0224332j -0.0149461+0.0187123j -0.0228237-0.017998j 0.0229124-0.0277083j 0.0093823-0.0183196j 0.0109197-0.0167952j 0.00607331+0.00149274j -0.024259-0.0199733j 0.0094226+0.0146174j 0.0221853-0.0342525j -0.00498283+0.0028826j -0.0639151+0.010916j -0.0162156+0.0338985j 0.0342204+0.00674791j 0.000465298-0.0312447j 0.0286871+0.0241252j 0.00610227+0.0296108j 0.0370878+0.0203217j -0.00676681+0.00550315j -0.00128819+0.0290823j 0.0409575-0.00707653j -0.00981834-0.0526905j 0.0534304+0.0491816j 0.0519302+0.00148724j 0.0415624-0.019613j 0.0512218+0.0396915j -0.0389306-0.00553797j 0.0112756-0.00811607j -0.0460929-0.0491846j 0.0177339+0.0327405j -0.0508601-0.00155375j 0.00840408+0.00664727j 0.0016475-0.00489345j 
-0.0107538+0.00483796j -0.000200185-0.00697738j 0.0130235-0.0193629j 0.00768377-0.00280503j 0.0198584+0.00146485j 0.00380423+0.00922478j 0.000583387+0.0100286j 0.0196401+0.0287039j 0.00486975-0.00111793j -0.0016345-0.0113538j -0.00460266-0.0056421j 0.0380622-0.000537004j -0.0132695+0.00189472j 0.00511397+0.00974598j -0.022792+0.00467988j -0.0166166-0.0160874j -0.00534374-0.00376857j 0.0253209-0.0125317j 0.0292489-0.00562169j 0.0261358+0.0115517j 0.0101917-0.000642977j 0.0101239+0.017866j -0.0171999-0.00326711j -0.0170548+0.0119405j 0.0228123-0.00610619j 0.0146786+0.011711j -0.0016308+0.00202127j 0.0232425-0.00962131j -0.0202591+0.0201817j -0.0121324-0.0239556j -0.00299114-0.000544159j -0.00688616+0.00803631j -0.0191266-0.00564395j -0.0118728+0.00155753j 0.0163731-0.0065913j -0.002813-0.0140644j 0.0224723-0.00435805j 0.00525869-0.0107936j 0.0214822+0.0149471j -0.0036747-0.0203144j -0.00915941-0.000115756j -0.00637973+0.00841862j -0.00900706+0.00990994j -0.00782594-0.00703624j 0.00712944+0.0164241j 0.00844983+0.00559707j 0.0259859+0.0173728j 0.00570468-0.000848882j 0.00284691+0.00291933j -0.00204644+0.00423696j -0.0183041+0.00550977j -0.00118488-0.0149066j 0.00074157-0.0135548j -0.0143632+0.000335502j 0.00561411+0.00666713j 0.0125578-0.00378286j -0.0335493+0.00335459j -0.00321376-0.00464073j 0.0217325-0.0140545j 0.00598866-0.0038673j 0.0210853+0.0336069j 0.0205988-0.00358359j -0.0236138-0.0259728j 0.00666602-0.0536955j 0.0177101-0.0166862j 0.00688998-0.0181094j -0.0163856-0.0113721j -0.0239991-0.0170474j 0.00563189-0.0441877j -0.00834374-0.0232049j 0.0117658-0.0207213j -0.0350808+0.0315225j -0.05122-0.0153963j 0.00254321-0.00256416j 0.00171844-0.0413617j 0.034729+0.0127134j -0.0132837+0.00616137j -0.000958303+0.0164742j 0.0311032-0.0177479j 0.0297806-0.0417798j 0.013294+0.0170914j -0.0331179+0.0140997j 0.0275146+0.00553229j 0.0239739+0.00558128j -0.0211094+0.0157351j 0.0330574+0.00716104j -0.0147907-0.00608635j 0.0192724+0.014346j 0.0257285+0.00263739j 0.0224519-0.00390264j -0.0185625-0.00171494j -0.0138011-0.0405455j 0.0173331-0.0201785j 0.00546254+0.0622596j -0.0188763+0.0123593j -0.00995719+0.0275056j -0.0115545-0.00275653j 0.012708+0.00307595j 
0.0049557-0.000915012j -0.00472979+0.00781393j -0.00792132+0.0121187j 0.0207442+0.00236842j -0.035163+0.0483852j 0.0185174-0.0114025j -0.0110777+0.00281583j -0.0348806+0.002717j 0.0154984-0.0156224j -0.00342926+0.010701j 0.00398348-0.022643j -0.0119985+0.0215444j 0.00331814-0.0303017j -0.00737596+0.0117398j -0.0113497+0.0373269j -0.0171052-0.0112459j 0.00230429-0.00181292j -0.025385+0.0110177j -0.0128031-0.0203717j 0.00391515+0.0357187j -0.0137733-0.0573022j -0.019375-0.00549946j 0.0101201+0.0221618j 0.0202924-0.00918602j 0.00690294-0.00117162j -0.00224624-0.0198292j 0.00552797+0.0191799j 0.0033653-0.0227451j -0.00702006-0.0217168j 0.00941876+0.0155941j 0.0252748+0.0222785j 0.0165766+0.00685243j -0.0249797+0.00867849j 0.00983346+0.0117092j -0.0350818-0.00852448j -0.0128043-0.0215751j 0.032668+0.00251314j -0.00668603+0.0218243j -0.00795326+0.00756131j -0.0098875-0.0123306j -0.0261425+0.0184119j 0.00938194-0.00216667j 0.0236032+0.00228582j -0.00364646-0.0113316j -0.0267825+0.0108973j -0.00537171+0.00496881j -0.0140692+0.00463017j -0.0274665+0.0254484j -0.0275131+0.00652571j -0.00752162+0.0335261j -0.0375296-0.036146j -0.0188329+0.00627816j -0.00695598-0.0119099j -0.0198739-0.00937477j 0.000616765-0.00644177j -0.00816556+0.00369564j -0.010412+0.00713193j -0.00917329-0.00311213j 0.0247124+0.0302504j 0.0141222-0.035746j 0.0300738-0.00850545j 0.00231791-0.0191269j -0.00656384+0.0276041j -0.00811124-0.0306402j 0.0137263-0.0387695j -0.0287055-0.0148806j -0.0289785-0.0105743j 0.0136782-0.00602761j 0.017287-0.0133451j 0.00576948+0.0113204j 0.0165949+0.00941249j 0.0079223+0.0088691j -0.0200869+0.00952709j -0.0222739-0.000279256j 0.0319858-0.0595148j -0.0236078+0.0131693j -0.00662711+0.0200835j 0.00316481+0.0108582j 0.0115221-0.030018j -0.0188586-0.00532275j 0.00783276+0.014646j -0.00854372+0.0202367j -0.0031569+0.0140954j 0.0245696+0.0288548j 0.0126745+0.0231293j 0.0224789-0.003642j 0.0155698-0.0569378j 0.00579632-0.0113121j 0.0119616-0.0179469j 0.0344842+0.0389618j 0.0360297+0.0636043j -0.058368+0.0169192j -0.00813343-0.00247825j -0.0183861-0.0399627j 0.0212828+0.0229462j -0.0262739-0.0173413j 0.00180729+0.000878007j -0.00204986+0.0123184j 
-0.0142624+0.00933002j -0.00894802-0.00979716j 0.0469984+0.0161093j 0.015704+0.0422068j 0.0456507+0.011204j -0.0311507-0.0606893j 0.0209424-0.0032115j -0.0336353+0.0112315j 0.00634798-0.0124781j -0.00161609+0.0109134j 0.0194946+0.0620315j 0.0215333-0.0557509j 0.00757533+0.0090291j 0.0253709+0.0122285j -0.0173746+0.0158243j -0.0113947-0.0601585j 0.0271717-0.0154839j 0.00535649-0.00328993j 0.00332285+0.0290124j -0.00644525+0.039973j -0.0166655+0.0534637j -0.0203838+0.0414419j -0.0689702+0.0197436j -0.015966-0.0590395j -0.0227527-0.0291514j 0.0308188-0.0152421j 0.0263797+0.0150979j -0.00798071-0.0734457j -0.0361367+0.004259j 0.0240068+0.00451765j 0.0156515+0.0510652j 0.00757777+0.0254905j -0.039136+0.0160081j -0.00939467+0.0112955j 0.0593904-0.00927154j 0.0166812+0.00455155j -0.0153483-0.00714926j -0.0360491+0.044193j -0.0151373+0.0251223j 0.0162839-0.0351979j 0.0123797+0.0138998j -0.0110656-0.0387341j 0.00798561+0.00961165j -0.00263301+0.03803j -0.0462176-0.0397465j 0.0155469+0.0121361j 0.0159609-0.00977385j 0.00865226+0.0316125j -0.030734-0.0202198j 0.0370067-0.0170698j 0.045031-0.00587491j -0.00909367-0.0399028j -0.017821-0.0517067j 0.00554769+0.0228398j 0.0324629+0.00099823j 0.0192667+0.0210135j -0.0537267-0.0127681j -0.0159627-0.0230468j -0.0294292+0.0112462j -0.00986572+0.0451142j -0.00335442-0.00336315j 0.0172269-0.0295638j 0.00884629-0.00469016j 0.00176928-0.0335677j -0.0262253+0.0161359j 0.0216219-0.032909j 0.0026986-0.0275261j 0.0159415-0.0679854j 0.0116888-0.0135876j -0.00903967+0.0118738j -0.0124532+0.0116905j -0.0848702+0.0861388j -0.0759506-0.0180757j 0.00636636-0.0435573j -0.0163439-0.0538995j 0.0290871+0.056357j 0.0257166+0.00989591j 0.0191392-0.000171227j -0.0312729-0.0875275j -0.000792152-0.087844j 0.0152371-0.012739j -0.0633879+0.0127171j -0.00683711-0.0201933j 0.0702679+0.0422895j 0.019061+0.0351898j 0.0249541+0.0106012j -0.0128443+0.0206572j -0.0115469-0.0905747j 0.0246399-0.0557086j 0.0511943+0.0569077j 0.0129411-0.0184016j 0.0170051-0.00150319j -0.0155005-0.0185998j 0.0314338+0.0998987j -0.0562+0.00794126j 0.0162229+0.034338j -0.0289572-0.000885299j 0.01187+0.017913j 
