0.0226044+0.00843002j 0.0434554+0.038168j -0.0142148-0.0209506j -0.0405334-0.0117214j 0.00693749+0.0418011j 0.0119335-0.0253848j -0.00150659+0.0411448j 0.0339375+0.0286347j 0.00121712+0.00515614j -0.0271404-0.000466026j 0.0203253+0.114563j 0.0745849-0.0203198j -0.143874+0.273673j -0.315954-0.102154j -0.0473602+0.608179j 
0.0226842+0.0534553j -0.0276454+0.0782641j 0.0563033-0.015741j 0.0411766+0.0410637j -0.0771745+0.0595094j -0.0617855-0.0202127j -0.0297083+0.0447513j -0.0846193-0.0640071j 0.084337-0.065954j -0.088239+0.122138j 0.234937+0.0708042j -0.302838-0.166775j -0.245106-0.0887802j -0.00744935+0.285777j -0.229823+0.0477055j 
-0.0513169+0.000111471j -0.104919-0.0722851j 0.0792725+0.0222695j 0.0851223+0.073258j -0.0345622-0.0757238j -0.145222+0.0367085j 0.0219017-0.071251j -0.083841-0.102811j 0.101597+0.0448571j -0.149395-0.0835809j -0.0631585+0.0158912j 0.0140599-0.0226165j -0.134674+0.0760496j 0.0369005+0.181861j 0.0680798-0.262903j 
0.00983968-0.082527j 0.0893956-0.0171179j -0.00621224-0.0127907j -0.0494009-0.151826j 0.208785+0.0638585j -0.0705719-0.0616853j 0.0702464-0.069389j 0.227885+0.215372j 0.0430237+0.0821792j 0.0378918+0.0427945j 0.0380703-0.15608j -0.12342+0.0107901j -0.183723-0.0186303j 0.112014+0.0776618j 0.260158-0.0911466j 
-0.0205482+0.0169774j -0.113956+0.00558835j 0.11837-0.031025j 0.194682+0.036678j 0.0189498+0.0235863j -0.177966-0.0597704j 0.0603155+0.00663586j -0.134743-0.0487507j -0.00958134+0.152203j -0.0787859-0.0849927j -0.0423-0.108209j 0.186932+0.033114j -0.320925+0.0161036j -0.0800444+0.218303j 0.262721+0.207113j 
0.0243597+0.0302114j -0.0459886+0.111899j -0.0114609+0.0424207j 0.0973367-0.0800709j 0.106309+0.0728597j 0.100931+0.0283872j -0.0341277-0.14222j 0.00840697-0.0365048j 0.0182099+0.0867813j -0.079382+0.136795j 0.285552+0.0459371j -0.110399-0.0401864j -0.0522122-0.118186j 0.102256+0.130853j -0.180408+0.0290218j 
-0.0699898-0.0829375j -0.07952-0.0763269j 0.0854102+0.120766j 0.0925735-0.107955j 0.0735173-0.00539424j 0.0515856-0.0128524j -0.142317-0.190463j -0.0995359+0.031048j -0.00936413+0.0632408j -0.143694+0.0291667j -0.00756629-0.0172844j 0.292921+0.217394j 0.229956+0.0734816j -0.0442391-0.304442j -0.0269016+0.147023j 
0.0500602-0.0429723j 0.0573333+0.0937311j 0.14111+0.0374191j -0.0148364-0.178425j 0.0525167+0.219225j -0.0641-0.237885j 0.0242422-0.0462892j -0.127675+0.187404j 0.114193-0.148992j -0.273232-0.0337176j -0.109912-0.110638j -0.0908779-0.0228386j 0.101018+0.0563677j 0.189203-0.161818j 0.0733206+0.0557118j 
-0.0477504+0.0432826j -0.137893-0.0681174j 0.146745-0.0137184j 0.0955907+0.160097j -0.0622333-0.0493114j 0.00906108-0.229428j -0.0218552-0.154072j 0.235953-0.0681421j 0.215444-0.108116j -0.325998+0.00724835j -0.0668897-0.074449j 0.0191524+0.0887196j -0.0116788+0.160128j 0.00824329+0.165829j -0.12988+0.0721049j 
0.0129179-0.0666567j -0.0260082+0.0658097j 0.0698594+0.0460789j 0.142744+0.00243315j -0.0702684+0.125743j 0.00897742-0.180126j -0.0556486+0.137933j 0.225204+0.0161484j -0.159124-0.125081j 0.225826+0.155714j 0.0161038-0.196077j -0.0399449+0.0268305j 0.0700535-0.441505j 0.206112+0.0951434j 0.024946+0.028307j 
-0.0406133-0.104156j 0.0118102-0.0201242j 0.0318224+0.232099j 0.0986631-0.256141j -0.026731+0.241979j 0.0783809+0.108927j 0.0200983-0.0156173j 0.560254+0.00127041j -0.0125641-0.000658955j 0.0631575-0.109573j 0.0290636+0.259887j -0.101298-0.251451j -0.0365625+0.257886j 0.000325738+0.00949534j -0.040694+0.106174j 
-0.00767853-0.00920685j 0.0601201+0.000234951j 0.120959+0.0618321j -0.0578415-0.183151j -0.0917081-0.262371j 0.18473-0.055258j -0.281973+0.0661785j 0.0118774-0.000201128j 0.299517+0.0848962j 0.167648+0.0563298j 0.0942253-0.236766j 0.0512106-0.187657j -0.130415+0.10007j 0.0432634-0.0125686j -0.00849186+0.0123902j 
0.0250102-0.0228427j 0.199646-0.0976734j -0.080352-0.458574j 0.0396011+0.0610881j -0.00748185-0.190754j 0.209064-0.157838j 0.175699-0.128369j 0.202284-0.01381j 0.0307114+0.130709j -0.00533082+0.184125j 0.0637655+0.128518j -0.140263+0.0357218j -0.0582979+0.023183j -0.031874-0.0632747j 0.0143756+0.0598858j 
0.132701+0.0689168j 0.000892481+0.170123j -0.0160843-0.16408j 0.020362-0.0914483j -0.0605963+0.0703768j 0.319422+0.00809827j 0.214641+0.104072j -0.240401-0.0705509j -0.0241209+0.155309j -0.00922444-0.219155j -0.0634064+0.0600548j 0.091422-0.164333j 0.141773+0.0161599j 0.139092-0.0736869j 0.0502704+0.0450744j 
0.0688619-0.0584762j 0.192132+0.15501j -0.100466+0.059088j 0.089109-0.0230727j 0.112155-0.113242j -0.281937+0.0326099j -0.117905-0.153109j -0.118433-0.183243j -0.0198196-0.0477086j -0.0625987+0.243863j -0.0491856+0.223391j 0.00894043-0.173728j -0.146584+0.0406149j 0.0522604-0.0944382j 0.0491224+0.0416202j 
-0.0264237-0.147897j -0.04472+0.30535j -0.23111+0.0763642j -0.292421+0.216351j 0.00551927-0.0135999j -0.144721-0.0285079j 0.0103395+0.0618207j -0.0947822-0.0322378j 0.142316-0.19054j 0.0529445+0.012684j -0.0717528-0.00297875j -0.0932193-0.108635j -0.0854303+0.120936j -0.0791193+0.0764967j -0.070151+0.0835535j 
0.181085+0.0287667j -0.102171+0.129757j -0.0507023+0.118815j -0.112408+0.0391844j 0.284574-0.0454209j 0.0784547+0.136721j 0.0166855-0.0864149j -0.00787974-0.0379045j -0.0346547+0.142958j -0.101148+0.0302601j 0.104849-0.0734828j 0.0992274+0.0788736j -0.0120023-0.0433545j 0.0466235+0.111537j -0.0239199+0.0301325j 
0.260863-0.207541j -0.0804956-0.218712j 0.319344+0.0159534j -0.189341+0.0346625j 0.0398511-0.107374j -0.080074+0.0861865j 0.0104363+0.151123j -0.134367+0.0499895j -0.0576045+0.00462993j -0.17701+0.0597939j -0.0158858+0.022846j -0.195953+0.0379041j -0.118164-0.0309345j -0.115053-0.00558157j -0.0208015-0.0174799j 
0.261586+0.0894629j 0.1119-0.0774083j 0.185182-0.0189451j 0.123256+0.0116803j -0.0368946-0.15565j 0.0383194-0.0426404j -0.0439625+0.083578j 0.224003-0.214715j -0.0713284-0.0685142j -0.0722469+0.0624304j -0.210344+0.06744j 0.0464535-0.152649j 0.00580646-0.0125921j 0.0895777+0.0162702j 0.0100656+0.0825074j 
0.068679+0.263084j 0.0370663-0.182163j 0.134911+0.076127j -0.0151802-0.0224429j 0.0628963+0.0149726j -0.150342+0.0838564j -0.100285+0.0435899j -0.083114+0.101118j -0.019473-0.0724128j -0.14566-0.0369713j 0.0350331-0.0769071j -0.0849541+0.0723572j -0.0793685+0.0221424j -0.104976+0.0725973j -0.0514248+0.000146611j 
-0.229793-0.0476381j -0.00714352-0.28609j 0.245629-0.0894083j 0.304684-0.166636j -0.231298+0.067898j -0.0881319-0.122314j -0.0823259-0.0657464j -0.0862831+0.0655072j 0.0314913+0.0450842j -0.0621962+0.0198258j 0.0782182+0.058644j -0.041219+0.0424119j -0.0566318-0.0158727j -0.0280529-0.0781582j 0.0226108-0.0535252j 
-0.0472876-0.608239j -0.316081+0.101709j 0.143681+0.273706j -0.0742286-0.0226984j -0.0218415+0.114233j -0.027229-0.000102811j -0.00145015+0.00536105j 0.0338897-0.0276585j 0.00129726+0.0412589j 0.0116219+0.0256705j -0.00740285+0.0420428j 0.0404762-0.0111867j 0.0140636-0.0209583j 0.0434535-0.0382257j 0.0226298-0.00846691j 
