0.00404249-0.00118709j 0.00129504+0.00494658j 0.00249013+0.0042559j 0.00323238-0.000699176j 0.00152284+0.00151606j -0.000791023+0.00272879j 0.00400976-0.000315314j 0.00330034+0.00198652j 0.00029308+0.000254088j 0.000181796+0.001548j -0.00257349+0.00036588j -0.00285251+0.00377141j 0.00371883+0.00134941j 0.000783447+0.00127398j -0.000441552-0.000130129j 0.000413994+0.00022557j 5.13725e-06-0.00151669j 0.000897787+0.00167924j 0.000642589-0.00265114j 0.000733609-0.0022201j 0.000440097+0.00134388j -0.00171089-0.000963474j 0.00112796+0.00230567j -0.000435911+0.000426085j 0.000461029-0.000366846j -0.000212261+0.000891523j 0.00083054-0.000720433j 0.000214125+0.000543188j -0.00225876-0.000925998j -0.00085348+9.32809e-05j -0.000163977+0.0002693j 3.83528e-05-0.000604586j 0.000103904+0.000911027j 9.34466e-05-0.000709188j -0.000254721-0.00126119j 0.000103881-0.000551557j 0.00162817+0.00304846j -0.000319939-0.00265628j 0.000944234+0.00123546j -0.00342807-0.000374968j 0.00150731-0.000668888j 0.000463304-0.00170314j -0.00157236-0.000793501j 0.00169487-0.002813j 0.00255811+0.00163758j -0.000901677+0.000533122j 0.00179923+0.00216001j 0.000269686-0.0025445j -0.0031893-0.00028915j 0.000615881+0.000837621j 0.000274153-0.00212289j -0.000907218+0.000920715j -0.0028777-0.00162982j 0.00199762+0.000508851j 0.0106933-0.0024152j -0.00292163-0.0122056j 
0.00478887-0.00162602j 0.00157938+0.00573173j 0.00286916+0.00420064j 0.00306033-0.00126417j 0.00199957+0.00154273j -0.000595887+0.00288473j 0.00378685-0.000531626j 0.00381433+0.00127461j 0.000649333+0.00045575j 0.000331572+0.00129779j -0.00250332+0.000279038j -0.00260269+0.00389746j 0.00358545+0.000729485j 0.000609223+0.000874929j -0.000274562-0.00044737j 0.000173906+0.000710564j -0.000197883-0.000871283j 0.00101661+0.00138157j 0.00121917-0.00244394j 0.000485462-0.00208706j 0.000592137+0.00110969j -0.0014337-0.000747141j 0.000246655+0.00209338j 0.000391173+0.000748015j 6.32552e-05+1.64907e-05j -0.000384739+0.00172348j 0.000134862-0.000853835j -0.000264708+0.000750155j -0.000966842-0.000767846j -0.000127228-7.65774e-05j 7.34396e-05+0.000870999j 0.000590727-0.000494654j 0.000481419+0.000760495j 0.00109117-0.00151503j -0.000335241-0.00189312j 0.000335697-0.000666084j 0.00198366+0.00363732j -0.000433895-0.00353005j 0.000983769+0.00172241j -0.00426604-0.000662222j 0.00224539-0.000608825j 0.00104337-0.00199269j -0.00175547-0.00085435j 0.00230373-0.00358993j 0.00354633+0.00209081j -0.00146008+0.00100078j 0.00205941+0.00234384j 0.000475697-0.00249255j -0.003119+0.000250785j 0.000127985+0.00174994j 0.00107892-0.0014242j -0.000775448+0.00108989j -0.0037558-0.00156828j 0.00214576-0.000199197j 0.0114728-0.00219473j -0.0024648-0.0127201j 
-0.0043858-0.00139174j 0.00357166-0.00479743j 0.0029127-0.00292865j -0.00012557-0.00127311j -0.00106368-0.000245572j 0.000702623-0.0019346j -0.00221171-0.00166281j 0.00114185-0.000342558j -0.0011025+0.00146058j 0.000322048-0.00110486j 0.00430824+0.000808521j 0.00161428-0.00187399j 0.000118197-0.00126403j 0.0010441+0.000170397j 0.000965002+0.00140267j -0.00136611-0.000715249j -0.00224157-3.59259e-05j 0.00133854-0.000427207j -0.00145616+0.00253888j -0.00247948+0.00228538j -0.000631215-0.000322958j -0.00145681+0.0016082j 0.000621774-0.00122935j -0.000910497+0.000263497j -0.00015415+0.000590853j 0.000130124+0.000119096j 0.000595342+0.000607858j 0.000551618-0.00130677j -0.00242995-0.000107501j 0.000141125+9.79399e-05j 0.000402859+0.000735826j 0.000529532-0.000395147j 0.000247684+0.000103552j -0.00166214+0.000955166j -0.00177044+0.00209228j -0.00208936+0.00128j 0.00117419-0.00333901j 0.00159842+0.0021449j 0.00299043-0.000957238j -0.000289626+0.000801529j 0.00104425+0.00129534j -0.0025093+0.00173328j 0.000558013+0.00136385j -0.00223455+0.00296547j -0.00164139-0.00122457j -0.00082731-0.00120358j 0.00227171-0.00124867j -0.00133206+0.001532j -0.00101251-3.9107e-05j -0.00141663-0.00146826j -0.00231685+0.00164955j -0.000734637-0.00163065j 0.00289508-0.00329201j 0.00577968+0.00259562j -0.00760191-0.00337007j -0.00631079+0.00729629j 
-0.00254716-0.00102358j 0.00116266-0.000160601j -0.00187198+0.00205651j -0.000718518+0.00376014j -0.00272272-0.0015826j 0.00098266-0.00278112j -0.00119773+0.000952526j -0.004412+0.00294495j -0.00229667-0.00127432j -0.000190614-0.000757583j 0.00144682+0.00281408j 0.001033-0.00422828j -0.00298231+0.00280662j -0.00249819+0.00116678j -0.00143689+0.00116363j -0.00053794-0.00164895j 0.00105026-0.00162775j -0.0009796+0.00123538j -0.000716724+0.00127757j -0.00207498+6.35913e-05j -0.00142903-0.00125747j -0.000667863-0.00338905j -0.00115274-4.72256e-05j -0.000176245-0.00200166j -0.000568924+0.00080157j -0.00106638+0.000172763j -0.000394549+0.00246831j 0.00100455+0.000567413j 0.0019314-0.00450913j 0.0004877-0.000914125j -0.000173917+0.00062095j 0.00155076+0.00130796j -0.000808336-0.000838889j -0.00136349-0.00141039j -0.00127803-0.000937266j -0.00181723-0.00141007j 5.14017e-05+0.000676484j 0.000725032+0.00391471j 0.00025959+0.00343025j 0.00258877-0.0040358j -0.00101162+0.00303743j -0.00116881-0.00156858j 0.00059079+8.64118e-05j -0.00173231+0.00129442j -0.00302718-0.000542963j 0.000567294-0.00219555j -0.0023265+0.00312912j 0.000596443+0.000978614j 0.00323262-0.00411721j 0.00017383-0.00125205j 0.0010691-0.00107085j 0.00134505-0.00374386j 0.00949857+0.00116157j -0.00415788+0.0103589j -0.00475319+0.00295713j 0.00478896+0.000968083j 
-0.00556014+0.00284246j -0.00153706-0.0068838j -0.000173367-0.00396759j -0.000664681-0.000890515j -0.00123197+0.000700307j -0.00149618-0.00180367j -0.00267594+0.000309339j -0.000229638-0.000781248j 0.000661003+0.0016194j -0.000849369-0.000496069j 0.00340216-0.00284832j -0.000596272-0.00197892j -0.00146054-0.000685447j 0.000738154-0.000186156j 0.00119493+0.000301101j -0.00161936-7.30215e-05j -0.00148451+0.00177465j 0.000881502-0.00107155j 0.000735465+0.00214002j 0.000837077+0.00314086j 2.01106e-05+0.000950413j 0.000993519+0.000921518j 0.000874309-0.000615464j -0.00127019+0.000417611j 0.000151374-0.00030022j -0.000423874-0.00090973j 0.00166424-0.000309834j 0.000211416-0.00104948j -0.00206038+0.00272762j -0.00124728+0.000166797j 0.000561611-0.000912849j 7.3774e-05-0.000660685j -0.000249457-9.75305e-05j -0.00156738+0.00303394j -0.00192285+0.0030322j -0.000537719+0.00327795j -0.00135411-0.00196815j 0.00364742+0.000443915j 0.00242708-0.00386697j 0.000425984+0.000351165j 0.00201624-0.00130646j -0.00135975+0.00263812j 0.00111482-0.000269249j 0.000901649+0.00386068j -0.00299491+0.00122278j -0.0012172-1.26775e-05j 2.8918e-05-0.00200708j 0.000913365+0.00187195j -0.000431009+0.00145617j -0.00134843-0.000166792j 5.90688e-05+0.00118434j -0.00351804-0.000861605j 0.000198415-0.00509193j 0.0068974-0.00195406j -0.00776364+0.00356004j 0.00153776+0.00996715j 
-0.00088242-0.00206755j 0.000784192+0.00105043j -0.00324911+0.00202529j -0.00166185+0.00445151j -0.00201473-0.00201081j 0.00142451-0.0025438j -0.000500848+0.00143478j -0.00422523+0.00240955j -0.0020448-0.0013857j 0.000159272-0.000485333j 0.00033842+0.00298308j 0.000408834-0.00441109j -0.00213812+0.00262923j -0.00195655+0.00032957j -0.00182651+0.00034856j 0.000200662-0.00149157j 0.00169146-0.00212255j -0.0015754+0.00146101j -0.000524097+0.000822012j -0.0016188-0.000246765j -0.0026349-0.000751565j 0.000322314-0.000507694j -0.00242569-0.000728715j 0.00010945-0.00190215j -5.85178e-05-0.000204782j -0.000971183-0.00152435j -0.00138898+0.00239331j 0.000395402+0.00045106j 0.00150983-0.0046428j 0.00157375-0.000976763j -0.000981652+0.000131058j -0.000114069+0.001228j -0.000270336-5.47454e-05j -0.000675003-0.00153074j 0.00235454-0.00369675j -0.00116216-0.00257859j -0.00238668+2.29082e-05j -0.000198656+0.00480412j -0.00196095+0.00425415j 0.00368195-0.00373456j -0.00210558+0.00472587j 0.00128147-0.000475833j 0.00172397+0.000240546j -0.00108757+0.00142611j -0.00252346-0.00129996j 0.000508534-0.00253949j -0.00356832+0.0017323j 0.000348355+0.00168483j 0.00243249-0.00455327j -0.000183015-0.00143646j 0.00133858+0.00140065j 0.0041133-0.00381556j 0.00814076+0.00330428j -0.00763538+0.00921574j -0.00458337+0.00347496j 0.00608019+0.00166922j 
0.00149872+0.00225683j -0.00422158-3.37274e-05j -0.00361152-0.00172666j -0.00317189+0.00089634j 0.00209347-0.00073542j -0.000145492+0.0016333j 0.00185275+0.00270401j -0.00132902-0.00139473j 0.00203372-0.00129131j -0.000507042+0.00011284j -0.00287239-0.0026602j -0.00239982-0.000957319j -0.000280674+0.00112241j -0.0015648-0.00205235j -0.00133987-0.00182103j 0.00145321+0.000436636j 0.00196876-0.000952848j -0.000853306-3.63439e-05j 0.00227109+3.50404e-05j 0.000781379+0.000537282j -0.00244493-0.00167079j 0.00237682-0.000309466j -0.00249822-0.000761668j 0.00206068-0.000791118j 0.00153092+0.00016058j -0.000246433-0.000374811j -0.00148569+0.000426332j -0.000896893+0.000475111j 0.00113642+0.000467424j 0.00118812-0.000869046j -0.000843693-0.000154773j -0.00114489+0.000140006j 9.79908e-05-0.000472385j 0.00237333-0.000834879j 0.00206505+0.000845179j 0.00222608-0.00173982j -0.00265821-0.00191509j -0.00103819+0.000669798j -0.00124951+0.00054324j -0.00150892+0.000237072j 0.00160744+0.00116478j 0.00393163+0.00102611j -0.000763679-0.000749782j 0.00175454+0.00162668j 0.00245856-0.00020638j -0.000173566-8.36905e-05j -0.00104051-0.00204173j 0.0016055+0.00257269j -0.0008526-0.00368496j 0.00226081+0.0023045j 0.00457304+0.0043984j 0.004521-0.00121582j -0.00386124+0.00234386j -0.00420905-0.00384712j 0.00211722+0.00634928j 0.00731889+0.00141927j 
0.00270395+0.00407899j -0.00152162+0.00146062j 0.00286934+0.000581182j 0.00191724-0.00229448j 0.00127653+0.0034546j -0.00281016+0.00148176j 0.000164242+0.00231888j 0.00316017+0.00255409j 0.000903394+0.000460175j 0.000572885+0.000731127j -0.000242619-0.00158465j -0.00076388+0.000277813j 0.00168459+0.0028418j 0.00274282+0.00088138j 0.00054121-0.00079937j 0.00073881+0.00270317j 0.00223685+0.000288514j 5.81723e-05-0.000569316j -0.0008352-0.00139735j 0.000381428-0.00155242j 0.00247296-0.00323139j -0.00158703+0.0017456j 0.00183133-0.00193692j 0.000464125+0.000461802j -0.00013327+0.0013571j 0.000984685+0.000312435j -0.000416619-0.00203087j 0.000757188-0.000462393j 0.000377605+0.000163127j 2.87474e-05+0.00124974j -0.000659252-0.00296106j 0.000530652-0.00220136j -0.000869939-0.000184554j 0.00127927+0.0019409j -0.00160809+0.00062435j 0.00259418+0.00106797j 0.00516752-0.000297287j -0.00300903-0.00199199j -0.00113877+0.000515144j -0.00353212-0.00394493j -0.0026273+0.000105921j -0.00153947+0.00188342j -0.00064414-0.00191102j -0.00236137-0.00193702j 0.00346501+0.00452669j 0.00122867+0.00124553j 0.0030416+0.00304291j -0.00283981-0.00083671j 0.0037397-0.0053423j 0.00123623+0.00195331j -0.00647049-0.00124502j 0.0014703+0.00683876j -0.00391391-0.00423715j 0.00284659-0.00240341j 0.004297+0.00333844j -0.0011616-0.00611051j 
-0.00115199-0.00220968j 0.00328318-0.00107119j 0.00151984-0.000715467j -0.00108266+8.77336e-05j 0.00128898-0.000552267j 0.000889728+0.00157591j 0.00199393+0.00236077j -0.000468819-0.00047941j 0.000363497+0.000868835j -0.00141234-0.000983412j 0.00152646-0.000601642j -0.000599458-0.00329635j -0.000277297+0.000227614j -0.00104514-0.000261277j -5.07755e-05-0.000954325j 1.19319e-06-0.000698762j 0.000572712-0.00104746j 0.000257824+0.0016378j 0.00200292+0.00178162j -0.002781+0.00167342j -0.00277543-0.0018249j -0.000968329-0.000391819j -0.00132683+0.000555306j 0.00116886-9.31451e-05j 0.00138498+0.00131091j -0.000261329+0.00109267j -0.00167191+0.00059249j -0.000270323+0.000704908j -0.00146135-0.00427533j 0.00169193-0.000687065j -0.0011736+0.00262758j -0.000463974-0.00115428j 0.00139863+0.00245197j -0.000557049-0.00050288j -0.00154297-0.00165896j -6.08011e-05-0.000113486j 0.000529312+0.000425293j 0.000290888+0.00188173j 0.00364053+0.00374252j -0.00149697-0.00227778j 0.00284143+0.00538263j 0.000169358-8.90459e-05j -0.00166854-0.00212311j -0.000356733+0.00110725j -0.000396149+0.00119914j -0.00149707-0.00170094j 0.00256695+0.00190001j -0.000120591+0.000794207j -0.000366793-0.00298011j -0.00250238+0.00448277j 0.00321694+0.00708507j 0.00395184-0.0024523j 0.00249082-0.00195243j 0.0016383+0.00423079j -0.00170179+0.00227906j -7.47793e-05-0.000227089j 
0.00110087+0.00125902j -0.000583498-0.00137579j -0.000423036-0.000954698j 0.000989949+0.0014987j -0.00116819-0.00108554j 0.00160583-0.0023981j 0.00144355-0.00284107j 0.00122458+0.00311632j -0.00134276-0.00174124j 0.000127517+0.0017755j -0.000450164+0.00123749j -0.00197352-0.000680671j 0.0015268+0.002627j 0.00166823+0.00139638j -0.00123424+0.00146475j 0.000708319-0.00108007j -0.000361054-0.00277961j 0.000292285-0.000629174j -0.00241536-0.000790616j 0.000520374+0.00134397j -0.00361713+0.000187993j -0.00109564-0.000119173j 0.00159997-0.00226175j -0.00186222-0.00255518j 0.00236131-0.000938988j 0.000857401-0.000466187j 0.00119585+0.00248757j 0.00153531-0.000757904j -0.00290804+0.000780916j -0.00131644-0.00103172j 0.000114533-0.000485688j -0.000738673+0.00118012j -0.00173416-0.00306414j -0.000265352+0.00115666j -0.00103251+0.00454734j 0.000288075-0.000961676j 0.00219237-0.00472671j 0.00128115+0.00391658j 0.00273161-0.00297585j -0.00406976-0.00131358j 0.00161606-0.0023001j -0.00234575+0.0011779j -0.00195581+0.00326713j -0.0018246+0.00313866j 0.00196903+0.000533819j 0.000344506-0.000489518j 0.00276771-0.00115514j -0.000565301+0.00243968j -0.00480357-0.0072704j 0.00718123-0.0033195j -0.000220083-0.00518535j 0.000328942-0.00474082j 0.00177599-0.00240502j 0.00277195+0.00406775j 0.00236425+0.00102658j -0.00348642+0.000170813j 
0.00232892-0.00268913j 0.000868717+0.00062431j -0.000903735-0.000733406j -0.000854328+0.000834119j 0.000176712+1.26125e-05j -0.00239167-0.000939907j -0.00158809+0.0028687j 0.00251457-0.00098566j -0.00298672+0.000576343j 0.00133684-0.00209411j 0.00270402+0.000756098j -0.00177281-0.00293102j 0.00327633+0.00120953j 0.000141139-0.00271085j 0.000143792+0.00138604j 0.00031534-0.000705621j -0.000474469-0.00196103j -0.00175578+0.000829317j 0.000539337+0.004569j -0.00185294+0.000739259j -0.00467728-5.66174e-05j -0.00157281-0.000639218j -0.00595862-0.00276237j -0.00202016+0.00079182j 0.000586893+0.000161474j -0.000959656+0.00206345j 0.000801361+0.00050239j -0.0015398-0.0018803j 0.00195597-0.00374906j 0.00103042+8.57538e-05j -0.00326684+0.00199181j 0.0012161-0.00158843j -0.00312861+0.00263074j 0.00118807-0.00125007j 0.00290364+0.000903172j -0.00130948-0.000435872j -0.00399082-0.00378215j 0.00347156+0.00171654j -0.000793571+0.00237597j -0.00390758+2.39242e-05j -0.00132173+0.00439846j 0.00174724+0.00232423j 0.00181424-0.000121912j 0.00182397+0.00302139j 0.00181437-0.000383706j -0.00109101-0.00142913j 0.00113811+0.00151646j 0.00336393+0.00242108j -0.00862947-0.00417772j -0.00480674-0.00461723j -0.00470031+0.00762937j 0.00230749-0.00344355j 0.00146948-0.00302277j 0.00310003+0.00445256j 0.000750696+0.00330402j 0.00258579+0.002082j 
