-0.0113523-0.0242338j -0.0222248-0.0631933j 0.01861-0.0114974j -0.0404282+0.0137871j 0.146943-0.0285951j -0.00314259-0.0191578j 0.00468321+0.00378208j -0.0643907-0.047777j -0.0124972+0.0204302j -0.00545198+0.00208496j 0.0748818+0.076274j -0.0196003-0.010205j 0.0786853+0.0129403j 0.229002+0.551788j -0.593791+0.253259j -0.0114354+0.0228329j 0.0267733-0.00871784j 0.0618609+0.0385339j -0.00393652+0.00380664j -0.0678632+0.00898652j 0.00914423-0.00237937j 0.016992+0.0332491j -0.0249634+0.0142751j -0.0265011+0.0195908j -0.00291744+0.00405593j 0.047336+0.0207246j 0.00439218-0.00997103j 0.00549569+0.014437j 0.0662089-0.0186136j -0.0560266+0.0166057j -0.0275686+0.000383998j 0.0453589-0.0631593j 0.259469-0.00646684j -0.0145522+0.00939417j 0.00335002+0.121586j -0.260736-0.0347297j 
-0.00765263-0.0343578j 0.00110781+0.0285783j 0.0484681-0.0115301j -0.112844+0.00984795j 0.059148+0.0104576j -0.0200186-0.0234207j 0.0115718+0.0235439j -0.139622-0.0847908j -0.0154725+0.0666539j -0.00836142+0.00636099j 0.370055+0.505186j -0.0470154-0.108174j 0.528406-0.419834j -0.137116-0.116521j 0.130643-0.0178487j 0.0507979+0.0339916j 0.0314142-0.0198709j 0.0765754+0.0481313j 0.00247877+0.0106912j -0.0876206+0.0231818j 0.0212918-0.00415481j -0.0091438+0.0352385j -0.0173149+0.0338917j -0.0291508+0.0168519j 0.0155095-0.0382707j 0.0584056+0.0194718j 0.0295091+0.018564j -0.0586593-0.0117515j 0.132561-0.030941j -0.0141336+0.0310045j 0.0093923-0.0377429j -0.0170638-0.0712277j 0.00334595+0.0190162j 0.0726851+0.0477585j 0.00240959+0.00697655j -0.0303923-0.0106023j 
0.0109477+0.0799237j 0.00541351-0.0925212j -0.0313885+0.0117677j -0.058677+0.00292391j -0.0421743-0.00536049j 0.0160323+0.0101346j 0.00650831-0.011659j 0.0308037-0.00621535j -0.190666-0.207612j 0.468757+0.432261j -0.053832+0.1051j -0.48192+0.492798j 0.0208118-0.0307975j 0.0074987+0.00936368j 3.66213e-05+0.00107673j -0.0210046-0.0138583j -0.0196139+0.00475965j -0.0188691+0.000116787j 0.00687825-0.00512398j -0.00402838-0.0267622j -0.0307043-0.0632476j -0.00129734-0.00684523j -0.0792763+0.0108439j 0.0751597-0.0239835j 0.00602289-0.0289044j -0.00992327-0.00248202j 0.0389084-0.0393187j -0.0450846-0.0574047j -0.0113445-0.0051042j -0.00138852-0.00839327j -0.00704882-0.0531781j -0.000456494+0.0115102j -0.00826037-0.000903599j -0.00590596+0.00429049j 0.0022782-0.00388186j 0.0122494+0.00156499j 
-0.00576932-0.0165912j -0.0096089+0.031735j 0.0686019-0.0043372j -0.133106-0.000578503j 0.0360383+0.00202909j -0.00651152-0.0263871j 0.0240064+0.0227312j -0.561066-0.25437j -0.259768+0.55873j -0.0904003+0.268148j -0.190295-0.148849j -0.00682476+0.0356967j -0.141582+0.042319j -0.0404369-0.0545632j 0.065475-0.0221435j 0.0279285+0.0318111j 0.0106903-0.023092j 0.119484+0.0918139j 0.0240418+0.00210877j -0.162024+0.0431521j 0.0423287-0.0388863j -0.0272222-0.0113163j -0.0540916+0.0664281j 0.00206156+0.0733424j -0.0196492-0.00154221j 0.0232035+0.0255183j -0.011897-0.0355371j 0.00452909-0.0203535j 0.0349185+0.00564214j 0.0187201+0.0476235j 0.000319827+0.00125856j 0.0105117-0.0201477j 0.0091641+0.00816902j 0.0510929+0.0138489j -0.00224384+0.00572543j -0.033644-0.00460961j 
0.0369332-0.0786148j 0.0129651-0.0205993j -0.304422-0.00980304j 0.0203017+0.00285144j -0.0113072+0.00394829j 0.454881+0.120006j 0.119694-0.626j -0.100218-0.0548714j 0.00525839+0.0547663j -0.0282583+0.00848615j 0.0439403+0.0370438j 0.0108542-0.0284357j 0.0423677-0.0264319j 0.00189625+0.0115607j -9.54327e-05+0.0265686j -0.331223-0.174144j -0.277924+0.146532j -0.0214326+0.0391638j 0.0202529-0.166681j 0.0475423-0.0346409j 0.00748569-0.00383236j 0.0535604+0.0100668j -0.0165105-0.0284952j -0.00265185-0.041361j -0.00651347+0.0103661j 0.00077233-0.0166219j -0.0168362-0.0111706j -0.0129121-0.00288484j -0.0235269-0.00248361j -0.040279-0.024332j -0.00148212+2.42087e-05j -0.00688707+0.0155994j -0.00765434-0.00317977j -0.045907-0.00882856j 0.00344921-0.00698885j 0.0203242+0.00427261j 
0.00378229-0.0172303j 0.00929385-0.0304683j 0.0237908-0.00423789j -0.0245972+0.00290139j 0.0610026-0.00293727j -0.0199613-0.0203014j 0.00229902+0.0303757j -0.0542326-0.050703j -0.00494339+0.0466359j -0.0124582+0.00576055j 0.0438018+0.0668519j -0.00343912-0.0204418j 0.0348265-0.00664444j 0.110482+0.29376j -0.166293+0.103983j 0.0283039+0.0186452j 0.00465584-0.010341j 0.0791936+0.0195184j 0.00237117+0.0104087j -0.0249035+0.00813026j -0.00879477-0.000719851j 0.0630902+0.0074617j -0.0129569+0.0136898j 0.00256943+0.0154102j 0.000988822-0.000708674j 0.0308944+0.0107734j 0.00294631-0.00301631j 0.00606929+0.00473033j -0.0387768+0.00177096j -0.0453018+0.0189685j -0.0242208+0.00310347j -0.11149-0.0158358j -0.322443+0.0342748j -0.0463885+0.0202125j 0.00169287-0.0537214j 0.649202+0.00830182j 
0.00474321+0.00079787j 0.043387-0.0212113j -0.0248774-0.00257043j 0.0234561+0.00221278j -0.012267-0.00152644j 0.00998176+0.0237535j -0.00341542-0.0542655j 0.00564059+0.0517377j -0.00396733-0.0644635j -0.00335223-0.0216507j -0.00393281-0.119125j 0.00101758+0.0269833j 0.0142608+0.0920642j 0.0485365+0.00512178j -0.0780045-0.0196902j -0.0693716-0.0202583j 0.0289543+0.0128641j -0.116122-0.00510255j 0.000559081-0.015528j -0.0304398-0.00777236j 0.0310952+0.000965232j -0.135824+0.00957702j -0.00740803-0.013733j -0.010415-0.0124791j 0.0406375+0.00396743j -0.00338498-0.00566211j 0.0236257-0.00344392j -0.0420637+0.00382101j 0.492751-0.0241632j 0.0789578-0.0209793j 0.00244976+0.000487657j -0.0201132-0.0246451j -0.187966-0.00736252j 0.711729+0.0132485j 0.0921135+0.0110717j 0.0705946-0.0115148j 
0.0581256-0.0158901j -0.00448557+0.00599583j 0.000670841+0.000648194j 0.00892056-0.00180197j -0.00253092+0.000627394j 0.00365226-0.00345125j 0.00430897+0.00490852j 0.00388211-0.00341089j 0.000176034+0.0362302j 0.0272462-0.0590721j 0.0206796-0.0496765j -0.0387433-0.0564207j 0.0302153+0.0358762j -0.0327076-0.0010754j 0.0428971+0.0102549j 0.006314+0.00317203j 0.0011001-0.000145522j 0.0191863-0.000632391j 0.00353364+0.000882082j 0.0291919+0.000628125j 0.112375+0.000104698j 0.0315787-0.00130556j -0.120872+0.00194347j 0.25685-0.0059877j 0.578703-0.012417j 0.0397379-0.00262739j 0.0608087+0.00542104j 0.0457299-0.00257732j -0.0341124-0.00498324j -0.0707846-0.00216438j -0.698121-0.0107883j 0.1251+0.00407203j 0.0284388+0.00289077j 0.0258719+0.00640321j -0.00673164-0.00562046j -0.0125322+0.00289797j 
-0.0196824+0.00555258j -0.00389491+0.00257811j 0.00825322+0.00324549j 0.0067647-0.000973622j -0.0163086+0.00151813j 0.00716112-0.0161644j -0.000121898+0.0466354j 0.0593643-0.024988j 0.0156656+0.0511811j 0.0164385+0.0166947j -0.0590809+0.00610153j 0.00146915-0.00695878j -0.0763928-0.0185565j -0.0197598-0.0152098j 0.0668634-0.00207404j 0.0543299+0.0114923j -0.048555-0.00796925j 0.0899578-0.0034787j -0.00546878+0.0114236j 0.115841+0.00281293j -0.06856+0.000218437j 0.594267-0.0181484j 0.11265+0.00604877j 0.134673+0.00575298j -0.0632027-0.000657111j -0.0265005+0.000754815j 0.0309628-0.000605692j -0.0526325-0.000241291j 0.35252+0.00768124j -0.611359-0.00671487j 0.0838757+0.00112025j 0.15909+0.00862314j 0.0164548+0.0034511j 0.0720248-0.00413118j -0.0337854-0.0108556j -0.0562283+0.00568744j 
0.006487-0.000379563j -0.0618641-0.0109282j -0.0024063-0.00296703j 0.00758423-0.000797874j 0.00191002+0.000959884j -0.0134048+0.0099691j -0.0101681-0.0302093j 0.0310601-0.0234592j 0.0489477+0.0228628j -0.0680827+0.0642374j 0.0295514-0.00285609j 0.0803604+0.0491793j 0.0143244+0.00641059j -0.000437043+0.000134481j 0.00816954-0.00418295j -0.0349087-0.00831816j -0.0105381+0.00351535j 0.006733+0.00599088j 0.0116418-0.00585649j -0.189906+0.00154819j -0.669747+0.0085494j -0.0462008-0.00011947j 0.0262036-0.000724636j 0.104538+0.00445424j 0.11163-0.00145382j -0.0360376+0.00160293j 0.567867+0.0063137j 0.33288+0.0045271j -0.0127517-0.000432115j 0.00410915-0.00102103j 0.0429577+0.00236274j -0.00361829-0.00145944j 0.00359236-0.00162821j 0.0150761-0.000622081j -0.00777131-0.000312973j -0.0137935-0.00209353j 
0.0399245-0.000846858j -0.0121815-0.00306486j 0.0249689-0.00331116j -0.0316344+0.00157695j 0.0214592-0.00133304j -0.0559285+0.0173552j -0.00222867-0.0503817j -0.236394+0.0233858j -0.0906241-0.0598067j -0.0426799-0.0289659j 0.0213491+0.0168476j -0.00600136-0.00466506j 0.0601503+0.00186459j -0.00176939+0.0166181j -0.0368277+0.00514078j -0.0413173-0.00989367j 0.204273+0.00561915j -0.605821+0.0119301j -0.124519-0.0119j 0.00089205+0.00120573j -0.0142535-0.0019447j 0.15377+0.00870637j 0.411356-0.00158673j 0.449083+0.000240482j -0.107368-0.00103512j 0.0560144+0.00198187j -0.0539295-0.00103741j -0.00277212-0.000599739j -0.108726-0.00908365j 0.0105054+0.000605769j -0.024925-0.00104782j -0.0685901-0.0129871j -0.00825208-0.00357793j -0.0746493+0.00658626j 0.00699621+0.0102915j 0.0355122-0.0071658j 
