0.00250796-0.00168655j 0.00653939-0.00384044j -9.51117e-05-0.000100839j 0.00626587-0.00336322j -0.0010795+0.000587411j 0.0117948-0.00605679j -0.0315973+0.0150679j -0.00392285+0.000416035j -0.00763021-0.00340589j -0.00198516-0.0016318j -0.00461036-0.00357463j -0.00456407-0.00412651j 0.000257371+0.000401289j 0.00545387+0.00560791j 0.00593246+0.00641974j -0.000955679-0.000313203j 0.0108965+0.0206449j -0.0545773-0.0947772j 
0.00559877-0.00457464j 0.00604692-0.00578535j 0.00263569-0.000708996j 0.00318544-0.00401183j 0.000720275-0.000372114j 0.00513414-0.00853889j 0.0454042-0.00740784j -0.00631849-0.00344678j -0.00887943-0.0124028j -0.000646408-0.00217082j -0.00398479-0.00857032j -0.00589375-0.0111319j -0.000574531-0.000204215j 0.00381269+0.0102554j 0.00559523+0.0138981j 0.00196664+0.00577734j 0.0346413+0.070888j -0.00839576+0.0476111j 
-0.00503406+0.00254289j -0.0181483+0.00724191j -0.00639556+0.00504469j -0.0179721+0.00617847j 0.0124467-0.0108835j -0.0449606+0.0096199j 0.000111454-0.00540623j 0.00457167-0.0039943j 0.0075827-0.000629053j -0.00414951-0.00834503j 0.00698165+0.0111184j 0.00132257-0.000809674j 0.0056472+0.0138623j -0.00137975-0.00423754j -0.00519566-0.0138685j 0.024751+0.0686977j 0.00788141-0.0550229j 0.0057978-0.0591492j 
-0.00575648+0.00797792j 0.000915032+0.00639045j -0.0138956+0.00965241j 0.0026425+0.00501946j 0.0147578-0.00823977j 0.0374686-0.00266221j 0.0384142-0.00612063j 0.00950604+0.00810479j 0.00900217+0.0196128j -0.00909608-0.0144665j 0.00732951+0.0174913j 0.00611317+0.0199926j 0.00653637+0.0165464j 0.00012693-0.00359148j -0.0205289-0.0627011j 0.00854065+0.0376105j -0.00513379+0.0194935j 0.0148272-0.0468726j 
0.00069272-0.0019226j 0.00748853-0.00723982j -0.0242146+0.0121364j 0.0111927-0.00776669j 0.0145561-0.00551009j 0.015025-0.00393972j 0.0499784+0.0107497j -0.00137483-0.00047604j -0.00738377-0.00724367j -0.0122758-0.0208694j -0.00391622-0.00910276j -0.00280621-0.00427025j 0.00621306+0.0188713j 0.0198418+0.0645772j -0.00156052-0.0123373j 0.00231618+0.0333619j 0.00152054-0.0297454j -0.00491638-0.00241223j 
0.00629995-0.00226892j 0.0229194-0.00814406j -0.0172592+0.00457115j 0.018876+4.30473e-05j -0.0165177+0.00592958j -0.0139914+0.000963517j 0.002302+0.00625709j -0.00240843+0.00279852j -0.00831409-0.0099595j -0.00506842-0.0142466j -0.00502808-0.0150365j 0.00290344-0.00190164j -0.0125317-0.0415387j 0.000212676+0.0427709j -0.00910168-0.0135488j -0.00255689+0.0144779j -0.00550809-0.0197184j -0.00117168+0.00902552j 
-0.00839249+0.00562031j -0.0103487+0.00474134j -0.00794816+0.00600349j -0.0159188+0.00467393j -0.0716408+0.0113358j 0.00347706+0.00375991j 0.0156613+0.00690719j 0.00682241+0.000582134j 0.00427573+0.0062614j -0.00804448-0.0291112j -0.00034116+0.0156714j 0.00649135+0.0187958j -0.00349187+0.0129066j 0.00454693+0.0142865j 0.000291623-0.0509878j 0.00267018-0.0559455j -0.00176007+0.0424144j 0.00120753-0.00900257j 
-0.00178877+0.0055821j 0.0109555+0.00176438j 0.00558852+0.00132011j 0.0375439-0.00229753j 0.00909641-0.00332393j -0.0358788+0.00419389j 0.00940953+0.00260717j 0.00599251+0.00838609j 0.00315317+0.0131545j -0.00778346-0.025798j 0.00141124+0.0102552j 0.000682709+0.0149341j 0.00843259+0.0584821j -0.00287097-0.0426009j -0.00100748+0.0192865j -0.00221049-0.0217438j -0.0102861+0.0328299j 0.00349296-0.0114314j 
-0.000522833-0.00290762j -0.00483761-0.00362327j -0.0145682+0.00121758j 0.0146707-0.00487105j -0.00230256-0.0031775j -0.0147911-0.00102333j 0.00497526+0.0028577j -0.00264569-0.00456016j -0.00458242-0.0116783j -0.00568386-0.0172268j -0.0044423-0.0111732j -0.00632267-0.0314172j 0.00230393+0.0442379j -0.000786852-0.0271854j 0.00128338-0.0119421j -0.000415496-0.0324955j 0.005455-0.0113131j -0.0038314+0.0078753j 
0.00124098-0.0012086j 0.0174242-0.00482215j 0.0367297+0.000476347j 0.00620603+0.00316395j 0.0133852+0.00640968j -0.0395384-0.00297824j 0.00319099+0.000225063j -9.67642e-05+0.0024892j -0.00350583+0.00142377j 0.000481636+0.000885857j -0.00482211-0.0391374j 0.000229179+0.0383274j 0.00323564-0.0152496j 0.00434714-0.00964242j 0.00505429-0.0146488j -0.00623584+0.0506052j -0.00607511+0.0216648j -0.00203253+0.00203626j 
-0.00694442+0.00567036j -0.00919564+0.00543422j 0.0106509+0.000739279j 0.00788262+0.00286754j -0.0116906-0.00370435j -0.00761521+0.000702421j 0.00739327+0.00454474j 0.00602187+0.00266507j 0.00426124+0.0112263j -0.00408609-0.0231389j 0.0013721+0.0418441j 0.000954797+0.0396477j -0.000652574+0.00194539j -0.000801917+0.0287554j -0.00190775+0.0465396j 0.00611603-0.0269149j -0.000906577+0.012612j 0.00159401-0.00546461j 
