-0.00367055-2.77122e-16j -0.00878152+5.04718e-06j -0.00760145-0.000509457j -0.00176363-7.37427e-05j -0.00320174-0.000416268j -0.00544557-4.35982e-05j -0.00220988-9.87648e-05j -0.00608778-0.000748843j 0.000772368-0.000347175j -0.000320717-0.000194698j 0.00258719+0.000191697j -0.00475529-0.000132857j -0.0026494-0.000597904j -0.00347945-0.000488133j -0.00267595-0.000299112j -0.00149293-2.41762e-05j 0.00432692+0.00041902j -0.00112205-0.000312242j 0.00261111+5.64423e-05j -0.000402282-0.000391418j -0.00259002-0.000277374j 0.00115379+9.7944e-05j -0.00541818-0.000422453j 0.00121414+0.00012898j -2.28568e-05-0.0002093j -0.00319829-0.000410492j -0.000950863-0.000312731j 2.72795e-05+0.000132544j 0.00420997+0.000870135j 0.00189597+0.0002371j -0.00378525-0.000563219j 0.00134378+0.0002187j -0.00242278-0.000550206j -0.000376875+0.000366869j -0.00119519+1.40309e-05j 0.0020384+0.000400056j 0.000707593-0.000252174j -0.000491755+9.89569e-06j -0.000755455-0.000567948j -0.00448963+9.30331e-05j -0.00208179-0.000393716j 0.00349737+0.000506188j 0.00277524+0.000191037j 0.00136136+0.0003033j 0.00458265-0.000259612j -0.00299426-0.000449343j -0.00372264-0.000961117j 0.0043825+0.00115396j 0.00664823+0.000483823j -0.00220268+0.000518423j 0.0142149+0.00039513j -0.00404898+0.000434549j 0.00962086-0.00531205j 0.0283574+0.00333004j -0.000564237+0.000120567j 0.878931-0.00629537j 
-0.00878152-5.04718e-06j 0.00375743-7.84962e-17j 0.000861539+2.42004e-05j -0.00819688-0.000659104j 0.00125556+0.000491684j 0.00291118+0.000253697j -0.00830233-0.000498852j 7.76906e-05+8.1979e-05j 0.00235593+0.000345612j 0.0016469+0.000359555j 0.00531633+7.40266e-05j 0.00574144+0.000646531j -0.00345607-0.000110441j 0.00251229+0.000178802j -0.000109262-0.000111098j -0.00224292-7.08728e-05j -0.00177986-0.000218826j 0.0029365+0.00030188j -0.00193275-0.000254778j -0.00264643-0.000312146j -0.00183021+0.000129124j 0.00285309+0.000244577j 0.002831+0.000499171j 0.00133271+0.000250376j 0.00111066+2.9964e-05j -0.000382307-9.04742e-06j -0.00249065-0.000241947j 0.00070699+0.000174261j 0.00129171-0.000313649j 0.00127107-2.33151e-05j -0.000591895-0.000121784j -0.00235315-0.000326623j -0.000459771-0.000115577j 0.000910089-0.000116188j 0.00492042+0.000592928j 0.00369112+0.000227897j -0.00173547-0.000281262j 8.01873e-05-0.000325428j 0.000862946-0.000101114j 0.00224288+0.000485186j 0.00134251-0.000121485j 0.000870618+0.000431134j 0.0027966+0.00052234j 0.00382789+5.13701e-05j -0.00142894-0.000578272j -0.00690771-0.000540116j -0.00253135-0.000691977j -0.00530653-0.000678443j -0.00115095+0.00106925j -0.0127313-0.000228574j -0.00109011-6.03855e-07j 0.00781753-0.000289639j 0.0275202+0.00291118j -0.00885823+0.00592822j -0.879789+0.00614482j -0.000295634-0.000129312j 
-0.00760145+0.000509457j 0.000861539-2.42004e-05j 0.0025537-3.90313e-17j -0.00147237-0.000152672j -0.00085173+0.000437973j -0.00174137+2.92142e-05j -0.00511973+3.91863e-05j 0.00520437+0.000848598j 0.00213291-7.11962e-05j 0.000578892+0.000407169j 0.00707962+0.000185913j -0.00034492-0.000234501j 0.00271221+0.00113664j 0.0048838+0.000519362j 0.00341087+0.000105985j -0.00358048-0.000113591j -0.00380202-0.000710959j 0.00441194+0.000499361j -0.000271994-0.000185173j 0.00121912-0.000269024j -0.00325228-0.000419396j -0.000850911-0.000766997j 0.000829157+0.000165662j -0.00247112-0.000527075j 0.00348362+0.000478293j 0.00132147+0.000261759j 0.00255591+0.000576912j -0.00229183-3.67407e-05j -0.00322259-0.00141161j 0.00135119-0.000255077j 0.00186849+1.8764e-05j -0.00179761+0.000113613j 0.00415521-9.97557e-05j 0.000103327+0.000301111j 0.00144414-0.000910842j 0.000997564+6.05539e-05j 0.00173702+0.000657766j 0.00515882+0.00102929j 0.0064311+0.00142027j -0.00571526-0.00193852j 0.00323086+0.000126508j -0.00747174-0.00112819j -0.0020005-0.000299705j 0.0011398-0.00176588j 0.0109721-3.58215e-07j 0.000188252+0.000626013j 0.0148425+0.0015297j -0.00821637-0.00202053j -0.0199047+0.00242846j -0.0217406-0.00177768j -0.00237781+0.000142168j -0.029838-0.00551897j 1.07408e-05-0.00242488j 0.876349-0.00912847j 0.00893648-0.00592704j 0.0257924+0.00335759j 
-0.00176363+7.37427e-05j -0.00819688+0.000659104j -0.00147237+0.000152672j -0.00441046+1.04083e-17j 0.0060192+0.000266797j -0.00626561+9.63357e-05j -0.00334053-0.000140225j 0.00262631+0.000762101j 0.00907195-3.26869e-05j 0.00374468-6.73848e-05j 0.000940198+0.000410409j -0.00186478-5.87227e-05j 0.00334169+0.000385813j 0.00114146+0.000140813j -0.00032267+0.000249327j -0.00181183-6.54195e-05j -0.00129086-0.000569687j 0.00405805+0.000293781j 0.00396864-2.13471e-05j 0.00303616-0.000299071j 0.000940515-0.00011876j 0.00243525-0.000361896j -0.0019-2.76112e-05j 0.00366438-0.000206114j 0.00169402-0.000129889j -0.000558098+0.000183427j 0.000702677+7.27813e-05j -0.00300911-0.000248732j -0.00504718-0.000230151j 0.000928075+0.000108297j -0.00144111-0.000127747j -0.00393387-0.000385636j 0.00371643+0.000205059j -0.00411351+0.000186599j 0.00386335+0.000196784j -0.00073869+0.000296971j -0.00107176+0.000207043j -0.00380687-0.000455303j 0.00223204-0.000494525j -0.0021698+0.00101684j -0.000206208-0.000471342j 0.00556153+0.000165868j 0.00679107+0.000270339j -0.00203766-0.000367588j 0.00708961-0.00143134j 0.000497162-0.00106634j 0.00304317-0.00044373j -0.0170395+0.000420635j 0.0226857+0.00277316j -0.0107448+0.00347427j 0.00101999-0.00164334j -0.0122046+0.00550974j -0.895537+0.00553689j -0.00475357+0.00252312j 0.0249317+0.00293975j -0.00954785+0.0053013j 
-0.00320174+0.000416268j 0.00125556-0.000491684j -0.00085173-0.000437973j 0.0060192-0.000266797j -0.0101305+5.94143e-17j 0.00140934+0.000131678j -0.00168733+3.90189e-05j -0.00339883-0.000577757j -0.00565765+0.000228591j -0.00239474+0.000410771j 0.00308006-0.000553218j 0.000746881+0.000286073j -0.00469681-0.00015123j 0.000221019-0.000193692j 0.00136853-0.000430066j -0.00371288-0.000217985j 0.00341506-0.000147706j -0.00129909+0.000163001j -0.00360667+0.000296347j 0.00200831+0.000461748j 6.10911e-05+0.000201444j -0.000485386+0.000625001j 0.00287915+0.000200756j -0.00474057+0.000191359j 0.000157807+0.000276271j -0.000837393-0.000551961j 0.00124288+0.000429015j 0.00223031-0.000143497j 0.00747408-0.000200443j -0.000144429-0.000515987j 0.00484184+0.000491136j 0.00194055-0.000113858j 0.00125811-0.000114894j -0.00463837-0.000585834j 0.00168328+0.000774447j -0.000598452-0.000368111j 0.00437611-0.00111367j -0.00367509-0.000304451j -0.00477295-0.000135542j 0.0112897-4.90991e-05j -0.0042957+0.000414081j -0.00619733+0.00108494j -0.00110123-3.02264e-05j 0.0148598+0.000792369j 0.00322484+0.00120044j 0.00442834+0.00106554j -0.015602-0.000699136j 0.00541433-0.00127077j -0.0119378+0.00381501j 0.00221736+0.000494808j 0.0112888-0.00121181j -0.901859+0.00573264j -0.0117147+0.00552566j 0.0225041+0.00559376j 0.00679752-0.000247628j 0.00334747-0.000451462j 
-0.00544557+4.35982e-05j 0.00291118-0.000253697j -0.00174137-2.92142e-05j -0.00626561-9.63357e-05j 0.00140934-0.000131678j 0.00773869+3.72966e-17j 0.00120036-0.000100017j -0.0022957-0.000670925j 0.00200609+0.000242522j -0.00480732-0.000186486j -0.000503783-0.000121094j 0.00286122+0.000726069j -0.00486202-0.000524336j -0.000223306-0.000166005j -0.00366742+0.000130445j 0.00431181+0.000299393j -0.00357237+1.6258e-05j 0.00135605+9.37016e-05j 0.0029018+0.000153394j -0.00290852-6.9611e-05j -0.000825856+0.000681534j 0.00425892+0.000409028j 0.00201591+0.000567818j 0.00406024+0.000489209j 0.000237911-0.000247032j 0.00187589-6.56157e-05j -0.00202376-3.37371e-05j -0.000253595-0.000453829j 0.00112178-0.000374579j -0.00157144+0.000128678j 0.00589506+0.000245822j -0.00370444-0.000263411j 0.00156232+0.000820761j -0.000274203-0.000887515j -0.00221005-2.39539e-05j -0.000521166-0.000923276j 0.00376497+3.94969e-05j -0.0107855+8.11816e-05j 0.0037103+0.00046239j 0.00578428+0.000365107j 0.018224+0.000793561j -0.0020697-0.000223318j -0.00517299+0.000530933j 0.00221134+0.00084949j -0.00123638+0.00254301j -0.017392-0.000380029j 0.0195796+0.00101241j 0.00223573-0.00135512j -0.0163715-0.00181684j -0.00455004+0.00102738j 0.910641-0.00422543j -0.00463002+0.00120728j -0.0019482+0.00165657j -0.00368928+0.000124428j 0.00116929+1.55719e-05j 0.0123721+0.000406992j 
-0.00220988+9.87648e-05j -0.00830233+0.000498852j -0.00511973-3.91863e-05j -0.00334053+0.000140225j -0.00168733-3.90189e-05j 0.00120036+0.000100017j -0.00424114+7.80626e-18j -0.00329311+0.000293593j 0.00638865-3.37838e-05j 0.00479273-0.000145897j 0.00105212+0.000468219j 0.00022466-3.07701e-05j 1.99904e-05+0.000383556j 0.00343882+0.000530182j -0.00671225+0.000100971j -0.00478723-4.95728e-05j 0.000965561-0.000562346j 0.00609809+0.000339659j -0.00179089-2.80892e-05j 0.00187738-0.000343732j -0.00125659-0.000440431j 0.0028571-0.000820018j 0.00447662+0.000204023j 0.00217485-0.000200391j 0.00775652+0.000443267j -0.000632035+0.000350449j 0.00133585+0.000244246j 0.00661524+0.000245619j -0.00521633-0.000524666j -0.00260266+4.18032e-05j 0.00429908+0.000240915j -0.00312417+0.000333106j -0.00250067-0.00046714j -0.00851135+0.000638567j 0.00324652-0.000560528j -7.69389e-05+0.000380055j -0.00166257+0.000591023j -0.00411776+0.000775503j 0.0110852+0.000499604j -0.00991245-0.000845387j 0.00458177+5.23286e-05j -0.00934128-0.000186141j 0.0135458+0.000205344j -0.00181099-0.00156641j 0.0150572-0.000989795j -8.90183e-05+0.00171242j 0.00672039-0.00250454j -0.0121983+0.000313248j 0.0102053-0.000313666j 0.912216-0.00441052j -0.00109972+0.00102135j 0.000503661-0.000536485j 0.0121668-0.00349105j -0.0187783-0.00179173j 0.0111818+0.000216766j -0.00194907+0.000519018j 
-0.00608778+0.000748843j 7.76906e-05-8.1979e-05j 0.00520437-0.000848598j 0.00262631-0.000762101j -0.00339883+0.000577757j -0.0022957+0.000670925j -0.00329311-0.000293593j -0.00183805+6.19079e-17j 0.0021104+0.000588544j -0.00213552+0.000438403j 0.00232433-0.000868499j 0.00619246+0.000642361j -0.006239+0.000234289j 0.00442168-0.000519115j 0.00624931-0.000257287j -0.00157886-0.000333012j 0.00488041-0.00118319j -0.000285132+0.000732823j -0.000459356+0.000679293j 0.00609646+7.10303e-05j 0.0056391+0.000359971j 0.00173955+0.000411085j 0.00722378+0.000377166j 0.00174313-2.55331e-05j -0.00138983-0.00020097j 0.00257308-0.000540325j -0.00326204+0.000485807j -0.000198236-0.000265448j 0.0059031-0.00120051j 0.00319959-0.000820933j 0.00507899-4.81647e-05j 0.0030052-0.000175215j 0.0106232-0.000111802j -0.00819074-0.000209437j 0.00402486-0.0003774j -0.00847447-0.000401902j 0.00575166-0.000621009j 0.000127664+0.00030899j 0.00444816+0.00145749j 0.0080089-0.00205283j 0.0078941+0.000621987j -0.00419149+0.000635138j -0.0133968+0.00125419j 0.0191557-0.00165504j 0.01654-0.000351937j -0.00107163-0.00132551j 0.0127365+0.00294484j -0.0148311-0.000273379j 0.921877-0.00141241j 0.0024579-0.000312042j -0.00953509-0.00180574j 0.0102998-0.00386529j -0.0186898-0.0027551j -0.0175447+0.0024009j 0.00100962-0.00109228j 0.00624971+0.000460247j 
0.000772368+0.000347175j 0.00235593-0.000345612j 0.00213291+7.11962e-05j 0.00907195+3.26869e-05j -0.00565765-0.000228591j 0.00200609-0.000242522j 0.00638865+3.37838e-05j 0.0021104-0.000588544j -0.00108455+5.07407e-17j -0.00831528+0.000482388j 0.0013526-0.000307114j -0.00844572+0.000661253j -0.00220158-0.000304893j -0.00518558-0.000180999j -0.00120399-0.000352578j -0.00067411-8.63312e-05j -0.00150892+0.000104426j -0.0017007+8.0379e-05j -0.000257907+0.000204487j 0.000596722+0.000772216j 8.19662e-05+0.000842806j 0.000163639+0.00100136j -0.00476723+0.000352923j -0.0027453+0.000405235j -0.000583268+0.000383675j -0.000119619-0.000653908j 0.00311133+0.000525356j 0.00585065-0.000295537j 0.0102693+0.00018388j 0.0042187+0.000198767j 0.000586141+0.000399926j -0.00264367-0.000246933j 0.00288737+0.000270782j 0.00394703-0.00082045j -0.00179003+0.00158243j -1.90925e-05-0.000840404j -0.00661387-0.00158591j -0.012038+0.000880495j -0.0215309+2.42515e-05j 0.0130502-0.000525507j 0.000619668+0.000234047j -0.00286829-0.00121555j -0.0061385-0.00139185j 0.00701528-2.41377e-05j 0.00887289+0.00203269j 0.0248192+0.000926736j -0.0215645-0.0007372j -0.928973+0.00269201j 0.00175271+0.000180497j 0.00989621-0.000266301j 0.00118629+0.00135275j 0.00382973-0.00127814j -0.0144598+0.000440386j 0.0076775+0.00196207j -0.00502656-0.000676562j -0.00360758-0.00116634j 
-0.000320717+0.000194698j 0.0016469-0.000359555j 0.000578892-0.000407169j 0.00374468+6.73848e-05j -0.00239474-0.000410771j -0.00480732+0.000186486j 0.00479273+0.000145897j -0.00213552-0.000438403j -0.00831528-0.000482388j -0.00694329+5.59448e-17j 0.00535262-0.000417656j -0.00268072-0.000437147j -0.00196801-0.000186794j -7.06611e-05-0.000498929j 0.00359952-0.000539304j 0.00700281-0.000145094j 0.0047306+0.000683805j -0.00659948-0.000290796j 0.00232437+3.9915e-05j -0.00629049-0.000402427j -0.00324246-0.000323745j -0.00562905+8.02888e-05j -0.00565806-0.000217511j -0.000621193+0.000191981j -0.0031132+1.89951e-05j 0.00194579-0.000339677j -0.00246575-0.00040195j -0.00154149+0.000516256j 0.00295793+0.000444047j 0.00633744-0.000461689j -0.00291899-0.000617104j 0.00956922-0.000339492j -0.00824258-0.00059538j 0.00574023-0.000241092j 0.00476547+0.000376038j 0.00802509+0.000370039j 0.00642952-8.86728e-05j 0.00273066-0.00133993j -0.0115315-0.000838642j 0.00409951-3.36209e-06j -0.0137037+0.000691014j 0.0121091+0.000255921j -0.00437861+0.00132319j 0.00402124-0.000142193j -0.00422326-0.000765337j 0.0246408+0.000502003j 0.927555-0.00391649j -0.0101453+0.000829764j 0.00876272+0.00292006j 0.00800935-0.00249735j 0.014313+0.00105851j 0.014315+0.000669809j -0.00257258+0.000478224j 0.0125624+0.00160234j 0.00196303+0.000714665j -0.00378977-0.00100135j 
0.00258719-0.000191697j 0.00531633-7.40266e-05j 0.00707962-0.000185913j 0.000940198-0.000410409j 0.00308006+0.000553218j -0.000503783+0.000121094j 0.00105212-0.000468219j 0.00232433+0.000868499j 0.0013526+0.000307114j 0.00535262+0.000417656j -0.00604409+1.02999e-16j 0.000927207-0.000292365j 0.00362007+0.000768747j 0.00357656+0.00030417j 0.00264822+2.08183e-05j -0.0024786-0.000584649j -0.000846473-0.000672005j -0.00445631+0.000178948j -0.00127727-0.000273944j 0.00971108+0.000407082j 0.00123281-0.000427363j -0.0045764-0.000362678j -0.00181998-0.000476981j 0.00249337-0.000490274j 0.00474793+0.00105667j -0.000686108+0.000267005j 0.00453908+0.000884957j -0.00262876+0.00059186j 0.00657113-0.000246937j -0.00127974+5.84442e-08j 0.00390624+3.85889e-05j 0.00409385-0.000130582j 0.000560298+6.29304e-05j 0.015951+0.0013146j -0.000936955+0.00019663j -0.0052001+0.000785539j -0.0163675+0.000624612j 0.0138903+0.000993304j -0.00785362+0.000516683j -0.00930094-0.000544123j 0.00306404-0.000309149j -0.00845057-0.00160044j -0.0172814-5.66473e-06j -0.00571893-0.00100078j -0.0195064-0.000268183j -0.926792+0.00377521j 0.013018-0.000658522j -0.00548212+0.00106373j 0.00236504+0.00141868j 0.0063875-0.00177976j 0.0125732+0.000399579j 0.00368644+0.00108409j -0.000690885-0.00107276j -0.000293801-0.000550539j -0.00578787-0.000544229j 0.00248073+0.000419103j 
