-0.00119273+0.000415539j 0.000241261-0.000792772j 0.00142189+0.000404065j 0.000564746-0.00230344j -0.00176977-0.000484094j -0.000406348-0.000201006j 0.00345506+0.000966097j 0.00471862+0.00207846j 0.00252935+0.00220015j -8.15479e-05-0.000209149j 0.00357397-0.00632353j -8.77685e-05+0.00112157j 0.00796527-0.00739804j 0.00227332-0.000655422j -0.00498673-0.0106557j -0.0108042+0.00590825j 0.0191426-0.00829121j -0.00600061-0.0142472j 0.019538-0.000789165j 0.00320647+0.00845429j -0.0109747-0.0273393j -0.00373233-0.000972435j -0.00798374-0.0298484j -0.00498801-0.0179659j 0.00162015+0.00428849j -0.0111149+0.00649793j -0.00343989-0.000491128j -0.00366972+5.02209e-05j 0.0112632-0.00461081j 0.0474245-0.00502031j -0.00375431-0.00169995j -0.00807435+0.00275453j 0.00199888-0.00134451j -0.00509665+0.0372107j -0.00134263+0.010636j -0.0168278-0.004932j 
-0.00252342+0.0109034j -0.0105834-0.00281217j -0.00953353-0.0150891j -0.0197365+0.0121905j 0.00778579+0.0134501j 0.0141031-0.00221189j 0.00921296-0.0114501j -0.0116055-0.0174932j 0.00467622-0.0236922j -0.000338583-0.00075118j -0.00701712+0.00350264j 0.00220988-0.000162156j -0.0265229-0.00692412j -0.00375861+0.00233133j -0.00647997+0.0139361j -0.00520756+0.00298124j -0.0051225+0.00330302j -0.00846442-0.00966365j -0.0203788+0.00389992j 0.00249021+0.000431635j -0.00588204-0.000385057j -0.00956012+0.00256731j 0.000344587+0.0298887j 0.00196002+0.020732j 0.00203093-0.00339916j -0.0272714+0.0042068j -0.0025882-0.000143612j 0.00625544+0.00317166j -0.0021595-0.00572441j -0.0239147-0.0123841j 0.000324484+0.00359134j 0.00831437-0.0233701j -0.000530403+0.0109193j 0.0148154-0.00233478j -0.00872324-0.00386916j -0.00139745+0.00526873j 
-2.34539e-05-0.000127197j 0.000338568-0.0001728j 0.00548903+0.0150042j 0.0203893-0.00613587j -0.00330144-0.0143291j -0.0182591-0.000845383j 0.00595146+0.0206214j -0.00648073+0.0201486j 0.00603979-0.0152162j -0.000526413+0.000208423j 0.0320253+0.0069999j -0.000636719-0.000500696j -0.00295039-0.00350261j -0.00703573+0.0182133j 0.00446249-0.00787817j -0.00691354+0.0107523j -0.000785526+0.00313141j -0.0154156-0.0186886j -0.0257677-0.000229643j 0.00226808+0.00463705j -0.00487742-0.00585563j -0.0192955+0.00378092j -0.00971093+0.0396185j -0.0037765+0.0253502j 0.00271281-0.00380905j -0.0389576-0.00564344j -0.00247171-0.00249556j 0.00899815+0.0036994j 0.00164643-0.00032679j -0.0320561-0.0243644j -0.00233379+0.00347336j 0.0183654-0.0355854j -0.0100423+0.0182685j 0.0169907-0.00419628j -0.0173896-0.0108949j 0.00164643+0.00358582j 
0.0288669-0.0320628j 0.0302225+0.0273619j 0.00355287+0.00415709j 0.00509613-0.0036298j -0.00124753-0.00458186j 0.0062337+2.76308e-05j -0.00227856-0.00780693j 0.00270072-0.00827486j -0.0024993+0.00434296j -0.000216565+7.20485e-05j -0.0112494-0.00318462j 0.00059225+6.32286e-05j -0.00283145+0.00188466j 0.00290974-0.0044272j -0.000936053+0.00517028j -0.00153+0.00164567j -0.00653678+0.00205819j -0.00645264-0.00426986j -0.00385953-0.00435038j -0.000331737-0.00268208j 0.00210361+0.00995121j -0.0107689+0.00671157j -0.00589688+0.00713224j 0.000191182+0.00316413j 0.00242239-0.00090658j 0.00360134+0.0014368j 1.80205e-05+0.00022245j 0.00099366-0.00166401j -0.00157102+0.00840647j -0.0110975-0.0105699j -0.000359561+0.00113538j -0.000785821-0.00401154j -0.00501106+0.00181114j 0.00893022-0.00550285j -0.00109086-0.00144132j 0.00202637+0.00385943j 
0.00159153-0.00139655j 0.00142003+0.00138955j 0.00198935+0.0188505j 0.0244899+0.000141444j 0.0026395-0.0159639j 0.00849065+0.00737674j 0.0207225+0.00186303j -0.00794226-0.0171351j 0.0257405-0.0296454j 0.000352886-0.000135005j -0.00124995+0.010301j 0.000217654+0.000462807j -0.0241846-0.0294986j -0.0160777+0.00218662j -0.0160525+0.0100185j 0.00612764-0.00842821j 0.0131184-0.00745438j 0.0197697+0.0224796j -0.00244082+0.0124016j 0.00510442+0.00499933j -0.0143517-0.0266316j 0.0426319-0.0180837j 0.0161045-4.81224e-05j -0.00266806+0.00377265j -0.00794803+0.000125252j -0.0177248+0.000991276j -0.00153254-0.000669907j 7.08202e-05+0.00871629j 0.00262321-0.0395167j 0.0115284+0.0217711j 0.000917712-0.000797457j 0.00570848+0.0114976j 0.0213995-0.00240967j -0.0105245+0.0045095j 0.00842915+0.00352889j -0.00164325-0.00310446j 
-0.0171386+0.00703759j -0.00687855-0.0174141j 0.00119805+0.0239971j 0.0314506+0.00239102j 0.00456364-0.02049j 0.00688525+0.00444291j -0.00591029-0.0161792j 0.0129836-0.00511777j -0.0167342+0.0164394j -0.00121106+3.33996e-05j -0.0176862-0.0131504j 0.000768592-0.000400723j 0.00336478+0.0127461j 0.0107356-0.0070112j 0.00291586+0.00474567j 0.00111511+0.000563047j -0.0139763+0.000815495j -0.00752455-0.0034845j 0.00393827-0.00827332j -0.000447853-0.00819764j 0.00387171+0.0262855j -0.0182315+0.00978392j -0.00773378-0.00192528j 0.0033911-0.00313622j 0.00368285+0.000814723j 0.0251044+0.00822017j 0.000830493+0.00156639j -0.000591719-0.00548441j -0.00799031+0.0200618j -0.0106892-0.0123097j 0.000317114+0.000850221j -0.00982223+0.00507384j -0.00759434-0.00529341j 0.0107075-0.0113191j 0.00449595+0.00047997j 0.00507354+0.00605685j 
-0.000770519-0.00240613j 0.00250839-0.00111787j -0.00504137+0.00704612j 0.00773977+0.00912703j 0.00860328-0.00394812j 0.0166505+0.0100594j 0.0136398-0.0175664j 0.0172319-0.0150216j -0.00545407-0.000171264j 0.000593897-0.000538138j -0.013376-0.024759j 0.000244675+0.000925192j -0.005935-0.00668844j 0.0130667-0.0029436j -0.0101645+0.00390988j -0.0188936-0.00956252j -0.00677118+0.011791j 0.00623542-0.0374578j -0.00454581-0.00150585j -0.00480866+0.00125522j 0.0141224+0.00410029j -0.0406851-0.00842778j -0.00549006+0.000322604j 0.00554937+0.00515963j 0.00526578+0.00389703j -0.0164916-0.011096j -0.00236626-0.00363388j 0.00282454-0.00257143j -0.00582145+0.0259352j 0.00900818-0.00337493j -0.00245123+0.000466241j 0.00998312-0.0238321j -0.0168567+0.00234527j -0.00936321+0.0170921j -0.0145398-0.00622267j -0.00771583-0.00797022j 
-0.000633258+0.000988547j 9.94267e-05+0.000881309j 0.000490555-0.00191229j -0.0020494+0.00143813j 0.00224968-8.66178e-05j -0.00102608+0.00108035j 0.00165015-0.000514804j 0.00193265-0.00173607j 0.00156626-0.00132277j 0.000995065-0.00117259j -0.00343762+0.000273513j -0.000879236+0.00200925j -0.00490229-0.000199217j -0.000908489-0.000655282j 0.00519174+0.0044364j -0.00332899+0.00438796j 0.00560876-0.00416018j -2.69139e-05-0.00133274j 0.00375565-0.00286079j 0.00115611-0.00307982j -0.00218376-0.00238866j 0.00196292-0.000860784j -0.004032+0.00332243j -0.00077555-0.00219493j 0.00010198+0.00418609j 0.00521903-0.00114671j -0.000585982-0.00518342j 0.00439647-0.0075679j -0.00371991-0.00042862j -0.0180448-0.00101159j -0.00922146-0.000180821j 0.00165503-0.00218968j -0.000562484+0.00106106j -0.00851867-0.0280494j -0.00420051-0.00724348j 0.0208344-0.0100109j 
0.00157142+0.00275192j 0.00488671-0.000789161j -0.00561-0.0102728j 0.00371887+0.00150658j -0.00739653-0.0128615j 0.011027+0.00634006j 0.0061421-0.00051305j -0.00700503-0.00704481j -0.00102944-0.00452153j -0.00313202+0.00045009j 0.00458756+0.00376272j 0.00868778-0.00420869j 0.0116385+0.0100792j 0.00230459-0.000599646j 0.0057373-0.0207723j 0.00804128-0.00246663j -0.0148975+0.00165364j -0.0047904+0.00118863j -0.0164657+0.000709059j 0.000405137-0.004688j -0.00262645+0.00845962j 0.00227287+0.00143507j 0.00401211+0.0106933j 0.00275041+0.00821208j 0.00284571-0.00246505j 0.00330778+0.00138775j -0.00604358+0.0066219j -0.00615155+0.00891527j 0.000456038+0.00210885j 0.0086999+0.00864552j 0.0110457+0.004289j 0.00130084+0.0153988j -0.000522303-0.00660408j -0.00674284+0.0216779j 0.0128018+0.00299022j -0.017904-0.000337643j 
0.00170809-0.00369162j -0.00376554-0.00213399j -0.00165114-0.00328229j 0.00172535+0.00085556j -0.00157034-0.00424606j 0.0117896+0.00552156j -0.00760727-0.00455245j 0.00115368-0.00556511j 0.000929759+0.00353609j -0.00859356+0.00273798j 0.00838005+0.01077j 0.00255546-0.000152014j -0.000862395+0.00396272j -0.00413606+0.0139241j 0.00171316-0.00648392j 0.0206845-0.00840161j -0.0141244-0.00398434j 0.0054026+0.0150998j 0.0121799-0.00695206j -0.00660726+0.00266481j 0.00405733+0.0196626j -0.00277268+0.000274177j 0.00203515-0.00851665j -0.0103221+0.000326242j 0.00343116-0.00728438j -0.00388866-0.0113514j 0.0114808+0.00315792j -0.00642834-0.00496202j 0.00127232-0.0067137j -0.00567287-0.00060464j 0.00119786+0.00296143j 0.00104175-0.0221125j 0.00767142+0.0126156j 0.00725275+0.00929884j -0.0220942+0.00882108j -0.0151239+0.00301369j 
0.0106997-0.0153119j -0.0157117-0.0117191j 0.00149177+0.0113818j -2.58635e-05-0.00171633j 0.0032049+0.0115913j 0.00678136+0.00573184j 0.00528269-0.00118619j 0.000209233-0.00419048j 0.00273365-0.00241327j -0.00289776-0.000672681j 0.00117057+0.00485178j 0.00298754+0.000276406j 0.000702037+0.00166726j -0.00231904+0.0012069j 0.00542179-0.00435936j 0.00420882-0.000246276j -0.00665731+0.00668641j -0.00477331+0.000762121j 0.0286555-0.000797523j -0.00468541-0.0050549j 0.0114458+0.011038j 0.00279062+0.00654928j 0.00132739-0.025693j -0.000909049-0.00930446j 0.00879809-0.00527481j -0.00436331-0.0118376j 0.0168577+0.00177116j 0.00314052-0.00690304j 4.50639e-05-0.0237518j 0.00241159-0.00225817j -0.00541952-0.00749172j 0.0140285-0.0240584j 0.0187973+0.00686584j 0.00961467-0.00516484j -0.0198186-0.00570592j 0.00459641+0.00371434j 
