-6.24551e-05+0.0021456j -0.00628431+0.00174694j 0.000364542+0.00430663j -0.00694947+0.0219281j 0.00541522-0.0187955j 0.0037855-0.0201986j 0.00355908-0.0203171j -0.00371263-0.000203307j -0.00252628-0.0203583j 0.0030798+0.0204639j -0.00620219-0.018854j 0.00777752+0.0210635j -0.000129422+0.00377613j -0.00608282-0.00134913j -0.000214323-0.00206485j 
0.0011601-0.00169829j 0.00871805+0.00438038j -0.00760696-0.00871835j -0.00528358-0.000684403j -0.00211208-0.00105791j -0.0285862-0.00583337j -0.0230116-0.00703394j -0.00315812-0.000435589j -0.024352-0.00234912j -0.0187982-0.00394779j 0.0302048-0.00821217j -0.0192182+0.00676165j 0.00525666-0.00133846j 0.0127106-0.0134485j 0.00360658+0.00262257j 
-0.00267014+0.00234852j -0.0132445-0.0103644j 0.00328851+0.00114144j -0.0215133-0.00364727j 0.0283645+0.00662967j 0.018316-0.000867745j -0.0273556-0.000532909j 0.00240633-0.00227715j -0.0258902+0.00656571j 0.0263-0.00566709j 0.000226082+0.000376222j -0.00659092+0.000398711j -0.00877171+0.00851805j -0.00749028+0.00481347j -0.00121339-0.0018122j 
0.00156203-0.00191637j 0.00212841+0.00340466j 0.00226032-0.0146174j -0.00552162-0.00722961j -0.00137774+0.00125265j 0.00158003-0.000188129j 0.00020413-7.44622e-05j 0.00234049+0.0111092j 0.000768613-0.0136606j -0.00372551-0.0283526j -0.00426837-0.0152118j 0.00923917+0.00308743j -0.00650962-0.00978654j -0.0242533-0.0148298j 0.00997674-0.00377273j 
0.00112695+0.00170147j -0.00223346+1.13429e-05j 0.0130827+0.00480278j 0.0053429-0.00288953j -0.00354906+0.000756818j 0.00213822+0.00189001j 0.000664416-0.000474418j -0.0117024+0.00315377j 0.0150572-0.00205569j 0.0305704-0.00905784j 0.0154001-0.0019512j -0.00204558+0.0111294j 0.0101515-0.00100006j 0.0145592-0.0205742j 0.00240765+0.00870584j 
0.0015493-0.00281824j 0.00503999+0.00956882j -0.00550789-0.0155866j -0.00660004-0.013926j -0.00496256-0.0133127j -0.0108545-0.012712j 0.00258218+0.00422377j -0.00209366-0.00361534j 0.00800062+0.00791457j 0.017944+0.0162331j -0.00684011-0.0024053j -0.0181445-0.00961815j -0.0203034-0.0086818j -0.00209597-0.00469192j 0.00405427-0.000343494j 
0.00248055+0.00072007j -0.00372747+0.00599379j 0.0166444-0.00486461j 0.0161366-0.00706334j 0.00775085-0.00393147j 0.0204839-0.0127447j -0.00889498+0.00470675j -0.0014278+0.000620206j -0.00577184+0.00711192j -0.0121109+0.0138696j 0.00620351-0.00945407j 0.00863723-0.0153419j 0.00680991-0.0184724j 0.00479562-0.00721708j 0.00211135+0.00440171j 
0.00100298-0.00488392j 0.0148358+0.0172866j -0.00738608+0.000483733j 0.00326966+0.00948963j -0.0168209-0.00984414j 0.0258907+0.0169331j -0.0141875-0.00734285j -0.0120156-0.00537969j 0.00137229-0.000712914j -0.00247497-0.00413606j 0.0051754+0.00397232j -0.00399131+0.000647814j -0.0137452+0.00475826j 0.000262349+0.00118042j 0.00163645-0.00190862j 
-0.00472164-0.00217647j 0.0185962-0.0134736j -0.00445433+0.00444091j 0.00396461-0.00281079j -0.0115254+0.0159115j 0.0123274-0.028029j -0.00571507+0.0157526j -0.00476928+0.0118738j 0.000615965-0.00117888j 4.05232e-05+0.000326403j -0.000206962-0.004988j -0.00415965+0.00397073j -0.00114006+0.0168476j -0.00201825+0.0020171j -0.0019423-0.00356955j 
0.00328322-0.00181131j 0.0035331-0.00144657j 0.0064086-0.00392388j -0.00386474+0.00189013j -0.000104924+0.000211036j -0.00330611+0.0054478j -0.00379147+0.00193576j -0.000874635+7.19655e-05j 0.00721455-0.00266331j 0.00267435+0.00409512j 0.0163182-0.0131547j 0.0104685-0.0102899j 0.000161474+0.00579489j -0.0029631+0.0225331j -0.00660147-0.0161514j 
-0.000987171+0.00449835j 0.00159227+0.00442537j 0.000185139+0.0138165j -0.00395855-0.00389021j -0.00339379+0.000464011j -0.00119833-0.00906086j -0.00414545-0.00708462j -0.00113603-0.00315219j 0.00484399+0.0146606j -0.00134571+0.00646295j 0.0262884+0.0215734j 0.0201024+0.0100046j 0.00123927-0.00779177j -0.0286861-0.00279784j 0.0225604-0.00533167j 
