-0.00200773-0.000129485j 7.5291e-05-0.0019156j 0.000420515-0.000922946j -0.00089599-0.000557603j -0.0010599+0.000142193j 0.000779087-0.000162121j 0.00146609+0.000190404j 0.000534922+0.00129684j 0.000419954-0.000917179j -0.000301245-3.64676e-05j -0.000508704-0.00076749j -0.000933567-0.000139566j -0.000244314-0.001472j -0.000570385-6.39038e-05j -0.000264939-0.000511075j 0.000167133-0.000236028j 7.46301e-05-0.000975266j -0.000129478+0.000208513j 0.000501738-0.000691042j -0.000515856-0.000778102j 0.000362014-0.000323644j 0.000363501+0.000127772j -0.000290113-0.000816119j -0.00107198+0.000605673j -0.000122159-0.000502962j 0.000402074-0.000583374j 0.000273089-5.03544e-05j 0.000676663-0.000514925j 0.000113747+0.000157026j -0.000269291+0.00106031j -0.000296491-0.000759968j 0.000495892+6.44901e-05j -0.000378222-0.000231543j -0.000389782-0.000238562j -0.000836883+0.000402086j 1.48427e-05+0.000213282j -0.00130789+0.000422709j -2.27636e-05-0.000303167j 0.000935683-0.000371001j 0.000688031-0.000270601j 0.000334801-0.000513881j -0.000871387+0.000503591j -5.97427e-05-0.000542437j 0.000161313-0.000750661j -0.000605869-0.00086094j -0.00219872+0.000337657j 8.82345e-05+0.000419134j -0.000346831+0.000608032j -4.47642e-05-0.00033229j -3.03263e-05-0.000989706j -0.000109922-0.000174148j -0.000668175-6.79642e-05j -0.000537198-0.000641586j -0.00118111-0.00117625j 0.00086925-0.000190008j -0.000970426-0.000816759j 0.00031034+0.000333612j -0.000219267-0.000482709j 0.000951163+0.000456154j 0.000178661+0.000226155j -8.5606e-05-2.17028e-05j -0.000220176+0.000953386j -2.55431e-05-0.00043321j 0.000465707-0.000458597j 0.000226853+0.00066874j -5.40664e-05+0.000402361j 0.00105569+0.000929742j -0.000695218-0.000768182j 6.78649e-06+0.00165258j -0.000405152+0.000835903j 0.000533004+0.00118738j -0.0007343+0.00178247j 0.00112531-0.000702511j -0.00066524-0.000785246j 0.000698743-0.000487702j 0.00382522-0.00443871j -0.00441132-0.00373486j 
0.000168628+0.000160676j -0.000274657+0.00022185j 0.0012945+0.000279039j 0.000387076-0.00122636j -0.000773759-0.000503288j 0.00106403+0.000986878j -0.000537647+0.00123758j -0.000586334-0.000984518j -0.000508267+6.83718e-05j 0.000390151+2.49452e-05j 0.000698149-0.000462131j 0.00107272-0.00153302j 0.000265301+0.000409367j 0.000699081-0.000247287j -0.000159041+0.000420009j -2.12657e-05-0.000327471j 0.000620756+0.000785305j 0.000521314-0.000184858j 1.84567e-05-0.000507579j 0.000739584-7.87897e-05j -0.000362676-0.000298562j -0.000165725-0.000464357j 0.000392479-0.000185916j 0.000827234+0.000201501j 0.000141541+0.000609573j -0.000346648+0.000150364j 0.000723652+0.000141347j 3.6955e-06-2.70687e-05j -0.00018502+0.000307927j -0.00102131-0.000405042j 0.00116528+0.000886139j 0.000905448-0.00100852j 0.000362283-0.000181149j 0.000148797+0.000877161j 0.000585737+0.000668163j 4.13014e-05+0.00025656j 2.19318e-05-0.000100726j 0.00100039+0.000491899j 0.000334628+0.000331881j -0.00144543+7.85171e-05j -0.000437227-0.000920573j -0.0013222+0.000933891j -0.000203013-0.00119976j 4.59538e-06-3.93997e-05j -0.000777064+0.000454765j 7.29138e-05-0.000810113j -0.00122392-0.000732703j 0.000493804+0.000213097j -0.000407942-0.000184j -9.40196e-05+0.00131119j -0.000564382+0.000612006j -0.000759612-0.000650959j 0.000604143+0.000686029j -0.000982772+0.000546982j -0.00020286+0.000510042j 0.000179284+0.00050195j 0.000395961+0.000124854j -0.000420914+0.000466783j 0.000282844+0.00136307j -0.000290599-0.00011495j -0.0010385-0.000159239j 0.000408826-0.000340091j 0.000151721+0.000118829j -0.000286765-0.000461409j 0.000801929+0.000233438j 0.000686336-0.00101579j -0.000168546+0.00147098j 0.000775254-0.000179267j 0.0006077+4.57005e-05j 0.000118585+0.00095725j -0.00126793+0.00138327j -0.000537647-0.00032798j -0.000820021-0.000438115j 0.00133482-0.000780065j 0.000946133+0.00138101j -0.00437785+0.00278309j 0.00286746+0.00458408j 
0.00216542+0.000284338j -0.000246942+0.00191811j -0.0014924+0.00219332j 0.00188398+0.00177974j 0.00224883-0.000165901j -0.00178934+0.000447828j -0.00231621-0.00100712j 0.000760752-0.0017971j -0.000699501+0.000595951j 0.000210483+0.000832343j 0.00100057+0.00150008j 0.00171469+0.00154591j -0.000433264+0.00131425j 0.000728858+0.000342092j -6.52382e-05+0.000145357j -0.000358027+0.000480877j -0.000917634+0.0014434j -0.000130578+0.000415106j -0.000220991+0.000706737j 0.000707265+0.00167602j 5.85526e-05-4.1738e-05j -0.00017525-0.00035067j 0.000922547+0.00129864j 0.000859883-0.000113164j 4.87517e-05+0.000688029j -0.000228951+0.000466481j -0.00072037+0.000575377j -0.000717278+0.000368127j -0.000298185-0.000620972j 0.000292596-0.00150031j -0.000707306+0.00158234j 0.000573911+0.000397084j 0.00063207+0.00105869j -0.000917716+0.000381527j 0.000660519-0.000166565j -0.000123331-0.00019824j 0.000226218-0.000842867j -0.00030972+0.00089233j -0.00155992+0.00145696j -0.000538001-0.000798553j 0.000792243+0.000302436j 0.000284975-0.00215942j 0.000901455-0.000100933j 0.000218072+0.000519241j -2.66161e-05-0.000386341j 0.0024992-0.000737717j 0.000682897-0.00176561j -0.000795296-0.000291191j 0.000123193-0.000154356j -0.00166081+0.000594945j -0.000433192-0.000913723j 0.00107649-0.00113658j -0.000193514+0.000959694j 0.000906268+0.000273773j -0.00155432+7.92391e-05j 0.000973196+0.000970512j -0.000307395-0.000465755j -0.00027307+9.63102e-05j -0.00290647-5.2189e-05j -9.72464e-06-2.70182e-05j 0.000159193-0.00141696j 0.000491346-0.000100903j 0.000125506+0.000407753j 0.000217198-0.000111782j -0.00051026+0.000182727j 0.000816689+0.000756718j -0.00288708-0.00113532j 0.000456025+0.00156213j 4.93895e-06-0.000779889j -0.000129728-0.000552986j -0.00163736-0.00242635j 0.00117804-0.00169839j -0.000322457-0.000726496j 0.00138429+0.00516269j -0.00523981+0.00153138j -0.00541712+0.00116356j 0.000827701+0.0054077j 
0.0036274-0.000715697j 0.000784538+0.00365445j -0.0040273+0.000348651j 0.000509974+0.00417425j 0.00205774-0.00129326j -0.00228671-0.000714192j -0.00120617-0.0013046j -0.00142925-0.00187924j -0.00044186+0.0023815j 0.00056277-0.00106938j -0.00142412+0.00186912j 0.00203555-0.000237298j 0.00113466+0.00191655j 0.00168866+0.000502522j 0.00178166+0.00113261j -0.000260988+2.65351e-05j 0.000126743+0.000756199j -0.000452351-0.00131257j -0.00254826+0.000676064j 0.00149281+0.00181141j -0.000587348+0.00177788j -0.000535398+0.000817781j -0.000135392+0.00149617j 0.00186268-0.00188417j -8.92333e-05+0.000606761j -0.000978519+0.000892278j -3.88077e-05-0.00120453j 0.000290937+0.000599155j 3.38692e-05+0.000448321j -0.000552632-0.00201228j 0.000435587-1.51001e-05j -0.00179198-0.000661744j 2.68073e-05+0.000770713j 0.000564336+0.000658775j 0.00211261-0.00141875j 0.000540823+0.00125386j 0.0020071-0.000880785j -0.000150339+0.00167693j -0.00108219+0.00117899j -0.00097237-2.90009e-05j -0.00164396+0.00129721j 0.00161007-0.000558332j -0.00051569+0.000675078j -0.00125107+0.0012574j 0.00147846+0.000750272j 0.00343106-0.000953702j 0.000299791+3.92091e-05j 0.000938931-0.000567719j 0.000166375+0.000759412j 0.000211289+0.00175323j -0.00026432+0.000325887j 0.00138078+0.000134502j 0.000993356+0.000886612j 0.00255743+0.00205395j -0.00115019-0.000772403j 0.00203558+0.00128918j -0.000688646-0.000572903j -0.000344464+0.00244411j -0.00178398-0.000340152j -0.000715934-0.000334468j 0.000731753+0.000257518j -9.07309e-05-0.00181681j 7.82934e-05+0.000102726j -7.55162e-05+0.000560752j -0.000453801-0.00126638j 0.001313-0.00102067j -0.00199771-0.00212404j 0.00175633+0.00103146j -0.00137916-0.00312547j 0.000147916-0.00282799j -4.10748e-05-0.00281716j 0.00211228-0.00327468j -0.00297396+0.000601872j -0.00342282+0.00429993j -0.00413797-0.00388865j -0.00300736+0.00802092j 0.00803014+0.00277832j 
0.000774392-0.00049294j 0.000263429+0.000796782j -0.00156425-0.00157317j -0.0012629+0.00169764j 0.000736013-0.00229377j -0.00134896-0.000159624j 0.0015793-0.000189813j 7.29484e-05+0.00173264j 0.00185262-0.000174338j 0.000679301-0.000831899j -0.00091985-0.000503255j 0.00121898+0.00115098j 0.000514628-0.000508222j -0.000870103+0.000672174j 0.000343882-0.000530753j 0.00135322+0.00045837j 9.41874e-05-0.000593588j 0.000202483+0.000161266j 8.36809e-05-0.000346721j 0.000118784+0.000404176j 0.000150807+0.00029406j 0.000515582+0.00084975j -0.000629613-0.000842378j -0.00122115-0.000106388j -0.000642895-0.00144084j 0.00029201-0.000768577j 0.000368825+0.000341761j 0.00161492+0.000980421j -0.000289125+0.00026696j -0.000103805-0.000931423j -0.000685009-0.000638341j -0.000242668+0.00130959j -0.000549062-0.000444284j -0.000658252-6.65423e-05j -0.00139842+0.000313062j -0.000510984+0.00151254j -0.00059464+0.000310014j -0.00126694+0.00139927j 0.00116321+0.00109703j 0.00163053-0.00166837j 0.00133742-0.000546326j -0.00159107-0.00131674j 0.00142897+7.08083e-05j -0.00015111-0.000875502j 0.000533013-0.00153434j -0.000780721-0.000126539j 0.000914105+0.000518301j -0.000663076+0.00188767j 0.00022747-9.4821e-05j -0.000895367-0.000344374j -0.000830569-0.000574201j 0.000620961-0.000555345j -0.000927677-0.000543795j 6.73969e-05-0.00262177j 0.000923899-0.000733899j -0.000402329-0.00128085j -0.000794468+0.0011125j -0.00149148-0.000244271j -0.000856718+0.000694302j 0.000695393-0.000314675j 0.000604845-0.000281637j -2.33845e-05+0.000731873j -0.000264708-0.000455995j 0.00137201-0.000133089j -0.000757638+0.000594507j 0.00218413+0.00153193j -0.000527331+0.00013901j 0.000512615+0.00014235j -0.00198921+0.00126257j -0.00192262-0.00163418j 0.000733322-0.00111613j -1.7525e-05+0.00158347j 0.0018391-0.00127222j -0.00359775-0.000804023j 0.00061669-0.00354073j 0.00502915-0.00411978j -0.00426328-0.00494044j 
-9.57724e-05+0.00135705j -0.00133205-0.000196793j -0.00036891+0.000131184j -4.99482e-05+0.0007347j 0.00200948+0.000659834j -0.000577595-0.00104938j -0.000189005-0.000594862j 0.00038409-0.000678189j -0.000539572+0.00046166j 0.000367307+0.000818639j -0.000399003-2.69469e-05j -0.000634672+0.00222282j -0.00147876+0.000621122j -0.000912369+0.000336027j -0.000518711+0.000113621j -9.75664e-05+0.000842124j -0.000834321-0.000357458j 0.000153742+0.000562003j -0.000495216+0.000174858j -0.000622658-0.000151951j -0.000437292-0.000265595j -0.000784908+0.000349633j -0.000132433-0.000814043j 6.32093e-05+0.000418288j 0.000459717-0.00095132j 0.000465405-0.000944292j -0.000607272+0.000135192j -0.000657765+0.000247303j -0.000356176-0.000432895j 0.00170244+0.000899691j -0.000710877-0.000221018j -0.0012603-0.000412814j 0.000578852-5.30717e-05j 0.000444301+0.0004834j -0.0011944-0.000857691j -0.000875457-0.000507233j 0.000255591+0.0023195j -0.00172021-0.00110275j 7.92543e-05+0.00068605j 0.00134979+0.000185744j 5.02462e-05+0.000723373j 0.000885438-0.00095695j -0.000772841+0.00192709j -0.000653384-0.000731901j 3.21274e-05+0.00158258j 0.000113886+0.00263611j 9.35111e-05+0.000612453j -0.00087234+0.000986235j -9.1812e-05+0.000259543j -0.000837638+0.000459938j -0.000550099-0.000309467j -0.000352223+0.0017254j -0.000130543+0.000557495j 0.000962772+0.000981556j 0.000322368+0.000785712j -0.000211979-0.000248389j -0.00122467-0.000607779j 0.00016172-0.000333197j 0.000390182-0.0012313j 0.00154158-0.000260877j -0.00038069+0.00056483j 0.00101812-0.000661237j -0.00035803-0.000292035j -0.00128365+0.00123484j 0.000196051-0.00045223j -0.000319898+0.0017963j 0.00141606-0.000971548j -0.000308328+0.00120644j 0.00209447-0.00177074j 0.0032526-0.000654j 0.00128964+0.000114291j 0.00175859+2.37626e-05j -0.0016202-0.00118035j 0.0043292+0.00282022j -0.00240153+0.00459653j 0.00548183-0.00453717j -0.00454554-0.00543832j 
-4.58792e-05-0.000376222j 0.000447633+5.87492e-05j 0.000538913-0.000871845j -0.000597304-0.000409875j 0.000632655+0.000187087j 0.000336503-0.00113981j -4.36062e-05+3.33398e-05j -0.00112283-0.00130057j -0.000831932+0.00135723j 0.000613813-0.000424399j -0.000840046-0.000296704j -0.000319732-0.00088148j 0.000440843+0.00079069j 0.000448649-0.000297815j 0.000739915+0.00079732j -0.000465021+0.000246085j 0.000306963-0.000431938j -0.000253398-0.000322975j -0.0010354+0.000391067j 8.0569e-05-0.000618849j -0.000508341+0.000662817j -0.00035657+0.000298946j -0.000186196+0.000206252j 0.000676376-0.000549885j 0.000466629+0.000139109j -0.00066913+0.000146315j 0.000542528-0.00047582j -0.000656569+7.04081e-05j 0.000477952+0.0005083j 0.000403914-9.16169e-05j 0.000544523-0.00167425j -0.0016927-0.00107871j -0.000280411+0.000129023j 0.00112603-0.00062732j 0.000543317-0.00131733j 0.000221334-0.000498796j 0.00126586+4.43503e-05j 0.000580672-3.48547e-05j -0.000336179-0.00132224j 0.000290379+0.00134375j -0.00167197+0.00110462j 0.00238091+0.0013435j -0.00134196+0.000964071j -0.000340905+0.000586417j 0.000938579+0.000891137j -0.00044225+0.000400105j -0.000282265+0.00140832j 0.00117963-0.00094414j 0.000533701+3.13528e-05j 0.00240689-0.000912815j 0.00131672+0.00178046j 0.000950412+0.00155411j 0.000994219-0.00056087j 0.00221347+0.00180192j 0.000418597+0.000209673j 0.000272321+0.000202419j -0.000234443-0.000376551j 0.00169133+0.000717969j 0.00194216-0.00153138j -0.000999326+0.000121328j 0.000588428+0.00296714j -0.00129528-0.00164705j 0.000242746+0.00025776j -0.000649552+0.000794403j 0.00107351-0.00214589j -0.000865011-0.00227593j 0.00176778-0.000598103j 0.000525605-0.000693767j 0.000490731-0.0029531j 0.00237907-0.00160486j 0.00146703+0.00102782j 0.00171467-0.00140541j -0.00262679-0.0005346j 0.000654757-0.00568419j 0.00610636+0.000831465j 0.00125777+0.00729642j 0.00767417-0.00136681j 
-0.00455118+0.000800676j -0.000723552-0.00448149j 0.00558972-0.000963387j -0.00133803-0.00610491j -0.00420475+0.00347829j 0.00407266+0.000195198j 0.00277193+0.00187462j 0.00102953+0.00399923j 0.00137296-0.00295342j -0.00144168+0.000373067j 0.00209512-0.00255793j -0.00473906-0.00174904j -0.000212244-0.00293906j -0.00249375-0.0018485j -0.00180715-0.00152196j -0.000279077-0.000200515j 0.00110804-0.00156134j -0.000137128+0.000739316j 0.00244356-0.000276327j -0.00165241-0.00280559j 0.000277084-0.00152415j 0.000271022-0.000396047j -0.000382162-0.00184284j -0.00234964+0.000981812j 0.000288782-0.000928349j 0.00116463-0.000173813j 0.000106953+0.000791676j -0.00053648-0.000569109j 0.000291822-0.000806947j 0.000504778+0.00376325j 0.000364419-0.000415609j 0.000621789-4.66766e-05j -0.000213199-0.0016409j 0.000734134-0.0010861j -0.0015789+0.00151936j -0.000855708-0.00220989j -0.00195243+0.00124182j 0.000541704-0.00337347j 0.00190893-0.00252359j 0.00126752+0.00156379j 0.0012048-0.00106443j -0.00121763+0.00175295j -0.000427232+0.000464471j 0.00107947-0.00127986j -0.00138001+0.00159648j -0.00357443+0.00188956j -0.0015922+0.00150292j -0.000165047-0.000526363j -0.00105937+0.000148074j 0.000642501-0.00112631j 0.00129313-0.000857197j -0.00282794+0.00133089j -0.000512042-0.00155516j -0.00331694-0.000800574j 0.00109584+0.00101154j -0.00222933-0.000709897j 0.000971927+0.000265849j 0.00174778-0.00203476j 0.00472484+0.000232523j 0.00190101+0.000492992j -0.00130683-7.88192e-05j 0.0011503+0.00159753j -0.000435115-0.000203026j -0.000747398+0.000242317j 0.000333333+0.000884343j -0.00295726+0.000386927j 0.0043473+0.00263918j -0.00216042-0.00253887j 0.0027532+0.00475228j 0.00135801+0.00675594j 0.000129147+0.00546981j -0.00420163+0.00621903j 0.00729672+0.000623341j 0.00141548-0.00555745j 0.00444146+0.00167361j 0.00693724-0.0045131j -0.00441557-0.00685125j 
0.0037533-0.00174451j 0.00171838+0.00366746j -0.00515263+0.000979599j 0.00100707+0.00572734j 0.00440518-0.00194631j -0.00379002-0.00141739j -0.00147445-0.00281173j 0.000484005-0.0030768j -0.00117886+0.00229567j 0.00131492-0.000133748j -0.00107111+0.00196782j 0.00317008+0.00128917j 1.61876e-05+0.00198039j 0.00181781+0.00088008j 0.00099859+0.00105997j -0.000910356+0.000777269j -0.00126303+0.000384933j -0.00129422-5.9082e-05j -0.00256572+0.000749934j 0.0018224+0.00226662j -0.000592145+0.00133651j -0.000611921+0.000405004j 0.000614777+0.00207266j 0.00140449-0.000520693j 2.54891e-05+0.000467081j -0.00122164+0.000144438j 0.000232822-0.000277789j 0.000303504+7.47456e-05j 0.000112145-2.31549e-05j -0.000592307-0.00232154j -0.0011845-1.20893e-05j -0.000801714-0.000748077j -0.000168364+0.00244294j -0.000564246+0.000844563j 0.00152605-0.00118754j 2.26814e-05+0.00123487j 0.000355187-0.000675014j 0.00031312+0.003217j -0.00139182+0.00211799j -0.000180463-0.00112641j -0.000763579+0.000830799j 0.00132079-0.00210936j -5.75017e-05-0.000126546j -0.0011916+0.00024928j 0.000356992-0.000884051j 0.0023516-0.000615269j 0.00172498-0.000886698j -0.000561568+0.000251291j 0.000715164-0.000326625j -0.00135997+0.000545963j -0.000508773+0.000255845j 0.00192264-0.000968707j -0.000179387+0.00070597j 0.00237873+0.00116158j -0.00195085-0.000320383j 0.00129939+0.00151573j -0.000674603-0.00111268j -0.000609518+0.00263442j -0.00280245+6.42256e-05j -0.000610002+9.43537e-06j 0.000876247+0.000134626j 0.00022326-0.000983819j 0.000142409+0.00023589j 0.000339247-0.000398976j 0.000445753-0.000957506j 0.00305971-0.00062832j -0.00306145-0.00180495j 0.00203868+0.00177432j -0.000437948-0.00214947j -0.000479391-0.0018129j -0.000857858-0.00577742j 0.00622349-0.00183109j -0.00133983-0.004321j -0.00198238+0.0061757j -0.00627797-0.00156325j -0.00185868+0.00746624j 0.0072388+0.00184228j 
0.00121134+0.00047236j -0.000468812+0.00119023j -0.00299033+0.000597965j 0.000477403+0.0032867j 0.00230355-0.000348758j -0.000918745-0.000637822j -0.00136661-0.000372105j -0.00119742-0.00293923j -0.00186443+0.00284331j 0.000307877+0.000227431j -0.00264574+0.00181773j 0.00178926+0.00040527j 0.000180053-0.000404862j 0.00246739+0.000555795j 0.00257759+0.00096859j -0.000624253+0.00016028j -0.000110531+0.000380547j -0.00109454-0.000572192j -0.00195848-0.00143935j 0.00167522+0.00196524j 0.000763963+0.00160036j 0.000403475+0.00142287j 0.000392646+0.000673439j 0.000735945-0.00149699j 0.000489728+0.00101106j -0.000204492+0.000320307j 0.000789079-0.00123736j -2.03883e-05-0.00029013j -0.000169439+0.00110391j -0.000322488-0.000688817j 0.000133007-0.000344891j -0.000555164-0.00210339j 0.000366864+0.000586228j -0.00217913+0.000970596j 0.00261605-0.00232115j 0.001351+0.000561527j -0.00130327+7.32421e-05j -0.000976073+0.00226385j -0.000554218+0.000336389j 3.31531e-05-0.00104878j -0.00134619+0.000703661j 0.000329018+0.000581015j -0.00164316-0.00115633j -0.000529326+0.000442536j -0.00112787-0.00103645j -0.000344249-0.000949995j -0.000602438-0.00128699j 0.000942553+0.000136527j 0.000330343-0.000767051j -0.00101625-0.000408249j -0.00214226-0.0010339j 0.000620287-7.02917e-05j 0.000335867+0.000790862j 0.000918761+0.00166704j -0.000896453-0.00217825j 0.000664958+0.000415924j -0.000812418-0.000613047j -0.000700934+0.00227955j -0.000221048+0.00120157j -0.00131962+0.00112754j -0.000107374-0.00036135j -0.000941092-0.000775574j 0.000604379-0.00170868j 0.00102097-0.000968164j 0.00176982+0.000177492j 0.00187652-0.000316022j -0.00164424+0.000575477j 0.000881223+0.000398793j -0.00064002-0.00138178j 0.00375056-0.00195932j -0.00128722+0.0030186j -8.23171e-06-0.00300371j -0.00383028-0.00430127j -0.00536149+0.00706185j -0.00677173-0.00443605j 0.00316361+0.00285364j 0.00275664-0.0030891j 
0.0102046-0.00119759j 0.00109523+0.0102336j -0.0106495+0.0013076j 0.00189614+0.0119471j 0.00947221-0.00493443j -0.00695574-0.00456844j -0.00168274-0.00515927j -0.000188183-0.00716255j -0.00216921+0.00580055j 0.00439343-0.00243649j -0.004+0.00283645j 0.00758866+0.00187508j 0.00259208+0.00397259j 0.00300471+0.00151786j 0.0028796+0.00150046j -0.00158145+0.00094272j -0.000107392+0.00201291j -0.0024811-0.00269995j -0.00704057+0.00107494j 0.0040897+0.00613731j -0.00169477+0.00253885j -0.00115671+0.00108708j -0.00036764+0.00442823j 0.00342945-0.00425416j -5.24454e-05-0.000545389j -0.00287799+0.000889227j 0.000459931-0.000559433j 0.00190304+0.000287086j 0.00114197+0.000288211j -0.00122907-0.00364222j -0.00138425-0.00319858j -0.00246008-0.00219591j -0.00114829+0.00511766j -0.00131741+0.000638938j 0.00507335-0.00349923j 0.00276038+0.00312657j -0.000752027-0.00249989j 0.000227154+0.00580925j -0.000287087+0.00484859j 5.04232e-06-0.00317278j -0.00158319+0.000311352j 0.00448366-0.00281477j -0.00167674-0.0022609j -0.00319335+0.000109398j 0.0016487-0.00253733j 0.00391231-0.00233379j 0.00209163-7.21113e-05j 2.31876e-06+0.00288491j -0.000195065+0.000296983j -0.000922235+0.00181734j -0.000427144-0.000329188j 0.00330849-0.00177192j 0.000766457-0.000533092j 0.00586901+0.00168787j -0.00127405-0.00295542j 0.00331204+0.00150341j -0.000437677-0.00164359j -0.00094875+0.00598084j -0.00729654+0.000854118j -0.000584236+7.92299e-05j 0.00210544+0.000788626j -0.0011138-0.00191254j 0.00221946-0.00073436j 0.00401243-0.000804688j -0.002338-0.00433281j 0.00727454-0.00313501j -0.005453-0.0060574j 0.00407033+0.000317345j -0.0037154-0.00819464j 0.00267782-0.0106091j 0.00618652-0.00462381j 0.00677356-0.000963226j -0.00777172-0.00457839j -0.00223032+0.0151395j -0.0141845-0.00193285j -0.00442649+0.0144267j 0.0143477+0.00440332j 
