0.0127061+0.00758891j 0.012142-0.0343736j 0.0113213-0.0555364j -0.0207669+0.00951986j -0.00145003-0.000408313j -0.00939996-0.00260642j 0.000728194+0.0107308j 0.00498004-0.0165484j 0.00701325-0.00502787j -0.00844457+0.00216335j 0.00464223+0.00111342j -0.00364337+0.00331573j 0.00760503-0.00387931j 0.0046303+0.0131082j -0.0153898-0.00157485j 8.3486e-05-0.032567j -0.0228297-0.0147423j 0.0182752-0.00352386j -0.00395665+0.0131456j -0.00400108+0.0156932j 0.00558865+0.0153731j -0.00976203-0.00973927j 0.00267569+0.0140956j 0.00624108-0.00114725j -0.00674724-0.000380051j 0.00257125+0.005165j 0.00321751-0.00413817j 0.0159136+0.000468409j 0.00460882-0.00187943j 0.00240982+0.00528367j 0.00445157+0.00211442j -0.00237419+0.0013718j -0.00385928-0.0215891j -0.0117366+0.0130274j 0.00857062-0.00120036j 0.00565662+0.00385947j 0.00573019-0.00271402j 0.00618049-0.0064244j -0.00262824-0.00809261j -0.00508217-0.00604083j 0.00730091+0.00512382j 0.0023518+0.00906292j 0.00280596+0.000830219j -0.0133677+0.00542532j -0.00760913+0.000777485j -0.00127086-0.00193536j 0.00424766+0.0101783j -0.000333115-0.00703811j 0.00198652-0.00842661j -0.00376928-0.00364788j -0.000662799-0.00202528j 0.00642838+0.00218871j 0.000523543+0.00571581j 0.0133718+0.000222535j 0.0039809-0.00667064j -0.00236392+0.00846488j 0.0122786+0.0031069j -0.0107754-0.0098452j 0.0110787+8.11157e-05j 0.00630298+0.00327516j 0.00364587-0.0143595j -0.00388859-0.00047983j 0.0041776+0.00524837j 0.00051903-0.00181371j -0.00513031+9.63861e-05j -0.00297832+0.00287808j -0.00410988+0.00109059j 0.0025884+0.00119641j -0.00269422-0.00141458j 0.0051777-0.00277226j -0.00311958-0.00339228j -9.07057e-05+0.00169369j 0.0047172+0.00239316j -0.00300505-0.000528213j 0.00382216+0.00309591j -0.00214971-0.00722471j 0.00195704+0.00156749j -0.000661341-0.00614336j 0.00546654-0.0047466j 0.00180746-0.00215375j 0.00591855-0.000988568j 0.00167187-0.00178052j 0.000387496-0.0022695j 0.000711343+0.00332108j -0.00187774-0.0042868j 0.00384833+0.00625224j -0.00582781+0.00502524j -0.00824315+0.00908228j 0.00410642-0.00254348j 8.11024e-05+0.000466347j -0.000747217-0.00222816j 0.000622946+0.00297223j -0.00106515+0.00359112j -0.00676875+0.00674556j 0.000453938-0.00535841j 
0.000402031-0.0179501j 0.00131814+0.0192709j -0.00493661+0.0113864j 0.0153031+0.00734451j -0.00330013+0.0066277j -0.00827602+0.00583356j -0.0158529-0.000715346j 0.0104183+0.006891j -0.00682474+0.00508845j -0.0174987+0.000471584j -0.00464398+0.00127169j 0.0162668+0.00849797j -0.0197948-0.00169481j 0.00309339-0.000520834j -0.0132977-0.0133222j -0.0504583-0.00999196j -0.00962611+0.0300396j -0.00586375-0.0123256j 0.0135955-0.0027977j 0.0194588+0.00766583j -0.00218469-0.00847909j -0.00927939-0.00983262j 0.0112687+0.021556j 0.00112904+0.00345541j -0.000190206-0.000339678j 0.00453879+0.0143203j -0.00450546-0.00606381j -0.00125565-0.0131677j -0.00696087+0.00226249j 0.00231286+0.000268665j 0.00131437+0.00742307j 0.00607364+0.00345131j 0.00259828-0.0200704j -0.00522876+0.0198567j -0.00372177-0.0120045j 0.00610566+0.0106201j -0.00455777-0.0011338j -0.00820627+0.001359j -0.00195934-0.00102833j -2.73165e-06+0.00769697j 0.00717916-0.000439599j -0.00547721+0.00466167j 0.000355753+0.000263135j 0.00399605-0.00514909j 0.00628682+6.00846e-05j -0.000908231+0.00175931j 0.00263969+0.00135619j -0.00246654+0.00352142j -0.00519131+0.000866879j 0.00286367+0.000901267j 0.000570208+0.00193099j -0.000558416-0.00217874j -0.00102641-0.00394809j -0.00907103+0.00137244j -0.000538634-0.000675703j -0.000176634-0.00775847j -0.00336087+0.00307428j 0.00478177-0.00162962j 0.00315125-0.00394052j -0.00373175-0.00315622j -0.0111537+0.0076595j -0.00309783+0.00521425j 0.0102039-0.00177803j 3.8999e-05+0.000258438j -0.0033551+8.60423e-05j 9.22824e-05+0.00219007j 0.00376331-0.0067223j 0.000467018+0.00701883j -0.00117951-0.00184804j -0.0105485-0.00504022j -0.00179435-0.00175543j 0.004024-0.00261082j 0.00364799+0.00514799j -0.00038672+0.00574167j 0.00559421+0.00545444j -0.00104316-0.0146328j -0.00146488+0.00391975j 0.00440316-0.000327181j 0.01008-0.00944555j 0.00394652-0.00153632j 0.0036653-0.00717783j -0.00371462-0.00121339j -0.00663483-0.00976771j -0.0048596+0.00239844j -0.00523142+7.03674e-05j 0.0107214+0.00840335j -0.00324196-0.00712646j -0.00468573+0.0118665j 0.0038408-0.00221106j -0.000161157+0.000236954j 0.00149352+0.00117235j -0.000645753-0.0010515j -0.0061848-0.00680005j 0.00157975+0.0050292j 0.00665554+0.00446677j 
-0.00366248-0.00288178j 0.00130195+0.000622137j -0.000908182+0.00520739j 0.00160374-0.00114391j -0.00566309+0.00130467j 0.00329091-0.00258852j 0.00868398-0.00357287j -0.0162172+0.00124984j -0.0154256+0.00093413j -0.0277903+0.00671166j 0.0241772-0.00220145j -0.0120987-0.00119019j -0.000991082-0.00221186j 0.0402855+0.0104373j 0.00200152+0.00434923j 0.000635997+0.000285968j 0.000262497+0.00124085j -0.00155683+0.000178459j 0.00246006-0.000912157j 0.000244634-0.000673957j 0.00748159+0.0166243j -0.00528384-0.00849266j -0.00546787-0.0091605j -0.00270838-0.0104205j -0.00479222-0.0210708j 0.00177475+0.00799532j 0.000231503-0.0082481j 0.00592756+0.000587654j 0.00216245-0.00941494j -0.00320992+0.0245463j -0.00017412-0.0130837j 0.00272518-0.0287908j 0.00385712+0.00106674j 0.00324453-0.000550979j -0.000270592+0.00496745j 0.000813342+0.0110653j -0.000232682+0.00115216j 0.000157597-0.00074922j 0.000299811+0.00296498j 0.00160343+0.00540301j 0.000407486-0.00385151j 0.0022175-0.00285711j -0.000872077-0.00172524j 0.00144287-0.00249656j -5.61321e-05-0.000683617j 0.00624143-0.00195347j 0.000708604-0.00373521j -0.00203257+0.00092869j 0.0010183+0.00181366j 0.00127462+0.0026256j -0.0028344+9.2289e-05j -0.00216686+0.000356319j 0.00104656-0.000447521j -0.000354917-0.000213609j -0.000866667+0.00240156j 0.00293321-0.00309324j -6.60308e-05+0.00182831j 0.00203432+0.00341581j 0.00500044-0.00255499j 0.00297755-0.000942073j 0.00242495+0.00458683j -0.0020202+0.000974034j 0.00051157-0.00302953j 0.0106629-0.000895848j 0.00108284-0.00215433j -0.0085208+0.00228304j 0.00108601+0.0109355j 0.00739109+0.00979557j -0.00514653+0.0104817j 0.0124675+0.00675947j -0.000689366-0.0114626j -0.00131638+0.00523915j 0.00177129-0.00124066j -0.00664887+0.0077071j -0.00115117+0.0109661j -0.00800811+0.00776003j 0.00512496-0.000783663j -0.00704944-0.0118717j 0.00731365-0.00312028j 0.00134553-0.000752862j 0.00237462+0.00251436j 0.00317273-0.0172891j 0.00378167+0.0048215j 0.00243816-0.00315033j -0.0112259-0.00233449j -0.00842934+0.00110016j -0.00805674+0.000263988j 0.00630578+0.000880725j 0.00494185+0.00235366j 0.000149768+0.00053103j 0.00127953+0.000330125j -0.00357825-9.30486e-05j -0.00199911-0.000182478j 0.0030057-0.000540769j 0.000254127+0.000370462j 
-0.00274768-0.0156876j -0.00200043-0.0102279j -0.00634885-0.016749j -0.0159423+0.00908312j 0.0123316+0.0177364j 0.0100627+0.0220977j 0.0133611-0.00569754j -0.0126726-0.00459351j 0.00262949+0.0210462j 0.000207696-0.0162836j -0.00195644-0.00149182j -0.00523467+0.00923659j -0.000812237-0.0225349j -1.70406e-05+0.00286275j 0.0219303-0.0288908j -0.0256325-0.0545367j -0.0902426+0.0297956j 0.0464488-0.0350432j 0.00531449+0.00981606j 0.0150879+0.0534057j 0.00618117+0.00910792j -0.00774763+0.00459372j 0.00458353+0.0141827j 0.00580617-0.00643641j -0.00254996+0.0232377j -0.00215798+0.0134026j 0.000995177+0.0116386j 0.0122228-0.0102222j 8.92851e-05-0.00582048j -0.000963089-0.00652321j 8.76656e-05-0.0302303j 0.0065296-0.0054888j -0.0144586+0.00585139j 4.33138e-05+0.0283078j 0.0112964-0.0262893j 0.0267551-0.00721061j -0.00510602+0.00191245j -0.00307119+0.00940598j -0.00748181-0.0104773j 0.0014827+0.00615514j 0.014272+0.000883439j -0.003163-0.00104764j 0.00123798+0.0117373j 0.00109413+0.00382248j 0.00105731+0.000499547j -0.00739573+0.00137661j 0.00777455+0.00069579j 6.02527e-05-0.00224674j 0.000550717-0.00698544j 0.00471407+0.00282123j -0.000921583+0.00113707j -0.00735324-0.002644j -0.0028451-0.00570945j -0.00213565+0.00125313j 0.00185828+0.00521865j -0.000465438-0.00480392j -0.00457384-0.00184558j 0.000903639+0.00783203j 0.00359774-0.00587005j -0.00623558+0.00269338j -0.00462878-0.00100529j 0.00268373-0.00341784j 0.0147835+0.00901452j 0.000976935+0.000300739j -0.00758407-0.0106676j 0.0015167-0.005759j -0.00554073+0.00884759j 0.00885475-0.0123623j 3.6357e-05+0.00334622j -0.00633525+0.00614888j 0.00145623+0.00523754j 0.00196655-0.00537701j 0.00554892+0.000466234j 0.000942959-0.0030048j 0.0038936+0.00507418j -0.00407844+0.0109493j 0.0016263-0.00247432j 0.00823976+0.0033484j 0.00231643-0.000163708j 0.00459825+0.000600263j 0.00584081+0.0037899j -0.00293973+0.00500791j 0.00755949-0.00148765j -0.00569223+0.00505246j 0.00102784-0.00570671j 0.00693353+0.00378876j -0.00303953+0.0025171j 0.00517688+0.00121749j 0.0152086+0.000648362j 0.00308455-0.00127563j -0.00356468+0.00570437j 0.00270427-0.0051554j 0.0123808-0.00257805j -0.00211698+0.0292222j -0.025586-0.000262207j 
-0.00851342-0.00210708j -0.00847534-0.00497504j -0.0044197-0.00507707j 0.0116045+0.00563991j 0.00257988+7.94124e-05j 0.00335901+0.0018348j -0.00801582-0.015051j 0.0022089+0.003661j -0.00401393-0.00904945j 0.000448348+0.0226147j 0.00269068+0.0480868j 0.000116984-0.0089129j 0.0105537-0.0313499j 0.00691539-0.0128173j 0.0095603-0.0170108j -0.0202159+0.011969j 0.00574082+0.00841492j -0.00975205-0.00595846j 0.0092112-0.00508222j 0.00755414-0.00616564j 0.00270547-0.00491179j -0.000948491+0.00287824j -0.00106019+0.00163463j -0.0015837-0.00219162j 0.00326768-0.00176686j 0.00140156-0.00168453j 0.00100042-0.00495466j 0.00464758-0.0188932j -0.00239539-0.00327782j 9.65444e-05-8.24306e-05j 0.000400752-0.00222786j 0.000762868+0.00380585j -0.00310249+0.00366665j 0.00610344-0.00195939j -0.000865694-0.00166952j -0.00168338-0.00817149j 0.000692147-0.00101598j 0.0018396-0.00133697j -0.00230503+0.00252849j 0.00361037-0.00122766j 0.00243895-0.00172461j 0.000452074-0.000530072j 0.00167767+0.00587628j -0.00139053-0.00120705j -0.00252736-0.000677885j 0.00306319+0.00341904j -0.000424903+0.000747469j 0.00184806+0.00283688j -0.00117073-0.000933433j 0.00267065-0.00294149j 0.00134517-2.25424e-06j 0.000662602-0.000554379j -0.0016637-0.000611322j -0.000261972+0.00374779j 0.00248692+0.00419145j -0.00398279-0.000235163j 0.00257804+0.000661273j 0.0002192+0.0043916j -4.73481e-05+0.00385963j 0.000125389+0.000605159j -0.00131429-0.00269163j -0.000548433-0.0017122j -0.000961667+0.00185417j 6.37058e-05-0.00512027j 0.000257927-0.00180895j -0.000211943+0.00185305j -0.0041004+0.00120738j 0.00275596-0.00188561j 0.00143375+0.00501655j -0.00287898+0.00216781j 0.0080332+0.00665105j 0.00101521-0.0115793j -0.0250628-0.0144588j -0.0154395+0.022861j 0.0181325-0.00526381j -0.00755954-0.0110283j -0.00270463+0.00248111j 0.00585799+0.00327497j -0.00184458+0.00759474j 0.00186997+0.00108631j -0.000808474+0.00761146j -0.00242206-0.00541535j 0.00386938-0.00317021j -0.00288888+0.000726308j -0.000221372+0.00502387j -0.00164544-0.00509914j 0.00190582-0.0021478j 0.00344529+0.00168043j -0.000822168+0.00117536j 0.00151118+0.00691308j 0.00633432+0.000281634j 0.00299786-0.00459081j -0.000600496-0.00300552j 0.00507941-0.00255022j 0.00146462+0.00381544j 
0.040131+0.00507733j 0.0362616+0.00184j 0.0379978+0.00987324j -0.0522808-0.0145207j -0.0111761+0.0197265j -0.0161151-0.004167j 0.0187395+0.0085144j -0.00986334-0.021784j 0.0204311+0.00483353j 0.0170262-0.00824059j 0.00716468+0.00052687j -0.0105869-0.0325759j 0.0248104-0.0121482j 0.00236085-0.0054635j -0.0166363+0.0122006j 0.0637491-0.0397205j -0.0266789-0.113743j 0.0390989+0.0472136j -0.0242235+0.0214586j -0.0541736+0.0195511j -0.00456799+0.0125527j -0.0106746-0.0124278j -0.0012877+0.0152703j 0.0156705+0.015379j -0.0208817-0.00133118j -0.0104833-0.00305153j 0.00593031+0.0054254j 0.0105612+0.0209672j 0.0147841+0.00487985j 0.00548265+0.0028829j 0.0133911-0.00148867j -0.0069347+0.0039589j 0.00644163-0.0140387j -0.0356542+0.0014863j 0.0241857+0.00825724j -0.000507468+0.0410283j -0.00100466-0.00571604j -0.0150095-0.00743719j 0.00757828-0.0161572j -0.00381153+0.0122525j -0.00041424+0.0225418j 0.000310589+0.00627827j -0.0100473-0.0051767j 0.00204013+0.00361562j 0.00268981+0.000326154j -0.00366946+0.00128672j 0.00218589+0.000448169j -0.00470993-0.00301228j 0.00316678-0.00671543j -0.00359465-0.00363204j -0.0054451+0.00564163j -0.00872747+0.00155748j -0.00352765-0.00015075j 6.72303e-05-0.0120988j -0.00955222-0.00732269j 0.012843+1.32858e-05j -0.00258453-0.0106643j 0.00162674-0.0163385j 0.00988672-0.00398184j 0.0134497+0.00580395j 0.00683256-0.00557359j 0.00359096+0.00389939j 0.00238841-0.00354178j -0.00424609+0.00424019j -0.00394961-0.00854523j 0.00545231-0.00155957j -0.00145064+0.0016385j -0.000905748-0.00131707j 0.00428203+9.55705e-05j 0.00980864-0.00262448j 3.37791e-05+0.00258859j -0.00190518+0.000106706j -0.00399645-0.000881158j -0.00591306+0.00475497j 0.0023697+0.00142667j 0.000762669-0.00542746j 0.00168354-0.00187244j 0.00294716-0.00664856j -0.0117055+0.00319583j 0.00106248-0.00221987j -0.00164314+0.0027241j -0.00178689+0.000245023j 0.00493951+0.000135536j 0.000333342+0.00584292j 0.00196099-0.011114j 0.00494151+0.00974038j 0.00117295+0.00558048j -0.00828634+0.0112079j -0.000669856-0.00106385j 0.000911418+0.00317748j -0.00542276-0.00693647j 0.0102102+0.00560328j 0.0112416+0.0103207j -0.0272371+0.0135371j -0.0112895-0.018948j 
-0.00267635-0.0263146j -0.0117327-0.0337327j -0.00755978-0.0265608j -0.0146418+0.0444362j 0.0166475+0.0233712j 0.000663637+0.00613333j -0.0103412-0.0212616j -0.0110852-0.00280876j 0.00312828-0.0298477j -0.0124843-0.0201706j 0.00430997-0.0255748j 0.00293609+0.00306802j 0.0155105-0.0276863j 0.00755467+3.27016e-05j 0.0183801+0.00129235j -0.0521572-0.0567292j -0.099286-0.00285239j 0.030482-0.0295422j 0.00752473+0.00696223j 0.0250641+0.0375088j 0.00633711+0.00707216j -0.010751+0.00842207j 0.00205667+0.0165495j 0.00468556-0.00609094j 0.00497105+0.0241505j 0.00708539+0.0177063j 0.0046346+0.0129935j 0.0169556-0.0132257j -0.00661258-0.00702543j -0.000908491-0.00710203j -0.000418928-0.031166j 0.00680189-0.00386163j -0.0196836-0.00224802j 0.000337205+0.0331802j 0.0112282-0.0429936j 0.031105-0.00149345j -0.0132118+0.00776689j 0.00235869+0.00449306j -0.0108566-0.010605j 0.00632844+0.00587431j 0.0188459-0.00513606j -0.00118827+0.00592596j 0.011055+0.0181559j 0.00226105-0.000445209j -0.00174039+0.00562272j -0.00802964+0.0114461j 0.0126197+0.00853984j 0.00221806-0.00172551j -0.00375869-0.0108545j 0.0117766+0.00217275j -0.00113789+0.0080762j -0.00370305-0.00805189j -0.00116142+0.0036616j -0.00400286+0.00407346j 0.00313864+0.00529985j -0.00971553-0.0126842j -0.0124944-0.00201688j -0.00151957+0.00938583j 0.00449153-0.0127567j 0.00860704-0.00602014j -0.0106904-8.68651e-05j 0.00629109+1.22339e-05j 0.0056093+0.00430984j 0.00205175+0.00086019j 0.00733589+0.0130764j -0.0033606-0.00323482j 0.00471212-0.00203737j -0.00375989+0.000351768j -0.000158238-0.00448359j 0.00392699-0.00406333j -0.00253126-0.00169335j -0.00879224-0.00141597j 0.00233984-0.00102941j -0.000212023+0.00189052j 0.00421576+0.00353453j -0.00151887-0.00251853j 0.00571643-0.000674351j 0.00107976+0.00156422j -0.00322923-0.00240072j 0.00260931-0.00113744j -0.00653472-0.00421526j -0.00382441+0.00283786j -0.00311606-0.00318988j -0.00336573-0.00389439j 0.00596311-0.0150971j -0.0039927+0.00359692j 0.0017274-0.00866244j 0.0212859+0.00456176j -0.00484849-0.0112655j 0.00192848-0.00311253j -0.000721096+0.00606793j -0.000319874-0.00239112j 0.00696914-0.00544577j 0.0162391+0.0157236j -0.0263007+0.0155365j 
-0.00685012-0.012509j 0.00641788-0.0142538j -0.00467087+0.0017865j -0.00928961+0.0288441j -0.00164816-0.00481384j 0.00100129+0.011728j 0.000301501-0.0188619j 0.00196854+0.00534374j -0.0102912+0.00544437j 0.0063933-0.000860595j -0.00331166+0.0194308j 0.0153592+0.00577677j -0.0079873+0.022742j 0.014769-0.0050102j -0.0324536+0.0332369j 0.0152012-0.0226394j -0.0105299+0.0202182j 0.00282443-0.000512317j -0.0164812-0.00530429j 0.00738398-0.0108578j -0.00938125+0.000443652j 0.00340023+0.000753888j 0.00197692-0.000197034j 0.00215387+0.00825497j -0.00829593-0.00962455j -0.00159511-0.00356854j 0.00254114+0.00554738j -0.000636246-0.00116419j 0.00628832+0.00377738j 0.00130173+0.00379111j -0.00969064+0.000956593j -0.00495667+0.00139037j 0.00419604+0.000302442j -0.00149241-0.0126603j -0.00887082+0.00441609j -0.0084261-0.00177458j -0.00956356+0.00364217j 0.00947431+0.00256825j 0.00416239+0.0042799j -0.00789867-0.00865101j -0.00645042-0.00575519j -0.00106245+0.00207476j 0.0125572-0.00717553j 0.00105943+0.00757976j 0.000294681+0.000396362j 0.00430765-0.000607984j -0.00248346+0.00425032j 0.00345443-0.00473568j 0.00506342+0.00546447j 0.00318054-0.00211036j -0.00828249-9.69345e-05j -0.00370677-0.00263024j 0.0109893-0.00623035j 0.00735848+0.00854246j 0.0023015-0.0120558j 0.00594695+0.0108504j -0.00391132+0.00171936j 0.00199431+0.00789464j -0.00326879-0.00279473j -0.00862969-0.0016861j -0.00170147+0.00907104j 5.60725e-05+0.00294895j -0.00138922-0.00101405j 0.00115627-0.00200092j 0.00157017-0.0114208j 0.000140654+0.00193208j -0.00102311-0.0018739j 0.00182039-0.00259899j 0.000240475+0.00105315j -0.00259854+0.00545809j -5.2966e-07-0.000185167j 0.00138537+0.00125718j -0.000517319-0.00156444j -0.00105711-0.000850327j -0.000159365-0.00235965j 0.00063132-0.00376945j -0.00124805+0.000351914j 0.00114692+0.00197922j -0.00165668-0.00175823j 0.00181904-0.00182421j -0.000171414+0.000701096j -0.00251937-0.00281181j 0.00201781-0.00413158j -0.000271993+0.00325466j -0.00459465+0.00896565j 0.00350798+0.0027703j 0.00306117-0.00431463j 0.00253013-0.00442091j 0.0002443-0.00350105j -0.00115905+0.00113377j 0.000551721-0.000407897j 0.00102581+0.00013229j -0.00110405-0.00434654j 0.00336542-0.00920522j 0.00561199+0.00290221j 
0.0105632+0.00962893j -0.00442463+0.00680981j 0.0102263+0.00293262j -0.00768301-0.0142318j 0.0063448+0.00389613j 0.0263682+0.0120029j -0.0161856-0.0236152j -0.0068145-0.0130981j -0.0232041-0.0108359j 0.0129379+0.00856967j -0.00456416+0.00877914j -0.00898116-0.0046029j 0.0199325+0.0473252j -0.00278743-0.00177245j 0.0036223+0.0141209j 0.00930467-0.0217021j 0.019801-0.0149521j 0.00815051+0.0106292j 0.011233+0.0158539j -0.00920254+0.00514118j -0.000666244-0.00336315j 0.000311635-0.00711694j 0.00635816+0.00576628j 0.000318402-0.00420764j -0.00559249-0.0097268j -0.00535442-0.0122669j -0.00533283-0.00164175j 0.00838235+0.00219875j -0.00207776+0.00207148j -0.000352136+0.00189048j 0.00571624+0.00138471j -0.000277567+0.00111391j 0.00400241+0.00423969j 0.00121805-0.00228537j 0.00123853-0.00599039j 0.000677376+0.00433874j -0.00220805-0.00673825j -0.0187384+0.00278059j -0.000138321+0.0024838j -0.000927069-0.0108907j -0.000434701+0.00180227j -0.00236267+0.000349694j 0.007045+0.00267293j -0.0139417-0.000718674j -6.68977e-05+0.00245473j 0.000722041+0.00426927j -0.00414422-0.00924128j -0.00739475+9.10723e-05j -0.00741439+0.00447453j -0.00247662-0.00260513j 0.00266532-0.00648036j -0.00259479+0.00331652j 0.00151583+0.00726401j 0.00990052+0.00822411j 0.00893311-0.00339513j -0.00916446+0.00285612j -0.00781311-0.00951857j -0.000253202-0.00866726j 0.00627188-0.00770982j 0.00628064-0.00720688j 0.000176596-0.00184186j -0.000223179+0.00460299j 0.00218479-0.00307744j -0.000944323+0.00301004j 0.00495253-0.00178127j 0.00158294-0.000389403j 0.000361478-0.000252431j 0.00206329+0.000992212j 0.000439783-0.000464095j 0.00113017-0.00341946j -0.000600807+0.00156895j -0.000588827+0.00176171j 0.00128947-0.00270674j -0.0019611+0.000307144j 0.00158671+0.00159513j 0.000670785-0.00245788j 3.22993e-05-0.00434888j -0.0013034-0.000449716j -0.00134528+0.000262686j -0.000272755+1.18231e-07j 0.00215626+0.00306265j 0.00125671-0.00157657j 0.00198801+0.00077966j -0.000498835+0.00159392j 0.00157349-0.00256646j -0.000618994+0.000210166j 0.000943401+0.000581575j -0.00384055+0.00464946j 0.00272909+0.0062433j 3.87803e-05+0.00116811j -0.000128256+0.00139497j 0.00152492-0.000715319j 0.00192347-0.00115594j -0.00336394+0.00433349j -0.00101612-0.00148908j 
0.00366201+0.0048814j -0.0111845+0.00790768j -0.0159121-0.0173436j -0.00607292-0.0114966j 0.0116027-0.00131275j 0.00267234+0.000273633j 0.0108335-0.00954036j 0.00223078+0.0112339j 0.00298055+0.0148363j -0.0213695-0.014164j -0.0306024+0.00754555j -0.0128142+0.005735j -0.0657286-0.0166165j -0.00301639-0.00844077j -0.0070867+0.0202954j -0.00444306-0.0232319j -0.0550269+0.0120896j 0.020324-0.0142958j -0.000425422-0.00135119j 0.0283995+0.0259697j 0.00393139+0.0141907j -0.00259819+0.00091026j 0.0159184+0.00288741j -0.00539874-0.0150448j 0.00326065+0.0311493j -0.00339777+0.0222997j -0.00254171+0.0216886j 0.00519636+0.00852618j -0.00320336+0.00202236j -0.0030025-0.00754379j -0.0168228-0.0259015j 0.00963545-0.0147489j -0.00536824-0.00437134j -0.000318966+0.025186j -0.0103668-0.0363947j 0.0282042-0.00546295j -0.00010098+0.0118291j 0.00203221+0.0138017j -0.00607023-0.0101455j -0.00511527+0.00657377j 0.0157923-0.00150539j -0.000891297+0.00670319j 0.00053336+0.00423653j 0.00449445+0.00850096j 0.00251891+0.000627041j 0.000426914+0.00685298j -0.00345326+0.00383765j -0.00446195+0.00911843j -0.00137046+0.000406736j 0.00113322+0.000926984j -0.00152417+0.00588571j 0.00738617+0.000579582j -0.000668449+0.0034536j 0.00233491-0.0117422j -0.00927537+0.00240351j -0.00372062-0.00411729j -0.00870088+0.0137384j -0.0109367-0.00225256j -0.0072401-0.0116497j 5.81075e-05-0.00555402j -0.00239982-0.00141175j 0.0076225-0.00198102j 0.000227443+0.00458671j 0.00426097+0.000217161j -0.00361009+0.0106433j -0.00377724-0.00357303j 0.00577571+0.00225851j -0.00650079-0.00229462j -0.00159409-0.000476165j -0.00188898-0.00487754j -0.00157368+0.00135508j -0.00128986-0.00320132j 0.00174361-0.00399268j -0.00388418+0.0070895j 0.00593825+0.00269005j -0.00282469+0.00164127j -9.84512e-05-0.000587727j 0.00140482+0.000319097j -0.000302107+0.00107943j 0.00203059+0.00124117j 0.00218386-0.00186402j -0.00196581+0.00468492j -0.00385054-0.000707293j 0.00108903-0.00284682j 0.00320379-0.0143513j -0.00214657+0.00124632j -0.00454538-0.00317919j 0.0104071+0.00283551j -0.00136125-0.00683744j -0.000811312-0.00076757j 0.0011797+0.00334579j -0.00270077-0.00415108j 0.00178576+0.000141176j 0.0112512+0.0169492j -0.0182431+0.00880611j 
0.00735628+0.00485286j 0.0154005-0.0026491j 0.0300814-0.0104795j -0.00313162-0.0212152j -0.0176872+0.00271022j 0.00362549+0.00276499j 0.00963294-0.000380483j 0.0169058+0.00616336j -0.0011688-0.000984677j 0.00291045-0.0129174j 0.0117268-0.0114515j -0.0106909+0.0146281j 0.029618-0.01878j -0.0180946+0.00851219j 0.00608948+0.00673419j 0.0385845-0.0215159j -0.00750598-0.10102j 0.033539+0.0535799j -0.0120547-0.0196582j -0.0519902+0.0196108j -0.0058222+0.00307265j -0.0095261-0.00212907j -0.0108283+0.00569385j 0.00341178+0.0196368j -0.0284065-0.00887126j -0.0199675+0.000750649j -0.0140715+0.00527606j -0.000614938+0.0132591j 0.00750975+0.00533248j 0.00452077+0.00255693j 0.0328615-0.0026757j 2.67683e-05+0.00286577j 0.00725825-0.0126134j -0.0227651-0.0104459j 0.0234337+0.00913072j -0.00647961+0.0271905j -0.00342192-0.013591j -0.00528892+0.00821446j -0.00069894-0.0084533j -0.000778633+0.00512624j 0.00551526+0.0180018j 0.00062323+0.00523805j -0.00935761+0.0101718j -0.00339551+0.00405323j 0.00543648-0.00725283j -0.00873141-0.00265801j -0.0102306+0.00723549j 0.00333572+0.000258819j 0.00615098-0.00170028j -0.00842794+0.0030007j -0.011343-0.00108297j 0.000683877-0.00364823j 0.00561506+0.00622591j -0.00602885-0.00482671j 0.00147545+0.00183441j 0.00264335+0.00589451j 0.00850173-0.00609268j -0.00985336+0.00277991j 0.00429408-0.00159238j 0.0146821-0.000882037j -0.000957824-0.00850189j 0.00534706+0.00534058j 1.41089e-05-0.00207735j -0.0021442+0.00188563j 0.00316425-0.0106646j 0.00276497-0.000925418j 0.000458317-0.000610684j 0.000503307+0.000688745j 0.00411169+0.000266617j 0.00352876+0.00163889j 0.00318437+0.00176013j -0.00422304+0.00386258j 0.00194293+0.00113347j 0.00082474+0.00342795j 0.000253215+4.801e-05j 0.00507807-0.00228985j -0.000978316-0.00730805j 0.00109921-0.00252768j -0.00860748-0.00218448j 0.00612359-0.00404235j 0.00420758-0.00395629j 0.000706739+0.0042552j 0.00345963+0.00372493j 0.00393119+0.00719539j -0.00761303-0.0100676j 0.0040618+0.0157373j 0.00128534+0.00464478j -0.00682425+0.0115168j 0.0111815-0.0008065j 0.00179569+0.00163643j -0.00630705-0.00714771j 0.00705348+0.00817865j 0.0108695+0.007298j -0.0218157+0.0144202j -0.0121769-0.0179841j 
