0.000242968-0.00130902j 0.00126826-0.0058926j -0.000579448-0.000598628j -0.00466733+0.0099278j 0.000715295-0.00236553j 0.000108824-0.000229339j -0.00215847+0.00372905j -0.00477019+0.00766162j 0.00286009-0.00482793j -0.000596153+0.00137278j -0.00286365+0.00471756j -0.00101947+0.00169721j 0.00161851-0.00165278j -0.0041634+0.00556806j -0.00530826+0.0082671j -0.00432045+0.00673423j -0.00295445+0.00651695j 0.00376185+0.00217617j -0.0264167+0.0303128j -0.0153354+0.0372429j 0.0314842-0.0222127j 0.220555+0.0591674j 
0.00101903-0.00705136j 0.00211711-0.0162718j -0.00403637+0.00462057j -0.00751108+0.0198291j 0.00523788-0.00945263j 0.00513321-0.0116075j -0.00342472+0.00921007j -0.00496192+0.0105946j 0.007063-0.00964526j 0.00225112+2.02606e-05j -0.00382787+0.0112078j 0.00112188+0.000119385j -0.00774443+0.0162956j -0.00879862+0.00792185j -0.0146836+0.0239842j -0.00417765+0.032604j 0.00382975+0.0123274j 0.0108557-0.0220106j -0.0116801+0.00192649j 0.0214214-0.0531409j 0.116898+0.0671035j 0.0242076+0.00669784j 
0.000490754-0.00147257j 6.90852e-05-0.00108211j 0.00116317-0.0112985j 0.0058236-0.018374j 0.00900935-0.0215974j 0.00495498-0.0111275j 0.00780526-0.030004j 0.00861722-0.0269578j 0.00534457-0.0170621j 0.00109035+0.00362382j 0.00689415-0.0246172j 0.00931045-0.0464251j -0.0114544+0.0520721j -0.00106121+0.0285955j -0.00167895-0.0191992j 0.00464921-0.0466879j 0.0054864-0.0123159j -0.00290055+0.0335866j 0.0127268+0.0439451j 0.0536341+0.0691779j -6.44996e-05+0.00248522j -0.012105+0.00366763j 
0.000392525-0.00876131j 0.000915811-0.0158737j -0.00497207+0.0145655j -0.00712941+0.0238114j 0.00545289-0.0112485j 0.00322138-0.0160345j -0.00208985+0.0190136j -0.00291025+0.0112465j 0.00862431-0.0153634j 0.0062944-0.0163231j -0.00259126+0.039046j -0.00228836+0.0312846j 0.00968135-0.0191203j -0.00450267+0.0142927j -0.00134067-0.00364811j 0.00470287-0.057423j 0.0105278-0.00372378j 0.0128502+0.0102897j -0.0368873-0.0675906j 0.000313102-0.00852285j 0.0254672+0.0131229j 0.0266192-0.00455909j 
-0.000617467+0.00262115j -0.000809595+0.00715511j 0.000509456+0.00768395j 0.00140797-0.00736417j -0.00154222+0.0011942j 0.00414684-0.00681698j 0.00482903-0.0129571j 5.91682e-05-0.00580421j -0.00441437+0.0182284j 0.00335269-0.0492542j 0.000645049-0.0117705j -0.0113223+0.0654678j -0.00338682+0.00320593j 0.00123374-0.0160401j -0.000601103+0.0456486j -0.00469805-0.0248572j 0.00100708+0.0456876j -0.0330433-0.0673479j -0.0077756-0.00672654j -0.00235175+0.00172657j -0.0104128-0.00559818j -0.0145726+0.00294564j 
0.000220639+0.000606173j 8.33374e-05+0.00184975j 0.0024439-0.0146602j 0.00455381-0.0166775j 0.00531616-0.0191513j -0.00822001+0.0395692j -0.00264215-0.0110192j 0.00989485-0.0537963j 0.00395642-0.0448128j 0.00248884+0.0120244j -0.000447489+0.00553065j -1.04373e-06+0.00690753j 0.00303844-0.018966j 0.000615671-0.0421642j 0.00722305+0.0630324j -0.0019479+0.0142184j 0.0169896+0.0439597j 0.00543621+0.0142837j 0.0100348+0.0129356j 0.00750673+0.00952328j -0.00463932+0.000122465j -0.000932852+0.000384968j 
-0.000328439+0.0101692j -0.00103097+0.0166388j 0.00402485-0.0121247j 0.0065573-0.0292446j -0.0105301+0.0361381j 0.00334538+0.0162665j -0.00288399-0.011997j 0.00350373-0.00808334j -0.00224742-0.0344361j -0.00695835-0.0132331j -0.000352038+0.0630722j -0.0031575-0.00765539j -0.00407951+0.0134084j 0.0111133+0.0419134j 0.00174648+0.0178835j 0.00376426+0.0224677j -0.00202104+0.00817291j -0.0101773-0.0094904j 0.0163563+0.0234749j -0.00534778+0.000137469j -0.0260783-0.00772877j -0.0212878+0.00498294j 
-7.66142e-05+0.0014027j -0.000704674+0.00450977j 0.00117439-0.00414968j 0.00781282-0.0378079j 0.00942691-0.0498585j 0.00840502-0.0393312j 0.00563643-0.0458642j -0.00154469+0.0464233j -0.00180379+0.00634866j -0.000626134-0.0004591j 0.00081071+0.0184635j 0.00470311+0.0716911j -0.00526742-0.0600669j 0.00242853-0.00143851j -0.000275143+0.000276639j -0.000866947+0.00506271j 0.00641351+0.0129642j -0.00836111-0.00803205j 0.00359758+0.0052947j 0.00872719+0.00807028j -0.00742302-0.00254135j -0.0123147+0.00372737j 
-0.00144783-0.00253113j -0.000841967+0.00578044j -0.00795248+0.0668837j -0.00927738+0.0404892j -0.00614782+0.0332019j 0.00136058+0.0165024j 0.00143017-0.0522829j 0.00164822-0.023698j 0.00135975-0.034334j 0.00491532+0.0548057j -0.00559344-0.0290076j -0.00777218-0.0595376j -0.000970838+0.0112397j 0.00385527+0.0176666j -0.0100601-0.0299517j -0.0128236-0.0287368j 0.00326525+0.0109535j -0.0132211-0.015803j -0.0145646-0.0123364j -0.0100292-0.00685376j -0.00135182-0.000520373j -0.00389494+0.00102799j 
0.0021005-0.0214407j 8.94075e-05-0.0542608j -0.00201386+0.0446884j -0.00544234-0.0383068j 0.00743428+0.0339466j -0.00805273+0.0234197j 0.000410791-0.0511257j -0.0156235-0.0391301j 0.0104707+0.012239j -0.00705403-0.0213674j -0.000106777-0.0125074j 0.004591+0.00205025j 0.0056705-0.000211345j -0.0132457-0.0159425j -0.00775994-0.0144259j 0.00159913-0.0062225j -0.00123821-0.00946799j 0.0204091+0.00728247j -0.0248776-0.0223012j 0.00669855-0.00556265j 0.0429606+0.0119263j 0.0779439-0.0252243j 
-0.00107314+0.0102473j 0.00276051+0.0292462j 0.0061423-0.0161652j -0.00284124-0.00679617j -0.00128209-0.00783078j -0.00234926-0.00820938j 0.00258927+0.00475542j 0.000329077+0.00202995j 3.21684e-06+0.000519351j 0.00122454+0.00457896j 0.000700945-0.0014542j 0.00104876-0.00182093j 0.00319069+0.00559157j -0.00126617+0.000480269j 0.00144015-0.00187627j 0.000977906-0.00259508j 0.000775672-0.000387893j 0.0130001-0.0046786j -0.00504223-0.0153254j -0.0196887-0.0345928j 0.0137943+0.0304857j 0.212445-0.0725846j 
