0.153794-0.0116582j -0.0625544-0.0478003j -0.011931-0.0257232j -0.314593+0.119151j 0.101679-0.106175j -0.158916-0.0885817j 0.366162+0.0657517j -0.0659685-0.143949j -0.210504-0.233391j 0.383171-0.11642j -0.100054+0.0390649j 0.0633204-0.032376j 0.12189-0.0128176j 0.261273-0.0860753j -0.441418-0.400089j 0.0884231+0.237568j 0.0189438-0.228804j -0.0227325-0.0888551j 0.362871-0.135571j 0.122496-0.0924763j -0.0307065-0.0774793j 0.564678-0.202264j -0.409994+0.0728019j 0.120764-0.313831j 0.0913344+0.36379j -0.229607+0.375668j -0.232518-0.503919j 0.0352318+0.0637749j -0.450579-0.414884j -0.145527-0.00206157j -0.671153+0.259181j -0.0192783-0.19063j -0.28048+0.101766j -0.299304-0.833382j -0.201499-0.394201j -0.281734+0.201598j -0.674923-0.607767j -0.602428+0.996721j 0.262109-0.113525j 0.797048-0.186674j -0.294702+0.0642233j -0.373301-0.929668j -0.233449+0.534738j 0.974996-0.468763j -0.136466-0.380746j -0.257564-0.330958j -0.285175-0.758917j 0.293392-0.482466j 0.328085+0.824572j 1.5431-0.246298j 2.30243-1.27126j -1.07919-2.12048j 
-0.0273636-0.022408j 0.0776033+0.3522j 0.239068-0.479743j -0.111348+0.547604j -0.199153-0.252289j 0.000416962+0.0831843j 0.281292-0.365062j 0.0315569-0.199322j 0.2083-0.130205j -0.424096-0.422109j 0.307653+0.54117j -0.0480621-0.328766j -0.000717072-0.110319j 0.104881+0.0337129j 0.0536034+0.466927j -0.102146-0.154224j -0.0170196+0.418608j 0.0607303+0.261449j 0.0535296+0.397933j -0.668077-0.431824j -0.0859917-0.118959j 0.203514-0.476154j 0.460799-0.799374j 0.12747-0.432701j 0.287717-0.790703j 0.833798-0.817637j 0.252729+0.158953j -0.387062+0.365079j 0.0304417-0.499909j -0.438914-0.757711j -0.420575-0.236154j -0.303871-0.21246j 0.544331-0.547037j 0.72832+0.684051j 0.245843+0.583571j 0.0527504-0.494363j 0.332704-0.0739437j 0.00368538+0.049239j -0.491136-0.149055j 0.257974+0.911136j 0.650349-0.00594814j -0.281028+0.321018j -0.413843-0.141231j 0.646112+0.164844j 0.43139-0.292115j 0.405828-0.72994j 0.413529-0.650044j 0.686201-0.349548j 1.80319+0.922098j -0.899388+1.16395j 0.69901-0.892503j -0.181775+0.759635j 
0.097309+0.023623j -0.390137-0.300013j 0.288879+0.00836639j -0.31365+0.581089j 0.226307+0.320504j -0.203804-0.317595j 0.378531-0.544294j 0.437068-0.33011j 0.358581-0.0605894j -0.209618+0.0729871j -0.923482+1.37719j -0.403317-0.936397j -0.0156477+0.298947j -0.186112+1.31002j -0.375857+0.108179j -0.276763-1.68433j 0.704839+1.00933j 0.0235327+0.616225j 0.931802-0.46534j -0.25742-0.720256j 0.110533-0.932347j 0.351684-1.16583j 0.103787-1.19196j 0.436864-1.23574j 0.224806-0.459265j -0.123975+0.138295j 0.14794-0.889634j -0.0229014+0.0727953j -0.0124441-1.67558j -0.340678-0.53013j 0.681576-2.16059j 0.0997445+0.0167814j -0.893797+0.278522j 0.220146+0.194309j -0.159673-0.257687j 0.477518-1.48706j -0.731891+1.97496j 0.0561651+0.405186j -0.120173-1.31731j 1.12135-1.22079j -0.579357-0.474969j 0.744493-0.191303j 0.607352-1.54284j -0.310023-1.63416j -0.292015+1.39721j 0.211672-0.536363j 1.08614-0.301508j 0.472629-0.799657j -1.70891-0.519361j 0.120676-0.652883j 0.180347+0.932717j -0.269847+1.04421j 
0.33995+0.0696063j -0.501925-0.315321j 0.0642219+0.0669164j -0.468451+0.0943755j 0.240149-0.102376j -0.080559-0.615909j 0.0728938-0.117352j -0.184351-0.277697j -0.044617-0.64297j 0.181297-0.822124j -0.104932-0.00242256j -0.204366-0.546609j -0.294276-0.191547j 0.239213+0.439535j -1.19844+0.110248j 0.878718-0.389268j 0.019069+0.183277j 0.222673-0.387137j -0.0182562-0.26422j -0.394277+0.62761j 0.101965-0.121464j 0.634425-1.21883j 0.101386-0.113322j -0.583404-1.05351j 0.0905457-0.909745j 0.820722+0.168117j 0.61291-0.842277j 0.318774+0.228499j -0.238912-0.20158j 0.134923+0.0725041j 0.591597-0.693426j -0.993667+0.457931j 0.105532-0.425674j 0.616916+0.0618306j 0.274934+0.0725756j 0.581562-0.982244j -0.646219+1.45817j -0.377526-1.67666j 1.40055+0.894178j -0.115687+0.261325j -0.109505+0.656953j -0.169085-0.738334j 0.919299+0.475821j 0.561877-0.236497j -0.401766+0.193571j -0.874845-0.285397j 0.163133+0.301071j 0.104205+1.48702j 0.837991+0.0638226j -1.49285+0.33613j 0.453455+0.435614j 0.0659877+0.540503j 
0.133401-0.130642j 0.00677588+0.105998j -0.202916+0.191753j 0.1862-0.511138j 0.825647-0.3597j 0.0944821+0.531682j -0.132554+0.109468j -0.257988+0.287661j -0.0644125-0.274177j -0.0348356-0.802484j 0.641143-1.15425j 0.219508+0.867954j 0.249251-0.273997j -0.518072-1.64637j -0.162284+0.387018j -0.319261+1.23894j 0.789187-1.40884j 0.653303+0.889244j -0.84009+0.347431j 0.275332+0.979182j -0.820439+0.667858j -0.677873+2.24867j -0.0658289-0.173536j -0.448358+1.82684j 0.928062-0.113484j -0.178831-0.312636j -0.554512+1.56345j 0.132487-0.482598j 0.27705+2.34864j 0.054411-1.23835j -1.0461+3.26868j 0.0359649-0.00605885j -0.592565+0.0750899j -0.335109-0.358215j 0.598523-0.105169j -0.653345+1.78211j 0.551676-2.88168j 0.161051+0.389349j 0.847173+1.11654j 1.20147+0.600418j -0.814987+1.60692j 0.215744+2.76045j -0.79919+0.547487j -0.333761+0.907247j -0.709108-0.304837j -0.321807+0.535436j 2.28738+1.63137j -0.535376-0.104134j 0.166935+0.340112j 0.0680229-0.363358j -0.051605-0.305545j 0.316089-0.307744j 
0.243855-0.354592j -0.0483344+0.636411j -0.238815-0.0748967j 1.14985-0.529833j 0.097048-0.554873j -0.366907+0.814795j -0.26634-0.401396j 0.0523033+1.18704j 0.609785+0.0815523j 0.178912-0.322089j 0.678592-1.67767j 0.531748+0.793124j 0.641578-0.435275j 1.10639-1.38311j 0.0964534+0.601086j -1.72686+3.29417j 0.332821-2.75721j -0.228021-0.989479j -0.477063+1.59666j -0.87013+1.21154j 0.360502+1.00792j -1.23297+3.81908j 0.749418+0.722686j -0.786628+3.51773j 0.000548218+0.456281j 0.0102882-0.178798j -0.819485+3.21576j 0.0995602+1.21322j -0.794207+2.72086j -0.326776-0.294316j -0.951907+4.53435j -0.444663+1.1872j -1.34503-1.50852j 0.288141-1.43861j -0.986835-0.485892j -0.049552+2.60175j 0.84366-3.23323j -0.0943606+0.118229j 0.340117+1.86863j -1.31617+0.527794j 0.0484563+1.67245j -1.36467+1.08385j 0.328523-0.946127j -0.0572124+0.549172j -0.572453-0.408232j -0.288901+0.505754j -0.839736+0.764611j -0.686085+0.858359j -1.47574+0.761846j 0.262474-0.154365j -0.248055-0.460707j 0.747654-0.054135j 
-0.329529+0.0771197j -0.113198-0.54933j 0.218419-0.190669j -0.183616+0.333024j -0.948168-0.3935j 0.423662-0.447389j 0.0825023-0.0398619j 0.517966-0.646909j 0.156016-0.116037j 0.536216+0.353747j -0.200298+1.59531j 0.837879-1.22708j -0.223388+0.407553j 0.0230943+2.69432j -0.614132-0.34918j 1.17041-2.74409j -1.17412+0.602904j -0.409847+0.596721j -0.429937-0.181771j 0.501244-0.031768j -0.499938-1.41199j -0.670514-3.20809j -0.674011-0.774135j 0.843777-2.45427j 0.21161+1.22964j 0.574308+0.108444j 0.53483-3.34373j 0.453811+0.345837j -0.297519-2.34414j -0.214041-0.653118j 0.840324-2.45391j 0.0694999-1.61444j -1.52979+0.590364j 1.13442+1.4051j 0.402384+0.172814j -0.240053-1.02243j -0.0584135+3.02726j -0.409919-0.313111j 0.642158-0.692381j -0.126538-0.900086j -0.675507-0.589051j 0.084891-0.248551j -0.526267-0.431957j -0.252889-0.809877j -1.59749+0.897636j 0.271864-0.628676j -0.0447326-2.27863j 0.435387-0.127401j 0.214569-0.46147j -0.00264496-0.342968j 0.1884+0.230922j -0.460847-0.0871848j 
-0.331584+0.257315j 0.309555-0.0315474j 0.23465+0.355493j -0.510073-0.500523j 0.842148+0.576403j 0.0933866-0.576989j -0.774123+1.02333j 0.065224+0.390884j 0.954862+0.105085j -0.00751714-0.494535j -0.0872339+0.379319j 0.353396-0.677888j -0.731651+0.561034j 0.331423+0.263973j -0.67025-0.426001j 0.36774-0.568362j -0.42706-0.397406j 1.02147-0.214951j 0.53048+0.745284j 0.3125+0.329848j -0.285084-0.704793j 1.20027-0.703861j 0.0373262-0.905967j 0.199358+0.490844j 0.539078-0.00265791j 0.0402506-1.35086j 0.807332-0.174264j -0.573355+0.233814j -0.114696-1.12677j -0.035979+0.990304j 1.36099-0.113497j -0.287665+0.623771j -0.60504+0.39946j -0.492614+0.762603j -1.16778-0.299352j 0.536498-0.755839j -0.424581+0.044148j -0.598044+0.422586j -0.413522-0.117771j 0.865287+0.399885j 0.445529+0.401638j 0.143366-0.062744j -0.0687626-0.604213j 1.08033-0.272718j -0.121341+0.557254j -0.329559-1.26346j -0.0315666+0.254829j -0.900388+0.393481j 0.53897-0.383805j 0.427411-0.188597j 0.548802+0.0312495j -0.263038-0.453044j 
-0.444936-0.112408j 0.267361-0.540321j -0.0576626-0.119052j -0.2573+0.00703022j -0.357072+0.56932j -0.271903+0.948734j 0.284009+0.466506j 1.55506-0.842079j -0.0922158-1.01837j 0.29061+0.0565823j -0.433047+2.12571j -0.662395-0.53146j -0.0733585+0.831666j -0.590043+1.68888j -0.396605-0.79251j 0.262756-2.16272j 0.0227235+2.3468j -0.524171+0.689817j -1.24101-0.134333j 0.954663-0.301005j 0.183808+0.773291j 1.16592-3.10238j -0.0926596+0.461531j -0.437473-1.85908j -0.430476+0.110395j -0.587049+0.113288j 0.608816-1.25774j -0.342059+0.875946j 0.897968-1.7535j -0.906964+0.396053j -0.803976-2.47766j -0.50402+0.889976j -0.742123+0.866775j 0.266113+0.927648j 0.187348+0.121478j 1.3767-2.57071j -1.22503+2.34379j -0.431367-0.642687j -0.0872207+0.457112j 0.429059-1.32115j 0.722787+0.36004j -0.00722494-1.16441j -0.46532-0.0296235j 0.06029-1.69926j -0.385479+1.01848j 0.100851-0.257591j 0.501861-0.606194j 0.815239-0.803533j 0.207372-0.0104937j 0.14915-0.276413j -0.171011+0.280222j -0.261572-0.22903j 
-0.57366-0.211402j 0.441162-1.02097j -0.113932-0.748574j -1.15825-0.22719j -0.783971-0.134653j 0.826268-1.15304j 0.28147+0.465549j -0.571794-1.78655j 0.476466-1.77431j -0.446969+1.38296j -1.57837+2.29511j -0.235191-0.375863j -1.30795+1.50508j 0.198213+1.68855j 0.302984-0.956184j 1.39782-4.14266j -0.432033+2.239j -0.755275+0.925252j 0.405842-0.852753j -1.82235-0.614113j 0.589851-0.760068j 1.41344-3.50431j 0.441479-0.503036j 1.10715-3.44701j 0.0662636-1.07121j 0.211572+0.422732j 0.931507-3.5437j 0.311684-0.94294j 0.866925-2.35089j -0.643377+0.224912j 1.55268-4.4745j -0.249781-0.2917j -0.677233+0.056851j -0.780919-0.00944622j -0.215013+0.241073j 0.493366-1.68661j -2.07013+4.13815j -0.0305932-0.716327j 1.42868-2.12544j 0.717688-1.80691j -0.510318-1.13965j 0.88355-2.26962j 0.307291-0.358934j -0.500154-2.68786j 0.0604678+1.31393j 0.310709-0.634215j 0.429207-0.943755j 0.187596-0.204808j 1.04404-0.230356j 0.294119-0.603025j 0.0190024+0.419305j -0.0407883-0.488364j 
-0.225597-0.464898j 0.0620145-0.46659j 0.179803-0.257073j 0.498369+0.349013j -0.994936+0.400577j -2.07767+0.210859j 0.317814+0.521192j -0.690392-0.992696j 0.369652-0.429283j -0.738972-1.10823j 0.149098-0.313641j 0.654532+0.716482j 1.09715+0.55638j 0.997543+0.675732j 0.0721624-0.607528j 0.608304-1.26702j -0.50742+0.829168j 1.05951+0.0900494j -0.174916-0.90441j -0.00124572-1.01173j 0.124338-0.949009j 1.29255-1.00716j 0.00317563-1.45918j -0.129336-0.670572j 0.109134+0.802043j 0.0517838+0.0660907j 0.46578-1.7707j 0.859773-0.126921j 0.67087-1.60556j 0.409704-0.134647j 1.00123-2.24191j 0.994275-0.0401247j 0.342386-0.204181j -1.15494+0.92677j 0.795588-1.32243j 0.676789-1.18513j -0.0115951+2.65076j 0.223937-0.306056j -0.604615-0.161822j 0.241766-0.781684j -0.131983-0.149375j 0.792761-0.787281j 0.0694037+0.542323j 0.381407-1.59528j -0.370611+1.07202j 0.213162+0.0441283j -0.0996142-0.443667j 0.878749+0.0350493j 0.0696855+0.0880593j 0.248766+0.0143258j 0.0722312-0.141048j -0.111319-0.143187j 
