0.0423504-0.00754277j -0.0303974-0.0540604j -0.00561929+0.0435279j -0.10485-0.00342912j 0.0339412-0.0257971j -0.052889-0.0305173j 0.101173+0.0380605j -0.0236768-0.0214726j -0.0873179-0.0499507j 0.170293-0.0197629j -0.0474208-0.0264413j 0.0617999+0.00178229j 0.0593325-0.00169848j 0.0918676-0.0333516j -0.147882-0.181538j 0.031142+0.110265j 0.0273595-0.105307j 0.0178688-0.0365521j 0.190067-0.0250515j 0.138885+0.0053022j 0.00860683-0.0219329j 0.195916-0.0215762j -0.224416+0.025203j 0.0488834-0.0896853j -0.000529414+0.175306j -0.228638+0.162678j -0.0992803-0.2192j 0.0172241-0.0126185j -0.14465-0.130988j -0.0188847-0.132659j -0.324888+0.0687012j 0.0350689-0.0511262j -0.0603609+0.00717946j 0.0823545-0.507989j -0.0203012-0.214025j 0.0120648-0.0317906j -0.301174-0.267189j -0.378426+0.0770469j 0.122508+0.0489294j 0.326719-0.0147296j -0.291016-0.243191j -0.109132-0.435616j -0.429556+0.461705j 0.177944-0.0312501j 0.0282228-0.439469j -0.719524-0.157078j -0.124295-0.352998j 0.179167-0.0432979j 0.366941+0.480303j 0.540499-0.675077j 0.28058-0.783663j -0.559648-0.152254j 
0.033588+0.0440038j -0.0298014+0.0909229j 0.0911457-0.188554j -0.150663+0.236771j 0.00936572-0.0616922j -0.0525591+0.0201143j 0.201853-0.113656j 0.00190243-0.0549226j 0.0265369-0.0731475j 0.0121892-0.250895j 0.0324923+0.0677997j -0.00488425-0.218299j 0.0361941-0.109869j 0.117244-0.0604436j -0.10827+0.0766249j -0.0578199+0.125455j 0.0369458-0.0249482j -0.032032+0.10679j -0.0470373+0.109387j -0.320444-0.155575j -0.0593821-0.0819741j 0.252634+0.0669103j 0.309804+0.0536827j 0.113171-0.140661j 0.159793-0.281837j 0.177301+0.0242437j 0.0789601+0.0469938j -0.185614+0.00948182j 0.00994566-0.177892j 0.312928-0.294373j -0.17707-0.0465704j -0.0670924-0.111081j -0.0607761+0.164288j 0.408794+0.451662j 0.0354503+0.339801j 0.107315-0.23583j -0.0168397-0.166835j 0.314969+0.0163455j -0.347797-0.206551j 0.129859+0.405031j 0.509908-0.299786j -0.0622217+0.178722j -0.106583-0.0885747j 0.50464-0.211769j 0.244912-0.0272299j -0.00754692-0.434405j 0.0137428-0.57248j 0.263591-0.446284j 0.744718-0.0860683j 0.109923+0.410365j 0.410359-0.330705j 0.377902-0.394555j 
-0.029479+0.0530348j -0.0948722-0.200624j 0.0520422+0.124555j -0.180041-0.0106071j 0.0448954+0.127833j -0.126168-0.031678j 0.0741771-0.141899j 0.0415128+0.162633j -0.125906+0.219541j -0.000586066-0.0209053j -0.292324-0.044682j 0.0646681-0.278444j 0.0838006-0.0442324j -0.0102578+0.150572j 0.0608022+0.00903618j -0.168072-0.134707j 0.270748+0.27362j -0.149725+0.216213j 0.179666+0.251775j 0.052798-0.0707338j 0.0758417-0.23599j 0.0507074+0.117911j 0.411411-0.318586j -0.0661452-0.109319j -0.0163172-0.140272j -0.139185-0.00528933j -0.182975+0.0738042j 0.017641-0.202102j -0.13949-0.191093j -0.163863-0.596285j -0.0162086-0.435828j 0.200582+0.251439j -0.438898+0.197843j 0.257102+0.00488586j -0.251264+0.0286356j 0.207511-0.328415j -0.254551+0.431599j 0.165324+0.187685j -0.141228-0.10064j 0.229301-0.455932j -0.409107-0.049432j 0.318164-0.0404022j 0.0990147-0.386409j -0.32848-0.336568j -0.0607238+0.412348j -0.157428-0.104184j 0.286919-0.113213j -0.103643-0.14365j -0.46513-0.0658735j 0.449488-0.300914j 0.272194-0.0298659j 0.415714+0.196007j 
0.0746039+0.0295258j -0.158607-0.174339j -0.0229071+0.147866j -0.141179-0.182336j 0.0907102+0.0713277j 0.0118575-0.150675j -0.16697+0.057444j -0.0726452+0.0278006j 0.0301391-0.043825j 0.290023-0.210078j 0.119709-0.154585j 0.186156-0.0458653j -0.0656669-0.0969999j 0.114553+0.143595j -0.0457038-0.21454j 0.218594+0.0813181j 0.01744+0.0723132j 0.0579048-0.25554j -0.233599-0.138154j -0.304812-0.0641616j -0.0836095-0.107824j 0.248689-0.0532329j 0.170942-0.0438623j -0.376197-0.216313j 0.0967156-0.36577j 0.559006+0.451031j 0.132564-0.03147j 0.188819+0.0910557j -0.0963344+0.0484099j 0.0333822+0.00913043j 0.190638+0.107107j -0.416267+0.167604j 0.0939152-0.0158484j 0.208241-0.216681j 0.304649+0.176025j -0.157239-0.299471j -0.281777+0.565279j -0.174526-0.647725j 0.725528+0.440113j -0.155014+0.288184j -0.0408561+0.381851j -0.0720806-0.179228j 0.295259+0.0651513j 0.0517743-0.0700353j -0.0748604+0.0585036j -0.313225+0.16249j 0.138925+0.165456j 0.303991+0.399852j 0.0916438-0.333134j -0.0194515+0.0992909j -0.159153-0.237807j 0.102111+0.334814j 
0.0836427-0.0110782j -0.0827496+0.0194225j -0.0835329+0.0317098j 0.0938931-0.0182804j 0.240389+0.200518j 0.0432246+0.0978422j -0.0236377+0.0790997j 0.0499743-0.0811188j 0.179678-0.113711j 0.266417-0.186722j -0.0383636-0.00646853j 0.0345313+0.217725j -0.074313+0.122024j -0.183882-0.533278j 0.0402841+0.00114905j 0.233294-0.164549j -0.0329002+0.0134681j 0.0469105+0.515235j -0.363472-0.173299j -0.0900128+0.29982j -0.224035-0.00628016j -0.184155+0.302099j -0.173303-0.0770408j 0.115303+0.180783j 0.532816+0.142562j 0.108043-0.10738j 0.191356-0.121301j 0.0280287-0.181478j 0.152408+0.52375j 0.0438635-0.487988j -0.141067+0.489373j 0.0390807+0.0504211j -0.251077+0.0896043j -0.0988558+0.0783062j 0.310887-0.283653j -0.133942+0.0840661j -0.0721238-0.4516j 0.0553479+0.145729j 0.320189-0.0222619j 0.281706-0.155896j -0.141432+0.179318j 0.249587+0.611659j 0.097279+0.0663909j 0.0379213+0.177541j -0.188054+0.400259j 0.156808+0.064215j 0.94298-0.104156j 0.0463612+0.185843j 0.138799-0.152034j -0.077757-0.112156j -0.28234-0.0609859j -0.10079-0.129519j 
0.155456-0.0112683j -0.226687+0.120463j -0.0193795-0.0710912j 0.257344+0.315389j 0.0772463+0.0240502j -0.0700146-0.032833j 0.000552465+0.0412128j 0.168274+0.158948j 0.479176+0.0654239j 0.0646595+0.131515j -0.193755+0.0397226j 0.189489+0.342174j 0.0131952+0.209514j 0.115952+0.095843j 0.0257051+0.171945j -0.155868+0.162179j -0.126316-0.600944j 0.0170656-0.144287j -0.197647+0.283338j -0.33355+0.211008j 0.314626+0.0606216j -0.0173065+0.121165j 0.0679636+0.32757j 0.179776+0.400767j -0.134718-0.0722708j -0.122955-0.0672004j -0.192789+0.140769j 0.146822+0.477238j 0.197282+0.177031j 0.096731-0.136086j 0.077415+0.414689j -0.372983+0.53256j -0.46158-0.0615385j 0.184049-0.116035j -0.570208-0.355334j 0.270277+0.309677j -0.00699649-0.0635724j 0.120011-0.165628j 0.296135+0.0241112j -0.441964-0.0325181j -0.0580975+0.0137054j -0.344191-0.0137328j 0.00629785-0.273317j 0.141624-0.353772j -0.424431+0.365203j 0.155635-0.240653j 0.0113873+0.202112j 0.213234+0.172706j -0.12615+0.299089j -0.016496-0.0893804j -0.284071+0.0190172j 0.116901-0.271637j 
-0.060822-0.0796081j 0.157426-0.135062j 0.000943097+0.0487409j -0.0436509+0.147959j 0.145775-0.350539j -0.0937193+0.16366j -0.0310279-0.111624j -0.0181375+0.0587403j -0.215267+0.0312948j 0.107636+0.292953j 0.212117+0.096795j 0.356988-0.17763j 0.0641727-0.0890687j -0.0981945+0.660778j -0.271332-0.101655j 0.218821-0.154576j 0.116576-0.385343j -0.285611+0.0288544j -0.276647+0.0925723j 0.093588+0.0132906j -0.395104-0.479048j -0.446503-0.38623j -0.0263842-0.312668j 0.177728-0.153878j 0.037461+0.288487j 0.0372099+0.0439372j 0.174182-0.463437j -0.0594805+0.247536j -0.355515-0.107458j -0.0458931-0.130143j 0.0354295+0.0460564j -0.190945-0.359525j -0.339232-0.0766081j 0.22443+0.163476j 0.258671-0.0977191j -0.246267-0.00658416j 0.376982+0.0788907j -0.0482799+0.131359j 0.341745+0.0416612j -0.181736-0.134066j -0.414898+0.179263j -0.147065+0.43716j -0.276159+0.0389169j -0.116722+0.260902j -0.329284+0.323127j -0.0543906-0.0806398j -0.579958-0.259927j 0.222727-0.0970274j -0.0390472-0.148262j -0.000184493-0.0210266j 0.241992+0.0705366j -0.134811+0.0813027j 
-0.159967+0.0415621j 0.211121+0.122257j -0.0580792-0.0962371j 0.0902601-0.18444j -0.0631954+0.311285j 0.191289-0.0515994j -0.116283-0.192747j -0.134679+0.21953j 0.100893+0.0845516j 0.341543-0.162278j -0.0448307-0.0653761j 0.340337-0.201495j -0.311404+0.308045j 0.216684-0.0582986j -0.114069-0.438966j 0.0653379-0.0167251j -0.0149782-0.139503j 0.332383+0.050042j 0.0577109+0.369099j -0.016612-0.0114429j -0.0905544-0.289978j 0.433541-0.113683j -0.156309-0.317809j 0.0650231+0.626269j 0.409115-0.0639809j 0.0149254-0.564727j 0.0925137+0.0394318j -0.411119+0.119422j -0.1498-0.661175j -0.125154+0.349655j 0.532844+0.0570233j -0.110092+0.284806j -0.169297+0.0868376j -0.0705654+0.285169j -0.397008+0.0145314j 0.0915666-0.170405j -0.0751267-0.0694368j -0.171064+0.393553j -0.249058-0.0636641j 0.378223+0.324949j 0.307531+0.181528j 0.137041-0.0584524j -0.348542-0.231278j 0.158634-0.0974431j 0.0692158+0.189282j -0.0607106+0.173622j 0.181818+0.0459393j 0.0919389+0.301899j -0.0907778-0.16059j -0.0990418+0.130124j 0.330736-0.00925272j -0.10405-0.126979j 
-0.058179-0.145455j 0.24684+1.6707e-05j 0.0243164+0.0299592j 0.0551073-0.143323j -0.165275-0.0277397j -0.577541+0.161449j -0.0870771+0.0263354j 0.308177+0.186748j -0.0527187-0.255949j 0.299859+0.0901041j 0.00463905+0.413152j -0.469456-0.272733j 0.110908-0.0334399j -0.333531+0.114074j -0.0478328-0.235234j -0.328481-0.139906j 0.100896+0.187961j -0.430135+0.107476j -0.27336-0.0187696j 0.15258-0.041272j -0.0696457+0.441176j 0.137073-0.20876j -0.147864+0.141115j -0.475174+0.00695094j 0.129573+0.0559882j -0.116656+0.00987615j 0.146028+0.180881j -0.122414+0.287309j 0.148566-0.0108447j -0.0808009+0.187422j -0.492518+0.128566j -0.388315+0.683988j -0.20501+0.0557757j 0.257324+0.0770137j 0.159781-0.048487j -0.0696313-0.363203j -0.245306+0.0290548j -0.167532+0.0602563j 0.0340603+0.65176j 0.00376348-0.226147j 0.341286+0.271122j -0.32278-0.0286318j -0.0676684+0.258592j -0.281547-0.0603996j 0.0471566+0.109352j 0.0136474+0.0540815j 0.0263116-0.19701j -0.132607-0.415269j 0.00213546+0.130632j -0.0329334-0.0884619j 0.0999888+0.194914j -0.0984402+0.0197136j 
0.0652476-0.246645j 0.2656+0.0482009j 0.127414-0.045361j -0.0773861-0.375419j 0.191702-0.121453j -0.0337952+0.0764071j -0.189032-0.115817j -0.449451-0.453608j -0.0715407-0.399393j -0.245211+0.268601j -0.271478-0.0506788j -0.0415629-0.214197j -0.407535+0.111267j 0.303604+0.241613j -0.0366317-0.0408991j 0.0926651-0.166837j 0.226989-0.0371723j -0.39365+0.432669j 0.18461-0.155862j -0.688128-0.230988j 0.526489+0.238092j -0.0642578+0.103899j -0.11087-0.0858222j -0.099877-0.041323j 0.0806964-0.461219j -0.0854871+0.169848j 0.0811488-0.307802j 0.106376-0.064087j -0.286067+0.331405j -0.016297+0.190567j 0.00618944-0.204584j -0.359875+0.0312149j -0.199211-0.239309j -0.237663-0.277252j -0.0513666+0.0462635j -0.0732493+0.607695j -0.170041+0.0912422j 0.0226308+0.115043j 0.176534-0.1534j -0.00803498-0.278164j -0.206463+0.183796j -0.22991-0.19002j 0.150142-0.136607j -0.494405-0.0565672j 0.192847-0.123678j -0.0143583-0.0448425j 0.125141+0.0223891j 0.179133-0.0478953j 0.35588-0.416393j 0.0407873-0.0513378j 0.182572+0.215724j -0.101472-0.105517j 
0.162088-0.0250771j 0.297298+0.0051123j 0.0876513+0.0157075j 0.0227648+0.266825j -0.173808-0.199149j -0.792301-0.316808j -0.19631+0.128822j -0.171672-0.496319j 0.0413764+0.0927608j 0.230145-0.260393j 0.191209-0.361655j -0.0653629+0.206893j 0.304264+0.218027j 0.324672+0.13403j 0.0967852+0.0997927j -0.0699368+0.152415j -0.0260633+0.0599115j 0.47987+0.206391j -0.0885249-0.1245j -0.0827332-0.014683j 0.0674411-0.0667489j 0.169498+0.3438j 0.0125089-0.408891j -0.107411+0.465439j 0.0263587+0.203136j 0.149369-0.0124534j -0.416454-0.0915217j 0.484616-0.243568j -0.014128+0.0257467j 0.248093-0.0558855j 0.264333+0.111765j 0.341834-0.0263553j -0.0985556-0.271459j -0.3815+0.348824j 0.0805709-0.605296j -0.0414409-0.134527j 0.379987+0.26053j -0.0528365-0.107494j -0.236384+0.553515j -0.0851261-0.14209j 0.00718597+0.160061j 0.0351596-0.0627609j 0.325541+0.220488j -0.135975-0.204326j 0.0396547+0.160619j 0.0820165+0.104074j -0.0683783+0.0902752j 0.315945-0.148564j 0.0852305+0.0617004j 0.072862+0.0951369j 0.0723104+0.014535j -0.0611741-0.0444875j 
