-0.208377-0j -0.121553-0j 0.532105-0j -0.0752071-0j -0.230631-0j -0.212718-0j 0.537619-0j -0.131612-0j -0.124085-0j -0.076774-0j -0.0200284-0j 
0.148872-0j 0.0868417-0j -0.380154-0j 0.659559-0j 0.164771-0j -0.443513-0j 0.131612-0j 0.0789902-0j 0.0886509-0j -0.160072-0j 0.014309-0j 
0.243106-0j -0.691695-0j 0.212718-0j 0.0877417-0j 0.00549121-0j -0.00981934-0j -0.20615-0j -0.147281-0j 0.544155-0j -0.261397-0j -0.113971-0j 
-0.212718-0j -0.124085-0j 0.178531-0j 0.374469-0j 0.225826-0j -0.199785-0j 0.1879-0j -0.391769-0j -0.111476-0j 0.351701-0j -0.368694-0j 
0.0877417-0j 0.0511826-0j 0.076774-0j 0.0316676-0j -0.283409-0j -0.261397-0j 0.362907-0j 0.259273-0j 0.0642719-0j -0.443657-0j 0.257299-0j 
0.0269013-0j 0.0156924-0j 0.0235387-0j 0.0097092-0j -0.116059-0j 0.0274618-0j 0.0237826-0j 0.0169911-0j 0.0160194-0j 0.00991147-0j 0.00258565-0j 
-0.0248119-0j 0.0705958-0j 0.0208243-0j 0.0436789-0j -0.0274618-0j -0.0471026-0j -0.0219354-0j 0.045735-0j 0.0286457-0j 0.00876853-0j -0.00238483-0j 
-0.0303883-0j -0.0177265-0j 0.0775986-0j -0.0109677-0j -0.000686401-0j -0.000633089-0j -0.0752027-0j 0.0184101-0j 0.0350837-0j 0.0326746-0j 0.0142464-0j 
0.0217104-0j 0.0126644-0j -0.0554391-0j 0.0961857-0j 0.000490389-0j -0.00131998-0j -0.0184101-0j -0.0110492-0j -0.025065-0j 0.068126-0j -0.0101781-0j 
0.025069-0j -0.0713274-0j 0.0219354-0j 0.0090479-0j -0.0266138-0j 0.0475907-0j -0.0221443-0j -0.0158206-0j -0.0254709-0j 0.0432122-0j 0.043451-0j 
-0.0179102-0j -0.0104476-0j 0.0150318-0j 0.0315291-0j 0.0384322-0j -0.0340004-0j -0.0139346-0j 0.0290533-0j -0.0407027-0j 0.00778592-0j 0.0741443-0j 
0.00572239-0j 0.00333806-0j 0.00500709-0j 0.00206532-0j -0.0246878-0j -0.0227704-0j 0.0525936-0j 0.0375747-0j -0.0426593-0j -0.039097-0j 0.0767282-0j 
