-0.168338-0.00198977j -0.0225317-0.0150294j 0.0338708-0.00435771j 0.00929117+0.00854908j 0.026374-0.00177863j 0.0450021-0.00181073j 0.0222001+0.00549719j 0.00437372-0.00342425j 0.00794946+0.000545578j -0.00282353+0.000871297j 0.00181809+0.00107996j 0.00116921+5.58199e-05j -0.00293015-0.00100395j 0.00872841-0.000401332j -0.00709291-0.00011886j 0.00116791-0.000411552j -0.00506086+0.000697045j 0.00917203+0.000222818j -0.0044441+0.000515496j 0.0018738-0.0011626j 0.000769931-0.00172815j 0.00282796-0.000921329j -0.00077724+0.00102265j 0.0105476-0.00149189j 0.0121489+0.00223864j 0.021938-0.00312468j -9.43376e-05+0.00509018j 0.0110613+0.0033895j -0.00380006+0.000877158j -0.00851114+0.000609185j 0.00298235-0.00147114j 0.00456531-0.00192322j 0.0024734-0.00115243j 0.001775-0.00187425j 0.0018832-0.000651718j -0.00427484-5.26109e-06j 0.00801663+0.000929014j -0.00356006+0.00120225j 0.000560006+0.000133353j 0.00835787+0.000996108j 0.0179795+0.00187695j -0.00699191-0.000228888j 0.0239896-0.00247856j -0.0131139-0.00485563j -0.00704355-0.00119359j -0.00303737+0.00102103j -0.000486846-9.22673e-05j -0.0150454-0.00195521j -0.00313412+0.00157747j 0.00356748-0.0044882j -0.011646-0.001786j 0.00191266-0.000622228j 
-0.0600608+0.00644077j -0.0272736-0.00447518j -0.0142185-0.00188237j -0.0703196+0.00357091j -0.0908245-6.21206e-05j -0.046162-0.00296039j 0.0149251+0.000550737j -0.0123714-0.00131018j 0.0097845-0.000968865j 0.00509105+0.000396753j -0.00171087-0.0002253j 0.000138904-0.000275142j 0.00377601-0.000543613j -0.005481+0.000292345j -0.00438254+0.00129645j 0.000381056-5.63628e-05j 0.0072677+0.000431047j -0.00955578-0.000304183j -0.00251462+0.000798789j -0.0022993-0.00152139j 0.0099338-0.000499728j 0.0107591-0.000225761j -0.004799+0.000855934j 0.0101616-0.00103126j -0.000524622-0.000167361j -0.000826943-0.00253083j 0.0199746+0.0016841j 0.00566892+0.000539457j 0.00240262+0.000691848j -0.00166358+0.000473134j -5.65607e-05-0.00056954j -0.00123659-0.00130518j 0.00255233-0.000606308j -0.00355765-0.000609643j -0.00563959-0.000326396j -0.00242444+9.35131e-05j 0.00312904-0.00018961j 0.0104916+0.000173529j 0.00291845+0.000242666j 0.00118318-0.000824212j 0.00738611+0.000326674j -0.0012061-0.000219692j 0.000349639-0.00284923j -0.0110296-0.000467568j -0.00281603+0.000290986j 0.000453194+0.000489723j -0.00149127+1.15576e-05j -0.0054725-7.18011e-05j 0.0012061+0.00101389j -0.00405536-0.00169599j -0.00451207+0.00032888j -0.00022041-0.000482205j 
-0.0265128-0.000145772j 0.166565-0.00288643j 0.00878124-0.000708513j -0.0239968+0.00115614j -0.0246731-0.000424203j -0.0058663+0.000613532j -0.063581-0.00134888j 0.0416149-0.00109037j 0.00488381+0.00137831j -0.017585+0.00218707j -0.0128901-0.00150254j 0.00337168+0.00200606j 0.0102628+0.00223288j -0.00530563+0.00316095j 0.00698981-0.0010687j 0.011216-0.00110957j -0.00362896-0.00292965j 0.00313636+0.00226074j -0.0104527-0.00123282j 0.0182501+0.00328448j 0.026234+0.00301865j 0.00512563+0.000737031j -0.000841125-0.000447991j 0.00600286+0.00339462j -0.0257013-0.00283108j 0.0483004+0.00411417j -0.0854721-0.00115751j -0.0334171+0.00410087j -0.0152495-0.0015694j -0.0127905+0.000926208j 0.0252218+0.000628926j 0.033179+0.00906997j 0.0145017+0.000113485j 0.0232035-6.6143e-05j 0.00917344+0.00013082j -5.92037e-05+0.000484043j -0.00959581+0.00416047j -0.0147281-0.000287218j -0.00480379-0.00106487j -0.00284855+0.00109705j -0.0194242+0.000726394j 0.000945886+0.00118851j 0.0552674+0.00714683j 0.0661935-0.00503388j 0.00969261-0.00498488j -0.0167582+0.000427746j 0.00217546+5.21403e-05j 0.01241-0.00304799j -0.0334813-0.00474744j 0.0700058+0.00458565j 0.0183118-0.0096134j 0.0131706+0.00453136j 
0.040429-0.000140827j -0.011439-2.08489e-05j -0.00790804+0.00432526j -0.0417853-0.00835359j -0.0437782+0.00280201j 0.11589+0.00511967j 0.00483939+0.00328453j -0.0186712-0.00041821j -0.0137928+0.00127003j 0.0099887+0.000416193j 0.00139881+0.00228007j 0.00133661+0.00118252j -0.0163247-0.000671554j -0.0237011-0.00249955j -0.00754876-0.00080407j -0.0159792+0.0030236j -0.00843675+0.00177626j 0.0369316+0.00320191j -0.0117793-0.000846029j 0.00087126+0.00161741j 0.0196997-0.00207006j -0.0331631-0.000234105j 0.0136553+0.00385357j 0.000215125+0.00268788j 0.0296828+0.0017414j 0.0636933+0.00139393j -0.00270145+0.0140467j 0.0111506+0.000241787j 0.00365994+0.00317707j 0.00581096+8.89835e-05j -0.00587694-0.000886878j 0.00995994-0.00232098j 0.00275269-0.0014142j -0.00584256-0.00265688j 0.00637573-0.0015119j -0.00784677-0.000635426j 0.00820486-0.000971964j 0.0011914+0.00292009j 0.00843202+0.00170497j 0.0222155+0.000904453j 0.0149612+0.00182486j 0.0037985+0.00144467j 0.02889-0.00485466j -0.0179647-0.00496338j -0.00873882-0.000314702j 0.00356276+0.000913828j -0.00242452-0.000488868j -0.0119001-0.000641875j -0.00837327+0.00105189j -0.00202831-0.00503345j -0.012018-0.000316418j 0.00321387-0.00063212j 
0.0122361+0.00449187j 0.0452141+0.00438911j 0.0103573+0.00061503j -0.0956453+0.00142897j 0.0226331+0.000351362j 0.0871238-0.00519595j -0.0159732+0.00168878j -0.00042429-0.00207864j 0.00445869-0.000911324j 0.0140008-0.00170842j 0.0130568+0.00251445j -0.00741633-0.000317598j 0.00832682-0.00122764j 0.0184346-0.000102838j -0.0238983+0.00331648j 0.00492079+0.00212519j 0.00989439+0.00362905j -0.0190841-8.40359e-05j 0.00607567+0.00134626j 0.033874-0.00233198j -0.0236286-0.000142727j 0.0266675-0.00086046j -0.0444179-0.00147549j 0.0487041-0.00258987j -0.00767087-0.00128256j 0.000623075-0.00700981j -0.00492291-0.00150442j -0.0109345-0.00212314j 0.00622357+0.00182963j 0.0089625+0.000695313j -0.0124154+0.000818924j 0.0141084-0.00153517j -0.00576683-0.000352296j -0.00921459-0.000171914j 0.000817557-6.70108e-05j 0.00575571+0.000326002j 0.0035138-0.00244202j 0.00695176+0.000261151j -0.00727922+1.79459e-05j -0.00507401-0.0014142j -0.00175174-0.00222553j 0.0167139+4.56402e-05j 0.0150372-0.00329575j 0.0160752+0.000885683j 0.000969958+9.15626e-05j 0.0042696+0.000913564j -0.00263514+0.000168663j -0.000891421+0.00251611j -0.0176178+0.000188911j 0.0123697-0.00019006j 0.00567331-0.000410009j 0.00507079+0.000872074j 
0.00581004-0.0062571j 0.00457219-0.00701077j 9.86233e-06+0.00121365j -0.0623401-0.0107865j 0.0570099+0.00888945j -0.00181638+0.00195562j -0.00650571+0.00410509j -0.000530515-0.000939827j -0.00862527-0.00227799j 0.00445093+0.00111206j 0.00374233-0.000510882j 0.00601708-0.0026751j -0.00789062-0.000489123j -0.0380699-0.000857721j 0.00555515-6.79852e-05j -0.0317367-0.00212268j -0.0451831+0.000275562j -0.0100429-0.00198514j 0.0174204+0.00167438j 0.0230637-0.00454596j 0.033476-0.00203213j 0.0691017+0.00137271j 0.015124-0.001311j 0.0214124-0.00194201j 0.0209837+0.00414681j -0.0196981-0.00239591j 0.0103673-0.00297192j -0.00610552-0.000267829j 0.00288192+0.000281812j -0.00231828-0.000355972j -0.00452181-0.00187662j 0.000165388-0.00231458j 0.00132365+1.92266e-05j 0.00682794-0.000317987j -0.00856694+0.000385611j -0.0120499-0.000448728j 0.00286019+1.84767e-06j -0.00707217-0.00076101j 0.00122532-0.000643165j 0.00341374+0.000590634j 0.00408637+0.00135344j -0.00395614-0.000279527j 0.0117608+0.00051675j 0.00235688-0.000224021j 0.000973193+3.10233e-05j -0.000956886-0.000184899j 0.00175106-4.16391e-06j -0.00829686-0.00208992j -0.00730405-0.00051397j 0.0027764-0.00255298j -0.00046305-0.000213344j 0.00157914-0.000114509j 
0.00361179-0.0035293j 0.00930225-0.00316265j 0.0232759+0.00121577j 0.0224586-0.00492015j -0.0237592+0.0017692j -0.0161566+0.000912021j -0.00906038-5.76322e-05j 0.00611901-0.00171992j -0.0230132+0.00085046j -0.00771365-0.00142712j -0.0135083+0.00585741j 0.0321229+0.00122609j -0.0358151+0.00186822j -0.000449701-0.0003386j 0.0262685-0.000873237j 0.0128968+0.0013427j -0.0332951-0.00351664j 0.00145392+0.00353725j -0.039303-0.00314622j -0.0131421+0.00110576j -0.0504595+0.00482251j -0.00650476-0.00151457j -0.0424419-0.00275515j 0.0488617+0.00348482j 0.0104065+0.00343399j -0.0114818-0.00233242j 0.00161438+0.00301504j -0.00157776+0.000558844j -0.00278159+0.00213768j -0.00677837-9.97042e-06j 0.00256937-0.00106243j -0.0015894+0.000899159j 0.0119568+1.70994e-05j 0.000387873-0.000689105j 0.00516199-0.000537793j -0.00679163-0.000733108j 0.00402146-4.98908e-05j 0.00252316+0.00131031j -0.00248726+0.000128204j 0.00857995+0.00140263j 0.00219469+0.00152226j -0.0083767+0.000282532j -0.00295605+0.000592093j 0.00435055-0.000941325j 0.00153016-0.000377992j -0.0041183-0.000266213j 0.00116533-0.00033038j 0.00105391-0.00186439j 0.000995758-0.00130813j 0.0033503-0.000151463j 0.0031857-0.000600317j -0.000480769+0.000334905j 
-0.000433856+0.00318315j -0.00655258+0.000849055j -0.0175273-0.00448275j -0.0893538-0.000315867j 0.0650821-0.000552622j 0.00140294+0.00458724j 0.00296267+0.00260348j -0.00200047+0.00224827j 0.00900356-0.00335467j 0.0249694-0.00383265j 0.00735193+0.00337351j -0.0194888-0.00307065j 0.0176093-0.00167875j 0.0110937-0.00559435j 0.0122331+0.000676159j 0.00840371-0.00142876j -0.0192878-0.00304825j 0.00283196-0.00367397j -0.00506487-0.000313468j 0.00805846-0.00228786j -0.0298865+0.00179521j -0.0176668-0.00243892j -0.01128-0.00253386j 0.0089336-0.00352812j 0.00983409+0.00565242j 0.0035786-0.000522061j -0.0122148-0.00495569j -0.00150987-0.000598735j 0.00602213+0.00129861j 0.00360768-0.000749764j -0.0125487+1.16879e-05j 0.00305204-0.00299283j -0.00392187+0.000544975j -0.00349583+0.000388774j 0.00493955+2.99129e-05j 0.00525663-0.000663216j 0.00536146-0.00200262j 0.00161759+0.000587926j -0.00386305+0.000143693j 0.00058498+0.00228498j 0.00186615-0.000695596j 0.00581755-0.000605982j 0.00766406+0.000595021j 0.000865674-0.000200847j -0.00127011+0.000221391j 0.00386594+0.000115664j 0.00139014-3.57094e-05j -0.00648683+0.000624214j -0.00688073+0.000640287j -0.00167156-0.00175068j -0.00157738+0.000608667j 0.00140022-0.000348046j 
-0.0104279+0.000578598j -0.00352973+0.00063876j -0.0807352-0.00566024j 0.0962302+0.00169114j -0.06648+0.000833971j 0.0362177+0.00096036j 0.018385-0.00394462j 0.00484579-0.00278383j 0.0198416+0.00278168j -0.0209932+0.00164293j 0.00908388+0.00124204j -0.0157056+0.00319224j -0.0329325+0.00208687j 0.000464504+0.000807604j 0.00820012+7.64884e-05j -0.0260156+0.000535292j 0.0270086-0.00407164j -0.0070058+0.00520343j -0.0182866-0.00254956j 0.0668089+0.00394372j -0.00793201+0.0048533j 0.0255576-0.000198598j -0.00159988-0.00126379j -0.000394634+0.00210734j 0.00451236-0.000936684j -0.0308403-0.00036198j -0.00531449+0.000100875j 0.007531+0.00117708j -0.00663028-0.00015043j -0.00313228-6.42309e-05j 0.00914908+0.00125502j 0.000626402+0.00282543j -0.00121022+0.000244386j 0.00450127-0.000113373j 0.00191443-6.157e-05j 0.00804588-0.000182132j -0.00790221+0.000506992j 0.00168669+0.000534141j -0.00237976-0.000158573j 0.00538052+0.0013037j -0.0132931-0.000258032j -0.00487866+0.000409483j -0.00494676+0.0040352j -0.0074596-0.00197529j -0.00253654-0.000565604j -0.00311709-0.000601088j 0.00160694+4.24553e-05j 0.0101864-0.000486926j 0.00961797-0.00102281j -0.00176418+0.00232625j -0.00321486-0.000913368j -0.00153219+0.000220345j 
-0.000975282+0.00506999j 0.00373986-0.00285159j -0.0240706-0.0019192j 0.0126491-0.00608547j 0.00594077+0.000686796j 0.000809913-0.00104778j 0.00171772-0.0002668j 0.00558346-0.00107792j 0.00331776-0.000255505j -0.00493928+0.00273131j 0.000956735-0.00309705j 0.021239-0.000475059j 0.00192958+0.000334139j -0.0215229+8.91136e-05j -0.00845089-0.000800133j -0.0136847-0.00177614j -0.00378443-0.000200481j -0.00572703-0.000569499j 0.00566378+0.000601715j -0.00333653-0.00160121j 0.0242924-0.00183237j 0.0286235+0.00127114j 0.0105466+0.000238679j -0.00846988+0.000524517j 0.00147596-0.00114928j 0.00549131+0.00109398j 0.00550072+7.64807e-05j 0.00172517+0.000870565j -0.00481857-0.000792895j -0.00436066+0.000400676j 0.00458898-0.000762774j 0.00153285+0.000672123j 0.00402813-0.000265586j 0.00302639-0.000943249j -0.00556901+8.44061e-05j -0.00521954+0.000395306j 0.00201117+0.00172502j -0.00558559-1.72474e-05j 0.0030449-0.000591215j 0.00346476+9.7874e-05j 0.00303907+0.000663874j 0.00058895+0.000668923j 0.00532915-0.000805072j -0.00318595-0.000587822j -0.00163177-0.00046935j -0.00183739+0.000154684j -0.00183627-1.63522e-05j -0.00278526-0.000730182j -0.000688898+9.51165e-05j 0.00123201-0.000821341j -0.00331267-0.00056618j 0.000645084-8.80484e-05j 
0.0045247+9.77983e-05j 0.000437356+0.00405603j 0.0275973-0.0037286j -0.0417726+0.00322161j 0.038427+0.000514244j -0.00513585-0.00422049j -0.00563419+0.00101965j -0.0028045+0.00774428j -0.00484876+0.000100779j 0.0100197-0.00476339j 0.00127467+0.00125328j 0.0118149-0.00300158j 0.014617+0.00119983j 0.000849829-0.00210336j 0.0259419-0.00401058j -0.0479861+0.00242404j 0.0567244-0.00161344j -0.0174799-0.00124845j -0.097771-0.0040684j -0.0163098+0.00101657j 0.0147363-0.000643412j 0.0122802-0.000196985j 0.0124102+0.000834j 0.0011729-0.000830919j -0.00409755+0.00170278j 0.00497746+0.000459482j 0.00618833+0.00343872j -0.00236395+3.34611e-05j 0.00424951+0.000448729j 0.0035433-0.000610479j -0.00449173-0.000235891j -3.17243e-05-0.00149763j 0.00377506-0.000113907j -0.00287844-0.000429673j -0.00541985-9.72631e-07j 0.00386853-0.000102052j 0.00215422-0.000538525j -0.00243997+0.000213698j -0.000160532-0.000287426j 0.000197898+0.000324777j 0.00654773+9.75988e-05j 0.00398516+2.49658e-05j 0.0021709-0.00157233j 0.00187799+0.000369123j 0.000273495+0.000263895j 0.00280201+0.000291488j -0.000705882-0.000118966j -0.00428904+0.000886234j -0.00433725+0.000629392j -0.00133685-0.00107107j 0.00063417+0.000633034j 0.000674696-0.000184221j 
