-0.0390557-0j -0.29336-0j 0.310125-0j 0.226484-0j -0.386861-0j -0.125212-0j 0.00465077-0j 0.00339644-0j 0.114682-0j -0.0926298-0j 0.0711718-0j -0.0614409-0j -0.00132776-0j -0.00514239-0j 0.0105432-0j 0.00075471-0j -0.00965655-0j -0.00705215-0j 0.0256054-0j -0.0131519-0j 0.0408337-0j 0.00292298-0j -0.0373997-0j -0.0273128-0j 0.0991692-0j -0.0509373-0j 0.017217-0j 0.0117877-0j -0.0332606-0j -0.00589301-0j 0.0456535-0j -0.128818-0j 0.00444541-0j -0.0228235-0j 
0.29336-0j -0.264205-0j -0.277385-0j 0.566682-0j -0.5156-0j 0.0539382-0j 0.0651864-0j -0.133172-0j 0.0615886-0j 0.0276508-0j -0.063658-0j -0.138476-0j -0.00896306-0j -0.0347138-0j 0.00847497-0j 0.0105782-0j 0.00967702-0j -0.0197697-0j -0.00455778-0j 0.0157532-0j 0.0328234-0j 0.0409693-0j 0.0374789-0j -0.0765675-0j -0.0176522-0j 0.0610118-0j 0.0723174-0j -0.0105432-0j -0.00628676-0j -0.0185251-0j -0.0408337-0j -0.0243485-0j 0.0186723-0j -0.0717474-0j 
-0.310125-0j -0.277385-0j 0.739952-0j -0.189912-0j -0.116956-0j -0.0562663-0j 0.196085-0j -0.0503261-0j -0.0581115-0j -0.0424387-0j -0.0596794-0j -0.0138604-0j -0.0105432-0j -0.0408337-0j 0.0251559-0j -0.0111828-0j 0.0259809-0j -0.00666811-0j -0.00628676-0j -0.0039761-0j 0.0974282-0j -0.0433107-0j 0.100623-0j -0.0258255-0j -0.0243485-0j -0.0153994-0j -0.0144369-0j -0.00988426-0j -0.00589384-0j -0.00106029-0j -0.0382816-0j -0.0228267-0j -0.00372759-0j -0.00410649-0j 
0.226484-0j -0.566682-0j 0.189912-0j 0.0853459-0j 0.0854123-0j -0.114949-0j 0.0503261-0j 0.0226164-0j 0.0424387-0j -0.0867-0j 0.0435837-0j 0.0101222-0j -0.0215392-0j -0.0834211-0j -0.0180612-0j 0.00816674-0j 0.00666811-0j 0.00299663-0j 0.0045912-0j -0.00812295-0j -0.0699507-0j 0.0316296-0j 0.0258255-0j 0.0116059-0j 0.0177816-0j -0.0314601-0j 0.118488-0j 0.00721845-0j 0.00430425-0j 0.000774328-0j 0.0279569-0j 0.0166703-0j 0.0305936-0j 0.00299896-0j 
-0.386861-0j 0.5156-0j 0.116956-0j 0.0854123-0j -0.610612-0j 0.0253055-0j -0.0859628-0j -0.0627784-0j 0.108017-0j 0.0299307-0j 0.0268406-0j -0.109252-0j -0.0131519-0j -0.0509373-0j 0.0039761-0j -0.0139497-0j 0.016972-0j 0.0123946-0j 0.00443386-0j -0.0207587-0j 0.0153994-0j -0.0540271-0j 0.0657324-0j 0.0480042-0j 0.0171723-0j -0.0803982-0j 0.00649294-0j 0.00444541-0j 0.00265073-0j 0.00986982-0j 0.017217-0j 0.0102662-0j 0.00167647-0j 0.0382257-0j 
0.125212-0j 0.0539382-0j -0.0562663-0j 0.114949-0j -0.0253055-0j 0.287759-0j 0.210155-0j -0.429335-0j -0.330692-0j -0.116313-0j 0.181999-0j 0.042269-0j 0.111667-0j -0.0148166-0j -0.0501792-0j 0.0706259-0j 0.0576658-0j -0.117808-0j -0.0740896-0j -0.0225679-0j 0.00665808-0j -0.00937107-0j -0.00765145-0j 0.0156315-0j 0.00983065-0j 0.00299445-0j 0.0146693-0j 0.0624251-0j -0.176141-0j 0.00669638-0j -0.00828294-0j 0.0233715-0j -0.110556-0j -0.000888516-0j 
-0.00465077-0j 0.0651864-0j 0.196085-0j -0.0503261-0j 0.0859628-0j 0.210155-0j -0.0414459-0j 0.0106373-0j -0.192481-0j -0.290107-0j 0.222903-0j -0.192427-0j 0.0046151-0j -0.000612359-0j -0.194581-0j 0.00489505-0j 0.178217-0j -0.0457402-0j -0.0890005-0j -0.0853035-0j 0.0258181-0j -0.000649504-0j -0.0236469-0j 0.00606908-0j 0.0118091-0j 0.0113186-0j -0.00382572-0j 0.0764548-0j 0.0455888-0j -0.0382221-0j -0.0101445-0j -0.006049-0j 0.0288329-0j 0.00507153-0j 
0.00339644-0j 0.133172-0j 0.0503261-0j 0.0226164-0j -0.0627784-0j 0.429335-0j -0.0106373-0j -0.00478036-0j 0.140568-0j -0.592673-0j -0.162785-0j 0.140528-0j 0.0094284-0j -0.00125102-0j 0.139703-0j -0.00357484-0j 0.0457402-0j 0.0205555-0j 0.0649968-0j -0.174271-0j -0.0185367-0j 0.000474331-0j -0.00606908-0j -0.00272743-0j -0.00862416-0j 0.0231233-0j 0.031399-0j -0.0558347-0j -0.0332934-0j 0.0279135-0j 0.00740848-0j 0.00441757-0j -0.236641-0j -0.00370372-0j 
0.114682-0j -0.0615886-0j 0.0581115-0j 0.0424387-0j 0.108017-0j 0.330692-0j 0.192481-0j 0.140568-0j -0.339349-0j -0.0908488-0j -0.187968-0j -0.408889-0j -0.113803-0j 0.0151-0j -0.0576658-0j 0.0646864-0j 0.0591755-0j 0.0432157-0j 0.0520079-0j -0.107189-0j 0.00765145-0j -0.00858298-0j -0.00785177-0j -0.00573412-0j -0.00690072-0j 0.0142224-0j 0.00322613-0j -0.0644724-0j 0.181918-0j -0.113282-0j 0.00855458-0j -0.0241379-0j -0.0243141-0j 0.0150309-0j 
0.0926298-0j 0.0276508-0j -0.0424387-0j 0.0867-0j -0.0299307-0j -0.116313-0j -0.290107-0j 0.592673-0j 0.0908488-0j -0.306328-0j 0.137272-0j -0.322929-0j 0.0826088-0j -0.010961-0j -0.0378476-0j -0.0974951-0j 0.0295617-0j -0.0603931-0j 0.104568-0j -0.0266927-0j 0.00502184-0j 0.0129362-0j -0.00392243-0j 0.00801332-0j -0.0138748-0j 0.00354175-0j 0.0110643-0j 0.047084-0j 0.0280754-0j -0.185048-0j -0.00624738-0j -0.00372522-0j -0.0833867-0j 0.0245533-0j 
0.0711718-0j 0.063658-0j 0.0596794-0j 0.0435837-0j 0.0268406-0j -0.181999-0j -0.222903-0j -0.162785-0j -0.187968-0j -0.137272-0j 0.740711-0j -0.044833-0j -0.0706259-0j 0.00937107-0j -0.0592216-0j 0.287438-0j -0.0611639-0j -0.0446678-0j -0.0421132-0j -0.0266347-0j 0.00785788-0j -0.0381389-0j 0.00811559-0j 0.00592679-0j 0.00558783-0j 0.00353405-0j 0.00331317-0j -0.0662118-0j -0.0394811-0j -0.00710259-0j 0.00878538-0j 0.00523859-0j -0.02497-0j 0.000942414-0j 
